Orthogroup	Odontarrhena_muralis	Arabidopsis_lyrata_Rawat
OG0000008	Om007G284450, Om008G361640, Om007G313430	AL2G20270, AL4G19160, AL298U10010, AL9U11800, AL4G18790, AL3G44010, AL7G44440, AL4G37240, AL4G20310, AL7G45220, AL6G27010, AL5G18950, AL2G17460, AL226U10010, AL8G21160, AL8G41980, AL6G49380, AL39U10050, AL6G25540, AL5G16170, AL7G48840, AL7G10810, AL8G17730, AL747U10010, AL4G21710, AL66U10030, AL1G63180, AL7G51050, AL1G65090, AL7G50980, AL8G11530, AL1G29200, AL8G21520, AL5G24310, AL3G40710, AL1G45690, AL5G20410, AL4G18090, AL2G19610, AL6G46960, AL3G44870, AL2G22310, AL4G13380, AL3G52160
OG0000008	Om001G020680	AL5G20470
OG0000012	Om004G146180	AL5G18610, AL1G66070
OG0000012	Om005G215090, Om003G105470, Om004G154660	AL2G19210
OG0000012	Om002G076390	AL7G44260
OG0000012	Om003G106630	AL2G18620
OG0000012	Om008G342970	AL8G29520
OG0000013	Om008G346820, Om005G224220	AL3G45620
OG0000013	Om008G350670	AL6G41250
OG0000013	Om003G108850, Om006G268640	AL5G20640
OG0000014	Om007G309000	AL1G56800
OG0000014	Om008G343710	AL3G43620, AL527U10010
OG0000014	Om005G227750	AL7G43490
OG0000014	Om008G343700	AL5G12070, AL7G43390
OG0000015	Om003G105790, Om004G154560	AL25U10010, AL6G22310, AL7G26200
OG0000015	Om002G088840	AL5G11190, AL1G65620, AL7G47990, AL2G21990, AL5G11720, AL615U10010, AL1G54160
OG0000017	Om003G112310	AL7G44020, AL3G44050, AL460U10020, AL6G40580
OG0000018	Om008G335480, Om007G284460, Om008G361630	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170, AL3G52170, AL5G41490, AL4G18100, AL8G33160, AL8G23170, AL4G13400, AL2G40700, AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440, AL7G47350, AL7G51150, AL6G47300, AL3G37170, AL3G43480, AL5G24330, AL6G42400
OG0000020	Om008G361320, Om007G309390	AL4G17980
OG0000021	Om001G038730	AL7G30150, AL5G20380, AL488U10010, AL4G29570
OG0000021	Om008G331340	AL8G10060
OG0000021	Om007G291430, Om002G057270, Om005G225300	AL5G16490, AL5G19200
OG0000021	Om001G020780, Om001G006810, Om002G059070	AL1G46090, AL5G10040, AL5G25470, AL96U10010
OG0000023	Om001G010360, Om001G009290	AL6G45910, AL7G30160, AL7G30170
OG0000023	Om008G351580	AL6G45970
OG0000023	Om008G351620, Om008G351630	AL1G66280
OG0000023	Om008G351640, Om008G351650	AL6G46070
OG0000023	Om001G010200	AL7G30270
OG0000023	Om001G010250	AL7G30280
OG0000025	Om002G073490, Om002G073430	AL7G42840
OG0000026	Om002G080990	AL2G12870, AL5G16730, AL9U11280
OG0000027	Om007G316890	AL4G16470
OG0000028	Om007G314890	AL3G41570
OG0000028	Om007G308810	nbis-gene-1243
OG0000029	Om005G216790	AL4G17400
OG0000030	Om004G150510, Om004G153710, Om020G374410, Om004G155320	AL1G54660
OG0000030	Om005G226380	AL4G45380, AL3G35100, AL8G39990, AL7G36770, AL2G36380, AL6G22280, AL6G40680, AL1G51440, AL103U10010, AL8G23430, AL4G17850, AL2G38670, AL9U11580, AL3G44120
OG0000031	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850	AL1G24380, AL1G24190
OG0000031	Om006G252510	AL6G27650
OG0000031	Om007G317990	AL7G48260
OG0000031	Om002G063040	AL3G29640
OG0000033	Om001G010240	AL7G30290
OG0000033	Om001G011550	AL7G30340
OG0000033	Om001G007120	AL7G32670
OG0000033	Om001G010110	AL7G30350, AL7G30310
OG0000034	Om003G107450	AL8G16120
OG0000034	Om008G345340	AL8G19610
OG0000034	Om008G344910	AL5G21550
OG0000034	Om002G079430	AL8G18300, AL7G23790, AL4G30020, AL5G40150, AL8G20130, AL210U10020, AL1G51890, AL5G17770
OG0000035	Om006G273920, Om002G042810	nbis-gene-779
OG0000035	Om007G280220, Om007G279280, Om006G269650, Om008G331040	AL8G43560
OG0000035	Om004G132400, Om008G334460, Om007G279790	AL4G27390, AL4G27770
OG0000037	Om008G355590	AL7G52580, AL4G33780
OG0000037	Om005G188070	AL6G39930, AL5G38410, AL53U10030, AL6G28120, AL3G49490, AL1G47310, AL3G45700, AL1G24730, AL1G48300, AL1G50060, AL5G25180, AL9U11060, AL1G21830, AL27U10010, AL9U10850, AL5G15730, AL1G55420, AL1G56420, AL5G24160, AL5G17920, AL6G39730
OG0000037	Om001G014920	AL3G27890
OG0000038	Om005G196570, Om004G131590	AL2G12050
OG0000038	Om003G091800	AL1G38800, AL1G38860
OG0000038	Om006G262290	nbis-gene-1329, AL4G25900, AL7G48990, nbis-gene-1928, AL6G35130, AL6G36280, nbis-gene-1360
OG0000038	Om002G053860, Om001G005520	AL3G22250, AL3G22230
OG0000039	Om008G321840	nbis-gene-244
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	AL1G39630, AL1G35700, AL1G40160, AL1G40170, AL1G40180, AL3G27510
OG0000040	Om008G328570	AL5G29320, AL5G29310, AL5G29340
OG0000040	Om002G067320	AL3G33370
OG0000042	Om007G298450	AL677U10010, AL2G11290, AL1G59470
OG0000042	Om004G177160	AL364U10020, AL6G48140
OG0000044	Om007G314900	AL5G16920, AL7G43910, AL3G42580
OG0000045	Om003G112290	AL2G19770
OG0000045	Om001G031280	AL1G56200, AL3G43240, AL2G29770
OG0000046	Om006G241220	AL7G51420
OG0000046	Om001G001860	nbis-gene-1820
OG0000046	Om006G253990	AL7G52540
OG0000046	Om005G206750	AL2G25210, AL2G25320
OG0000047	Om007G314310, Om002G071890, Om005G222620	AL5G32340
OG0000048	Om002G045400	AL3G13680
OG0000048	Om007G296190, Om007G296250	AL6G29120, AL6G29220
OG0000049	Om002G080850	AL1G48060, AL3G47420
OG0000050	Om007G308990	AL2G19460, AL7G40460, AL8G34860, AL8G13000, AL5G20430
OG0000052	Om005G179650, Om008G361390, Om005G180640	AL1G20340
OG0000052	Om008G354070, Om008G326640	AL4G40940
OG0000052	Om008G326650	AL4G40930
OG0000052	Om008G326580	AL4G41010, AL4G41000
OG0000054	Om008G359460, Om008G361290	AL4G17970
OG0000054	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320	nbis-gene-807
OG0000055	Om005G224080	AL2G13840
OG0000055	Om001G019570	AL1G66000
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	AL2G14050, AL2G14060, AL2G14070, AL2G14080, AL2G14090
OG0000057	Om004G172320, Om008G335030, Om004G172300	AL3G53160, AL3G53140
OG0000059	Om003G092270, Om002G088980	AL3G44960, AL8G19180, AL27U10030
OG0000059	Om001G008500	AL3G36810
OG0000061	Om006G238480	AL2G21910
OG0000061	Om003G106600, Om008G345470, Om008G347220	AL8G29100, AL1G31420, AL8G26420, AL6G33330
OG0000062	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320, Om003G109490	nbis-gene-221
OG0000063	Om006G254290	AL5G25220
OG0000063	Om007G283280	AL1G18100
OG0000064	Om001G041080	AL7G10840
OG0000065	Om001G017390, Om007G310090, Om006G252300, Om006G263980, Om007G310120	AL7G38070
OG0000065	Om007G309700, Om010G364600	AL8G10180, AL5G20920
OG0000065	Om010G364610	AL1G58700, AL3G43110, AL5G25070, AL6G41840, AL1G46690, AL1G38210, AL4G24090, AL1G57190, AL4G15800, AL8G14560, AL6G52830, AL6G48500
OG0000066	Om004G164550	AL2G35580, AL3G43470, AL6G41640, AL2G35590
OG0000066	Om004G165560, Om006G231870, Om008G337830, Om006G231860	AL6G20900
OG0000066	Om004G165570	AL5G16700
OG0000067	Om001G023220	AL3G20250, AL3G20240, AL3G20260
OG0000067	Om004G137760	AL6G14890, AL6G15310
OG0000067	Om004G163960, Om004G163910, Om001G022040, Om004G163900	AL6G18740
OG0000070	Om007G311790	AL5G12380, AL5G12270, AL2G23610
OG0000070	Om012G367940, Om012G366740	AL5G18180, AL5G24080
OG0000071	Om008G360280, Om004G166900	AL4G15570, AL2G13830, AL5G27290, AL1G43970, nbis-gene-561
OG0000071	Om001G039370, Om007G316830, Om001G007220, Om005G207500, Om005G187680, Om002G068810, Om002G068800, Om003G110690	AL6G40690
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	AL6G46480, AL2G19590, AL8G24560, AL4G13100, AL8G26200, AL7G48370, AL1G49480, AL3G45860, AL3G47220, AL5G17870, AL6G38840, AL6G40590, AL1G47050, AL6G52460, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL7G34330, AL5G17840, AL8G17600, AL2G22170, AL3G44280, AL7G53070, AL1G54140, AL170U10010, AL3G46660, AL7G45510, AL5G10400, AL3G43610, AL4G17930, AL4G12360, AL5G17970, AL9U10780, AL8G20850
OG0000072	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200	AL4G15980
OG0000073	Om002G052330	AL3G20910
OG0000073	Om008G360660, Om008G360260	AL8G11840
OG0000074	Om004G144080	AL1G37350
OG0000074	Om004G144060	AL1G37390
OG0000074	Om004G144350	AL1G37440
OG0000074	Om004G143980	AL1G37400
OG0000074	Om004G144100	AL4G22700, AL1G37370, AL1G37380, AL1G37360
OG0000074	Om004G144220, Om004G144230	AL1G37420
OG0000074	Om004G143840	AL1G37270
OG0000075	Om008G356700, Om004G132620, Om001G003590, Om001G003700	AL1G22300
OG0000075	Om005G194550	AL5G25310
OG0000076	Om006G242520	AL1G65610
OG0000076	Om003G090370	AL5G15900
OG0000077	Om001G035000	AL7G11690
OG0000077	Om001G033890	AL1G52780, AL1G52760, AL1G52750
OG0000077	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490	AL7G11590
OG0000077	Om005G195310	AL2G16730, AL2G16030
OG0000078	Om007G305480, Om008G337420	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710
OG0000079	Om003G122890, Om003G122910, Om003G122930, Om003G122940	AL5G40790
OG0000079	Om003G122800, Om003G122790	AL4G18900, AL4G18910
OG0000079	Om003G122810	AL5G40710
OG0000079	Om003G122880, Om003G122870	AL5G40610, AL5G40780
OG0000080	Om004G135430	AL6G16510, AL7G46170
OG0000080	Om001G013570	AL1G54400
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	AL1G53180, AL1G35400, AL7G44920, AL3G24690
OG0000081	Om001G032270	nbis-gene-250
OG0000081	Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470	AL1G54580, AL1G54620
OG0000081	Om003G118960, Om005G227240	AL2G11100
OG0000081	Om003G096460	nbis-gene-277
OG0000081	Om005G184670, Om005G184660	nbis-gene-1537
OG0000083	Om005G206370	AL57U10030
OG0000084	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580	AL4G18560
OG0000086	Om004G163220	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023
OG0000087	Om006G238380	AL6G35120
OG0000087	Om007G282390	AL4G24260
OG0000087	Om006G235110	AL8G39670
OG0000087	Om004G162490	AL6G23060
OG0000087	Om008G339690	AL4G30750
OG0000087	Om008G355890	AL8G15560
OG0000087	Om001G006430	AL7G33260
OG0000087	Om004G137360	AL2G35770
OG0000088	Om003G119630	AL5G23250, AL5G26870, AL3G46650, AL5G26810, AL5G26350, AL5G26360
OG0000088	Om006G242180	AL6G32010
OG0000089	Om007G292110, Om004G166350	AL6G20220
OG0000089	Om002G065930	AL3G32160, AL1G56110
OG0000089	Om002G055730	AL3G23740
OG0000089	Om008G335280	AL4G34130, AL4G34190
OG0000090	Om005G202290, Om005G179690	AL2G24470, AL4G11370, AL1G32980
OG0000090	Om004G136810	AL2G35960
OG0000090	Om002G055690, Om003G124430	AL7G16760
OG0000093	Om003G122050	AL5G40110
OG0000093	Om001G033140	AL3G42890
OG0000093	Om003G122010	AL5G40100
OG0000093	Om003G121870	AL5G39960
OG0000093	Om003G121950	AL5G39980, AL5G40000
OG0000096	Om007G301150, Om003G093070, Om006G274060	AL5G12940, AL5G12970, AL5G12960
OG0000096	Om004G143550, Om008G360980	AL8G13920, AL8G13900, AL2G25710
OG0000096	Om005G187930	AL1G20220
OG0000097	Om008G355550, Om008G355560	AL6G49050
OG0000097	Om008G355570	AL6G49140
OG0000097	Om008G355700	AL6G49150
OG0000097	Om008G355610, Om008G355650, Om008G354170, Om008G354150	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010
OG0000097	Om008G355680, Om008G355600, Om004G133820	AL6G49120
OG0000098	Om001G001780	AL2G13240
OG0000098	Om005G191670, Om008G342380	nbis-gene-1028
OG0000098	Om005G191920, Om005G192380	AL1G23480
OG0000099	Om005G227450	AL2G11060
OG0000099	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970	AL2G11040
OG0000099	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320	AL6G43560, nbis-gene-367
OG0000099	Om005G227510	AL2G11960
OG0000100	Om004G142840	AL2G20140, AL8G14910, AL5G22850, nbis-gene-262
OG0000101	Om005G227680, Om005G227700, Om005G227110	AL2G11240
OG0000101	Om005G226820	AL2G11390
OG0000101	Om005G226700, Om005G227060	AL2G11210
OG0000104	Om005G185360	AL1G17740
OG0000104	Om007G283020	AL4G23570
OG0000104	Om003G095420	AL1G55940
OG0000104	Om007G283060	nbis-gene-14, AL4G23520
OG0000106	Om005G222030	nbis-gene-1973
OG0000107	Om002G067740	AL3G33810
OG0000107	Om002G067770	AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853
OG0000108	Om003G100270, Om003G100260	AL1G41020, AL1G41010, AL1G41000, AL1G40990, AL4G14170
OG0000108	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810	nbis-gene-805, AL3G44060, AL3G44020, AL3G44030, AL3G43980
OG0000108	Om006G273840, Om006G273820	AL2G26330
OG0000110	Om003G123380	AL8G16450
OG0000110	Om003G123410	AL5G41090
OG0000110	Om003G123400	AL5G41080
OG0000112	Om005G189180	AL8G25360
OG0000117	Om002G088690	AL3G40390
OG0000117	Om001G014550, Om007G292320	AL347U10020
OG0000118	Om008G333780	AL5G18800
OG0000119	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470
OG0000120	Om005G221860	nbis-gene-408, AL2G15570
OG0000120	Om007G296760, Om007G296900, Om004G172660	nbis-gene-1458
OG0000122	Om003G118900, Om003G118890	AL8G31960
OG0000122	Om003G118720, Om003G118730	nbis-gene-2149
OG0000123	Om005G193280, Om005G193230, Om005G193260	AL1G25180, AL1G25190
OG0000124	Om005G227380, Om001G036630, Om003G104490, Om003G111030, Om003G110990, Om003G111110, Om003G111130	AL3G31830, AL1G41300
OG0000124	Om008G318760, Om007G317440	AL3G43990
OG0000124	Om001G019350	nbis-gene-2162
OG0000124	Om003G103030	AL7G52490, AL6G41390, AL3G51120
OG0000125	Om002G052080	AL3G20660, AL6G11840
OG0000125	Om006G244360	AL6G34020
OG0000125	Om005G185630	AL1G18070
OG0000125	Om006G245540	AL5G24690, AL189U10030, AL8G36480
OG0000125	Om007G283300	AL4G23250
OG0000127	Om004G176280	AL6G11080
OG0000127	Om005G189950	AL1G22150
OG0000127	Om005G189960	AL1G22140, AL1G22160, AL1G17320, AL638U10010
OG0000128	Om005G217280	AL7G53080
OG0000130	Om004G149990	AL4G25960
OG0000131	Om003G106820	AL5G18060
OG0000131	Om007G307190	AL1G57250
OG0000132	Om008G361300	AL8G11070
OG0000133	Om008G345870, Om008G349240, Om008G358290, Om008G345600, Om001G024110, Om007G315880	AL8G19570, AL25U10030
OG0000136	Om003G099850	AL8G39760
OG0000136	Om002G064560	nbis-gene-1913, AL7G53060
OG0000138	Om002G065910	AL5G19720
OG0000138	Om001G037700	AL5G19740
OG0000138	Om001G026370	AL5G19700, AL5G19780
OG0000140	Om006G246590	AL8G35600
OG0000140	Om006G247230, Om006G247200	nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178
OG0000140	Om006G246640	AL48U10010, nbis-gene-2180
OG0000144	Om002G077770, Om003G104710	AL9U10360
OG0000144	Om007G317180	AL2G23260
OG0000146	Om003G117350	AL8G30890
OG0000146	Om003G117400, Om003G117360	AL8G30920
OG0000147	Om002G086500	AL3G52950
OG0000147	Om001G025660	AL7G22000
OG0000147	Om007G285990, Om006G249440	AL8G33330
OG0000147	Om004G130850	AL2G40780
OG0000147	Om006G268290	AL5G20850
OG0000147	Om002G078960	AL3G44180
OG0000150	Om007G296930	AL5G21720, AL5G21730
OG0000150	Om003G096700	AL5G24110
OG0000151	Om003G114720	AL8G28000
OG0000151	Om001G021860	AL7G24680
OG0000151	Om002G051120	AL3G19690
OG0000151	Om002G082850	AL3G49460
OG0000151	Om003G118410	AL8G31780
OG0000151	Om005G227900	AL2G10770
OG0000154	Om002G065770, Om004G147300, Om004G147290, Om002G052020, Om002G052040, Om001G020420	AL1G66060
OG0000154	Om005G196960	AL1G28200
OG0000154	Om002G056330	AL3G24230
OG0000154	Om004G175620	AL6G11740
OG0000154	Om004G175630	AL6G11730
OG0000155	Om001G020030	AL7G25530
OG0000155	Om001G007090	AL7G32730
OG0000155	Om001G007100	AL2G23090, AL2G23080, AL7G32710
OG0000155	Om002G055620	AL3G23610
OG0000155	Om005G221310	AL6G37570, AL4G46600
OG0000156	Om008G321950, Om008G321940	AL4G44730
OG0000157	Om008G326040, Om008G355750	AL7G47920, AL4G35660, AL4G35650, AL4G35680, AL4G35640
OG0000160	Om006G239520	AL1G48950
OG0000160	Om003G114830, Om001G041000, Om006G275250, Om004G160260, Om003G104260, Om002G079610	AL8G31450, AL236U10040
OG0000160	Om008G337340, Om005G210710, Om006G261180, Om004G134480	AL5G16300
OG0000161	Om006G236100, Om006G236170	AL8G38700, AL8G38710, AL1G60690, AL8G25830, AL4G22760, AL4G22720
OG0000161	Om007G278440	AL2G20180
OG0000161	Om004G167210, Om006G249300	AL2G19840, AL2G19870, nbis-gene-452
OG0000162	Om003G125340	AL4G20750
OG0000162	Om008G322780, Om008G322790	AL4G44040
OG0000164	Om001G024320	AL7G23040
OG0000164	Om001G039840	AL7G11950, AL8G23520
OG0000164	Om001G039830	AL7G11960
OG0000165	Om005G200180, Om007G315340	AL481U10020
OG0000166	Om002G081230	AL2G32690
OG0000166	Om001G014850	AL3G52050
OG0000166	Om006G255610, Om002G081240, Om002G060790	AL2G13810
OG0000167	Om001G004410	AL7G34470
OG0000167	Om001G004360	AL7G34530
OG0000168	Om001G041790	AL2G17030, AL4G12920, AL4G12860
OG0000169	Om003G127060	AL1G64890
OG0000171	Om003G127920	AL2G23510
OG0000171	Om005G207720	AL1G37260
OG0000171	Om005G220880	AL1G21480
OG0000171	Om007G301020	AL6G25440
OG0000172	Om003G122950	AL5G40760
OG0000172	Om003G123010, Om006G260870	AL5G40860
OG0000172	Om003G123000	AL5G40850
OG0000172	Om003G122820, Om006G274300	AL5G40800
OG0000174	Om003G109150	AL6G41080
OG0000175	Om006G257450	AL5G31720
OG0000175	Om004G137100	AL2G35850
OG0000175	Om002G082840	AL7G16200
OG0000176	Om001G007740, Om001G007770, Om001G007760, Om004G147890, Om004G147900, Om004G142560, Om007G292150	AL1G44860
OG0000176	Om007G291450	AL1G44920, AL1G44890
OG0000176	Om008G352670, Om008G352700, Om008G352660, Om008G352690, Om007G291500	AL1G44470, AL1G44400
OG0000178	Om002G070900, Om008G348660	AL4G22400
OG0000178	Om004G174380, Om002G066990	AL2G18800
OG0000178	Om005G220760	AL5G13930
OG0000178	Om005G226210	AL1G50370
OG0000178	Om004G134680, Om004G134670, Om003G110440, Om002G077640, Om005G199540, Om007G276140, Om004G164470, Om002G068680	AL2G30330, AL1G50770
OG0000180	Om008G336650	AL3G38360
OG0000180	Om006G256410, Om003G119900	AL5G45620
OG0000183	Om008G341930	AL5G32880, AL6G28130
OG0000184	Om006G270790	AL3G43630
OG0000185	Om001G041450, Om008G356330, Om008G319330	AL6G10840, AL8G35610, AL2G32620, AL1G29430
OG0000186	Om007G285030	AL4G20870
OG0000187	Om001G028150, Om001G030060, Om001G033230, Om001G030100, Om008G336940, Om001G028140	nbis-gene-1736
OG0000187	Om004G145860, Om004G145950	nbis-gene-1735, AL22U10010, nbis-gene-1954, AL7G51970
OG0000187	Om001G028260, Om001G028280	AL7G20320
OG0000189	Om006G250870	AL7G12140
OG0000189	Om001G037310	AL7G13810
OG0000189	Om001G038960	AL7G12760
OG0000190	Om008G353940	AL6G47960
OG0000190	Om008G355670	AL6G47970
OG0000191	Om005G197150	AL3G29510
OG0000191	Om005G197140	nbis-gene-1106
OG0000191	Om002G064270	nbis-gene-889
OG0000192	Om005G203480	AL1G34360
OG0000192	Om005G203440	AL1G34280
OG0000192	Om005G203410	AL1G34310, AL1G34270, AL1G34330, AL1G34320, AL1G34340
OG0000193	Om002G071740, Om002G071690	nbis-gene-789
OG0000193	Om008G326490	nbis-gene-744, AL3G35120
OG0000193	Om005G206290	AL3G35160, AL3G35150, AL3G35070, AL5G24180
OG0000195	Om003G119760	AL5G38180
OG0000195	Om007G285150	AL7G46650, AL2G24200, AL6G32820, AL5G21780
OG0000196	Om005G185020	AL1G42930
OG0000197	Om004G163020	AL3G52780
OG0000200	Om005G182720	AL5G29460, AL8G22470
OG0000201	Om002G070200	AL3G36210, AL3G36200
OG0000201	Om002G070290	nbis-gene-767
OG0000202	Om002G064090	AL3G30850
OG0000202	Om020G374490, Om011G365230	AL3G42640, nbis-gene-802, AL3G42750, AL3G42550, nbis-gene-801, AL3G36630, AL3G50390, AL3G37040, AL3G37010, AL3G37000, nbis-gene-800, AL3G37020
OG0000203	Om003G095370, Om002G055150	AL3G14720, AL3G14710, AL3G14700
OG0000203	Om002G046450, Om002G046460	nbis-gene-688, AL3G14200, AL6G22600, AL6G22480, AL6G22490
OG0000207	Om008G331300	AL2G28790
OG0000207	Om004G136280	AL2G39150, AL4G20460
OG0000208	Om001G040250	AL8G26210, AL311U10010
OG0000209	Om005G228040, Om005G227980	AL2G10720
OG0000209	Om005G228080	AL1G57470
OG0000210	Om001G032060, Om001G032100	AL5G13350, nbis-gene-1199, AL5G13340, AL7G52550, AL7G52570, AL6G22950, nbis-gene-1198
OG0000210	Om007G278540	AL4G28810, AL4G28800
OG0000210	Om007G278560	AL4G28780, AL8G17590
OG0000213	Om004G141230, Om005G208800	AL2G33070
OG0000213	Om002G053370	AL3G21810
OG0000213	Om001G036460, Om001G036440, Om001G036450	AL4G12610, AL4G12630, AL4G12560, AL4G12620, AL4G12650, AL4G12640, AL4G12670
OG0000214	Om007G281030	AL2G28240
OG0000214	Om004G145430	AL6G47610
OG0000214	Om004G136700, Om004G136680, Om004G145470	AL6G50960
OG0000215	Om003G099020	AL4G15000
OG0000216	Om001G007580	AL7G31490
OG0000216	Om003G116290, Om001G008720, Om006G250260	AL7G31480, nbis-gene-1800
OG0000217	Om001G001730	AL1G65670
OG0000217	Om001G001710, Om001G001540, Om001G001620, Om001G001600	AL7G46780, AL2G17080, AL2G17100
OG0000218	Om005G195550	AL1G26980, AL1G27000, AL1G27010
OG0000218	Om005G195570, Om005G195580	AL1G27020
OG0000218	Om001G010890, Om001G010900, Om001G010920	AL5G15240
OG0000218	Om004G138180	AL7G42370
OG0000218	Om006G241660	AL5G10550, AL5G13150, AL5G10520
OG0000219	Om005G213260	AL2G25070, AL2G25100
OG0000219	Om007G282230	nbis-gene-1037, nbis-gene-362
OG0000219	Om008G350180, Om006G237850, Om006G237870	AL8G28390, AL8G28400
OG0000220	Om007G276730, Om007G315520	AL2G14230
OG0000221	Om002G088910	AL429U10020, AL7G52630, AL3G46320, AL299U10020
OG0000224	Om004G134640, Om004G134630	AL2G37740, AL2G37720
OG0000224	Om005G225780	AL2G12370, AL2G12360
OG0000225	Om007G289790	AL1G43260, AL1G43240
OG0000225	Om007G289810	AL1G43270
OG0000225	Om007G289830, Om007G289770	nbis-gene-176
OG0000226	Om003G089750	AL1G41350, AL1G37710, AL1G37720, AL1G37670, AL1G42110
OG0000226	Om002G080610	AL1G52850
OG0000229	Om001G026580	AL1G54760, AL1G59580, AL1G61110
OG0000230	Om004G137280, Om004G137390, Om004G137300, Om004G137400	AL8G15430
OG0000231	Om006G259610	AL7G51760
OG0000232	Om004G153390, Om018G374050, Om002G054380	AL3G22620
OG0000233	Om001G036910	AL3G36230
