Orthogroup	Odontarrhena_muralis	Noccaea_praecox
OG0000055	Om008G333680	Np002G119230
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	Np002G119520, Np002G119220, Np002G119170
OG0000056	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230
OG0000056	Om005G209160, Om002G073230, Om001G006930, Om005G212260	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660
OG0000056	Om003G107750, Om001G017780	Np004G212730, Np003G173160, Np006G358710, Np006G344700, Np009G432740, Np001G036840, Np007G404120
OG0000058	Om006G274780, Om004G171770	Np008G427720, Np001G035900
OG0000058	Om006G269070, Om006G268950, Om004G151670	Np001G038390, Np006G352050, Np005G294870
OG0000058	Om006G251390	Np003G189490, Np008G428090
OG0000058	Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530	Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510
OG0000058	Om008G335110, Om007G318000, Om007G289630, Om007G296230	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520, Np006G359730, Np001G037410
OG0000058	Om002G075570	Np006G359650
OG0000059	Om003G092270, Om002G088980	Np004G202770
OG0000061	Om006G238480	Np004G218870, Np004G219580, Np004G218830, Np007G398820
OG0000062	Om002G057790	Np004G225350
OG0000062	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320	Np003G173970, Np003G170000
OG0000063	Om005G185660	Np005G306870
OG0000063	Om007G283280	Np003G152310
OG0000064	Om001G041080	Np005G260880
OG0000064	Om001G033560	Np004G235840
OG0000065	Om006G267840	Np008G425980
OG0000065	Om005G217710	Np003G168940
OG0000065	Om007G310120	Np008G428560, Np008G428010
OG0000066	Om001G039490	Np003G137390
OG0000066	Om001G039500, Om004G164550	Np005G262320
OG0000066	Om008G337830, Om006G231860	Np003G136700
OG0000066	Om004G165570	Np003G136710
OG0000067	Om001G023220	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340
OG0000068	Om006G264170, Om007G304230, Om004G149200, Om004G147110	Np002G089430
OG0000068	Om003G109360, Om001G015230, Om008G350760, Om006G263810, Om008G342030, Om002G073940	Np003G152860, Np004G247010, Np001G023980, Np002G112070, Np007G393050, Np002G095360, Np006G328420, Np002G104000
OG0000069	Om005G212160	Np003G152400
OG0000070	Om008G344650	Np002G101130
OG0000070	Om005G218350	Np002G100330
OG0000070	Om004G150670	Np002G101580
OG0000070	Om007G311790	Np002G097070, Np006G358640, Np002G099070
OG0000070	Om012G367940, Om012G366740	Np009G431130, Np002G106230, Np006G346190, Np003G169290, Np002G097490, Np007G399960
OG0000070	Om007G307520, Om004G146520	Np002G099050
OG0000071	Om001G016290, Om004G163830	Np001G008970, Np006G370520, Np003G157740
OG0000071	Om008G360280, Om004G166900	Np003G163260, Np003G136370, Np006G335610, Np002G086650, Np001G013300, Np006G331390, Np001G008190, Np007G394880, Np004G207250, Np006G360210, Np003G130630, Np004G204530
OG0000071	Om001G039370	Np005G271980, Np004G200680, Np006G328540, Np001G013290
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000072	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200	Np001G034150
OG0000074	Om004G144080	Np004G229920
OG0000074	Om004G144240, Om004G144070, Om004G144330, Om004G144320	Np004G230020
OG0000074	Om004G144060	Np004G229960
OG0000074	Om004G144350	Np004G229890
OG0000074	Om004G143980	Np004G230030
OG0000074	Om004G144100	Np003G180910, Np003G184200
OG0000075	Om005G191180, Om008G356700, Om004G132620, Om001G003590, Om001G003700	Np007G378600
OG0000076	Om006G242520	Np007G423950
OG0000076	Om003G090370	Np001G021860
OG0000077	Om001G039420, Om001G034120, Om001G040110, Om005G191300	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	Om001G033890	Np007G386290
OG0000077	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490	Np006G360730
OG0000078	Om007G305480, Om008G337420	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660
OG0000079	Om003G122890, Om003G122910, Om003G122930, Om003G122940	Np001G064190
OG0000079	Om003G123020	Np007G422670
OG0000079	Om003G122800, Om003G122790	Np007G389360
OG0000079	Om003G122810	Np001G064140
OG0000080	Om004G135430	Np006G334220
OG0000080	Om001G013570	Np006G321280, Np006G321720, Np003G146070, Np004G250430
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	Np006G351210, Np005G318150, Np005G318140, Np004G240560, Np006G328080
OG0000081	Om003G098080	Np004G196080, Np004G196070
OG0000082	Om008G349260	Np005G299120, Np006G332300
OG0000082	Om003G121830, Om002G084590	Np005G274330
OG0000083	Om005G206370	Np002G090350
OG0000084	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580	Np006G365060, Np006G365040
OG0000087	Om006G238380	Np001G049810, Np001G010980
OG0000087	Om007G282390	Np006G350150, Np008G428160
OG0000087	Om006G235110	Np005G287050
OG0000087	Om004G162490	Np003G139100
OG0000087	Om008G355890	Np001G039930
OG0000087	Om001G006430	Np005G287110
OG0000087	Om004G137360	Np002G077440
OG0000088	Om003G119630	Np001G038910, Np001G038970
OG0000088	Om006G242180	Np003G148700, Np003G148740
OG0000089	Om004G166350	Np003G136030
OG0000089	Om002G065930	Np007G395030
OG0000089	Om002G055730	Np007G409340
OG0000089	Om006G254270, Om008G335280	Np006G336940
OG0000089	Om006G246310, Om006G246300	Np001G046210
OG0000090	Om005G202290, Om005G179690	Np004G235330
OG0000090	Om004G136810	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	Om003G098630, Om003G099040	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600
OG0000090	Om002G055690, Om003G124430	Np007G385680, Np001G065320, Np001G065030
OG0000091	Om006G264850, Om002G080860	Np003G165480
OG0000093	Om003G122050	Np001G063230
OG0000093	Om001G033140	Np001G005730
OG0000093	Om003G122010	Np001G063180
OG0000096	Om007G301150, Om003G093070, Om006G274060	Np001G024770
OG0000096	Om004G143550, Om008G360980	Np001G038130, Np002G092700
OG0000097	Om008G355560	Np003G184990
OG0000097	Om008G355570	Np003G185010
OG0000097	Om008G355700	Np003G171600
OG0000097	Om008G355610, Om008G355650, Om008G354170, Om008G354150	Np003G185030
OG0000098	Om001G001780	Np002G116580
OG0000099	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970	Np002G113890, Np002G123650, Np007G403740
OG0000099	Om005G227260	Np002G123570, Np004G227550, Np002G123550
OG0000099	Om003G118970	Np002G123540
OG0000099	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320	Np004G215640
OG0000099	Om005G227510	Np004G228310, Np002G123620, Np002G123600, Np002G119820, Np002G123590, Np002G123610, Np002G112400
OG0000100	Om007G304610	Np004G233090, Np003G158140
OG0000100	Om004G142840	Np006G360420, Np005G260470
OG0000101	Om005G227680, Om005G227700, Om005G227110	Np002G123360
OG0000104	Om005G185360	Np004G251930
OG0000104	Om007G283050, Om007G283070	Np006G360060
OG0000104	Om007G283020	Np006G360100
OG0000104	Om003G095420	Np004G195160
OG0000104	Om002G069400	Np007G381330
OG0000104	Om007G283060	Np006G360080
OG0000106	Om002G065290	Np007G394220
OG0000107	Om002G067730	Np007G398440, Np007G418450
OG0000107	Om004G133090, Om001G020080	Np007G380680
OG0000107	Om002G067720, Om007G309010	Np005G305610
OG0000108	Om003G100270, Om003G100260	Np001G011650, Np001G011550
OG0000108	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810	Np007G389900
OG0000108	Om006G273840, Om006G273820, Om006G273810	Np004G259470
OG0000110	Om003G123410	Np001G064490
OG0000110	Om003G123400	Np001G064470
OG0000111	Om006G259270	Np001G006010
OG0000111	Om004G134730, Om004G134740, Om006G234230	Np001G006000
OG0000112	Om006G237220, Om006G237210, Om001G003630, Om008G359070, Om008G359090, Om008G359060, Om005G189180	Np003G184320
OG0000113	Om005G227040, Om005G227030	Np002G122980
OG0000113	Om008G360430	Np002G089300
OG0000113	Om008G360410, Om008G360750	Np002G089320
OG0000118	Om008G333780	Np005G315460
OG0000119	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890, Om002G078050, Om003G114030, Om001G022840, Om005G223060, Om007G309980	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260
OG0000119	Om004G164230, Om005G214120, Om005G222850	Np004G207330, Np002G099820, Np005G299250, Np003G165980, Np004G231120, Np005G282950, Np004G230600, Np003G169670, Np003G176970
OG0000119	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730	Np002G102980
OG0000120	Om005G221860	Np002G117060, Np002G116940
OG0000120	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280
OG0000120	Om007G296760, Om007G296900	Np003G129250
OG0000122	Om004G163000	Np003G157760
OG0000122	Om003G118900, Om003G118890, Om003G118880	Np001G056320
OG0000122	Om003G118720	Np003G158000
OG0000123	Om005G193630	Np004G243230
OG0000123	Om005G193640	Np004G243210
OG0000124	Om008G318760, Om007G317440	Np006G348530
OG0000125	Om002G052080	Np003G126800
OG0000125	Om006G244360	Np003G151060
OG0000125	Om006G245540	Np003G152340
OG0000125	Om007G283300	Np006G359820
OG0000126	Om006G262390	Np002G094910
OG0000127	Om004G176280	Np003G125840
OG0000127	Om005G189960	Np002G096200
OG0000131	Om003G106820, Om007G307190	Np003G174400
OG0000133	Om008G345870, Om008G349240	Np005G308080
OG0000133	Om008G358290, Om008G345600, Om001G024110, Om007G315880	Np002G099680, Np008G425630
OG0000135	Om002G054930, Om005G226530	Np003G164400, Np004G199120, Np004G190020, Np006G371220
OG0000137	Om002G072120, Om006G268330, Om006G262830	Np003G159210, Np001G035140, Np002G094880
OG0000137	Om006G258530	Np003G131090, Np002G110900
OG0000138	Om005G207670, Om005G207700	Np002G085290
OG0000138	Om001G026370	Np002G085240, Np002G085270, Np002G085250
OG0000139	Om003G107910, Om003G108000	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840
OG0000140	Om006G246590	Np003G153340
OG0000140	Om006G258900, Om006G244250, Om001G032190, Om006G246600	Np006G370470, Np006G370770
OG0000140	Om006G247230, Om006G247200	Np003G153920
OG0000140	Om006G246640	Np003G153430, Np007G424390, Np003G153390
OG0000140	Om006G266710	Np001G046630
OG0000142	Om007G282660	Np006G360490
OG0000144	Om022G374950	Np007G408140
OG0000145	Om005G215130	Np005G299660
OG0000146	Om003G117410	Np003G160050
OG0000146	Om006G249020	Np003G160210
OG0000146	Om003G117350	Np003G160230
OG0000146	Om003G117400, Om003G117360	Np003G160060, Np003G160140, Np003G160190
OG0000146	Om003G090770	Np003G160640
OG0000146	Om008G326830	Np003G182950
OG0000147	Om002G086500	Np007G373950
OG0000147	Om001G025660	Np005G273990
OG0000147	Om007G285990, Om006G249440	Np003G156060
OG0000147	Om004G130850	Np002G071170
OG0000147	Om006G268290	Np001G043050
OG0000147	Om002G078960	Np007G389960
OG0000149	Om006G245850	Np003G152750
OG0000149	Om006G245840	Np003G152680
OG0000150	Om008G323560	Np003G156160, Np003G156150, Np003G183630
OG0000151	Om003G114720	Np003G164170
OG0000151	Om001G021860	Np005G277020
OG0000151	Om002G082850	Np007G376880
OG0000151	Om003G118410	Np003G158280
OG0000152	Om003G098350	Np004G226970
OG0000154	Om002G065770, Om004G147300, Om004G147290, Om002G052020, Om002G052040, Om001G020420	Np002G086500
OG0000154	Om005G196960	Np004G240190
OG0000154	Om002G056330	Np007G408850
OG0000154	Om004G147280	Np006G330440
OG0000154	Om004G175620	Np003G126710
OG0000154	Om004G175630	Np003G126700, Np003G127150, Np002G112020
OG0000155	Om001G020030	Np004G218540
OG0000155	Om001G007100	Np005G287960
OG0000155	Om002G055620	Np007G409550
OG0000156	Om006G244600	Np001G066040
OG0000156	Om008G322060	Np006G324150
OG0000156	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020	Np006G324140
OG0000157	Om001G032790, Om001G032520, Om008G334520, Om008G334530, Om002G083660	Np006G338300
OG0000158	Om004G142800, Om001G036830, Om001G012390, Om001G033100, Om001G033130	Np001G070050
OG0000160	Om006G260300, Om005G203330, Om001G023460, Om002G054080, Om003G092480	Np006G327850
OG0000160	Om006G239520, Om003G114830, Om001G041000, Om006G275250, Om004G160260, Om003G104260, Om002G079610	Np002G094170
OG0000161	Om006G236100, Om006G236170	Np001G008600, Np001G006330, Np001G006400
OG0000161	Om007G278440	Np005G311810
OG0000161	Om004G167210, Om006G249300	Np002G086610
OG0000162	Om003G125340	Np006G363910
OG0000162	Om003G125170	Np001G066230
OG0000162	Om003G125360	Np006G353880
OG0000162	Om008G322780, Om008G322790	Np006G324990
OG0000164	Om001G024320	Np005G275210
OG0000164	Om001G039840	Np005G261970
OG0000165	Om005G200180, Om007G315340	Np007G398000, Np003G163020, Np003G177100, Np003G180650, Np003G184270, Np003G134920, Np002G098680
OG0000166	Om002G081230	Np001G026760, Np005G278550
OG0000166	Om006G255610, Om002G081240, Om002G060790	Np003G159070
OG0000167	Om001G004410	Np005G289610
OG0000167	Om001G004360	Np004G202230
OG0000167	Om001G004400, Om001G004440	Np005G289620
OG0000167	Om001G004340	Np005G289670, Np005G289680
OG0000168	Om001G041790	Np007G418090, Np005G293780
OG0000171	Om003G127920	Np006G321770, Np001G068570
OG0000171	Om005G220880	Np002G116080, Np004G248080
OG0000171	Om007G301020	Np003G141590
OG0000174	Om003G109150	Np004G217810
OG0000175	Om002G084540	Np007G375370, Np001G053050
OG0000175	Om004G137100	Np002G077280
OG0000175	Om002G082840	Np007G376890
OG0000176	Om001G007740, Om001G007770, Om001G007760, Om004G147890, Om004G147900, Om004G142560, Om007G292150	Np005G310750, Np005G310470
OG0000177	Om002G077990	Np005G303140
OG0000177	Om004G151970	Np005G303130, Np003G152980
OG0000178	Om006G274730, Om001G029800, Om003G091050, Om004G155850, Om002G053360, Om005G210720	Np002G123320, Np001G009130
OG0000180	Om008G336650	Np005G291330, Np005G294660, Np005G291290, Np005G292670, Np005G292680, Np005G291280
OG0000180	Om006G256410, Om003G119900	Np006G370740, Np006G370680
OG0000184	Om006G270790	Np006G360300, Np002G106510
OG0000186	Om007G285030	Np006G361310
OG0000186	Om004G150540	Np004G219150
OG0000187	Om001G030100, Om008G336940	Np005G271570
OG0000187	Om004G145860, Om004G145950	Np005G271520
OG0000187	Om001G028260, Om001G028280	Np005G271420
OG0000188	Om002G075380	Np007G412320
OG0000189	Om007G298410, Om006G250870, Om001G039670	Np005G262130
OG0000189	Om007G308480, Om007G308250, Om007G308860, Om001G038960, Om001G037320	Np001G019990
OG0000190	Om008G353940	Np003G183360
OG0000190	Om008G355670	Np003G183510
OG0000191	Om005G197150	Np007G391150, Np007G391080
OG0000192	Om005G203440	Np002G086820, Np007G389770, Np002G076020
OG0000193	Om002G071740, Om002G071690	Np007G384080
OG0000193	Om005G206290	Np007G380880, Np007G381040, Np007G381000
OG0000195	Om006G243060	Np001G043630
OG0000195	Om008G328660	Np006G330650, Np003G149770
OG0000195	Om007G285150	Np005G312480, Np002G094990, Np001G061270
OG0000196	Om005G185020, Om005G182080	Np004G212030
OG0000197	Om008G330910, Om001G002150, Om004G163020	Np002G087170
OG0000200	Om004G141410, Om003G096320, Om003G096270, Om003G096260, Om001G015930, Om002G066490, Om002G066530, Om005G183320, Om005G183380	Np004G253810, Np003G178590, Np003G177800, Np003G177780, Np003G180100, Np003G179170, Np003G178080
OG0000200	Om005G182720	Np004G254580
OG0000203	Om002G052090, Om002G046440	Np001G033810
OG0000203	Om003G095370, Om002G055150	Np007G420280, Np004G195540
OG0000203	Om002G046450, Om002G046460	Np007G420850
OG0000207	Om008G331300	Np002G073040
OG0000207	Om003G098840, Om003G098830, Om004G132790, Om005G197960, Om005G197970, Om004G132740, Om004G132730	Np002G073110, Np002G073100
OG0000209	Om005G228040, Om005G227980	Np002G123950
OG0000209	Om005G228150	Np002G123960, Np002G123970
OG0000209	Om005G228080	Np002G124020
OG0000210	Om007G278540	Np006G357820
OG0000210	Om007G278560	Np006G357760
OG0000213	Om002G053370	Np005G312500
OG0000213	Om001G036460, Om001G036440, Om001G036450	Np006G368010, Np006G368000
OG0000214	Om007G281030	Np007G375860
OG0000214	Om004G145430, Om004G136700, Om004G136680, Om004G145470	Np003G186320, Np003G186260
OG0000215	Om003G099020	Np006G336640
OG0000216	Om001G007580	Np004G202700, Np005G274080, Np005G314870
OG0000216	Om001G008700	Np004G202710, Np005G314880, Np005G274090, Np001G003750
OG0000218	Om005G195550	Np004G241490, Np004G241460
OG0000218	Om005G195570, Om005G195580	Np006G363350, Np003G174250
OG0000218	Om001G010890, Om001G010900, Om001G010920	Np005G283350
OG0000218	Om004G138180	Np001G027320
OG0000218	Om006G241660	Np001G027310
OG0000219	Om008G350180, Om006G237850, Om006G237870	Np001G006200, Np001G008160, Np001G006180
OG0000221	Om002G088910	Np007G412330
