Orthogroup	Odontarrhena_muralis	Raphanus_sativus
OG0000017	Om003G112310	XP_018463043.1
OG0000018	Om008G335480, Om007G284460, Om008G361630	XP_018437387.1, XP_018473966.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018462293.1, XP_018435368.1, XP_018462063.1, XP_018454009.1, XP_018443708.1, XP_018463883.1, XP_018462647.1, XP_018435392.1, XP_018479103.1, XP_018463665.1, XP_018463095.1, XP_018479594.1, XP_018486634.1, XP_018463561.1, XP_018444645.1, XP_018460228.1, XP_018443745.1, XP_018443744.1, XP_018454082.1, XP_018464618.1, XP_018461870.1, XP_018463351.1, XP_018487902.1, XP_018460936.1, XP_018489964.1, XP_018465850.1, XP_018487788.1, XP_018435524.1, XP_018463527.1, XP_018454070.1, XP_018459374.1, XP_018442989.1, XP_018473906.1, XP_018479172.1, XP_018473760.1, XP_018465161.1, XP_018477832.1, XP_018436350.1, XP_018435707.1, XP_018435708.1, XP_018480047.1, XP_018489333.1, XP_018490274.1, XP_018479751.1, XP_018469035.1, XP_018481163.1, XP_018436132.1, XP_018464713.1, XP_018465008.1, XP_018457861.1, XP_018462470.1, XP_018448883.1, XP_018454217.1, XP_018448606.1, XP_018448885.1, XP_018463040.1, XP_018454208.1, XP_018460929.1, XP_018459042.1, XP_018461247.1, XP_018488201.1, XP_018462856.1, XP_018458112.1, XP_018442987.1, XP_018464922.1, XP_018458110.1, XP_018462516.1, XP_018454216.1, XP_018475052.1
OG0000019	Om005G222770	XP_018475002.1
OG0000020	Om010G364780, Om008G361310	XP_018459344.1
OG0000020	Om008G361920	XP_018453806.1, XP_018461981.1
OG0000020	Om007G309390	XP_018487698.1
OG0000021	Om005G226540, Om001G020790	XP_018479340.1, XP_018474062.1, XP_018473630.1, XP_018473970.1
OG0000021	Om001G038730	XP_018460019.1
OG0000021	Om008G331340	XP_018479089.1
OG0000021	Om001G020780, Om001G006810, Om002G059070	XP_018443605.1, XP_018443313.1, XP_018443314.1, XP_018435962.1, XP_018436465.1, XP_018473666.1, XP_018448333.1, XP_018448335.1
OG0000023	Om001G010400	XP_018468520.1, XP_018468522.1
OG0000023	Om001G010360, Om001G009290	XP_018464962.1, XP_018471375.1, XP_018461167.1, XP_018461172.1, XP_018466880.1, XP_018451933.1, XP_018448914.1, XP_018483533.1, XP_018478194.1, XP_018483343.1, XP_018448955.1, XP_018451939.1
OG0000023	Om008G351580	XP_018454315.1, XP_018476504.1, XP_018476512.1
OG0000023	Om008G351620, Om008G351630	XP_018454312.1
OG0000023	Om008G351640, Om008G351650	XP_018453781.1, XP_018455630.1
OG0000023	Om001G010200	XP_018448922.1, XP_018448923.1
OG0000023	Om001G010350	XP_018468502.1
OG0000023	Om001G010250	XP_018448920.1, XP_018448918.1, XP_018448956.1, XP_018445500.1, XP_018445519.1, XP_018439285.1
OG0000025	Om003G114490, Om003G114450	XP_018480012.1, XP_018467289.1
OG0000027	Om007G316890	XP_018467451.1, XP_018458976.1
OG0000027	Om005G224020	XP_018467712.1, XP_018467711.1
OG0000028	Om001G022770, Om007G314890	XP_018463159.1
OG0000028	Om003G104120	XP_018459455.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018479546.1, XP_018443548.1, XP_018464649.1, XP_018464671.1, XP_018436157.1, XP_018459873.1, XP_018488169.1, XP_018472293.1, XP_018448729.1
OG0000028	Om007G308810, Om003G104130	XP_018448641.1
OG0000029	Om006G261190	XP_018479181.1
OG0000029	Om008G343780	XP_018476055.1
OG0000029	Om006G262550, Om004G151510	XP_018479413.1
OG0000030	Om020G374410, Om004G155320	XP_018453843.1
OG0000030	Om001G038800, Om006G253510, Om004G148440, Om006G271430, Om006G263330	XP_018436037.1, XP_018436185.1, XP_018487653.1
OG0000030	Om005G226380	XP_018459876.1
OG0000031	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850	XP_018439379.1
OG0000031	Om006G252510	XP_018446660.1
OG0000031	Om007G317990	XP_018478989.1
OG0000031	Om002G063040	XP_018437843.1
OG0000031	Om001G018890	XP_018467852.1
OG0000032	Om008G348910	XP_018479492.1
OG0000033	Om001G010240	XP_018468503.1, XP_018483350.1
OG0000033	Om001G010210	XP_018448926.1, XP_018448925.1
OG0000033	Om001G011550	XP_018436206.1, XP_018483352.1
OG0000033	Om001G007120	XP_018484118.1, XP_018484117.1
OG0000033	Om001G010110	XP_018448031.1, XP_018448921.1
OG0000034	Om003G107450	XP_018463355.1, XP_018475106.1, XP_018466240.1
OG0000034	Om008G345340	XP_018464091.1
OG0000034	Om003G111610	XP_018467470.1, XP_018453140.1, XP_018459051.1, XP_018458593.1, XP_018465439.1
OG0000034	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190	XP_018458795.1
OG0000034	Om002G079430	XP_018463392.1, XP_018475335.1, XP_018458668.1
OG0000035	Om007G280400, Om005G227290, Om004G176320, Om007G280390	XP_018487960.1, XP_018467221.1, XP_018443410.1, XP_018444815.1, XP_018442224.1, XP_018463243.1, XP_018479860.1, XP_018463443.1, XP_018436316.1, XP_018436315.1, XP_018434883.1
OG0000035	Om006G273920, Om002G042810	XP_018477265.1, XP_018479871.1, XP_018478113.1, XP_018490100.1, XP_018479796.1, XP_018479876.1, XP_018481942.1, XP_018484946.1, XP_018481878.1, XP_018484944.1, XP_018484945.1, XP_018465213.1, XP_018477245.1, XP_018484943.1, XP_018484942.1, XP_018477397.1, XP_018482068.1, XP_018479866.1, XP_018436322.1
OG0000035	Om007G280220, Om007G279280, Om006G269650, Om008G331040	XP_018482223.1, XP_018482211.1, XP_018481628.1, XP_018479865.1
OG0000035	Om004G132400, Om008G334460, Om007G279790	XP_018465159.1, XP_018458896.1, XP_018468803.1
OG0000036	Om007G312960	XP_018457139.1, XP_018435571.1, XP_018462760.1, XP_018467931.1, XP_018461876.1
OG0000037	Om001G018180	XP_018453786.1
OG0000037	Om005G188070	XP_018435667.1, XP_018453597.1
OG0000037	Om006G267090	XP_018435505.1, XP_018479410.1, XP_018463619.1
OG0000038	Om005G196570, Om004G131590	XP_018473908.1, XP_018437563.1, XP_018437624.1, XP_018459725.1
OG0000038	Om006G262290	XP_018453605.1, XP_018487990.1, XP_018480095.1
OG0000038	Om001G029210	XP_018443359.1, XP_018479044.1, XP_018477530.1
OG0000038	Om001G023300	XP_018479936.1, XP_018479937.1
OG0000038	Om008G322940	XP_018453967.1
OG0000038	Om002G053860, Om001G005520	XP_018489176.1, XP_018487468.1
OG0000039	Om008G321840	XP_018473795.1
OG0000039	Om006G250590, Om002G057780	XP_018467729.1, XP_018435591.1, XP_018435994.1, XP_018448696.1, XP_018448699.1, XP_018463789.1, XP_018480097.1, XP_018479851.1, XP_018460226.1, XP_018443639.1, XP_018474808.1, XP_018458400.1, XP_018443590.1, XP_018443591.1, XP_018467627.1, XP_018453871.1, XP_018453873.1, XP_018460588.1
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	XP_018462013.1, XP_018466469.1, XP_018479424.1
OG0000040	Om008G328570	XP_018453970.1
OG0000040	Om002G067320, Om008G332860	XP_018481995.1, XP_018492454.1
OG0000041	Om007G301270, Om004G141670, Om009G364080, Om007G307140	XP_018487480.1
OG0000041	Om002G075010, Om001G018420	XP_018461685.1
OG0000042	Om007G298450	XP_018448764.1, XP_018454006.1
OG0000042	Om004G177160	XP_018443419.1
OG0000043	Om002G089060	XP_018466277.1
OG0000044	Om007G314900, Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660	XP_018461269.1
OG0000045	Om003G112290	XP_018487726.1, XP_018463620.1, XP_018443707.1, XP_018435482.1, XP_018467340.1, XP_018462035.1
OG0000045	Om002G088970, Om006G255110	XP_018474461.1
OG0000045	Om001G031280	XP_018459816.1, XP_018466560.1, XP_018453952.1, XP_018435496.1, XP_018467329.1, XP_018479743.1, XP_018461346.1, XP_018453825.1
OG0000046	Om006G241220	XP_018435200.1, XP_018462982.1, XP_018481217.1, XP_018479313.1, XP_018462609.1, XP_018464676.1, XP_018481866.1
OG0000046	Om001G001860	XP_018444697.1, XP_018444687.1
OG0000046	Om005G206750	XP_018442725.1, XP_018469869.1, XP_018469866.1
OG0000046	Om005G213160	XP_018461764.1
OG0000047	Om002G077780	XP_018453861.1, XP_018448851.1
OG0000047	Om005G225040, Om001G020530	XP_018467522.1
OG0000047	Om002G074710, Om003G111370	XP_018473775.1
OG0000047	Om007G295670, Om002G084660, Om008G332290, Om006G263590	XP_018479351.1, XP_018459048.1
OG0000048	Om007G296190, Om007G296250	XP_018474944.1, XP_018444134.1, XP_018446926.1, XP_018468734.1, XP_018464361.1, XP_018467999.1
OG0000048	Om007G296260	XP_018444189.1, XP_018437871.1, XP_018444230.1, XP_018467998.1, XP_018437175.1, XP_018464360.1, XP_018468001.1, XP_018471676.1, XP_018468781.1, XP_018468850.1
OG0000049	Om002G080850	XP_018479945.1, XP_018479944.1, XP_018467257.1
OG0000050	Om002G080890, Om003G112360	XP_018464508.1
OG0000050	Om008G323460, Om006G268120	XP_018436368.1, XP_018479561.1, XP_018480117.1, XP_018449708.1, XP_018460299.1, XP_018453766.1
OG0000050	Om008G343650	XP_018453735.1
OG0000050	Om002G077490	XP_018463607.1, XP_018464509.1
OG0000050	Om006G268560, Om006G266210, Om002G080140	XP_018466668.1
OG0000052	Om005G179650, Om008G361390, Om005G180640	XP_018493126.1
OG0000052	Om008G326650	XP_018473990.1, XP_018465828.1
OG0000052	Om008G326540	XP_018436544.1, XP_018436543.1, XP_018489712.1, XP_018489710.1
OG0000054	Om002G043200, Om007G279110, Om006G263890	XP_018477437.1, XP_018491477.1, XP_018444419.1
OG0000055	Om005G202820, Om005G227820, Om005G224840	XP_018456965.1
OG0000055	Om008G333680	XP_018452239.1, XP_018452238.1, XP_018452289.1, XP_018454291.1
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	XP_018458632.1, XP_018434948.1
OG0000056	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970	XP_018453574.1
OG0000056	Om008G340700, Om005G220800, Om001G027140	XP_018460221.1, XP_018436002.1, XP_018448501.1, XP_018465335.1, XP_018458942.1, XP_018462168.1, XP_018464358.1, XP_018461103.1, XP_018461001.1, XP_018460591.1, XP_018471856.1
OG0000058	Om007G299580, Om006G274770, Om007G313880, Om002G087980, Om002G068450, Om005G190360, Om005G223220, Om005G204610, Om007G304500, Om003G125380, Om008G357860, Om004G129440, Om001G015300, Om002G087130, Om002G075560, Om002G076070, Om003G097800, Om001G033280, Om005G201820, Om002G084100, Om001G039990, Om002G084960, Om008G357700, Om003G090300, Om006G269060, Om006G268940, Om004G141540	XP_018479867.1, XP_018448690.1, XP_018460186.1, XP_018435732.1, XP_018443346.1, XP_018467820.1, XP_018467084.1
OG0000058	Om008G335110, Om007G318000, Om007G289630, Om007G296230	XP_018487606.1, XP_018459880.1, XP_018479191.1
OG0000058	Om002G075570	XP_018473761.1
OG0000059	Om003G092270, Om002G088980	XP_018459621.1, XP_018465778.1, XP_018465542.1, XP_018459724.1, XP_018473790.1
OG0000061	Om003G100910, Om006G238480	XP_018436245.1
OG0000061	Om005G223660, Om006G249810, Om002G076700, Om003G106600, Om008G345470, Om008G347220, Om006G268200, Om007G301100, Om002G047100, Om002G043890, Om005G177780, Om008G328920, Om003G114550, Om005G191460, Om007G312950, Om003G111810, Om008G353280, Om006G242410, Om001G020570, Om005G225030, Om004G146510, Om001G027660	XP_018462409.1, XP_018463484.1, XP_018491908.1, XP_018490120.1, XP_018453862.1, XP_018446553.1, XP_018448853.1
OG0000062	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320	XP_018458399.1, XP_018460589.1
OG0000062	Om003G109490	XP_018463117.1, XP_018457144.1, XP_018438213.1, XP_018462782.1, XP_018443697.1
OG0000064	Om001G041080	XP_018480217.1
OG0000065	Om005G217710	XP_018459982.1
OG0000065	Om007G310120	XP_018479575.1, XP_018435745.1, XP_018462838.1
OG0000066	Om004G164550	XP_018474475.1, XP_018443026.1, XP_018468121.1, XP_018450392.1, XP_018447173.1, XP_018468122.1, XP_018442730.1, XP_018474474.1
OG0000066	Om004G165570	XP_018448990.1, XP_018470662.1, XP_018433979.1, XP_018439713.1, XP_018448989.1, XP_018470661.1, XP_018456938.1, XP_018445234.1, XP_018456939.1
OG0000067	Om001G023220, Om004G137760	XP_018465626.1, XP_018474335.1, XP_018472777.1, XP_018446006.1, XP_018442366.1, XP_018444607.1, XP_018443375.1, XP_018442371.1, XP_018442368.1
OG0000068	Om006G264170	XP_018464702.1
OG0000068	Om002G079160	XP_018448647.1
OG0000068	Om003G109360, Om001G015230, Om008G350760, Om006G263810, Om008G342030, Om002G073940	XP_018448190.1, XP_018480471.1, XP_018487511.1, XP_018457116.1, XP_018466169.1, XP_018479493.1, XP_018488089.1, XP_018443614.1, XP_018448656.1, XP_018459805.1, XP_018453515.1, XP_018487554.1, XP_018462679.1, XP_018435494.1
OG0000068	Om006G266160	XP_018480115.1, XP_018480116.1, XP_018459074.1, XP_018480128.1, XP_018474844.1, XP_018483955.1, XP_018436588.1, XP_018453751.1, XP_018453750.1, XP_018473619.1, XP_018487525.1
OG0000069	Om005G223000	XP_018435645.1, XP_018443369.1, XP_018466991.1, XP_018487997.1
OG0000069	Om005G212160	XP_018479682.1
OG0000070	Om008G344650	XP_018459313.1
OG0000070	Om005G215790	XP_018463982.1
OG0000071	Om008G360280, Om004G166900	XP_018453762.1, XP_018443565.1, XP_018474012.1, XP_018454001.1, XP_018460901.1, XP_018488341.1, XP_018488340.1, XP_018454225.1
OG0000071	Om005G207500, Om005G187680, Om002G068810, Om002G068800, Om003G110690	XP_018470067.1, XP_018436268.1, XP_018448228.1, XP_018448227.1, XP_018433853.1, XP_018467032.1, XP_018479497.1, XP_018448462.1, XP_018433530.1, XP_018439490.1
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	XP_018487761.1, XP_018464035.1, XP_018463274.1, XP_018466706.1, XP_018448709.1, XP_018481855.1, XP_018481572.1, XP_018459917.1, XP_018454380.1, XP_018477453.1
OG0000072	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200	XP_018454381.1, XP_018479717.1
OG0000073	Om002G052330	XP_018444272.1
OG0000074	Om004G144080, Om004G144240, Om004G144070, Om004G144330, Om004G144320	XP_018434385.1
OG0000074	Om004G144020, Om001G027970, Om004G144050, Om004G171550	XP_018449734.1, XP_018449777.1, XP_018461551.1, XP_018448292.1, XP_018448289.1, XP_018449778.1, XP_018461550.1, XP_018449606.1, XP_018461549.1, XP_018449776.1, XP_018449605.1, XP_018461548.1, XP_018456410.1, XP_018455073.1, XP_018454087.1
OG0000074	Om004G144100	XP_018433983.1, XP_018437579.1, XP_018433981.1
OG0000074	Om004G144220	XP_018484078.1
OG0000074	Om004G143840	XP_018475190.1, XP_018463580.1, XP_018442248.1, XP_018474776.1, XP_018483556.1, XP_018449779.1, XP_018449780.1
OG0000075	Om005G191180	XP_018461296.1, XP_018457458.1
OG0000075	Om008G356700	XP_018487843.1
OG0000075	Om004G132620, Om001G003590, Om001G003700	XP_018441017.1, XP_018466839.1, XP_018467714.1, XP_018484899.1, XP_018480018.1
OG0000075	Om005G194550	XP_018448172.1, XP_018442633.1, XP_018479680.1
OG0000076	Om002G087760	XP_018481710.1, XP_018463912.1
OG0000076	Om006G242520	XP_018454118.1
OG0000076	Om003G090370	XP_018479392.1, XP_018481202.1, XP_018479394.1, XP_018479395.1
OG0000077	Om001G033890	XP_018482469.1
OG0000077	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490	XP_018471019.1, XP_018467919.1, XP_018459482.1
OG0000078	Om008G342420, Om007G305860	XP_018481465.1
OG0000079	Om003G122890, Om003G122910, Om003G122930, Om003G122940	XP_018440487.1, XP_018434498.1, XP_018440703.1, XP_018490673.1
OG0000079	Om003G122880, Om003G122870	XP_018462102.1, XP_018439443.1, XP_018443618.1, XP_018442766.1, XP_018442962.1, XP_018443617.1, XP_018460416.1, XP_018442910.1, XP_018458706.1
OG0000080	Om001G013570	XP_018463136.1, XP_018463514.1
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	XP_018478319.1, XP_018462174.1, XP_018440849.1, XP_018482142.1, XP_018467401.1
OG0000081	Om003G096480, Om003G096490	XP_018480113.1, XP_018488106.1
OG0000081	Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470, Om003G098080	XP_018488107.1
OG0000081	Om005G184670, Om005G184660	XP_018448313.1, XP_018460564.1, XP_018460562.1, XP_018474222.1, XP_018474217.1, XP_018474230.1, XP_018448315.1, XP_018448325.1, XP_018448316.1, XP_018448324.1, XP_018448317.1, XP_018450320.1, XP_018448320.1
OG0000082	Om003G121830, Om002G084590	XP_018464493.1, XP_018462716.1
OG0000083	Om005G206370	XP_018462245.1
OG0000084	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580	XP_018478874.1, XP_018478409.1
OG0000086	Om004G163220	XP_018459460.1, XP_018459458.1, XP_018459461.1, XP_018459459.1, XP_018458874.1, XP_018458876.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1
OG0000087	Om006G238380	XP_018477697.1, XP_018484582.1
OG0000087	Om007G282390	XP_018440871.1
OG0000087	Om006G235110	XP_018492627.1, XP_018440532.1
OG0000087	Om004G162490	XP_018446020.1
OG0000087	Om008G339690	XP_018434101.1
OG0000087	Om008G355890	XP_018439894.1, XP_018457306.1, XP_018456689.1, XP_018483831.1
OG0000087	Om001G006430	XP_018451489.1, XP_018470360.1, XP_018484782.1
OG0000087	Om004G137360	XP_018463490.1, XP_018446239.1
OG0000088	Om003G119630	XP_018483277.1, XP_018482085.1, XP_018441615.1, XP_018436160.1, XP_018443675.1, XP_018475641.1, XP_018476975.1, XP_018442302.1, XP_018442307.1, XP_018460254.1, XP_018434208.1, XP_018439296.1
OG0000088	Om006G242180	XP_018474898.1, XP_018446823.1
OG0000089	Om004G166350	XP_018476330.1, XP_018445204.1, XP_018471220.1
OG0000089	Om001G012030	XP_018439577.1, XP_018439439.1
OG0000089	Om003G098490	XP_018492660.1
OG0000089	Om006G246310, Om006G246300	XP_018473557.1
OG0000090	Om005G202290, Om005G179690	XP_018435343.1
OG0000090	Om004G136810	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000090	Om003G098630, Om003G099040	XP_018485425.1
OG0000090	Om006G274160	XP_018455246.1
OG0000093	Om003G122050	XP_018484517.1, XP_018484516.1, XP_018460880.1, XP_018444673.1
OG0000093	Om001G033140	XP_018464228.1, XP_018461594.1, XP_018460536.1, XP_018449905.1
OG0000093	Om003G122020	XP_018446270.1, XP_018444360.1, XP_018444506.1
OG0000093	Om003G121950	XP_018444359.1
OG0000096	Om004G143550, Om008G360980	XP_018483784.1, XP_018473636.1, XP_018473635.1
OG0000097	Om008G355560	XP_018451515.1, XP_018489433.1, XP_018486669.1, XP_018486652.1, XP_018474049.1
OG0000097	Om008G355570	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1
OG0000097	Om008G355680, Om008G355600, Om004G133820	XP_018478798.1
OG0000098	Om001G001780	XP_018454444.1, XP_018454446.1
OG0000098	Om005G191670, Om008G342380	XP_018489511.1
OG0000098	Om005G191560	XP_018492203.1
OG0000098	Om005G191920, Om005G192380	XP_018489435.1
OG0000099	Om005G227450	XP_018464864.1, XP_018455373.1
OG0000099	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970	XP_018455323.1, XP_018435679.1, XP_018435243.1, XP_018454000.1, XP_018475203.1
OG0000099	Om003G118970	XP_018454278.1
OG0000099	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320	XP_018491773.1
OG0000101	Om005G227680, Om005G227700, Om005G227110	XP_018454261.1, XP_018454271.1
OG0000101	Om005G226700, Om005G227060	XP_018453997.1, XP_018453999.1
OG0000104	Om005G185360	XP_018487612.1, XP_018493580.1
OG0000104	Om007G283050, Om007G283070, Om007G283030, Om007G283020	XP_018478791.1, XP_018437245.1, XP_018462942.1
OG0000104	Om003G095420	XP_018485742.1
OG0000104	Om002G069400	XP_018485989.1
OG0000107	Om002G051530, Om002G051540, Om004G133060	XP_018432552.1
OG0000107	Om002G067730	XP_018474063.1, XP_018435236.1
OG0000107	Om004G133090, Om001G020080	XP_018437231.1
OG0000107	Om002G067770	XP_018440339.1, XP_018435080.1, XP_018436775.1, XP_018489514.1, XP_018466393.1, XP_018487289.1
OG0000107	Om002G067720, Om007G309010	XP_018473539.1
OG0000108	Om003G100270, Om003G100260	XP_018477065.1
OG0000108	Om006G273840, Om006G273820	XP_018443647.1, XP_018461538.1, XP_018467732.1
OG0000108	Om006G273810	XP_018443267.1
OG0000109	Om007G303510	XP_018474003.1
OG0000110	Om003G123410	XP_018459995.1
OG0000110	Om003G123400	XP_018489183.1, XP_018442568.1, XP_018459990.1
OG0000112	Om005G189180	XP_018474157.1, XP_018435960.1, XP_018435443.1, XP_018474158.1
OG0000113	Om008G360430, Om008G360410, Om008G360750	XP_018437703.1
OG0000113	Om001G037890, Om001G037740, Om002G045700	XP_018489020.1, XP_018489022.1
OG0000114	Om001G008300	XP_018476352.1
OG0000117	Om001G014560	XP_018461657.1
OG0000118	Om008G333780	XP_018470802.1
OG0000119	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890, Om002G078050, Om003G114030, Om001G022840, Om005G223060, Om007G309980	XP_018473885.1, XP_018461398.1, XP_018461214.1, XP_018443531.1, XP_018443569.1
OG0000119	Om004G164230, Om005G214120, Om005G222850	XP_018487536.1, XP_018461501.1, XP_018479205.1, XP_018435973.1, XP_018448484.1, XP_018453686.1
OG0000119	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730	XP_018435672.1
OG0000120	Om005G221860	XP_018454192.1, XP_018454191.1, XP_018454194.1, XP_018463935.1
