Orthogroup	Odontarrhena_muralis	Brassica_napus
OG0000014	Om005G227750	XP_022558682.2, XP_048625121.1
OG0000015	Om008G350280	XP_048627782.1, XP_048595751.1, XP_048607541.1
OG0000015	Om003G098660	XP_048604728.1
OG0000015	Om003G105790, Om004G154560	XP_048613411.1, XP_048616944.1, XP_048599610.1, XP_048623763.1
OG0000015	Om007G305020	XP_048595752.1, XP_048605580.1
OG0000017	Om003G101880, Om004G153720	XP_048615612.1, XP_048610757.1, XP_022559532.2
OG0000018	Om008G335480, Om007G284460, Om008G361630	XP_048605770.1, XP_048596272.1, XP_048599222.1, XP_048605670.1, XP_013723218.1, XP_013688917.1, XP_013651116.2, XP_048633126.1, XP_013729972.2, XP_048605202.1, XP_048611582.1, XP_013700193.2, XP_048637481.1, XP_048594395.1, XP_048634308.1, XP_048610225.1, XP_048610582.1, XP_048599165.1, XP_048593225.1, XP_022567697.1, XP_013664995.2, XP_048627957.1, XP_048633984.1, XP_048612571.1, XP_048599180.1, XP_013723386.1, XP_048620905.1, XP_048596639.1, XP_022565086.2, XP_048615837.1, XP_048623681.1, XP_013694986.1, XP_013651110.1, XP_048604736.1, XP_013724413.2, XP_048621801.1, XP_048621797.1, XP_048619956.1, XP_048619958.1, XP_048633112.1, XP_048623936.1, XP_013669249.1, XP_048634179.1, XP_048605751.1, XP_022571151.1, XP_013673578.1, XP_048630900.1, XP_022575868.2, XP_048605747.1, XP_048605222.1, XP_048614689.1, XP_048596417.1, XP_013720098.2, XP_048601334.1, XP_048624799.1, XP_013673827.2, XP_048637603.1, XP_022550513.2, XP_048622957.1, XP_048590776.1, XP_013665022.2, XP_048611445.1, XP_048604864.1, XP_013745820.1, XP_048613131.1, XP_048606197.1, XP_022557717.1, XP_013751868.1, XP_022568346.1, XP_048611977.1, XP_013679337.1, XP_013704991.1, XP_048620421.1, XP_048604881.1, XP_013658330.1, XP_013726653.1, XP_013745661.1, XP_022552507.2, XP_013658329.1, XP_013726201.1, XP_048611537.1, XP_048599852.1, XP_048612004.1, XP_048612001.1, XP_048612006.1, XP_022569830.1, XP_013653854.1, XP_013658519.1, XP_048637099.1, XP_013674025.1, XP_048599651.1, XP_048629918.1, XP_022544100.1, XP_013657853.2, XP_013704346.2, XP_048605132.1, XP_048608829.1, XP_048615824.1, XP_048635015.1, XP_048604882.1, XP_013658447.2
OG0000019	Om006G268990	XP_048604600.1, XP_048615740.1
OG0000020	Om010G364780, Om008G361310	XP_048615648.1
OG0000020	Om008G361920	XP_022562274.2, XP_048616652.1, XP_022567210.2, XP_013726427.2, XP_048634160.1
OG0000021	Om005G226540, Om001G020790	XP_048615773.1, XP_048620188.1, XP_022552080.1, XP_013694633.1, XP_048634143.1, XP_013700085.1, XP_048594884.1, XP_048629072.1, XP_013713218.2, XP_022553574.1
OG0000021	Om001G038730	XP_048591559.1, XP_013690322.2
OG0000021	Om002G057270	XP_048615863.1
OG0000021	Om005G225300	XP_013709566.2
OG0000021	Om001G020780, Om001G006810, Om002G059070	XP_013713376.1, XP_013661539.2, XP_013727601.1, XP_048620920.1, XP_048615710.1, XP_013708382.1, XP_013700007.2, XP_048604811.1, XP_048611847.1, XP_048620273.1, XP_013658199.2, XP_048604627.1, XP_048611960.1, XP_048604719.1, XP_048622881.1, XP_013704354.2, XP_013700069.1, XP_013700070.1, XP_013720866.1, XP_022557494.1, XP_022574317.2, XP_013717736.1, XP_013713632.1, XP_013745275.1
OG0000023	Om001G010400	XP_013697411.2, XP_013738434.2, XP_013738445.2, XP_022570725.1
OG0000023	Om001G010360, Om001G009290	XP_048634136.1, XP_013723122.1, XP_013663886.1, XP_048633858.1, XP_013694257.1, XP_013737657.1, XP_048612374.1
OG0000023	Om008G351580	XP_048625802.1, XP_048632003.1
OG0000023	Om008G351620, Om008G351630	XP_013718560.2
OG0000023	Om008G351640, Om008G351650	XP_013718638.2
OG0000023	Om001G010200	XP_013690743.1
OG0000023	Om001G010250	XP_013663876.1, XP_013701916.1, XP_013663877.2, XP_013737896.1, XP_048601610.1, XP_022549279.2, XP_022550415.1, XP_013737922.2, XP_013737872.2, XP_013710801.1, XP_013717353.1, XP_013694329.2
OG0000025	Om003G114490, Om003G114450	XP_048634788.1
OG0000027	Om005G224020	XP_013746916.2, XP_013669867.2
OG0000028	Om001G022770, Om007G314890	XP_013665034.1
OG0000028	Om003G104120	XP_048615845.1, XP_013745854.2, XP_013730647.1, XP_013720478.1, XP_013649023.1, XP_013709149.1, XP_013645637.1, XP_013668696.1, XP_013732741.2, XP_048635134.1, XP_048613316.1, XP_022553264.2, XP_013652806.1, XP_048596339.1, XP_013732607.1, XP_048596328.1, XP_013716211.2, XP_013663457.2, XP_048613315.1, XP_048611865.1, XP_013645696.2, XP_048605437.1, XP_048625180.1, XP_048607633.1, XP_013665469.2
OG0000028	Om007G318240	XP_022548807.2, XP_013646182.2, XP_048623697.1, XP_013651197.1
OG0000028	Om007G308810, Om003G104130	XP_048622652.1
OG0000029	Om008G343780	XP_013655251.2, XP_013679244.2
OG0000029	Om005G216790	XP_048605707.1
OG0000029	Om005G225700, Om001G013080	XP_013708649.1, XP_048636014.1, XP_022552362.2, XP_048610765.1
OG0000029	Om006G262550, Om004G151510	XP_048611551.1
OG0000029	Om007G298330	XP_048593383.1
OG0000030	Om005G219530, Om004G150510, Om004G153710, Om020G374410, Om004G155320	XP_013673703.1
OG0000030	Om011G364950, Om004G165220	XP_048634976.1
OG0000030	Om008G355010	XP_013674366.2
OG0000030	Om001G015000, Om006G265800	XP_048614763.1
OG0000030	Om005G226380	XP_013678830.1, XP_048611490.1, XP_013669162.1, XP_013713780.1, XP_048620176.1, XP_048615642.1, XP_048613169.1
OG0000031	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850	XP_013708901.1, XP_022547209.2
OG0000031	Om006G252510	XP_013728454.1, XP_013667568.2
OG0000031	Om007G317990	XP_013731595.1, XP_013743363.2
OG0000031	Om002G063040	XP_048602151.1, XP_048594826.1
OG0000031	Om001G018890	XP_013742432.1, XP_013741893.2
OG0000032	Om008G348910	XP_048604886.1, XP_048623808.1, XP_048605001.1, XP_048605635.1, XP_048605059.1, XP_013658348.1
OG0000032	Om008G348890	XP_048630802.1, XP_048605656.1, XP_048599756.1, XP_013751673.1, XP_022552264.1, XP_013673342.2, XP_022557382.2
OG0000033	Om001G010240	XP_013714969.1, XP_013737559.2, XP_022555869.1, XP_013694313.2, XP_013737653.2, XP_013694321.1
OG0000033	Om001G010210	XP_013686564.1
OG0000033	Om001G011550	XP_048622964.1, XP_013694292.1, XP_013694271.1, XP_013737656.2
OG0000033	Om001G007120	XP_013717260.1, XP_013737259.1
OG0000033	Om001G010110	XP_013737581.2, XP_048608846.1, XP_013663884.1
OG0000034	Om003G107450	XP_048623297.1, XP_048623038.1, XP_048592734.1, XP_022574481.2, XP_048621898.1, XP_048603766.1
OG0000034	Om008G350440, Om004G148920	XP_048602612.1, XP_048593533.1
OG0000034	Om008G345340	XP_048614495.1, XP_013658499.2
OG0000034	Om003G111610	XP_048629230.1, XP_048613039.1, XP_013657357.3, XP_048604157.1, XP_048600875.1, XP_048602885.1, XP_048622341.1, XP_048624629.1, XP_048614704.1, XP_048615203.1, XP_048601602.1, XP_013739469.3, XP_048622524.1, XP_013682194.3, XP_048621943.1, XP_048613063.1, XP_048604204.1, XP_048611588.1, XP_048607524.1, XP_048609770.1, XP_048606770.1, XP_048603896.1, XP_048600393.1, XP_048600357.1, XP_013713559.3, XP_013710842.2, XP_013652140.3, XP_013710791.2, XP_048626102.1
OG0000034	Om006G267380	XP_048618955.1, XP_048630873.1, XP_048604268.1, XP_013720627.2, XP_048604734.1, XP_022561433.2
OG0000034	Om008G349540	XP_022565462.2
OG0000034	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190	XP_048628411.1, XP_048614818.1, XP_048630350.1, XP_048633211.1, XP_013657802.1, XP_013683745.1, XP_013734837.1, XP_013688359.1, XP_013749796.1, XP_013672505.1, XP_048603409.1, XP_048628910.1, XP_048628410.1, XP_048614058.1, XP_048624623.1, XP_048619694.1, XP_022569352.1, XP_048592466.1, XP_013687328.1, XP_013653378.1
OG0000034	Om002G079430	XP_022570272.1, XP_048623388.1, XP_048602182.1, XP_048623276.1, XP_013743057.1
OG0000034	Om003G110790	XP_048603823.1
OG0000034	Om009G362950	XP_048612319.1, XP_048602271.1
OG0000034	Om002G074540, Om005G222580, Om009G363250, Om008G344620	XP_013752183.1, XP_048610695.1, XP_022562393.1, XP_048594912.1
OG0000035	Om007G280400, Om005G227290, Om004G176320, Om007G280390	XP_013739520.1, XP_048598553.1, XP_013689525.2, XP_048598552.1, XP_048609969.1, XP_013747197.1, XP_022557090.1, XP_022574570.1, XP_013751316.2, XP_013713944.3, XP_048636772.1
OG0000035	Om006G273920, Om002G042810	XP_048634349.1, XP_048611991.1, XP_013747176.2, XP_048610025.1, XP_013723850.2, XP_013747222.2, XP_048635821.1, XP_048613549.1, XP_013645362.1, XP_048611994.1, XP_048634354.1, XP_013746089.2, XP_013696206.2, XP_013747225.2, XP_013723835.2, XP_048612494.1, XP_013666043.2, XP_013747220.2, XP_022574418.2, XP_013723790.1, XP_013723791.2, XP_048634353.1, XP_048633807.1, XP_048615645.1, XP_048634166.1
OG0000035	Om007G280220, Om007G279280, Om006G269650, Om008G331040	XP_048611992.1, XP_048634350.1
OG0000035	Om004G132400, Om008G334460, Om007G279790	XP_013683389.1, XP_013715831.2, XP_022551123.2, XP_048603751.1, XP_013715819.2
OG0000036	Om007G312960	XP_013657838.1, XP_048627543.1, XP_048608409.1, XP_048593331.1, XP_048628172.1, XP_048620141.1, XP_048591430.1, XP_022545052.2, XP_013654319.1, XP_048620074.1, XP_048628110.1, XP_048628260.1, XP_048609738.1, XP_013679870.3, XP_013673880.3, XP_048605547.1, XP_048630635.1, XP_048610215.1, XP_013729460.2, XP_013658994.1, XP_048604753.1, XP_013726692.1, XP_048615564.1, XP_048619319.1
OG0000037	Om001G018180	XP_013751552.2
OG0000037	Om005G188070	XP_048618200.1
OG0000037	Om006G267090	XP_022565052.1, XP_013729035.1, XP_048615589.1, XP_048615587.1
OG0000038	Om005G196570, Om004G131590	XP_022547515.1, XP_013689407.1, XP_013674918.2
OG0000038	Om006G262290	XP_048620565.1, XP_022547368.1, XP_013746550.1, XP_048610886.1
OG0000038	Om001G029210	XP_048594240.1, XP_048622251.1, XP_048622252.1, XP_022546529.1, XP_013719588.1, XP_048621240.1
OG0000038	Om002G053860, Om001G005520	XP_048615236.1, XP_048635940.1, XP_048635115.1, XP_048615249.1, XP_048635116.1, XP_048615246.1
OG0000039	Om008G321840	XP_048637497.1, XP_013745367.1, XP_013704436.1, XP_048615849.1
OG0000039	Om006G250590, Om002G057780	XP_013704190.2, XP_013731538.2, XP_048611983.1, XP_048599647.1, XP_013660142.1, XP_013728738.2, XP_013713436.1, XP_022545114.2, XP_048608057.1, XP_022558200.1, XP_048591323.1, XP_048605501.1, XP_048604680.1, XP_048604853.1, XP_048591546.1, XP_048591437.1, XP_022552072.2, XP_048599231.1, XP_048590924.1, XP_013718043.2, XP_022567886.2, XP_013651039.1, XP_013713466.2, XP_013650933.2, XP_048599955.1, XP_048596469.1, XP_048634077.1, XP_048599744.1, XP_048615649.1, XP_022565025.1, XP_048613302.1, XP_022565171.1, XP_048599746.1, XP_048611710.1, XP_013689379.2, XP_048625759.1, XP_048634131.1, XP_048621632.1, XP_048621876.1, XP_048622029.1, XP_048619129.1, XP_048619705.1, XP_048620832.1, XP_048604613.1, XP_048634985.1, XP_022562423.2, XP_022545171.2, XP_013699728.2, XP_048606853.1, XP_048623995.1, XP_048628781.1, XP_048596384.1, XP_048613238.1, XP_048628786.1, XP_048629235.1, XP_048623551.1, XP_048619853.1, XP_048615941.1, XP_048613236.1, XP_048612617.1, XP_048610001.1, XP_048599542.1, XP_022552143.2, XP_048625828.1, XP_048622873.1, XP_048618569.1, XP_048618525.1, XP_048613269.1, XP_022560106.2, XP_048599974.1, XP_013654074.1, XP_048628425.1, XP_048628780.1, XP_048624000.1, XP_048593929.1, XP_022548629.2, XP_048622715.1, XP_022565190.2, XP_048636766.1, XP_048613290.1, XP_013673364.2, XP_048619899.1, XP_013751169.2, XP_013689393.2, XP_048620122.1, XP_048605572.1, XP_013645439.1, XP_013751439.2, XP_048629915.1, XP_013751717.2, XP_048637655.1, XP_048613153.1, XP_048599674.1, XP_048613505.1, XP_013726379.1, XP_048596421.1, XP_013728311.2, XP_048623581.1, XP_013694959.1, XP_048620004.1, XP_013751185.2, XP_013688822.2, XP_048620169.1, XP_048611689.1, XP_048633912.1, XP_048593428.1, XP_048596168.1, XP_048633051.1, XP_048609074.1, XP_048624007.1, XP_013713494.2, XP_013663773.1, XP_048592114.1, XP_048637551.1, XP_048613445.1, XP_048633036.1, XP_048601495.1, XP_013654398.2, XP_048602058.1, XP_048632982.1, XP_013709416.1, XP_013688880.2, XP_048611954.1, XP_013690286.1, XP_048635038.1, XP_048618301.1, XP_048622658.1, XP_013679480.1, XP_048620081.1, XP_013651104.2, XP_013713684.1, XP_022567796.2, XP_013704287.1, XP_013713534.1, XP_013725620.1, XP_048611751.1, XP_013658548.2, XP_013700327.1, XP_048599930.1, XP_022567347.2, XP_013722711.1, XP_048599873.1, XP_013751078.2, XP_013719943.2, XP_013700403.2, XP_048613141.1, XP_013663809.2, XP_022544190.2, XP_013751128.2, XP_048627869.1, XP_048591456.1, XP_013751384.2, XP_048624061.1, XP_013690109.2, XP_013745762.2, XP_013745497.2, XP_048623785.1, XP_013679936.2
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	XP_013701833.2, XP_022560216.2, XP_048591590.1, XP_022562465.2, XP_013659007.2, XP_013751455.2
OG0000040	Om007G309130	XP_048600581.1, XP_048600574.1, XP_048600570.1
OG0000040	Om002G067320, Om008G332860	XP_013706039.1, XP_013675588.2, XP_013719126.2, XP_013716736.2, XP_048611111.1, XP_013747379.2
OG0000042	Om007G298450	XP_013669693.1, XP_013728373.1, XP_048599707.1
OG0000042	Om004G177160	XP_048626916.1, XP_013739572.2, XP_013668593.2, XP_048596563.1, XP_048608023.1
OG0000044	Om007G314900, Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660	XP_022547672.2, XP_013669672.2, XP_048623948.1, XP_048598164.1, XP_048613213.1, XP_048615669.1, XP_013642234.3, XP_013669592.2, XP_048608518.1, XP_013736305.1
OG0000045	Om003G112290	XP_013653957.2, XP_048610024.1
OG0000045	Om001G031280	XP_013751220.1, XP_022546552.1, XP_013694239.1, XP_048628468.1, XP_013724424.1, XP_013689123.2, XP_013713286.1, XP_013669586.1, XP_048596540.1, XP_048637065.1, XP_013739454.2, XP_048612059.1, XP_013727563.2, XP_048604915.1, XP_013733850.2, XP_013710371.1, XP_022552649.1, XP_048615901.1, XP_048612605.1, XP_013713178.1, XP_022562451.1, XP_048613579.1
OG0000046	Om006G241220	XP_048591104.1
