Orthogroup	Odontarrhena_muralis	Cardamine_amara
OG0000045	Om001G031280	evm.model.RL_7.883, evm.model.RL_8.1002, evm.model.RL_1.930, evm.model.RL_6.267
OG0000046	Om001G001860	evm.model.RL_2.1379
OG0000046	Om006G253990	evm.model.RL_2.389, evm.model.RL_2.387
OG0000046	Om005G206750	evm.model.RL_3.1071, evm.model.RL_3.1072, evm.model.RL_3.1077
OG0000047	Om002G077780	evm.model.RL_2.1217
OG0000052	Om005G179650, Om008G361390, Om005G180640	evm.model.RL_5.167
OG0000052	Om008G326600	evm.model.RL_8.2684
OG0000052	Om008G326650	evm.model.RL_6.1412
OG0000052	Om008G326590	evm.model.RL_6.2368
OG0000054	Om008G359460, Om008G361290	evm.model.RL_8.823, evm.model.RL_4.126
OG0000054	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320, Om005G214240, Om002G057290, Om001G013850	evm.model.RL_1.2395
OG0000055	Om005G224080	evm.model.RL_3.277
OG0000056	Om008G340700, Om005G220800, Om001G027140	evm.model.RL_2.634
OG0000056	Om005G209160, Om002G073230, Om001G006930, Om005G212260	evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335
OG0000058	Om007G299580, Om006G274770, Om007G313880, Om002G087980, Om002G068450, Om005G190360, Om005G223220, Om005G204610, Om007G304500, Om003G125380, Om008G357860, Om004G129440, Om001G015300, Om002G087130, Om002G075560, Om002G076070, Om003G097800, Om001G033280, Om005G201820, Om002G084100, Om001G039990, Om002G084960, Om008G357700, Om003G090300, Om006G269060, Om006G268940, Om004G141540	evm.model.RL_6.762
OG0000058	Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530	evm.model.RL_1.1905
OG0000058	Om008G335110, Om007G318000, Om007G289630, Om007G296230	evm.model.RL_2.1104, evm.model.RL_1.2538
OG0000059	Om001G008500	evm.model.RL_6.807
OG0000060	Om008G348970, Om003G127290, Om006G235900	evm.model.RL_4.110
OG0000061	Om006G238480	evm.model.RL_6.2768, evm.model.RL_3.1126
OG0000061	Om001G020570, Om005G225030, Om004G146510, Om001G027660	evm.model.RL_7.2504, evm.model.RL_7.1966, evm.model.RL_8.1041
OG0000062	Om002G057790	evm.model.RL_6.781, evm.model.RL_6.779
OG0000062	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320, Om003G109490	evm.model.RL_2.991, evm.model.RL_6.777
OG0000063	Om006G254290	evm.model.RL_6.1828
OG0000063	Om006G245470	evm.model.RL_7.1740
OG0000064	Om001G033560	evm.model.RL_5.1832
OG0000065	Om005G217710	evm.model.RL_2.692, evm.model.RL_1.2797
OG0000065	Om005G217720	evm.model.RL_1.2651, evm.model.RL_6.669, evm.model.RL_8.1014, evm.model.RL_8.1010, evm.model.RL_2.690, evm.model.RL_6.632
OG0000065	Om005G217730	evm.model.RL_3.828
OG0000065	Om007G310120	evm.model.RL_2.685, evm.model.RL_5.2501
OG0000065	Om007G309700, Om010G364600	evm.model.RL_8.2425, evm.model.RL_6.602, evm.model.RL_6.620, evm.model.RL_3.887, evm.model.RL_6.658, evm.model.RL_3.830, evm.model.RL_3.822, evm.model.RL_6.659, evm.model.RL_4.717, evm.model.RL_2.695, evm.model.RL_5.2490, evm.model.RL_3.832, evm.model.RL_3.819, evm.model.RL_3.833, evm.model.RL_3.826, evm.model.RL_3.824, evm.model.RL_8.1017, evm.model.RL_4.716
OG0000066	Om004G164550	evm.model.RL_3.1975
OG0000066	Om008G337830, Om006G231860	evm.model.RL_5.781, evm.model.RL_8.2623
OG0000066	Om004G165570	evm.model.RL_8.2622
OG0000067	Om001G023220	evm.model.RL_7.2627
OG0000070	Om008G344650	evm.model.RL_6.573
OG0000070	Om005G218350	evm.model.RL_2.838
OG0000070	Om007G311790	evm.model.RL_6.606
OG0000070	Om012G367940, Om012G366740	evm.model.RL_3.776
OG0000071	Om001G016290, Om004G163830	evm.model.RL_1.2437
OG0000071	Om008G360280, Om004G166900	evm.model.RL_4.340
OG0000071	Om001G039370	evm.model.RL_6.355, evm.model.RL_4.341
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	evm.model.RL_3.925, evm.model.RL_2.737, evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082, evm.model.RL_3.783
OG0000073	Om002G052330	evm.model.RL_6.501
OG0000076	Om006G242520	evm.model.RL_6.1653
OG0000077	Om001G035000	evm.model.RL_2.3382
OG0000077	Om001G039420	evm.model.RL_6.2241, evm.model.RL_6.145
OG0000080	Om004G135430	evm.model.RL_2.499
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	evm.model.RL_5.3416, evm.model.RL_6.1107
OG0000081	Om003G096460	evm.model.RL_5.1972
OG0000082	Om007G305200, Om007G305330	evm.model.RL_7.1946
OG0000082	Om004G130570	evm.model.RL_8.1557
OG0000086	Om004G163220	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	Om006G238380	evm.model.RL_4.1345
OG0000087	Om007G282390	evm.model.RL_6.1057
OG0000087	Om004G162490	evm.model.RL_4.2360
OG0000087	Om008G339690	evm.model.RL_6.1567
OG0000087	Om008G355890	evm.model.RL_4.428
OG0000087	Om001G006430	evm.model.RL_2.1599
OG0000087	Om004G137360	evm.model.RL_3.1990
OG0000088	Om003G119630	evm.model.RL_7.1629
OG0000089	Om004G166350	evm.model.RL_4.2603
OG0000089	Om003G098490	evm.model.RL_1.1790.1.687c87ee
OG0000089	Om002G055730	evm.model.RL_1.1121
OG0000089	Om008G335280	evm.model.RL_6.1820
OG0000090	Om005G202290, Om005G179690	evm.model.RL_5.1846
OG0000090	Om004G136810	evm.model.RL_3.2006
OG0000090	Om002G055690, Om003G124430	evm.model.RL_2.2972
OG0000090	Om006G274160	evm.model.RL_7.2013, evm.model.RL_7.2546
OG0000091	Om002G080860	evm.model.RL_4.825
OG0000093	Om003G122050	evm.model.RL_7.523
OG0000093	Om003G122020	evm.model.RL_7.525
OG0000093	Om003G121760	evm.model.RL_7.532
OG0000096	Om007G301150, Om003G093070, Om006G274060	evm.model.RL_7.2530, evm.model.RL_7.2533
OG0000096	Om004G143550, Om008G360980	evm.model.RL_8.633, evm.model.RL_4.313, evm.model.RL_4.314, evm.model.RL_4.324, evm.model.RL_4.323
OG0000096	Om005G187930	evm.model.RL_5.825
OG0000097	Om008G355550, Om008G355560	evm.model.RL_8.394
OG0000097	Om008G355700	evm.model.RL_8.388
OG0000097	Om008G355610, Om008G355650, Om008G354170, Om008G354150	evm.model.RL_8.395
OG0000098	Om001G001780	evm.model.RL_3.229
OG0000099	Om005G227480	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232
OG0000104	Om007G283030	evm.model.RL_6.1005
OG0000104	Om007G283020	evm.model.RL_6.1006
OG0000104	Om003G095420	evm.model.RL_5.2109
OG0000104	Om002G069400	evm.model.RL_1.2055
OG0000104	Om003G095400	evm.model.RL_8.1054
OG0000104	Om003G095350	evm.model.RL_5.1892_evm.model.RL_5.1893
OG0000107	Om002G067770	evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929
OG0000108	Om003G100270, Om003G100260	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	Om006G273840, Om006G273820	evm.model.RL_3.231
OG0000109	Om007G296220	evm.model.RL_6.809
OG0000109	Om007G303510	evm.model.RL_8.1066, evm.model.RL_2.562, evm.model.RL_1.2945, evm.model.RL_8.628, evm.model.RL_6.399, evm.model.RL_1.2214, evm.model.RL_8.997
OG0000110	Om003G123400	evm.model.RL_7.1925
OG0000111	Om006G259270	evm.model.RL_8.2409
OG0000113	Om005G227040	evm.model.RL_3.98
OG0000113	Om008G360430	evm.model.RL_4.149
OG0000113	Om008G360410, Om008G360750	evm.model.RL_3.996
OG0000113	Om001G037540	evm.model.RL_4.346
OG0000113	Om001G034170	evm.model.RL_4.610, evm.model.RL_4.608
OG0000114	Om002G045910, Om002G045900	evm.model.RL_1.340
OG0000114	Om004G135370	evm.model.RL_3.2232, evm.model.RL_3.2202
OG0000114	Om001G008300	evm.model.RL_3.757
OG0000119	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730	evm.model.RL_5.2397
OG0000120	Om005G221860	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	Om007G296760, Om007G296900, Om004G172660	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000122	Om003G118900, Om003G118890	evm.model.RL_5.2721
OG0000123	Om005G224980, Om005G193630	evm.model.RL_5.1210
OG0000123	Om005G193640	evm.model.RL_5.1211
OG0000124	Om004G142190	evm.model.RL_2.1935, evm.model.RL_1.2598
OG0000125	Om002G052080	evm.model.RL_4.3281
OG0000125	Om006G244360	evm.model.RL_4.1435
OG0000125	Om005G185630	evm.model.RL_5.630
OG0000125	Om006G245540	evm.model.RL_8.2069
OG0000125	Om007G283300	evm.model.RL_6.979
OG0000126	Om006G262390, Om004G151250	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	Om004G176360	evm.model.RL_4.3345
OG0000127	Om004G176280	evm.model.RL_4.3343
OG0000128	Om004G154610	evm.model.RL_4.1217
OG0000128	Om005G217280	evm.model.RL_5.2370
OG0000132	Om008G361300	evm.model.RL_6.1268, evm.model.RL_7.2086
OG0000135	Om002G054930, Om005G226530	evm.model.RL_4.523, evm.model.RL_3.1563
OG0000136	Om002G045120	evm.model.RL_3.1028
OG0000139	Om003G107910, Om003G108000	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044
OG0000142	Om007G282780	evm.model.RL_6.1032
OG0000142	Om007G282660	evm.model.RL_6.1033, evm.model.RL_6.1034
OG0000143	Om003G106950	evm.model.RL_8.1036
OG0000144	Om006G263840, Om005G217250, Om007G314120	evm.model.RL_8.1451
OG0000147	Om001G025660	evm.model.RL_2.2536
OG0000147	Om007G285990, Om006G249440	evm.model.RL_8.1812
OG0000147	Om004G130850	evm.model.RL_3.2406
OG0000147	Om003G106450	evm.model.RL_2.664
OG0000147	Om002G078960	evm.model.RL_1.2583
OG0000150	Om008G323560	evm.model.RL_8.2095
OG0000150	Om007G296930, Om001G010460	evm.model.RL_7.1807
OG0000150	Om005G201710	evm.model.RL_7.1810
OG0000151	Om003G114720	evm.model.RL_8.1422
OG0000151	Om001G021860	evm.model.RL_2.2307
OG0000151	Om002G051120	evm.model.RL_1.777
OG0000151	Om002G082850	evm.model.RL_1.2853
OG0000151	Om003G118410	evm.model.RL_8.1691
OG0000151	Om005G227900	evm.model.RL_3.61
OG0000154	Om005G196960	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	Om004G147280	evm.model.RL_4.3288
OG0000154	Om004G175630	evm.model.RL_2.489
OG0000155	Om001G020030	evm.model.RL_2.2243
OG0000155	Om005G221310	evm.model.RL_3.1179
OG0000156	Om008G322060	evm.model.RL_6.2689
OG0000156	Om008G321950, Om008G321940	evm.model.RL_6.2692
OG0000156	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020	evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691
OG0000158	Om001G012390, Om001G033100, Om001G033130	evm.model.RL_2.2746
OG0000161	Om007G278440	evm.model.RL_3.891
OG0000161	Om004G167210, Om006G249300	evm.model.RL_3.897
OG0000162	Om003G125340	evm.model.RL_4.640, evm.model.RL_2.640
OG0000162	Om008G322780, Om008G322790	evm.model.RL_6.2628
OG0000165	Om005G200180, Om007G315340	evm.model.RL_7.798
OG0000167	Om001G004410	evm.model.RL_2.1517
OG0000167	Om001G004360	evm.model.RL_2.1514
OG0000171	Om003G127920	evm.model.RL_6.2869
OG0000171	Om008G319870	evm.model.RL_7.135
OG0000171	Om005G207720	evm.model.RL_3.1439
OG0000171	Om005G220880	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461
OG0000171	Om007G301020	evm.model.RL_4.2162.1.687c86d7
OG0000172	Om003G123000	evm.model.RL_7.1680, evm.model.RL_7.1683
OG0000174	Om003G109150	evm.model.RL_7.2138
OG0000175	Om002G084540, Om006G257450	evm.model.RL_7.1254
OG0000175	Om004G137100	evm.model.RL_3.1995
OG0000175	Om002G082840	evm.model.RL_2.3025
OG0000176	Om001G007740, Om001G007770, Om001G007760, Om004G147890, Om004G147900, Om004G142560, Om007G292150	evm.model.RL_5.2856
OG0000177	Om004G151970	evm.model.RL_4.357
OG0000178	Om001G019830, Om008G338100	evm.model.RL_3.909, evm.model.RL_1.2527, evm.model.RL_6.1504
OG0000180	Om008G336650	evm.model.RL_4.643
OG0000184	Om006G270790	evm.model.RL_8.999, evm.model.RL_1.2918
OG0000185	Om001G041450, Om008G356330, Om008G319330	evm.model.RL_3.5, evm.model.RL_7.2167, evm.model.RL_1.2420, evm.model.RL_7.527, evm.model.RL_3.588, evm.model.RL_1.1351, evm.model.RL_2.287, evm.model.RL_8.2218
OG0000186	Om007G285030	evm.model.RL_5.2354, evm.model.RL_8.2135
OG0000187	Om001G030100, Om008G336940	evm.model.RL_2.2676
OG0000187	Om001G028140	evm.model.RL_2.2677
OG0000187	Om002G054360, Om002G054350	evm.model.RL_1.1017
OG0000189	Om001G037310	evm.model.RL_6.2240, evm.model.RL_6.2193, evm.model.RL_2.3227
OG0000190	Om008G353940	evm.model.RL_8.476, evm.model.RL_8.475
OG0000190	Om008G355670	evm.model.RL_8.474.1.687c8557
OG0000190	Om008G353960	evm.model.RL_8.472
OG0000191	Om005G197150	evm.model.RL_1.1587
OG0000191	Om005G197140	evm.model.RL_1.1588
OG0000192	Om005G203480	evm.model.RL_5.3624
OG0000192	Om005G203440	evm.model.RL_3.2103
OG0000195	Om003G119760	evm.model.RL_7.686, evm.model.RL_6.2234
OG0000195	Om007G285150	evm.model.RL_2.437, evm.model.RL_3.1018, evm.model.RL_4.1537, evm.model.RL_7.1974
OG0000196	Om005G182070	evm.model.RL_4.2575
OG0000196	Om005G185020, Om005G182080	evm.model.RL_4.2554
OG0000196	Om007G289440	evm.model.RL_1.1858
OG0000197	Om008G330910, Om001G002150, Om004G163020	evm.model.RL_2.911
OG0000203	Om003G095370, Om002G055150	evm.model.RL_1.381, evm.model.RL_1.380
OG0000204	Om004G171440, Om002G070990	evm.model.RL_1.2062
OG0000207	Om004G136280	evm.model.RL_3.2271
OG0000209	Om002G062100	evm.model.RL_2.469
OG0000209	Om005G228040, Om005G227980	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273
OG0000209	Om005G228150	evm.model.RL_3.57
OG0000213	Om001G036460, Om001G036440, Om001G036450	evm.model.RL_6.203, evm.model.RL_6.204
OG0000214	Om007G281030	evm.model.RL_7.215
OG0000214	Om004G136700, Om004G136680, Om004G145470	evm.model.RL_8.81, evm.model.RL_8.239
OG0000217	Om001G001730	evm.model.RL_3.548
OG0000218	Om005G195550	evm.model.RL_5.1346, evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	Om004G138180, Om006G241660	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	Om005G213260	evm.model.RL_3.1053
OG0000219	Om007G282230	evm.model.RL_6.1077
OG0000224	Om004G134640, Om004G134630	evm.model.RL_3.2157, evm.model.RL_3.2156
OG0000225	Om007G289790	evm.model.RL_5.2978, evm.model.RL_5.2982, evm.model.RL_5.2983, evm.model.RL_5.2977
OG0000225	Om007G289810	evm.model.RL_5.2975
OG0000225	Om007G289780, Om007G289840, Om007G289820, Om007G289860, Om007G289850	evm.model.RL_5.2976, evm.model.RL_5.2985
OG0000226	Om003G089750	evm.model.RL_1.1295, evm.model.RL_1.1199
OG0000228	Om005G207070	evm.model.RL_3.1490
OG0000229	Om001G026580	evm.model.RL_3.1414, evm.model.RL_3.1413, evm.model.RL_2.330, evm.model.RL_7.1066
OG0000231	Om006G259610	evm.model.RL_2.361
OG0000233	Om002G075710	evm.model.RL_7.2092
OG0000234	Om006G252380	evm.model.RL_7.860
OG0000234	Om006G252400	evm.model.RL_7.861
OG0000234	Om006G252410	evm.model.RL_7.862
OG0000234	Om008G332130	evm.model.RL_6.2046
OG0000234	Om004G161230	evm.model.RL_4.2267
OG0000237	Om008G343820, Om007G307970	evm.model.RL_2.732
OG0000240	Om008G346090	evm.model.RL_2.1027
OG0000240	Om008G346080	evm.model.RL_2.1026
OG0000242	Om002G081640	evm.model.RL_7.2542
OG0000244	Om001G008070	evm.model.RL_2.1690
OG0000246	Om002G071710	evm.model.RL_8.1155
OG0000248	Om003G119420	evm.model.RL_7.722
OG0000249	Om008G336610	evm.model.RL_6.1769
OG0000249	Om008G336590, Om008G336600	evm.model.RL_6.1770
OG0000250	Om001G040920	evm.model.RL_2.492
OG0000251	Om006G266370, Om005G218220	evm.model.RL_1.2772
OG0000251	Om007G290870, Om006G266390	evm.model.RL_3.915
OG0000252	Om008G334420, Om008G334430, Om003G122070, Om004G175220	evm.model.RL_4.3241, evm.model.RL_4.3240, evm.model.RL_4.3242, evm.model.RL_5.3777, evm.model.RL_1.1880, evm.model.RL_1.1879, evm.model.RL_1.1878, evm.model.RL_3.263
OG0000253	Om004G150660	evm.model.RL_6.613, evm.model.RL_8.1032
OG0000256	Om008G329780	evm.model.RL_8.503, evm.model.RL_8.501, evm.model.RL_8.502, evm.model.RL_8.500
OG0000256	Om008G331560, Om008G331580, Om008G331570, Om008G331550	evm.model.RL_2.275
OG0000256	Om008G329670	evm.model.RL_6.2167, evm.model.RL_4.439
OG0000258	Om008G334140	evm.model.RL_7.2389
OG0000258	Om006G272550	evm.model.RL_7.2388
OG0000260	Om004G174020	evm.model.RL_2.1046
OG0000264	Om008G355250	evm.model.RL_8.411, evm.model.RL_8.323
OG0000264	Om004G160560, Om004G160570, Om004G160550	evm.model.RL_8.324
OG0000265	Om007G304710, Om007G298190	evm.model.RL_4.1725
OG0000265	Om005G198690, Om008G341180, Om008G357770	evm.model.RL_6.1068
OG0000266	Om003G128150	evm.model.RL_8.1428, evm.model.RL_4.734, evm.model.RL_7.884, evm.model.RL_7.1153, evm.model.RL_7.1139.1.687c84b8
OG0000268	Om006G274870	evm.model.RL_7.2613
OG0000268	Om008G334210	evm.model.RL_3.272
OG0000268	Om001G008530	evm.model.RL_7.2615
OG0000268	Om004G176390	evm.model.RL_4.3350
OG0000268	Om006G253920	evm.model.RL_7.967
OG0000270	Om001G033200	evm.model.RL_2.3440
OG0000271	Om008G334470, Om001G012260, Om008G355390	evm.model.RL_4.3212
OG0000273	Om007G280490, Om001G031160, Om001G031140, Om003G099210	evm.model.RL_5.2635
OG0000274	Om006G245790	evm.model.RL_8.2049
OG0000274	Om008G354900	evm.model.RL_7.1747, evm.model.RL_7.1745
OG0000274	Om007G282440	evm.model.RL_6.1051
OG0000278	Om006G246960, Om006G246900, Om006G241700, Om006G248780, Om006G248700, Om006G248830	evm.model.RL_8.184, evm.model.RL_8.181
OG0000279	Om004G168600	evm.model.RL_6.568
OG0000279	Om004G152920, Om004G168610	evm.model.RL_2.847
OG0000279	Om003G109450	evm.model.RL_6.745
