Orthogroup	Odontarrhena_muralis	Arabis_alpina
OG0000035	Om002G060840	Aa_G570500.h1.t1, Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1
OG0000035	Om004G132400, Om008G334460, Om007G279790	Aa_G154560.h1.t1
OG0000038	Om005G196570, Om004G131590	Aa_G525570.h1.t1
OG0000038	Om003G091800	Aa_G470970.h1.t1
OG0000038	Om001G029210	Aa_G652770.h1.t1
OG0000038	Om001G023300	Aa_G572080.h1.t1, Aa_G136980.h1.t1
OG0000038	Om002G053860, Om001G005520	Aa_G136990.h1.t1
OG0000040	Om007G309130	Aa_G152820.h1.t1
OG0000040	Om008G328570	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000041	Om003G112520, Om001G018430, Om007G297590	Aa_G262080.h1.t1, Aa_G56940.h1.t1
OG0000046	Om006G241220	Aa_G120780.h1.t1, Aa_G120790.h1.t1
OG0000046	Om006G253990	Aa_G439600.h1.t1, Aa_G408550.h1.t1
OG0000046	Om005G206750, Om005G213160	Aa_G190950.h1.t1, Aa_G756440.h1.t1
OG0000047	Om007G314310, Om002G071890, Om005G222620	Aa_G159200.h1.t1
OG0000048	Om002G045390	Aa_G339720.h1.t1
OG0000048	Om002G045400	Aa_G438190.h1.t1, Aa_G339690.h1.t1, Aa_G339750.h1.t1, Aa_G759390.h1.t1
OG0000048	Om002G045440	Aa_G759400.h1.t1, Aa_G339700.h1.t1, Aa_G438200.h1.t1
OG0000048	Om007G296190, Om007G296250	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1
OG0000050	Om002G080890, Om003G112360	Aa_G417500.h1.t1
OG0000052	Om005G179650, Om008G361390, Om005G180640	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1
OG0000052	Om008G326650	Aa_G599340.h1.t1
OG0000054	Om006G251510	Aa_G158060.h1.t1
OG0000055	Om005G202820, Om005G227820, Om005G224840	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G594100.h1.t1, Aa_G643830.h1.t1
OG0000055	Om001G019570, Om001G031910	Aa_G615080.h1.t1
OG0000056	Om008G340700	Aa_G652160.h1.t1, Aa_G44560.h1.t1
OG0000056	Om005G220800, Om001G027140	Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1
OG0000056	Om005G209160, Om002G073230, Om001G006930, Om005G212260	Aa_G505780.h1.t1
OG0000056	Om003G107750, Om001G017780	Aa_G563840.h1.t1, Aa_G243550.h1.t1
OG0000057	Om004G172320, Om008G335030, Om004G172300	Aa_G253800.h1.t1
OG0000058	Om008G335110, Om007G318000, Om007G289630, Om007G296230	Aa_G634370.h1.t1, Aa_G7430.h1.t1, Aa_G263310.h1.t1
OG0000060	Om008G348970, Om003G127290, Om006G235900	Aa_G746520.h1.t1
OG0000062	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320	Aa_G297760.h1.t1, Aa_G255800.h1.t1
OG0000063	Om006G254290	Aa_G318860.h3.t1
OG0000063	Om005G185480	Aa_G448310.h4.t1
OG0000063	Om003G118830	Aa_G318860.h4.t1
OG0000063	Om006G245470	Aa_G367650.h3.t1
OG0000063	Om005G185660	Aa_G197130.h6.t1
OG0000063	Om007G283280	Aa_G197130.h3.t1, Aa_G375890.h3.t1
OG0000063	Om005G185680	Aa_G550780.h7.t1
OG0000064	Om001G041080	Aa_G137810.h1.t1
OG0000066	Om004G164550	Aa_G503390.h2.t1, Aa_G64790.h4.t1, Aa_G503380.h1.t1, Aa_G64790.h1.t1, Aa_G503380.h3.t1, Aa_G64790.h3.t1, Aa_G64790.h2.t1, Aa_G503390.h3.t1, Aa_G432280.h2.t1, Aa_G432280.h4.t1, Aa_G432280.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G503390.h4.t1, Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1, Aa_G486090.h1.t1
OG0000066	Om004G165570	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1
OG0000067	Om001G023220	Aa_G389030.h1.t1, Aa_G484940.h1.t1
OG0000067	Om004G163960, Om004G163910, Om001G022040, Om004G163900	Aa_G2360.h1.t1, Aa_G236530.h1.t1, Aa_G10890.h1.t1
OG0000068	Om006G264170, Om007G304230, Om004G149200, Om004G147110	Aa_G75180.h1.t1
OG0000068	Om007G308160, Om005G212100	Aa_G275180.h1.t1
OG0000068	Om002G079160	Aa_G7660.h1.t1
OG0000068	Om006G266160	Aa_G54410.h1.t1
OG0000069	Om005G212160	Aa_G108990.h1.t1
OG0000070	Om012G367940, Om012G366740	Aa_G850.h1.t1
OG0000070	Om007G307520, Om004G146520	Aa_G380.h1.t1
OG0000071	Om008G360280, Om004G166900	Aa_G414310.h1.t1, Aa_G616190.h1.t1, Aa_G692990.h1.t1, Aa_G268590.h1.t1
OG0000071	Om001G039370	Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1, Aa_G308060.h1.t1
OG0000071	Om007G316830, Om001G007220, Om005G207500, Om005G187680, Om002G068810, Om002G068800, Om003G110690	Aa_G1008250.h1.t1, Aa_G1008250.h2.t1
OG0000073	Om001G008960	Aa_G628620.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G173340.h1.t1, Aa_G565810.h1.t1, Aa_G715510.h1.t1, Aa_G295910.h1.t1, Aa_G565780.h1.t1, Aa_G628640.h1.t1
OG0000073	Om008G360660, Om008G360260	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1
OG0000074	Om004G144070, Om004G144330, Om004G144320	Aa_G349960.h1.t1
OG0000074	Om004G144060	Aa_G931550.h1.t1, Aa_G664190.h1.t1, Aa_G664200.h1.t1, Aa_G293350.h1.t1
OG0000074	Om004G144020, Om001G027970, Om004G144050, Om004G171550	Aa_G436170.h1.t1, Aa_G187350.h1.t1
OG0000074	Om004G143980	Aa_G62240.h1.t1
OG0000074	Om004G144100	Aa_G62260.h1.t1, Aa_G62270.h1.t1
OG0000074	Om004G144220, Om004G144230	Aa_G349950.h1.t1
OG0000074	Om004G143840	Aa_G62330.h1.t1
OG0000075	Om005G191180	Aa_G542150.h1.t1
OG0000075	Om008G356700	Aa_G535390.h1.t1
OG0000076	Om002G087760	Aa_G712070.h1.t1
OG0000076	Om006G255670	Aa_G521780.h1.t1
OG0000076	Om006G242520	Aa_G4800.h1.t1, Aa_G696490.h1.t1
OG0000077	Om001G039420, Om001G034120, Om001G040110, Om005G191300	Aa_G374870.h1.t1
OG0000077	Om001G033890	Aa_G254660.h1.t1
OG0000077	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000077	Om005G195310	Aa_G374840.h1.t1
OG0000078	Om007G305480, Om008G337420, Om004G148580, Om008G342420, Om007G305860	Aa_G32020.h1.t1
OG0000079	Om003G122890, Om003G122910, Om003G122930, Om003G122940	Aa_G175740.h1.t1, Aa_G175730.h1.t1, Aa_G449530.h1.t1, Aa_G175720.h1.t1
OG0000079	Om003G123020	Aa_G111830.h1.t1
OG0000079	Om003G122810	Aa_G175840.h1.t1
OG0000079	Om003G122880, Om003G122870	Aa_G175750.h1.t1, Aa_G175760.h1.t1
OG0000080	Om004G135430	Aa_G329030.h1.t1, Aa_G84910.h1.t1, Aa_G235680.h1.t1
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	Aa_G488480.h1.t1, Aa_G386390.h1.t1
OG0000081	Om008G359170, Om001G032290, Om001G032270, Om003G096480, Om003G096490, Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470, Om003G098080, Om003G118960, Om005G227240, Om003G096460, Om005G184670, Om005G184660	Aa_G604970.h1.t1
OG0000082	Om006G274800, Om006G275030, Om008G349260	Aa_G566090.h1.t1
OG0000084	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580	Aa_G54460.h1.t1
OG0000087	Om006G238380	Aa_G630880.h1.t1
OG0000087	Om007G282390	Aa_G199760.h1.t1
OG0000087	Om004G162490	Aa_G256660.h1.t1
OG0000087	Om008G339690	Aa_G562810.h1.t1
OG0000087	Om008G355890	Aa_G103150.h1.t1
OG0000087	Om001G006430	Aa_G580380.h1.t1
OG0000087	Om004G137360	Aa_G656110.h1.t1
OG0000088	Om003G119630	Aa_G363940.h1.t1, Aa_G89030.h1.t1, Aa_G425930.h1.t1
OG0000088	Om006G242180	Aa_G15590.h1.t1
OG0000089	Om004G166350	Aa_G152880.h1.t1
OG0000089	Om001G012030	Aa_G537640.h1.t1
OG0000089	Om002G055730	Aa_G5290.h1.t1
OG0000089	Om006G254270, Om008G335280	Aa_G367680.h1.t1
OG0000089	Om006G246310, Om006G246300	Aa_G99370.h1.t1
OG0000090	Om005G202290, Om005G179690	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000090	Om004G136810	Aa_G410840.h1.t1
OG0000090	Om003G098630, Om003G099040	Aa_G273720.h1.t1, Aa_G273730.h1.t1
OG0000090	Om002G055690, Om003G124430	Aa_G349440.h1.t1, Aa_G349450.h1.t1
OG0000090	Om006G274160	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1
OG0000093	Om003G122050	Aa_G526230.h1.t1
OG0000093	Om001G033140	Aa_G835690.h1.t1, Aa_G367660.h1.t1
OG0000093	Om003G122020	Aa_G526180.h1.t1
OG0000093	Om003G121950	Aa_G526150.h1.t1, Aa_G526160.h1.t1
OG0000093	Om003G121760	Aa_G627610.h1.t1
OG0000096	Om003G093070	Aa_G683270.h1.t1
OG0000096	Om005G187930	Aa_G160980.h1.t1
OG0000097	Om008G355560	Aa_G42050.h1.t1
OG0000097	Om008G355570	Aa_G132920.h1.t1
OG0000097	Om008G355700	Aa_G577800.h1.t1
OG0000097	Om008G355610	Aa_G120830.h1.t1
OG0000097	Om008G355650	Aa_G405830.h5.t1, Aa_G405830.h6.t1, Aa_G405830.h4.t1, Aa_G405830.h3.t1, Aa_G405830.h1.t1, Aa_G405830.h2.t1, Aa_G405810.h1.t1
OG0000098	Om001G001780	Aa_G733890.h1.t1, Aa_G391080.h1.t1, Aa_G473800.h1.t1, Aa_G329600.h1.t1, Aa_G391060.h1.t1, Aa_G391060.h2.t1
OG0000098	Om005G191560	Aa_G193730.h1.t1
OG0000098	Om005G191920, Om005G192380	Aa_G193720.h1.t1, Aa_G521440.h1.t1
OG0000099	Om005G227480	Aa_G647960.h1.t1
OG0000099	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320	Aa_G384670.h1.t1
OG0000100	Om007G304610	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000101	Om005G227020	Aa_G676850.h1.t1
OG0000101	Om005G227120	Aa_G361620.h1.t1, Aa_G361650.h1.t1, Aa_G361610.h1.t1
OG0000101	Om005G227680, Om005G227700, Om005G227110	Aa_G398600.h1.t1
OG0000101	Om005G226820	Aa_G65780.h1.t1, Aa_G65750.h1.t1, Aa_G65880.h1.t1
OG0000101	Om005G226700, Om005G227060	Aa_G408910.h1.t1
OG0000104	Om005G185360	Aa_G257560.h1.t1
OG0000104	Om007G283020	Aa_G459870.h1.t1
OG0000104	Om003G095420	Aa_G166390.h1.t1
OG0000107	Om004G133090, Om001G020080	Aa_G641990.h1.t1, Aa_G247880.h1.t1
OG0000107	Om002G067770	Aa_G323960.h1.t1
OG0000108	Om006G239250, Om003G100270, Om003G100260	Aa_G539300.h1.t1, Aa_G70590.h1.t1
OG0000109	Om007G296220	Aa_G84800.h1.t1, Aa_G329020.h1.t1
OG0000110	Om003G123380	Aa_G271280.h1.t1
OG0000110	Om003G123410	Aa_G271260.h1.t1
OG0000110	Om003G123400	Aa_G784880.h1.t1
OG0000111	Om006G259270	Aa_G482020.h1.t1, Aa_G601860.h1.t1, Aa_G116920.h1.t1
OG0000111	Om004G170780, Om004G170800	Aa_G195290.h1.t1
OG0000112	Om005G189180	Aa_G655250.h1.t1, Aa_G655250.h2.t1
OG0000113	Om001G037540	Aa_G416120.h1.t1, Aa_G217250.h1.t1, Aa_G224170.h1.t1
OG0000113	Om001G034170	Aa_G117390.h1.t1
OG0000114	Om001G037840	Aa_G360810.h1.t1
OG0000114	Om002G045910, Om002G045900	Aa_G332260.h1.t1
OG0000114	Om001G008300	Aa_G578400.h1.t1, Aa_G69050.h1.t1
OG0000117	Om002G088690	Aa_G204550.h1.t1, Aa_G896890.h1.t1
OG0000117	Om001G014560	Aa_G572590.h1.t1
OG0000119	Om004G164230, Om005G214120, Om005G222850	Aa_G311760.h6.t1, Aa_G311760.h5.t1, Aa_G311760.h1.t1, Aa_G311760.h2.t1, Aa_G311760.h7.t1, Aa_G311760.h4.t1, Aa_G311760.h3.t1
OG0000120	Om007G296760, Om007G296900	Aa_G388280.h1.t1
OG0000122	Om004G163000	Aa_G5880.h1.t1
OG0000122	Om003G118900, Om003G118890	Aa_G379580.h1.t1, Aa_G625770.h1.t1, Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G379590.h1.t1, Aa_G592750.h1.t1
OG0000122	Om003G118940	Aa_G625760.h1.t1
OG0000123	Om005G224980, Om005G193630, Om006G257550, Om005G193640, Om005G193560, Om005G193450, Om005G193620, Om005G193610, Om005G193590, Om005G193280, Om005G193230, Om005G193260, Om005G193530	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1
OG0000125	Om002G052080	Aa_G506920.h1.t1, Aa_G403520.h1.t1
OG0000125	Om006G244360	Aa_G552180.h1.t1
OG0000125	Om006G245540	Aa_G33880.h1.t1
OG0000125	Om007G283300	Aa_G69270.h1.t1
OG0000126	Om006G262390	Aa_G248300.h1.t1
OG0000127	Om004G176280	Aa_G18590.h1.t1
OG0000128	Om001G015270	Aa_G1023650.h1.t1
OG0000128	Om004G154610	Aa_G830510.h2.t1, Aa_G830510.h1.t1, Aa_G415050.h1.t1
OG0000128	Om005G217280	Aa_G147990.h1.t1, Aa_G91540.h1.t1
OG0000130	Om003G109550, Om004G147420, Om007G309920, Om006G267480, Om004G149990, Om007G304660	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1
OG0000131	Om003G106820	Aa_G187370.h1.t1, Aa_G173790.h1.t1, Aa_G972050.h1.t1, Aa_G918570.h1.t1, Aa_G327480.h1.t1, Aa_G122790.h1.t1
OG0000136	Om002G045120	Aa_G703520.h1.t1
OG0000136	Om002G064560	Aa_G483980.h1.t1, Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G221000.h1.t1
OG0000138	Om006G251190, Om006G251180	Aa_G171370.h1.t1
OG0000138	Om005G207670, Om005G207700	Aa_G783970.h1.t1, Aa_G283280.h1.t1, Aa_G376680.h1.t1, Aa_G638390.h1.t1, Aa_G638390.h2.t1, Aa_G638390.h3.t1, Aa_G110250.h1.t1, Aa_G182200.h1.t1, Aa_G691670.h1.t1, Aa_G298280.h1.t1
OG0000138	Om001G026370	Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1
OG0000139	Om003G107910, Om003G108000	Aa_G840.h1.t1, Aa_G475650.h1.t1
OG0000140	Om006G246590	Aa_G297060.h1.t1
OG0000140	Om006G246640	Aa_G650690.h2.t1, Aa_G650690.h1.t1
OG0000140	Om006G266710	Aa_G715860.h1.t1
OG0000142	Om007G282790, Om006G267630	Aa_G173900.h1.t1
OG0000142	Om007G282780	Aa_G35530.h1.t1
OG0000145	Om008G347500, Om005G215130	Aa_G11550.h1.t1
OG0000146	Om003G117350	Aa_G643480.h1.t1
OG0000146	Om003G117400, Om003G117360	Aa_G643460.h1.t1, Aa_G732190.h1.t1
OG0000147	Om002G086500	Aa_G190130.h1.t1
OG0000147	Om001G025660	Aa_G620370.h1.t1
OG0000147	Om007G285990, Om006G249440	Aa_G307400.h1.t1
OG0000147	Om004G130850	Aa_G21590.h1.t1
OG0000147	Om006G268290	Aa_G490420.h1.t1
OG0000147	Om003G106450	Aa_G241680.h1.t1
OG0000147	Om002G078960	Aa_G194510.h1.t1
OG0000149	Om006G245850	Aa_G550820.h1.t1
OG0000149	Om006G245840	Aa_G550810.h1.t1, Aa_G550830.h1.t1, Aa_G550790.h1.t1, Aa_G550840.h1.t1
OG0000149	Om006G256850	Aa_G28290.h1.t1, Aa_G482910.h1.t1, Aa_G28310.h1.t1
OG0000150	Om005G201710	Aa_G251660.h1.t1
OG0000151	Om003G114720	Aa_G134060.h1.t1
OG0000151	Om001G021860	Aa_G2000.h1.t1
OG0000151	Om002G051120	Aa_G24370.h1.t1
OG0000151	Om002G082850	Aa_G70150.h1.t1
OG0000151	Om003G118410	Aa_G580840.h1.t1
OG0000154	Om002G065770, Om004G147300, Om004G147290, Om002G052020, Om002G052040, Om001G020420	Aa_G85360.h1.t1, Aa_G162650.h1.t1
OG0000154	Om005G196960, Om002G056330	Aa_G162640.h1.t1, Aa_G280540.h1.t1
OG0000154	Om004G147280	Aa_G40300.h1.t1, Aa_G40310.h1.t1
OG0000154	Om004G175620	Aa_G85370.h1.t1
OG0000155	Om001G020030	Aa_G438370.h1.t1
OG0000155	Om001G007100	Aa_G58940.h1.t1
OG0000155	Om002G055620	Aa_G5430.h1.t1
OG0000156	Om006G244600	Aa_G978220.h1.t1
OG0000156	Om008G322030	Aa_G16070.h1.t1, Aa_G385160.h1.t1
OG0000156	Om008G322060	Aa_G16110.h1.t1
OG0000156	Om008G321950, Om008G321940, Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1
OG0000158	Om004G142800, Om001G036830, Om001G012390, Om001G033100, Om001G033130	Aa_G223250.h1.t1
OG0000161	Om006G236100, Om006G236170	Aa_G61530.h1.t1, Aa_G716440.h1.t1, Aa_G61470.h1.t1, Aa_G61460.h1.t1
OG0000161	Om004G175180	Aa_G260740.h1.t1
OG0000161	Om004G167210, Om006G249300	Aa_G323510.h1.t1
OG0000162	Om003G125400, Om003G125370	Aa_G208990.h1.t1
OG0000162	Om003G125340	Aa_G77230.h1.t1, Aa_G208970.h1.t1, Aa_G208980.h1.t1
OG0000162	Om003G125390	Aa_G77240.h1.t1
OG0000162	Om003G125450	Aa_G208950.h1.t1
OG0000162	Om003G125350	Aa_G573270.h1.t1
OG0000162	Om008G322780, Om008G322790	Aa_G175290.h1.t1
OG0000162	Om008G322800	Aa_G175300.h1.t1
OG0000165	Om005G200180, Om007G315340, Om003G124770	Aa_G11930.h1.t1, Aa_G83970.h1.t1, Aa_G86920.h1.t1
OG0000166	Om001G033710	Aa_G209590.h1.t1
OG0000167	Om001G004410	Aa_G148400.h1.t1
OG0000167	Om001G004360	Aa_G674860.h1.t1
OG0000167	Om001G004340	Aa_G403160.h1.t1
OG0000171	Om005G207720	Aa_G101710.h1.t1
OG0000171	Om005G220880	Aa_G193050.h1.t1
OG0000172	Om003G122950	Aa_G517130.h1.t1, Aa_G154110.h1.t1
OG0000172	Om003G123010, Om006G260870	Aa_G244940.h1.t1
OG0000172	Om003G122820	Aa_G154170.h1.t1
OG0000172	Om006G274300	Aa_G175700.h1.t1, Aa_G449520.h1.t1, Aa_G724730.h1.t1
OG0000175	Om002G084540	Aa_G122520.h1.t1
OG0000175	Om001G035510	Aa_G459730.h1.t1, Aa_G514660.h1.t1
OG0000175	Om004G137100	Aa_G281740.h1.t1
OG0000175	Om005G202200	Aa_G266390.h1.t1
OG0000175	Om002G082840	Aa_G70160.h1.t1, Aa_G180380.h1.t1
OG0000178	Om006G274730, Om001G029800, Om003G091050, Om004G155850, Om002G053360, Om005G210720, Om005G226210, Om004G134680, Om004G134670, Om003G110440, Om002G077640, Om005G199540, Om007G276140, Om004G164470, Om002G068680	Aa_G20.h1.t1
OG0000180	Om008G336650	Aa_G396900.h1.t1
OG0000181	Om005G212500	Aa_G193030.h1.t1
OG0000185	Om001G041450, Om008G356330, Om008G319330	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1, Aa_G520870.h1.t1, Aa_G786940.h1.t1, Aa_G108880.h1.t1
OG0000187	Om001G030060	Aa_G145090.h1.t1
OG0000187	Om001G030100, Om008G336940	Aa_G145050.h1.t1, Aa_G145080.h1.t1
OG0000187	Om001G028260, Om001G028280	Aa_G74610.h1.t1, Aa_G662460.h1.t1
OG0000187	Om002G054360, Om002G054350	Aa_G333280.h1.t1
OG0000189	Om001G037310	Aa_G187960.h1.t1, Aa_G187970.h1.t1, Aa_G139550.h1.t1
OG0000190	Om008G353940	Aa_G320630.h1.t1
OG0000190	Om008G353960	Aa_G320670.h1.t1
OG0000192	Om005G203480	Aa_G507530.h1.t1
OG0000193	Om008G326490	Aa_G162040.h1.t1
OG0000195	Om008G328660	Aa_G9100.h1.t1
OG0000195	Om003G119760	Aa_G88530.h1.t1, Aa_G562480.h2.t1
OG0000195	Om007G285150	Aa_G505900.h1.t1
OG0000196	Om005G185020, Om005G182080	Aa_G152770.h1.t1
OG0000200	Om004G141410, Om003G096320, Om003G096270, Om003G096260, Om001G015930, Om002G066490, Om002G066530, Om005G183320, Om005G183380	Aa_G140000.h1.t1
OG0000200	Om005G182720	Aa_G462040.h1.t1
OG0000201	Om002G070270	Aa_G420970.h1.t1, Aa_G420960.h1.t1
OG0000203	Om003G095370, Om002G055150	Aa_G462700.h1.t1
OG0000203	Om002G046450, Om002G046460	Aa_G606990.h1.t1
OG0000207	Om004G132790	Aa_G335460.h1.t1
OG0000209	Om005G228040, Om005G227980	Aa_G135600.h1.t1
OG0000209	Om005G228150	Aa_G447100.h1.t1
OG0000209	Om005G228080	Aa_G447090.h1.t1, Aa_G201950.h1.t1, Aa_G135610.h1.t1
