Orthogroup	Odontarrhena_muralis	Capsella_rubella
OG0000018	Om008G335480, Om007G284460, Om008G361630	XP_023634149.1, XP_023640318.1, XP_023645856.1, XP_023634431.1, XP_023634319.1, XP_023641905.1, XP_023634354.1, XP_023638482.1, XP_023637954.1, XP_023641377.1, XP_006303531.2, XP_023644562.1, XP_023634269.1, XP_023637241.1, XP_023638098.1, XP_023633350.1, XP_023642574.1, XP_023637243.1, XP_023644454.1, XP_023641378.1, XP_023641962.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_023638958.1, XP_006285455.2
OG0000020	Om007G307160, Om010G364780, Om008G361310, Om002G078780	XP_023634318.1
OG0000021	Om001G038730	XP_023641338.1
OG0000023	Om001G010400	XP_006284983.1
OG0000023	Om001G010360, Om001G009290	XP_023634683.1, XP_006283253.1
OG0000023	Om008G351580	XP_006287218.1
OG0000023	Om008G351640, Om008G351650	XP_006289052.2, XP_023635860.1
OG0000023	Om001G010200	XP_006285954.1
OG0000023	Om001G010350	XP_023634688.1
OG0000023	Om001G011570	XP_006282816.1
OG0000024	Om001G030080, Om007G305000	XP_023638107.1
OG0000025	Om002G073490, Om002G073430	XP_023634475.1
OG0000026	Om002G080990	XP_023636110.1
OG0000026	Om005G219100, Om002G081000, Om002G080320	XP_023642430.1
OG0000027	Om002G070390	XP_023644529.1
OG0000028	Om001G022770	XP_023636106.1, XP_023638859.1, XP_023644241.1, XP_023633373.1, XP_023638123.1, XP_023644257.1, XP_023644242.1, XP_023634002.1, XP_023638860.1, XP_023633615.1, XP_023641909.1
OG0000031	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850	XP_006306232.1
OG0000031	Om006G252510	XP_023636761.1
OG0000031	Om007G317990	XP_023635463.1
OG0000031	Om002G063040	XP_006297483.1
OG0000031	Om001G018890	XP_006283550.1
OG0000033	Om001G010240	XP_006283285.1
OG0000033	Om001G010210	XP_023634692.1
OG0000033	Om001G011550	XP_006283297.1, XP_006301684.1, XP_006285944.1, XP_023634693.1, XP_023634678.1
OG0000033	Om001G007120	XP_023634856.1
OG0000033	Om001G010110	XP_023635576.1
OG0000034	Om003G107450	XP_023635220.1
OG0000034	Om009G362950	XP_023636243.1
OG0000035	Om006G273920, Om002G042810	XP_006299189.1, XP_023632757.1, XP_023641959.1
OG0000035	Om007G280220, Om007G279280, Om006G269650, Om008G331040	XP_023640388.1
OG0000035	Om004G132400, Om008G334460, Om007G279790	XP_023640514.1
OG0000035	Om003G126360, Om003G126370	XP_023638971.1
OG0000038	Om005G196570, Om004G131590	XP_006296301.2
OG0000038	Om003G091800	XP_023632850.1, XP_023645557.1, XP_023632853.1
OG0000038	Om006G262290	XP_023633875.1, XP_023635765.1
OG0000038	Om001G029210	XP_023635611.1
OG0000038	Om001G023300	XP_023643361.1
OG0000038	Om002G053860, Om001G005520	XP_023642772.1
OG0000039	Om008G321840	XP_023644219.1
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	XP_023632886.1, XP_023632793.1, XP_006303634.1
OG0000040	Om008G328570	XP_006293126.1
OG0000040	Om002G067320	XP_006297884.1
OG0000042	Om004G177160	XP_023640353.1
OG0000045	Om001G031280	XP_023635342.1
OG0000046	Om006G241220	XP_006286236.1
OG0000046	Om001G001860	XP_006286158.2, XP_023635662.1
OG0000046	Om006G253990	XP_006290694.2
OG0000046	Om005G206750	XP_023643067.1
OG0000046	Om005G213160	XP_023643077.1
OG0000047	Om006G268590, Om001G028180, Om007G295630	XP_023634337.1
OG0000047	Om007G295670, Om002G084660, Om008G332290, Om006G263590	XP_023645924.1
OG0000048	Om002G045390	XP_006298876.1
OG0000048	Om002G045400	XP_006300074.1
OG0000048	Om002G045440	XP_006298992.1
OG0000050	Om007G308990	XP_023634169.1
OG0000050	Om006G268560	XP_023633725.1
OG0000050	Om008G341390, Om005G201890, Om005G219290	XP_023633353.1
OG0000052	Om005G179650, Om008G361390, Om005G180640	XP_006304062.1
OG0000052	Om008G354070, Om008G326640	XP_023640868.1
OG0000052	Om008G326590	XP_023640424.1
OG0000052	Om008G326580	XP_023639525.1
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	XP_023643438.1, XP_006301193.1, XP_006301052.1, XP_006301411.1, XP_006302254.2
OG0000056	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970	XP_006290241.2, XP_023637455.1, XP_023644542.1
OG0000056	Om008G361080, Om003G090740, Om007G293830, Om008G321670	XP_023638967.1, XP_006282913.2
OG0000058	Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530	XP_023643276.1
OG0000059	Om003G092270, Om002G088980	XP_023644456.1
OG0000059	Om001G008500	XP_023638041.1
OG0000061	Om006G238480	XP_023641960.1, XP_023634808.1, XP_023638026.1
OG0000061	Om005G223660, Om006G249810, Om002G076700, Om003G106600, Om008G345470, Om008G347220	XP_023634311.1
OG0000064	Om001G041080	XP_023634774.1
OG0000064	Om008G358570, Om002G083120, Om002G083140	XP_006286831.1
OG0000066	Om004G164550	XP_006284727.1, XP_006302978.1, XP_006284722.1, XP_006288773.2
OG0000066	Om004G165570	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000067	Om004G137760	XP_006289556.2, XP_023637280.1
OG0000069	Om005G223000	XP_023644828.1
OG0000070	Om008G343830, Om005G215790	XP_023634145.1
OG0000071	Om001G016290, Om004G163830	XP_006301047.2
OG0000071	Om001G039370	XP_023646042.1, XP_023644298.1
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	XP_023643495.1, XP_023633300.1, XP_023634490.1, XP_023637389.1, XP_023634624.1, XP_023641886.1, XP_023633619.1, XP_023633613.1
OG0000072	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200	XP_023644486.1, XP_023637552.1
OG0000073	Om008G360660, Om008G360260	XP_023638542.1
OG0000074	Om004G144350	XP_023632781.1
OG0000074	Om004G143980	XP_006306553.1, XP_006304377.2
OG0000074	Om004G144100	XP_006296266.1, XP_006306462.1
OG0000074	Om004G144220, Om004G144230	XP_006306513.2
OG0000074	Om004G143840	XP_006303770.1
OG0000075	Om005G194550	XP_006289118.1
OG0000076	Om002G087760	XP_023638594.1
OG0000076	Om006G242520	XP_006301891.2, XP_006301896.2, XP_023638056.1, XP_023639204.1, XP_006293172.2
OG0000076	Om003G090370	XP_023639245.1, XP_023639087.1
OG0000077	Om001G035000	XP_023634488.1
OG0000077	Om001G040170	XP_006296170.1
OG0000077	Om001G039420, Om001G034120, Om001G040110, Om005G191300	XP_006286716.1
OG0000077	Om001G033890	XP_023635517.1
OG0000077	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490	XP_006285279.1
OG0000077	Om005G195310	XP_006301199.1
OG0000079	Om003G122800, Om003G122790	XP_023639082.1
OG0000079	Om003G122730	XP_006291126.2
OG0000079	Om003G122880, Om003G122870	XP_006292365.1
OG0000080	Om004G135430	XP_006290130.1, XP_023634933.1
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	XP_023640452.1, XP_023640829.1, XP_006286287.2
OG0000081	Om001G032270	XP_023632976.1, XP_023632977.1
OG0000081	Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470	XP_023633110.1, XP_023644526.1, XP_006304868.2
OG0000081	Om003G096460	XP_023644303.1
OG0000084	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580	XP_006295555.1, XP_006294228.1
OG0000086	Om004G163220	XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301176.1, XP_006301855.1, XP_006306169.1, XP_006301107.1, XP_006301675.1, XP_006301967.1, XP_006301373.1, XP_006279222.1, XP_006279224.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301177.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006281741.1
OG0000087	Om006G238380	XP_006287738.1
OG0000087	Om007G282390	XP_006294210.1
OG0000087	Om006G235110	XP_006292748.1, XP_006291122.1
OG0000087	Om004G162490	XP_006289933.1
OG0000087	Om008G355890	XP_006281513.1
OG0000087	Om001G006430	XP_006283733.1
OG0000087	Om004G137360	XP_006302256.1
OG0000088	Om003G119630	XP_023640385.1, XP_006296540.2, XP_023639002.1, XP_023637739.1, XP_023639072.1
OG0000088	Om006G242180	XP_006279102.2, XP_023636467.1, XP_023635698.1
OG0000089	Om004G166350	XP_006287952.1
OG0000089	Om002G065930, Om003G098490	XP_006297920.1
OG0000089	Om002G055730	XP_006297921.1
OG0000089	Om006G246310, Om006G246300	XP_006282193.1
OG0000090	Om005G202290, Om005G179690	XP_006304273.1
OG0000090	Om004G136810	XP_006302938.1
OG0000090	Om002G055690, Om003G124430	XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1
OG0000093	Om003G122050	XP_006292664.2
OG0000093	Om003G122010	XP_023638587.1
OG0000093	Om003G121950	XP_006292197.1
OG0000093	Om003G121730, Om003G121770, Om003G121750	XP_006290426.1
OG0000096	Om007G301150, Om003G093070, Om006G274060	XP_006292432.2, XP_006293218.1, XP_006292790.1, XP_006292755.1
OG0000096	Om004G143550, Om008G360980	XP_006280897.2
OG0000097	Om008G355550, Om008G355560	XP_006288252.1
OG0000097	Om008G355700	XP_006288400.1
OG0000097	Om008G355610, Om008G355650, Om008G354170, Om008G354150	XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1
OG0000097	Om008G355680, Om008G355600, Om004G133820	XP_006288542.1
OG0000098	Om001G001780	XP_023644089.1, XP_006286837.2, XP_006301151.1, XP_006301217.1, XP_006300715.1
OG0000099	Om005G227450	XP_023637360.1, XP_023637436.1, XP_006301961.2
OG0000099	Om005G227260	XP_006300517.1
OG0000099	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320	XP_023643964.1
OG0000100	Om007G304610	XP_023638959.1
OG0000100	Om001G023470, Om002G054070, Om002G062020, Om007G307690, Om005G203320	XP_006279197.2
OG0000100	Om004G142840	XP_023633443.1
OG0000101	Om005G227020	XP_023641940.1
OG0000101	Om005G227680, Om005G227700, Om005G227110	XP_006301994.2
OG0000101	Om005G226820	XP_023643545.1
OG0000104	Om005G185360	XP_023645280.1
OG0000104	Om007G283030	XP_006296547.2
OG0000104	Om007G283020	XP_006296171.1
OG0000104	Om003G095420	XP_023645616.1
OG0000104	Om002G069400	XP_006299926.1
OG0000104	Om007G283060	XP_023640019.1, XP_006293405.1
OG0000106	Om005G222030	XP_006301737.1
OG0000107	Om002G067740	XP_006299861.1
OG0000107	Om004G133090, Om001G020080	XP_006290930.1
OG0000107	Om002G067770	XP_006289895.1, XP_006297460.1
OG0000108	Om003G100270, Om003G100260	XP_006305026.1
OG0000108	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810	XP_023641898.1, XP_006297881.1
OG0000108	Om006G273840, Om006G273820, Om006G273810	XP_006292655.1
OG0000110	Om003G123410	XP_006291045.1
OG0000110	Om003G123400	XP_006290900.1
OG0000112	Om006G237220, Om006G237210, Om001G003630, Om008G359070, Om008G359090, Om008G359060	XP_006281753.1
OG0000112	Om005G189180	XP_006282356.1, XP_006289168.1, XP_006295946.1
OG0000114	Om004G135370	XP_023643586.1, XP_023644300.1, XP_023642837.1, XP_023643772.1
OG0000118	Om008G333780	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000119	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890	XP_023644479.1, XP_023640329.1, XP_023634312.1, XP_023639187.1, XP_006281259.1
OG0000120	Om005G221860	XP_006301308.1, XP_006301329.1
OG0000120	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520	XP_006281901.1
OG0000120	Om007G296760, Om007G296900, Om004G172660	XP_006296511.1, XP_023644285.1, XP_023644286.1
OG0000122	Om004G163000	XP_023633416.1
OG0000122	Om003G118720, Om003G118730	XP_006281577.2
OG0000123	Om005G193640	XP_006292772.1
OG0000123	Om005G193280, Om005G193230, Om005G193260	XP_006306407.1
OG0000124	Om005G227380, Om001G036630, Om003G104490, Om003G111030, Om003G110990, Om003G111110, Om003G111130	XP_006285982.2
OG0000124	Om008G318760, Om007G317440	XP_023641922.1
OG0000125	Om006G254380	XP_006292034.1
OG0000125	Om002G052080	XP_006298831.2, XP_006286660.1
OG0000125	Om006G244360	XP_006289049.1
OG0000125	Om006G245540	XP_006292858.1, XP_006281264.1
OG0000126	Om006G262390, Om004G151250	XP_023640332.1
OG0000127	Om004G176360	XP_006287625.1
OG0000127	Om004G176280	XP_006289415.1
OG0000127	Om005G189960	XP_023646069.1
OG0000128	Om004G154610	XP_023644425.1
OG0000131	Om007G307190	XP_023635195.1, XP_023634652.1, XP_023640905.1
OG0000136	Om003G099850	XP_023633444.1
OG0000138	Om006G251190, Om006G251180	XP_006292955.1
OG0000138	Om001G026370	XP_006291108.1, XP_023639277.1, XP_023638690.1
OG0000139	Om003G107910, Om003G108000	XP_023634523.1
OG0000140	Om006G246590	XP_006279478.2
OG0000140	Om006G247230, Om006G247200	XP_023640932.1, XP_023642636.1, XP_023640928.1
OG0000140	Om006G246640	XP_006280067.1, XP_006280069.1
OG0000142	Om007G282790, Om006G267630	XP_023639769.1
OG0000143	Om003G106950	XP_023644612.1
OG0000146	Om003G117410	XP_006280761.2
OG0000146	Om003G117350	XP_006281729.1
OG0000146	Om003G097230	XP_006280772.1
OG0000146	Om003G117400, Om003G117360	XP_023637930.1, XP_006281726.2
OG0000147	Om002G086500	XP_006296920.1
OG0000147	Om001G025660	XP_006282542.1
OG0000147	Om007G285990, Om006G249440	XP_006282289.1
OG0000147	Om004G130850	XP_023643729.1
OG0000147	Om006G268290	XP_006279360.1
OG0000147	Om002G078960	XP_006279406.1
OG0000149	Om006G245860	XP_023639042.1
OG0000149	Om006G245840	XP_023633454.1
OG0000149	Om006G256850	XP_023638653.1
OG0000150	Om007G296930	XP_023638877.1, XP_006292836.2, XP_006292499.2
OG0000150	Om001G010460	XP_006291315.2
OG0000150	Om005G201710	XP_023638901.1
OG0000150	Om007G293770, Om004G140630	XP_023633433.1, XP_006280698.1
OG0000151	Om003G114720	XP_006281266.1
OG0000151	Om001G021860	XP_006284700.1
OG0000151	Om002G051120	XP_006298742.1
OG0000151	Om002G082850	XP_006298751.1
OG0000151	Om003G118410	XP_006281239.2
OG0000154	Om005G196960	XP_006306285.1
OG0000154	Om002G056330	XP_006297173.1
OG0000154	Om004G175620	XP_006287234.1
OG0000154	Om004G175630	XP_006290203.1
OG0000155	Om001G020030	XP_006286160.1
OG0000155	Om001G007100	XP_023643783.1, XP_023634855.1
OG0000155	Om002G055620	XP_006300024.2
OG0000155	Om005G221310	XP_023640442.1
OG0000156	Om008G322060	XP_023640163.1, XP_023640606.1
OG0000156	Om008G321950, Om008G321940	XP_023639945.1
OG0000156	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020	XP_006307271.1, XP_023641004.1
OG0000157	Om008G326040, Om008G355750	XP_023634338.1, XP_023640365.1, XP_006290039.1
OG0000161	Om006G236100, Om006G236170	XP_023635333.1, XP_023645120.1, XP_023640860.1, XP_023640089.1
OG0000161	Om004G175180	XP_023637621.1
OG0000161	Om007G278440	XP_023644191.1
OG0000161	Om004G167210, Om006G249300	XP_023644193.1, XP_023644190.1
OG0000162	Om003G125430, Om003G125400, Om003G125370	XP_006292318.1
OG0000162	Om003G125170	XP_006293283.1
OG0000162	Om003G125240, Om003G125350, Om003G125220, Om003G125200, Om003G125180, Om003G125210	XP_006293088.1
OG0000162	Om008G322780, Om008G322790	XP_006294103.1
OG0000164	Om001G024320	XP_006285583.1, XP_006303757.2
OG0000164	Om001G039840	XP_023639572.1, XP_006285590.2
OG0000164	Om001G039830	XP_023635206.1
OG0000167	Om001G004410	XP_023634123.1
OG0000167	Om001G004360	XP_023633844.1
OG0000171	Om005G220880	XP_006305640.2
OG0000171	Om007G301020	XP_023635842.1
OG0000172	Om003G122950	XP_006292673.2
OG0000172	Om003G122830, Om003G122840, Om003G123010, Om006G260870, Om003G123000	XP_023639081.1
OG0000172	Om003G122820, Om006G274300	XP_023639085.1
OG0000174	Om003G109150	XP_023636043.1
OG0000175	Om006G257450	XP_006293293.1
OG0000175	Om004G137100	XP_006302850.1
OG0000175	Om002G082840	XP_006282726.1
OG0000176	Om007G291450	XP_006281807.1
OG0000176	Om008G352670, Om008G352700, Om008G352660, Om008G352690, Om007G291500	XP_006304647.1, XP_023645847.1, XP_023634266.1
OG0000180	Om008G336650	XP_006288439.1
OG0000184	Om006G270790	XP_023640341.1
OG0000185	Om008G337930	XP_023633812.1
OG0000186	Om007G285030	XP_023640354.1
OG0000187	Om001G028260, Om001G028280	XP_006283864.1
OG0000187	Om002G054360, Om002G054350	XP_023641259.1
OG0000189	Om001G039670	XP_006284898.2, XP_023644326.1
OG0000190	Om008G353940	XP_006289433.1
OG0000190	Om008G355670	XP_006286371.1
OG0000191	Om005G197150	XP_006299132.1
OG0000191	Om002G064270	XP_006299977.2, XP_006299373.1, XP_006299361.1
OG0000192	Om005G203480	XP_006303161.1, XP_006283212.1, XP_006306845.1
OG0000192	Om005G203400	XP_006303693.1
OG0000192	Om005G203410	XP_006303914.1, XP_006306853.1
OG0000193	Om005G206290	XP_023642627.1, XP_006299157.1, XP_023642656.1, XP_006299826.1
OG0000195	Om003G119760	XP_023641020.1
OG0000195	Om007G285150	XP_006302967.1, XP_006284698.1, XP_006286601.1, XP_023639142.1
OG0000196	Om005G183260, Om008G337540	XP_023641964.1
OG0000200	Om005G182720	XP_006279047.1
OG0000201	Om002G070200	XP_023641351.1, XP_006299457.1, XP_023642625.1
OG0000201	Om002G070210	XP_023642639.1, XP_006299892.1
OG0000201	Om002G070220	XP_006298376.1, XP_023641852.1
OG0000201	Om002G070290	XP_006299827.1, XP_023642677.1, XP_023632990.1, XP_006299497.1
OG0000202	Om002G064090	XP_006301530.1
OG0000202	Om020G374490, Om011G365230	XP_023641895.1, XP_006299941.1, XP_006299345.2, XP_006299501.1, XP_006300933.1, XP_023641894.1, XP_023641893.1
OG0000203	Om002G046450, Om002G046460	XP_006299314.2, XP_006289243.1, XP_006289137.1, XP_006286705.1
OG0000204	Om002G070990	XP_006296746.1
OG0000207	Om004G136280	XP_023643999.1, XP_006279053.2, XP_006303104.2, XP_006301337.1, XP_006300995.1, XP_006301845.1
OG0000208	Om001G040250	XP_006279822.1, XP_006287519.1, XP_006282055.1, XP_006280314.1, XP_023633561.1
OG0000209	Om005G228150	XP_023642946.1
OG0000209	Om005G228080	XP_006300968.1, XP_023636837.1
OG0000210	Om001G032060, Om001G032100	XP_006292794.1, XP_023638032.1
OG0000210	Om007G278540	XP_006295600.1, XP_006296378.1
OG0000210	Om007G278560	XP_006294455.1
OG0000213	Om004G141230, Om005G208800	XP_006301868.2
OG0000213	Om002G053370	XP_023642299.1, XP_023641412.1
OG0000213	Om001G036460, Om001G036440, Om001G036450	XP_006296372.1, XP_023640523.1, XP_006296383.1, XP_023640521.1, XP_023640517.1, XP_006295774.1, XP_006294243.1, XP_006294239.1
OG0000214	Om007G281030	XP_006301794.1
OG0000214	Om004G145430	XP_023636924.1
OG0000214	Om004G136700, Om004G136680, Om004G145470	XP_006286785.2
OG0000215	Om003G099020	XP_023640610.1
OG0000216	Om001G007580	XP_006285624.1
OG0000216	Om001G008700	XP_006283801.2
OG0000217	Om001G001710, Om001G001540, Om001G001620, Om001G001600	XP_006301247.2, XP_023644098.1, XP_023643741.1
OG0000218	Om005G195550	XP_006305966.2, XP_006306087.1
OG0000218	Om001G010890, Om001G010900, Om001G010920	XP_023638990.1, XP_006291999.1, XP_023638678.1, XP_006291997.1
OG0000218	Om006G241660	XP_006291995.1
OG0000219	Om005G213260	XP_006300988.1, XP_006300969.1, XP_006300929.1, XP_006301393.1
OG0000219	Om007G282230	XP_006293434.1
OG0000219	Om008G350180, Om006G237850, Om006G237870	XP_006281906.1
OG0000220	Om007G276730, Om007G315520	XP_023643827.1, XP_023643232.1, XP_006279057.2
OG0000224	Om004G134640, Om004G134630	XP_006301754.1, XP_006302386.1
OG0000224	Om005G225780	XP_006301062.1, XP_006301004.1
OG0000225	Om007G289790	XP_006305710.2, XP_006304552.1, XP_023632576.1
OG0000225	Om007G289780, Om007G289840, Om007G289820, Om007G289860, Om007G289850	XP_006305764.1, XP_006304484.1
OG0000225	Om007G289830, Om007G289770	XP_023632637.1
OG0000226	Om003G089750	XP_006305431.1, XP_006305370.1, XP_023645963.1
OG0000229	Om001G026580	XP_006304151.2, XP_006303339.1, XP_006304149.1
OG0000230	Om004G137280, Om004G137390, Om004G137300, Om004G137400	XP_006300992.1
OG0000231	Om006G259610	XP_006283372.1
OG0000232	Om004G153390, Om018G374050, Om002G054380	XP_006296911.1, XP_023632678.1, XP_006296942.1
OG0000234	Om006G252380	XP_006290668.1
OG0000234	Om006G252400	XP_006292545.1
OG0000234	Om006G252410	XP_006292248.1
OG0000234	Om008G332130	XP_006295608.1
OG0000234	Om004G161230	XP_006287124.2
OG0000235	Om002G062850, Om002G062830	XP_006299335.1, XP_006300124.1, XP_006299089.1, XP_023642703.1, XP_006300121.1, XP_006299527.1
OG0000236	Om002G071210	XP_006299722.2
OG0000236	Om002G070320	XP_023641354.1
OG0000236	Om006G242750	XP_023644265.1
OG0000240	Om001G023550, Om001G017850	XP_006304782.2, XP_006279442.1
OG0000240	Om008G346080	XP_006301448.1, XP_006285195.1
OG0000242	Om002G081640	XP_006300202.1
OG0000242	Om005G193910	XP_023645571.1
OG0000242	Om005G194120	XP_006307291.2
OG0000242	Om005G193920, Om005G193930	XP_006307178.2
OG0000244	Om001G008070	XP_006284545.1
OG0000244	Om008G354340	XP_006289916.1
OG0000244	Om008G354370	XP_006289300.1
OG0000244	Om001G008060	XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1
OG0000244	Om008G354350, Om003G110630	XP_006289215.1
OG0000247	Om002G054440, Om002G054450, Om002G054460	XP_006285197.1, XP_006292031.1, XP_006282755.1, XP_006296672.1, XP_006298802.1, XP_006298803.1, XP_006295221.1, XP_006298799.1, XP_006288874.1, XP_006284739.1, XP_006284738.1, XP_023633899.1, XP_006300570.1, XP_006284744.1, XP_006298795.1
OG0000248	Om008G353070	XP_023637283.1
OG0000248	Om011G365210, Om020G374470	XP_006302421.1
OG0000248	Om003G119420	XP_006292358.1
OG0000249	Om008G336610	XP_006296366.1
OG0000249	Om008G336590, Om008G336600	XP_006294087.1, XP_006294083.1
OG0000249	Om006G255030	XP_023639020.1
OG0000250	Om005G208240, Om005G208260, Om005G208250	XP_006301741.2
OG0000252	Om008G334420, Om008G334430, Om003G122070, Om004G175220	XP_023636750.1, XP_023644543.1, XP_006305075.2, XP_023635829.1, XP_006295841.1, XP_023639230.1, XP_023635762.1
OG0000254	Om002G064970	XP_006304817.2, XP_006306329.2, XP_023644499.1, XP_006304918.2, XP_023643302.1, XP_006302259.2, XP_023643256.1
OG0000254	Om004G175010	XP_023639557.1
OG0000256	Om008G329770	XP_006292910.1
OG0000256	Om008G331560, Om008G331580, Om008G331570, Om008G331550	XP_006281060.1, XP_023642516.1
OG0000256	Om008G329670	XP_006294980.1
OG0000256	Om008G329810	XP_006295453.1, XP_006295599.1, XP_006295455.1
OG0000257	Om001G002940	XP_006303618.1, XP_006303691.1, XP_006305982.2
OG0000257	Om006G235420	XP_006284973.1, XP_006301076.1
OG0000257	Om002G053540	XP_023642301.1
OG0000258	Om008G334140	XP_006290957.1, XP_006290955.1
OG0000258	Om008G327620, Om006G251330	XP_006292275.1, XP_006290954.1
OG0000258	Om006G272550	XP_006290953.1, XP_023638661.1
OG0000260	Om004G173960	XP_006285264.2
OG0000264	Om008G355250	XP_006286805.1, XP_006290182.1
OG0000264	Om004G160560, Om004G160570, Om004G160550	XP_023636139.1, XP_006286807.1
OG0000264	Om008G355300	XP_006289480.2
OG0000265	Om007G304710, Om007G298190	XP_023635719.1
OG0000267	Om004G134370, Om005G189100, Om002G050140	XP_023640926.1, XP_023644474.1, XP_006295737.1, XP_023640855.1, XP_006295478.1, XP_023640375.1, XP_023640377.1, XP_006296294.1
OG0000268	Om006G274870	XP_006292510.2
OG0000268	Om008G334210	XP_023643441.1
OG0000268	Om004G176390	XP_006287367.1
OG0000268	Om006G253920	XP_006292488.1
OG0000271	Om002G052450	XP_006285847.2
OG0000273	Om001G031160, Om001G031140	XP_006281771.1
OG0000274	Om006G245790	XP_006281238.1
OG0000274	Om008G354900	XP_006291980.1, XP_006292381.1
OG0000274	Om007G282440	XP_006295138.1
OG0000275	Om002G070170, Om002G070160	XP_006299261.1
OG0000276	Om008G337850	XP_006285657.1
OG0000276	Om001G005630	XP_006289633.1, XP_006290193.1
OG0000276	Om001G005730	XP_006286226.1
OG0000277	Om003G101280	XP_006284821.1
OG0000278	Om006G246960, Om006G246900, Om006G241700, Om006G248780, Om006G248700, Om006G248830	XP_006292952.1, XP_023637248.1
OG0000278	Om005G206870	XP_023636079.1, XP_023636078.1
OG0000279	Om007G304320, Om004G168600, Om008G348600	XP_023635807.1, XP_023639599.1, XP_023641906.1
OG0000281	Om003G097620	XP_006279141.1
OG0000281	Om003G121390, Om003G121360, Om003G121670	XP_006286208.2
OG0000281	Om001G006530, Om007G317580, Om007G317540, Om001G006540	XP_006291195.2
OG0000282	Om004G168700	XP_006289949.1
OG0000282	Om004G168720	XP_006289379.1
OG0000282	Om004G168690	XP_006290020.1
OG0000282	Om004G168680	XP_006286767.1
OG0000283	Om007G278090	XP_006282331.1
