Orthogroup	Odontarrhena_muralis	Erysimum_linariifolium
OG0000007	Om007G308670, Om005G224350	El006G293980
OG0000008	Om007G308850	El001G021720
OG0000008	Om007G284450, Om008G361640, Om007G313430	El003G182320, El001G077860
OG0000010	Om003G108840	El007G350710
OG0000011	Om005G184900	El002G082610
OG0000012	Om004G146180	El002G120760
OG0000012	Om002G076390	El006G310180, El001G048000, El003G154210, El007G344400, El007G350120
OG0000012	Om004G153330, Om018G374000	El005G268860, El003G182880
OG0000013	Om008G346820, Om005G224220	El006G310100
OG0000013	Om001G020870	El006G310400
OG0000013	Om002G089030	El007G350800
OG0000014	Om008G343710	El001G041310
OG0000015	Om008G350280	El060G376140, El053G375740
OG0000015	Om006G271980	El001G079510
OG0000015	Om007G305020	El001G047930
OG0000017	Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040	El004G210020
OG0000018	Om008G335480, Om007G284460, Om008G361630	El003G154150, El006G318220, El001G007900, El001G053230, El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830, El002G082650, El001G045850, El001G048290, El003G146330, El001G077880, El004G225550
OG0000019	Om005G222770	El006G281410
OG0000019	Om002G077910	El007G351400
OG0000020	Om010G364780, Om008G361310	El005G264160
OG0000021	Om001G020780, Om001G006810, Om002G059070	El005G277430, El007G325630, El001G045050
OG0000023	Om001G010360, Om001G009290	El007G357800
OG0000023	Om001G010200	El003G162170
OG0000023	Om001G010350	El003G162000
OG0000023	Om001G010250	El003G162130
OG0000024	Om001G030080, Om007G305000	El007G351440, El002G140900
OG0000025	Om002G073490, Om002G073430	El001G014130, El001G014870, El001G014670, El003G176790
OG0000027	Om007G316890	El002G120570, El001G054130, El006G316890, El006G314010
OG0000028	Om001G022770	El004G212000, El004G211990, El007G348580
OG0000029	Om006G261190	El007G359550
OG0000029	Om008G343780	El006G302870, El002G125750, El008G368530
OG0000029	Om005G225700, Om001G013080	El003G179090
OG0000029	Om004G147450	El001G046730
OG0000029	Om007G298330	El006G307470
OG0000030	Om004G153710	El007G358700, El008G371380, El007G349640
OG0000030	Om020G374410, Om004G155320	El003G181950
OG0000030	Om004G152960, Om001G005680	El002G130810
OG0000030	Om011G364950	El005G265320
OG0000030	Om004G165220	El003G181970
OG0000030	Om001G018460, Om005G215420, Om004G165210, Om008G355010, Om001G015000, Om006G265800	El003G181960
OG0000030	Om005G226380	El003G178390, El003G178450, El004G207450, El004G207460, El002G136200
OG0000031	Om007G317990	El003G192370
OG0000031	Om002G063040	El005G253470
OG0000031	Om001G018890	El003G157520
OG0000033	Om001G010240	El003G162140, El003G162150
OG0000033	Om001G010210	El003G162160
OG0000033	Om001G011550	El003G192480
OG0000033	Om001G010110	El003G162220
OG0000034	Om010G364590, Om008G356530, Om001G014760	El004G208110, El007G350680, El007G350130
OG0000034	Om003G107450	El001G041330
OG0000034	Om008G350440, Om004G148920	El002G123500
OG0000034	Om008G345340	El003G154390, El001G040620, El004G214030
OG0000034	Om003G111610	El002G126180
OG0000034	Om006G267380	El027G373510
OG0000034	Om007G303110, Om003G111210, Om003G106810, Om001G013580, Om001G019560	El005G264480
OG0000034	Om008G349540	El005G264310, El005G268870
OG0000034	Om005G219960, Om002G081730	El002G123490
OG0000034	Om002G079430	El003G149900, El001G048010
OG0000034	Om009G362950	El006G311550
OG0000035	Om006G273920, Om002G042810	El001G043940
OG0000035	Om004G132400, Om008G334460, Om007G279790	El006G299540
OG0000035	Om003G126360, Om003G126370	El001G033240, El001G033230
OG0000036	Om005G184480	El004G193910
OG0000037	Om001G014920	El004G202640
OG0000038	Om005G196570, Om004G131590	El006G281890, El006G282510
OG0000038	Om003G091800	El002G110410, El002G110580, El002G110340
OG0000038	Om006G262290	El001G019410
OG0000038	Om008G356970	El007G361730, El007G361750
OG0000039	Om006G250590, Om002G057780	El001G017740, El007G346690, El004G212610
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	El003G181190, El002G112730, El002G112290, El006G296490, El006G297130, El007G346320
OG0000040	Om002G067320	El005G257410
OG0000041	Om002G075010, Om001G018420	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060
OG0000042	Om007G298450	El001G058460
OG0000042	Om004G177160	El004G194460, El007G344540, El005G265850
OG0000043	Om002G089060	El007G350700
OG0000044	Om006G265780	El002G124130
OG0000044	Om007G314900	El007G360870
OG0000045	Om001G031280	El004G208130, El006G320830
OG0000046	Om006G241220	El003G188710
OG0000046	Om001G001860	El003G168460, El004G213500
OG0000046	Om006G253990	El003G186990
OG0000046	Om005G206750	El004G216850, El004G216660
OG0000047	Om007G295630	El002G123400
OG0000047	Om002G077780	El004G204540, El001G049540, El007G364690
OG0000048	Om002G045400	El003G193700
OG0000052	Om005G179650, Om008G361390, Om005G180640	El007G364450, El002G116290
OG0000052	Om008G326650	El006G286630
OG0000052	Om008G326590	El006G286580
OG0000054	Om008G359460, Om008G361290	El001G039440
OG0000055	Om005G224080	El004G198640
OG0000055	Om001G019570	El004G208280
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	El004G198810
OG0000056	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970	El003G171800, El004G200570
OG0000056	Om005G209160, Om002G073230, Om001G006930, Om005G212260	El003G179560, El006G285210, El001G008020
OG0000057	Om004G172320, Om008G335030, Om004G172300	El005G276600, El005G276550
OG0000058	Om006G269070, Om006G268950, Om004G151670	El005G263190, El006G310300, El005G258260
OG0000058	Om006G251390	El007G338080, El003G151650
OG0000058	Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530	El005G258270, El006G310940, El002G122710, El003G177250, El002G135580, El005G263200, El002G136300, El005G276970, El001G065670, El001G046450, El001G034170, El005G262760
OG0000058	Om002G075570	El007G341960
OG0000061	Om006G238480	El006G308960, El006G308930, El002G121930
OG0000062	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320	El003G186180, El004G203440, El004G203430
OG0000062	Om003G109490	El007G346680, El005G263100
OG0000063	Om003G118830	El007G330990, El007G331310
OG0000063	Om007G283280	El001G024380
OG0000064	Om001G041080	El003G142390
OG0000064	Om004G157800	El004G232120
OG0000065	Om006G267840, Om005G217710	El002G116640, El002G116630
OG0000065	Om001G017390, Om007G310090, Om006G252300, Om006G263980, Om007G310120	El003G166430, El007G349160
OG0000066	Om001G039490	El003G143700
OG0000066	Om004G164550	El004G228220, El004G228230, El002G122920
OG0000066	Om008G337830, Om006G231860	El001G071590, El001G071600
OG0000066	Om004G165570	El007G324780
OG0000067	Om001G023220, Om004G137760	El001G050000
OG0000067	Om004G163960, Om004G163910, Om001G022040, Om004G163900	El001G059350
OG0000069	Om005G212060	El001G064640
OG0000070	Om005G218350	El002G125720
OG0000070	Om007G311790	El007G351510
OG0000070	Om012G367940, Om012G366740	El002G129450
OG0000071	Om008G360280, Om004G166900	El002G129500, El003G186380
OG0000071	Om001G039370	El002G123480, El003G185050, El005G258610, El004G202230, El007G334900, El007G346760, El005G246820
OG0000071	Om007G316830, Om001G007220, Om005G207500, Om005G187680, Om002G068810, Om002G068800, Om003G110690	El002G129540
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	El005G263040, El005G262970, El004G210970, El005G264060, El003G180720
OG0000073	Om008G359430, Om008G359450, Om006G266810, Om004G145340, Om006G272440, Om001G008960	El007G343060, El004G214500
OG0000074	Om004G144080	El002G108920
OG0000074	Om004G144350	El002G109050
OG0000074	Om004G143980	El002G109020, El002G108990
OG0000074	Om004G144100	El002G108960, El002G108950
OG0000074	Om004G144220, Om004G144230	El002G109030
OG0000074	Om004G143840	El002G108840
OG0000075	Om005G194550	El001G065030, El001G025110
OG0000076	Om003G090370	El001G041500, El001G041490
OG0000077	Om001G035000	El003G143070
OG0000077	Om001G039420	El004G229240
OG0000077	Om005G191300	El002G122000
OG0000077	Om001G033890	El003G143080
OG0000077	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490	El003G143050, El006G313810, El003G143040
OG0000077	Om005G195310	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890
OG0000079	Om003G123020	El004G207470
OG0000079	Om003G122800, Om003G122790	El007G357730
OG0000080	Om001G013570	El002G131320, El002G131270
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	El007G345310, El006G302700, El006G302980, El006G300900, El006G303280, El001G043770, El001G041340
OG0000081	Om003G098080	El006G304570
OG0000082	Om003G121830, Om002G084590	El004G212430
OG0000083	Om005G206370	El005G265380
OG0000084	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580	El006G316420
OG0000086	Om004G163220	El002G123600, El004G210560
OG0000087	Om006G238380	El001G018640, El001G056180
OG0000087	Om007G282390	El006G303330
OG0000087	Om006G235110	El007G327940
OG0000087	Om004G162490	El001G069260
OG0000087	Om008G339690	El006G296420
OG0000087	Om008G355890	El007G360740
OG0000087	Om001G006430	El003G165170
OG0000087	Om004G137360	El004G228430
OG0000088	Om003G119630	El001G013540, El007G357210, El001G017100, El005G272510, El001G016960, El001G016980, El001G017010
OG0000088	Om006G242180	El001G059590
OG0000089	Om004G166350	El001G072250
OG0000089	Om001G012030	El002G120830
OG0000089	Om002G065930, Om003G098490	El002G133200
OG0000089	Om002G055730	El005G247910
OG0000089	Om006G254270	El001G024400
OG0000090	Om005G202290, Om005G179690	El002G104490, El003G181590
OG0000090	Om004G136810	El004G228750
OG0000090	Om002G055690, Om003G124430	El003G147970
OG0000091	Om002G080860	El005G262380, El005G262370, El005G262320
OG0000093	Om003G122020	El001G029880
OG0000093	Om003G121870	El004G202240, El004G202270
OG0000093	Om003G121950	El001G029840
OG0000096	Om007G301150, Om003G093070, Om006G274060	El001G038300, El001G038380, El001G038370
OG0000096	Om004G143550, Om008G360980	El007G362860, El007G362760
OG0000097	Om008G355550, Om008G355560	El001G004470
OG0000097	Om008G355700	El001G004380
OG0000097	Om008G355610, Om008G355650, Om008G354170, Om008G354150	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890
OG0000097	Om008G355680, Om008G355600, Om004G133820	El001G004400
OG0000099	Om005G227450	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930
OG0000099	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320	El004G194890, El004G195030, El004G194980
OG0000100	Om007G304610	El003G172340, El006G312970
OG0000100	Om001G023470, Om002G054070, Om002G062020, Om007G307690, Om005G203320	El002G130910
OG0000100	Om004G142840	El001G030500
OG0000101	Om005G227680, Om005G227700, Om005G227110	El007G356350
OG0000101	Om005G227690	El004G209060
OG0000104	Om005G185360	El002G090170
OG0000104	Om007G283020	El006G304210
OG0000107	Om002G067730	El006G308310
OG0000107	Om002G067740	El005G257840
OG0000107	Om002G067770	El001G039680, El005G258940, El005G270120
OG0000108	Om003G100270, Om003G100260	El007G364310, El007G323300, El001G009690, El006G281400
OG0000108	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810	El006G309530
OG0000108	Om006G273840, Om006G273820	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550
OG0000109	Om007G303510	El001G018880
OG0000110	Om003G123410	El001G030790
OG0000110	Om003G123400	El001G030780
OG0000112	Om006G237220, Om006G237210, Om001G003630, Om008G359070, Om008G359090, Om008G359060	El007G329910
OG0000112	Om005G189180	El007G342990
OG0000113	Om005G227040	El004G195320, El004G195370, El004G195590, El004G195260, El004G195240, El004G195300
OG0000113	Om001G034170	El004G212080
OG0000114	Om004G135370	El004G213600
OG0000118	Om008G333780	El001G001700, El001G001530
OG0000119	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890	El005G265760, El001G013130, El007G355930
OG0000119	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730	El002G124220
OG0000120	Om005G221860	El004G200260
OG0000120	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520	El007G345250, El007G346140, El006G307860
OG0000120	Om007G296760, Om007G296900, Om004G172660	El001G077920
OG0000124	Om005G227380, Om001G036630, Om003G104490, Om003G111030, Om003G110990, Om003G111110, Om003G111130	El005G255280
OG0000124	Om005G206120	El001G053440
OG0000124	Om008G318760, Om007G317440	El001G050120, El001G069630
OG0000125	Om002G052080	El005G244660, El001G080460
OG0000125	Om006G244360	El001G057350
OG0000125	Om006G245540	El001G015040, El007G331030
OG0000125	Om007G283300	El006G304720
OG0000127	Om005G189950, Om005G189960	El001G001730
OG0000128	Om001G015270	El003G173140
OG0000130	Om006G267480, Om004G149990, Om007G304660	El002G120060
OG0000131	Om003G106820	El006G311530
OG0000133	Om008G345870, Om008G349240	El005G265050
OG0000133	Om008G358290, Om008G345600, Om001G024110	El001G044680
OG0000135	Om002G054930, Om005G226530	El007G346110
OG0000136	Om003G099850	El007G327820
OG0000137	Om006G258530	El007G356470
OG0000138	Om001G026370	El001G045810, El001G045830
OG0000139	Om003G107910, Om003G108000	El007G349680, El003G179680
OG0000140	Om006G246590	El007G331970
OG0000140	Om006G247230, Om006G247200	El007G332560, El007G332570, El007G332540
OG0000140	Om006G246640	El007G332010, El007G332000
OG0000142	Om007G282790, Om006G267630	El006G303720
OG0000142	Om007G282780	El006G303780
OG0000142	Om007G282660	El006G303760, El006G303820
OG0000144	Om008G351670, Om002G077760, Om005G218980, Om001G015950, Om001G019450	El006G293730
OG0000144	Om007G317180	El007G362000
OG0000145	Om005G215130	El001G032500
OG0000146	Om003G117410	El007G336800
OG0000146	Om003G117350	El007G336850
OG0000146	Om003G117400, Om003G117360	El007G336810
OG0000146	Om003G090770	El007G336910
OG0000147	Om002G086500	El005G277400
OG0000147	Om001G025660	El003G152940
OG0000147	Om007G285990, Om006G249440	El007G334350
OG0000147	Om004G130850	El004G233720
OG0000147	Om006G268290	El001G047010
OG0000147	Om002G078960	El005G271430
OG0000149	Om006G256850	El006G308870, El007G331430
OG0000150	Om008G323560, Om004G164020	El006G312860
OG0000150	Om001G010460	El006G312870, El001G014430
OG0000150	Om005G201710	El001G011280
OG0000151	Om003G114720	El007G339860
OG0000151	Om001G021860	El003G156070
OG0000151	Om002G051120	El005G243780
OG0000151	Om002G082850	El005G273960
OG0000151	Om003G118410	El007G336000
OG0000151	Om005G227900	El004G194600
OG0000154	Om004G147280	El006G314290, El006G314350
OG0000154	Om004G175630	El004G209500
OG0000155	Om001G007100	El004G214530, El004G213730, El004G214590, El003G164690
OG0000155	Om002G055620	El005G247790
OG0000155	Om005G221310	El001G050480, El005G272960
OG0000156	Om008G322030	El006G282870
OG0000156	Om008G321950, Om008G321940	El006G282860
OG0000156	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020	El002G121590, El006G282830
OG0000157	Om008G326040, Om008G355750	El003G192550, El003G192860
OG0000160	Om006G239520, Om003G114830, Om001G041000, Om006G275250, Om004G160260, Om003G104260, Om002G079610	El002G123370, El007G360530
OG0000160	Om008G337340	El005G275910
OG0000160	Om005G210710	El001G047250
OG0000162	Om003G125430, Om003G125400, Om003G125370	El003G183220
OG0000162	Om003G125230, Om003G125290, Om007G315000	El001G032200
OG0000162	Om003G125170	El005G268830
OG0000162	Om003G125240, Om003G125350, Om003G125220, Om003G125200, Om003G125180, Om003G125210	El002G134880, El001G032190
OG0000162	Om008G322780, Om008G322790	El006G283560, El006G283550
OG0000164	Om001G024320	El003G154310, El003G154300
OG0000164	Om001G039840	El003G143310
OG0000164	Om001G039830	El003G143320
OG0000166	Om002G081230	El003G188790, El003G188850, El001G012590, El002G131550
OG0000166	Om001G033710	El004G197940
OG0000166	Om006G255610, Om002G081240, Om002G060790	El003G170640, El003G170650, El006G307980, El001G032810, El001G080610, El004G229180
OG0000167	Om001G004410	El003G166330
OG0000167	Om001G004360	El003G166350
OG0000167	Om001G004340	El003G186120
OG0000168	Om001G041790	El006G283530, El001G061750, El002G109450, El006G282840
OG0000171	Om003G127920	El001G034570, El006G280730, El002G093670
OG0000171	Om005G207720	El004G222060, El002G108810
OG0000171	Om005G220880	El004G201030
OG0000171	Om007G301020	El001G066810
OG0000172	Om003G122950	El001G030560
OG0000174	Om003G109150	El005G261670
OG0000175	Om006G257450	El001G021550
OG0000175	Om001G035510	El005G275350
OG0000175	Om004G137100	El004G228610
OG0000175	Om002G082840	El003G147420
OG0000176	Om007G291450	El002G117480
OG0000176	Om008G352670, Om008G352700, Om008G352660, Om008G352690, Om007G291500	El002G116980, El002G116900, El002G117520, El002G117050, El002G116930, El002G117010, El002G116700, El002G116850, El002G116960, El002G116880
OG0000177	Om002G077990	El006G311500
OG0000178	Om004G134470, Om008G337330, Om006G256200, Om001G009600, Om002G079620	El003G147820, El003G181580, El001G006740
OG0000178	Om002G070900, Om008G348660	El007G324860, El003G162340, El003G181530, El003G168850, El006G304410
OG0000178	Om006G274730	El004G208000
OG0000178	Om001G019830, Om008G338100	El001G040000, El004G215500, El006G292960, El001G025380, El002G095060, El004G206380, El003G161220
OG0000180	Om006G256410, Om003G119900	El004G196870, El004G196830, El007G342850
OG0000183	Om008G341930	El006G283640
OG0000185	Om001G041450, Om008G356330, Om008G319330	El004G197640, El001G013560, El001G037380, El004G194470
OG0000187	Om001G030100, Om008G336940	El003G151270
OG0000187	Om001G028260, Om001G028280	El003G151220
OG0000187	Om002G054360, Om002G054350	El005G246530
OG0000189	Om001G039670	El004G229250
OG0000189	Om001G038960	El003G144190, El001G061400, El001G061930
OG0000189	Om001G037320	El001G047730
OG0000190	Om008G353940	El001G005540
OG0000190	Om008G355670	El001G005530
OG0000191	Om002G064270	El005G274730, El005G274430, El005G274440, El005G274460, El005G274720
OG0000192	Om005G203480	El002G105680
OG0000192	Om005G203440	El002G105660
OG0000192	Om005G203400	El002G105570
OG0000192	Om005G203410	El002G105610, El002G105620, El002G105690
OG0000193	Om002G069160, Om002G069150, Om005G226150, Om005G226170, Om005G226140, Om002G071740, Om002G071690	El006G309730
OG0000193	Om005G206290	El005G259130, El002G132160, El002G132130, El005G259240
OG0000195	Om003G119760	El001G028150
OG0000195	Om007G285150	El003G186220, El004G215670, El001G058810, El001G012120
OG0000196	Om005G185020	El002G115040
OG0000197	Om004G163020	El005G275730, El005G275770, El005G276170
OG0000200	Om005G182720	El004G202190
OG0000201	Om002G070200	El005G260650, El005G260640
OG0000201	Om002G070210	El005G260660, El005G260680, El005G260670
OG0000201	Om002G070220	El005G260820
OG0000201	Om002G070290	El005G260710
OG0000202	Om002G064090	El005G254420
OG0000202	Om020G374490, Om011G365230	El005G261620, El005G261760, El005G261630
OG0000203	Om003G095370, Om002G055150	El005G239330, El005G239300, El005G239360, El005G239320, El005G239280, El007G349670
OG0000203	Om002G046450, Om002G046460	El003G153180, El005G238860
OG0000204	Om002G070990	El005G261570
OG0000207	Om004G136280	El004G232160
OG0000207	Om005G197960, Om005G197970	El002G100990
OG0000208	Om001G040250	El007G341810
OG0000209	Om002G062100	El004G207340
OG0000209	Om005G228040, Om005G227980	El004G207330, El004G207320, El004G207280, El004G207300, El004G207310
OG0000210	Om001G032060, Om001G032100	El001G038680, El001G038660, El002G139080, El001G069350
OG0000210	Om007G278540	El006G298860
OG0000210	Om007G278560	El006G297290, El006G297480, El006G298870, El006G298840
OG0000213	Om004G141230, Om005G208800	El004G225470, El004G225480
OG0000213	Om002G053370	El005G245790
OG0000213	Om001G036460, Om001G036440, Om001G036450	El006G319110, El006G319120, El006G319100, El006G319080
OG0000214	Om007G281030	El001G033600
OG0000214	Om004G145430	El006G314950
OG0000215	Om003G099020	El003G178880
OG0000216	Om001G007580	El003G163460, El003G163490
OG0000218	Om005G195550	El002G099000, El002G099030, El002G099010
OG0000218	Om005G195570, Om005G195580	El002G099020
OG0000218	Om001G010890, Om001G010900, Om001G010920	El001G040840, El001G040850
OG0000218	Om006G241660	El001G036390
OG0000219	Om005G213260	El004G216370
OG0000219	Om008G350180, Om006G237850, Om006G237870	El007G339360
OG0000220	Om007G276730, Om007G315520	El004G196230
OG0000221	Om002G088910	El001G033310
OG0000224	Om004G134640, Om004G134630	El004G230600, El004G230590
OG0000224	Om005G225780	El004G196560, El004G196620, El004G196600
OG0000225	Om007G289790	El002G115460, El002G115540, El002G115490, El002G115450
OG0000225	Om007G289860, Om007G289850	El002G115440
OG0000226	Om003G097060	El002G084730
OG0000226	Om003G089750	El003G167740, El003G167670, El003G167790
OG0000226	Om002G080610	El002G110920
OG0000228	Om005G207070	El004G222520
OG0000228	Om005G207040	El004G222650
OG0000229	Om001G026580	El002G136110, El002G136100, El002G136060, El002G136090, El001G062630, El002G136050
OG0000231	Om006G259610	El003G188200
OG0000234	Om006G252380	El001G026000
OG0000234	Om006G252400	El001G025990
OG0000234	Om006G252410	El001G025980
OG0000234	Om008G332130	El006G290620
OG0000234	Om004G161230	El001G068080
OG0000235	Om002G062850, Om002G062830	El005G270010, El005G270000
OG0000235	Om002G062820	El002G130030
OG0000237	Om007G307970	El005G266480, El003G180350
OG0000242	Om005G193910	El002G097950
OG0000242	Om005G194120	El002G097970
OG0000242	Om005G193920, Om005G193930	El002G097940
OG0000243	Om007G301280, Om004G138340, Om009G363270, Om005G216250, Om003G110640, Om009G363750	El002G131050, El001G012090
OG0000244	Om001G008070	El003G163990
OG0000244	Om008G354340	El001G005180
OG0000244	Om001G008060	El003G164000
OG0000244	Om008G354350, Om003G110630	El001G005160
OG0000248	Om011G365210, Om020G374470	El004G205450
OG0000248	Om003G119420	El001G027800
OG0000249	Om008G336590, Om008G336600	El001G010190, El001G010200
OG0000249	Om006G255030	El001G023760
OG0000250	Om005G208240, Om005G208260, Om005G208250	El004G221620, El004G221570
OG0000251	Om007G290870, Om006G266390	El007G351370, El007G351690
OG0000253	Om004G150660	El005G262180
OG0000254	Om002G064970	El004G205790, El004G205810, El004G205800, El004G205770, El005G255250
OG0000254	Om008G330440	El006G290360, El006G289630, El001G046370
OG0000256	Om008G329780	El001G005740
OG0000256	Om008G329770	El001G045880, El006G315950
OG0000256	Om008G331560, Om008G331580, Om008G331570, Om008G331550	El002G127370, El007G348390, El007G354980, El007G348590, El007G348510, El007G348440, El007G348630, El007G348410, El007G348460
OG0000256	Om008G329670	El006G289100
OG0000256	Om008G329810	El006G315200, El006G315100, El006G315180, El006G315190, El006G315090, El006G315110, El006G315230
OG0000257	Om006G235420	El003G184780
OG0000257	Om002G053540	El003G190500
OG0000258	Om008G334140	El001G040630, El001G040650
OG0000258	Om005G225740	El001G040600, El004G213560
OG0000258	Om006G272550	El001G040670
OG0000264	Om008G355250	El001G003610
OG0000264	Om008G355310	El001G004700
OG0000264	Om004G160560, Om004G160570, Om004G160550	El001G003620
OG0000264	Om008G355300	El001G003650
OG0000266	Om003G128150	El001G030730, El001G005860, El002G136470, El004G205750
OG0000267	Om004G134370, Om005G189100, Om002G050140	El006G303900, El006G300950, El006G300970
OG0000268	Om006G274870	El001G037050
OG0000268	Om008G334210	El004G198500
OG0000268	Om008G334200	El001G037010
OG0000268	Om001G008530	El001G037020
OG0000268	Om004G176390	El001G081300
OG0000268	Om006G253920	El001G024850
OG0000270	Om001G041100	El005G273730
OG0000270	Om001G033200	El003G142380
OG0000270	Om005G202020, Om004G138430	El004G228250
OG0000271	Om002G052450	El001G055480
OG0000272	Om006G266430	El003G153700
OG0000273	Om007G280490	El003G184360
OG0000273	Om003G099210	El003G181450
OG0000274	Om006G245790	El007G331270
OG0000274	Om008G354900	El001G015380, El002G138930, El005G270610, El001G015480, El001G015500
OG0000274	Om007G282440	El006G303380, El006G303400
OG0000275	Om002G070170, Om002G070160	El005G260480
OG0000276	Om008G337850	El003G177930
OG0000276	Om001G005730	El003G165590
OG0000277	Om003G101280	El003G172510
OG0000278	Om006G246960, Om006G246900, Om006G241700, Om006G248780, Om006G248700, Om006G248830	El004G194450, El004G194550, El004G194420
OG0000279	Om007G304320, Om004G168600, Om008G348600	El006G309180
OG0000280	Om008G347720	El002G123550
OG0000280	Om006G246420	El006G320040
OG0000281	Om003G097620	El002G134210, El002G134220
OG0000281	Om003G121390, Om003G121360, Om003G121670	El004G205670, El004G205700
OG0000281	Om007G317550	El007G357260
OG0000281	Om003G121350, Om003G121370	El001G040220
OG0000281	Om001G006530, Om007G317580, Om007G317540, Om001G006540	El001G048140
OG0000282	Om004G168700	El001G074230, El001G074220
OG0000282	Om004G168720	El001G074240
OG0000282	Om004G168690	El001G074210
OG0000282	Om004G168680	El001G074200, El001G074190
OG0000283	Om007G278090	El007G358960
OG0000284	Om007G294370, Om002G074370, Om003G113380	El001G051110
OG0000284	Om008G355920, Om008G362090, Om006G261130, Om008G355220, Om008G362100	El001G010020, El005G240890, El007G347650
OG0000287	Om002G069010	El005G259010
OG0000287	Om002G068990, Om002G068980	El005G259030, El005G259040
OG0000288	Om004G133570, Om004G133540, Om004G133530, Om004G133860, Om004G133800, Om004G133790, Om004G133550, Om004G133520, Om004G133810, Om004G133560, Om004G134190, Om002G050850, Om002G050600	El005G236820, El005G237970, El002G127980
OG0000290	Om002G065710	El005G255960
OG0000290	Om005G197460, Om006G231890, Om006G251270, Om006G250320	El007G324830
OG0000294	Om002G064000	El005G254320
OG0000294	Om008G336510	El006G293670
