Orthogroup	Odontarrhena_muralis	Alyssum_gmelinii
OG0000034	Om002G079430	Ag006G548030, Ag002G114610, Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240, Ag001G022990, Ag004G369310
OG0000034	Om009G362950	Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930
OG0000035	Om007G280400	Ag004G307250, Ag007G591050, Ag002G132200
OG0000035	Om005G227290, Om004G176320	Ag007G593340
OG0000035	Om007G280390	Ag007G591090, Ag007G591040
OG0000035	Om006G273920, Om002G042810	Ag007G589990, Ag006G499210
OG0000035	Om008G331040	Ag002G183820
OG0000035	Om002G060840	Ag005G463540, Ag005G463520, Ag005G463530
OG0000035	Om004G132400	Ag003G212430
OG0000035	Om008G334460	Ag007G589940, Ag007G589950
OG0000035	Om007G279790	Ag007G590080, Ag007G590100
OG0000036	Om007G312960	Ag006G551100, Ag001G036210
OG0000037	Om001G014920	Ag001G053350
OG0000037	Om006G267090	Ag008G688330
OG0000038	Om005G196570	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770
OG0000038	Om004G131590	Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	Om003G091800	Ag001G003660
OG0000038	Om006G262290	Ag007G594740, Ag007G591770, Ag004G335660, Ag006G511550, Ag006G511600, Ag001G056400
OG0000038	Om001G029210	Ag003G279120
OG0000038	Om001G023300	Ag005G471060
OG0000038	Om002G053860	Ag005G474640
OG0000038	Om001G005520	Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080
OG0000039	Om008G321840	Ag004G347330, Ag007G622120
OG0000039	Om006G250590, Om002G057780	Ag003G277700, Ag003G245930, Ag007G625110, Ag005G408330, Ag001G093090, Ag001G022570, Ag005G448620, Ag004G337020
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	Om008G328570	Ag005G441920, Ag005G467750, Ag005G452660
OG0000041	Om002G075010	Ag004G400760
OG0000041	Om001G018420	Ag002G143210, Ag008G685490, Ag006G552710
OG0000042	Om007G298450	Ag007G610350, Ag001G022920
OG0000042	Om004G177160	Ag008G683730, Ag007G637230, Ag001G051650, Ag008G718640, Ag005G442270
OG0000044	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660	Ag001G054960
OG0000045	Om003G112290	Ag005G474590, Ag005G450900, Ag005G424570
OG0000045	Om001G031280	Ag002G197550, Ag008G703200
OG0000046	Om001G001900, Om001G001890	Ag006G575360
OG0000046	Om001G001860, Om001G001870	Ag006G575430
OG0000046	Om005G206750	Ag002G129690, Ag002G129740
OG0000047	Om006G238470	Ag008G717960, Ag004G337790, Ag001G100560, Ag002G180790
OG0000047	Om007G295630	Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180
OG0000047	Om002G077780	Ag005G457670
OG0000047	Om001G020530	Ag006G528150
OG0000047	Om002G043900	Ag004G385990, Ag006G499220, Ag001G091420, Ag002G161650, Ag006G525780, Ag006G566760, Ag002G142070
OG0000047	Om003G111370	Ag001G046570
OG0000047	Om007G314310, Om002G071890, Om005G222620	Ag007G585730, Ag007G603890
OG0000048	Om002G045400	Ag005G486480
OG0000048	Om002G045440	Ag005G486490
OG0000050	Om007G308990	Ag007G641850
OG0000050	Om002G080890, Om003G112360	Ag001G062310
OG0000050	Om008G323460, Om006G268120	Ag007G656820, Ag001G040590, Ag001G089640, Ag008G665420
OG0000050	Om008G343650	Ag002G134900
OG0000050	Om002G077490	Ag006G561100
OG0000052	Om005G179650, Om008G361390	Ag004G301370
OG0000052	Om005G180640	Ag004G301320
OG0000052	Om008G354070, Om008G326640	Ag002G194170
OG0000052	Om008G326650	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060
OG0000052	Om008G326590	Ag002G194410, Ag002G194400, Ag002G194390
OG0000052	Om008G326580	Ag002G194440, Ag002G194380
OG0000053	Om002G081910, Om001G013510, Om007G303670, Om001G005250, Om003G102410, Om005G223530, Om003G110840, Om001G030740, Om005G223990, Om005G212830	Ag006G525960
OG0000054	Om002G043200, Om007G279110, Om006G263890	Ag007G634740, Ag006G513370
OG0000054	Om002G057290	Ag004G350340, Ag004G360080
OG0000055	Om005G202820	Ag004G334400
OG0000055	Om005G227820, Om005G224840	Ag004G379910
OG0000055	Om008G333680	Ag004G377140
OG0000055	Om008G361740	Ag002G180760
OG0000055	Om008G332920, Om003G120530, Om005G198120	Ag003G281400, Ag003G282390
OG0000056	Om007G293600, Om007G317020, Om002G062780, Om004G164880	Ag003G260670, Ag001G057120
OG0000056	Om007G309970	Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330
OG0000056	Om008G340700	Ag001G076880
OG0000056	Om005G220800, Om001G027140	Ag008G680730
OG0000056	Om008G361080, Om003G090740, Om007G293830, Om008G321670, Om005G209160, Om002G073230, Om001G006930, Om005G212260, Om003G107750, Om001G017780	Ag002G121000, Ag006G542770
OG0000057	Om004G172320, Om008G335030, Om004G172300	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510
OG0000058	Om006G274780, Om004G171770, Om006G269070, Om006G268950, Om004G151670	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110
OG0000058	Om007G299580, Om006G274770, Om007G313880	Ag004G332280
OG0000058	Om002G087980, Om002G068450, Om005G190360, Om005G223220, Om005G204610, Om007G304500, Om003G125380, Om008G357860, Om004G129440, Om001G015300, Om002G087130, Om002G075560, Om002G076070, Om003G097800, Om001G033280, Om005G201820, Om002G084100, Om001G039990, Om002G084960, Om008G357700, Om003G090300, Om006G269060, Om006G268940	Ag001G061500
OG0000058	Om004G141540	Ag003G293700, Ag008G700500, Ag005G463800, Ag004G321970, Ag001G027690, Ag007G619950, Ag004G386790
OG0000058	Om006G251390	Ag006G508740, Ag007G614810, Ag005G435910, Ag002G139460, Ag001G013190
OG0000058	Om008G335110, Om007G318000, Om007G289630, Om007G296230	Ag006G516660
OG0000058	Om002G075570	Ag003G229160
OG0000059	Om003G092270, Om002G088980	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210
OG0000059	Om001G008500	Ag002G103440, Ag002G122810
OG0000061	Om006G238480	Ag007G618360, Ag004G337800, Ag001G100570, Ag002G180780, Ag004G339650
OG0000061	Om003G106600, Om008G345470, Om008G347220	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860
OG0000061	Om006G268200, Om007G301100, Om002G047100	Ag004G329090, Ag006G566820, Ag002G142080
OG0000061	Om002G043890, Om005G177780, Om008G328920, Om003G114550	Ag006G573690
OG0000061	Om005G191460, Om007G312950, Om003G111810	Ag006G525790
OG0000061	Om008G353280, Om006G242410	Ag006G562400, Ag003G279160, Ag007G603910
OG0000061	Om001G020570	Ag001G084230, Ag008G700010, Ag004G317040, Ag003G230430, Ag001G038510, Ag002G170370, Ag001G089330
OG0000061	Om005G225030, Om004G146510, Om001G027660	Ag005G461020, Ag003G283680, Ag002G182710, Ag007G637720
OG0000062	Om002G057790	Ag002G153690, Ag002G153580
OG0000063	Om005G185480	Ag001G073100
OG0000063	Om006G245470	Ag004G307570
OG0000063	Om007G283280	Ag004G307350
OG0000063	Om005G185680	Ag002G119010
OG0000064	Om001G041080	Ag003G295980
OG0000064	Om008G354180, Om008G354110, Om008G354140, Om008G354160	Ag007G620570
OG0000064	Om003G121290, Om003G121300	Ag001G085940, Ag001G085950, Ag001G085960
OG0000064	Om004G157800	Ag002G170580, Ag007G593140, Ag007G593150, Ag002G113130, Ag002G109120, Ag003G276120, Ag003G276160, Ag003G276060, Ag004G378360, Ag007G593160
OG0000064	Om001G033560	Ag004G324660, Ag004G324700, Ag003G296080, Ag002G109510, Ag002G109380, Ag003G296040, Ag003G296060, Ag002G109520, Ag002G109590, Ag002G109550, Ag003G296070, Ag002G191390, Ag002G109460, Ag002G109500, Ag003G296100, Ag003G296020, Ag002G109470, Ag002G109450, Ag003G283080, Ag003G283090
OG0000065	Om006G267840, Om005G217710	Ag009G735570
OG0000066	Om004G164550	Ag003G225470
OG0000066	Om008G337830, Om006G231860	Ag007G604700
OG0000066	Om004G165570	Ag002G125900
OG0000067	Om001G023220	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820
OG0000067	Om004G137760	Ag005G407040, Ag005G407080, Ag005G407050
OG0000067	Om004G163960, Om004G163910, Om001G022040, Om004G163900	Ag007G607200, Ag007G607230
OG0000068	Om007G308160, Om005G212100	Ag002G158600
OG0000068	Om006G266160	Ag006G534800
OG0000068	Om008G351710	Ag005G409070, Ag001G002250
OG0000068	Om005G212110, Om007G308150	Ag002G161400, Ag001G040620, Ag005G414380, Ag007G645610
OG0000069	Om005G212060	Ag006G532130
OG0000069	Om005G212160	Ag003G258860
OG0000071	Om005G192750, Om005G210750	Ag007G610370
OG0000071	Om001G016290, Om004G163830	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710
OG0000071	Om008G360280, Om004G166900	Ag003G234950, Ag003G217580
OG0000071	Om001G039370	Ag004G389390, Ag004G339910
OG0000071	Om005G207500	Ag004G328070, Ag006G558850, Ag008G714970, Ag005G471910, Ag002G114540, Ag064G744880, Ag001G015270
OG0000071	Om005G187680, Om002G068810, Om002G068800	Ag002G107710
OG0000071	Om003G110690	Ag002G178100, Ag008G660740, Ag004G389850, Ag002G173990, Ag001G029400
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320
OG0000073	Om008G359430, Om008G359450, Om006G266810, Om004G145340, Om006G272440	Ag001G101380
OG0000073	Om001G008960	Ag006G576030
OG0000073	Om008G360120, Om008G360060, Om006G267080, Om008G360180	Ag002G116540
OG0000073	Om008G360260	Ag002G117280
OG0000074	Om004G144240	Ag003G273880
OG0000074	Om004G144070, Om004G144330	Ag003G236930
OG0000074	Om004G144320	Ag003G236940
OG0000074	Om004G144060	Ag003G242350, Ag003G242390
OG0000074	Om004G144020, Om001G027970, Om004G144050, Om004G171550	Ag006G500560
OG0000074	Om004G144350	Ag005G402710
OG0000074	Om004G144010	Ag003G241550, Ag003G242320
OG0000074	Om004G143980	Ag003G241560, Ag003G242310
OG0000074	Om004G144100	Ag004G378820
OG0000074	Om004G144220, Om004G144230	Ag006G514000
OG0000075	Om005G191180	Ag006G510790
OG0000075	Om008G356700	Ag004G313480, Ag004G313520
OG0000075	Om004G132620	Ag007G599000, Ag007G598990
OG0000075	Om001G003590, Om001G003700	Ag003G269710
OG0000075	Om005G194550	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420
OG0000075	Om008G342390, Om001G025890, Om001G025920	Ag004G320420, Ag004G320400, Ag004G320390, Ag004G320380, Ag004G320410, Ag004G320330, Ag004G320350, Ag004G320470, Ag006G555240, Ag006G543310, Ag006G544200, Ag006G543080, Ag006G544500
OG0000076	Om006G255670	Ag001G069280
OG0000076	Om006G242520	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000076	Om003G090370	Ag001G002030
OG0000077	Om001G035000	Ag003G286070, Ag003G286090, Ag003G286060
OG0000077	Om001G040170	Ag003G294450
OG0000077	Om001G039420	Ag003G290220, Ag006G569300
OG0000077	Om001G033890	Ag006G508210
OG0000077	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000	Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370
OG0000077	Om001G033540, Om001G032490	Ag003G281300
OG0000077	Om005G195310	Ag004G321630, Ag004G321620, Ag004G321600
OG0000078	Om007G305480, Om008G337420	Ag001G046650, Ag002G152760
OG0000078	Om004G148580	Ag003G252700
OG0000078	Om008G342420, Om007G305860	Ag001G082530, Ag008G711670
OG0000078	Om007G309170	Ag001G044370
OG0000079	Om003G122890, Om003G122910	Ag006G550580
OG0000079	Om003G122930, Om003G122940	Ag003G233720
OG0000079	Om003G123020	Ag006G550570
OG0000079	Om003G122810	Ag001G084480
OG0000079	Om003G122730	Ag001G089200
OG0000079	Om003G122880, Om003G122870	Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	Om001G013570	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860, Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	Ag007G610550, Ag007G610520, Ag004G375350, Ag007G650150, Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000081	Om005G184670, Om005G184660	Ag007G593730
OG0000082	Om006G275030	Ag008G658870, Ag004G384280
OG0000083	Om005G206370	Ag005G483950, Ag005G483960
OG0000083	Om008G340620, Om002G046520	Ag005G485040, Ag005G485120, Ag005G485110, Ag005G485150, Ag005G485130, Ag005G485070
OG0000084	Om001G014490, Om008G359620, Om008G359610, Om001G014520	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650
OG0000084	Om008G359580	Ag004G391010
OG0000086	Om004G163220	Ag008G709530
OG0000087	Om006G238380	Ag008G723440
OG0000087	Om007G282390	Ag007G593840
OG0000087	Om004G162490	Ag007G609260
OG0000087	Om008G339690	Ag002G161340
OG0000087	Om008G355890	Ag002G127940
OG0000087	Om001G006430	Ag006G562620
OG0000087	Om004G137360	Ag003G224140
OG0000088	Om003G119630	Ag007G581970
OG0000088	Om006G242180	Ag008G717820
OG0000089	Om004G166350	Ag007G603320
OG0000089	Om001G012030	Ag006G540580
OG0000089	Om002G065930	Ag005G453100
OG0000089	Om003G098490	Ag001G021310
OG0000089	Om002G055730	Ag005G471710
OG0000089	Om006G254270, Om008G335280	Ag002G172950, Ag001G073120
OG0000089	Om006G246310, Om006G246300	Ag008G712440, Ag008G708620
OG0000090	Om005G202290, Om005G179690	Ag004G333760
OG0000090	Om004G136810	Ag003G223190
OG0000090	Om003G098630, Om003G099040	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940
OG0000090	Om003G124490, Om003G124410, Om003G124460	Ag001G091860, Ag001G091870, Ag001G091890
OG0000090	Om002G055690	Ag005G471750
OG0000090	Om003G124430	Ag001G092010, Ag001G091920, Ag001G091930
OG0000090	Om006G274160	Ag002G185460
OG0000091	Om006G264850	Ag008G666230, Ag001G063330, Ag006G524690
OG0000093	Om003G122050	Ag001G087540
OG0000093	Om003G122030	Ag001G087660, Ag001G087680, Ag001G087560, Ag001G087510, Ag001G087500
OG0000093	Om001G033140	Ag001G087060, Ag020G743300
OG0000093	Om003G122020	Ag001G087470
OG0000093	Om003G122010	Ag001G087410
OG0000093	Om003G121870	Ag001G087050, Ag001G087110, Ag001G087130
OG0000093	Om003G121950	Ag001G083700, Ag001G087310
OG0000093	Om003G121760	Ag001G086770, Ag001G086780, Ag001G086760
OG0000093	Om003G121730	Ag001G086700
OG0000093	Om003G121770	Ag001G086880, Ag001G086860, Ag001G086840
OG0000096	Om007G301150	Ag001G024200, Ag001G016650, Ag005G460360
OG0000096	Om005G199550	Ag004G329170, Ag004G329010, Ag004G329150, Ag004G329020
OG0000096	Om004G143550, Om008G360980	Ag006G559170
OG0000097	Om008G355550	Ag002G130220, Ag002G132530
OG0000097	Om008G355560	Ag002G129480
OG0000097	Om008G355570	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450
OG0000097	Om008G355700	Ag002G128740
OG0000097	Om008G355610	Ag002G128960
OG0000097	Om008G355680	Ag002G128810
OG0000097	Om008G355600	Ag002G129430, Ag002G129130, Ag002G129340
OG0000098	Om005G191670	Ag004G315550
OG0000098	Om005G191920	Ag006G506280
OG0000098	Om005G192380	Ag004G316800, Ag004G315620
OG0000099	Om005G227480	Ag004G394290, Ag004G391580
OG0000099	Om005G227450	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750
OG0000099	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410
OG0000099	Om005G227260	Ag004G390870, Ag004G390890, Ag004G390900, Ag004G395530, Ag004G390720, Ag004G390710, Ag004G390740, Ag004G390940, Ag004G390780, Ag004G390920
OG0000099	Om003G118970	Ag004G390770
OG0000099	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610
OG0000099	Om005G227510	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840
OG0000100	Om007G304610	Ag002G132470
