Orthogroup	Odontarrhena_muralis	Cardamine_glauca
OG0000160	Om006G260300, Om005G203330, Om001G023460, Om002G054080, Om003G092480, Om006G239520, Om003G114830, Om001G041000, Om006G275250, Om004G160260, Om003G104260, Om002G079610, Om003G110430, Om005G214710, Om002G079600	Cg007G264990, Cg006G202970
OG0000161	Om006G236100, Om006G236170	Cg003G109710, Cg003G109720, Cg003G109690, Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820
OG0000161	Om004G175180	Cg006G215310
OG0000161	Om007G278440	Cg007G261320
OG0000161	Om004G167210, Om006G249300	Cg008G312840, Cg007G257200, Cg007G257190
OG0000162	Om003G125340	Cg008G314630
OG0000162	Om003G125230, Om003G125290, Om007G315000	Cg002G046130
OG0000162	Om003G125390	Cg005G178220
OG0000162	Om003G125170	Cg002G046140
OG0000162	Om008G322780, Om008G322790	Cg005G160860
OG0000165	Om005G200180, Om007G315340	Cg009G325660
OG0000165	Om006G266420	Cg001G034730, Cg004G147530
OG0000167	Om001G004410	Cg001G021130
OG0000167	Om001G004360	Cg001G021160
OG0000168	Om001G041790	Cg008G324810, Cg001G034720
OG0000171	Om003G127920	Cg002G044340
OG0000171	Om005G207720	Cg006G222370, Cg007G270890
OG0000171	Om005G220880	Cg006G235360, Cg007G250530
OG0000171	Om007G301020	Cg008G294880
OG0000172	Om003G123000	Cg002G060680, Cg002G060150
OG0000174	Om003G109150	Cg009G325780, Cg006G205480
OG0000175	Om002G084540, Om006G257450	Cg002G055540
OG0000175	Om004G137100	Cg007G276430
OG0000175	Om002G082840	Cg001G005230
OG0000176	Om001G007740, Om001G007770, Om001G007760, Om004G147890, Om004G147900, Om004G142560, Om007G292150	Cg006G215620
OG0000176	Om007G291450	Cg006G215540
OG0000178	Om002G070900, Om008G348660	Cg014G331270
OG0000178	Om006G274730, Om001G029800, Om003G091050, Om004G155850, Om002G053360, Om005G210720, Om005G226210, Om004G134680, Om004G134670, Om003G110440, Om002G077640, Om005G199540, Om007G276140, Om004G164470, Om002G068680	Cg002G069730, Cg002G066500
OG0000178	Om001G019830, Om008G338100	Cg008G316010
OG0000180	Om006G256410, Om003G119900	Cg001G043140
OG0000184	Om006G270790	Cg006G215550
OG0000185	Om001G041450, Om008G356330, Om008G319330	Cg003G088110, Cg003G098770
OG0000187	Om001G030100, Om008G336940	Cg001G008920
OG0000187	Om001G028140	Cg001G008910
OG0000189	Om001G037310	Cg001G007520
OG0000189	Om001G037320	Cg002G073510
OG0000190	Om008G353940	Cg003G080590, Cg003G080580
OG0000190	Om008G355670	Cg006G210710
OG0000190	Om008G353960	Cg003G080530
OG0000191	Om002G064270	Cg004G153150, Cg004G153270
OG0000192	Om005G203480	Cg006G224780
OG0000192	Om005G203400	Cg006G224800
OG0000192	Om005G203410	Cg006G224790, Cg006G224760
OG0000193	Om002G071740, Om002G071690	Cg004G140730
OG0000195	Om003G119760	Cg002G049520, Cg005G164920
OG0000195	Om007G285150	Cg001G036760, Cg007G265630, Cg002G064380, Cg008G301610
OG0000196	Om007G289450	Cg006G217620
OG0000196	Om007G289440	Cg006G217600
OG0000196	Om005G183260, Om008G337540	Cg006G237980
OG0000197	Om008G330910, Om001G002150, Om004G163020	Cg001G041590
OG0000201	Om002G070200	Cg004G139100, Cg004G139090, Cg004G139080
OG0000201	Om002G070210	Cg004G139110
OG0000202	Om002G064090	Cg004G134030
OG0000203	Om003G095370, Om002G055150	Cg004G120290
OG0000203	Om002G046450, Om002G046460	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080
OG0000209	Om005G228040, Om005G227980	Cg007G246040
OG0000210	Om001G032060, Om001G032100	Cg002G073630, Cg002G073600, Cg002G073620
OG0000210	Om007G278540	Cg005G173490
OG0000213	Om001G036460, Om001G036440, Om001G036450	Cg005G191770, Cg005G191730
OG0000214	Om004G136700, Om004G136680, Om004G145470	Cg003G078170
OG0000216	Om003G116290, Om001G008720, Om006G250260	Cg001G018780
OG0000218	Om005G195550	Cg006G230920, Cg006G230900, Cg006G230890
OG0000218	Om001G010890, Om001G010900, Om001G010920	Cg002G072370
OG0000218	Om004G138180, Om006G241660	Cg002G075340
OG0000219	Om005G213260	Cg007G266520, Cg007G266510
OG0000219	Om007G282230	Cg005G177180
OG0000221	Om002G088910	Cg005G182530
OG0000224	Om004G134640, Om004G134630	Cg007G278180, Cg007G278170, Cg007G278160
OG0000224	Om005G225780	Cg007G247160
OG0000226	Om003G089750	Cg004G128760, Cg006G218020
OG0000229	Om001G026580	Cg007G270440, Cg007G270650, Cg007G261570, Cg002G059180
OG0000233	Om008G347700, Om001G013210, Om002G075710	Cg005G186600
OG0000233	Om002G075720, Om001G016050	Cg006G211480
OG0000234	Om006G252380	Cg002G051400
OG0000234	Om006G252400	Cg002G051410
OG0000234	Om006G252410	Cg002G051420
OG0000234	Om008G332130	Cg005G166930
OG0000234	Om004G161230	Cg008G293710
OG0000235	Om002G062850, Om002G062830	Cg004G133010
OG0000236	Om002G071210	Cg004G139220
OG0000240	Om008G346080	Cg003G085370, Cg001G030000
OG0000242	Om005G193910	Cg006G231900
OG0000242	Om005G194120	Cg006G231890
OG0000242	Om005G193920, Om005G193930	Cg006G231910
OG0000244	Om001G008070	Cg001G019150
OG0000244	Om008G354340	Cg003G093660, Cg003G080320
OG0000244	Om001G008060	Cg001G019160
OG0000248	Om008G353070	Cg003G081360
OG0000248	Om011G365210, Om020G374470	Cg007G252860
OG0000249	Om008G336590, Om008G336600	Cg005G169790
OG0000250	Om005G208240, Om005G208260, Om005G208250	Cg007G270580
OG0000252	Om008G334420, Om008G334430, Om003G122070, Om004G175220	Cg008G283740, Cg004G136500
OG0000254	Om002G064970	Cg004G134710
OG0000254	Om004G175010	Cg005G190180
OG0000256	Om008G329780	Cg003G080890
OG0000256	Om008G329670	Cg005G165640
OG0000257	Om001G002940	Cg006G198470, Cg006G198480
OG0000257	Om006G235420	Cg001G035030
OG0000257	Om002G053540	Cg004G126080
OG0000258	Om008G334140	Cg002G072340
OG0000258	Om006G272550	Cg002G072320
OG0000264	Om008G355250	Cg003G079930, Cg003G094080, Cg003G094890, Cg003G079050
OG0000264	Om004G160560, Om004G160570, Om004G160550	Cg003G079060, Cg003G094880
OG0000265	Om007G304710, Om007G298190	Cg005G179750, Cg005G186970
OG0000267	Om004G134370, Om005G189100, Om002G050140	Cg005G177130, Cg005G177100, Cg005G177110, Cg005G177030, Cg005G177010, Cg005G177140, Cg005G177090, Cg005G177120
OG0000268	Om006G274870	Cg002G074810
OG0000268	Om008G334210	Cg007G248330
OG0000268	Om004G176390	Cg008G282710
OG0000268	Om006G253920	Cg002G052420
OG0000269	Om007G307110	Cg002G069710
OG0000270	Om001G041100	Cg001G000740
OG0000270	Om001G033200	Cg001G005510
OG0000271	Om004G174610	Cg003G094150
OG0000271	Om008G355390	Cg006G199270
OG0000273	Om007G280490	Cg006G201150, Cg006G201180
OG0000274	Om006G245790	Cg003G107390
OG0000274	Om008G354900	Cg002G061020, Cg002G061010
OG0000274	Om007G282440	Cg005G177430
OG0000275	Om002G070170, Om002G070160	Cg004G139010
OG0000276	Om008G337850	Cg001G029710
OG0000281	Om003G097620	Cg006G199670
OG0000281	Om003G121390, Om003G121360, Om003G121670	Cg006G220980
OG0000282	Om004G168700	Cg008G288360
OG0000282	Om004G168720	Cg008G288350, Cg008G323220
OG0000282	Om004G168690	Cg008G288380
OG0000282	Om004G168680	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400
OG0000283	Om007G278090	Cg008G319010
OG0000283	Om007G278120, Om007G278110, Om007G278160, Om007G278100, Om007G278130	Cg008G318960, Cg008G318990, Cg008G318970
OG0000284	Om007G294370, Om002G074370, Om003G113380	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380
OG0000287	Om002G068970, Om002G071390	Cg004G137910
OG0000287	Om002G068950	Cg004G137970
OG0000287	Om002G069010	Cg004G137940
OG0000287	Om002G068990, Om002G068980	Cg004G137980, Cg004G137960
OG0000290	Om002G065710	Cg004G135310
OG0000294	Om002G064000	Cg004G133910
OG0000294	Om008G336510	Cg005G169690
OG0000294	Om008G319990	Cg005G158570
OG0000294	Om004G159000	Cg003G077590, Cg014G332020
OG0000294	Om005G179320	Cg006G243870
OG0000297	Om005G212040, Om001G036360, Om001G036390	Cg001G003600
OG0000297	Om006G242900, Om006G244950	Cg003G108160
OG0000297	Om002G067110	Cg004G136450
OG0000299	Om018G373800, Om004G171990, Om004G172000	Cg001G026230, Cg001G026550
OG0000299	Om001G011700	Cg007G279160
OG0000300	Om001G025280	Cg004G145450
OG0000300	Om001G025290	Cg004G145480, Cg004G145490
OG0000300	Om008G353600	Cg004G145430, Cg004G144800
OG0000311	Om007G298120	Cg008G296830
OG0000311	Om003G099520	Cg006G201410
OG0000311	Om002G064550	Cg004G134370
OG0000311	Om005G213850	Cg007G265360
OG0000313	Om001G005460	Cg001G020530
OG0000313	Om001G005740	Cg001G028860
OG0000313	Om003G099080	Cg006G200970
OG0000314	Om005G181880	Cg006G241650
OG0000314	Om005G181890	Cg006G241640
OG0000314	Om007G278660	Cg005G173580
OG0000316	Om008G335620	Cg005G165580, Cg005G165480
OG0000319	Om005G185820, Om006G245010	Cg003G086150, Cg003G108110, Cg006G238150
OG0000321	Om003G119980	Cg001G036410
OG0000321	Om008G337250, Om004G152510, Om004G166140, Om008G337290, Om008G337300, Om008G337280, Om008G337270	Cg001G036490, Cg001G035900, Cg001G035950, Cg001G035910, Cg001G035940
OG0000322	Om004G133260	Cg007G279100
OG0000322	Om005G198270	Cg006G228800
OG0000322	Om008G333060, Om008G330110, Om008G330430	Cg005G165820
OG0000323	Om003G115780	Cg003G101320
OG0000324	Om007G305950, Om006G251240, Om008G362470, Om008G360900, Om007G309040, Om002G085120, Om004G135510, Om004G156750, Om004G138360, Om005G207620, Om005G223670, Om006G262380, Om002G083090, Om008G349590, Om003G111220	Cg008G317460, Cg001G031330, Cg007G263750
OG0000327	Om006G253100, Om006G251140, Om006G251150, Om006G253090	Cg002G052000
OG0000330	Om003G124480, Om003G124500	Cg002G046560
OG0000332	Om006G241400	Cg008G300270
OG0000332	Om003G097540	Cg004G136440
OG0000334	Om006G254200	Cg002G052730
OG0000334	Om008G335090	Cg005G168750
OG0000335	Om002G054740	Cg004G142530, Cg004G127070
OG0000336	Om004G142050	Cg007G273380, Cg007G273390
OG0000336	Om005G198950	Cg006G228370
OG0000336	Om004G142080, Om004G142060	Cg007G273370
OG0000339	Om001G010480	Cg001G017490
OG0000339	Om008G321390	Cg005G159770
OG0000340	Om008G325090	Cg005G162340
OG0000341	Om003G123430	Cg007G258870, Cg001G030730
OG0000344	Om006G240680	Cg008G305710, Cg008G305700, Cg001G025010, Cg008G308010, Cg008G312970
OG0000347	Om006G248330, Om006G248350, Om002G055420	Cg004G127590, Cg007G261820, Cg007G261880, Cg007G261870, Cg007G261860, Cg007G261890, Cg007G261900, Cg007G261920, Cg007G261910, Cg007G261930, Cg007G261840, Cg007G264260, Cg007G264270, Cg007G264250, Cg007G264200, Cg007G264220, Cg007G264180, Cg007G264360, Cg007G264320, Cg007G261830, Cg007G264380, Cg007G264140, Cg007G264280, Cg007G264350, Cg007G264230, Cg007G264290, Cg007G264160, Cg007G264150, Cg007G264240, Cg007G264420, Cg007G264330, Cg007G264300, Cg007G264310, Cg007G264340, Cg007G261850, Cg007G264370, Cg007G264170, Cg007G264190, Cg007G264210, Cg007G264130
OG0000348	Om007G315920, Om004G149150	Cg006G244770, Cg001G023970, Cg005G168250, Cg001G030910, Cg002G068730, Cg004G146340, Cg007G271550, Cg011G329030
OG0000349	Om001G035120	Cg001G004450
OG0000349	Om001G035100	Cg005G177460
OG0000351	Om002G059530	Cg003G086090
OG0000351	Om002G059500	Cg008G290210
OG0000352	Om005G197930, Om008G334130	Cg006G229000
OG0000355	Om004G131070	Cg007G280400
OG0000355	Om004G138140, Om005G184710, Om004G138150	Cg005G187890
