Orthogroup	Odontarrhena_muralis	Arabidopsis_thaliana
OG0000074	Om004G144350	AT1G23690.1
OG0000074	Om004G143980	AT1G23660.1, AT1G23640.1
OG0000074	Om004G144100	AT2G27670.1, AT1G23610.1
OG0000074	Om004G144220, Om004G144230	AT1G23670.2
OG0000074	Om004G143840	AT1G23510.1
OG0000076	Om006G255670	AT3G52690.1
OG0000076	Om006G242520	AT1G55030.2, AT4G13965.1
OG0000076	Om003G090370	AT3G26930.2, AT3G26920.1
OG0000077	Om001G035000	AT4G39560.1
OG0000077	Om001G034120, Om001G040110, Om005G191300	AT4G05620.1
OG0000077	Om001G033890	AT4G39570.1
OG0000077	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490	AT4G39550.1
OG0000077	Om005G195310	AT1G19930.1, AT1G60570.1
OG0000079	Om003G123020	AT5G38391.1
OG0000079	Om003G122810	AT3G58900.4
OG0000079	Om003G122730	AT3G58880.1
OG0000079	Om003G122880, Om003G122870	AT3G58820.1
OG0000080	Om001G013570	AT1G48400.1
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	AT1G21990.1, AT2G29930.1, AT2G29910.6
OG0000081	Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470	AT1G47730.1, AT1G48060.1
OG0000081	Om003G096460	AT1G50870.1
OG0000086	Om004G163220	AT5G34908.1, AT3G44115.1, AT1G57760.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1
OG0000087	Om006G238380	AT5G23860.1
OG0000087	Om007G282390	AT2G29550.1
OG0000087	Om006G235110	AT5G62700.1, AT5G62690.1
OG0000087	Om004G162490	AT5G12250.1
OG0000087	Om008G355890	AT5G44340.1
OG0000087	Om001G006430	AT4G20890.1
OG0000087	Om004G137360	AT1G75780.1
OG0000088	Om003G119630	AT3G47570.1, AT3G47090.1, AT3G47580.1
OG0000088	Om006G242180	AT5G20480.1
OG0000089	Om007G292110, Om004G166350	AT5G09810.1
OG0000089	Om002G065930, Om003G098490	AT3G18780.2
OG0000089	Om002G055730	AT3G12110.1
OG0000089	Om006G254270, Om008G335280	AT2G37620.1
OG0000090	Om005G202290, Om005G179690	AT2G25700.1, AT1G20140.1
OG0000090	Om004G136810	AT1G75950.1
OG0000090	Om002G055690, Om003G124430	AT4G34210.1
OG0000093	Om003G122050	AT3G58360.1
OG0000093	Om001G033140	AT2G05400.3
OG0000093	Om003G122010	AT3G58350.1
OG0000093	Om003G121870	AT3G58250.1
OG0000093	Om003G121950	AT3G58270.1
OG0000096	Om007G301150, Om003G093070, Om006G274060	AT2G03030.1, AT2G03300.1
OG0000096	Om004G143550, Om008G360980	AT5G45220.1
OG0000097	Om008G355550, Om008G355560	AT4G05460.1
OG0000097	Om008G355700	AT4G03635.1
OG0000097	Om008G355610, Om008G355650, Om008G354170, Om008G354150	AT4G05470.1, AT4G05475.1
OG0000097	Om008G355680, Om008G355600, Om004G133820	AT4G05497.1
OG0000098	Om001G001780	AT1G63350.2, AT1G62630.1, AT1G63360.1
OG0000098	Om005G191560	AT4G10780.1
OG0000098	Om005G191920, Om005G192380	AT1G12210.1
OG0000099	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320	AT1G64030.1
OG0000101	Om005G226820	AT1G63730.1
OG0000101	Om005G227060	AT5G35510.2
OG0000104	Om005G185360	AT1G07560.1
OG0000104	Om007G283030	AT2G29000.1
OG0000104	Om003G095420	AT1G49100.1
OG0000104	Om002G069400	AT3G21340.1
OG0000104	Om003G095400	AT1G51810.1
OG0000104	Om007G283060	AT2G28970.1
OG0000106	Om005G222030	AT5G47300.1
OG0000107	Om002G067730	AT2G27000.1, AT2G27010.1
OG0000107	Om002G067740	AT3G20140.1
OG0000107	Om004G133090, Om001G020080	AT5G42580.1
OG0000107	Om002G067770	AT3G20960.2, AT3G20090.2, AT4G15360.1, AT2G05180.1, AT3G20130.1
OG0000107	Om002G067720, Om007G309010	AT3G20100.1
OG0000108	Om003G100270, Om003G100260	AT1G27550.1, AT1G27580.1, AT1G27540.1, AT2G24080.1
OG0000110	Om003G123410	AT3G59210.1
OG0000110	Om003G123400	AT3G59200.1
OG0000111	Om006G259270	AT4G15075.1
OG0000112	Om008G359070, Om008G359090, Om008G359060	AT5G36657.1
OG0000112	Om005G189180	AT5G51105.1
OG0000113	Om002G045450	AT5G38344.1
OG0000114	Om002G045910, Om002G045900	AT3G04210.1
OG0000114	Om004G135370	AT1G69550.1
OG0000114	Om004G133350, Om003G106720, Om003G106700, Om004G133370, Om004G136120	AT3G04220.3
OG0000118	Om008G333780	AT4G01380.1
OG0000119	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890	AT1G52603.1
OG0000119	Om007G284090	AT5G33393.1
OG0000120	Om005G221860	AT1G60880.1, AT1G60920.1
OG0000120	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520	AT5G49490.1, AT5G38620.1, AT5G49420.1
OG0000120	Om007G296760, Om007G296900, Om004G172660	AT5G04640.1, AT1G46408.1
OG0000122	Om003G118880	AT5G50270.1
OG0000122	Om003G118720, Om003G118730	AT5G56325.1
OG0000123	Om005G193640	AT2G27570.1, AT3G45080.1, AT3G45070.2
OG0000123	Om005G193280, Om005G193230, Om005G193260	AT1G13420.1, AT2G14920.1, AT1G13430.1
OG0000124	Om003G107740	AT2G02650.1
OG0000124	Om008G350230	AT1G52990.1, AT5G52115.1, AT5G65005.1
OG0000124	Om005G227380, Om001G036630, Om003G104490, Om003G111030, Om003G110990, Om003G111110, Om003G111130	AT3G23320.1
OG0000124	Om005G206120	AT5G44470.1
OG0000124	Om008G318760, Om007G317440	AT3G25270.1
OG0000124	Om001G019350	AT3G32130.1
OG0000124	Om003G103030	AT5G26617.1, AT2G13980.1
OG0000125	Om002G052080	AT3G09480.1, AT5G02570.1
OG0000125	Om006G244360	AT5G22880.1
OG0000125	Om006G245540	AT3G45980.1, AT5G59910.1
OG0000125	Om007G283300	AT2G28720.1
OG0000127	Om004G176280	AT5G01120.1
OG0000127	Om005G189960	AT1G11145.1
OG0000128	Om004G150710, Om005G217280	AT1G34070.1
OG0000131	Om003G106820	AT4G05555.1, AT1G36970.1, AT3G31560.1, AT1G31960.1, AT2G07280.1
OG0000133	Om008G345870, Om008G349240	AT4G03728.1
OG0000136	Om003G099850	AT5G62800.1
OG0000136	Om002G064560	AT5G37870.1, AT5G37900.1, AT5G37910.1
OG0000138	Om006G251190, Om006G251180	AT3G29680.1
OG0000138	Om002G065910	AT3G29690.1
OG0000138	Om001G026370	AT3G29670.1
OG0000140	Om006G246590	AT5G59100.1
OG0000140	Om006G247230, Om006G247200	AT5G58830.1, AT5G58820.1, AT5G58840.1
OG0000140	Om006G246640	AT5G59090.1, AT5G59120.1
OG0000142	Om007G282780	AT2G29320.1, AT2G29300.2
OG0000142	Om007G282660	AT2G29170.1
OG0000146	Om003G117410	AT5G55370.1
OG0000146	Om003G117350	AT5G55340.1
OG0000146	Om003G117400, Om003G117360	AT5G55360.1
OG0000146	Om008G326830	AT1G34500.1
OG0000147	Om002G086500	AT2G18960.1
OG0000147	Om001G025660	AT4G30190.2
OG0000147	Om007G285990, Om006G249440	AT5G57350.1
OG0000147	Om004G130850	AT1G80660.1
OG0000147	Om006G268290	AT3G42640.1
OG0000147	Om002G078960	AT2G07560.1
OG0000149	Om006G245840	AT5G59680.1
OG0000150	Om007G296930	AT3G43750.1
OG0000150	Om001G010460	AT3G45525.1
OG0000150	Om005G201710	AT3G45540.1
OG0000150	Om007G293770, Om004G140630	AT2G22940.1
OG0000151	Om003G114720	AT5G53300.1
OG0000151	Om001G021860	AT4G27960.2
OG0000151	Om002G051120	AT3G08690.1
OG0000151	Om002G082850	AT2G16740.1
OG0000151	Om003G118410	AT5G56150.1
OG0000154	Om002G065770, Om004G147300, Om004G147290, Om002G052020, Om002G052040, Om001G020420	AT1G56410.1
OG0000154	Om005G196960	AT1G16030.1
OG0000154	Om002G056330	AT3G12580.1
OG0000154	Om004G175620	AT5G02500.1
OG0000154	Om004G175630	AT5G02490.1
OG0000155	Om001G020030	AT4G27290.2
OG0000155	Om001G007100	AT1G65800.1, AT1G65790.1, AT4G21380.1
OG0000155	Om002G055620	AT3G12000.1
OG0000156	Om006G244600	AT3G61035.1
OG0000156	Om008G322060	AT2G45550.1
OG0000156	Om008G321950, Om008G321940	AT2G45560.1
OG0000156	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020	AT1G33720.1
OG0000157	Om008G326040, Om008G355750	AT5G41490.1, AT5G41500.1, AT5G41510.1, AT2G38590.1, AT4G33290.1
OG0000161	Om006G236100, Om006G236170	AT5G61940.2, AT5G61950.1, AT1G52450.1, AT1G52430.1, AT5G51530.1, AT2G27630.1, AT2G27650.1
OG0000161	Om004G175180	AT5G02660.1
OG0000161	Om007G278440	AT1G65200.1
OG0000161	Om004G167210, Om006G249300	AT1G65110.2, AT1G65120.2
OG0000162	Om003G125240, Om003G125350, Om003G125220, Om003G125200, Om003G125180, Om003G125210	AT3G60470.1
OG0000162	Om008G322780, Om008G322790	AT2G44930.1
OG0000164	Om001G024320	AT4G29370.1
OG0000164	Om001G039840	AT4G39753.1
OG0000164	Om001G039830	AT4G39756.1
OG0000166	Om002G081230	AT4G29090.1
OG0000166	Om006G255610, Om002G081240, Om002G060790	AT5G42965.1, AT5G38920.1
OG0000167	Om001G004410	AT4G19590.2
OG0000167	Om001G004360	AT4G19570.1
OG0000167	Om001G004340	AT5G37440.1, AT5G37750.1
OG0000169	Om003G127060	AT1G54470.1
OG0000171	Om005G207720	AT1G70490.1, AT1G23490.1
OG0000171	Om005G220880	AT1G10630.1
OG0000171	Om007G301020	AT5G14670.1
OG0000172	Om003G122950	AT3G58960.1
OG0000172	Om003G122820, Om006G274300	AT3G58980.1
OG0000175	Om006G257450	AT3G51300.1
OG0000175	Om004G137100	AT1G75840.1
OG0000175	Om002G082840	AT4G35020.1
OG0000176	Om007G291450	AT1G30790.1
OG0000180	Om006G256410, Om003G119900	AT3G62850.1
OG0000186	Om004G150540	AT2G19960.3
OG0000190	Om008G353940	AT4G04490.1
OG0000190	Om008G355670	AT4G04500.1
OG0000191	Om005G197150	AT3G16590.1
OG0000191	Om002G064270	AT2G17310.1
OG0000192	Om005G203480	AT1G21270.1
OG0000192	Om005G203400	AT1G21210.1
OG0000192	Om005G203410	AT1G21230.1, AT1G21240.1, AT1G21250.1
OG0000193	Om002G071740, Om002G071690	AT3G23260.1
OG0000193	Om005G206290	AT3G21170.1, AT3G21120.1, AT3G21130.1
OG0000195	Om003G119760	AT2G41110.2
OG0000195	Om007G285150	AT5G37780.3, AT1G66410.2, AT5G21274.1
OG0000200	Om005G182720	AT3G49610.1
OG0000201	Om002G070200	AT4G20600.1, AT4G20580.1, AT4G20620.1, AT4G20670.1, AT4G20610.1, AT4G20640.1, AT4G20590.1, AT4G20630.1, AT4G20530.1, AT4G20645.1, AT4G20560.1, AT4G20540.1, AT4G20550.1, AT4G20570.1, AT3G21990.1, AT3G21980.1
OG0000201	Om002G070210	AT3G22000.1, AT4G20680.1, AT3G22010.1
OG0000201	Om002G070220	AT3G22020.1
OG0000201	Om002G070290	AT3G22040.1
OG0000202	Om002G064090	AT3G17480.1, AT1G62270.1
OG0000202	Om020G374490, Om011G365230	AT2G04920.1, AT3G22350.1, AT3G22710.1, AT3G22720.1, AT3G22700.1, AT3G23633.1, AT3G22730.1
OG0000203	Om003G095370, Om002G055150	AT2G13630.1, AT3G04660.1
OG0000203	Om002G046450, Om002G046460	AT4G29970.1, AT3G10790.1
OG0000204	Om002G070990	AT3G22650.2
OG0000207	Om008G331300	AT1G69630.1
OG0000207	Om004G136280	AT1G78760.1, AT1G66300.1, AT1G66310.1, AT1G66290.1, AT1G66320.1, AT1G66640.1
OG0000207	Om005G197960, Om005G197970	AT1G16940.1
OG0000209	Om002G062100	AT1G64255.1
OG0000209	Om005G228150	AT1G64253.1
OG0000209	Om005G228080	AT1G64260.1, AT1G49920.1
OG0000210	Om001G032060, Om001G032100	AT5G38270.1, AT2G03560.1
OG0000210	Om007G278560	AT2G33200.1
OG0000213	Om004G141230, Om005G208800	AT1G73270.1, AT5G36180.1, AT1G73300.1, AT1G73310.1, AT1G73280.1, AT1G73290.1
OG0000213	Om002G053370	AT3G10450.1
OG0000213	Om001G036460, Om001G036440, Om001G036450	AT2G22980.4, AT2G22970.3, AT2G22920.2, AT2G23000.1, AT2G22990.3, AT2G23010.1, AT3G12203.1
OG0000214	Om007G281030	AT1G65180.1, AT1G69150.1, AT3G43890.1
OG0000214	Om004G145430	AT4G11390.2
OG0000214	Om004G136700, Om004G136680, Om004G145470	AT4G02180.1, AT4G01910.1, AT4G01920.1, AT4G01740.1, AT4G01930.1
OG0000216	Om001G007580	AT4G22035.1
OG0000216	Om001G008700	AT4G14165.1
OG0000216	Om003G116290, Om001G008720, Om006G250260	AT4G22180.1
OG0000217	Om001G001710, Om001G001540, Om001G001620, Om001G001600	AT1G59780.1
OG0000218	Om005G195550	AT1G14930.1, AT1G14940.1, AT1G14950.1
OG0000218	Om005G195570, Om005G195580	AT1G14960.1
OG0000218	Om001G010890, Om001G010900, Om001G010920	AT3G26450.1, AT3G26460.1
OG0000218	Om004G138180	AT4G14060.1
OG0000218	Om006G241660	AT2G01530.1, AT2G01520.1
OG0000219	Om005G213260	AT1G66870.2, AT1G66852.1, AT4G16165.1, AT1G66855.1
OG0000219	Om007G282230	AT2G29735.1
OG0000219	Om008G350180, Om006G237850, Om006G237870	AT5G53600.1, AT5G53610.1
OG0000220	Om007G276730, Om007G315520	AT1G61840.1
OG0000220	Om004G175360, Om004G175350, Om004G175400	AT2G13950.1, AT5G02340.1, AT2G13900.1, AT5G02350.1, AT5G02330.1
OG0000224	Om004G134640, Om004G134630	AT1G77530.1, AT1G77520.1
OG0000224	Om005G225780	AT1G63140.4
OG0000225	Om007G289790	AT1G29510.1, AT1G29440.1, AT5G27780.1, AT1G29430.1, AT1G29420.2
OG0000225	Om007G289810	AT1G29500.1
OG0000226	Om003G097060	AT1G02770.1
OG0000226	Om003G089750	AT1G23950.2, AT1G23970.2, AT1G23960.1, AT1G27860.1, AT1G28500.1
OG0000228	Om005G207040	AT1G70890.1
OG0000229	Om001G026580	AT1G48180.1, AT1G51670.1
OG0000231	Om006G259610	AT5G38690.1
OG0000232	Om004G153390, Om018G374050, Om002G054380	AT3G11080.1, AT5G27060.2, AT3G11010.2
OG0000234	Om006G252380	AT3G55110.1
OG0000234	Om006G252400	AT3G55100.1
OG0000234	Om006G252410	AT3G55090.1
OG0000234	Om008G332130	AT2G39350.1
OG0000234	Om004G161230	AT5G13580.1
OG0000235	Om002G062850, Om002G062830	AT2G14710.1, AT3G16580.1
OG0000236	Om002G070320	AT3G22085.1
OG0000236	Om006G242750	AT1G69650.1
OG0000237	Om008G343820, Om007G307970, Om005G218340	AT1G42190.1
OG0000242	Om002G081640	AT2G15350.1, AT2G15370.1, AT2G15360.1
OG0000242	Om005G193910	AT1G14080.1
OG0000242	Om005G194120	AT1G14110.1
OG0000244	Om001G008070	AT4G21860.1
OG0000244	Om008G354340	AT4G04800.1
OG0000244	Om008G354370	AT4G04840.1
OG0000244	Om001G008060	AT4G21850.1
OG0000244	Om008G354350, Om003G110630	AT4G04830.1
OG0000247	Om002G054440, Om002G054450, Om002G054460	AT1G66100.1
OG0000248	Om008G353070	AT4G12370.1
OG0000248	Om011G365210, Om020G374470	AT1G57790.1
OG0000248	Om003G119420	AT3G56470.1
OG0000249	Om008G336610	AT2G36750.1
OG0000249	Om008G336590, Om008G336600	AT2G36790.1, AT2G36800.1
OG0000249	Om008G336640	AT2G36760.1
OG0000249	Om006G255030	AT3G53160.1
OG0000250	Om005G208240, Om005G208260, Om005G208250	AT1G70120.1
OG0000251	Om006G266370, Om005G218220	AT3G30525.1
OG0000252	Om008G334420, Om008G334430, Om003G122070, Om004G175220	AT5G03000.1, AT3G46050.1, AT5G02980.1, AT5G02995.1, AT5G03020.1, AT5G03010.1, AT5G02990.1
OG0000253	Om004G150660	AT2G12880.1
OG0000254	Om002G064970	AT3G18150.1
OG0000256	Om008G329780	AT4G04090.1
OG0000256	Om008G331560, Om008G331580, Om008G331570, Om008G331550	AT5G48510.1, AT2G05330.1
OG0000256	Om008G329670	AT2G40450.1
OG0000257	Om001G002940	AT1G51240.1, AT1G51250.1, AT1G51230.1
OG0000257	Om006G235420	AT1G09245.1
OG0000257	Om002G053540	AT3G10455.1
OG0000258	Om008G334140	AT3G26300.1, AT3G26310.1
OG0000258	Om008G327620, Om006G251330	AT2G02580.1
OG0000258	Om006G272550	AT3G26330.1, AT3G26320.1
OG0000260	Om003G091520, Om008G322390	AT4G13130.1
OG0000260	Om004G173960	AT1G66440.1, AT1G66450.2, AT1G29180.1
OG0000264	Om008G355250	AT4G05230.1
OG0000264	Om004G160560, Om004G160570, Om004G160550	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1
OG0000265	Om007G304710, Om007G298190	AT5G19270.1
OG0000267	Om004G134370, Om005G189100, Om002G050140	AT2G29600.1, AT2G29800.1, AT2G29810.1, AT2G29830.1, AT2G29820.1, AT2G29860.1, AT2G29780.1, AT2G29770.1
OG0000268	Om006G274870	AT2G02040.1
OG0000268	Om008G334210	AT1G62200.3
OG0000268	Om004G176390	AT5G01180.1
OG0000268	Om006G253920	AT3G54140.1
OG0000273	Om001G031160, Om001G031140	AT5G51470.1
OG0000274	Om006G245790	AT5G59720.1
OG0000274	Om008G354900	AT3G46230.1, AT1G53540.1
OG0000274	Om007G282440	AT2G29500.1
OG0000276	Om008G337850	AT4G13310.1, AT4G13290.1
OG0000276	Om001G005630	AT5G42590.1
OG0000276	Om001G005730	AT4G20235.1
OG0000277	Om003G101280	AT4G15680.1
OG0000278	Om005G206870	AT4G08730.1
OG0000281	Om003G097620	AT1G49990.1
OG0000281	Om003G121390, Om003G121360, Om003G121670	AT4G22430.1
OG0000281	Om007G317550, Om003G121350, Om003G121370, Om001G006530, Om007G317580, Om007G317540, Om001G006540	AT3G26010.1
OG0000282	Om004G168700	AT5G07540.1
OG0000282	Om004G168720	AT5G07530.1
OG0000282	Om004G168690	AT5G07550.1
OG0000282	Om004G168680	AT5G07560.1, AT5G07571.1
OG0000283	Om007G278120, Om007G278110, Om007G278160, Om007G278100, Om007G278130	AT5G43370.1, AT5G43350.1
OG0000284	Om007G294370, Om002G074370, Om003G113380	AT5G26630.1
OG0000284	Om008G355920, Om008G362090, Om006G261130, Om008G355220, Om008G362100	AT5G48670.1
OG0000285	Om009G363400	AT2G07505.1, AT2G06265.1
OG0000288	Om004G133570, Om004G133540, Om004G133530, Om004G133860, Om004G133800, Om004G133790, Om004G133550, Om004G133520, Om004G133810, Om004G133560, Om004G134190, Om002G050850, Om002G050600	AT2G03460.1
OG0000290	Om002G065710	AT3G18650.1
OG0000290	Om005G197460, Om006G231890, Om006G251270, Om006G250320	AT4G02235.1, AT4G11250.1, AT5G65330.1
OG0000294	Om002G064000	AT3G17390.1
OG0000294	Om004G159000	AT4G01850.1
OG0000294	Om005G179320	AT1G02500.1
OG0000297	Om005G212040, Om001G036360, Om001G036390	AT4G36590.1
OG0000297	Om006G242900, Om006G244950	AT5G60440.1
OG0000299	Om004G171990, Om004G172000	AT3G44970.1
OG0000299	Om001G011700	AT1G78490.1
OG0000300	Om001G025280	AT2G05380.3
OG0000300	Om001G025290	AT2G05530.1, AT2G05520.1
OG0000300	Om008G353600	AT2G05440.2, AT2G05510.1
OG0000301	Om006G257000, Om018G373790, Om003G123180, Om008G342680, Om001G016630, Om008G353760, Om001G019630, Om003G108890	AT5G15690.1, AT4G04775.1
OG0000303	Om007G284150	AT2G20625.2
OG0000304	Om008G357260	AT2G26030.4
OG0000308	Om007G302390	AT5G48770.1
OG0000308	Om005G198900	AT1G17600.1
OG0000310	Om006G246480, Om006G245880	AT1G35850.1, AT5G59280.1
OG0000310	Om006G245320, Om003G096540	AT5G60180.1, AT5G60110.1
OG0000311	Om007G298120	AT5G16570.1
OG0000311	Om003G099520	AT1G48470.1
OG0000311	Om002G064550	AT3G17820.1
OG0000311	Om005G213850	AT1G66200.3
OG0000313	Om001G005460	AT3G29190.1, AT4G20200.1, AT4G20230.2, AT1G66020.1
OG0000313	Om003G099080	AT1G48800.1
OG0000314	Om005G181880	AT1G04750.1
OG0000314	Om005G181890	AT1G04760.1
OG0000314	Om005G210380	AT2G33110.1
OG0000316	Om008G335620	AT2G40560.1, AT2G40500.1
OG0000319	Om005G185820, Om006G245010	AT1G07940.1, AT1G07920.1, AT1G07930.1, AT5G60390.1
OG0000320	Om007G304720, Om007G305380	AT5G39775.1
OG0000321	Om003G119980	AT5G37400.2, AT5G37650.1
OG0000321	Om008G337250, Om004G152510, Om004G166140, Om008G337290, Om008G337300, Om008G337280, Om008G337270	AT4G09440.1, AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1, AT5G37470.2, AT5G37460.1
OG0000322	Om004G133260	AT1G78400.1
OG0000322	Om005G198270	AT1G17150.1
OG0000322	Om008G333060, Om008G330110, Om008G330430	AT2G26620.1, AT2G15470.1, AT2G15450.1, AT2G15460.1, AT4G13760.1, AT2G40310.1, AT1G43100.1, AT1G43090.1, AT1G43080.1
OG0000323	Om003G115780	AT5G54145.1
OG0000323	Om001G021170	AT4G27657.1
OG0000324	Om001G037650, Om006G272040, Om002G069780, Om002G069760, Om001G037660, Om002G069770, Om006G272050, Om007G292940	AT2G06565.1, AT5G30520.1
OG0000327	Om006G253100, Om006G251140, Om006G251150, Om006G253090	AT3G28550.1, AT3G54580.1, AT3G54590.3
OG0000328	Om003G102580	AT4G14630.1
OG0000330	Om003G124190	AT3G59460.1
OG0000330	Om003G124480, Om003G124500	AT1G06630.1, AT3G60040.3
OG0000332	Om003G097540	AT4G14960.2, AT1G04820.1, AT1G50010.1
OG0000334	Om006G254200	AT3G53810.1
OG0000334	Om008G335090	AT2G37710.1
OG0000335	Om002G054740	AT3G11350.1, AT3G11380.1
OG0000336	Om004G142050	AT1G72920.1, AT1G72930.1
OG0000336	Om005G198950	AT1G17615.1
OG0000336	Om004G142080, Om004G142060	AT1G72890.2
OG0000338	Om011G365530, Om005G217920	AT1G57660.1, AT1G57860.1
OG0000339	Om001G010480	AT1G01620.1, AT4G23400.1
OG0000340	Om008G325090	AT2G43510.1
OG0000344	Om006G240680	AT5G26000.1, AT5G25980.2, AT5G48375.1
OG0000345	Om005G196900	AT1G12672.2
OG0000345	Om005G192140	AT1G12665.1
OG0000347	Om006G248330, Om006G248350, Om002G055420	AT2G15660.1, AT2G40210.1, AT2G26880.1
OG0000349	Om001G035120	AT4G35733.1
OG0000349	Om008G361710	AT1G65760.1, AT1G65740.1, AT1G65770.1
OG0000349	Om001G035100	AT2G26160.1, AT3G25750.2, AT1G44080.1
OG0000350	Om007G290180	AT1G29740.1
OG0000350	Om007G290160	AT1G29730.2
OG0000351	Om002G059500	AT3G29410.1
OG0000352	Om005G197930, Om008G334130	AT1G16930.1
