	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
'7	25	75	52	43	44	31	59	593	87	76	349	49	35	32	54	106	47	69	70	42	46	49	152
'8	21	33	39	36	54	30	36	398	61	56	187	31	17	19	34	72	35	31	54	27	31	41	95
'9	13	32	34	23	32	19	32	218	35	51	157	25	15	12	31	46	33	25	32	13	28	31	72
'10	10	28	17	30	16	14	14	178	32	25	87	20	6	10	15	43	21	24	30	12	15	23	31
11-15	21	79	80	64	69	35	57	347	72	82	226	36	24	31	46	103	72	61	64	22	39	53	106
16-20	9	43	41	23	25	7	26	120	20	32	94	20	8	9	24	50	37	24	26	19	21	23	47
21-50	22	49	40	17	31	9	32	155	73	53	162	9	6	3	19	122	66	13	37	35	29	26	63
51-100	9	2	3	3	2	0	15	44	12	5	29	0	2	0	2	64	14	0	2	8	2	6	12
101-150	1	0	2	0	0	0	1	12	2	2	3	0	0	0	0	18	7	0	1	4	0	4	0
151-200	1	0	0	0	0	0	1	7	0	0	0	0	0	0	0	10	1	0	1	0	0	0	0
201-500	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	53.8	49.3	44.7	45.3	43.6	46.8	49.1	38.1	42.6	44.7	42.9	49.0	50.1	50.8	47.2	47.5	49.7	47.1	49.3	50.2	48.3	49.2	44.9
'1	38.0	37.1	42.4	42.8	43.1	43.0	38.4	8.9	29.8	29.0	4.9	41.2	40.2	39.6	41.1	34.5	39.6	40.2	38.2	40.6	39.8	39.6	23.2
'2	6.3	8.9	8.7	8.3	9.1	7.5	8.5	22.6	16.8	16.2	8.1	7.1	7.1	7.4	8.1	11.3	7.3	8.8	8.3	6.9	8.3	7.6	16.4
'3	0.9	2.1	2.0	1.7	2.1	1.4	2.0	6.2	6.4	6.0	30.9	1.3	1.5	1.2	1.7	2.9	1.4	1.9	2.0	1.1	1.9	1.8	8.0
'4	0.3	0.9	0.8	0.7	0.7	0.5	0.7	11.2	2.0	1.8	3.8	0.6	0.5	0.4	0.7	1.2	0.6	0.7	0.8	0.4	0.6	0.6	3.7
'5	0.1	0.5	0.4	0.3	0.4	0.2	0.4	3.9	0.9	0.9	2.3	0.2	0.2	0.2	0.3	0.6	0.3	0.4	0.4	0.2	0.4	0.3	1.5
'6	0.1	0.2	0.3	0.2	0.2	0.2	0.3	3.7	0.5	0.4	3.6	0.2	0.1	0.1	0.2	0.3	0.2	0.2	0.3	0.1	0.1	0.2	0.8
'7	0.1	0.2	0.1	0.1	0.1	0.1	0.2	1.6	0.2	0.2	0.9	0.1	0.1	0.1	0.1	0.3	0.1	0.2	0.2	0.1	0.1	0.1	0.4
'8	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1.0	0.2	0.1	0.5	0.1	0.0	0.0	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.2
'9	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.6	0.1	0.1	0.4	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.2
'10	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.5	0.1	0.1	0.2	0.1	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.1
11-15	0.1	0.2	0.2	0.2	0.2	0.1	0.1	0.9	0.2	0.2	0.6	0.1	0.1	0.1	0.1	0.3	0.2	0.2	0.2	0.1	0.1	0.1	0.3
16-20	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.3	0.1	0.1	0.2	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1
21-50	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.4	0.2	0.1	0.4	0.0	0.0	0.0	0.0	0.3	0.2	0.0	0.1	0.1	0.1	0.1	0.2
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	14482	14152	16158	16321	16416	16401	14636	3383	11357	11066	1870	15710	15323	15099	15670	13168	15092	15312	14552	15464	15186	15085	8852
'2	4822	6808	6604	6322	6968	5694	6496	17238	12796	12350	6168	5416	5442	5652	6210	8578	5558	6730	6300	5284	6340	5826	12480
'3	1044	2451	2313	1947	2412	1575	2250	7146	7278	6855	35382	1443	1713	1365	1989	3372	1647	2211	2283	1281	2133	2004	9138
'4	476	1360	1204	1084	1132	824	1056	17076	3028	2684	5832	840	704	616	1076	1848	896	1096	1168	616	964	956	5680
'5	285	920	775	555	680	380	690	7375	1755	1620	4405	460	335	370	615	1090	630	755	745	335	680	600	2870
'6	252	570	606	504	528	414	594	8436	1074	978	8244	402	228	264	348	708	426	540	624	306	336	444	1782
'7	175	525	364	301	308	217	413	4151	609	532	2443	343	245	224	378	742	329	483	490	294	322	343	1064
'8	168	264	312	288	432	240	288	3184	488	448	1496	248	136	152	272	576	280	248	432	216	248	328	760
'9	117	288	306	207	288	171	288	1962	315	459	1413	225	135	108	279	414	297	225	288	117	252	279	648
'10	100	280	170	300	160	140	140	1780	320	250	870	200	60	100	150	430	210	240	300	120	150	230	310
11-15	261	993	1008	797	869	433	735	4316	922	1035	2819	456	298	392	582	1296	923	750	815	271	504	655	1336
16-20	160	765	725	406	430	113	440	2123	365	569	1669	358	148	157	430	893	664	435	454	345	375	404	825
21-50	695	1449	1092	517	888	221	998	4811	2298	1554	4695	204	154	100	540	3852	2065	365	1171	1108	836	773	1867
51-100	597	133	213	178	119	0	1180	2946	821	299	1881	0	138	0	121	4731	938	0	138	530	178	397	765
101-150	114	0	215	0	0	0	124	1393	224	247	360	0	0	0	0	2245	907	0	113	503	0	458	0
151-200	193	0	0	0	0	0	170	1149	0	0	0	0	0	0	0	1734	176	0	177	0	0	0	0
201-500	424	0	0	0	0	0	612	0	0	0	0	0	0	0	0	3187	940	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	690	0	0	0	527	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1216	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	57.1	44.0	47.6	54.7	49.4	59.3	42.8	3.7	25.6	26.7	2.3	59.5	60.5	60.8	53.2	24.2	43.4	50.4	44.1	57.4	50.0	50.4	17.8
'2	19.0	21.2	19.5	21.2	21.0	20.6	19.0	19.0	28.8	29.8	7.5	20.5	21.5	22.8	21.1	15.8	16.0	22.1	19.1	19.6	20.9	19.5	25.0
'3	4.1	7.6	6.8	6.5	7.3	5.7	6.6	7.9	16.4	16.6	42.9	5.5	6.8	5.5	6.8	6.2	4.7	7.3	6.9	4.8	7.0	6.7	18.3
'4	1.9	4.2	3.5	3.6	3.4	3.0	3.1	18.8	6.8	6.5	7.1	3.2	2.8	2.5	3.7	3.4	2.6	3.6	3.5	2.3	3.2	3.2	11.4
'5	1.1	2.9	2.3	1.9	2.0	1.4	2.0	8.1	4.0	3.9	5.3	1.7	1.3	1.5	2.1	2.0	1.8	2.5	2.3	1.2	2.2	2.0	5.8
'6	1.0	1.8	1.8	1.7	1.6	1.5	1.7	9.3	2.4	2.4	10.0	1.5	0.9	1.1	1.2	1.3	1.2	1.8	1.9	1.1	1.1	1.5	3.6
'7	0.7	1.6	1.1	1.0	0.9	0.8	1.2	4.6	1.4	1.3	3.0	1.3	1.0	0.9	1.3	1.4	0.9	1.6	1.5	1.1	1.1	1.1	2.1
'8	0.7	0.8	0.9	1.0	1.3	0.9	0.8	3.5	1.1	1.1	1.8	0.9	0.5	0.6	0.9	1.1	0.8	0.8	1.3	0.8	0.8	1.1	1.5
'9	0.5	0.9	0.9	0.7	0.9	0.6	0.8	2.2	0.7	1.1	1.7	0.9	0.5	0.4	0.9	0.8	0.9	0.7	0.9	0.4	0.8	0.9	1.3
'10	0.4	0.9	0.5	1.0	0.5	0.5	0.4	2.0	0.7	0.6	1.1	0.8	0.2	0.4	0.5	0.8	0.6	0.8	0.9	0.4	0.5	0.8	0.6
11-15	1.0	3.1	3.0	2.7	2.6	1.6	2.1	4.7	2.1	2.5	3.4	1.7	1.2	1.6	2.0	2.4	2.7	2.5	2.5	1.0	1.7	2.2	2.7
16-20	0.6	2.4	2.1	1.4	1.3	0.4	1.3	2.3	0.8	1.4	2.0	1.4	0.6	0.6	1.5	1.6	1.9	1.4	1.4	1.3	1.2	1.3	1.7
21-50	2.7	4.5	3.2	1.7	2.7	0.8	2.9	5.3	5.2	3.8	5.7	0.8	0.6	0.4	1.8	7.1	5.9	1.2	3.5	4.1	2.8	2.6	3.7
51-100	2.4	0.4	0.6	0.6	0.4	0.0	3.4	3.2	1.8	0.7	2.3	0.0	0.5	0.0	0.4	8.7	2.7	0.0	0.4	2.0	0.6	1.3	1.5
101-150	0.4	0.0	0.6	0.0	0.0	0.0	0.4	1.5	0.5	0.6	0.4	0.0	0.0	0.0	0.0	4.1	2.6	0.0	0.3	1.9	0.0	1.5	0.0
151-200	0.8	0.0	0.0	0.0	0.0	0.0	0.5	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.5	0.0	0.5	0.0	0.0	0.0	0.0
201-500	1.7	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9	2.7	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	2.0	0.0	0.0	0.0	1.7	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
