Orthogroup	Eutrema_salsugineum	Noccaea_praecox
OG0000006	XP_024007990.1, XP_024006104.1, XP_024004744.1, XP_024013221.1, XP_024016233.1, XP_024015025.1, XP_024013606.1, XP_024004172.1, XP_024004112.1, XP_024005863.1, XP_024004241.1, XP_024009670.1, XP_024010456.1, XP_024011309.1, XP_024009204.1, XP_024014376.1, XP_024007289.1, XP_024006867.1, XP_024006428.1, XP_024014517.1, XP_024016334.1, XP_024006841.1, XP_024006492.1, XP_024006274.1, XP_024008018.1, XP_024010318.1, XP_024013856.1, XP_024014636.1, XP_024004058.1, XP_024010431.1, XP_024010848.1, XP_024004788.1, XP_024012279.1, XP_024004851.1, XP_024009378.1, XP_024009383.1	Np005G313160
OG0000008	XP_024007971.1	Np002G096480
OG0000008	XP_024010377.1, XP_024010217.1, XP_024013173.1	Np001G053530
OG0000010	XP_024015955.1	Np002G095240
OG0000010	XP_024006470.1	Np004G221660
OG0000011	XP_024009191.1, XP_024007975.1, XP_024004037.1, XP_024013982.1, XP_024016238.1, XP_024014463.1, XP_024004034.1, XP_024014215.1	Np001G009230, Np006G351190
OG0000011	XP_024004156.1, XP_024009442.1, XP_024005001.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024006105.1, XP_024006278.1, XP_024007953.1, XP_024015281.1, XP_024006611.1, XP_024011358.1, XP_024016363.1, XP_024004052.1	Np003G163940
OG0000011	XP_024013555.1, XP_024014250.1, XP_024004056.1, XP_024015282.1, XP_024005228.1, XP_024013668.1, XP_024011270.1, XP_024011250.1, XP_024016577.1, XP_024006682.1, XP_024010432.1, XP_024013382.1, XP_024016101.1, XP_024008037.1, XP_024016298.1, XP_024004043.1, XP_024006510.1, XP_024013925.1	Np003G127440, Np003G182970
OG0000011	XP_024013917.1, XP_024008814.1, XP_024007930.1, XP_024006802.1, XP_024014194.1, XP_024013859.1, XP_024013409.1, XP_024006835.1, XP_024005940.1, XP_024006093.1, XP_024004410.1, XP_024009931.1, XP_024006552.1	Np002G079770, Np008G427680
OG0000012	XP_024016167.1	Np006G343630, Np002G100520
OG0000012	XP_024013199.1	Np006G352650, Np007G403470, Np005G318540, Np002G106560
OG0000012	XP_024007961.1, XP_024014546.1, XP_024010549.1, XP_024015958.1	Np003G171230
OG0000012	XP_024009473.1	Np002G117990
OG0000012	XP_024004033.1	Np002G100750, Np002G095110, Np002G111240, Np002G106990
OG0000012	XP_024016113.1	Np002G110330
OG0000012	XP_024013159.1, XP_024015863.1, XP_024015862.1, XP_024010078.1, XP_024016374.1	Np006G341500
OG0000013	XP_024013108.1, XP_024013090.1	Np005G297160
OG0000013	XP_024010313.1	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160
OG0000013	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1	Np002G102600, Np003G173130
OG0000014	XP_024004756.1, XP_024008105.1, XP_024004927.1, XP_024004144.1, XP_024009440.1, XP_024016292.1, XP_024004802.1, XP_024006141.1, XP_024010303.1, XP_024004054.1, XP_024011308.1, XP_024007677.1, XP_024016530.1, XP_024006432.1, XP_024013961.1, XP_024006397.1	Np001G042570, Np002G073300
OG0000014	XP_024013371.1, XP_024016228.1	Np004G227310
OG0000015	XP_024006904.1	Np005G274380
OG0000015	XP_024009420.1	Np008G427030
OG0000015	XP_024014590.1	Np007G416100
OG0000015	XP_024006143.1	Np001G029500
OG0000017	XP_024010923.1, XP_024015878.1, XP_024016723.1, XP_024004986.1, XP_024014812.1, XP_024016106.1, XP_024006565.1, XP_024011333.1, XP_024013063.1, XP_024010757.1, XP_024015902.1, XP_024006617.1, XP_024007259.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024006547.1, XP_024014443.1, XP_024010319.1, XP_024013043.1, XP_024013948.1, XP_024010782.1, XP_024013965.1, XP_006405034.2, XP_024013964.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013056.1, XP_024014425.1, XP_024009794.1, XP_024013930.1	Np003G166290
OG0000017	XP_024010776.1, XP_024011342.1, XP_024013985.1, XP_024014689.1, XP_024014221.1	Np003G171300
OG0000019	XP_024003642.1	Np003G156030, Np004G211950
OG0000019	XP_024016548.1, XP_024004876.1, XP_024003759.1	Np001G027630
OG0000019	XP_024010115.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024014025.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1, XP_024016207.1, XP_024004800.1, XP_024016569.1	Np003G166760, Np002G106220
OG0000019	XP_024004844.1, XP_024004832.1, XP_024012731.1	Np007G405080, Np001G027610
OG0000020	XP_024005014.1	Np008G428370
OG0000020	XP_024007954.1	Np004G226750
OG0000021	XP_024006573.1, XP_024005010.1, XP_024015179.1, XP_024016553.1	Np005G303890
OG0000021	XP_024004985.1	Np004G199130
OG0000021	XP_024009427.1, XP_024004072.1, XP_024006452.1, XP_024010290.1, XP_024004813.1, XP_024004020.1	Np004G199140
OG0000021	XP_024013347.1	Np007G402490, Np003G147560
OG0000023	XP_024009837.1	Np003G180610
OG0000023	XP_006413557.1	Np005G283730
OG0000023	XP_006396897.2	Np003G180640
OG0000023	XP_006413569.1	Np005G284120
OG0000023	XP_006413573.1	Np005G284070
OG0000024	XP_024009296.1	Np003G178520, Np008G426040, Np002G105750, Np001G043400, Np004G229320, Np006G346780, Np002G096560, Np007G405450, Np009G429280
OG0000025	XP_006411607.2	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360
OG0000026	XP_024014744.1	Np002G101380, Np004G216210
OG0000026	XP_024010323.1, XP_024014398.1, XP_024011260.1, XP_024004142.1, XP_024015028.1, XP_024004413.1, XP_024014390.1, XP_024013392.1, XP_024010763.1, XP_024011323.1, XP_024014480.1, XP_024015953.1, XP_024012916.1, XP_024004954.1, XP_024006403.1, XP_024014257.1, XP_024015865.1, XP_024014090.1, XP_024009163.1, XP_024010651.1, XP_024014222.1, XP_024014393.1, XP_024004761.1, XP_024010439.1, XP_024014962.1, XP_024012918.1, XP_024007297.1, XP_024015864.1, XP_024006404.1, XP_024014500.1, XP_024004987.1, XP_024010657.1	Np003G172690
OG0000027	XP_006393240.1, XP_006393242.1, XP_006393293.1, XP_006393290.1, XP_006393291.1, XP_006393292.2	Np004G198060
OG0000027	XP_006393224.2	Np004G198040
OG0000027	XP_006402766.1	Np001G057950, Np001G057940
OG0000028	XP_024004858.1	Np003G168060, Np003G175100
OG0000028	XP_024016120.1	Np002G106380
OG0000028	XP_024004754.1, XP_024004102.1, XP_024007219.1	Np003G170790, Np003G189760, Np004G207130
OG0000028	XP_024013800.1, XP_024012069.1	Np006G356860
OG0000029	XP_024007307.1	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900
OG0000029	XP_024010526.1	Np002G090000
OG0000029	XP_024004951.1	Np001G058950, Np007G394270
OG0000029	XP_024008063.1, XP_024010678.1	Np003G168210, Np003G168320
OG0000029	XP_024005553.1	Np003G172510
OG0000030	XP_024009659.1	Np004G229860
OG0000030	XP_024009944.1	Np003G173700
OG0000030	XP_024011303.1, XP_024016200.1	Np002G096310
OG0000031	XP_006417237.2, XP_006417216.1, XP_006417205.1, XP_006417199.1, XP_006418847.2, XP_006406159.2	Np004G244900
OG0000031	XP_024014798.1	Np005G318980
OG0000033	XP_024010975.1	Np005G284050
OG0000033	XP_006413571.1	Np005G284060
OG0000033	XP_006413574.2	Np005G283960, Np005G284080
OG0000033	XP_006413566.2	Np005G283820
OG0000033	XP_024004626.1	Np005G284140
OG0000033	XP_006413576.1	Np005G284160
OG0000034	XP_024016360.1, XP_024014012.1, XP_024016375.1	Np007G396340
OG0000034	XP_024016361.1	Np002G102640, Np002G107950, Np002G118070, Np005G284230, Np002G100100, Np007G396350, Np004G239130, Np006G359400, Np005G318530, Np006G341510, Np006G345750, Np009G431360
OG0000035	XP_006410338.1, XP_006391498.1, XP_006406621.1, XP_006406579.1, XP_006406533.1, XP_024013597.1, XP_024012909.1	Np005G313520
OG0000036	XP_024013600.1	Np006G342180, Np004G233440, Np005G260660
OG0000036	XP_024012609.1, XP_024009371.1	Np006G350450, Np006G342170, Np003G136960, Np002G107350, Np007G403810
OG0000036	XP_024010368.1, XP_024006792.1, XP_024009971.1, XP_024012295.1, XP_024006803.1, XP_024011140.1, XP_024013156.1	Np006G342300, Np006G342240, Np004G218290, Np007G394200
OG0000037	XP_024006537.1	Np001G045190
OG0000037	XP_024009363.1	Np002G110300, Np005G302190
OG0000038	XP_024008017.1	Np004G226960, Np002G071800
OG0000038	XP_024008946.1, XP_024008016.1	Np001G060270
OG0000038	XP_024013611.1	Np007G415720
OG0000038	XP_024011241.1	Np003G165810
OG0000038	XP_024014404.1	Np005G318000
OG0000039	XP_024009590.1	Np003G169970, Np003G173960, Np005G281640, Np005G291080, Np002G114120, Np002G083010, Np006G358200, Np006G358160, Np003G164590
OG0000039	XP_024004890.1, XP_024013996.1, XP_024013909.1, XP_024010788.1, XP_024010580.1, XP_024013704.1, XP_024013057.1, XP_024014532.1, XP_024014015.1, XP_024006412.1, XP_024009577.1, XP_024014937.1, XP_024009774.1, XP_024011233.1, XP_024014043.1, XP_024006597.1, XP_024006600.1, XP_024013383.1	Np005G289260, Np005G309180, Np003G166870, Np003G169960
OG0000040	XP_024008003.1	Np001G009070
OG0000040	XP_024013353.1	Np007G407000
OG0000042	XP_024006511.1	Np002G085480, Np007G420820
OG0000042	XP_024004874.1, XP_024014479.1, XP_024006081.1, XP_024004163.1, XP_024006069.1	Np001G027800
OG0000042	XP_024013326.1	Np004G191660
OG0000043	XP_024013069.1, XP_024009580.1	Np008G426930
OG0000043	XP_024014519.1	Np002G102430
OG0000044	XP_024006486.1, XP_006401889.2, XP_024009662.1, XP_024011380.1, XP_024013796.1, XP_024010208.1, XP_006389862.1, XP_006403918.2	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510
OG0000044	XP_024015030.1	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	XP_024010150.1, XP_024008086.1, XP_024015905.1, XP_024013201.1	Np006G334530
OG0000045	XP_024013167.1, XP_024012481.1	Np002G098570, Np005G284990
OG0000045	XP_024010455.1, XP_024011373.1, XP_024015844.1, XP_024006123.1, XP_024006531.1, XP_024010635.1, XP_024009411.1, XP_024007913.1	Np007G389140
OG0000046	XP_024014419.1	Np005G314650
OG0000046	XP_024014561.1	Np005G313240
OG0000046	XP_024004758.1	Np005G292150
OG0000046	XP_024014362.1	Np005G313330
OG0000047	XP_024013907.1	Np005G282680
OG0000048	XP_024014979.1	Np007G421470
OG0000048	XP_006400349.1	Np003G145420
OG0000048	XP_006400347.1	Np003G145430
OG0000048	XP_006400348.1	Np003G145400, Np003G145550
OG0000048	XP_006400345.1	Np003G145440, Np003G145490, Np003G145410
OG0000049	XP_024011200.1	Np002G120530
OG0000050	XP_024011367.1, XP_024010366.1, XP_024010144.1, XP_024009344.1, XP_024010551.1, XP_024007910.1, XP_024010927.1, XP_024013032.1	Np002G095340
OG0000050	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010297.1, XP_024010298.1, XP_024008041.1, XP_024009617.1, XP_024010321.1, XP_024009248.1, XP_024010226.1, XP_024004127.1, XP_024010620.1, XP_024011215.1, XP_024016291.1, XP_024013963.1	Np002G094900, Np002G093590, Np001G040200, Np007G402160
OG0000050	XP_024009412.1	Np002G095850
OG0000050	XP_024011371.1, XP_024013346.1	Np002G099150
OG0000052	XP_024009195.1	Np007G384340
OG0000052	XP_024008111.1	Np003G131270, Np003G131300, Np003G131610, Np004G236020
OG0000052	XP_006418389.2	Np004G259320, Np007G384920
OG0000052	XP_006411503.1	Np006G328530, Np006G328520
OG0000052	XP_006392148.1, XP_024013725.1, XP_024013699.1	Np002G116790, Np002G107170, Np002G116330
OG0000052	XP_024004184.1	Np003G173020
OG0000052	XP_024004231.1	Np006G328480
OG0000053	XP_024016529.1, XP_024007942.1, XP_024010231.1, XP_024005865.1	Np002G100500, Np004G233450, Np007G396260
OG0000053	XP_024006276.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024013968.1, XP_024010380.1, XP_024013302.1, XP_024014239.1, XP_024014568.1, XP_024004842.1, XP_024004845.1, XP_024004831.1, XP_024004843.1, XP_024012732.1, XP_024006590.1, XP_024013675.1, XP_024009487.1, XP_024006533.1, XP_024010626.1	Np001G008270, Np001G039230, Np003G166770
OG0000054	XP_006397270.2	Np004G255790, Np005G312070, Np007G389250
OG0000054	XP_006408822.2	Np005G274000, Np001G042780, Np006G332680
OG0000055	XP_006405761.2	Np005G313590
OG0000055	XP_024016818.1	Np002G119400
OG0000055	XP_024015483.1, XP_006391923.1, XP_006391921.1, XP_006391945.1, XP_006390854.1, XP_006391937.1, XP_024015433.1	Np002G119390, Np002G118970, Np002G120090, Np002G120080, Np002G119490, Np002G119430, Np002G119510, Np002G118960, Np002G118940, Np002G119480
OG0000056	XP_024004977.1, XP_024016537.1	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230
OG0000056	XP_024009686.1	Np006G356510, Np003G151080
OG0000056	XP_024009608.1, XP_024014631.1, XP_024004060.1, XP_024006592.1	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660
OG0000056	XP_024014312.1, XP_024012933.1	Np004G212730, Np003G173160, Np006G358710, Np006G344700, Np009G432740, Np001G036840, Np007G404120
OG0000057	XP_024016535.1	Np007G375320
OG0000057	XP_006398121.1, XP_006406735.1	Np007G392240, Np007G392300
OG0000057	XP_006406926.2	Np007G398210, Np010G435080, Np007G401600
OG0000057	XP_024012536.1	Np006G333600, Np006G333860, Np003G187520, Np007G376470
OG0000058	XP_024007981.1, XP_024015913.1	Np003G189490, Np008G428090, Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510
OG0000059	XP_024013223.1	Np008G426920, Np008G426800
OG0000059	XP_024014348.1, XP_024011850.1, XP_024004984.1, XP_024009942.1, XP_024014527.1, XP_024014297.1, XP_024015880.1, XP_024004974.1	Np001G044380
OG0000059	XP_024013471.1, XP_024011406.1, XP_024015967.1, XP_024013050.1, XP_024006528.1, XP_024010162.1, XP_024013151.1	Np006G352350
OG0000059	XP_024014004.1	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750
OG0000059	XP_024005015.1	Np004G202770
OG0000059	XP_024009611.1	Np007G388310
OG0000061	XP_024004223.1, XP_024014389.1	Np004G218870, Np004G219580, Np004G218830, Np007G398820
OG0000062	XP_024014042.1	Np003G173970, Np003G170000
OG0000062	XP_024010130.1, XP_006405230.2	Np004G205130, Np004G215200, Np004G229630
OG0000064	XP_006411683.1	Np005G260880
OG0000064	XP_024010383.1	Np001G036990
OG0000065	XP_024006661.1	Np008G425980, Np003G168940, Np007G400220, Np006G346550, Np009G430200, Np011G436850, Np011G436620, Np001G030910, Np008G425970, Np008G426420, Np011G436540, Np006G346420, Np005G295220, Np006G346530, Np008G428560, Np008G428010
OG0000066	XP_024005720.1, XP_006399597.1, XP_006390289.1, XP_024005718.1	Np005G262320
OG0000066	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1	Np003G136710
OG0000067	XP_006399102.2	Np003G134720, Np001G055610
OG0000068	XP_024016804.1	Np004G208790
OG0000068	XP_024009313.1, XP_006409421.2, XP_024010243.1, XP_024006613.1, XP_024016229.1, XP_024011093.1, XP_024004877.1, XP_024005785.1, XP_024016694.1, XP_024015936.1, XP_024006556.1, XP_024004785.1, XP_024013938.1, XP_024014902.1, XP_024016312.1, XP_024010301.1, XP_024009273.1, XP_006391890.2, XP_024008048.1, XP_024016657.1	Np003G152860, Np004G247010, Np001G023980, Np002G112070, Np007G393050, Np002G095360, Np006G328420, Np002G104000
OG0000069	XP_024015941.1, XP_024009376.1	Np001G024920, Np005G293790
OG0000070	XP_024013809.1, XP_024011334.1	Np002G101130
OG0000070	XP_024014539.1	Np005G293520
OG0000070	XP_024010588.1	Np002G097070, Np006G358640, Np002G099070
OG0000070	XP_024013310.1	Np002G099020, Np002G110630
OG0000070	XP_024016295.1	Np006G350030
OG0000070	XP_024009219.1	Np002G099050
OG0000070	XP_024010546.1	Np007G399950
OG0000071	XP_024004087.1	Np007G394880, Np004G207250, Np006G360210, Np003G130630, Np004G204530
OG0000071	XP_024010849.1, XP_024009972.1	Np006G355640
OG0000071	XP_024005999.1, XP_024004736.1, XP_024012932.1, XP_024013941.1	Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500
OG0000072	XP_024009348.1, XP_024013914.1, XP_024006596.1, XP_024009952.1, XP_024014026.1, XP_024010244.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009380.1, XP_024009792.1, XP_024010384.1, XP_024009711.1	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000074	XP_024008246.1	Np004G230020
OG0000074	XP_024008857.1	Np004G229960
OG0000074	XP_024008030.1	Np004G230010
OG0000074	XP_024008031.1	Np004G230030
OG0000074	XP_006416070.2, XP_024010232.1	Np003G180910, Np003G184200
OG0000075	XP_024015726.1	Np003G136640
OG0000075	XP_024007179.1, XP_024007719.1	Np007G378600
OG0000075	XP_006417013.1, XP_006417028.2	Np004G233640
OG0000076	XP_024007553.1	Np007G423950
OG0000077	XP_024014654.1	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	XP_006396813.1, XP_006396818.1	Np007G386290
OG0000077	XP_024009721.1, XP_024009720.1	Np006G360730
OG0000078	XP_024010281.1, XP_024006501.1, XP_024004952.1, XP_024007906.1, XP_024010478.1, XP_024010375.1, XP_024006421.1	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660
OG0000079	XP_024012746.1, XP_006396702.1	Np001G064190
OG0000079	XP_024015302.1	Np007G422670
OG0000079	XP_024012843.1	Np001G064140
OG0000080	XP_006405882.1	Np006G334220
OG0000080	XP_006400395.1	Np006G321280, Np006G321720, Np003G146070
OG0000080	XP_006413201.2, XP_006413190.1	Np005G278660
OG0000080	XP_006410039.1	Np006G351210
OG0000081	XP_024006818.1, XP_006412742.1	Np001G010770
OG0000081	XP_006393087.2	Np004G196080, Np004G196070
OG0000081	XP_024010362.1	Np003G176780, Np003G176800, Np003G176750
OG0000081	XP_006400362.1	Np003G145640
OG0000082	XP_024009693.1	Np005G274330
OG0000083	XP_024011615.1	Np002G083710
OG0000083	XP_006405511.2	Np007G418940
OG0000084	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1	Np006G364930
OG0000084	XP_006405019.2	Np006G365060, Np006G365040
OG0000085	XP_024011196.1	Np007G397830
OG0000087	XP_006404194.1	Np001G049810
OG0000087	XP_006394642.1	Np001G010980
OG0000087	XP_006410012.1	Np006G350150, Np008G428160
OG0000087	XP_006404432.1, XP_006404433.1	Np001G007020
OG0000087	XP_006399740.1	Np003G139100
OG0000087	XP_006403108.1	Np001G039930
OG0000087	XP_006413842.1	Np005G287110
OG0000087	XP_006390273.1	Np002G077440
OG0000088	XP_006398111.1, XP_006398110.2	Np001G038910, Np001G038970
OG0000088	XP_024011446.1	Np003G148700, Np003G148740
OG0000089	XP_006399464.1	Np003G136030
OG0000089	XP_006407369.1	Np007G409340
OG0000089	XP_006400969.1	Np001G046210
OG0000090	XP_006416426.1	Np004G235330
OG0000090	XP_006390250.1	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	XP_006393304.1	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600
OG0000090	XP_006402629.2	Np007G385680, Np001G065320, Np001G065030
OG0000093	XP_006393541.2, XP_006393537.1	Np001G005730
OG0000093	XP_024006522.1, XP_024006521.1	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400
OG0000093	XP_006405456.2	Np005G317970
OG0000093	XP_024014512.1	Np001G063220
OG0000096	XP_006395720.2, XP_006395727.1, XP_006395717.2	Np001G024770
OG0000096	XP_024004738.1	Np001G038620
OG0000096	XP_006398175.2	Np001G038130
OG0000096	XP_006392390.2	Np002G112600
OG0000097	XP_006417793.2	Np003G184990
OG0000097	XP_006396591.1	Np003G184940
OG0000097	XP_006396592.1	Np003G185010
OG0000098	XP_024004548.1, XP_006391848.1, XP_006392118.1	Np002G116580
OG0000099	XP_006405351.1	Np002G113890, Np002G123650, Np007G403740
OG0000099	XP_006391682.2	Np002G123570, Np004G227550, Np002G123550, Np003G166880, Np003G163580, Np002G123540, Np004G215640
OG0000099	XP_024016396.1	Np002G123530, Np004G215470
OG0000100	XP_024015018.1, XP_024006073.1	Np002G095180, Np002G094180, Np005G319140, Np005G295710, Np007G411780, Np005G290650, Np004G240280, Np008G428390, Np001G045110, Np001G052780, Np005G284190
OG0000100	XP_024013152.1	Np004G233090, Np003G158140
OG0000100	XP_024009270.1	Np001G055900, Np002G095400, Np002G090410, Np006G338280, Np002G087790, Np005G308750, Np006G327840, Np004G233160, Np006G345130
OG0000101	XP_024014029.1	Np002G122780, Np002G122800
OG0000104	XP_024003699.1, XP_024003754.1	Np006G360060
OG0000104	XP_024006051.1	Np004G195160
OG0000104	XP_006406282.1	Np007G381330
OG0000104	XP_024006272.1	Np004G195150
OG0000104	XP_006392987.1	Np004G195140
OG0000104	XP_024003751.1, XP_006409933.2	Np006G360090
OG0000106	XP_024014982.1, XP_006408882.1	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330
OG0000108	XP_006394690.1, XP_006404383.1, XP_006414046.1	Np001G011650, Np001G011550
OG0000108	XP_006395726.1	Np004G259470
OG0000109	XP_024014096.1	Np003G183100, Np004G217760
OG0000110	XP_006402710.1	Np001G064490
OG0000110	XP_006402712.2	Np001G064470
OG0000110	XP_024009571.1	Np001G064520
OG0000110	XP_006402715.1	Np001G064450
OG0000110	XP_024012970.1	Np001G064540
OG0000111	XP_024014705.1, XP_024014617.1, XP_006405755.2, XP_024014786.1, XP_024014405.1, XP_006405613.2, XP_006405611.2	Np005G311780, Np005G313710, Np005G313720, Np005G313730
OG0000111	XP_024014624.1	Np005G313680
OG0000111	XP_024010064.1	Np001G006010
OG0000111	XP_024014706.1, XP_024014454.1, XP_024014448.1, XP_006405758.2, XP_024014449.1	Np006G327310, Np005G313700, Np005G313670, Np005G313690
OG0000111	XP_006394280.1	Np001G006000
OG0000111	XP_006403516.1	Np001G058370
OG0000111	XP_006401328.1	Np003G157750
OG0000112	XP_024006376.1, XP_024016087.1, XP_024011276.1, XP_024011279.1, XP_024011277.1, XP_024012457.1, XP_024012107.1	Np003G184320
OG0000118	XP_006409738.2, XP_006409739.1, XP_006409778.1, XP_006391257.1	Np001G044480, Np005G313880
OG0000119	XP_024009367.1, XP_024013619.1, XP_024011132.1, XP_024006493.1, XP_024009468.1, XP_024004480.1, XP_024014964.1, XP_024006536.1, XP_024011208.1, XP_024007918.1	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260
OG0000119	XP_024013153.1	Np004G207330, Np002G099820, Np005G299250, Np003G165980, Np004G231120, Np005G282950, Np004G230600, Np003G169670, Np003G176970
OG0000119	XP_024010311.1, XP_024010843.1, XP_024009910.1, XP_024004523.1	Np002G102980
OG0000120	XP_006392103.1, XP_006392097.1	Np002G117060, Np002G116940
