Orthogroup	Eutrema_salsugineum	Odontarrhena_muralis
OG0000017	XP_024010923.1, XP_024015878.1, XP_024016723.1, XP_024004986.1, XP_024014812.1, XP_024016106.1, XP_024006565.1, XP_024011333.1, XP_024013063.1, XP_024010757.1, XP_024015902.1, XP_024006617.1, XP_024007259.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024006547.1, XP_024014443.1, XP_024010319.1, XP_024013043.1, XP_024013948.1, XP_024010782.1, XP_024013965.1, XP_006405034.2, XP_024013964.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013056.1, XP_024014425.1, XP_024009794.1, XP_024013930.1	Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900
OG0000017	XP_024010776.1, XP_024011342.1, XP_024013985.1, XP_024014689.1, XP_024014221.1	Om003G101880, Om004G153720
OG0000018	XP_024013384.1, XP_024006639.1, XP_024008232.1	Om008G335480, Om007G284460, Om008G361630
OG0000019	XP_024003642.1	Om005G222770
OG0000020	XP_024005014.1	Om007G307160, Om010G364780, Om008G361310, Om002G078780
OG0000020	XP_024004841.1	Om007G309390
OG0000021	XP_024006573.1, XP_024005010.1, XP_024015179.1, XP_024016553.1	Om005G226540, Om001G020790
OG0000021	XP_024004423.1	Om008G331340
OG0000021	XP_024004072.1	Om002G057270
OG0000021	XP_024009969.1, XP_024013347.1, XP_024015937.1	Om001G020780, Om001G006810, Om002G059070
OG0000023	XP_006413565.1	Om001G010400
OG0000023	XP_024009837.1, XP_006413557.1, XP_024013896.1	Om001G010360, Om001G009290
OG0000023	XP_006396896.1	Om008G351580
OG0000023	XP_006396890.1	Om008G351620, Om008G351630
OG0000023	XP_006413569.1	Om001G010200
OG0000023	XP_024004623.1	Om001G010250
OG0000023	XP_006413573.1	Om001G011570
OG0000024	XP_024014024.1	Om010G364470, Om004G152890
OG0000024	XP_024007317.1, XP_024007285.1, XP_024006550.1, XP_024006645.1, XP_024013191.1	Om005G222510, Om006G264560, Om007G307780, Om002G075540, Om006G244060, Om005G218640, Om003G113030, Om004G148120, Om007G304370, Om007G308040, Om004G155450, Om002G078360, Om007G308800, Om007G309530, Om004G152880, Om007G309380, Om005G222500, Om010G364430
OG0000026	XP_024010439.1	Om002G080990
OG0000027	XP_006415341.2, XP_024007951.1, XP_006415394.1	Om002G070390, Om005G224020
OG0000028	XP_024006637.1	Om001G022770
OG0000028	XP_024004858.1	Om007G314890
OG0000028	XP_024009126.1	Om003G104120
OG0000028	XP_024016311.1	Om007G318240
OG0000028	XP_024013800.1, XP_024012069.1	Om007G308810, Om003G104130
OG0000029	XP_024007307.1	Om006G261190, Om008G343780
OG0000029	XP_024005553.1	Om007G298330
OG0000030	XP_024009659.1	Om004G153710
OG0000030	XP_024009281.1	Om001G018460, Om005G215420, Om004G165210, Om008G355010, Om001G015000, Om006G265800
OG0000031	XP_006417216.1, XP_006417205.1, XP_006417199.1	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850
OG0000031	XP_006400202.2	Om006G252510
OG0000031	XP_024014798.1	Om007G317990
OG0000031	XP_024015415.1	Om002G063040
OG0000031	XP_006413138.1	Om001G018890
OG0000032	XP_024014421.1	Om008G348910
OG0000033	XP_024010975.1, XP_006413571.1	Om001G010240
OG0000033	XP_006413574.2	Om001G011550
OG0000033	XP_024005104.1	Om001G007120
OG0000033	XP_006413576.1	Om001G010110
OG0000034	XP_024016360.1, XP_024014012.1, XP_024016375.1	Om003G107450
OG0000034	XP_024005459.1	Om008G350440, Om004G148920
OG0000034	XP_024004424.1	Om006G267380
OG0000034	XP_024005008.1	Om007G303110, Om003G111210, Om003G106810, Om001G013580, Om001G019560
OG0000034	XP_024004803.1	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190
OG0000034	XP_024016361.1	Om002G079430, Om003G110790
OG0000035	XP_024006078.1	Om006G273920, Om002G042810
OG0000035	XP_006410338.1, XP_006391498.1, XP_006406621.1, XP_006406579.1	Om004G132400, Om008G334460, Om007G279790
OG0000036	XP_024013600.1	Om007G312960
OG0000037	XP_024006537.1	Om001G018180
OG0000037	XP_024009363.1	Om005G188070
OG0000038	XP_024008017.1, XP_024008946.1, XP_024008016.1	Om005G196570, Om004G131590
OG0000038	XP_024013595.1, XP_024013611.1	Om006G262290
OG0000038	XP_024011148.1, XP_006403112.2	Om008G356970
OG0000038	XP_006412465.2	Om001G029210
OG0000038	XP_024015270.1	Om002G053860, Om001G005520
OG0000039	XP_024009590.1, XP_024004890.1, XP_024013996.1, XP_024013909.1, XP_024010788.1, XP_024010580.1, XP_024013704.1, XP_024013057.1, XP_024014532.1, XP_024014015.1, XP_024006412.1, XP_024009577.1, XP_024014937.1, XP_024009774.1, XP_024011233.1, XP_024014043.1, XP_024006597.1, XP_024006600.1, XP_024013383.1	Om006G250590, Om002G057780
OG0000040	XP_024008003.1	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	XP_024016186.1	Om008G328570
OG0000042	XP_024013326.1	Om004G177160
OG0000043	XP_024014519.1	Om002G089060
OG0000044	XP_024013601.1, XP_024006447.1	Om006G259440, Om005G221670
OG0000044	XP_024015030.1	Om007G314900, Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660
OG0000045	XP_024010150.1	Om003G112290
OG0000045	XP_024014349.1, XP_024006862.1, XP_024008024.1, XP_024006618.1, XP_024016129.1, XP_024011268.1, XP_024013381.1, XP_024010348.1, XP_024010913.1, XP_024006569.1, XP_024014868.1, XP_024013167.1, XP_024012481.1, XP_024016250.1, XP_024016245.1, XP_024010455.1, XP_024011373.1, XP_024015844.1, XP_024006123.1, XP_024006531.1, XP_024010635.1, XP_024009411.1, XP_024007913.1	Om001G031280
OG0000046	XP_024014419.1	Om008G352850, Om006G241220
OG0000046	XP_024004758.1	Om001G001860
OG0000046	XP_024014362.1	Om006G253990
OG0000046	XP_006391458.1	Om005G206750
OG0000046	XP_024014567.1	Om005G213160
OG0000047	XP_024014292.1	Om006G268590, Om001G028180, Om007G295630
OG0000047	XP_024016226.1, XP_024016354.1	Om002G077780, Om005G225040, Om001G020530, Om002G043900
OG0000047	XP_024010589.1	Om002G074710, Om003G111370, Om003G113410
OG0000047	XP_024013907.1	Om007G295670, Om002G084660, Om008G332290, Om006G263590
OG0000048	XP_006408254.2, XP_006408256.1	Om002G045400
OG0000048	XP_006408255.1	Om002G045440
OG0000048	XP_006400347.1, XP_006400352.1, XP_006400344.1, XP_006400348.1	Om007G296190, Om007G296250
OG0000048	XP_006400345.1	Om007G296260
OG0000050	XP_024011367.1, XP_024010366.1, XP_024010144.1, XP_024009344.1, XP_024010551.1, XP_024007910.1, XP_024010927.1, XP_024013032.1	Om007G308990
OG0000050	XP_024016230.1, XP_024010222.1	Om002G080890, Om003G112360
OG0000050	XP_024009412.1	Om002G077490
OG0000050	XP_024011371.1, XP_024013346.1	Om008G341390, Om005G201890, Om005G219290
OG0000052	XP_024009195.1	Om005G180640
OG0000052	XP_024004184.1	Om008G326590
OG0000052	XP_024004231.1	Om008G326540
OG0000054	XP_006408822.2	Om008G359460, Om008G361290
OG0000054	XP_024009310.1, XP_024005013.1	Om002G043200, Om007G279110, Om006G263890
OG0000055	XP_006391863.1, XP_024016712.1, XP_006391858.2	Om005G202820, Om005G227820, Om005G224840
OG0000055	XP_024016818.1	Om001G019570
OG0000056	XP_024009899.1, XP_024016377.1, XP_024014710.1, XP_024004977.1, XP_024016537.1	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970
OG0000056	XP_024009608.1, XP_024014631.1, XP_024004060.1, XP_024006592.1	Om005G209160, Om002G073230, Om001G006930, Om005G212260
OG0000056	XP_024014312.1, XP_024012933.1	Om003G107750, Om001G017780
OG0000058	XP_024007981.1, XP_024015913.1	Om007G299580, Om006G274770, Om007G313880, Om002G087980, Om002G068450, Om005G190360, Om005G223220, Om005G204610, Om007G304500, Om003G125380, Om008G357860, Om004G129440, Om001G015300, Om002G087130, Om002G075560, Om002G076070, Om003G097800, Om001G033280, Om005G201820, Om002G084100, Om001G039990, Om002G084960, Om008G357700, Om003G090300, Om006G269060, Om006G268940, Om004G141540, Om006G251390, Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530
OG0000058	XP_024009750.1, XP_024013613.1, XP_024004962.1, XP_024006598.1	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000059	XP_024005015.1	Om003G092270, Om002G088980
OG0000059	XP_024010658.1	Om001G008500
OG0000061	XP_024004223.1, XP_024014389.1	Om003G100910, Om006G238480
OG0000061	XP_024013908.1, XP_024014942.1	Om005G223660, Om006G249810, Om002G076700, Om003G106600, Om008G345470, Om008G347220
OG0000062	XP_024014042.1	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320
OG0000064	XP_006411683.1	Om001G041080
OG0000064	XP_024004093.1, XP_024004091.1	Om004G157800
OG0000065	XP_024006661.1	Om006G267840, Om005G217710, Om004G149910, Om001G017300, Om005G217720, Om006G268440, Om005G217730, Om001G017390, Om007G310090, Om006G252300, Om006G263980, Om007G310120, Om004G155340, Om007G307990, Om006G265440, Om002G078380, Om005G203450, Om007G309700, Om010G364600, Om010G364610
OG0000066	XP_024005720.1, XP_006399597.1, XP_006390289.1, XP_024005718.1	Om004G164550
OG0000066	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1	Om004G165570
OG0000067	XP_024014925.1	Om004G137760
OG0000068	XP_024009313.1, XP_006409421.2, XP_024010243.1, XP_024006613.1, XP_024016229.1, XP_024011093.1, XP_024004877.1, XP_024005785.1, XP_024016694.1, XP_024015936.1, XP_024006556.1, XP_024004785.1, XP_024013938.1, XP_024014902.1, XP_024016312.1, XP_024010301.1, XP_024009273.1, XP_006391890.2, XP_024008048.1, XP_024016657.1	Om003G109360, Om001G015230, Om008G350760, Om006G263810, Om008G342030, Om002G073940
OG0000070	XP_024013809.1, XP_024011334.1	Om008G344650
OG0000070	XP_024010588.1	Om007G311790
OG0000070	XP_024009219.1	Om007G307520, Om004G146520
OG0000071	XP_024004814.1, XP_024010468.1, XP_024004087.1	Om008G360280, Om004G166900
OG0000072	XP_024009348.1, XP_024013914.1, XP_024006596.1, XP_024009952.1, XP_024014026.1, XP_024010244.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009380.1, XP_024009792.1, XP_024010384.1, XP_024009711.1	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000073	XP_024009767.1	Om008G359430, Om008G359450, Om006G266810, Om004G145340, Om006G272440, Om001G008960
OG0000073	XP_006398345.1	Om008G360660, Om008G360260
OG0000074	XP_024008246.1	Om004G144240, Om004G144070, Om004G144330, Om004G144320
OG0000074	XP_024008857.1	Om004G144060
OG0000074	XP_006416071.1	Om004G144020, Om001G027970, Om004G144050, Om004G171550
OG0000074	XP_024008031.1	Om004G143980
OG0000074	XP_006416070.2, XP_024010232.1	Om004G144100
OG0000074	XP_024008618.1	Om004G143840
OG0000075	XP_024007719.1	Om005G191180
OG0000075	XP_024006207.1	Om005G194550
OG0000076	XP_006404186.1, XP_024013434.1	Om002G087760
OG0000076	XP_024007553.1	Om006G242520
OG0000077	XP_006418924.1	Om001G035000, Om001G040170
OG0000077	XP_024014654.1	Om001G039420, Om001G034120, Om001G040110, Om005G191300
OG0000077	XP_006396813.1, XP_006396818.1	Om001G033890
OG0000077	XP_024009721.1, XP_024009720.1	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490
OG0000077	XP_006416449.2, XP_024011069.1	Om005G195310
OG0000078	XP_024010281.1, XP_024006501.1, XP_024004952.1, XP_024007906.1, XP_024010478.1, XP_024010375.1, XP_024006421.1	Om007G305480, Om008G337420
OG0000078	XP_024009271.1, XP_024006585.1, XP_024009516.1, XP_024015963.1, XP_024010353.1, XP_024013220.1	Om008G342420, Om007G305860
OG0000079	XP_006396702.1	Om003G122890, Om003G122910, Om003G122930, Om003G122940
OG0000079	XP_024015302.1	Om003G123020
OG0000079	XP_024012843.1	Om003G122810
OG0000079	XP_024012921.1	Om003G122730
OG0000079	XP_006402736.1	Om003G122880, Om003G122870
OG0000080	XP_006405882.1	Om004G135430
OG0000080	XP_006400395.1	Om001G013570
OG0000080	XP_006410039.1	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	XP_006393424.2	Om001G032290
OG0000081	XP_006393101.1, XP_024006236.1	Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470
OG0000081	XP_006393087.2	Om003G098080
OG0000081	XP_024004911.1	Om003G096460
OG0000081	XP_006415657.1, XP_024008000.1, XP_006415686.2	Om005G184670, Om005G184660
OG0000082	XP_024013185.1	Om004G130570
OG0000082	XP_024009693.1	Om003G121830, Om002G084590
OG0000084	XP_006405024.2, XP_006405025.1, XP_006405019.2	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580
OG0000085	XP_024006448.1	Om005G217190
OG0000086	XP_006408761.1, XP_006408760.1, XP_006408781.1, XP_006408766.1, XP_024016075.1, XP_006408779.2, XP_006408769.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408759.1, XP_006408777.1, XP_006408780.1, XP_006408778.1, XP_006408763.1, XP_006408768.1, XP_006408765.1, XP_024015891.1, XP_006408757.1, XP_006408758.1	Om004G163220
OG0000087	XP_006404194.1, XP_006394642.1	Om006G238380
OG0000087	XP_006410012.1	Om007G282390
OG0000087	XP_006399740.1	Om004G162490
OG0000087	XP_006410628.1	Om008G339690
OG0000087	XP_006403108.1	Om008G355890
OG0000087	XP_006413842.1	Om001G006430
OG0000087	XP_006390273.1	Om004G137360
OG0000088	XP_006404361.1, XP_006398111.1, XP_006398110.2, XP_006404364.1, XP_024011698.1, XP_024013782.1	Om003G119630
OG0000088	XP_024011446.1	Om006G242180
OG0000089	XP_006399464.1	Om004G166350
OG0000089	XP_006405819.1	Om001G012030
OG0000089	XP_006406564.1	Om003G098490
OG0000089	XP_006407369.1	Om002G055730
OG0000089	XP_006400969.1	Om006G246310, Om006G246300
OG0000090	XP_006416426.1	Om005G202290, Om005G179690
OG0000090	XP_006390250.1	Om004G136810
OG0000090	XP_006393304.1	Om003G098630, Om003G099040
OG0000090	XP_006402629.2	Om002G055690, Om003G124430
OG0000090	XP_006395735.1	Om006G274160
OG0000093	XP_006393541.2, XP_006393537.1	Om001G033140
OG0000093	XP_024012757.1	Om003G121950
OG0000096	XP_006395720.2, XP_006395727.1, XP_006395717.2	Om007G301150, Om003G093070, Om006G274060
OG0000096	XP_006398175.2	Om004G143550, Om008G360980
OG0000097	XP_006417793.2	Om008G355560
OG0000097	XP_006396592.1	Om008G355570
OG0000097	XP_006405546.1	Om008G355680, Om008G355600, Om004G133820
OG0000098	XP_024004548.1, XP_006391848.1	Om001G001780
OG0000098	XP_006417248.1	Om005G191670
OG0000099	XP_006405351.1	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970
OG0000099	XP_006391682.2	Om005G227260, Om003G118970, Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320
OG0000100	XP_024013152.1	Om007G304610
OG0000100	XP_024013365.1	Om001G023470, Om002G054070, Om002G062020, Om007G307690, Om005G203320
OG0000104	XP_024003699.1	Om007G283050, Om007G283070
OG0000104	XP_024006051.1	Om003G095420
OG0000104	XP_006406282.1	Om002G069400
OG0000104	XP_024006009.1	Om003G095400
OG0000106	XP_024009294.1, XP_006418661.2, XP_006418628.2	Om005G222030
OG0000107	XP_024015177.1	Om002G067740
OG0000107	XP_006406420.1	Om002G067770
OG0000108	XP_006394690.1, XP_006404383.1, XP_006414046.1	Om003G100270, Om003G100260
OG0000108	XP_006403292.2, XP_024009712.1	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810
OG0000108	XP_006395726.1	Om006G273810
OG0000109	XP_024009890.1	Om007G296220
OG0000109	XP_024004593.1	Om007G303510
OG0000110	XP_006402710.1	Om003G123410
OG0000110	XP_006402712.2	Om003G123400
OG0000111	XP_024010064.1	Om006G259270
OG0000111	XP_006394280.1	Om004G134730, Om004G134740, Om006G234230
OG0000111	XP_024010140.1	Om004G170780, Om004G170800
OG0000112	XP_024011276.1, XP_024011279.1, XP_024011277.1, XP_024012457.1, XP_024012107.1	Om005G189180
OG0000113	XP_006414517.2	Om001G037540
OG0000114	XP_024006571.1	Om004G135370
OG0000114	XP_024004563.1, XP_024004566.1	Om001G008300
OG0000119	XP_024009367.1	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890
OG0000119	XP_024013619.1, XP_024011132.1, XP_024006493.1, XP_024009468.1, XP_024004480.1, XP_024014964.1	Om002G078050, Om003G114030, Om001G022840, Om005G223060, Om007G309980
OG0000119	XP_024008042.1, XP_024013572.1, XP_024015842.1, XP_024013153.1	Om004G164230, Om005G214120, Om005G222850
OG0000119	XP_024016093.1	Om002G073780, Om001G001640, Om003G112380, Om001G028670, Om001G025220, Om002G069790, Om006G272030, Om001G037640, Om001G016990, Om008G354440, Om003G114200, Om006G246110, Om008G353100, Om002G077410, Om006G263620, Om003G105760, Om001G022440, Om001G021800, Om007G276370, Om002G076490, Om008G340020, Om007G308200, Om001G017550, Om003G107360, Om002G082300, Om001G020090, Om003G128770
OG0000119	XP_024010311.1, XP_024010843.1, XP_024009910.1, XP_024004523.1	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730
OG0000120	XP_006392103.1, XP_006392097.1	Om005G221860
OG0000120	XP_006398920.1	Om007G296760, Om007G296900
OG0000122	XP_024014445.1, XP_024014583.1	Om003G118880
OG0000122	XP_024012240.1	Om003G118940
OG0000122	XP_006401346.1	Om003G118720
OG0000123	XP_024013225.1	Om005G224980, Om005G193630
OG0000123	XP_006417123.1	Om005G193280, Om005G193230, Om005G193260
OG0000124	XP_024004501.1, XP_024004928.1	Om006G259690, Om005G203070, Om006G231520, Om003G107740, Om004G176730
OG0000124	XP_024006636.1	Om003G103030
OG0000125	XP_006403666.1	Om006G254380
OG0000125	XP_006400797.1	Om006G244360
OG0000125	XP_006400898.1	Om006G245540
OG0000125	XP_006409905.1	Om007G283300
OG0000126	XP_024010260.1, XP_024014515.1, XP_024006138.1	Om006G262390, Om004G151250
OG0000128	XP_024011285.1	Om001G015270
OG0000132	XP_024016184.1	Om008G361300
OG0000133	XP_024007305.1	Om008G358290, Om008G345600, Om001G024110
OG0000135	XP_024006075.1	Om002G054930
OG0000135	XP_024012099.1	Om005G226530
OG0000136	XP_006391405.1	Om002G045120
OG0000136	XP_024014611.1, XP_006405827.1, XP_006405828.1, XP_006405825.1	Om002G064560
OG0000138	XP_006409945.1	Om006G251190, Om006G251180
OG0000138	XP_006390880.1	Om005G207670, Om005G207700
OG0000138	XP_006395267.1	Om001G026370
OG0000140	XP_006400988.1	Om006G246590
OG0000140	XP_024011989.1, XP_024011966.1, XP_024012425.1	Om006G247230, Om006G247200
OG0000140	XP_006400992.1	Om006G246640
OG0000142	XP_024003801.1	Om007G282780
OG0000144	XP_024011410.1	Om022G374950
OG0000144	XP_024013228.1	Om007G317180
OG0000146	XP_006401461.1	Om003G117410
OG0000146	XP_006401465.2	Om003G117350
OG0000146	XP_006395415.1	Om003G097230
OG0000146	XP_006401462.1	Om003G117400, Om003G117360
OG0000146	XP_006401466.1	Om003G117320, Om003G090770, Om003G117200, Om008G326830
OG0000147	XP_006409094.1	Om002G086500
OG0000147	XP_024005341.1	Om001G025660
OG0000147	XP_024012572.1	Om007G285990, Om006G249440
OG0000147	XP_006389820.1	Om004G130850
OG0000147	XP_006419170.1	Om006G268290
OG0000147	XP_006396088.1	Om002G078960
OG0000149	XP_024011597.1	Om006G245860
OG0000149	XP_024011821.1	Om006G245850
OG0000150	XP_024009951.1	Om008G323560
OG0000150	XP_006419033.2	Om005G201710
OG0000151	XP_006401722.1	Om003G114720
OG0000151	XP_024005195.1	Om001G021860
OG0000151	XP_006407751.1	Om002G051120
OG0000151	XP_006409398.1	Om002G082850
OG0000151	XP_006401372.1	Om003G118410
OG0000154	XP_006416851.1	Om005G196960
OG0000154	XP_006407319.1	Om002G056330
OG0000154	XP_006398709.1	Om004G175620
OG0000155	XP_006413094.1	Om001G020030
OG0000155	XP_006391517.1, XP_024007950.1, XP_006391515.2, XP_024005112.1	Om001G007100
OG0000155	XP_024009272.1, XP_006407382.2	Om002G055620
OG0000156	XP_006404367.2, XP_024010808.1	Om008G322060
OG0000156	XP_006410182.1	Om008G321950, Om008G321940
OG0000156	XP_024010761.1	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020
OG0000157	XP_006410257.2	Om001G032790, Om001G032520, Om008G334520, Om008G334530, Om002G083660
OG0000157	XP_006416096.1	Om008G326040, Om008G355750
OG0000161	XP_024007354.1, XP_006394457.2, XP_024006771.1	Om006G236100, Om006G236170
OG0000161	XP_024011911.1	Om004G175180
OG0000161	XP_006408194.2	Om004G167210, Om006G249300
OG0000162	XP_006395656.2	Om003G125390
OG0000162	XP_024012914.1	Om003G125170
OG0000162	XP_024004704.1, XP_024010855.1	Om008G322780, Om008G322790
OG0000164	XP_006411772.1	Om001G039830
