Orthogroup	Eutrema_salsugineum	Cardamine_amara
OG0000006	XP_024011210.1	evm.model.RL_2.3087, evm.model.RL_5.3322
OG0000006	XP_024006104.1, XP_024004744.1	evm.model.RL_1.817, evm.model.RL_2.785
OG0000007	XP_024009288.1	evm.model.RL_2.556
OG0000008	XP_024004048.1	evm.model.RL_7.2148, evm.model.RL_2.761
OG0000008	XP_024013171.1, XP_024010288.1, XP_024007970.1, XP_024013997.1, XP_024014486.1, XP_024004792.1, XP_024009495.1, XP_024006454.1, XP_024013969.1, XP_024009322.1, XP_024009407.1, XP_024015209.1, XP_024010682.1, XP_024009967.1, XP_024013989.1, XP_024014489.1	evm.model.RL_4.1914
OG0000010	XP_006408809.2	evm.model.RL_6.734, evm.model.RL_8.1076
OG0000010	XP_024011382.1, XP_024005930.1, XP_024013196.1	evm.model.RL_4.113
OG0000010	XP_024015955.1	evm.model.RL_7.2062
OG0000010	XP_024011402.1, XP_024006535.1	evm.model.RL_2.395
OG0000011	XP_024004173.1, XP_024008034.1, XP_024010329.1, XP_024010628.1, XP_024004872.1, XP_024007768.1, XP_024004156.1, XP_024009442.1, XP_024005001.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024006105.1, XP_024006278.1, XP_024007953.1, XP_024015281.1, XP_024006611.1, XP_024011358.1, XP_024016363.1, XP_024004052.1, XP_024006076.1, XP_024004111.1, XP_024013978.1, XP_024010663.1, XP_024004769.1, XP_024016352.1, XP_006390305.1, XP_024004169.1, XP_024013911.1, XP_024005329.1, XP_024004088.1, XP_024013590.1, XP_024007964.1, XP_024004313.1, XP_024006880.1, XP_024015027.1, XP_024011205.1, XP_024007772.1, XP_024008044.1, XP_024013764.1, XP_024010049.1, XP_024006429.1, XP_024004131.1, XP_024004751.1, XP_024014256.1	evm.model.RL_6.446
OG0000011	XP_024010246.1, XP_024010847.1, XP_024006310.1, XP_024014087.1, XP_024006789.1, XP_024013645.1	evm.model.RL_1.2267
OG0000012	XP_024016167.1	evm.model.RL_4.165
OG0000012	XP_024005031.1	evm.model.RL_7.2040
OG0000012	XP_024009473.1	evm.model.RL_6.730, evm.model.RL_5.2582
OG0000012	XP_024004033.1	evm.model.RL_2.748
OG0000012	XP_024010406.1	evm.model.RL_2.3
OG0000013	XP_024010313.1	evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641
OG0000013	XP_024006579.1, XP_024009314.1, XP_024016326.1, XP_024016199.1, XP_024016225.1, XP_024011229.1	evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358
OG0000013	XP_024013112.1	evm.model.RL_6.609
OG0000013	XP_024016668.1, XP_024004795.1, XP_024015926.1, XP_024006469.1, XP_024007909.1, XP_024006481.1, XP_024010423.1, XP_024016274.1	evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397
OG0000013	XP_024015867.1	evm.model.RL_6.796
OG0000014	XP_024006397.1	evm.model.RL_1.2917
OG0000014	XP_024009964.1	evm.model.RL_3.2283
OG0000014	XP_024013181.1, XP_024016301.1, XP_024004089.1	evm.model.RL_3.2284
OG0000015	XP_024012449.1	evm.model.RL_4.1006
OG0000015	XP_024006904.1	evm.model.RL_1.3215
OG0000015	XP_024009420.1	evm.model.RL_1.2713, evm.model.RL_1.2714
OG0000015	XP_024006143.1	evm.model.RL_8.879
OG0000017	XP_024010776.1, XP_024011342.1, XP_024013985.1, XP_024014689.1, XP_024014221.1	evm.model.RL_7.1516
OG0000018	XP_024006639.1, XP_024008232.1	evm.model.RL_7.1872
OG0000019	XP_024016548.1, XP_024004876.1, XP_024003759.1	evm.model.RL_7.2531
OG0000019	XP_024007941.1, XP_024011405.1	evm.model.RL_1.2654
OG0000019	XP_024010115.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024014025.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1, XP_024016207.1, XP_024004800.1, XP_024016569.1	evm.model.RL_7.2268
OG0000020	XP_024005014.1	evm.model.RL_8.1178, evm.model.RL_7.1677, evm.model.RL_7.2128
OG0000020	XP_024009276.1, XP_024004049.1, XP_024007229.1	evm.model.RL_2.3364
OG0000020	XP_024004841.1	evm.model.RL_7.2129
OG0000021	XP_024015179.1	evm.model.RL_7.92, evm.model.RL_2.444
OG0000021	XP_024016553.1	evm.model.RL_5.2428
OG0000021	XP_024009427.1	evm.model.RL_4.405
OG0000021	XP_024006452.1	evm.model.RL_3.587, evm.model.RL_2.653
OG0000021	XP_024004813.1, XP_024004020.1	evm.model.RL_3.586, evm.model.RL_1.1352, evm.model.RL_3.1079, evm.model.RL_2.288, evm.model.RL_1.2419
OG0000021	XP_024009969.1, XP_024013347.1, XP_024015937.1	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	XP_006413565.1	evm.model.RL_2.1848
OG0000023	XP_006413557.1, XP_024013896.1	evm.model.RL_2.1842
OG0000023	XP_006396896.1	evm.model.RL_8.636
OG0000023	XP_006413569.1	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	XP_024004623.1	evm.model.RL_2.1825.3.687c86e4
OG0000025	XP_006411607.2	evm.model.RL_2.3111
OG0000026	XP_024009325.1, XP_024006530.1, XP_024013992.1, XP_024011284.1	evm.model.RL_5.679
OG0000027	XP_006402766.1	evm.model.RL_7.603, evm.model.RL_7.580
OG0000028	XP_024006637.1	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115
OG0000028	XP_024009126.1, XP_024004857.1, XP_024016540.1, XP_024013053.1, XP_024013162.1, XP_024014403.1, XP_024014056.1, XP_024010241.1, XP_024014715.1, XP_024009819.1, XP_024010450.1, XP_024015838.1, XP_024016311.1, XP_024004754.1, XP_024004102.1, XP_024007219.1, XP_024004045.1, XP_024011346.1, XP_024010247.1, XP_024016863.1, XP_024013922.1, XP_024009259.1, XP_024013800.1, XP_024012069.1	evm.model.RL_4.1689
OG0000029	XP_024007307.1	evm.model.RL_8.656
OG0000030	XP_024009281.1	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258
OG0000031	XP_006391833.2	evm.model.RL_3.758
OG0000031	XP_006391783.1, XP_006391806.1, XP_006391807.1, XP_006391822.1, XP_006391862.1, XP_006391821.1, XP_006391819.1, XP_024003783.1, XP_006391808.1, XP_006391749.1	evm.model.RL_3.205
OG0000033	XP_024010975.1, XP_006413571.1	evm.model.RL_2.1834, evm.model.RL_2.1824
OG0000033	XP_006413574.2	evm.model.RL_2.1828
OG0000033	XP_006413576.1	evm.model.RL_2.1820_evm.model.RL_2.1823
OG0000034	XP_024016360.1, XP_024014012.1, XP_024016375.1, XP_024009234.1, XP_024005459.1	evm.model.RL_5.2588
OG0000034	XP_024004424.1	evm.model.RL_5.2586
OG0000034	XP_024005008.1	evm.model.RL_2.719, evm.model.RL_6.542
OG0000034	XP_024004803.1	evm.model.RL_4.675
OG0000036	XP_024013600.1	evm.model.RL_1.2959, evm.model.RL_5.2564
OG0000036	XP_024016128.1, XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024016240.1, XP_024009368.1, XP_024016380.1, XP_024009607.1, XP_024003653.1, XP_024011251.1, XP_024014237.1, XP_024011360.1, XP_024011314.1, XP_024016319.1, XP_024013206.1, XP_024012609.1, XP_024009371.1, XP_024016265.1, XP_024010368.1, XP_024006792.1, XP_024009971.1, XP_024012295.1, XP_024006803.1, XP_024011140.1, XP_024013156.1	evm.model.RL_2.742, evm.model.RL_2.665
OG0000037	XP_024006537.1	evm.model.RL_4.2891, evm.model.RL_5.3695
OG0000040	XP_024008003.1	evm.model.RL_7.2097
OG0000042	XP_024006511.1	evm.model.RL_6.1177, evm.model.RL_7.1372
OG0000042	XP_024004874.1, XP_024014479.1	evm.model.RL_3.1074, evm.model.RL_8.1561, evm.model.RL_3.1047
OG0000042	XP_024006069.1	evm.model.RL_7.1972
OG0000042	XP_024013326.1	evm.model.RL_6.2221
OG0000043	XP_024015897.1, XP_024015898.1, XP_024007304.1	evm.model.RL_2.730
OG0000043	XP_024010437.1, XP_024007262.1, XP_024009578.1	evm.model.RL_3.1062
OG0000043	XP_024013932.1, XP_024010157.1, XP_024006559.1	evm.model.RL_4.636
OG0000043	XP_024010278.1, XP_024004993.1, XP_024007282.1, XP_024009187.1, XP_024004823.1, XP_024006435.1, XP_024015903.1, XP_024010381.1, XP_024014049.1, XP_024013966.1	evm.model.RL_6.792
OG0000043	XP_024007316.1, XP_024007298.1, XP_024009765.1, XP_024010410.1, XP_024016309.1	evm.model.RL_8.981, evm.model.RL_8.1077
OG0000043	XP_024014519.1	evm.model.RL_1.2849, evm.model.RL_6.636
OG0000043	XP_024009417.1, XP_024010105.1, XP_024015145.1, XP_024006527.1, XP_024013117.1, XP_024009280.1, XP_024005016.1, XP_024009364.1, XP_024013594.1	evm.model.RL_3.816
OG0000043	XP_024010276.1	evm.model.RL_2.394
OG0000044	XP_024009472.1, XP_024009471.1	evm.model.RL_4.607
OG0000044	XP_006407857.2, XP_024006486.1, XP_006401889.2, XP_024009662.1, XP_024011380.1, XP_024013796.1, XP_024010208.1, XP_006389862.1, XP_006403918.2	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000044	XP_024015030.1	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226, evm.model.RL_2.659
OG0000045	XP_024008086.1, XP_024015905.1	evm.model.RL_2.587
OG0000045	XP_024014349.1, XP_024006862.1, XP_024008024.1, XP_024006618.1, XP_024016129.1, XP_024011268.1	evm.model.RL_7.883, evm.model.RL_8.1002
OG0000045	XP_024013381.1, XP_024010348.1, XP_024010913.1, XP_024006569.1	evm.model.RL_1.930
OG0000045	XP_024010455.1	evm.model.RL_6.267
OG0000046	XP_024014561.1	evm.model.RL_2.391
OG0000046	XP_024004758.1	evm.model.RL_2.1379
OG0000046	XP_024014362.1	evm.model.RL_2.389, evm.model.RL_2.387
OG0000046	XP_006391458.1	evm.model.RL_3.1072, evm.model.RL_3.1077
OG0000047	XP_024016226.1, XP_024016354.1	evm.model.RL_6.2868, evm.model.RL_2.1217, evm.model.RL_7.1965, evm.model.RL_1.2799, evm.model.RL_1.325, evm.model.RL_5.3533, evm.model.RL_5.3697
OG0000052	XP_024009195.1, XP_024008111.1, XP_006418389.2	evm.model.RL_5.167
OG0000052	XP_024004184.1	evm.model.RL_6.2368
OG0000054	XP_006397270.2	evm.model.RL_8.912, evm.model.RL_7.2126
OG0000054	XP_006408822.2	evm.model.RL_8.823, evm.model.RL_4.126
OG0000054	XP_024016368.1, XP_024009310.1, XP_024005013.1	evm.model.RL_1.2395
OG0000056	XP_024009686.1, XP_024006605.1	evm.model.RL_2.634
OG0000056	XP_024009608.1, XP_024014631.1, XP_024004060.1, XP_024006592.1	evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335
OG0000057	XP_024012536.1	evm.model.RL_1.2123, evm.model.RL_1.2359
OG0000058	XP_024007981.1, XP_024015913.1	evm.model.RL_6.762, evm.model.RL_1.1905
OG0000058	XP_024004962.1, XP_024006598.1	evm.model.RL_2.1104, evm.model.RL_1.2538
OG0000059	XP_024004071.1	evm.model.RL_2.445
OG0000059	XP_024014297.1	evm.model.RL_6.844
OG0000059	XP_024014246.1	evm.model.RL_7.2089
OG0000059	XP_024014004.1	evm.model.RL_4.1269
OG0000059	XP_024010658.1	evm.model.RL_6.807
OG0000060	XP_024011528.1	evm.model.RL_3.1064, evm.model.RL_3.817, evm.model.RL_8.1029, evm.model.RL_7.1968
OG0000061	XP_024004223.1, XP_024014389.1	evm.model.RL_6.2768, evm.model.RL_3.1126
OG0000062	XP_024014042.1	evm.model.RL_2.991, evm.model.RL_6.777
OG0000062	XP_024010130.1, XP_006405230.2	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720
OG0000065	XP_024006661.1	evm.model.RL_2.692, evm.model.RL_1.2797, evm.model.RL_5.2499, evm.model.RL_3.795, evm.model.RL_3.818, evm.model.RL_3.821, evm.model.RL_6.665, evm.model.RL_3.831, evm.model.RL_8.1007, evm.model.RL_2.698, evm.model.RL_3.820, evm.model.RL_1.2651, evm.model.RL_6.669, evm.model.RL_8.1014, evm.model.RL_8.1010, evm.model.RL_2.690, evm.model.RL_6.632, evm.model.RL_3.828, evm.model.RL_2.702, evm.model.RL_4.719, evm.model.RL_7.2023, evm.model.RL_6.638, evm.model.RL_4.727, evm.model.RL_2.685, evm.model.RL_5.2501, evm.model.RL_8.2425, evm.model.RL_6.602, evm.model.RL_6.620, evm.model.RL_3.887, evm.model.RL_6.658, evm.model.RL_3.830, evm.model.RL_3.822, evm.model.RL_6.659, evm.model.RL_4.717, evm.model.RL_2.695, evm.model.RL_5.2490, evm.model.RL_3.832, evm.model.RL_3.819, evm.model.RL_3.833, evm.model.RL_3.826, evm.model.RL_3.824, evm.model.RL_8.1017, evm.model.RL_4.716, evm.model.RL_8.1009, evm.model.RL_3.812, evm.model.RL_3.796, evm.model.RL_3.835, evm.model.RL_2.691, evm.model.RL_8.1016, evm.model.RL_1.2631, evm.model.RL_1.2658, evm.model.RL_2.687, evm.model.RL_3.811, evm.model.RL_8.1015, evm.model.RL_6.667, evm.model.RL_3.825, evm.model.RL_6.664, evm.model.RL_6.673, evm.model.RL_4.722, evm.model.RL_6.666, evm.model.RL_8.1005, evm.model.RL_5.2500, evm.model.RL_6.703, evm.model.RL_1.2636, evm.model.RL_1.2795, evm.model.RL_1.2649, evm.model.RL_1.2645, evm.model.RL_2.699, evm.model.RL_5.2502, evm.model.RL_6.702, evm.model.RL_6.616, evm.model.RL_6.601, evm.model.RL_6.619, evm.model.RL_2.694, evm.model.RL_4.715, evm.model.RL_6.675, evm.model.RL_8.1006, evm.model.RL_1.2647, evm.model.RL_6.648, evm.model.RL_6.692
OG0000066	XP_024005718.1	evm.model.RL_3.1975
OG0000066	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1	evm.model.RL_8.2622
OG0000067	XP_006406656.1	evm.model.RL_3.1500, evm.model.RL_3.1537
OG0000069	XP_024009769.1, XP_024007936.1, XP_024016097.1, XP_024014455.1, XP_024015941.1, XP_024009376.1, XP_024006136.1	evm.model.RL_4.1093
OG0000070	XP_024013809.1, XP_024011334.1	evm.model.RL_6.573
OG0000070	XP_024010588.1	evm.model.RL_6.606
OG0000071	XP_024010849.1, XP_024009972.1	evm.model.RL_6.950
OG0000071	XP_024005999.1, XP_024004736.1, XP_024012932.1, XP_024013941.1	evm.model.RL_6.3
OG0000072	XP_024009348.1, XP_024013914.1, XP_024006596.1, XP_024009952.1, XP_024014026.1, XP_024010244.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009380.1, XP_024009792.1, XP_024010384.1, XP_024009711.1	evm.model.RL_3.925, evm.model.RL_2.737, evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082, evm.model.RL_3.783
OG0000073	XP_024009991.1	evm.model.RL_4.629
OG0000073	XP_024013343.1	evm.model.RL_4.146, evm.model.RL_4.158.2.687c86cd, evm.model.RL_4.151, evm.model.RL_4.156
OG0000073	XP_024011128.1	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175
OG0000074	XP_024008035.1	evm.model.RL_5.3415
OG0000076	XP_024007553.1	evm.model.RL_6.1653
OG0000077	XP_006418924.1	evm.model.RL_4.914, evm.model.RL_4.878, evm.model.RL_2.3382
OG0000077	XP_024014654.1	evm.model.RL_2.1487, evm.model.RL_6.2241, evm.model.RL_6.145
OG0000078	XP_024013973.1, XP_024006349.1, XP_024011414.1, XP_024009421.1, XP_024004909.1	evm.model.RL_7.1903
OG0000081	XP_006416297.2, XP_024006818.1, XP_006412742.1	evm.model.RL_6.922
OG0000081	XP_024004911.1	evm.model.RL_5.1972
OG0000082	XP_024013185.1	evm.model.RL_8.1557
OG0000083	XP_006406083.1	evm.model.RL_1.2207, evm.model.RL_1.2208
OG0000084	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1	evm.model.RL_6.397
OG0000086	XP_006408761.1, XP_006408760.1, XP_006408781.1, XP_006408766.1, XP_024016075.1, XP_006408779.2, XP_006408769.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408759.1, XP_006408777.1, XP_006408780.1, XP_006408778.1, XP_006408763.1, XP_006408768.1, XP_006408765.1, XP_024015891.1, XP_006408757.1, XP_006408758.1	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	XP_006394642.1	evm.model.RL_4.1345
OG0000087	XP_006410012.1	evm.model.RL_6.1057
OG0000087	XP_006399740.1	evm.model.RL_4.2360
OG0000087	XP_006410628.1	evm.model.RL_6.1567
OG0000087	XP_006403108.1	evm.model.RL_4.428
OG0000087	XP_006413842.1	evm.model.RL_2.1599
OG0000087	XP_006390273.1	evm.model.RL_3.1990
OG0000088	XP_006404361.1, XP_006398111.1, XP_006398110.2, XP_006404364.1, XP_024011698.1, XP_024013782.1	evm.model.RL_7.1629
OG0000089	XP_006399464.1	evm.model.RL_4.2603
OG0000089	XP_006406564.1	evm.model.RL_1.1790.1.687c87ee
OG0000089	XP_006407369.1	evm.model.RL_1.1121
OG0000090	XP_006416426.1	evm.model.RL_5.1846
OG0000090	XP_006390250.1	evm.model.RL_3.2006
OG0000090	XP_006402629.2	evm.model.RL_2.2972
OG0000090	XP_006395735.1	evm.model.RL_7.2013, evm.model.RL_7.2546
OG0000096	XP_006395720.2	evm.model.RL_7.2530
OG0000096	XP_006395727.1, XP_006395717.2	evm.model.RL_7.2533
OG0000096	XP_024004738.1	evm.model.RL_4.362
OG0000097	XP_006417793.2	evm.model.RL_8.394
OG0000098	XP_024004548.1, XP_006391848.1	evm.model.RL_3.229
OG0000099	XP_024016396.1	evm.model.RL_3.85
OG0000101	XP_024014029.1	evm.model.RL_3.99, evm.model.RL_3.653
OG0000101	XP_024014529.1	evm.model.RL_3.662
OG0000101	XP_006404831.1	evm.model.RL_3.664
OG0000104	XP_024006051.1	evm.model.RL_5.2109
OG0000104	XP_006406282.1	evm.model.RL_1.2055
OG0000104	XP_024006272.1	evm.model.RL_1.2425
OG0000104	XP_024003673.1	evm.model.RL_6.1000
OG0000105	XP_024011316.1	evm.model.RL_6.453
OG0000106	XP_024014982.1, XP_006408882.1	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845
OG0000107	XP_006406420.1	evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929
OG0000108	XP_006394690.1, XP_006404383.1, XP_006414046.1	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000109	XP_024009890.1	evm.model.RL_6.809
OG0000109	XP_024014096.1	evm.model.RL_7.2399, evm.model.RL_3.555, evm.model.RL_1.2753, evm.model.RL_6.342
OG0000109	XP_024004593.1	evm.model.RL_8.1066, evm.model.RL_2.562, evm.model.RL_1.2945, evm.model.RL_8.628, evm.model.RL_6.399, evm.model.RL_1.2214, evm.model.RL_8.997
OG0000110	XP_006402712.2	evm.model.RL_7.1925
OG0000110	XP_024009571.1	evm.model.RL_7.432
OG0000111	XP_024010064.1	evm.model.RL_8.2409
OG0000113	XP_024014375.1	evm.model.RL_3.600
OG0000113	XP_006414517.2	evm.model.RL_4.346
OG0000114	XP_024006571.1	evm.model.RL_3.2232, evm.model.RL_3.2202
OG0000114	XP_006399626.1	evm.model.RL_4.605, evm.model.RL_4.611, evm.model.RL_4.609, evm.model.RL_3.630, evm.model.RL_1.339
OG0000114	XP_024004563.1, XP_024004566.1	evm.model.RL_3.757
OG0000115	XP_024013331.1	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979
OG0000119	XP_024010311.1, XP_024010843.1, XP_024009910.1, XP_024004523.1	evm.model.RL_5.2397
OG0000120	XP_006392103.1, XP_006392097.1	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	XP_006409474.2, XP_006398920.1	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000123	XP_006399078.1	evm.model.RL_5.1209
OG0000123	XP_024013225.1	evm.model.RL_5.1210
OG0000124	XP_024004501.1, XP_024004928.1	evm.model.RL_3.893
OG0000125	XP_006400797.1	evm.model.RL_4.1435
OG0000125	XP_006400898.1	evm.model.RL_8.2069
OG0000125	XP_006409905.1	evm.model.RL_6.979
OG0000126	XP_024015956.1, XP_024006495.1, XP_024014536.1, XP_024008013.1, XP_024014488.1, XP_024013369.1, XP_024016282.1	evm.model.RL_1.2513
OG0000126	XP_024010260.1, XP_024014515.1, XP_024006138.1, XP_024013368.1, XP_024016130.1	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	XP_006415215.1	evm.model.RL_1.823
OG0000127	XP_024009346.1	evm.model.RL_1.822
OG0000130	XP_024004995.1	evm.model.RL_6.625
OG0000130	XP_024009728.1	evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707
OG0000131	XP_024013367.1	evm.model.RL_5.2318
OG0000132	XP_006415357.2, XP_006404698.2	evm.model.RL_8.1179
OG0000132	XP_024004957.1	evm.model.RL_2.3365
OG0000132	XP_024016184.1	evm.model.RL_6.1268, evm.model.RL_7.2086
OG0000135	XP_024016223.1	evm.model.RL_5.2242
OG0000135	XP_024006538.1, XP_024006075.1, XP_024012099.1	evm.model.RL_4.523, evm.model.RL_3.1563
OG0000135	XP_024006572.1	evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041
OG0000136	XP_006391405.1, XP_006390991.1	evm.model.RL_3.1028
OG0000136	XP_024014367.1	evm.model.RL_2.429
OG0000137	XP_006409642.2, XP_024015892.1, XP_024010413.1, XP_024013977.1, XP_024009781.1, XP_024007267.1, XP_024009428.1, XP_024011275.1, XP_024006620.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_024007266.1, XP_024016583.1, XP_024011274.1	evm.model.RL_7.1543
OG0000137	XP_024014203.1	evm.model.RL_2.50
OG0000139	XP_024009753.1, XP_024007232.1	evm.model.RL_6.1684
OG0000139	XP_024004032.1	evm.model.RL_8.982
OG0000140	XP_024011857.1	evm.model.RL_8.2003
OG0000142	XP_024003801.1	evm.model.RL_6.1032
OG0000143	XP_024005012.1	evm.model.RL_1.2794
OG0000144	XP_024004160.1, XP_024013207.1, XP_024011246.1, XP_024014814.1	evm.model.RL_8.1451
OG0000147	XP_024005341.1	evm.model.RL_2.2536
OG0000147	XP_024012572.1	evm.model.RL_8.1812
OG0000147	XP_006389820.1	evm.model.RL_3.2406
OG0000147	XP_006396088.1	evm.model.RL_1.2583
OG0000147	XP_006404985.2	evm.model.RL_6.348
OG0000149	XP_024009527.1	evm.model.RL_7.1738
OG0000149	XP_024009508.1	evm.model.RL_7.1737
OG0000149	XP_024009365.1	evm.model.RL_7.1739
OG0000150	XP_024009951.1	evm.model.RL_8.2095
OG0000150	XP_006419033.2	evm.model.RL_7.1810
OG0000151	XP_006401722.1	evm.model.RL_8.1422
OG0000151	XP_024005195.1	evm.model.RL_2.2307
OG0000151	XP_006407751.1	evm.model.RL_1.777
OG0000151	XP_006409398.1	evm.model.RL_1.2853
OG0000151	XP_006401372.1	evm.model.RL_8.1691
OG0000151	XP_006391653.1, XP_006405318.1	evm.model.RL_3.61
OG0000152	XP_024013102.1, XP_024009932.1, XP_024010565.1	evm.model.RL_8.687
OG0000154	XP_006416851.1	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	XP_006407676.1	evm.model.RL_1.853
OG0000155	XP_006413094.1	evm.model.RL_2.2243
OG0000156	XP_024010808.1	evm.model.RL_6.2689
OG0000156	XP_024010825.1	evm.model.RL_4.1065
OG0000156	XP_006410182.1	evm.model.RL_6.2692
OG0000156	XP_024010761.1	evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691
OG0000157	XP_024010220.1, XP_024009977.1	evm.model.RL_5.213
OG0000158	XP_006391162.2	evm.model.RL_4.1378
OG0000161	XP_006408194.2	evm.model.RL_3.897
OG0000162	XP_024012462.1	evm.model.RL_3.1091, evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976
OG0000162	XP_024004704.1, XP_024010855.1	evm.model.RL_6.2628
OG0000164	XP_024006885.1, XP_006395689.1	evm.model.RL_4.218
OG0000165	XP_024016201.1	evm.model.RL_7.798
OG0000167	XP_006401739.1	evm.model.RL_8.1410, evm.model.RL_8.842
OG0000167	XP_006413956.2	evm.model.RL_2.1517
OG0000167	XP_006393695.2	evm.model.RL_2.1514
OG0000169	XP_006392323.2	evm.model.RL_3.574
OG0000171	XP_024015929.1, XP_006416080.1	evm.model.RL_3.1439
OG0000171	XP_006417443.1	evm.model.RL_3.461
OG0000171	XP_024012404.1	evm.model.RL_4.2162.1.687c86d7
OG0000172	XP_006402375.2	evm.model.RL_3.406, evm.model.RL_3.423
OG0000172	XP_024016620.1	evm.model.RL_7.463, evm.model.RL_7.1680, evm.model.RL_7.1683, evm.model.RL_7.1679
