Orthogroup	Eutrema_salsugineum	Alyssum_gmelinii
OG0000045	XP_024014349.1, XP_024006862.1, XP_024008024.1, XP_024006618.1, XP_024016129.1, XP_024011268.1, XP_024013381.1, XP_024010348.1, XP_024010913.1, XP_024006569.1, XP_024014868.1, XP_024013167.1, XP_024012481.1, XP_024016250.1, XP_024016245.1, XP_024010455.1, XP_024011373.1, XP_024015844.1, XP_024006123.1, XP_024006531.1, XP_024010635.1, XP_024009411.1, XP_024007913.1	Ag002G197550, Ag008G703200
OG0000046	XP_024004758.1	Ag006G575430
OG0000046	XP_006391458.1	Ag002G129690, Ag002G129740
OG0000047	XP_024014292.1	Ag001G041020, Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180
OG0000047	XP_024016226.1, XP_024016354.1	Ag005G457670, Ag006G528150, Ag003G283670, Ag004G385990, Ag006G499220, Ag001G091420, Ag002G161650, Ag006G525780, Ag006G566760, Ag002G142070
OG0000047	XP_024010589.1	Ag001G046570
OG0000048	XP_006408254.2, XP_006408256.1	Ag005G486480
OG0000048	XP_006408255.1	Ag005G486490
OG0000048	XP_024014979.1	Ag005G486620, Ag005G486520
OG0000049	XP_024004893.1	Ag003G236810
OG0000050	XP_024011367.1, XP_024010366.1, XP_024010144.1, XP_024009344.1, XP_024010551.1, XP_024007910.1, XP_024010927.1, XP_024013032.1	Ag007G641850
OG0000050	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010297.1, XP_024010298.1, XP_024008041.1	Ag002G123120
OG0000050	XP_024010226.1, XP_024004127.1, XP_024010620.1, XP_024011215.1, XP_024016291.1, XP_024013963.1	Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630
OG0000050	XP_024016230.1, XP_024010222.1	Ag001G062310
OG0000050	XP_024009412.1	Ag006G561100
OG0000052	XP_024009195.1	Ag004G301320
OG0000052	XP_006411503.1	Ag002G195160, Ag002G194240, Ag002G194190
OG0000052	XP_024004184.1	Ag002G194410, Ag002G194400, Ag002G194390
OG0000054	XP_024009310.1, XP_024005013.1	Ag007G634740, Ag006G513370
OG0000055	XP_006391863.1, XP_024016712.1, XP_006391858.2	Ag004G334400, Ag004G379910
OG0000056	XP_024009899.1, XP_024016377.1, XP_024014710.1, XP_024004977.1, XP_024016537.1	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330
OG0000056	XP_024009608.1, XP_024014631.1, XP_024004060.1, XP_024006592.1, XP_024013046.1, XP_024009725.1, XP_024013305.1, XP_024014312.1, XP_024012933.1	Ag002G121000, Ag006G542770
OG0000057	XP_006417574.1, XP_006406803.2	Ag002G195030
OG0000057	XP_006398121.1, XP_006406735.1	Ag005G459920
OG0000057	XP_024012536.1	Ag003G289060
OG0000058	XP_024007981.1, XP_024015913.1	Ag004G332280, Ag001G061500, Ag003G293700, Ag008G700500, Ag005G463800, Ag004G321970, Ag001G027690, Ag007G619950, Ag004G386790, Ag006G508740, Ag007G614810, Ag005G435910, Ag002G139460, Ag001G013190
OG0000058	XP_024009750.1, XP_024013613.1, XP_024004962.1, XP_024006598.1	Ag006G516660
OG0000059	XP_024010650.1	Ag006G543980
OG0000059	XP_024014527.1, XP_024014297.1, XP_024015880.1, XP_024004974.1	Ag004G391520
OG0000059	XP_024013471.1, XP_024011406.1, XP_024015967.1, XP_024013050.1, XP_024006528.1, XP_024010162.1, XP_024013151.1	Ag006G516680, Ag001G020010, Ag003G215300, Ag004G373020
OG0000059	XP_024005015.1	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210
OG0000059	XP_024010658.1, XP_024009246.1	Ag002G103440, Ag002G122810
OG0000059	XP_024009611.1	Ag006G522950
OG0000061	XP_024004223.1, XP_024014389.1	Ag007G618360, Ag004G337800, Ag001G100570, Ag002G180780, Ag004G339650
OG0000061	XP_024013908.1, XP_024014942.1	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860
OG0000064	XP_006411683.1	Ag003G295980
OG0000064	XP_024004093.1, XP_024004091.1	Ag002G170580, Ag007G593140, Ag007G593150, Ag002G113130, Ag002G109120, Ag003G276120, Ag003G276160, Ag003G276060, Ag004G378360, Ag007G593160
OG0000064	XP_006410127.1	Ag001G030100
OG0000065	XP_024006661.1	Ag009G735570, Ag001G025490
OG0000066	XP_024005720.1, XP_006399597.1, XP_006390289.1, XP_024005718.1	Ag003G225470
OG0000066	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1	Ag002G125900
OG0000067	XP_024014925.1	Ag005G407040, Ag005G407080, Ag005G407050
OG0000067	XP_006406656.1	Ag006G500760, Ag008G714910
OG0000069	XP_024009769.1, XP_024007936.1, XP_024016097.1, XP_024014455.1, XP_024015941.1, XP_024009376.1, XP_024006136.1	Ag002G200250
OG0000070	XP_024015974.1, XP_024014531.1	Ag007G655750
OG0000070	XP_024016295.1	Ag001G027030
OG0000071	XP_024004814.1, XP_024010468.1, XP_024004087.1	Ag003G234950, Ag003G217580
OG0000072	XP_024009348.1, XP_024013914.1, XP_024006596.1, XP_024009952.1, XP_024014026.1, XP_024010244.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009380.1, XP_024009792.1, XP_024010384.1, XP_024009711.1	Ag003G285120, Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320
OG0000073	XP_024009767.1	Ag001G101380, Ag006G576030
OG0000073	XP_024009991.1	Ag002G118960, Ag002G118950
OG0000073	XP_006398345.1	Ag002G117280
OG0000073	XP_006398339.2	Ag002G120540
OG0000073	XP_024011128.1	Ag002G116910
OG0000074	XP_024008246.1	Ag003G273880, Ag003G236930, Ag003G236940
OG0000074	XP_024008857.1	Ag003G242350, Ag003G242390
OG0000074	XP_006416071.1	Ag006G500560
OG0000074	XP_024008031.1	Ag003G241560, Ag003G242310
OG0000074	XP_006416070.2, XP_024010232.1	Ag004G378820
OG0000075	XP_024009374.1, XP_024015726.1	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640
OG0000075	XP_024007719.1	Ag004G337230, Ag004G337250, Ag004G349470, Ag006G510790
OG0000075	XP_024006207.1	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420
OG0000075	XP_006417013.1, XP_006417028.2	Ag002G191710, Ag002G191700, Ag002G191680
OG0000076	XP_024007553.1	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000077	XP_006418924.1	Ag003G284880, Ag003G286070, Ag003G286090, Ag003G286060, Ag003G294450, Ag004G372640
OG0000077	XP_024014654.1	Ag003G215720, Ag003G290220, Ag006G569300
OG0000077	XP_006396813.1, XP_006396818.1	Ag006G508210
OG0000077	XP_024009721.1, XP_024009720.1	Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300
OG0000077	XP_006416449.2, XP_024011069.1	Ag004G321630, Ag004G321620, Ag004G321600
OG0000078	XP_024013973.1, XP_024006349.1, XP_024011414.1, XP_024009421.1, XP_024004909.1	Ag002G136430
OG0000078	XP_024010281.1, XP_024006501.1, XP_024004952.1, XP_024007906.1, XP_024010478.1, XP_024010375.1, XP_024006421.1	Ag001G046650, Ag002G152760
OG0000078	XP_024009271.1, XP_024006585.1, XP_024009516.1, XP_024015963.1, XP_024010353.1, XP_024013220.1	Ag001G082530, Ag008G711670
OG0000079	XP_024012746.1	Ag001G089410
OG0000079	XP_006396702.1	Ag006G550580, Ag003G233720
OG0000079	XP_024015302.1	Ag006G550570
OG0000079	XP_024012843.1	Ag001G084480
OG0000079	XP_024012921.1	Ag001G089200
OG0000079	XP_006402736.1	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	XP_006400395.1	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860, Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730
OG0000081	XP_006415657.1, XP_024008000.1, XP_006415686.2	Ag007G593730
OG0000081	XP_006400346.2	Ag007G628420
OG0000081	XP_024010362.1	Ag005G451860, Ag005G452050
OG0000083	XP_006414117.2, XP_024005332.1, XP_006414114.1, XP_024005467.1	Ag005G483940, Ag005G483970, Ag005G483980
OG0000084	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770
OG0000084	XP_006405024.2, XP_006405025.1, XP_006405019.2	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390
OG0000086	XP_006408761.1, XP_006408760.1, XP_006408781.1, XP_006408766.1, XP_024016075.1, XP_006408779.2, XP_006408769.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408759.1, XP_006408777.1, XP_006408780.1, XP_006408778.1, XP_006408763.1, XP_006408768.1, XP_006408765.1, XP_024015891.1, XP_006408757.1, XP_006408758.1	Ag008G709530
OG0000087	XP_006404194.1, XP_006394642.1	Ag008G723440
OG0000087	XP_006410012.1	Ag007G593840
OG0000087	XP_006404432.1, XP_006404433.1	Ag008G728250, Ag001G052770
OG0000087	XP_006399740.1	Ag007G609260
OG0000087	XP_006410628.1	Ag002G161340
OG0000087	XP_006403108.1	Ag002G127940
OG0000087	XP_006413842.1	Ag006G562620
OG0000087	XP_006390273.1	Ag003G224140
OG0000088	XP_006404361.1, XP_006398111.1, XP_006398110.2	Ag007G581970
OG0000088	XP_006404412.1	Ag005G450330, Ag005G450360
OG0000088	XP_024011446.1	Ag008G717820
OG0000089	XP_006399464.1	Ag007G603320
OG0000089	XP_006405819.1	Ag006G540580
OG0000089	XP_006406564.1	Ag001G021310
OG0000089	XP_006407369.1	Ag005G471710
OG0000089	XP_006400969.1, XP_006418890.1	Ag008G712440, Ag008G708620
OG0000090	XP_006416426.1	Ag004G333760
OG0000090	XP_006390250.1	Ag003G223190
OG0000090	XP_006393304.1	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940
OG0000090	XP_006402629.2	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930
OG0000090	XP_006395735.1	Ag002G185460
OG0000093	XP_006393541.2, XP_006393537.1	Ag001G087060, Ag020G743300
OG0000093	XP_024014492.1	Ag001G087190, Ag001G087160
OG0000093	XP_024006522.1, XP_024006521.1	Ag001G087200, Ag020G743290, Ag001G087240
OG0000093	XP_024014512.1	Ag002G193490
OG0000093	XP_024012757.1	Ag001G083700, Ag001G087310
OG0000096	XP_006395720.2, XP_006395727.1, XP_006395717.2	Ag001G024200, Ag001G016650, Ag005G460360
OG0000096	XP_024004738.1	Ag002G102560
OG0000096	XP_006398175.2	Ag006G559170
OG0000096	XP_024011109.1	Ag002G103250
OG0000096	XP_006392390.2	Ag004G380830
OG0000097	XP_006417793.2	Ag002G129480
OG0000097	XP_006396592.1	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450
OG0000097	XP_024009940.1	Ag002G129030
OG0000097	XP_006405546.1	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340
OG0000098	XP_006417248.1	Ag004G315550
OG0000099	XP_006405351.1	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410
OG0000099	XP_006391682.2	Ag004G390870, Ag004G390890, Ag004G390900, Ag004G395530, Ag004G390720, Ag004G390710, Ag004G390740, Ag004G390940, Ag004G390780, Ag004G390920, Ag004G390770, Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610
OG0000099	XP_024016396.1	Ag004G396600, Ag004G396870, Ag004G391030
OG0000100	XP_024015018.1, XP_024006073.1	Ag004G376980, Ag002G156660
OG0000100	XP_024013152.1	Ag002G132470
OG0000100	XP_024013365.1	Ag006G511060, Ag005G447890, Ag005G447820, Ag002G169660, Ag004G372650, Ag007G599450, Ag001G042170, Ag004G367770, Ag002G115440, Ag007G616750, Ag007G616790, Ag007G616760, Ag004G360540, Ag004G342380, Ag002G165560, Ag007G656360, Ag006G491540, Ag010G740030, Ag008G728470, Ag001G019470, Ag004G348390, Ag005G465130, Ag004G311540, Ag007G579500, Ag006G505390, Ag008G671960, Ag004G326810
OG0000104	XP_024003699.1	Ag007G594850
OG0000104	XP_024006051.1	Ag001G010320
OG0000104	XP_006406282.1	Ag005G441940
OG0000106	XP_024009294.1, XP_006418661.2, XP_006418628.2	Ag004G383320
OG0000107	XP_024015177.1	Ag005G446720
OG0000107	XP_006406420.1	Ag005G446670
OG0000108	XP_006394690.1, XP_006404383.1, XP_006414046.1	Ag005G459590, Ag008G727840
OG0000108	XP_006403292.2, XP_024009712.1	Ag003G269110, Ag003G269200
OG0000108	XP_006395726.1	Ag005G414040
OG0000109	XP_024014456.1	Ag001G018050, Ag002G147800, Ag005G414580, Ag004G372360, Ag004G337320, Ag006G543970, Ag002G162420, Ag003G261280, Ag004G349840, Ag007G593090, Ag001G059110, Ag005G411230, Ag011G740860, Ag003G294760, Ag002G133440, Ag004G303880, Ag004G330170, Ag006G547030, Ag005G455810, Ag008G716250
OG0000109	XP_024014096.1	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980
OG0000109	XP_024004593.1	Ag003G272950, Ag005G461920, Ag006G532070, Ag002G124770, Ag001G038010, Ag001G026000, Ag002G191910
OG0000110	XP_006402710.1	Ag001G090130
OG0000110	XP_006402712.2	Ag001G090120
OG0000110	XP_006402714.1	Ag007G655930
OG0000110	XP_024009571.1	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700
OG0000110	XP_006412145.2	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010
OG0000110	XP_006402715.1	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910
OG0000110	XP_024012970.1	Ag001G090290, Ag001G090300, Ag001G090310
OG0000111	XP_024014705.1, XP_024014617.1, XP_006405755.2, XP_024014786.1, XP_024014405.1, XP_006405613.2, XP_006405611.2, XP_006393001.2	Ag002G181570, Ag002G181540, Ag002G181620
OG0000111	XP_024014624.1	Ag006G502330
OG0000111	XP_006394280.1	Ag003G218010, Ag003G217720, Ag008G729430, Ag008G729820, Ag008G729470, Ag008G729440
OG0000111	XP_006396648.1, XP_006391408.1, XP_006391409.1	Ag008G699120
OG0000114	XP_024006571.1	Ag006G573480
OG0000114	XP_006399626.1	Ag005G486530, Ag007G607050, Ag007G607020, Ag003G284630
OG0000114	XP_024004563.1, XP_024004566.1	Ag006G555860
OG0000119	XP_024009367.1	Ag001G026190
OG0000119	XP_024013619.1, XP_024011132.1, XP_024006493.1, XP_024009468.1, XP_024004480.1, XP_024014964.1	Ag008G699540, Ag005G437940, Ag007G645640, Ag007G656830
