Orthogroup	Eutrema_salsugineum	Erysimum_linariifolium
OG0000034	XP_024016360.1, XP_024014012.1, XP_024016375.1	El001G041330
OG0000034	XP_024009234.1	El004G208100, El002G125560
OG0000034	XP_024005459.1	El002G123500
OG0000034	XP_024004424.1	El027G373510
OG0000034	XP_024005008.1	El005G264480
OG0000034	XP_024016361.1	El003G149900, El001G048010
OG0000035	XP_006410338.1	El006G299540
OG0000035	XP_024012909.1	El001G033250
OG0000036	XP_024009179.1, XP_024009592.1	El003G178170
OG0000036	XP_024013600.1	El003G186550, El003G186530
OG0000036	XP_024016128.1	El006G309160
OG0000036	XP_024012609.1, XP_024009371.1	El006G309110, El006G311420, El002G122030
OG0000036	XP_024016265.1	El006G312180
OG0000037	XP_024006537.1	El001G053830
OG0000038	XP_024011148.1, XP_006403112.2	El007G361730, El007G361750
OG0000038	XP_006396333.1	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600, El007G360640
OG0000038	XP_024014404.1	El006G282520
OG0000040	XP_024008003.1	El003G181190, El002G112730, El002G112290, El006G296490, El006G297130, El007G346320
OG0000040	XP_024013353.1	El005G250180
OG0000040	XP_006391637.1	El005G257710
OG0000042	XP_024006511.1	El003G192700
OG0000043	XP_024013069.1, XP_024009580.1, XP_024014519.1, XP_024010262.1, XP_024010407.1, XP_024010475.1, XP_024016371.1, XP_024014634.1, XP_024009417.1, XP_024010105.1, XP_024015145.1, XP_024006527.1, XP_024013117.1, XP_024009280.1, XP_024005016.1, XP_024009364.1, XP_024013594.1, XP_024010276.1, XP_024013224.1, XP_024009176.1, XP_024010625.1, XP_024009457.1, XP_024016866.1, XP_024009118.1, XP_024015906.1	El007G350700
OG0000044	XP_024006486.1, XP_006401889.2, XP_024009662.1, XP_024011380.1, XP_024013796.1, XP_024010208.1, XP_006389862.1, XP_006403918.2	El006G308910, El006G308940
OG0000044	XP_024015030.1	El007G360870
OG0000045	XP_024008086.1, XP_024015905.1	El005G249570, El003G188840
OG0000045	XP_024013201.1	El005G264730
OG0000045	XP_024014022.1	El002G101480
OG0000045	XP_024014349.1, XP_024006862.1, XP_024008024.1, XP_024006618.1, XP_024016129.1, XP_024011268.1	El004G208130
OG0000045	XP_024011373.1, XP_024015844.1, XP_024006123.1, XP_024006531.1, XP_024010635.1, XP_024009411.1	El006G320830
OG0000046	XP_024014419.1	El003G188710
OG0000046	XP_024014561.1	El003G186960, El003G186970
OG0000046	XP_024004758.1	El003G168460, El004G213500
OG0000046	XP_024014362.1	El003G187000, El003G186990
OG0000046	XP_006391458.1	El004G216850, El004G216660
OG0000047	XP_024014292.1	El001G050090, El002G123400
OG0000047	XP_024016226.1, XP_024016354.1	El004G204540, El001G049540, El007G364690
OG0000048	XP_006408252.2	El005G238400, El005G238360
OG0000048	XP_006408254.2, XP_006408256.1	El003G193700
OG0000049	XP_024011200.1	El007G333450
OG0000050	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010297.1, XP_024010298.1, XP_024008041.1, XP_024009617.1, XP_024010321.1, XP_024009248.1, XP_024010226.1, XP_024004127.1, XP_024010620.1, XP_024011215.1, XP_024016291.1, XP_024013963.1	El002G124210, El007G359470, El004G226500
OG0000052	XP_024009195.1, XP_024008111.1, XP_006418389.2	El007G364450, El002G116290
OG0000052	XP_024004184.1	El006G286580
OG0000054	XP_006408822.2	El001G039440
OG0000055	XP_024016818.1	El001G016290, El004G208280
OG0000055	XP_024016867.1	El004G198740, El004G198850
OG0000056	XP_024009899.1, XP_024016377.1, XP_024014710.1	El003G171800
OG0000056	XP_024004977.1, XP_024016537.1	El004G200570
OG0000056	XP_024004060.1, XP_024006592.1	El003G179560, El006G285210, El001G008020
OG0000056	XP_024013046.1, XP_024009725.1, XP_024013305.1	El007G350500
OG0000057	XP_024016535.1	El003G184060
OG0000058	XP_024007981.1, XP_024015913.1	El007G338080, El003G151650, El005G258270, El006G310940, El002G122710, El003G177250, El002G135580, El005G263200, El002G136300, El005G276970, El001G065670, El001G046450, El001G034170, El005G262760
OG0000061	XP_024004223.1, XP_024014389.1	El006G308960, El006G308930, El002G121930
OG0000062	XP_024003982.1, XP_006414525.2, XP_024014161.1	El005G264970, El004G212620
OG0000062	XP_024014042.1	El003G186180, El004G203440, El004G203430
OG0000062	XP_024010130.1, XP_006405230.2	El001G054390
OG0000064	XP_006411683.1	El003G142390
OG0000064	XP_006410525.1	El006G298100
OG0000064	XP_024004093.1, XP_024004091.1	El004G232120
OG0000064	XP_024010383.1	El004G232110
OG0000064	XP_006410127.1	El008G368860
OG0000065	XP_024006661.1	El002G116640, El002G116630, El004G204380, El003G166420, El003G166430, El007G349160
OG0000066	XP_024005718.1	El004G228220, El004G228230, El002G122920
OG0000066	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1	El007G324780
OG0000067	XP_024014925.1	El001G050000
OG0000067	XP_006399102.2	El005G274450, El007G348170
OG0000070	XP_024010588.1	El007G351510
OG0000071	XP_024010849.1, XP_024009972.1	El003G161900, El007G348480, El004G223960, El004G222550
OG0000071	XP_024005999.1, XP_024004736.1, XP_024012932.1, XP_024013941.1	El003G186390, El001G051200, El006G305000
OG0000072	XP_024009348.1, XP_024013914.1, XP_024006596.1, XP_024009952.1, XP_024014026.1, XP_024010244.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009380.1, XP_024009792.1, XP_024010384.1, XP_024009711.1	El005G263040, El005G262970, El004G210970, El005G264060, El003G180720
OG0000073	XP_024009767.1	El007G343060, El004G214500
OG0000073	XP_024009991.1	El007G355990
OG0000074	XP_006416064.2	El002G108900, El002G108910
OG0000074	XP_024008031.1	El002G109020, El002G108990
OG0000074	XP_024010232.1	El002G108960, El002G108950
OG0000074	XP_024008618.1	El002G108840
OG0000074	XP_024008035.1	El002G108850
OG0000075	XP_024006207.1	El001G065030, El001G025110
OG0000077	XP_006418924.1	El007G346620, El007G346720, El007G346600, El004G208890, El007G346470, El006G315340, El007G346500, El007G346630, El007G346710, El007G346580, El007G346750, El003G143060, El003G143070
OG0000077	XP_024014654.1	El007G346640, El004G229240, El002G122000
OG0000077	XP_006396813.1, XP_006396818.1	El003G143080
OG0000077	XP_024009721.1, XP_024009720.1	El003G143050, El006G313810, El003G143040
OG0000077	XP_006416449.2, XP_024011069.1	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890
OG0000079	XP_024015302.1	El004G207470
OG0000080	XP_006400395.1	El002G131320, El002G131270
OG0000080	XP_024006267.1	El001G069000, El001G068960
OG0000080	XP_006413201.2, XP_006413190.1	El003G157200
OG0000081	XP_006416297.2, XP_024006818.1, XP_006412742.1	El004G231800, El001G044440
OG0000081	XP_024006465.1, XP_024006468.1	El006G319750
OG0000081	XP_006393087.2	El006G304570
OG0000081	XP_006400346.2	El001G062660
OG0000081	XP_006400362.1	El001G062500
OG0000082	XP_024009693.1	El004G212430
OG0000083	XP_006414117.2, XP_024005332.1, XP_006414114.1, XP_024005467.1	El007G352220, El007G352210
OG0000083	XP_024011615.1	El004G223260
OG0000083	XP_006406083.1	El005G262880, El005G263710, El005G263680, El005G263720, El005G262910
OG0000083	XP_024009012.1	El005G271260, El005G271250, El005G271160, El005G265390
OG0000083	XP_006405511.2	El006G313440
OG0000084	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180
OG0000084	XP_006405019.2	El006G316420
OG0000085	XP_024013061.1	El005G263080
OG0000086	XP_006408761.1, XP_006408760.1, XP_006408781.1, XP_006408766.1, XP_024016075.1, XP_006408779.2, XP_006408769.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408759.1, XP_006408777.1, XP_006408780.1, XP_006408778.1, XP_006408763.1, XP_006408768.1, XP_006408765.1, XP_024015891.1, XP_006408757.1, XP_006408758.1	El002G123600, El004G210560
OG0000087	XP_006404194.1	El001G018640
OG0000087	XP_006394642.1	El001G056180
OG0000087	XP_006410012.1	El006G303330
OG0000087	XP_006399740.1	El001G069260
OG0000087	XP_006410628.1	El006G296420
OG0000087	XP_006403108.1	El007G360740
OG0000087	XP_006413842.1	El003G165170
OG0000087	XP_006390273.1	El004G228430
OG0000088	XP_006404364.1	El001G017100, El005G272510
OG0000088	XP_024011698.1	El001G016960
OG0000088	XP_006404412.1	El001G016470
OG0000088	XP_024011446.1	El001G059590
OG0000089	XP_006399464.1	El001G072250
OG0000089	XP_006405819.1	El002G120830
OG0000089	XP_006406564.1	El002G133200
OG0000089	XP_006407369.1	El005G247910
OG0000089	XP_006410952.1	El006G292700
OG0000089	XP_006418890.1	El001G015710
OG0000090	XP_006416426.1	El002G104490, El003G181590
OG0000090	XP_006390250.1	El004G228750
OG0000090	XP_006402629.2	El003G147970
OG0000093	XP_006393541.2, XP_006393537.1	El005G270280
OG0000093	XP_024014492.1	El004G202240, El004G202270
OG0000093	XP_024006522.1, XP_024006521.1	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230
OG0000093	XP_024012757.1	El001G029840
OG0000096	XP_006395720.2	El001G038300
OG0000096	XP_006395727.1, XP_006395717.2	El001G038380, El001G038370
OG0000096	XP_024004738.1	El007G361830
OG0000096	XP_006398175.2	El007G362760
OG0000096	XP_024011109.1	El007G362830
OG0000097	XP_006417793.2	El001G004470
OG0000097	XP_006405546.1	El001G004400
OG0000098	XP_024008234.1	El002G095770
OG0000099	XP_006391682.2	El004G194890, El004G195030, El004G194980
OG0000100	XP_024013152.1	El003G172340, El006G312970
OG0000100	XP_024013365.1	El002G130910
OG0000101	XP_024014029.1	El004G195800
OG0000101	XP_024004369.1	El001G010940
OG0000104	XP_024006272.1	El002G136360
OG0000105	XP_024011316.1	El027G373450
OG0000106	XP_024014982.1, XP_006408882.1	El005G259530
OG0000106	XP_024009294.1, XP_006418661.2, XP_006418628.2	El006G306450, El005G269060, El005G269030, El005G268940
OG0000107	XP_024015177.1	El005G257840
OG0000107	XP_006406420.1	El001G039680, El005G258940
OG0000108	XP_006394690.1, XP_006404383.1, XP_006414046.1	El007G364310, El007G323300, El001G009690, El006G281400
OG0000109	XP_024014456.1	El001G071270
OG0000109	XP_024014096.1	El001G049940, El008G368450, El002G127890, El006G320930, El003G188420, El002G122420
OG0000109	XP_024004593.1	El001G018880
OG0000110	XP_006402710.1	El001G030790
OG0000110	XP_006402712.2	El001G030780
OG0000110	XP_006402715.1	El001G030750
OG0000111	XP_024014705.1, XP_024014617.1, XP_006405755.2, XP_024014786.1, XP_024014405.1, XP_006405613.2, XP_006405611.2, XP_006393001.2	El003G187720, El001G009620, El003G183560
OG0000111	XP_024014624.1	El003G187730
OG0000111	XP_006403516.1	El001G025790
OG0000112	XP_024012107.1	El007G342990
OG0000114	XP_024006571.1	El004G213600
OG0000114	XP_006399626.1	El001G070430
OG0000115	XP_024013331.1	El002G126950, El002G121910, El006G311440, El006G308990, El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700, El002G106750, El002G138260, El007G348280, El001G079740, El006G310420
OG0000118	XP_006390706.1, XP_006396340.2, XP_024009908.1, XP_024009900.1, XP_006414734.2	El005G262010
OG0000118	XP_006409739.1, XP_006409778.1, XP_006391257.1	El002G084120
OG0000119	XP_024009367.1	El005G265760, El001G013130, El007G355930
OG0000119	XP_024010311.1, XP_024010843.1, XP_024009910.1, XP_024004523.1	El002G124220
OG0000120	XP_006392103.1, XP_006392097.1	El004G200260
OG0000120	XP_006409474.2, XP_006398920.1	El001G077920
OG0000122	XP_006401333.2	El007G335590, El007G335600
OG0000122	XP_024012350.1	El007G335620, El007G335610
OG0000124	XP_024004501.1, XP_024004928.1	El004G213400, El002G123970, El005G272110
OG0000125	XP_006410934.1	El006G292880
OG0000125	XP_006400797.1	El001G057350
OG0000125	XP_006409905.1	El006G304720
OG0000127	XP_006415215.1	El005G244320
OG0000127	XP_024009346.1, XP_024014032.1, XP_006390920.2, XP_024014379.1, XP_024007923.1	El001G001730
OG0000128	XP_024011285.1	El003G173140
OG0000129	XP_024004086.1, XP_024007750.1, XP_024006458.1, XP_024014815.1, XP_024013979.1, XP_024009941.1, XP_024008002.1, XP_024013304.1, XP_024010557.1, XP_024013929.1, XP_024013647.1, XP_024011259.1, XP_024009747.1, XP_024009366.1, XP_024009279.1, XP_024004932.1, XP_024013309.1, XP_024011242.1, XP_024014409.1	El001G046120
OG0000131	XP_024013163.1	El007G346920
OG0000132	XP_006415357.2, XP_006404698.2	El005G264200
OG0000133	XP_024007614.1	El005G265050
OG0000133	XP_024007305.1	El001G044680
OG0000135	XP_024004065.1, XP_024016223.1, XP_024004923.1, XP_024006538.1, XP_024006075.1, XP_024012099.1, XP_024006572.1	El007G346110
OG0000136	XP_006390991.1	El004G215950, El004G215940
OG0000136	XP_006405815.1, XP_024014475.1	El004G209050, El004G209110
OG0000136	XP_006405877.2	El003G186400, El003G186460
OG0000136	XP_024014367.1	El003G186500
OG0000136	XP_006405821.2	El007G355150, El007G356600
OG0000137	XP_024014203.1	El003G191580
OG0000138	XP_006395269.1	El001G045840
OG0000138	XP_006395267.1	El001G045810, El001G045830
OG0000140	XP_006400988.1	El007G331970
OG0000140	XP_024011857.1	El007G332020
OG0000140	XP_024011989.1, XP_024011966.1, XP_024012425.1	El007G332560, El007G332570, El007G332540
OG0000140	XP_024012145.1	El007G332580, El007G332590
OG0000140	XP_006400992.1	El007G332010, El007G332000
OG0000142	XP_024003801.1	El006G303780
OG0000143	XP_024005012.1	El003G186130
OG0000144	XP_024004160.1	El007G351410
OG0000144	XP_024004159.1, XP_024015297.1	El007G351390
OG0000144	XP_024013228.1	El007G362000
OG0000146	XP_006401461.1	El007G336800
OG0000146	XP_006401460.1	El007G336790
OG0000146	XP_006401465.2	El007G336850
OG0000146	XP_006401462.1	El007G336810
OG0000146	XP_006401463.2	El007G336820
OG0000146	XP_006401466.1	El007G336870, El007G336880, El007G336910, El002G123070, El007G336890, El002G123110, El007G336920
OG0000147	XP_006409094.1	El005G277400
OG0000147	XP_024005341.1	El003G152940
OG0000147	XP_024012572.1	El007G334350
OG0000147	XP_006389820.1	El004G233720
OG0000147	XP_006419170.1	El001G047010
OG0000147	XP_006396088.1	El005G271430
OG0000147	XP_006404985.2	El006G316840
OG0000149	XP_024009527.1	El001G015560
OG0000150	XP_024009951.1	El006G312860
OG0000150	XP_006419033.2	El001G011280
OG0000151	XP_006401722.1	El007G339860
OG0000151	XP_024005195.1	El003G156070
OG0000151	XP_006407751.1	El005G243780
OG0000151	XP_006409398.1	El005G273960
OG0000151	XP_006401372.1	El007G336000
OG0000151	XP_006405318.1	El003G193180
OG0000152	XP_024006631.1, XP_024007301.1, XP_024007965.1	El006G310290
OG0000154	XP_006407676.1	El005G244620
OG0000155	XP_024009917.1	El001G002450, El001G002560, El001G002510, El001G002610
OG0000155	XP_024005112.1	El003G164690
OG0000155	XP_024009272.1, XP_006407382.2	El005G247790
OG0000156	XP_024012911.1	El001G032910
OG0000156	XP_024010825.1	El006G282820, El007G349010
OG0000156	XP_006410182.1	El006G282860
OG0000156	XP_024010761.1	El002G121590, El006G282830
OG0000157	XP_006416096.1	El003G192550, El003G192860
OG0000158	XP_006397174.2	El005G271000
OG0000158	XP_006397112.2	El001G001370, El001G007170, El001G007140
OG0000158	XP_006390521.2, XP_024007853.1	El006G298850
OG0000162	XP_024012914.1	El005G268830
OG0000162	XP_024012462.1	El007G330500
OG0000162	XP_024004704.1, XP_024010855.1	El006G283560, El006G283550
OG0000164	XP_024006417.1	El003G186050, El001G048320
OG0000164	XP_006411772.1	El003G143320
OG0000165	XP_024007228.1	El006G283540, El001G061740
OG0000166	XP_024013972.1	El004G197940
OG0000166	XP_024009948.1	El003G170640, El003G170650, El006G307980, El001G032810, El001G080610, El004G229180
OG0000167	XP_006413956.2	El003G166330
OG0000167	XP_024005579.1	El003G186190, El007G348790
OG0000167	XP_006393695.2	El003G166350
OG0000167	XP_006413960.1	El003G186120
OG0000168	XP_024009434.1	El002G109450
OG0000168	XP_024015940.1	El006G282840
OG0000168	XP_024007996.1	El007G366060, El007G366100
OG0000169	XP_006392322.2	El004G204650
OG0000171	XP_024015929.1, XP_006416080.1	El004G222060, El002G108810
OG0000171	XP_006417443.1	El004G201030
OG0000171	XP_024012404.1	El001G066810
OG0000172	XP_024015356.1, XP_006406628.2, XP_006402376.1	El001G024870, El001G024880
OG0000172	XP_006402375.2	El001G034730
OG0000172	XP_024012920.1	El001G030560
OG0000174	XP_024016025.1	El005G261670
OG0000175	XP_006409243.1	El001G021550
OG0000175	XP_006390262.1	El004G228610
OG0000175	XP_006416436.1	El002G104420
OG0000175	XP_006412162.1	El003G147420
OG0000175	XP_006412039.1	El003G146230
OG0000176	XP_006415425.1	El002G117480
OG0000177	XP_006396068.2	El004G208380, El005G239340, El002G123320, El001G053740, El007G348130
OG0000180	XP_006404944.1	El004G196870, El004G196830, El007G342850
OG0000181	XP_024006411.1, XP_024009429.1, XP_024009258.1, XP_024016372.1, XP_024006632.1, XP_024015899.1	El004G221180, El006G310720, El001G037070, El007G362960, El001G081130, El003G164550, El006G294400, El001G016930, El002G127660, El007G351590, El002G119200, El007G343640, El003G185610, El007G324810
OG0000183	XP_024013677.1, XP_024014473.1	El002G109930, El002G097230, El003G174400, El002G139010, El002G135320
OG0000183	XP_024016526.1	El002G109940, El003G170170, El006G283640
OG0000185	XP_024016314.1	El004G210290
OG0000185	XP_024009937.1	El004G197640, El001G013560, El001G037380, El004G194470, El007G338660, El001G004120, El001G048970, El006G317340, El007G342730, El007G358220
OG0000185	XP_024010233.1, XP_024014271.1, XP_024011288.1	El001G004130
OG0000187	XP_024004600.1	El003G151220
OG0000189	XP_006411787.1	El004G229250
OG0000189	XP_006412595.2	El005G268020
OG0000189	XP_006409103.1	El003G144180
OG0000190	XP_006396683.2	El001G005520, El001G005530
OG0000190	XP_024010194.1, XP_006396684.1	El001G005510
OG0000191	XP_024015686.1	El005G254650
OG0000191	XP_024012172.1	El005G274440, El005G274460, El005G274720
OG0000192	XP_024008190.1	El002G105680
OG0000192	XP_006416323.1	El002G105570
OG0000192	XP_006416321.2	El002G107880, El002G105580, El002G105610, El002G105620, El002G105690
OG0000193	XP_024014929.1, XP_024014930.1, XP_024015423.1, XP_024014935.1, XP_006406082.1, XP_006406087.1, XP_006406076.1	El006G309730
OG0000193	XP_024014991.1, XP_024006548.1	El005G259130
OG0000193	XP_024015693.1	El002G132160, El002G132130, El005G259240
OG0000195	XP_006408585.1	El006G308260
OG0000195	XP_006402949.1	El006G288320, El001G028150
OG0000195	XP_006405835.1, XP_006391396.1	El003G186220, El004G215670
OG0000196	XP_006415505.2	El002G116380
OG0000196	XP_006415606.2	El002G115030
OG0000197	XP_024009776.1, XP_006391273.1, XP_024005932.1, XP_024005928.1	El005G275730, El005G275770, El005G276170
OG0000200	XP_024016187.1, XP_024010305.1, XP_006397124.1, XP_006396952.1, XP_024010284.1	El002G119250
OG0000201	XP_006406033.1, XP_024014915.1	El005G260650, El005G260640
OG0000201	XP_006406221.2, XP_006406220.1	El005G260820
OG0000201	XP_006406218.1, XP_006391352.1	El005G260710
OG0000202	XP_006406722.1	El001G009350
OG0000202	XP_006403304.1	El005G254420
OG0000202	XP_006406160.1, XP_024014950.1	El005G261620, El005G261760
OG0000202	XP_024012507.1, XP_006400938.2, XP_024009330.1	El005G261630
OG0000203	XP_006408167.1	El005G239330, El005G239300, El005G239360, El005G239320, El005G239280, El007G349670
OG0000203	XP_006403294.1, XP_006413270.2	El005G238860
OG0000204	XP_006406140.1	El005G261570
OG0000204	XP_024014985.1	El005G259630
OG0000205	XP_024006540.1, XP_024006299.1, XP_024006462.1	El002G129620, El002G129730, El002G129760, El002G129780, El002G129740, El002G129710, El002G129660, El002G129670, El002G129810
OG0000206	XP_024006442.1, XP_024006834.1, XP_024003977.1, XP_024006206.1	El001G018920
OG0000207	XP_024009108.1	El002G100990
OG0000208	XP_006405350.1, XP_024014684.1	El002G130530, El002G130520
OG0000208	XP_006411750.1	El006G317590, El003G150670
OG0000210	XP_024015969.1	El001G038720, El005G269840, El005G269890, El005G269850
OG0000210	XP_024004125.1	El006G298860
OG0000210	XP_006410456.1	El006G297290, El006G297480, El006G298870, El006G298840
OG0000213	XP_006390568.1	El004G225470, El004G225480
OG0000213	XP_024015047.1	El005G245790
OG0000213	XP_024014309.1	El006G319110
OG0000213	XP_024013862.1	El006G319100
OG0000214	XP_006398075.1	El001G033600
OG0000214	XP_024009918.1	El006G314950
OG0000216	XP_024009180.1	El003G163460, El003G163490
OG0000217	XP_006392266.1	El004G202120
OG0000218	XP_006413529.1	El001G040840, El001G040850
OG0000218	XP_006395885.1, XP_006395886.1	El001G036390
OG0000219	XP_006391444.1	El004G216370
OG0000219	XP_006394298.1	El007G327350
OG0000219	XP_006394299.1	El007G339360
OG0000220	XP_024003647.1, XP_024003658.1	El008G369090
OG0000220	XP_006402068.1	El004G208200
OG0000220	XP_024006671.1	El001G037770
OG0000221	XP_024005026.1	El001G033310
OG0000224	XP_006390080.1	El004G230590
OG0000224	XP_006412567.1	El005G267900
OG0000225	XP_006415575.2	El002G115460, El002G115540, El002G115490, El002G115450
OG0000225	XP_006415569.1	El002G115470, El002G115510
OG0000228	XP_024007098.1	El004G222500
OG0000229	XP_006413298.1, XP_006412791.2	El003G153420
OG0000230	XP_024007004.1	El004G228550, El004G228570, El004G228580, El004G228600, El004G228560
OG0000231	XP_006402171.2, XP_006405728.2	El003G188200
OG0000234	XP_006403491.1	El001G026000
OG0000234	XP_006403492.1	El001G025990
OG0000234	XP_006403493.1	El001G025980
OG0000234	XP_006411161.1	El006G290620
OG0000234	XP_006399852.1	El001G068080
OG0000237	XP_024011339.1	El005G266480, El003G180350
OG0000238	XP_024013337.1, XP_024003652.1	El006G319450
OG0000241	XP_024010473.1, XP_024007230.1	El004G206480, El004G203420
OG0000242	XP_006417058.1	El002G097950
OG0000242	XP_024008759.1	El002G097970
OG0000242	XP_006417061.1	El002G097940
