Orthogroup	Conringia_planisiliqua	Cardamine_glauca
OG0000060	CP1_g40521_DN1_SP0_c.t1, CP6_g8728_DN2_SP0_c.t1, CP15_g34513_DN2_SP0_c.t1, CP26_g51317_DN2_SP0_c.t1, CP28_g33833_DN1_SP0_c.t1, CP5_g3440_DN1_SP0_c.t1, CP23_g21357_DN2_SP0_c.t1, CP18_g11519_DN1_SP0_c.t1, CP7_g44268_DN3_SP0_c.t1, CP8_g52493_DN1_SP0_c.t1, CP18_g11595_DN2_SP0_c.t1, CP6_g9762_DN2_SP0_c.t1, CP17_g6200_DN1_SP0_c.t1, CP28_g33789_DN3_SP0_c.t1, CP15_g35222_DN2_SP0_c.t1, CP4_g26566_DN2_SP0_c.t1, CP1_g39393_DN2_SP0_c.t1, CP9_g27602_DN1_SP0_c.t1, CP35_g52041_DN1_SP0_c.t1, CP3_g16147_DN1_SP0_c.t1, CP29_g22023_DN2_SP0_c.t1, CP23_g21362_DN2_SP0_c.t1, CP14_g23560_DN1_SP0_c.t1, CP1_g40045_DN1_SP0_c.t1, CP1_g39302_DN3_SP0_c.t1, CP14_g23290_DN3_SP0_c.t1, CP2_g50628_DN3_SP0_c.t1, CP1_g40977_DN1_SP0_c.t1, CP3_g15514_DN2_SP0_c.t1, CP3_g16309_DN3_SP0_c.t1, CP17_g5792_DN2_SP0_c.t1, CP18_g12096_DN1_SP0_c.t1, CP7_g44105_DN2_SP0_c.t1, CP15_g35072_DN1_SP0_c.t1, CP18_g11551_DN2_SP0_c.t1, CP6_g8880_DN3_SP0_c.t1, CP27_g41904_DN3_SP0_c.t1, CP23_g21444_DN1_SP0_c.t1, CP3_g16691_DN2_SP0_c.t1, CP2_g50559_DN2_SP0_c.t1, CP17_g4943_DN2_SP0_c.t1, CP28_g33906_DN3_SP0_c.t1, CP17_g6078_DN2_SP0_c.t1, CP33_g3690_DN2_SP0_c.t1, CP1_g38708_DN2_SP0_c.t1, CP59_g6671_DN2_SP0_c.t1, CP15_g34966_DN2_SP0_c.t1, CP24_g47456_DN2_SP0_c.t1, CP23_g21555_DN3_SP0_c.t1, CP23_g21696_DN3_SP0_c.t1, CP115_g10367_DN3_SP0_c.t1, CP23_g21502_DN2_SP0_c.t1, CP3_g16462_DN1_SP0_c.t1, CP3_g16619_DN1_SP0_c.t1, CP3_g16333_DN3_SP0_c.t1, CP6_g9846_DN2_SP0_c.t1, CP1_g40606_DN2_SP0_c.t1, CP6_g9555_DN1_SP0_c.t1, CP3_g16695_DN3_SP0_c.t1, CP4_g26744_DN1_SP0_c.t1	Cg001G034080
OG0000061	CP1_g40914_DN2_SP0_c.t1	Cg003G083990, Cg008G318200, Cg007G263690, Cg007G267630
OG0000063	CP8_g52772_DN3_SP0_c.t1	Cg005G168940
OG0000063	CP4_g25867_DN3_SP0_c.t1	Cg002G061320
OG0000064	CP5_g77_DN1_SP0_c.t1	Cg001G000750
OG0000064	CP4_g25364_DN3_SP0_c.t1	Cg005G172820
OG0000064	CP20_g3903_DN2_SP0_c.t1, CP8_g53270_DN3_SP0_c.t1, CP5_g2147_DN1_SP0_c.t1, CP4_g25752_DN2_SP0_c.t1	Cg008G325030
OG0000065	CP24_g47137_DN2_SP0_c.t1	Cg001G020190
OG0000066	CP4_g25642_DN3_SP0_c.t1	Cg008G290840
OG0000066	CP2_g49425_DN3_SP0_c.t1	Cg008G290850, Cg003G113360
OG0000067	CP12_g31237_DN3_SP0_c.t1	Cg004G154470
OG0000074	CP20_g4368_DN3_SP0_c.t1	Cg006G222230, Cg006G222200, Cg006G222240, Cg006G222220
OG0000074	CP7_g45432_DN3_SP0_c.t1	Cg006G222350
OG0000074	CP7_g45433_DN3_SP0_c.t1, CP7_g45431_DN3_SP0_c.t1	Cg006G222340
OG0000075	CP7_g44717_DN3_SP0_c.t1	Cg003G083750, Cg005G174740, Cg008G291500, Cg008G290800, Cg008G290770, Cg006G214290
OG0000075	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1	Cg006G218700, Cg008G301210
OG0000076	CP3_g14092_DN3_SP0_c.t1	Cg002G054100
OG0000076	CP13_g19766_DN3_SP0_c.t1	Cg007G272900, Cg002G071650
OG0000077	CP5_g173_DN1_SP0_c.t1	Cg004G151030
OG0000079	CP10_g42299_DN3_SP0_c.t1	Cg004G118210
OG0000079	CP16_g55065_DN3_SP0_c.t1	Cg002G047470
OG0000082	CP9_g27553_DN1_SP0_c.t1	Cg003G082510, Cg003G083500
OG0000083	CP22_g17376_DN1_SP0_c.t1	Cg004G140430
OG0000084	CP16_g55163_DN2_SP0_c.t1	Cg005G189580
OG0000087	CP2_g48308_DN3_SP8_c.t1	Cg008G303510
OG0000087	CP4_g25793_DN3_SP8_c.t1	Cg005G177380
OG0000087	CP2_g48035_DN3_SP7_c.t1	Cg003G110470
OG0000087	CP3_g14713_DN3_SP4_c.t1	Cg002G060160
OG0000087	CP11_g32707_DN3_SP8_c.t1	Cg008G292710
OG0000087	CP4_g25265_DN3_SP6_c.t1	Cg005G171830
OG0000087	CP13_g20168_DN3_SP8_c.t1	Cg008G320640
OG0000087	CP6_g6768_DN3_SP8_c.t1	Cg001G020160
OG0000087	CP9_g29223_DN3_SP8_c.t1	Cg007G276340
OG0000090	CP7_g45746_DN3_SP0_c.t1	Cg006G225800
OG0000090	CP1_g38197_DN2_SP0_c.t1, CP1_g38202_DN3_SP0_c.t1	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850
OG0000090	CP17_g5790_DN3_SP0_c.t1	Cg006G235770
OG0000093	CP3_g13515_DN3_SP0_c.t1	Cg002G047960
OG0000096	CP2_g49683_DN2_SP0_c.t1	Cg007G252880
OG0000096	CP13_g19516_DN3_SP0_c.t1	Cg002G073910
OG0000096	CP13_g20028_DN2_SP0_c.t1, CP13_g20031_DN1_SP0_c.t1	Cg008G322180
OG0000100	CP15_g35834_DN3_SP0_c.t1	Cg006G202960, Cg007G265000
OG0000100	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1	Cg008G316000
OG0000100	CP8_g52256_DN3_SP0_c.t1	Cg004G147730, Cg002G069740
OG0000102	CP14_g23881_DN1_SP0_c.t1	Cg001G040220
OG0000102	CP3_g16302_DN1_SP0_c.t1	Cg001G033570
OG0000104	CP4_g25846_DN3_SP0_c.t1	Cg005G178080
OG0000104	CP4_g25844_DN3_SP0_c.t1	Cg005G178050
OG0000106	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1	Cg008G322480, Cg001G042030
OG0000107	CP7_g44349_DN3_SP0_c.t1, CP7_g44362_DN3_SP0_c.t1	Cg005G182320
OG0000108	CP17_g5784_DN1_SP0_c.t1	Cg004G146470
OG0000109	CP3_g15613_DN2_SP0_c.t1	Cg008G318050
OG0000109	CP5_g3314_DN2_SP0_c.t1	Cg006G211600
OG0000109	CP1_g40029_DN1_SP0_c.t1, CP12_g31050_DN2_SP0_c.t1, CP13_g20454_DN2_SP0_c.t1, CP18_g12074_DN1_SP0_c.t1, CP6_g8582_DN2_SP0_c.t1, CP3_g15710_DN2_SP0_c.t1, CP12_g31527_DN3_SP0_c.t1, CP24_g47038_DN2_SP0_c.t1, CP3_g16737_DN2_SP0_c.t1, CP3_g14975_DN3_SP0_c.t1	Cg006G218300, Cg006G206180
OG0000110	CP3_g13458_DN3_SP0_c.t1	Cg002G047270
OG0000114	CP12_g31634_DN1_SP0_c.t1	Cg008G318090
OG0000117	CP5_g3262_DN3_SP0_c.t1, CP37_g11372_DN1_SP0_c.t1, CP2_g49793_DN2_SP0_c.t1, CP23_g21369_DN1_SP0_c.t1	Cg006G208080
OG0000117	CP12_g31116_DN2_SP0_c.t1, CP14_g23889_DN2_SP0_c.t1	Cg007G257800
OG0000117	CP94_g6387_DN3_SP0_c.t1	Cg004G155040, Cg014G333100, Cg005G179380, Cg001G030950
OG0000117	CP1_g41162_DN3_SP0_c.t1	Cg006G206330, Cg006G206270, Cg016G334370, Cg003G095540
OG0000118	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1	Cg002G054790, Cg002G054780, Cg006G212290
OG0000119	CP45_g22359_DN3_SP0_c.t1, CP29_g21958_DN3_SP0_c.t1, CP8_g54530_DN3_SP0_c.t1, CP8_g52687_DN2_SP0_c.t1, CP8_g52236_DN2_SP0_c.t1, CP5_g1847_DN2_SP0_c.t1	Cg003G096910, Cg005G178360
OG0000120	CP2_g49217_DN3_SP0_c.t1, CP2_g49209_DN1_SP0_c.t1	Cg007G250010, Cg007G249930
OG0000120	CP6_g8949_DN3_SP0_c.t1, CP20_g4168_DN3_SP0_c.t1, CP20_g4172_DN3_SP0_c.t1	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540
OG0000122	CP8_g53619_DN3_SP0_c.t1	Cg003G103810
OG0000123	CP7_g45076_DN3_SP0_c.t1	Cg006G218510, Cg006G218490
OG0000123	CP19_g18011_DN3_SP0_c.t1	Cg001G014420
OG0000123	CP5_g1625_DN3_SP0_c.t1	Cg001G029000, Cg001G029020
OG0000124	CP8_g54204_DN2_SP0_c.t1, CP22_g17175_DN1_SP0_c.t1	Cg008G309160
OG0000124	CP2_g49700_DN3_SP0_c.t1	Cg002G063920, Cg003G086460
OG0000125	CP3_g13990_DN2_SP0_c.t1, CP4_g24986_DN3_SP0_c.t1	Cg002G052860
OG0000125	CP11_g33621_DN2_SP0_c.t1, CP10_g42910_DN3_SP0_c.t1	Cg008G283340
OG0000125	CP8_g54114_DN3_SP0_c.t1	Cg008G302630
OG0000125	CP8_g54018_DN3_SP0_c.t1	Cg003G107610
OG0000125	CP3_g14833_DN3_SP0_c.t1	Cg002G061230, Cg002G061270
OG0000125	CP4_g25869_DN3_SP0_c.t1	Cg005G178390
OG0000126	CP95_g12689_DN3_SP0_c.t1, CP18_g12087_DN3_SP0_c.t1, CP3_g14120_DN3_SP0_c.t1, CP13_g20555_DN3_SP0_c.t1, CP9_g27971_DN3_SP0_c.t1, CP6_g8634_DN3_SP0_c.t1	Cg001G027760, Cg001G028690, Cg002G060390, Cg007G271870, Cg008G305740, Cg007G255150
OG0000127	CP5_g1412_DN3_SP0_c.t1	Cg008G282750
OG0000127	CP10_g42882_DN3_SP0_c.t1, CP3_g14752_DN3_SP0_c.t1, CP17_g6016_DN3_SP0_c.t1	Cg004G124780
OG0000127	CP6_g7448_DN3_SP0_c.t1, CP12_g30884_DN3_SP0_c.t1, CP12_g30885_DN3_SP0_c.t1, CP12_g30886_DN1_SP0_c.t1	Cg007G262280
OG0000128	CP6_g9543_DN2_SP0_c.t1	Cg001G020220
OG0000131	CP3_g14116_DN1_SP0_c.t1	Cg002G057540
OG0000131	CP2_g49797_DN1_SP0_c.t1	Cg008G315100
OG0000132	CP15_g34919_DN3_SP0_c.t1	Cg001G031120, Cg001G029490
OG0000132	CP8_g52858_DN3_SP0_c.t1	Cg008G315710, Cg008G321260, Cg008G315700, Cg008G321280
OG0000133	CP16_g55355_DN3_SP0_c.t1, CP1_g38831_DN3_SP0_c.t1, CP1_g38743_DN3_SP0_c.t1, CP16_g55379_DN3_SP0_c.t1, CP18_g11525_DN3_SP0_c.t1, CP29_g21957_DN3_SP0_c.t1, CP1_g38828_DN3_SP0_c.t1, CP15_g34799_DN3_SP0_c.t1, CP16_g55378_DN1_SP0_c.t1, CP17_g5408_DN3_SP0_c.t1, CP6_g8172_DN3_SP0_c.t1, CP1_g38774_DN3_SP0_c.t1, CP25_g56000_DN3_SP0_c.t1, CP12_g31312_DN3_SP0_c.t1, CP31_g46783_DN3_SP0_c.t1, CP3_g16732_DN3_SP0_c.t1, CP3_g16786_DN3_SP0_c.t1, CP6_g9687_DN3_SP0_c.t1, CP1_g39364_DN3_SP0_c.t1, CP17_g6255_DN3_SP0_c.t1, CP9_g27528_DN3_SP0_c.t1, CP7_g44180_DN3_SP0_c.t1, CP15_g34601_DN3_SP0_c.t1, CP6_g8795_DN3_SP0_c.t1, CP15_g35572_DN3_SP0_c.t1, CP1_g40804_DN3_SP0_c.t1, CP17_g4997_DN3_SP0_c.t1, CP2_g50653_DN3_SP0_c.t1, CP22_g17525_DN3_SP0_c.t1, CP12_g31604_DN3_SP0_c.t1, CP15_g35987_DN3_SP0_c.t1, CP18_g11529_DN3_SP0_c.t1, CP23_g21575_DN3_SP0_c.t1, CP17_g4998_DN3_SP0_c.t1, CP31_g46845_DN3_SP0_c.t1, CP36_g50997_DN3_SP0_c.t1, CP1_g40805_DN3_SP0_c.t1	Cg007G269340
OG0000133	CP10_g44074_DN3_SP0_c.t1, CP21_g10968_DN3_SP0_c.t1, CP6_g8815_DN3_SP0_c.t1	Cg003G084500, Cg005G185150, Cg004G141220
OG0000135	CP18_g12231_DN1_SP0_c.t1, CP10_g43851_DN2_SP0_c.t1, CP14_g22663_DN1_SP0_c.t1, CP3_g15131_DN1_SP0_c.t1, CP5_g1428_DN2_SP0_c.t1, CP8_g52523_DN1_SP0_c.t1, CP5_g2025_DN2_SP0_c.t1, CP6_g7882_DN2_SP0_c.t1, CP20_g4161_DN1_SP0_c.t1, CP3_g15628_DN2_SP0_c.t1	Cg004G138210
OG0000136	CP5_g1706_DN3_SP0_c.t1, CP5_g1838_DN3_SP0_c.t1, CP45_g22371_DN3_SP0_c.t1, CP20_g3814_DN1_SP0_c.t1, CP271_g11211_DN3_SP0_c.t1, CP45_g22369_DN3_SP0_c.t1, CP11_g31887_DN3_SP0_c.t1	Cg001G037040
OG0000137	CP14_g23405_DN1_SP0_c.t1	Cg001G031800
OG0000138	CP5_g1570_DN1_SP0_c.t1, CP16_g55313_DN2_SP0_c.t1, CP1_g38227_DN3_SP0_c.t1	Cg001G039000
OG0000138	CP2_g48868_DN3_SP0_c.t1	Cg002G067580, Cg002G067290
OG0000140	CP17_g5869_DN3_SP0_c.t1	Cg003G106450
OG0000144	CP50_g6557_DN2_SP0_c.t1, CP6_g9628_DN1_SP0_c.t1, CP18_g11553_DN2_SP0_c.t1, CP12_g31721_DN2_SP0_c.t1, CP3_g16438_DN3_SP0_c.t1, CP3_g16756_DN2_SP0_c.t1, CP3_g16698_DN2_SP0_c.t1, CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1, CP2_g50476_DN3_SP0_c.t1, CP35_g52082_DN2_SP0_c.t1, CP26_g51199_DN3_SP0_c.t1	Cg005G182040
OG0000147	CP10_g43624_DN3_SP8_c.t1	Cg004G155250
OG0000147	CP5_g984_DN3_SP8_c.t1	Cg001G010340
OG0000147	CP8_g53733_DN3_SP8_c.t1	Cg003G104960
OG0000147	CP9_g29643_DN3_SP8_c.t1	Cg007G280860
OG0000147	CP17_g5850_DN3_SP8_c.t1	Cg004G146670
OG0000147	CP16_g55126_DN3_SP8_c.t1	Cg005G189880
OG0000149	CP3_g14788_DN3_SP0_c.t1	Cg002G060900
OG0000149	CP3_g14786_DN3_SP0_c.t1	Cg002G060880
OG0000149	CP8_g53987_DN3_SP0_c.t1	Cg003G107300, Cg003G107310
OG0000149	CP8_g53985_DN3_SP0_c.t1	Cg003G082350, Cg003G107280
OG0000151	CP8_g53294_DN3_SP8_c.t1	Cg003G100170
OG0000151	CP5_g1205_DN3_SP7_c.t1	Cg001G012710
OG0000151	CP10_g42832_DN3_SP8_c.t1	Cg004G124340
OG0000151	CP10_g43893_DN3_SP8_c.t1	Cg004G152640
OG0000151	CP8_g53599_DN3_SP8_c.t1	Cg003G103430
OG0000151	CP19_g17855_DN3_SP6_c.t1, CP13_g19098_DN3_SP8_c.t1	Cg007G246070
OG0000152	CP14_g23751_DN3_SP0_c.t1	Cg006G206580
OG0000158	CP4_g24795_DN1_SP0_c.t1	Cg005G184100
OG0000160	CP15_g35836_DN2_SP0_c.t1	Cg007G264990, Cg006G202970
OG0000160	CP15_g35835_DN2_SP0_c.t1	Cg003G091850
OG0000161	CP2_g48114_DN3_SP0_c.t1	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820
OG0000161	CP10_g43808_DN3_SP0_c.t1, CP9_g27597_DN3_SP0_c.t1	Cg007G261320
OG0000161	CP10_g42426_DN3_SP0_c.t1	Cg007G257190
OG0000162	CP16_g55105_DN3_SP0_c.t1	Cg002G046140
OG0000165	CP6_g7697_DN1_SP0_c.t1, CP10_g43760_DN1_SP0_c.t1	Cg009G325660
OG0000167	CP6_g6855_DN3_SP0_c.t1	Cg001G021130
OG0000167	CP1_g38820_DN1_SP0_c.t1, CP1_g38769_DN2_SP0_c.t1, CP1_g38811_DN2_SP0_c.t1	Cg001G021160
OG0000169	CP16_g55346_DN3_SP0_c.t1	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840
OG0000171	CP4_g24004_DN3_SP6_c.t1	Cg002G044340
OG0000171	CP9_g28660_DN3_SP6_c.t1, CP7_g45435_DN3_SP8_c.t1	Cg007G270890
OG0000171	CP11_g32500_DN3_SP8_c.t1	Cg008G294880
OG0000174	CP2_g50320_DN1_SP0_c.t1	Cg009G325780, Cg006G205480
OG0000175	CP10_g43741_DN3_SP4_c.t1	Cg002G055540
OG0000175	CP9_g29229_DN3_SP8_c.t1	Cg007G276430
OG0000175	CP7_g45756_DN3_SP8_c.t1	Cg006G225880
OG0000175	CP5_g509_DN3_SP8_c.t1	Cg001G005230
OG0000175	CP5_g414_DN3_SP8_c.t1	Cg001G004130
OG0000177	CP56_g20992_DN1_SP0_c.t1, CP18_g11993_DN2_SP0_c.t1, CP20_g4066_DN2_SP0_c.t1	Cg007G261230
OG0000178	CP15_g35837_DN2_SP0_c.t1	Cg014G331270
OG0000178	CP1_g41084_DN2_SP0_c.t1, CP14_g22990_DN1_SP0_c.t1, CP5_g1995_DN2_SP0_c.t1, CP1_g41085_DN2_SP0_c.t1	Cg002G069730, Cg002G066500
OG0000180	CP2_g48010_DN3_SP0_c.t1	Cg007G279310
OG0000184	CP9_g27599_DN3_SP0_c.t1, CP15_g34572_DN3_SP0_c.t1, CP3_g16448_DN1_SP0_c.t1	Cg006G215550
OG0000185	CP2_g49134_DN3_SP0_c.t1, CP14_g23074_DN2_SP0_c.t1, CP5_g2106_DN1_SP0_c.t1	Cg003G098770
OG0000187	CP1_g38275_DN3_SP0_c.t1	Cg001G008920
OG0000191	CP5_g1266_DN3_SP0_c.t1	Cg003G087540
OG0000191	CP12_g30107_DN3_SP0_c.t1	Cg004G134260
OG0000192	CP7_g45651_DN3_SP1_c.t1	Cg006G224780
OG0000193	CP12_g30688_DN2_SP0_c.t1	Cg004G140730
OG0000195	CP4_g26440_DN3_SP8_c.t1	Cg005G182280
OG0000195	CP3_g13675_DN3_SP8_c.t1	Cg002G049520, Cg005G164920
OG0000195	CP5_g1726_DN3_SP8_c.t1	Cg001G036760
OG0000202	CP6_g7458_DN2_SP0_c.t1	Cg004G133650
