Orthogroup	Conringia_planisiliqua	Euclidium_syriacum
OG0000005	CP15_g34531_DN3_SP0_c.t1, CP3_g15929_DN2_SP0_c.t1	ESY6_g47366_DN1_SP0_c0.t1
OG0000005	CP18_g12172_DN1_SP0_c.t1, CP1_g38969_DN1_SP0_c.t1, CP9_g27577_DN3_SP0_c.t1	ESY1_g10225_DN1_SP0_c0.t1
OG0000005	CP4_g26231_DN1_SP0_c.t1, CP9_g27889_DN1_SP0_c.t1, CP4_g26940_DN2_SP0_c.t1	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1
OG0000005	CP9_g27694_DN1_SP0_c.t1	ESY11_g53352_DN1_SP0_c0.t1
OG0000007	CP18_g11997_DN3_SP0_c.t1, CP2_g50571_DN2_SP0_c.t1, CP3_g14987_DN2_SP0_c.t1, CP5_g2400_DN1_SP0_c.t1, CP18_g12262_DN2_SP0_c.t1	ESY7_g16535_DN2_SP0_c0.t1
OG0000007	CP1_g40635_DN2_SP0_c.t1	ESY13_g56017_DN1_SP0_c0.t1
OG0000007	CP2_g49679_DN1_SP0_c.t1, CP6_g9325_DN2_SP0_c.t1, CP5_g2385_DN1_SP0_c.t1	ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1
OG0000007	CP7_g45049_DN1_SP0_c.t1	ESY3_g27887_DN2_SP0_c0.t1
OG0000007	CP8_g52615_DN2_SP0_c.t1	ESY5_g3140_DN1_SP0_c0.t1
OG0000007	CP22_g17660_DN2_SP0_c.t1	ESY9_g43384_DN2_SP0_c0.t1
OG0000007	CP42_g27277_DN1_SP0_c.t1, CP17_g6015_DN1_SP0_c.t1, CP18_g12501_DN1_SP0_c.t1, CP7_g45495_DN1_SP0_c.t1, CP1_g39688_DN1_SP0_c.t1	ESY14_g19959_DN1_SP0_c0.t1
OG0000007	CP8_g52821_DN1_SP0_c.t1	ESY2_g36604_DN3_SP0_c0.t1
OG0000007	CP9_g27797_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1, CP12_g30577_DN2_SP0_c.t1, CP25_g55831_DN3_SP0_c.t1, CP28_g34012_DN1_SP0_c.t1, CP6_g8175_DN3_SP0_c.t1, CP2_g50561_DN2_SP0_c.t1, CP13_g20778_DN3_SP0_c.t1, CP24_g47107_DN1_SP0_c.t1, CP5_g2387_DN3_SP0_c.t1, CP7_g44192_DN2_SP0_c.t1, CP84_g51831_DN2_SP0_c.t1, CP5_g2386_DN1_SP0_c.t1, CP7_g44193_DN1_SP0_c.t1, CP18_g12259_DN2_SP0_c.t1, CP3_g14989_DN1_SP0_c.t1, CP1_g40811_DN1_SP0_c.t1, CP3_g14602_DN2_SP0_c.t1, CP27_g41817_DN2_SP0_c.t1, CP3_g15795_DN1_SP0_c.t1, CP2_g49678_DN3_SP0_c.t1, CP5_g2382_DN2_SP0_c.t1	ESY19_g41595_DN1_SP0_c0.t1
OG0000007	CP27_g41818_DN2_SP0_c.t1, CP9_g27696_DN1_SP0_c.t1, CP1_g40809_DN2_SP0_c.t1, CP84_g51830_DN2_SP0_c.t1, CP4_g26146_DN1_SP0_c.t1, CP17_g5534_DN1_SP0_c.t1, CP4_g26293_DN1_SP0_c.t1, CP8_g52685_DN1_SP0_c.t1, CP16_g55411_DN2_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1, CP18_g12295_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1, CP9_g28197_DN3_SP0_c.t1, CP28_g33903_DN1_SP0_c.t1, CP3_g15796_DN1_SP0_c.t1	ESY6_g47093_DN2_SP0_c0.t1
OG0000008	CP14_g23480_DN3_SP0_c.t1, CP5_g2806_DN2_SP0_c.t1, CP64_g21088_DN3_SP0_c.t1, CP8_g52854_DN2_SP0_c.t1, CP27_g41699_DN2_SP0_c.t1, CP5_g2304_DN1_SP0_c.t1, CP7_g44274_DN3_SP0_c.t1	ESY15_g64840_DN3_SP0_c0.t1
OG0000012	CP35_g52033_DN3_SP0_c.t1	ESY8_g61320_DN3_SP0_c0.t1
OG0000013	CP17_g5825_DN2_SP0_c.t1	ESY10_g14513_DN2_SP0_c0.t1
OG0000013	CP26_g51269_DN2_SP0_c.t1, CP14_g22654_DN2_SP0_c.t1, CP6_g9376_DN1_SP0_c.t1, CP33_g3610_DN1_SP0_c.t1, CP3_g15651_DN3_SP0_c.t1	ESY8_g60272_DN2_SP0_c0.t1
OG0000015	CP18_g12234_DN1_SP0_c.t1, CP7_g44210_DN2_SP0_c.t1, CP7_g44211_DN2_SP0_c.t1	ESY13_g56278_DN1_SP0_c1.t1, ESY4_g24528_DN1_SP0_c0.t1
OG0000015	CP9_g28182_DN2_SP0_c.t1	ESY10_g15713_DN2_SP0_c0.t1
OG0000015	CP27_g41927_DN1_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP1_g39589_DN1_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP3_g15512_DN1_SP0_c.t1, CP3_g15767_DN1_SP0_c.t1	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1
OG0000015	CP22_g17112_DN1_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP9_g27744_DN1_SP0_c.t1	ESY5_g1619_DN2_SP0_c2.t1, ESY4_g23103_DN1_SP0_c0.t1
OG0000015	CP14_g23594_DN3_SP0_c.t1, CP2_g50255_DN1_SP0_c.t1, CP8_g52640_DN2_SP0_c.t1	ESY4_g23101_DN1_SP0_c72.t1
OG0000015	CP7_g44381_DN2_SP0_c.t1	ESY6_g46006_DN2_SP0_c14.t1
OG0000015	CP12_g31767_DN3_SP0_c.t1	ESY14_g21116_DN2_SP0_c1.t1
OG0000015	CP2_g50727_DN3_SP0_c.t1	ESY7_g16245_DN2_SP0_c0.t1
OG0000015	CP12_g31541_DN2_SP0_c.t1	ESY11_g53315_DN2_SP0_c0.t1
OG0000015	CP3_g15510_DN3_SP0_c.t1	ESY3_g28799_DN2_SP0_c0.t1
OG0000017	CP3_g16638_DN2_SP0_c.t1, CP28_g33976_DN2_SP0_c.t1	ESY1_g7308_DN3_SP0_c0.t1, ESY18_g63484_DN3_SP0_c0.t1
OG0000017	CP50_g6576_DN2_SP0_c.t1	ESY5_g765_DN2_SP0_c0.t1, ESY15_g65202_DN2_SP0_c0.t1, ESY4_g24554_DN3_SP0_c31.t1, ESY7_g16670_DN3_SP0_c0.t1
OG0000017	CP1_g40651_DN3_SP0_c.t1, CP35_g52005_DN3_SP0_c.t1	ESY6_g46671_DN2_SP0_c83.t1, ESY23_g73_DN3_SP0_c0.t1, ESY1_g8955_DN2_SP0_c0.t1, ESY14_g20322_DN1_SP0_c0.t1, ESY13_g57019_DN3_SP0_c0.t1, ESY6_g47831_DN2_SP0_c0.t1, ESY4_g22920_DN3_SP0_c0.t1
OG0000017	CP6_g8460_DN3_SP0_c.t1	ESY13_g56796_DN1_SP0_c0.t1
OG0000017	CP44_g20955_DN3_SP0_c.t1	ESY15_g65461_DN2_SP0_c0.t1
OG0000017	CP6_g9455_DN3_SP0_c.t1	ESY11_g52417_DN3_SP0_c0.t1, ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1
OG0000019	CP14_g23710_DN2_SP0_c.t1	ESY5_g2563_DN2_SP0_c0.t1
OG0000019	CP47_g21270_DN3_SP0_c.t1	ESY6_g48254_DN3_SP0_c48.t1, ESY8_g60783_DN3_SP0_c0.t1
OG0000019	CP18_g11548_DN1_SP0_c.t1	ESY24_g33175_DN3_SP0_c2.t1
OG0000019	CP14_g23600_DN3_SP0_c.t1, CP9_g27502_DN3_SP0_c.t1, CP15_g35899_DN2_SP0_c.t1	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1
OG0000019	CP14_g23599_DN3_SP0_c.t1, CP8_g52577_DN3_SP0_c.t1	ESY1_g6718_DN1_SP0_c0.t1, ESY4_g23292_DN2_SP0_c93.t1, ESY6_g49770_DN3_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1
OG0000020	CP27_g41695_DN1_SP0_c.t1	ESY11_g52738_DN2_SP0_c0.t1
OG0000020	CP25_g55997_DN1_SP0_c.t1	ESY1_g7080_DN3_SP0_c33.t1
OG0000020	CP14_g23530_DN1_SP0_c.t1	ESY3_g28065_DN2_SP0_c0.t1
OG0000021	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1	ESY9_g45027_DN2_SP0_c0.t1
OG0000021	CP6_g7966_DN2_SP0_c.t1	ESY7_g19226_DN2_SP0_c46.t1
OG0000021	CP9_g27700_DN2_SP0_c.t1, CP7_g45412_DN1_SP0_c.t1, CP9_g27699_DN2_SP0_c.t1	ESY4_g24688_DN1_SP0_c0.t1
OG0000021	CP5_g2151_DN1_SP0_c.t1, CP3_g15599_DN1_SP0_c.t1	ESY9_g43535_DN3_SP0_c0.t1
OG0000024	CP6_g9610_DN1_SP0_c.t1, CP18_g12115_DN1_SP0_c.t1, CP14_g23581_DN3_SP0_c.t1, CP8_g52388_DN2_SP0_c.t1, CP24_g47278_DN1_SP0_c.t1, CP31_g46771_DN2_SP0_c.t1, CP25_g55808_DN2_SP0_c.t1, CP22_g17631_DN1_SP0_c.t1, CP6_g9314_DN1_SP0_c.t1, CP22_g17429_DN2_SP0_c.t1, CP6_g8243_DN1_SP0_c.t1, CP3_g16173_DN1_SP0_c.t1, CP34_g51508_DN2_SP0_c.t1, CP1_g39521_DN3_SP0_c.t1, CP3_g14760_DN3_SP0_c.t1, CP9_g27342_DN1_SP0_c.t1, CP12_g31107_DN1_SP0_c.t1, CP18_g11891_DN2_SP0_c.t1, CP22_g17483_DN2_SP0_c.t1	ESY6_g47516_DN2_SP0_c0.t1
OG0000025	CP10_g43844_DN3_SP0_c.t1	ESY4_g25969_DN1_SP0_c10.t1
OG0000026	CP3_g15520_DN1_SP0_c.t1, CP12_g31501_DN2_SP0_c.t1	ESY1_g10661_DN2_SP0_c99.t1
OG0000027	CP2_g48829_DN3_SP0_c.t1	ESY1_g12041_DN3_SP0_c0.t1, ESY7_g16494_DN2_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY12_g51878_DN2_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1
OG0000028	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1	ESY6_g48344_DN1_SP0_c0.t1, ESY1_g6329_DN2_SP0_c0.t1
OG0000028	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	ESY5_g1247_DN2_SP0_c0.t1
OG0000028	CP17_g5929_DN1_SP0_c.t1	ESY10_g13703_DN2_SP0_c0.t1
OG0000028	CP17_g5930_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1, CP4_g26314_DN1_SP0_c.t1	ESY10_g14733_DN2_SP0_c0.t1
OG0000029	CP22_g17304_DN2_SP0_c.t1, CP29_g22076_DN3_SP0_c.t1	ESY13_g57677_DN1_SP0_c0.t1
OG0000030	CP15_g34874_DN3_SP0_c.t1	ESY17_g39785_DN1_SP0_c100.t1
OG0000030	CP8_g52167_DN3_SP0_c.t1	ESY1_g9008_DN2_SP0_c16.t1
OG0000034	CP6_g8131_DN3_SP0_c.t1	ESY4_g23032_DN3_SP0_c100.t1
OG0000035	CP9_g28258_DN1_SP0_c.t1	ESY5_g5237_DN2_SP0_c0.t1, ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1
OG0000035	CP4_g24241_DN1_SP0_c.t1	ESY1_g12282_DN1_SP0_c0.t1
OG0000036	CP13_g20701_DN3_SP0_c.t1	ESY15_g65727_DN2_SP0_c85.t1
OG0000036	CP17_g5406_DN1_SP0_c.t1	ESY13_g56710_DN1_SP0_c0.t1
OG0000037	CP1_g38898_DN1_SP0_c.t1, CP1_g38897_DN1_SP0_c.t1, CP13_g20574_DN2_SP0_c.t1, CP24_g47339_DN2_SP0_c.t1, CP3_g15633_DN2_SP0_c.t1, CP21_g11009_DN3_SP0_c.t1, CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1, CP1_g41262_DN3_SP0_c.t1, CP3_g16790_DN1_SP0_c.t1, CP8_g52351_DN2_SP0_c.t1, CP15_g35754_DN1_SP0_c.t1, CP6_g8155_DN1_SP0_c.t1	ESY21_g55396_DN1_SP0_c0.t1
OG0000038	CP7_g45289_DN3_SP0_c.t1	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1
OG0000038	CP3_g13999_DN3_SP0_c.t1	ESY1_g11096_DN3_SP0_c0.t1
OG0000040	CP11_g31940_DN3_SP0_c.t1	ESY9_g43210_DN3_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000040	CP10_g43326_DN2_SP0_c.t1	ESY3_g30190_DN1_SP0_c0.t1, ESY10_g14483_DN1_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1
OG0000040	CP13_g19590_DN2_SP0_c.t1	ESY5_g3801_DN1_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1
OG0000040	CP10_g43630_DN1_SP0_c.t1	ESY3_g29392_DN3_SP0_c0.t1
OG0000041	CP6_g8603_DN3_SP0_c.t1	ESY1_g8855_DN3_SP0_c0.t1
OG0000041	CP28_g33946_DN3_SP0_c.t1, CP17_g5982_DN2_SP0_c.t1, CP44_g20924_DN3_SP0_c.t1, CP5_g3239_DN2_SP0_c.t1, CP6_g8923_DN1_SP0_c.t1, CP15_g35112_DN3_SP0_c.t1	ESY11_g52547_DN2_SP0_c0.t1, ESY14_g20612_DN2_SP0_c0.t1
OG0000041	CP3_g15052_DN3_SP0_c.t1, CP6_g8602_DN3_SP0_c.t1, CP2_g50506_DN3_SP0_c.t1, CP7_g44313_DN1_SP0_c.t1, CP53_g22289_DN2_SP0_c.t1, CP65_g4495_DN2_SP0_c.t1, CP53_g22322_DN1_SP0_c.t1, CP47_g21235_DN3_SP0_c.t1, CP1_g41348_DN1_SP0_c.t1	ESY1_g9068_DN2_SP0_c0.t1
OG0000041	CP1_g38907_DN1_SP0_c.t1, CP4_g26167_DN1_SP0_c.t1, CP12_g31565_DN1_SP0_c.t1, CP14_g22693_DN3_SP0_c.t1, CP6_g8922_DN3_SP0_c.t1, CP25_g55864_DN3_SP0_c.t1, CP18_g12002_DN1_SP0_c.t1, CP9_g27944_DN3_SP0_c.t1, CP13_g20694_DN3_SP0_c.t1, CP9_g27991_DN3_SP0_c.t1, CP1_g41097_DN3_SP0_c.t1, CP34_g51561_DN2_SP0_c.t1	ESY14_g19904_DN1_SP0_c0.t1
OG0000041	CP1_g40152_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1	ESY8_g58625_DN1_SP0_c0.t1
OG0000041	CP25_g55865_DN2_SP0_c.t1, CP34_g51562_DN2_SP0_c.t1	ESY13_g56165_DN1_SP0_c0.t1
OG0000041	CP17_g5495_DN1_SP0_c.t1, CP9_g28010_DN1_SP0_c.t1, CP31_g46691_DN1_SP0_c.t1, CP23_g21573_DN1_SP0_c.t1, CP12_g31427_DN1_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1, CP14_g23437_DN2_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP1_g39140_DN2_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1	ESY11_g52546_DN2_SP0_c0.t1, ESY4_g24970_DN3_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1
OG0000042	CP5_g2115_DN2_SP0_c.t1	ESY7_g16531_DN2_SP0_c0.t1, ESY7_g17207_DN1_SP0_c0.t1
OG0000042	CP11_g31841_DN1_SP0_c.t1	ESY5_g2557_DN3_SP0_c0.t1
OG0000042	CP19_g18411_DN2_SP0_c.t1	ESY9_g43776_DN1_SP0_c0.t1
OG0000044	CP8_g52809_DN3_SP0_c.t1	ESY15_g65758_DN2_SP0_c100.t1
OG0000044	CP15_g34716_DN3_SP0_c.t1	ESY14_g21426_DN1_SP0_c0.t1
OG0000045	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1, ESY10_g15212_DN1_SP0_c0.t1
OG0000045	CP15_g34638_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1, CP6_g7550_DN1_SP0_c.t1	ESY5_g789_DN1_SP0_c0.t1
OG0000046	CP5_g1580_DN2_SP0_c.t1	ESY1_g11993_DN3_SP0_c13.t1
OG0000046	CP5_g1666_DN1_SP0_c.t1	ESY4_g25771_DN2_SP0_c0.t1
OG0000047	CP2_g50481_DN2_SP0_c.t1, CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1	ESY3_g28898_DN3_SP0_c0.t1
OG0000049	CP12_g31464_DN1_SP0_c.t1, CP1_g39918_DN2_SP0_c.t1, CP1_g39386_DN1_SP0_c.t1	ESY14_g19727_DN2_SP0_c0.t1, ESY1_g6062_DN3_SP0_c100.t1, ESY21_g55401_DN3_SP0_c0.t1
OG0000049	CP3_g15154_DN3_SP0_c.t1, CP14_g23198_DN3_SP0_c.t1	ESY8_g61336_DN1_SP0_c0.t1
OG0000050	CP18_g11588_DN2_SP0_c.t1	ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1
OG0000050	CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1, CP20_g4061_DN2_SP0_c.t1, CP12_g31035_DN3_SP0_c.t1, CP36_g50953_DN2_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1
OG0000050	CP1_g40825_DN2_SP0_c.t1	ESY7_g16267_DN1_SP0_c0.t1
OG0000050	CP7_g44165_DN3_SP0_c.t1	ESY17_g40168_DN2_SP0_c0.t1
OG0000050	CP22_g17665_DN2_SP0_c.t1	ESY14_g20664_DN3_SP0_c0.t1
OG0000050	CP6_g9071_DN2_SP0_c.t1	ESY1_g8355_DN3_SP0_c0.t1
OG0000050	CP1_g40964_DN3_SP0_c.t1	ESY1_g9427_DN1_SP0_c0.t1
OG0000052	CP4_g24481_DN3_SP0_c.t1	ESY5_g2704_DN3_SP0_c0.t1
OG0000052	CP1_g36582_DN3_SP0_c.t1	ESY12_g51256_DN3_SP0_c0.t1
OG0000052	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1	ESY5_g2706_DN3_SP0_c11.t1
OG0000052	CP4_g24480_DN3_SP0_c.t1	ESY5_g2705_DN3_SP0_c0.t1
OG0000053	CP12_g31611_DN2_SP0_c.t1	ESY6_g48253_DN3_SP0_c0.t1, ESY8_g60784_DN3_SP0_c0.t1, ESY11_g53017_DN1_SP0_c0.t1, ESY11_g53896_DN3_SP0_c0.t1, ESY1_g9125_DN2_SP0_c0.t1
OG0000054	CP3_g15706_DN3_SP0_c.t1, CP3_g15691_DN3_SP0_c.t1	ESY5_g2306_DN3_SP0_c0.t1
OG0000054	CP5_g2131_DN3_SP0_c.t1	ESY18_g63621_DN3_SP0_c0.t1
OG0000055	CP2_g49071_DN3_SP0_c.t1	ESY2_g33757_DN3_SP0_c0.t1
OG0000055	CP2_g49072_DN2_SP0_c.t1	ESY2_g33759_DN3_SP0_c0.t1
OG0000055	CP2_g49067_DN3_SP0_c.t1	ESY2_g33775_DN1_SP0_c0.t1
OG0000055	CP2_g49080_DN3_SP0_c.t1	ESY2_g33772_DN2_SP0_c0.t1, ESY2_g33750_DN3_SP0_c0.t1, ESY2_g33773_DN1_SP0_c0.t1, ESY2_g33758_DN3_SP0_c0.t1, ESY2_g33753_DN3_SP0_c0.t1, ESY2_g33752_DN3_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33746_DN3_SP0_c0.t1
OG0000055	CP2_g49077_DN3_SP0_c.t1	ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33767_DN3_SP0_c0.t1
OG0000056	CP6_g9758_DN1_SP0_c.t1, CP17_g5883_DN3_SP0_c.t1	ESY3_g28498_DN2_SP0_c0.t1
OG0000056	CP2_g49697_DN3_SP0_c.t1	ESY2_g37912_DN2_SP0_c0.t1
OG0000056	CP12_g31151_DN1_SP0_c.t1, CP14_g23418_DN2_SP0_c.t1	ESY4_g23383_DN2_SP0_c0.t1
OG0000056	CP24_g47158_DN2_SP0_c.t1	ESY3_g31973_DN1_SP0_c0.t1, ESY3_g29084_DN2_SP0_c0.t1, ESY15_g64467_DN1_SP0_c0.t1
OG0000057	CP10_g42516_DN3_SP0_c.t1	ESY2_g35556_DN3_SP0_c0.t1
