Orthogroup	Conringia_planisiliqua	Noccaea_praecox
OG0000045	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1, CP6_g7806_DN1_SP0_c.t1	Np006G334530
OG0000045	CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1	Np002G098570, Np005G284990
OG0000045	CP15_g34638_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1, CP6_g7550_DN1_SP0_c.t1	Np007G389140
OG0000046	CP5_g1580_DN2_SP0_c.t1	Np005G314650
OG0000048	CP10_g42381_DN3_SP0_c.t1	Np007G421470
OG0000048	CP11_g32170_DN3_SP0_c.t1	Np003G145480
OG0000048	CP11_g32171_DN3_SP0_c.t1, CP11_g32165_DN3_SP0_c.t1	Np003G145420
OG0000048	CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1	Np003G145430, Np003G145400, Np003G145550
OG0000048	CP11_g32166_DN3_SP0_c.t1, CP11_g32169_DN3_SP0_c.t1	Np003G145440
OG0000049	CP1_g39385_DN3_SP0_c.t1	Np004G254290
OG0000049	CP14_g23587_DN3_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1	Np002G120530
OG0000050	CP18_g11588_DN2_SP0_c.t1, CP1_g38352_DN3_SP0_c.t1, CP18_g12167_DN3_SP0_c.t1	Np002G095340
OG0000050	CP20_g4062_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1	Np007G402160
OG0000050	CP7_g44165_DN3_SP0_c.t1	Np002G095850
OG0000050	CP22_g17665_DN2_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1	Np002G095350
OG0000052	CP4_g24481_DN3_SP0_c.t1	Np006G328530, Np006G328520
OG0000052	CP1_g36582_DN3_SP0_c.t1	Np002G116290, Np002G116590
OG0000052	CP2_g49248_DN2_SP0_c.t1	Np002G116810
OG0000052	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1	Np003G173020
OG0000052	CP4_g24480_DN3_SP0_c.t1	Np006G328480
OG0000053	CP9_g27482_DN3_SP0_c.t1	Np002G100500, Np004G233450, Np007G396260
OG0000053	CP20_g3949_DN2_SP0_c.t1, CP1_g38971_DN3_SP0_c.t1	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740
OG0000053	CP4_g26576_DN3_SP0_c.t1	Np001G008270, Np001G039230, Np003G166770
OG0000054	CP3_g15706_DN3_SP0_c.t1, CP3_g15691_DN3_SP0_c.t1	Np004G255790, Np005G312070, Np007G389250
OG0000054	CP5_g2131_DN3_SP0_c.t1	Np003G165300, Np008G427110, Np003G167120, Np002G099610, Np001G054180, Np002G078710, Np001G038630, Np005G282410, Np004G256130, Np006G347850
OG0000055	CP2_g49032_DN3_SP0_c.t1	Np002G120200, Np002G120190, Np002G120180
OG0000055	CP2_g49066_DN2_SP0_c.t1	Np002G119410
OG0000055	CP11_g31796_DN3_SP0_c.t1	Np002G119230
OG0000055	CP2_g49067_DN3_SP0_c.t1, CP2_g49076_DN3_SP0_c.t1, CP2_g49080_DN3_SP0_c.t1	Np002G119520, Np002G119220, Np002G119170
OG0000055	CP2_g49081_DN1_SP0_c.t1, CP2_g49073_DN2_SP0_c.t1, CP2_g49078_DN3_SP0_c.t1	Np002G119390, Np002G118970, Np002G120090, Np002G120080, Np002G119490, Np002G119430, Np002G119510, Np002G118960, Np002G118940, Np002G119480
OG0000056	CP2_g49697_DN3_SP0_c.t1	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230
OG0000056	CP9_g27806_DN2_SP0_c.t1	Np006G356510, Np003G151080
OG0000056	CP22_g17290_DN2_SP0_c.t1	Np003G158880
OG0000056	CP3_g16601_DN1_SP0_c.t1	Np007G412270
OG0000056	CP12_g31150_DN2_SP0_c.t1	Np005G282430
OG0000056	CP76_g27141_DN3_SP0_c.t1, CP23_g21854_DN3_SP0_c.t1, CP23_g21662_DN2_SP0_c.t1, CP23_g21733_DN3_SP0_c.t1, CP23_g21767_DN1_SP0_c.t1, CP22_g17221_DN2_SP0_c.t1, CP22_g17291_DN1_SP0_c.t1, CP23_g21606_DN1_SP0_c.t1	Np004G212730
OG0000056	CP6_g9003_DN1_SP0_c.t1	Np003G173160, Np006G358710, Np006G344700, Np009G432740, Np001G036840, Np007G404120
OG0000057	CP10_g42516_DN3_SP0_c.t1	Np007G419120, Np007G419160
OG0000057	CP10_g43729_DN2_SP0_c.t1	Np007G375320
OG0000057	CP12_g29917_DN2_SP0_c.t1, CP12_g29918_DN3_SP0_c.t1	Np007G398210, Np010G435080, Np007G401600
OG0000057	CP12_g30730_DN2_SP0_c.t1	Np006G333600, Np006G333860, Np003G187520
OG0000058	CP4_g26939_DN1_SP0_c.t1	Np008G427720, Np001G035900, Np001G038390, Np006G352050, Np005G294870
OG0000058	CP21_g11182_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP5_g3335_DN2_SP0_c.t1	Np006G359730, Np001G037410
OG0000059	CP10_g44057_DN2_SP0_c.t1	Np008G426920, Np008G426800
OG0000059	CP3_g16740_DN2_SP0_c.t1, CP9_g27953_DN3_SP0_c.t1, CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1, CP3_g14979_DN3_SP0_c.t1	Np001G044380
OG0000059	CP5_g3316_DN2_SP0_c.t1	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750
OG0000059	CP12_g31525_DN1_SP0_c.t1	Np004G202770
OG0000059	CP26_g51313_DN1_SP0_c.t1	Np005G284980
OG0000061	CP1_g40914_DN2_SP0_c.t1	Np004G218870, Np004G219580, Np004G218830, Np007G398820, Np005G260230
OG0000063	CP3_g14842_DN3_SP0_c.t1	Np001G045620
OG0000063	CP4_g25867_DN3_SP0_c.t1	Np004G251560, Np006G359840
OG0000063	CP1_g37064_DN3_SP0_c.t1	Np005G306870, Np003G152310
OG0000064	CP5_g77_DN1_SP0_c.t1	Np005G260880
OG0000065	CP24_g47137_DN2_SP0_c.t1	Np003G168940
OG0000066	CP4_g25642_DN3_SP0_c.t1	Np003G136700
OG0000066	CP2_g49425_DN3_SP0_c.t1	Np004G250000, Np004G250510, Np003G136710
OG0000067	CP12_g31237_DN3_SP0_c.t1	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340
OG0000068	CP26_g51196_DN1_SP0_c.t1	Np002G089430
OG0000068	CP4_g26547_DN1_SP0_c.t1	Np004G229970
OG0000068	CP12_g31766_DN2_SP0_c.t1	Np002G105990, Np001G038360, Np002G099110
OG0000068	CP1_g40960_DN1_SP0_c.t1	Np002G113430, Np005G283070
OG0000069	CP8_g52571_DN1_SP0_c.t1, CP13_g20431_DN2_SP0_c.t1, CP9_g29611_DN2_SP0_c.t1, CP8_g53134_DN1_SP0_c.t1, CP20_g3890_DN2_SP0_c.t1, CP8_g53133_DN1_SP0_c.t1, CP4_g26011_DN1_SP0_c.t1, CP18_g11666_DN2_SP0_c.t1, CP29_g22116_DN2_SP0_c.t1, CP8_g52621_DN2_SP0_c.t1	Np003G152400
OG0000069	CP15_g34957_DN1_SP0_c.t1	Np001G024920, Np005G293790
OG0000070	CP9_g27907_DN2_SP0_c.t1	Np004G218430, Np002G100330, Np002G101580
OG0000073	CP21_g10991_DN3_SP0_c.t1	Np006G330840
OG0000074	CP7_g45419_DN3_SP0_c.t1	Np004G229920, Np004G230020
OG0000074	CP7_g45418_DN3_SP0_c.t1, CP7_g45417_DN3_SP0_c.t1, CP7_g45428_DN3_SP0_c.t1	Np004G229960
OG0000074	CP7_g45420_DN3_SP0_c.t1	Np004G230030
OG0000074	CP20_g4368_DN3_SP0_c.t1	Np003G180910, Np003G184200
OG0000075	CP7_g44717_DN3_SP0_c.t1	Np003G136640
OG0000075	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1	Np004G233640
OG0000076	CP13_g19766_DN3_SP0_c.t1	Np007G423950, Np001G021860
OG0000077	CP5_g173_DN1_SP0_c.t1	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000079	CP16_g55065_DN3_SP0_c.t1	Np001G064190
OG0000080	CP9_g28787_DN2_SP0_c.t1	Np005G289190
OG0000081	CP7_g44768_DN1_SP0_c.t1, CP16_g55147_DN3_SP0_c.t1	Np001G010770
OG0000081	CP1_g38017_DN2_SP0_c.t1	Np004G196080, Np004G196070
OG0000081	CP20_g4332_DN1_SP0_c.t1	Np003G176780, Np003G176800, Np003G176750
OG0000082	CP23_g21380_DN2_SP0_c.t1	Np006G332300
OG0000082	CP4_g26212_DN3_SP0_c.t1	Np005G302180
OG0000082	CP29_g22172_DN2_SP0_c.t1, CP29_g22188_DN2_SP0_c.t1, CP20_g3823_DN2_SP0_c.t1, CP29_g22187_DN1_SP0_c.t1	Np005G274330
OG0000082	CP14_g22602_DN1_SP0_c.t1	Np001G045200
OG0000084	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1	Np006G366020
OG0000085	CP29_g22117_DN1_SP0_c.t1, CP29_g22118_DN1_SP0_c.t1, CP7_g44433_DN3_SP0_c.t1	Np007G397830
OG0000087	CP2_g48308_DN3_SP8_c.t1	Np001G010980
OG0000087	CP4_g25793_DN3_SP8_c.t1	Np006G350150, Np008G428160
OG0000087	CP2_g48035_DN3_SP7_c.t1	Np005G287050
OG0000087	CP11_g32707_DN3_SP8_c.t1	Np003G139100
OG0000087	CP13_g20168_DN3_SP8_c.t1	Np001G039930
OG0000087	CP6_g6768_DN3_SP8_c.t1	Np005G287110
OG0000087	CP9_g29223_DN3_SP8_c.t1	Np002G077440
OG0000090	CP7_g45746_DN3_SP0_c.t1	Np004G235330
OG0000090	CP1_g38197_DN2_SP0_c.t1, CP1_g38202_DN3_SP0_c.t1	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600
OG0000090	CP17_g5790_DN3_SP0_c.t1	Np007G389920
OG0000091	CP18_g12036_DN3_SP0_c.t1	Np003G165480
OG0000093	CP3_g13515_DN3_SP0_c.t1	Np001G063230
OG0000093	CP3_g14024_DN3_SP0_c.t1	Np001G005730
OG0000093	CP5_g3286_DN3_SP0_c.t1, CP37_g11362_DN3_SP0_c.t1, CP5_g3308_DN1_SP0_c.t1, CP5_g3309_DN3_SP0_c.t1, CP37_g11347_DN2_SP0_c.t1	Np001G063220
OG0000096	CP2_g49683_DN2_SP0_c.t1	Np002G112160
OG0000096	CP13_g19516_DN3_SP0_c.t1	Np001G024770
OG0000096	CP13_g20085_DN3_SP0_c.t1	Np001G038620
OG0000096	CP13_g20039_DN3_SP0_c.t1	Np001G038140
OG0000096	CP13_g20034_DN3_SP0_c.t1, CP13_g20036_DN3_SP0_c.t1	Np001G038130
OG0000096	CP2_g49677_DN1_SP0_c.t1	Np002G112600
OG0000098	CP2_g49022_DN2_SP0_c.t1, CP2_g49230_DN2_SP0_c.t1	Np002G116580
OG0000100	CP15_g35834_DN3_SP0_c.t1	Np002G095180, Np002G094180, Np005G319140, Np005G295710, Np007G411780, Np005G290650, Np004G240280, Np008G428390, Np001G045110, Np001G052780, Np005G284190
OG0000100	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1	Np004G233090, Np003G158140
OG0000100	CP12_g31136_DN1_SP0_c.t1	Np002G083340
OG0000100	CP8_g52256_DN3_SP0_c.t1	Np002G096510, Np006G363460, Np004G259020, Np011G435850, Np006G344690, Np005G295460, Np001G055900, Np002G095400, Np002G090410, Np006G338280, Np002G087790, Np005G308750, Np006G327840, Np004G233160, Np006G345130, Np006G360420, Np005G260470
OG0000101	CP2_g48894_DN3_SP0_c.t1	Np002G111340
OG0000101	CP2_g49326_DN3_SP0_c.t1	Np004G206440
OG0000102	CP33_g3650_DN2_SP0_c.t1, CP9_g27438_DN1_SP0_c.t1, CP15_g36115_DN1_SP0_c.t1, CP4_g26224_DN1_SP0_c.t1, CP6_g9672_DN2_SP0_c.t1	Np006G343540
OG0000102	CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1	Np006G343550
OG0000102	CP6_g8261_DN3_SP0_c.t1, CP14_g23887_DN2_SP0_c.t1	Np002G095410
OG0000102	CP21_g10523_DN3_SP0_c.t1, CP18_g12134_DN2_SP0_c.t1, CP14_g23880_DN1_SP0_c.t1, CP14_g23888_DN2_SP0_c.t1, CP3_g15486_DN2_SP0_c.t1, CP12_g31694_DN2_SP0_c.t1, CP13_g20643_DN1_SP0_c.t1, CP4_g26798_DN1_SP0_c.t1, CP3_g16300_DN1_SP0_c.t1, CP4_g26225_DN1_SP0_c.t1	Np001G022480
OG0000104	CP4_g25846_DN3_SP0_c.t1	Np006G360060
OG0000104	CP4_g25844_DN3_SP0_c.t1	Np006G360090
OG0000107	CP7_g44349_DN3_SP0_c.t1, CP7_g44362_DN3_SP0_c.t1	Np007G398440, Np007G418450
OG0000107	CP6_g8709_DN3_SP0_c.t1	Np005G305610
OG0000108	CP2_g48438_DN1_SP0_c.t1	Np002G099090, Np002G099030, Np002G099040
OG0000108	CP17_g5784_DN1_SP0_c.t1	Np007G389900
OG0000109	CP26_g51159_DN1_SP0_c.t1, CP9_g27951_DN2_SP0_c.t1, CP3_g16738_DN1_SP0_c.t1, CP5_g3314_DN2_SP0_c.t1	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320
OG0000109	CP1_g38486_DN2_SP0_c.t1	Np006G352360
OG0000110	CP3_g13458_DN3_SP0_c.t1	Np001G064490
OG0000113	CP2_g50540_DN2_SP0_c.t1, CP2_g49355_DN1_SP0_c.t1	Np002G089320
OG0000113	CP12_g31635_DN1_SP0_c.t1	Np003G145910
