Orthogroup	Conringia_planisiliqua	Odontarrhena_muralis
OG0000005	CP4_g26231_DN1_SP0_c.t1, CP9_g27889_DN1_SP0_c.t1	Om002G076060
OG0000005	CP4_g26940_DN2_SP0_c.t1	Om004G151870, Om002G089170, Om004G141530
OG0000005	CP27_g41816_DN1_SP0_c.t1	Om007G307980
OG0000005	CP6_g9755_DN1_SP0_c.t1	Om007G309960, Om001G015550, Om009G364000
OG0000005	CP2_g49698_DN1_SP0_c.t1	Om003G110250
OG0000005	CP10_g43899_DN1_SP0_c.t1	Om003G100620
OG0000005	CP9_g27694_DN1_SP0_c.t1	Om006G257980
OG0000005	CP4_g26138_DN1_SP0_c.t1	Om006G261840
OG0000007	CP18_g11997_DN3_SP0_c.t1	Om006G253570, Om001G035080, Om001G019950, Om007G300730
OG0000007	CP2_g50571_DN2_SP0_c.t1	Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480
OG0000007	CP3_g14987_DN2_SP0_c.t1, CP5_g2400_DN1_SP0_c.t1	Om001G019860
OG0000007	CP8_g52615_DN2_SP0_c.t1	Om002G079510
OG0000007	CP23_g21424_DN1_SP0_c.t1, CP15_g35529_DN1_SP0_c.t1	Om007G283730
OG0000007	CP3_g14603_DN1_SP0_c.t1	Om005G219310
OG0000007	CP8_g52821_DN1_SP0_c.t1	Om006G244810, Om006G267880, Om011G365910, Om003G114390
OG0000007	CP9_g27797_DN2_SP0_c.t1	Om008G342300
OG0000007	CP2_g50561_DN2_SP0_c.t1	Om007G297600
OG0000007	CP7_g44193_DN1_SP0_c.t1, CP18_g12259_DN2_SP0_c.t1, CP3_g14989_DN1_SP0_c.t1	Om008G348570
OG0000007	CP1_g40811_DN1_SP0_c.t1	Om006G268360, Om002G076040
OG0000007	CP1_g40809_DN2_SP0_c.t1, CP84_g51830_DN2_SP0_c.t1, CP4_g26146_DN1_SP0_c.t1, CP17_g5534_DN1_SP0_c.t1, CP4_g26293_DN1_SP0_c.t1, CP8_g52685_DN1_SP0_c.t1, CP16_g55411_DN2_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1, CP18_g12295_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1, CP9_g28197_DN3_SP0_c.t1	Om007G308670, Om005G224350
OG0000007	CP28_g33903_DN1_SP0_c.t1, CP3_g15796_DN1_SP0_c.t1	Om006G248820, Om006G248770
OG0000008	CP5_g2304_DN1_SP0_c.t1	Om007G284450, Om008G361640, Om007G313430
OG0000012	CP35_g52033_DN3_SP0_c.t1	Om004G146180
OG0000013	CP26_g51269_DN2_SP0_c.t1	Om008G346820, Om005G224220, Om008G350670
OG0000013	CP14_g22654_DN2_SP0_c.t1	Om002G088760, Om001G031100, Om003G113450, Om006G258780
OG0000015	CP27_g41927_DN1_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP1_g39589_DN1_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP3_g15512_DN1_SP0_c.t1, CP3_g15767_DN1_SP0_c.t1	Om008G350280
OG0000015	CP6_g9041_DN3_SP0_c.t1	Om006G271980
OG0000015	CP1_g39588_DN3_SP0_c.t1	Om003G098660
OG0000015	CP5_g3123_DN1_SP0_c.t1, CP7_g44357_DN2_SP0_c.t1, CP17_g6289_DN1_SP0_c.t1, CP18_g12598_DN2_SP0_c.t1, CP15_g34907_DN2_SP0_c.t1, CP5_g3124_DN2_SP0_c.t1	Om005G217510
OG0000015	CP12_g31767_DN3_SP0_c.t1	Om003G105790, Om004G154560
OG0000015	CP2_g50727_DN3_SP0_c.t1	Om007G305020
OG0000015	CP12_g31541_DN2_SP0_c.t1	Om006G270800
OG0000018	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	Om008G335480, Om007G284460, Om008G361630
OG0000020	CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1	Om002G078790
OG0000020	CP56_g20986_DN2_SP0_c.t1	Om007G307160
OG0000020	CP56_g20987_DN1_SP0_c.t1, CP3_g16163_DN2_SP0_c.t1	Om010G364780, Om008G361310
OG0000020	CP5_g3358_DN2_SP0_c.t1	Om007G309390
OG0000021	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1	Om005G226540, Om001G020790
OG0000021	CP6_g7966_DN2_SP0_c.t1	Om008G331340
OG0000021	CP5_g2151_DN1_SP0_c.t1, CP3_g15599_DN1_SP0_c.t1, CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1, CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1	Om001G020780, Om001G006810, Om002G059070
OG0000024	CP18_g12115_DN1_SP0_c.t1, CP14_g23581_DN3_SP0_c.t1, CP8_g52388_DN2_SP0_c.t1	Om010G364470, Om004G152890, Om005G222510, Om006G264560, Om007G307780, Om002G075540, Om006G244060, Om005G218640, Om003G113030, Om004G148120, Om007G304370, Om007G308040, Om004G155450, Om002G078360, Om007G308800, Om007G309530, Om004G152880, Om007G309380, Om005G222500, Om010G364430
OG0000024	CP31_g46771_DN2_SP0_c.t1, CP25_g55808_DN2_SP0_c.t1, CP22_g17631_DN1_SP0_c.t1	Om007G304730
OG0000024	CP6_g8243_DN1_SP0_c.t1	Om008G342080, Om001G017150
OG0000024	CP3_g16173_DN1_SP0_c.t1	Om001G030080, Om007G305000
OG0000028	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1	Om001G022770, Om007G314890
OG0000028	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	Om003G104120
OG0000028	CP17_g5930_DN1_SP0_c.t1	Om007G308810
OG0000028	CP17_g5538_DN2_SP0_c.t1	Om003G104130
OG0000028	CP18_g12498_DN1_SP0_c.t1	Om001G019310
OG0000029	CP22_g17304_DN2_SP0_c.t1	Om006G261190, Om008G343780, Om005G216790, Om005G225700, Om001G013080, Om001G020560, Om002G078670, Om007G309080, Om007G298320, Om004G147450, Om006G262550, Om004G151510, Om003G119560
OG0000029	CP29_g22076_DN3_SP0_c.t1	Om007G298330
OG0000030	CP37_g11369_DN1_SP0_c.t1	Om020G374410, Om004G155320
OG0000030	CP26_g51212_DN3_SP0_c.t1	Om001G005680
OG0000030	CP8_g52519_DN1_SP0_c.t1	Om011G364950, Om004G165220
OG0000030	CP26_g51211_DN3_SP0_c.t1	Om005G226380
OG0000033	CP16_g55465_DN3_SP1_c.t1	Om001G010220, Om001G010110
OG0000034	CP6_g8131_DN3_SP0_c.t1	Om010G364590, Om008G356530, Om001G014760
OG0000034	CP47_g21230_DN1_SP0_c.t1, CP47_g21257_DN2_SP0_c.t1, CP14_g23830_DN3_SP0_c.t1, CP1_g40470_DN3_SP0_c.t1	Om003G107450
OG0000034	CP21_g11036_DN2_SP0_c.t1	Om003G111610, Om007G308590, Om008G343530
OG0000034	CP15_g35590_DN3_SP0_c.t1	Om005G219940, Om006G267380, Om008G344910, Om007G303110, Om003G111210, Om003G106810, Om001G013580, Om001G019560, Om008G349540, Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190, Om003G113750, Om005G219960, Om002G081730, Om002G079430, Om003G110790, Om009G362950, Om002G074540, Om005G222580, Om009G363250, Om008G344620
OG0000035	CP13_g20135_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP4_g25641_DN3_SP0_c.t1	Om007G280400, Om005G227290, Om004G176320, Om007G280390
OG0000035	CP4_g25547_DN2_SP0_c.t1, CP9_g28258_DN1_SP0_c.t1	Om004G132400, Om008G334460, Om007G279790
OG0000037	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1	Om001G014920
OG0000037	CP1_g41262_DN3_SP0_c.t1, CP3_g16790_DN1_SP0_c.t1	Om006G267090
OG0000038	CP7_g45289_DN3_SP0_c.t1	Om005G196570, Om004G131590
OG0000038	CP3_g13999_DN3_SP0_c.t1	Om006G262290
OG0000038	CP13_g20184_DN3_SP0_c.t1	Om008G356970
OG0000038	CP10_g43043_DN3_SP0_c.t1	Om001G023300
OG0000038	CP10_g43042_DN1_SP0_c.t1	Om008G322940
OG0000038	CP10_g43041_DN3_SP0_c.t1	Om002G053860, Om001G005520
OG0000040	CP11_g31940_DN3_SP0_c.t1	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	CP10_g43630_DN1_SP0_c.t1	Om008G328570
OG0000041	CP15_g35167_DN2_SP0_c.t1, CP9_g27945_DN1_SP0_c.t1, CP8_g52460_DN2_SP0_c.t1, CP9_g27992_DN1_SP0_c.t1, CP13_g20783_DN2_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1	Om003G112520, Om001G018430, Om007G297590
OG0000041	CP17_g5856_DN1_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1	Om007G301270, Om004G141670, Om009G364080, Om007G307140
OG0000041	CP25_g55865_DN2_SP0_c.t1, CP34_g51562_DN2_SP0_c.t1	Om001G021310
OG0000041	CP13_g20787_DN2_SP0_c.t1, CP2_g49544_DN1_SP0_c.t1, CP2_g50380_DN1_SP0_c.t1, CP6_g7635_DN2_SP0_c.t1, CP14_g23216_DN3_SP0_c.t1, CP12_g31563_DN2_SP0_c.t1, CP47_g21234_DN3_SP0_c.t1, CP4_g26168_DN3_SP0_c.t1, CP2_g49628_DN3_SP0_c.t1, CP8_g52461_DN3_SP0_c.t1, CP31_g46692_DN3_SP0_c.t1, CP14_g23460_DN3_SP0_c.t1, CP17_g5113_DN3_SP0_c.t1, CP13_g20400_DN2_SP0_c.t1, CP53_g22291_DN3_SP0_c.t1, CP21_g11164_DN3_SP0_c.t1, CP1_g41098_DN3_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g22692_DN3_SP0_c.t1, CP16_g55626_DN3_SP0_c.t1, CP6_g9300_DN3_SP0_c.t1, CP14_g23884_DN3_SP0_c.t1, CP6_g7776_DN3_SP0_c.t1, CP1_g40151_DN3_SP0_c.t1, CP7_g44312_DN3_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP1_g38420_DN3_SP0_c.t1, CP12_g31174_DN3_SP0_c.t1, CP56_g20968_DN3_SP0_c.t1, CP4_g26449_DN3_SP0_c.t1, CP3_g15302_DN3_SP0_c.t1, CP15_g36069_DN3_SP0_c.t1, CP12_g31078_DN3_SP0_c.t1, CP9_g28011_DN3_SP0_c.t1, CP5_g2182_DN3_SP0_c.t1, CP12_g31226_DN3_SP0_c.t1, CP25_g55795_DN3_SP0_c.t1, CP13_g20684_DN3_SP0_c.t1, CP12_g31426_DN3_SP0_c.t1, CP2_g50600_DN3_SP0_c.t1, CP30_g10046_DN3_SP0_c.t1, CP2_g50448_DN3_SP0_c.t1, CP3_g16522_DN1_SP0_c.t1, CP29_g22006_DN3_SP0_c.t1, CP2_g49594_DN3_SP0_c.t1, CP1_g38784_DN3_SP0_c.t1, CP17_g5114_DN3_SP0_c.t1, CP6_g9299_DN2_SP0_c.t1, CP5_g2196_DN3_SP0_c.t1, CP6_g8835_DN3_SP0_c.t1, CP6_g9051_DN3_SP0_c.t1, CP20_g3927_DN3_SP0_c.t1, CP12_g31706_DN3_SP0_c.t1, CP14_g23308_DN2_SP0_c.t1, CP15_g35764_DN3_SP0_c.t1, CP27_g41746_DN2_SP0_c.t1, CP1_g39992_DN3_SP0_c.t1, CP3_g16557_DN3_SP0_c.t1, CP5_g2207_DN3_SP0_c.t1, CP22_g17081_DN3_SP0_c.t1, CP25_g55851_DN3_SP0_c.t1, CP1_g38838_DN2_SP0_c.t1, CP3_g16125_DN3_SP0_c.t1, CP17_g5494_DN3_SP0_c.t1, CP17_g5594_DN3_SP0_c.t1, CP31_g46752_DN3_SP0_c.t1, CP5_g2173_DN3_SP0_c.t1, CP17_g6260_DN3_SP0_c.t1, CP28_g34000_DN3_SP0_c.t1, CP24_g46950_DN2_SP0_c.t1, CP1_g39991_DN2_SP0_c.t1	Om002G075020
OG0000041	CP1_g39140_DN2_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1	Om002G075010, Om001G018420
OG0000042	CP13_g20255_DN1_SP0_c.t1	Om004G177160
OG0000044	CP30_g10197_DN3_SP0_c.t1, CP1_g41420_DN3_SP0_c.t1	Om006G259440, Om005G221670, Om006G265780
OG0000045	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1	Om003G112290
OG0000045	CP26_g51323_DN1_SP0_c.t1, CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1, CP14_g22976_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1, CP6_g7550_DN1_SP0_c.t1	Om001G031280
OG0000046	CP5_g1580_DN2_SP0_c.t1	Om008G352850, Om006G241220
OG0000046	CP9_g28234_DN3_SP0_c.t1	Om005G206750
OG0000047	CP2_g50481_DN2_SP0_c.t1	Om006G268590, Om001G028180
OG0000048	CP10_g42379_DN1_SP0_c.t1	Om002G045390
OG0000048	CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1	Om007G296190, Om007G296250
OG0000048	CP11_g32164_DN3_SP0_c.t1, CP11_g32172_DN3_SP0_c.t1, CP11_g32166_DN3_SP0_c.t1, CP11_g32169_DN3_SP0_c.t1	Om007G296260
OG0000049	CP7_g44254_DN1_SP0_c.t1, CP15_g34935_DN3_SP0_c.t1, CP34_g51571_DN3_SP0_c.t1, CP12_g31463_DN1_SP0_c.t1, CP6_g9686_DN3_SP0_c.t1, CP2_g50310_DN2_SP0_c.t1, CP14_g22621_DN3_SP0_c.t1	Om002G080850
OG0000050	CP18_g11588_DN2_SP0_c.t1, CP1_g38352_DN3_SP0_c.t1, CP18_g12167_DN3_SP0_c.t1	Om007G308990
OG0000050	CP7_g44165_DN3_SP0_c.t1	Om002G076710, Om007G299220, Om002G077490
OG0000050	CP22_g17665_DN2_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1	Om006G268560
OG0000050	CP18_g11589_DN2_SP0_c.t1, CP1_g40826_DN1_SP0_c.t1, CP4_g26777_DN2_SP0_c.t1, CP24_g46981_DN1_SP0_c.t1	Om006G266210, Om002G080140
OG0000050	CP1_g40964_DN3_SP0_c.t1	Om008G341390, Om005G201890, Om005G219290
OG0000052	CP1_g36582_DN3_SP0_c.t1	Om008G326600
OG0000052	CP9_g28198_DN3_SP0_c.t1	Om008G326590
OG0000052	CP4_g24480_DN3_SP0_c.t1	Om008G326540
OG0000054	CP5_g2131_DN3_SP0_c.t1	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320, Om005G214240, Om002G057290
OG0000055	CP2_g49031_DN3_SP0_c.t1	Om005G202820, Om005G227820, Om005G224840
OG0000055	CP2_g49066_DN2_SP0_c.t1	Om005G224080
OG0000055	CP11_g31796_DN3_SP0_c.t1	Om008G333680
OG0000055	CP2_g49067_DN3_SP0_c.t1, CP2_g49076_DN3_SP0_c.t1, CP2_g49080_DN3_SP0_c.t1	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000056	CP2_g49697_DN3_SP0_c.t1	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970
OG0000056	CP12_g31151_DN1_SP0_c.t1, CP14_g23418_DN2_SP0_c.t1	Om008G340700
OG0000056	CP5_g1872_DN1_SP0_c.t1, CP14_g22894_DN3_SP0_c.t1, CP13_g20359_DN3_SP0_c.t1, CP10_g43900_DN2_SP0_c.t1	Om008G361080, Om003G090740, Om007G293830, Om008G321670
OG0000056	CP76_g27141_DN3_SP0_c.t1, CP23_g21854_DN3_SP0_c.t1, CP23_g21662_DN2_SP0_c.t1, CP23_g21733_DN3_SP0_c.t1, CP23_g21767_DN1_SP0_c.t1, CP22_g17221_DN2_SP0_c.t1, CP22_g17291_DN1_SP0_c.t1, CP23_g21606_DN1_SP0_c.t1, CP6_g9003_DN1_SP0_c.t1	Om003G107750, Om001G017780
OG0000058	CP4_g26939_DN1_SP0_c.t1	Om006G274780, Om004G171770, Om006G269070, Om006G268950, Om004G151670, Om006G270860, Om002G082880
OG0000058	CP21_g11182_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP5_g3335_DN2_SP0_c.t1	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000059	CP12_g31525_DN1_SP0_c.t1	Om003G092270, Om002G088980
OG0000059	CP15_g36037_DN2_SP0_c.t1	Om001G008500
OG0000060	CP4_g26283_DN1_SP0_c.t1	Om008G348970, Om003G127290, Om006G235900
OG0000061	CP1_g40914_DN2_SP0_c.t1	Om003G100910, Om006G238480, Om006G263600, Om005G223660, Om006G249810, Om002G076700, Om003G106600, Om008G345470, Om008G347220, Om006G268200, Om007G301100, Om002G047100, Om002G043890, Om005G177780, Om008G328920, Om003G114550, Om005G191460, Om007G312950, Om003G111810, Om008G353280, Om006G242410, Om001G020570, Om005G225030, Om004G146510, Om001G027660
OG0000062	CP7_g44287_DN2_SP0_c.t1	Om003G109490
OG0000063	CP8_g53991_DN3_SP0_c.t1	Om003G118830
OG0000063	CP1_g37064_DN3_SP0_c.t1	Om005G185660, Om007G283280
OG0000063	CP3_g14841_DN3_SP0_c.t1	Om005G185680
OG0000064	CP5_g77_DN1_SP0_c.t1	Om001G041080
OG0000065	CP24_g47137_DN2_SP0_c.t1	Om005G217710
OG0000065	CP9_g27570_DN1_SP0_c.t1	Om006G268440
OG0000066	CP4_g25642_DN3_SP0_c.t1	Om008G337830, Om006G231860
OG0000066	CP2_g49425_DN3_SP0_c.t1	Om004G165570
OG0000067	CP12_g31237_DN3_SP0_c.t1	Om001G023220
OG0000068	CP26_g51196_DN1_SP0_c.t1	Om006G264170, Om007G304230, Om004G149200, Om004G147110
OG0000068	CP1_g40830_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1	Om007G308160, Om005G212100
OG0000068	CP1_g40829_DN2_SP0_c.t1, CP4_g26782_DN2_SP0_c.t1	Om002G079160
OG0000069	CP5_g2097_DN2_SP0_c.t1	Om005G212060, Om005G223000
OG0000069	CP8_g52571_DN1_SP0_c.t1, CP13_g20431_DN2_SP0_c.t1, CP9_g29611_DN2_SP0_c.t1, CP8_g53134_DN1_SP0_c.t1	Om005G212160
OG0000070	CP9_g27907_DN2_SP0_c.t1	Om005G218350, Om004G150670
OG0000073	CP13_g20691_DN1_SP0_c.t1	Om008G360660
OG0000074	CP7_g45419_DN3_SP0_c.t1	Om004G144080, Om004G144240, Om004G144070, Om004G144330, Om004G144320
OG0000074	CP7_g45418_DN3_SP0_c.t1, CP7_g45417_DN3_SP0_c.t1, CP7_g45428_DN3_SP0_c.t1	Om004G144060
OG0000074	CP7_g45420_DN3_SP0_c.t1	Om004G143980
OG0000074	CP20_g4368_DN3_SP0_c.t1	Om004G144100
OG0000074	CP7_g45432_DN3_SP0_c.t1	Om004G143840
OG0000075	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1	Om008G342390, Om001G025890, Om001G025920
OG0000076	CP7_g44259_DN3_SP0_c.t1	Om006G255670
OG0000076	CP13_g19766_DN3_SP0_c.t1	Om006G242520, Om003G090370
OG0000077	CP5_g173_DN1_SP0_c.t1	Om001G039420
OG0000079	CP16_g55065_DN3_SP0_c.t1	Om003G122890, Om003G122910, Om003G122930, Om003G122940
OG0000081	CP7_g44975_DN1_SP0_c.t1	Om003G096480, Om003G096490
OG0000081	CP1_g38017_DN2_SP0_c.t1	Om003G098080
OG0000081	CP8_g53130_DN2_SP0_c.t1	Om003G096460
OG0000081	CP7_g45047_DN1_SP0_c.t1	Om005G184670, Om005G184660
OG0000082	CP17_g6148_DN2_SP0_c.t1	Om006G275030
OG0000082	CP15_g35761_DN3_SP0_c.t1, CP2_g49995_DN3_SP0_c.t1, CP3_g15632_DN1_SP0_c.t1, CP23_g21380_DN2_SP0_c.t1	Om008G349260
OG0000082	CP9_g27553_DN1_SP0_c.t1	Om007G305200, Om007G305330
OG0000082	CP16_g55573_DN1_SP0_c.t1, CP29_g22172_DN2_SP0_c.t1, CP29_g22188_DN2_SP0_c.t1, CP20_g3823_DN2_SP0_c.t1, CP29_g22187_DN1_SP0_c.t1	Om003G121830, Om002G084590
OG0000085	CP15_g35533_DN1_SP0_c.t1	Om005G217190
OG0000086	CP18_g12051_DN1_SP0_c.t1	Om004G163220
OG0000087	CP2_g48308_DN3_SP8_c.t1	Om006G238380
OG0000087	CP4_g25793_DN3_SP8_c.t1	Om007G282390
OG0000087	CP2_g48035_DN3_SP7_c.t1	Om006G235110
OG0000087	CP11_g32707_DN3_SP8_c.t1	Om004G162490
OG0000087	CP4_g25265_DN3_SP6_c.t1	Om008G339690
OG0000087	CP13_g20168_DN3_SP8_c.t1	Om008G355890
OG0000087	CP6_g6768_DN3_SP8_c.t1	Om001G006430
OG0000087	CP9_g29223_DN3_SP8_c.t1	Om004G137360
OG0000090	CP7_g45746_DN3_SP0_c.t1	Om005G202290, Om005G179690
OG0000090	CP1_g38197_DN2_SP0_c.t1, CP1_g38202_DN3_SP0_c.t1	Om003G098630, Om003G099040
OG0000091	CP18_g12036_DN3_SP0_c.t1	Om006G264850
OG0000093	CP3_g13515_DN3_SP0_c.t1	Om003G122050
OG0000093	CP3_g14024_DN3_SP0_c.t1	Om001G033140
OG0000096	CP13_g19516_DN3_SP0_c.t1	Om007G301150, Om003G093070, Om006G274060
OG0000096	CP13_g20034_DN3_SP0_c.t1, CP13_g20036_DN3_SP0_c.t1	Om004G143550, Om008G360980
OG0000097	CP5_g1424_DN3_SP0_c.t1	Om008G355680, Om008G355600, Om004G133820
OG0000098	CP1_g37532_DN1_SP0_c.t1	Om005G191670, Om008G342380
OG0000098	CP13_g20427_DN3_SP0_c.t1	Om005G191920, Om005G192380
OG0000100	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1	Om007G304610
OG0000100	CP8_g52256_DN3_SP0_c.t1	Om004G134490, Om004G142840
OG0000106	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1	Om005G222030
OG0000107	CP7_g44349_DN3_SP0_c.t1, CP7_g44362_DN3_SP0_c.t1	Om002G067730
OG0000107	CP15_g34930_DN1_SP0_c.t1	Om002G067770
OG0000107	CP6_g8709_DN3_SP0_c.t1	Om002G067720, Om007G309010
OG0000108	CP17_g5784_DN1_SP0_c.t1	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810
OG0000109	CP3_g15613_DN2_SP0_c.t1	Om007G296220
