Orthogroup	Conringia_planisiliqua	Alyssum_gmelinii
OG0000061	CP1_g40914_DN2_SP0_c.t1	Ag007G618360, Ag004G337800, Ag001G100570, Ag002G180780, Ag004G339650, Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860, Ag004G329090, Ag006G566820, Ag002G142080, Ag006G573690, Ag006G525790, Ag006G562400, Ag003G279160, Ag007G603910, Ag001G084230, Ag008G700010, Ag004G317040, Ag003G230430, Ag001G038510, Ag002G170370, Ag001G089330, Ag005G461020, Ag003G283680, Ag002G182710, Ag007G637720
OG0000063	CP4_g24977_DN3_SP0_c.t1	Ag008G698780
OG0000063	CP8_g52772_DN3_SP0_c.t1	Ag007G586340
OG0000063	CP1_g37064_DN3_SP0_c.t1	Ag004G307350
OG0000063	CP3_g14841_DN3_SP0_c.t1	Ag002G119010
OG0000064	CP5_g77_DN1_SP0_c.t1	Ag003G295980
OG0000065	CP24_g47137_DN2_SP0_c.t1	Ag009G735570
OG0000066	CP4_g25642_DN3_SP0_c.t1	Ag007G604700
OG0000066	CP2_g49425_DN3_SP0_c.t1	Ag002G125900
OG0000067	CP12_g31237_DN3_SP0_c.t1	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820
OG0000068	CP1_g40830_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1	Ag002G158600
OG0000068	CP4_g26547_DN1_SP0_c.t1	Ag002G161440, Ag003G260950, Ag006G498520
OG0000069	CP5_g2097_DN2_SP0_c.t1	Ag006G532130
OG0000069	CP6_g8294_DN1_SP0_c.t1, CP14_g23758_DN2_SP0_c.t1	Ag003G208920
OG0000069	CP8_g52571_DN1_SP0_c.t1, CP13_g20431_DN2_SP0_c.t1, CP9_g29611_DN2_SP0_c.t1, CP8_g53134_DN1_SP0_c.t1	Ag003G258860
OG0000069	CP6_g9730_DN1_SP0_c.t1, CP18_g12305_DN2_SP0_c.t1, CP15_g34957_DN1_SP0_c.t1, CP6_g9731_DN1_SP0_c.t1	Ag002G200250
OG0000073	CP21_g10991_DN3_SP0_c.t1	Ag002G137530
OG0000074	CP7_g45419_DN3_SP0_c.t1	Ag003G273880, Ag003G236930, Ag003G236940
OG0000074	CP7_g45418_DN3_SP0_c.t1, CP7_g45417_DN3_SP0_c.t1, CP7_g45428_DN3_SP0_c.t1	Ag003G242350, Ag003G242390
OG0000074	CP7_g45420_DN3_SP0_c.t1	Ag003G241560, Ag003G242310
OG0000074	CP20_g4368_DN3_SP0_c.t1	Ag004G378820
OG0000075	CP7_g44717_DN3_SP0_c.t1	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640
OG0000075	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1	Ag004G320420, Ag004G320400, Ag004G320390, Ag004G320380, Ag004G320410, Ag004G320330, Ag004G320350, Ag004G320470, Ag006G555240, Ag006G543310, Ag006G544200, Ag006G543080, Ag006G544500, Ag002G191710, Ag002G191700, Ag002G191680
OG0000076	CP7_g44259_DN3_SP0_c.t1	Ag001G069290, Ag001G069280
OG0000076	CP13_g19766_DN3_SP0_c.t1	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300, Ag001G002030
OG0000077	CP5_g173_DN1_SP0_c.t1	Ag006G569300
OG0000078	CP5_g2099_DN3_SP0_c.t1	Ag002G136430
OG0000079	CP16_g55065_DN3_SP0_c.t1	Ag006G550580, Ag003G233720
OG0000081	CP7_g45047_DN1_SP0_c.t1	Ag007G593730
OG0000081	CP20_g4332_DN1_SP0_c.t1	Ag005G451860, Ag005G452050
OG0000082	CP17_g6148_DN2_SP0_c.t1	Ag008G658870, Ag004G384280
OG0000082	CP18_g12600_DN2_SP0_c.t1	Ag004G385590
OG0000082	CP4_g26212_DN3_SP0_c.t1	Ag004G351970
OG0000082	CP20_g3822_DN2_SP0_c.t1	Ag004G340020
OG0000084	CP16_g55159_DN2_SP0_c.t1	Ag002G111870
OG0000084	CP16_g55163_DN2_SP0_c.t1	Ag008G724370
OG0000086	CP18_g12051_DN1_SP0_c.t1	Ag008G709530
OG0000087	CP2_g48308_DN3_SP8_c.t1	Ag008G723440
OG0000087	CP4_g25793_DN3_SP8_c.t1	Ag007G593840
OG0000087	CP11_g32707_DN3_SP8_c.t1	Ag007G609260
OG0000087	CP4_g25265_DN3_SP6_c.t1	Ag002G161340
OG0000087	CP13_g20168_DN3_SP8_c.t1	Ag002G127940
OG0000087	CP6_g6768_DN3_SP8_c.t1	Ag006G562620
OG0000087	CP9_g29223_DN3_SP8_c.t1	Ag003G224140
OG0000090	CP7_g45746_DN3_SP0_c.t1	Ag004G333760
OG0000090	CP1_g38197_DN2_SP0_c.t1, CP1_g38202_DN3_SP0_c.t1	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940
OG0000091	CP18_g12036_DN3_SP0_c.t1	Ag008G666230, Ag001G063330, Ag006G524690
OG0000093	CP3_g13515_DN3_SP0_c.t1	Ag001G087540
OG0000093	CP3_g14024_DN3_SP0_c.t1	Ag001G087060, Ag020G743300
OG0000093	CP5_g3286_DN3_SP0_c.t1, CP37_g11362_DN3_SP0_c.t1, CP5_g3308_DN1_SP0_c.t1, CP5_g3309_DN3_SP0_c.t1, CP37_g11347_DN2_SP0_c.t1	Ag002G193490
OG0000096	CP13_g19516_DN3_SP0_c.t1	Ag001G024200, Ag001G016650, Ag005G460360
OG0000096	CP13_g20085_DN3_SP0_c.t1	Ag002G102560
OG0000096	CP13_g20039_DN3_SP0_c.t1	Ag002G103120
OG0000096	CP13_g20034_DN3_SP0_c.t1, CP13_g20036_DN3_SP0_c.t1	Ag006G559170
OG0000096	CP13_g20028_DN2_SP0_c.t1, CP13_g20031_DN1_SP0_c.t1	Ag002G103250
OG0000096	CP2_g49677_DN1_SP0_c.t1	Ag004G380830
OG0000097	CP5_g1424_DN3_SP0_c.t1	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340
OG0000098	CP1_g37532_DN1_SP0_c.t1	Ag004G315550, Ag004G315560
OG0000098	CP13_g20427_DN3_SP0_c.t1	Ag006G506280, Ag004G316800, Ag004G315620
OG0000100	CP15_g35834_DN3_SP0_c.t1	Ag004G376980, Ag002G156660
OG0000100	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1	Ag003G219250, Ag002G132470
OG0000100	CP12_g31136_DN1_SP0_c.t1	Ag008G659700
OG0000100	CP8_g52256_DN3_SP0_c.t1	Ag002G169920, Ag007G628580, Ag006G499830, Ag002G169190, Ag002G140250, Ag008G659710, Ag003G260180, Ag006G507010, Ag007G587450, Ag007G628510
OG0000101	CP2_g48895_DN3_SP0_c.t1	Ag004G389820, Ag004G389830
OG0000102	CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1	Ag008G662610
OG0000102	CP14_g23881_DN1_SP0_c.t1	Ag004G328280
OG0000102	CP12_g31118_DN1_SP0_c.t1, CP13_g20642_DN2_SP0_c.t1	Ag003G274160
OG0000104	CP4_g25846_DN3_SP0_c.t1	Ag007G594880, Ag007G594830
OG0000106	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1	Ag004G383320
OG0000107	CP7_g44349_DN3_SP0_c.t1, CP7_g44362_DN3_SP0_c.t1	Ag005G481150
OG0000107	CP15_g34930_DN1_SP0_c.t1	Ag005G446680
OG0000107	CP6_g8709_DN3_SP0_c.t1	Ag005G446780
OG0000108	CP17_g5784_DN1_SP0_c.t1	Ag003G269110, Ag003G269200
OG0000109	CP15_g34635_DN1_SP0_c.t1, CP15_g34653_DN3_SP0_c.t1, CP15_g34622_DN2_SP0_c.t1, CP15_g34582_DN1_SP0_c.t1, CP15_g34595_DN2_SP0_c.t1, CP2_g50412_DN2_SP0_c.t1	Ag001G087550, Ag006G493580, Ag002G191920, Ag007G620300, Ag001G037570
OG0000109	CP13_g20454_DN2_SP0_c.t1	Ag006G532070
OG0000109	CP18_g12074_DN1_SP0_c.t1	Ag002G124770
OG0000109	CP6_g8582_DN2_SP0_c.t1, CP3_g15710_DN2_SP0_c.t1	Ag001G038010
OG0000109	CP12_g31527_DN3_SP0_c.t1, CP24_g47038_DN2_SP0_c.t1	Ag002G191910
OG0000110	CP3_g13458_DN3_SP0_c.t1	Ag001G090130
OG0000110	CP6_g7942_DN3_SP0_c.t1	Ag007G655930
OG0000113	CP20_g4043_DN3_SP0_c.t1	Ag002G118730
OG0000113	CP2_g50540_DN2_SP0_c.t1, CP2_g49355_DN1_SP0_c.t1	Ag002G119250
OG0000113	CP20_g4448_DN2_SP0_c.t1	Ag004G394970
OG0000113	CP12_g31635_DN1_SP0_c.t1	Ag007G655220
OG0000114	CP12_g31634_DN1_SP0_c.t1	Ag003G284630
OG0000117	CP5_g3262_DN3_SP0_c.t1, CP37_g11372_DN1_SP0_c.t1, CP2_g49793_DN2_SP0_c.t1, CP23_g21369_DN1_SP0_c.t1	Ag006G549560
OG0000117	CP9_g27445_DN1_SP0_c.t1, CP33_g3644_DN2_SP0_c.t1, CP4_g26226_DN3_SP0_c.t1, CP6_g9671_DN1_SP0_c.t1, CP1_g41234_DN3_SP0_c.t1	Ag002G137760
OG0000117	CP4_g26209_DN2_SP0_c.t1, CP6_g8210_DN1_SP0_c.t1	Ag005G409580
OG0000117	CP94_g6387_DN3_SP0_c.t1	Ag003G251430
OG0000117	CP15_g34661_DN2_SP0_c.t1, CP1_g40571_DN3_SP0_c.t1, CP22_g17718_DN3_SP0_c.t1, CP14_g23878_DN3_SP0_c.t1, CP13_g20759_DN2_SP0_c.t1, CP3_g16299_DN1_SP0_c.t1	Ag006G517320
OG0000117	CP3_g15485_DN3_SP0_c.t1, CP15_g36117_DN3_SP0_c.t1, CP1_g41162_DN3_SP0_c.t1	Ag002G174540
OG0000120	CP2_g49217_DN3_SP0_c.t1, CP2_g49209_DN1_SP0_c.t1	Ag004G373700, Ag001G094910
OG0000120	CP6_g8949_DN3_SP0_c.t1, CP20_g4168_DN3_SP0_c.t1, CP20_g4172_DN3_SP0_c.t1	Ag003G277400, Ag003G279310, Ag003G275890
OG0000122	CP8_g53627_DN3_SP0_c.t1	Ag008G698890
OG0000122	CP8_g53628_DN3_SP0_c.t1	Ag003G267460
OG0000122	CP8_g53621_DN3_SP0_c.t1, CP8_g53620_DN3_SP0_c.t1	Ag008G698530
OG0000123	CP7_g45076_DN3_SP0_c.t1	Ag007G583620
OG0000123	CP2_g49018_DN2_SP0_c.t1	Ag001G067540
OG0000123	CP2_g49912_DN3_SP0_c.t1, CP1_g37670_DN3_SP0_c.t1	Ag004G318540, Ag006G573850
OG0000123	CP1_g37644_DN3_SP0_c.t1	Ag006G564520
OG0000124	CP1_g38598_DN2_SP0_c.t1, CP6_g9750_DN1_SP0_c.t1	Ag005G441490
