Orthogroup	Conringia_planisiliqua	Brassica_napus
OG0000018	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	XP_048634179.1, XP_048605751.1, XP_022571151.1, XP_013673578.1, XP_048630900.1, XP_022575868.2, XP_048605747.1, XP_048605222.1, XP_048614689.1, XP_048596417.1, XP_013720098.2, XP_048601334.1, XP_048624799.1, XP_013673827.2, XP_048637603.1, XP_022550513.2, XP_048622957.1, XP_048590776.1, XP_013665022.2, XP_048611445.1, XP_048604864.1, XP_013745820.1, XP_048613131.1, XP_048606197.1, XP_022557717.1, XP_013751868.1, XP_022568346.1, XP_048611977.1, XP_013679337.1, XP_013704991.1, XP_048620421.1, XP_048604881.1, XP_013658330.1, XP_013726653.1, XP_013745661.1, XP_022552507.2, XP_013658329.1, XP_013726201.1, XP_048611537.1, XP_048599852.1, XP_048612004.1, XP_048612001.1, XP_048612006.1, XP_022569830.1, XP_013653854.1, XP_013658519.1, XP_048637099.1, XP_013674025.1, XP_048599651.1, XP_048629918.1, XP_022544100.1, XP_013657853.2, XP_013704346.2, XP_048605132.1, XP_048608829.1, XP_048615824.1, XP_048635015.1, XP_048604882.1, XP_013658447.2
OG0000019	CP18_g11548_DN1_SP0_c.t1	XP_048621485.1
OG0000019	CP14_g23599_DN3_SP0_c.t1, CP8_g52577_DN3_SP0_c.t1	XP_013704389.3, XP_013717169.2, XP_022547619.1, XP_022547620.1
OG0000020	CP44_g20906_DN3_SP0_c.t1	XP_048630843.1, XP_048624068.1, XP_022567211.2
OG0000020	CP56_g20987_DN1_SP0_c.t1, CP3_g16163_DN2_SP0_c.t1	XP_048615648.1
OG0000020	CP14_g23530_DN1_SP0_c.t1	XP_048605650.1
OG0000020	CP64_g21089_DN1_SP0_c.t1	XP_013704905.1, XP_048608824.1
OG0000021	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1	XP_048615773.1, XP_048620188.1, XP_022552080.1, XP_013694633.1
OG0000021	CP2_g50573_DN1_SP0_c.t1	XP_048634143.1, XP_013700085.1, XP_048594884.1, XP_048629072.1
OG0000021	CP5_g3096_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1	XP_013713218.2
OG0000021	CP24_g47341_DN1_SP0_c.t1, CP21_g11065_DN2_SP0_c.t1, CP18_g12232_DN3_SP0_c.t1, CP17_g6008_DN2_SP0_c.t1	XP_048628766.1
OG0000021	CP15_g36147_DN2_SP0_c.t1	XP_013709779.2, XP_013713803.1
OG0000021	CP12_g31265_DN3_SP0_c.t1	XP_013722646.2, XP_013751498.1, XP_048604867.1, XP_048611893.1, XP_013650079.2
OG0000021	CP1_g39884_DN1_SP0_c.t1, CP1_g38521_DN1_SP0_c.t1, CP20_g4089_DN2_SP0_c.t1, CP5_g3095_DN2_SP0_c.t1, CP9_g27700_DN2_SP0_c.t1, CP7_g45412_DN1_SP0_c.t1, CP9_g27699_DN2_SP0_c.t1	XP_048622704.1
OG0000021	CP5_g1512_DN1_SP0_c.t1	XP_013669673.1
OG0000021	CP5_g1517_DN2_SP0_c.t1	XP_048593340.1
OG0000021	CP2_g50567_DN2_SP0_c.t1	XP_013678980.1
OG0000021	CP3_g15599_DN1_SP0_c.t1	XP_013727601.1, XP_048620920.1
OG0000021	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1	XP_013720866.1, XP_022557494.1
OG0000024	CP18_g12115_DN1_SP0_c.t1, CP14_g23581_DN3_SP0_c.t1, CP8_g52388_DN2_SP0_c.t1	XP_013669076.1, XP_013669544.1, XP_013713480.1, XP_013689097.2, XP_048608673.1, XP_013728666.1, XP_048613420.1, XP_048605024.1, XP_048613449.1, XP_048605856.1, XP_048623912.1, XP_048599793.1, XP_048599838.1, XP_048605606.1, XP_048615618.1, XP_048623904.1, XP_048611507.1, XP_048605123.1, XP_048611627.1, XP_013650414.1, XP_013669256.2, XP_048605083.1, XP_013669031.1, XP_013709009.2, XP_013651066.1, XP_013651401.2, XP_022568629.1, XP_048605658.1, XP_048615606.1, XP_013732458.2, XP_048611612.1, XP_013699736.1, XP_048599752.1, XP_013651153.1, XP_048623779.1, XP_048611621.1, XP_048613345.1, XP_048623915.1, XP_048604991.1, XP_048611565.1, XP_013689192.1, XP_013751200.1, XP_048622634.1, XP_048605648.1, XP_048622898.1, XP_048611836.1, XP_013689892.2, XP_013650453.1, XP_048623902.1, XP_048613349.1, XP_048619937.1, XP_048624080.1, XP_048624013.1, XP_048623970.1, XP_048611471.1, XP_048605851.1, XP_013669564.2, XP_048620139.1, XP_048605025.1, XP_048623990.1, XP_048611730.1, XP_048622724.1, XP_048617117.1, XP_048622615.1, XP_048617119.1
OG0000024	CP22_g17483_DN2_SP0_c.t1	XP_048611557.1
OG0000026	CP12_g31501_DN2_SP0_c.t1	XP_013660801.2, XP_013693183.2
OG0000027	CP2_g48829_DN3_SP0_c.t1	XP_048618819.1
OG0000027	CP7_g44485_DN2_SP0_c.t1	XP_048594072.1, XP_013684599.1
OG0000027	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1	XP_022567836.1, XP_022546469.2, XP_048595041.1
OG0000027	CP3_g13494_DN2_SP0_c.t1	XP_013663491.2, XP_013663656.1
OG0000028	CP15_g35522_DN1_SP0_c.t1, CP6_g8506_DN2_SP0_c.t1	XP_013751299.2
OG0000028	CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1	XP_013665034.1
OG0000028	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	XP_048615845.1, XP_013745854.2, XP_013730647.1, XP_013720478.1, XP_013649023.1, XP_013709149.1, XP_013645637.1, XP_013668696.1, XP_013732741.2, XP_048635134.1, XP_048613316.1, XP_022553264.2, XP_013652806.1, XP_048596339.1, XP_013732607.1, XP_048596328.1, XP_013716211.2, XP_013663457.2, XP_048613315.1, XP_048611865.1, XP_013645696.2, XP_048605437.1, XP_048625180.1, XP_048607633.1, XP_013665469.2
OG0000028	CP4_g26295_DN2_SP0_c.t1	XP_022549798.1, XP_013645232.1, XP_048632999.1, XP_013725945.1, XP_022557655.1, XP_048637584.1, XP_048593411.1, XP_013652335.1, XP_048599560.1, XP_048618607.1, XP_013645857.1, XP_013718802.1, XP_013720035.1, XP_013657814.2, XP_022562306.1
OG0000028	CP5_g2126_DN1_SP0_c.t1	XP_013723155.1
OG0000028	CP24_g47108_DN1_SP0_c.t1	XP_013709292.1
OG0000028	CP17_g5930_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1, CP4_g26314_DN1_SP0_c.t1	XP_048622652.1
OG0000029	CP22_g17304_DN2_SP0_c.t1	XP_022573237.1, XP_048595129.1, XP_013705057.2, XP_048622978.1, XP_013664351.1, XP_048611771.1, XP_048627924.1, XP_048627923.1, XP_048611772.1, XP_048613515.1, XP_013745291.1, XP_013738737.2, XP_048620192.1, XP_048632518.1, XP_048621879.1, XP_048615827.1, XP_048613466.1, XP_048632854.1, XP_013655251.2, XP_013679244.2, XP_022565176.2, XP_048609574.1, XP_048601956.1, XP_048624719.1, XP_048634081.1, XP_048606316.1, XP_048596000.1, XP_048605707.1, XP_013708649.1, XP_048636014.1, XP_022552362.2, XP_048610765.1, XP_048624916.1, XP_048604271.1, XP_048630615.1, XP_048615843.1, XP_048637599.1, XP_048593648.1, XP_048607162.1, XP_048623050.1, XP_022551038.1, XP_048635815.1, XP_048611551.1, XP_048635103.1, XP_022558100.2, XP_048591075.1, XP_048638384.1, XP_048596031.1, XP_013738696.2, XP_048634928.1, XP_048632933.1, XP_048591471.1, XP_048596550.1, XP_048634105.1, XP_048623704.1, XP_013650865.2, XP_048609092.1, XP_048594955.1, XP_048615335.1, XP_048634156.1, XP_013721193.1, XP_048608517.1, XP_048613259.1, XP_048627705.1, XP_048634162.1, XP_048637574.1, XP_048591545.1, XP_013689748.1, XP_013719196.1
OG0000029	CP29_g22076_DN3_SP0_c.t1	XP_048593383.1
OG0000030	CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1, CP27_g41663_DN1_SP0_c.t1, CP9_g27573_DN3_SP0_c.t1, CP37_g11369_DN1_SP0_c.t1, CP6_g9916_DN1_SP0_c.t1	XP_013673703.1
OG0000030	CP8_g52519_DN1_SP0_c.t1	XP_048634976.1
OG0000030	CP26_g51211_DN3_SP0_c.t1	XP_013678830.1
OG0000031	CP2_g49169_DN2_SP0_c.t1	XP_013653843.2, XP_013661513.2
OG0000033	CP13_g20065_DN3_SP0_c.t1	XP_013718529.1, XP_013694845.2, XP_048630548.1, XP_013661799.2, XP_048596587.1
OG0000033	CP16_g55465_DN3_SP1_c.t1	XP_048591452.1, XP_048597020.1, XP_013738358.2, XP_022570722.1, XP_022573444.1, XP_048597043.1, XP_048601628.1, XP_048597076.1, XP_013737646.2, XP_013737574.2, XP_013737581.2, XP_048608846.1, XP_013663884.1, XP_048596713.1, XP_013644429.1
OG0000034	CP47_g21230_DN1_SP0_c.t1, CP47_g21257_DN2_SP0_c.t1, CP14_g23830_DN3_SP0_c.t1	XP_048623297.1
OG0000034	CP1_g40470_DN3_SP0_c.t1	XP_048623038.1, XP_048592734.1, XP_022574481.2
OG0000034	CP21_g11036_DN2_SP0_c.t1	XP_048629230.1, XP_048613039.1, XP_013657357.3, XP_048604157.1, XP_048600875.1, XP_048602885.1, XP_048622341.1, XP_048624629.1, XP_048614704.1, XP_048615203.1, XP_048601602.1, XP_013739469.3, XP_048622524.1, XP_013682194.3, XP_048621943.1, XP_048613063.1, XP_048604204.1, XP_048611588.1, XP_048607524.1, XP_048609770.1, XP_048606770.1, XP_048603896.1, XP_048600393.1, XP_048600357.1, XP_013713559.3, XP_013710842.2, XP_013652140.3, XP_013710791.2, XP_048626102.1
OG0000034	CP15_g35590_DN3_SP0_c.t1	XP_048614493.1, XP_048605445.1, XP_048618955.1, XP_048630873.1, XP_048604268.1, XP_013720627.2, XP_048604734.1, XP_022561433.2, XP_022565462.2, XP_048628411.1, XP_048614818.1, XP_048630350.1, XP_048633211.1, XP_013657802.1, XP_013683745.1, XP_013734837.1, XP_013688359.1, XP_013749796.1, XP_013672505.1, XP_048603409.1, XP_048628910.1, XP_048628410.1, XP_048614058.1, XP_048624623.1, XP_048619694.1, XP_022569352.1, XP_048592466.1, XP_013687328.1, XP_013653378.1, XP_048627000.1, XP_048620282.1, XP_022570272.1, XP_048623388.1, XP_048602182.1, XP_048623276.1, XP_013743057.1, XP_048603823.1, XP_048612319.1, XP_048602271.1, XP_013752183.1, XP_048610695.1, XP_022562393.1, XP_048594912.1
OG0000035	CP13_g20135_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP4_g25641_DN3_SP0_c.t1	XP_022557090.1, XP_022574570.1, XP_013751316.2, XP_013713944.3, XP_048636772.1
OG0000035	CP4_g25547_DN2_SP0_c.t1	XP_013683389.1
OG0000035	CP9_g28258_DN1_SP0_c.t1	XP_013715831.2, XP_022551123.2, XP_048603751.1, XP_013715819.2
OG0000036	CP13_g20701_DN3_SP0_c.t1	XP_048604916.1, XP_048611480.1, XP_048605348.1
OG0000036	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1	XP_048605396.1, XP_013657831.1, XP_022573022.1
OG0000037	CP24_g47339_DN2_SP0_c.t1, CP3_g15633_DN2_SP0_c.t1	XP_013751552.2
OG0000037	CP21_g11009_DN3_SP0_c.t1	XP_048635028.1
OG0000037	CP1_g41262_DN3_SP0_c.t1	XP_022565052.1, XP_013729035.1, XP_048615589.1, XP_048615587.1
OG0000037	CP8_g52351_DN2_SP0_c.t1	XP_048632934.1
OG0000037	CP6_g8155_DN1_SP0_c.t1	XP_022568279.2
OG0000038	CP7_g45289_DN3_SP0_c.t1	XP_022547515.1, XP_013689407.1
OG0000038	CP3_g13999_DN3_SP0_c.t1	XP_048620565.1, XP_022547368.1, XP_013746550.1, XP_048610886.1
OG0000038	CP10_g43041_DN3_SP0_c.t1	XP_048615236.1, XP_048635940.1, XP_048635115.1, XP_048615249.1, XP_048635116.1, XP_048615246.1
OG0000040	CP10_g43326_DN2_SP0_c.t1	XP_048600575.1
OG0000040	CP13_g19590_DN2_SP0_c.t1	XP_048596338.1
OG0000041	CP1_g39140_DN2_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1	XP_048605013.1, XP_022565661.2, XP_048614815.1
OG0000042	CP11_g31841_DN1_SP0_c.t1	XP_048620148.1, XP_013673772.1, XP_013688861.2
OG0000042	CP3_g14924_DN2_SP0_c.t1, CP5_g1518_DN1_SP0_c.t1	XP_013704720.1, XP_013709605.2, XP_048603720.1, XP_013728575.2, XP_048615885.1
OG0000042	CP19_g18411_DN2_SP0_c.t1	XP_013674220.1
OG0000042	CP15_g36146_DN1_SP0_c.t1	XP_013751105.1, XP_048596476.1, XP_048611388.1, XP_048617238.1, XP_048626337.1, XP_013739245.1, XP_022549769.1, XP_048637482.1, XP_013650090.1, XP_048620040.1, XP_048599546.1, XP_013652272.1, XP_048618226.1, XP_048622954.1, XP_048596126.1, XP_048625808.1, XP_048626211.1, XP_013739441.2, XP_022569094.2, XP_013704236.1, XP_013656004.2, XP_013720036.1, XP_013740016.1, XP_048615590.1, XP_013658415.1, XP_048620297.1, XP_013668827.1, XP_048604796.1, XP_048603689.1, XP_022547752.1, XP_013650943.1
OG0000042	CP13_g20255_DN1_SP0_c.t1	XP_048596563.1, XP_048608023.1
OG0000043	CP29_g22024_DN2_SP0_c.t1	XP_048605762.1, XP_022575840.1, XP_048636416.1, XP_048615744.1, XP_013662062.1, XP_048605629.1, XP_013668954.1
OG0000044	CP1_g39285_DN1_SP0_c.t1	XP_048599977.1, XP_013733293.2, XP_048591383.1, XP_048592554.1, XP_048605908.1, XP_048613135.1, XP_048623805.1, XP_048631733.1, XP_048591444.1, XP_048600193.1, XP_048606399.1, XP_048605166.1, XP_022567046.1, XP_048620073.1, XP_022552709.1, XP_048609363.1, XP_048607154.1, XP_048626706.1, XP_048595608.1, XP_048604688.1, XP_048627544.1, XP_048616284.1, XP_022552197.1, XP_048628171.1, XP_048608413.1, XP_048628439.1, XP_048593377.1, XP_013724632.2, XP_013723763.2
OG0000044	CP15_g34716_DN3_SP0_c.t1	XP_022547672.2, XP_013669672.2, XP_048623948.1, XP_048598164.1, XP_048613213.1, XP_048615669.1, XP_013642234.3, XP_013669592.2, XP_048608518.1, XP_013736305.1
OG0000045	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1	XP_013653957.2, XP_048610024.1
OG0000045	CP6_g7806_DN1_SP0_c.t1	XP_048594918.1, XP_048593338.1, XP_013650961.1, XP_013689509.1, XP_013679635.1
OG0000045	CP2_g49348_DN2_SP0_c.t1	XP_048627518.1, XP_048625806.1, XP_048633024.1, XP_048615579.1, XP_048598081.1
OG0000045	CP1_g38484_DN3_SP0_c.t1	XP_013745156.1, XP_013731567.1, XP_013704291.1, XP_048617105.1, XP_048598554.1, XP_013646145.1, XP_013724895.1, XP_048635016.1, XP_048604173.1, XP_013665251.1, XP_048613483.1, XP_048611695.1, XP_048611378.1, XP_013704661.1, XP_048634935.1, XP_048598061.1, XP_013745369.2, XP_048623634.1, XP_013709218.3, XP_013751199.1, XP_022566288.1, XP_013669032.1, XP_013704915.1, XP_013645539.2, XP_022562321.1, XP_013727766.1, XP_013738821.2, XP_048637545.1, XP_022553291.1, XP_048629978.1, XP_013663207.1, XP_013694738.2
OG0000045	CP16_g55250_DN2_SP0_c.t1, CP34_g51549_DN2_SP0_c.t1, CP26_g51164_DN1_SP0_c.t1, CP16_g55578_DN1_SP0_c.t1	XP_013751229.1, XP_013745440.2, XP_013661910.2, XP_048596313.1, XP_013650670.2
OG0000045	CP26_g51323_DN1_SP0_c.t1	XP_013694239.1, XP_048628468.1, XP_013724424.1
OG0000045	CP6_g7550_DN1_SP0_c.t1	XP_013713178.1
OG0000046	CP5_g1580_DN2_SP0_c.t1	XP_048591104.1
OG0000046	CP9_g28234_DN3_SP0_c.t1	XP_048616752.1, XP_048610981.1, XP_048604137.1
OG0000046	CP5_g1666_DN1_SP0_c.t1	XP_048633516.1, XP_048628795.1, XP_048612190.1
OG0000047	CP2_g50481_DN2_SP0_c.t1	XP_048605495.1, XP_048606198.1
OG0000048	CP11_g32170_DN3_SP0_c.t1	XP_022568749.1, XP_048605165.1, XP_013728801.1, XP_048605161.1, XP_013680529.1, XP_048627116.1, XP_022554450.2, XP_048627114.1
OG0000048	CP11_g32171_DN3_SP0_c.t1, CP11_g32165_DN3_SP0_c.t1	XP_048625022.1, XP_013676074.2, XP_013683129.2, XP_048625023.1
OG0000048	CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1	XP_048605148.1, XP_013728790.2, XP_013680693.1, XP_013722306.3, XP_048625026.1, XP_048599157.1, XP_013722311.1, XP_048599156.1
OG0000048	CP11_g32164_DN3_SP0_c.t1, CP11_g32172_DN3_SP0_c.t1	XP_013740214.1, XP_048607994.1
OG0000048	CP11_g32166_DN3_SP0_c.t1, CP11_g32169_DN3_SP0_c.t1	XP_022555256.1
OG0000049	CP15_g34935_DN3_SP0_c.t1	XP_048600004.1
OG0000049	CP34_g51569_DN2_SP0_c.t1	XP_048626071.1
OG0000049	CP3_g15154_DN3_SP0_c.t1, CP14_g23198_DN3_SP0_c.t1	XP_013716690.2
OG0000050	CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1	XP_013739943.1
OG0000050	CP20_g4061_DN2_SP0_c.t1, CP12_g31035_DN3_SP0_c.t1, CP36_g50953_DN2_SP0_c.t1	XP_013704948.1
OG0000050	CP20_g4062_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1	XP_013655825.2, XP_013721760.1, XP_013705039.1, XP_013669077.1
OG0000050	CP1_g40825_DN2_SP0_c.t1	XP_013705009.1
OG0000050	CP7_g44165_DN3_SP0_c.t1	XP_013745523.2, XP_013718383.1
OG0000050	CP22_g17665_DN2_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1, CP18_g11589_DN2_SP0_c.t1, CP1_g40826_DN1_SP0_c.t1, CP4_g26777_DN2_SP0_c.t1, CP24_g46981_DN1_SP0_c.t1	XP_048634070.1
OG0000052	CP4_g24481_DN3_SP0_c.t1	XP_013691740.1, XP_013747418.2
OG0000052	CP2_g49334_DN3_SP0_c.t1	XP_013673228.2, XP_048599806.1
OG0000052	CP1_g36582_DN3_SP0_c.t1	XP_048637055.1
OG0000052	CP2_g49248_DN2_SP0_c.t1	XP_048601858.1
OG0000052	CP9_g28198_DN3_SP0_c.t1	XP_022556477.2, XP_022564157.2
OG0000052	CP4_g24479_DN3_SP0_c.t1	XP_048637054.1, XP_022558010.2, XP_013752059.2, XP_013716726.2, XP_013716727.2
OG0000052	CP4_g24480_DN3_SP0_c.t1	XP_013747770.2, XP_048636340.1, XP_013747769.2, XP_022574743.2
OG0000053	CP12_g31611_DN2_SP0_c.t1	XP_013651105.1, XP_048633080.1, XP_013650489.2, XP_048637467.1, XP_048635066.1, XP_013645312.2, XP_013674059.1, XP_013694485.1, XP_022559955.1, XP_013689214.2, XP_013713672.1
