Orthogroup	Conringia_planisiliqua	Cardamine_hirsuta
OG0000027	CP3_g13494_DN2_SP0_c.t1	CARHR168020, CARHR167830
OG0000028	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1	CARHR153130, CARHR056480
OG0000028	CP24_g47108_DN1_SP0_c.t1, CP17_g5930_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1, CP4_g26314_DN1_SP0_c.t1	CARHR116610, CARHR153140
OG0000029	CP22_g17304_DN2_SP0_c.t1	CARHR176810, CARHR154270, CARHR006310, CARHR287350, CARHR287660, CARHR099970, CARHR006250, CARHR183060
OG0000029	CP29_g22076_DN3_SP0_c.t1	CARHR213600
OG0000030	CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1, CP27_g41663_DN1_SP0_c.t1, CP9_g27573_DN3_SP0_c.t1, CP37_g11369_DN1_SP0_c.t1, CP6_g9916_DN1_SP0_c.t1	CARHR181500
OG0000030	CP26_g51212_DN3_SP0_c.t1	CARHR106930, CARHR110000, CARHR102250, CARHR289810, CARHR103350
OG0000030	CP6_g7834_DN1_SP0_c.t1	CARHR112880
OG0000030	CP26_g51211_DN3_SP0_c.t1	CARHR258550, CARHR116060
OG0000031	CP2_g49169_DN2_SP0_c.t1	CARHR048220
OG0000033	CP13_g20065_DN3_SP0_c.t1	CARHR106160
OG0000033	CP16_g55465_DN3_SP1_c.t1	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620, CARHR230200, CARHR230230, CARHR230600, CARHR230550, CARHR255000, CARHR230610, CARHR252350
OG0000035	CP9_g29505_DN2_SP0_c.t1	CARHR126110
OG0000035	CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1	CARHR042940
OG0000035	CP3_g14428_DN3_SP0_c.t1	CARHR261700, CARHR261660
OG0000035	CP4_g24241_DN1_SP0_c.t1	CARHR171660, CARHR219280
OG0000037	CP3_g16790_DN1_SP0_c.t1	CARHR220930
OG0000038	CP8_g53633_DN2_SP0_c.t1	CARHR265450
OG0000038	CP7_g45140_DN3_SP0_c.t1	CARHR174900, CARHR175950
OG0000040	CP11_g31940_DN3_SP0_c.t1	CARHR260760, CARHR260790
OG0000040	CP10_g43326_DN2_SP0_c.t1	CARHR223790
OG0000040	CP13_g19590_DN2_SP0_c.t1	CARHR158530
OG0000040	CP10_g43630_DN1_SP0_c.t1	CARHR158510, CARHR158520
OG0000041	CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1	CARHR260230, CARHR034730
OG0000041	CP15_g35167_DN2_SP0_c.t1, CP9_g27945_DN1_SP0_c.t1, CP8_g52460_DN2_SP0_c.t1, CP9_g27992_DN1_SP0_c.t1, CP13_g20783_DN2_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1	CARHR104160
OG0000044	CP30_g10197_DN3_SP0_c.t1, CP1_g41420_DN3_SP0_c.t1	CARHR117470
OG0000044	CP15_g34716_DN3_SP0_c.t1	CARHR150330
OG0000046	CP5_g1580_DN2_SP0_c.t1	CARHR257300, CARHR257310, CARHR263410
OG0000046	CP9_g28234_DN3_SP0_c.t1	CARHR059250
OG0000048	CP10_g42378_DN2_SP0_c.t1	CARHR077930
OG0000048	CP10_g42381_DN3_SP0_c.t1	CARHR077940
OG0000048	CP11_g32170_DN3_SP0_c.t1, CP11_g32171_DN3_SP0_c.t1, CP11_g32165_DN3_SP0_c.t1	CARHR195020
OG0000048	CP16_g54747_DN3_SP0_c.t1	CARHR112070
OG0000052	CP1_g36582_DN3_SP0_c.t1	CARHR260850
OG0000052	CP9_g28198_DN3_SP0_c.t1	CARHR137550, CARHR137540
OG0000053	CP12_g31611_DN2_SP0_c.t1	CARHR148640, CARHR293330, CARHR118340, CARHR151940
OG0000053	CP20_g3949_DN2_SP0_c.t1, CP1_g38971_DN3_SP0_c.t1	CARHR152130, CARHR102470, CARHR286550
OG0000053	CP22_g17654_DN3_SP0_c.t1	CARHR104020
OG0000054	CP3_g15706_DN3_SP0_c.t1, CP3_g15691_DN3_SP0_c.t1	CARHR266430, CARHR150180
OG0000054	CP5_g2131_DN3_SP0_c.t1	CARHR056490
OG0000055	CP2_g49067_DN3_SP0_c.t1	CARHR049980, CARHR050290, CARHR050280, CARHR050160
OG0000056	CP5_g1872_DN1_SP0_c.t1, CP14_g22894_DN3_SP0_c.t1, CP13_g20359_DN3_SP0_c.t1, CP10_g43900_DN2_SP0_c.t1, CP2_g50526_DN2_SP0_c.t1, CP15_g35743_DN2_SP0_c.t1, CP28_g33939_DN2_SP0_c.t1, CP15_g36057_DN3_SP0_c.t1, CP20_g3870_DN2_SP0_c.t1, CP18_g11730_DN1_SP0_c.t1, CP17_g5132_DN3_SP0_c.t1, CP4_g26050_DN2_SP0_c.t1	CARHR153090
OG0000056	CP24_g47158_DN2_SP0_c.t1	CARHR260200, CARHR119870
OG0000057	CP10_g43729_DN2_SP0_c.t1	CARHR107830, CARHR108270, CARHR149830, CARHR094260, CARHR108260, CARHR108320, CARHR108330, CARHR135370, CARHR108730
OG0000057	CP12_g29917_DN2_SP0_c.t1, CP12_g29918_DN3_SP0_c.t1	CARHR090170
OG0000057	CP12_g30730_DN2_SP0_c.t1	CARHR100810, CARHR192030, CARHR177430, CARHR107470
OG0000057	CP10_g42649_DN3_SP0_c.t1	CARHR100820, CARHR222490
OG0000057	CP12_g30848_DN3_SP0_c.t1	CARHR100840
OG0000058	CP4_g26939_DN1_SP0_c.t1	CARHR154060
OG0000058	CP21_g11182_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP5_g3335_DN2_SP0_c.t1	CARHR153550
OG0000061	CP1_g40914_DN2_SP0_c.t1	CARHR117010, CARHR217030, CARHR264280, CARHR258030
OG0000062	CP7_g44287_DN2_SP0_c.t1	CARHR100910
OG0000063	CP3_g14841_DN3_SP0_c.t1	CARHR121870
OG0000064	CP5_g77_DN1_SP0_c.t1	CARHR247830
OG0000064	CP4_g25364_DN3_SP0_c.t1	CARHR127180, CARHR260300
OG0000065	CP24_g47137_DN2_SP0_c.t1	CARHR184170
OG0000065	CP9_g27570_DN1_SP0_c.t1	CARHR117850
OG0000066	CP4_g25642_DN3_SP0_c.t1	CARHR202910
OG0000066	CP2_g49425_DN3_SP0_c.t1	CARHR279310
OG0000068	CP26_g51196_DN1_SP0_c.t1	CARHR153260, CARHR182390
OG0000068	CP12_g31766_DN2_SP0_c.t1, CP1_g40960_DN1_SP0_c.t1	CARHR216710
OG0000069	CP8_g52621_DN2_SP0_c.t1	CARHR119500
OG0000074	CP7_g45428_DN3_SP0_c.t1	CARHR024090
OG0000074	CP20_g4368_DN3_SP0_c.t1	CARHR024030, CARHR024020, CARHR024000
OG0000074	CP7_g45432_DN3_SP0_c.t1	CARHR023940
OG0000074	CP7_g45433_DN3_SP0_c.t1, CP7_g45431_DN3_SP0_c.t1	CARHR023950
OG0000075	CP7_g44717_DN3_SP0_c.t1	CARHR125670, CARHR125660, CARHR124000
OG0000075	CP8_g52637_DN1_SP0_c.t1	CARHR008650
OG0000075	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1	CARHR035940
OG0000076	CP7_g44259_DN3_SP0_c.t1	CARHR292090
OG0000076	CP3_g14092_DN3_SP0_c.t1	CARHR162490
OG0000076	CP13_g19766_DN3_SP0_c.t1	CARHR065210, CARHR065340, CARHR121130, CARHR148040, CARHR278910, CARHR150860, CARHR148060, CARHR148030, CARHR148020
OG0000079	CP17_g4852_DN2_SP0_c.t1	CARHR182570
OG0000081	CP7_g44768_DN1_SP0_c.t1, CP16_g55147_DN3_SP0_c.t1	CARHR121110
OG0000081	CP8_g53130_DN2_SP0_c.t1	CARHR040920
OG0000083	CP22_g17376_DN1_SP0_c.t1	CARHR099030
OG0000084	CP16_g55159_DN2_SP0_c.t1	CARHR117870, CARHR117890, CARHR116980
OG0000084	CP16_g55164_DN2_SP0_c.t1	CARHR116700
OG0000084	CP16_g55163_DN2_SP0_c.t1	CARHR117220, CARHR116970
OG0000085	CP14_g22980_DN1_SP0_c.t1	CARHR259820
OG0000086	CP18_g12051_DN1_SP0_c.t1	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750
OG0000087	CP2_g48308_DN3_SP8_c.t1	CARHR189700
OG0000087	CP4_g25793_DN3_SP8_c.t1	CARHR122890
OG0000087	CP3_g14713_DN3_SP4_c.t1	CARHR155480
OG0000087	CP11_g32707_DN3_SP8_c.t1	CARHR200860
OG0000087	CP4_g25265_DN3_SP6_c.t1	CARHR128920
OG0000087	CP13_g20168_DN3_SP8_c.t1	CARHR178800
OG0000087	CP6_g6768_DN3_SP8_c.t1	CARHR227450
OG0000087	CP9_g29223_DN3_SP8_c.t1	CARHR069200
OG0000088	CP8_g52786_DN3_SP0_c.t1	CARHR156220
OG0000090	CP7_g45746_DN3_SP0_c.t1	CARHR020650
OG0000090	CP17_g5790_DN3_SP0_c.t1	CARHR010350
OG0000091	CP18_g12036_DN3_SP0_c.t1	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050
OG0000091	CP3_g15860_DN3_SP0_c.t1, CP3_g15889_DN3_SP0_c.t1, CP2_g49990_DN3_SP0_c.t1, CP8_g52261_DN2_SP0_c.t1, CP8_g52260_DN2_SP0_c.t1, CP8_g52279_DN3_SP0_c.t1, CP18_g11648_DN3_SP0_c.t1, CP3_g15893_DN3_SP0_c.t1, CP3_g15864_DN3_SP0_c.t1, CP1_g38916_DN3_SP0_c.t1, CP2_g49989_DN3_SP0_c.t1, CP4_g26258_DN1_SP0_c.t1, CP4_g26257_DN3_SP0_c.t1	CARHR221560
OG0000093	CP3_g13515_DN3_SP0_c.t1	CARHR168740
OG0000093	CP3_g14024_DN3_SP0_c.t1	CARHR168730
OG0000096	CP13_g19516_DN3_SP0_c.t1	CARHR145650
OG0000096	CP13_g20085_DN3_SP0_c.t1	CARHR177990
OG0000096	CP13_g20034_DN3_SP0_c.t1, CP13_g20036_DN3_SP0_c.t1	CARHR176910
OG0000096	CP13_g20028_DN2_SP0_c.t1, CP13_g20031_DN1_SP0_c.t1	CARHR177040
OG0000098	CP1_g37532_DN1_SP0_c.t1	CARHR220990, CARHR220970
OG0000098	CP1_g37531_DN2_SP0_c.t1	CARHR012600
OG0000098	CP1_g37530_DN3_SP0_c.t1	CARHR012590
OG0000098	CP13_g20427_DN3_SP0_c.t1	CARHR013070
OG0000100	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1	CARHR102670, CARHR054110, CARHR100990
OG0000100	CP12_g31136_DN1_SP0_c.t1	CARHR054690, CARHR054680
OG0000100	CP8_g52256_DN3_SP0_c.t1	CARHR114800, CARHR101000
OG0000101	CP2_g48894_DN3_SP0_c.t1	CARHR047300, CARHR047090, CARHR047120, CARHR047210, CARHR047270
OG0000101	CP2_g48891_DN3_SP0_c.t1	CARHR047180
OG0000104	CP4_g25846_DN3_SP0_c.t1	CARHR122140
OG0000104	CP4_g25844_DN3_SP0_c.t1	CARHR122150, CARHR122160
OG0000106	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1	CARHR248580, CARHR120300, CARHR120290, CARHR266870, CARHR084920
OG0000107	CP7_g44349_DN3_SP0_c.t1, CP7_g44362_DN3_SP0_c.t1	CARHR119260, CARHR119250
OG0000108	CP2_g48438_DN1_SP0_c.t1	CARHR253270
OG0000109	CP6_g8583_DN3_SP0_c.t1	CARHR259920
OG0000110	CP3_g13458_DN3_SP0_c.t1	CARHR169600
OG0000113	CP20_g4043_DN3_SP0_c.t1	CARHR175310, CARHR289490
OG0000113	CP20_g4448_DN2_SP0_c.t1	CARHR047550
OG0000113	CP12_g31635_DN1_SP0_c.t1	CARHR106060, CARHR228760, CARHR181190, CARHR151550, CARHR077960, CARHR104310
OG0000114	CP12_g31634_DN1_SP0_c.t1	CARHR181200, CARHR181230, CARHR202070
OG0000115	CP2_g49800_DN1_SP0_c.t1	CARHR059960, CARHR284490
OG0000118	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1	CARHR161700, CARHR161720, CARHR155540, CARHR161740, CARHR161910, CARHR161710
OG0000120	CP2_g49217_DN3_SP0_c.t1, CP2_g49209_DN1_SP0_c.t1	CARHR285170
OG0000120	CP6_g8949_DN3_SP0_c.t1, CP20_g4168_DN3_SP0_c.t1, CP20_g4172_DN3_SP0_c.t1	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430
OG0000122	CP8_g53628_DN3_SP0_c.t1	CARHR269740, CARHR129080, CARHR269910, CARHR269890, CARHR031770, CARHR036540
OG0000123	CP7_g45076_DN3_SP0_c.t1	CARHR024520, CARHR027640, CARHR027660, CARHR027650
OG0000123	CP19_g18011_DN3_SP0_c.t1	CARHR233830
OG0000123	CP5_g1625_DN3_SP0_c.t1	CARHR009210
OG0000124	CP1_g38598_DN2_SP0_c.t1, CP6_g9750_DN1_SP0_c.t1	CARHR182430
OG0000124	CP6_g8046_DN2_SP0_c.t1	CARHR287060, CARHR146840, CARHR038370, CARHR217450
OG0000124	CP1_g39867_DN1_SP0_c.t1	CARHR056860
OG0000124	CP24_g47153_DN1_SP0_c.t1	CARHR117340, CARHR057000, CARHR158410, CARHR153220
OG0000125	CP11_g33621_DN2_SP0_c.t1, CP10_g42910_DN3_SP0_c.t1	CARHR210790
OG0000125	CP8_g54114_DN3_SP0_c.t1	CARHR190650
OG0000125	CP8_g54018_DN3_SP0_c.t1	CARHR273520
OG0000125	CP3_g14833_DN3_SP0_c.t1	CARHR154390, CARHR154340
OG0000125	CP4_g25869_DN3_SP0_c.t1	CARHR121850
OG0000127	CP17_g6016_DN3_SP0_c.t1	CARHR083490
OG0000127	CP16_g55518_DN3_SP0_c.t1, CP9_g28628_DN3_SP0_c.t1	CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100
OG0000131	CP18_g11868_DN3_SP0_c.t1, CP9_g27995_DN3_SP0_c.t1, CP75_g34149_DN3_SP0_c.t1, CP9_g27996_DN3_SP0_c.t1, CP9_g27968_DN2_SP0_c.t1, CP9_g28014_DN3_SP0_c.t1, CP9_g27949_DN3_SP0_c.t1, CP13_g20558_DN3_SP0_c.t1, CP22_g17667_DN2_SP0_c.t1, CP12_g30983_DN3_SP0_c.t1, CP8_g52210_DN3_SP0_c.t1, CP5_g2512_DN3_SP0_c.t1, CP14_g23380_DN2_SP0_c.t1, CP18_g12093_DN3_SP0_c.t1	CARHR150440
OG0000131	CP3_g15173_DN3_SP0_c.t1	CARHR283860
OG0000131	CP3_g15174_DN1_SP0_c.t1, CP7_g44106_DN2_SP0_c.t1	CARHR283870, CARHR035130
OG0000131	CP2_g49797_DN1_SP0_c.t1	CARHR286300, CARHR258830, CARHR148220
OG0000132	CP15_g34919_DN3_SP0_c.t1	CARHR217650
OG0000133	CP10_g44074_DN3_SP0_c.t1, CP21_g10968_DN3_SP0_c.t1, CP6_g8815_DN3_SP0_c.t1	CARHR184120
OG0000136	CP9_g28199_DN3_SP0_c.t1	CARHR058600
OG0000136	CP5_g1706_DN3_SP0_c.t1, CP5_g1838_DN3_SP0_c.t1, CP45_g22371_DN3_SP0_c.t1, CP20_g3814_DN1_SP0_c.t1, CP271_g11211_DN3_SP0_c.t1, CP45_g22369_DN3_SP0_c.t1, CP11_g31887_DN3_SP0_c.t1	CARHR214860
OG0000137	CP1_g39023_DN1_SP0_c.t1, CP45_g22346_DN2_SP0_c.t1, CP8_g52433_DN1_SP0_c.t1, CP6_g9629_DN2_SP0_c.t1, CP3_g15146_DN2_SP0_c.t1, CP16_g55232_DN1_SP0_c.t1, CP7_g44117_DN2_SP0_c.t1, CP5_g3062_DN1_SP0_c.t1	CARHR180340
OG0000138	CP16_g55313_DN2_SP0_c.t1	CARHR113950
OG0000138	CP16_g55443_DN2_SP0_c.t1	CARHR274880, CARHR274890, CARHR274860
OG0000138	CP2_g48870_DN2_SP0_c.t1	CARHR153120
OG0000138	CP2_g48868_DN3_SP0_c.t1	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980
OG0000140	CP17_g5869_DN3_SP0_c.t1	CARHR272760, CARHR272770, CARHR053670
OG0000147	CP5_g984_DN3_SP8_c.t1	CARHR238090
OG0000147	CP8_g53733_DN3_SP8_c.t1	CARHR271150
OG0000147	CP9_g29643_DN3_SP8_c.t1	CARHR073860
OG0000147	CP17_g5850_DN3_SP8_c.t1	CARHR104060
OG0000147	CP16_g55126_DN3_SP8_c.t1	CARHR117520
OG0000149	CP3_g14788_DN3_SP0_c.t1	CARHR154790, CARHR154820
OG0000149	CP3_g14786_DN3_SP0_c.t1	CARHR154830
OG0000149	CP8_g53987_DN3_SP0_c.t1	CARHR273170, CARHR273200, CARHR273210, CARHR273220
OG0000149	CP8_g53985_DN3_SP0_c.t1	CARHR273160, CARHR122210
OG0000151	CP8_g53294_DN3_SP8_c.t1	CARHR266340
OG0000151	CP5_g1205_DN3_SP7_c.t1	CARHR235660
OG0000151	CP10_g42832_DN3_SP8_c.t1	CARHR082990
OG0000151	CP10_g43893_DN3_SP8_c.t1	CARHR107000
OG0000151	CP8_g53599_DN3_SP8_c.t1	CARHR269520
OG0000151	CP19_g17855_DN3_SP6_c.t1, CP13_g19098_DN3_SP8_c.t1	CARHR046700
OG0000154	CP6_g8024_DN1_SP0_c.t1	CARHR229590, CARHR069350
OG0000155	CP11_g32105_DN1_SP0_c.t1	CARHR164960
OG0000156	CP4_g24175_DN3_SP0_c.t1	CARHR140730
OG0000157	CP7_g45449_DN2_SP0_c.t1	CARHR101220, CARHR133040, CARHR180020
OG0000161	CP2_g48114_DN3_SP0_c.t1	CARHR275730, CARHR120610, CARHR120240, CARHR120250
OG0000161	CP10_g43808_DN3_SP0_c.t1, CP9_g27597_DN3_SP0_c.t1	CARHR056690
OG0000161	CP10_g42426_DN3_SP0_c.t1	CARHR056630, CARHR038520, CARHR038560
OG0000162	CP16_g55105_DN3_SP0_c.t1	CARHR170840
OG0000162	CP8_g54067_DN2_SP0_c.t1	CARHR154310, CARHR059620, CARHR057980, CARHR057970
OG0000167	CP6_g6855_DN3_SP0_c.t1	CARHR226380
OG0000169	CP16_g55347_DN1_SP0_c.t1	CARHR067380
OG0000169	CP16_g55346_DN3_SP0_c.t1	CARHR067370, CARHR115410, CARHR183960
OG0000169	CP2_g49508_DN2_SP0_c.t1	CARHR053850
OG0000171	CP4_g24004_DN3_SP6_c.t1	CARHR142560
OG0000171	CP9_g28660_DN3_SP6_c.t1, CP7_g45435_DN3_SP8_c.t1	CARHR023910
OG0000171	CP2_g49264_DN3_SP7_c.t1	CARHR052550
OG0000171	CP11_g32500_DN3_SP8_c.t1	CARHR198650
OG0000174	CP2_g50320_DN1_SP0_c.t1	CARHR286250
OG0000175	CP10_g43741_DN3_SP4_c.t1	CARHR160880
OG0000175	CP9_g29229_DN3_SP8_c.t1	CARHR069390
OG0000175	CP7_g45756_DN3_SP8_c.t1	CARHR020570
OG0000175	CP5_g509_DN3_SP8_c.t1	CARHR243300
OG0000175	CP5_g414_DN3_SP8_c.t1	CARHR244350
OG0000176	CP3_g13734_DN3_SP0_c.t1	CARHR029830
OG0000178	CP1_g41084_DN2_SP0_c.t1	CARHR118730
OG0000178	CP14_g22990_DN1_SP0_c.t1, CP5_g1995_DN2_SP0_c.t1	CARHR216370
OG0000178	CP1_g41085_DN2_SP0_c.t1	CARHR124520
OG0000180	CP2_g48010_DN3_SP0_c.t1	CARHR264460
OG0000181	CP3_g15926_DN2_SP0_c.t1, CP15_g35373_DN2_SP0_c.t1, CP3_g15372_DN1_SP0_c.t1, CP3_g15137_DN1_SP0_c.t1, CP2_g50125_DN1_SP0_c.t1, CP3_g16664_DN3_SP0_c.t1, CP8_g52846_DN1_SP0_c.t1, CP18_g12220_DN2_SP0_c.t1	CARHR110940
OG0000184	CP3_g16448_DN1_SP0_c.t1	CARHR157490, CARHR154180, CARHR181110
OG0000186	CP4_g26271_DN2_SP0_c.t1, CP4_g26270_DN2_SP0_c.t1	CARHR103200
OG0000187	CP1_g38275_DN3_SP0_c.t1	CARHR239530
OG0000187	CP5_g831_DN3_SP0_c.t1	CARHR239600
OG0000187	CP10_g43074_DN3_SP0_c.t1	CARHR085640
OG0000189	CP5_g175_DN2_SP0_c.t1	CARHR246590
OG0000190	CP11_g31843_DN3_SP0_c.t1	CARHR263930
OG0000192	CP7_g45651_DN3_SP1_c.t1	CARHR059110
OG0000192	CP9_g29342_DN3_SP0_c.t1	CARHR181970
OG0000193	CP12_g30688_DN2_SP0_c.t1	CARHR099220
OG0000195	CP4_g26440_DN3_SP8_c.t1	CARHR119300
OG0000195	CP3_g13675_DN3_SP8_c.t1	CARHR136200
OG0000195	CP5_g1726_DN3_SP8_c.t1	CARHR058380
OG0000196	CP7_g44994_DN1_SP0_c.t1	CARHR028740
OG0000196	CP7_g44995_DN1_SP0_c.t1	CARHR037130
OG0000201	CP12_g30563_DN1_SP0_c.t1	CARHR097880
OG0000202	CP12_g30613_DN1_SP0_c.t1	CARHR099690, CARHR024770
OG0000204	CP10_g43004_DN3_SP0_c.t1	CARHR099050
OG0000204	CP12_g30628_DN3_SP0_c.t1	CARHR098530
OG0000204	CP12_g30499_DN2_SP0_c.t1	CARHR097380
OG0000208	CP1_g38019_DN3_SP0_c.t1	CARHR247230
OG0000208	CP2_g49600_DN2_SP0_c.t1	CARHR181000
OG0000208	CP5_g1521_DN3_SP0_c.t1	CARHR260330
OG0000210	CP4_g25434_DN2_SP0_c.t1	CARHR127170
OG0000213	CP9_g28965_DN3_SP0_c.t1, CP9_g28963_DN3_SP0_c.t1	CARHR066320, CARHR066310, CARHR066300, CARHR066340, CARHR066330, CARHR066290, CARHR066360
OG0000213	CP10_g43006_DN3_SP1_c.t1	CARHR084950
OG0000213	CP5_g1624_DN3_SP0_c.t1	CARHR292800, CARHR292790
OG0000213	CP16_g54934_DN3_SP1_c.t1	CARHR292760, CARHR285920
OG0000217	CP5_g3331_DN3_SP0_c.t1	CARHR123300
OG0000217	CP8_g52792_DN1_SP0_c.t1	CARHR284010, CARHR284050
OG0000217	CP2_g49383_DN2_SP0_c.t1, CP2_g49358_DN1_SP0_c.t1	CARHR283900
OG0000217	CP2_g49352_DN3_SP0_c.t1	CARHR283730
OG0000217	CP2_g49361_DN3_SP0_c.t1, CP2_g49380_DN3_SP0_c.t1, CP2_g49359_DN3_SP0_c.t1	CARHR053930
OG0000218	CP1_g37802_DN3_SP1_c.t1	CARHR015480
OG0000218	CP19_g18287_DN3_SP0_c.t1	CARHR147290
OG0000218	CP13_g19661_DN2_SP8_c.t1	CARHR144080
OG0000219	CP4_g25777_DN3_SP0_c.t1	CARHR123080, CARHR123060
OG0000219	CP2_g47984_DN2_SP0_c.t1	CARHR277080
OG0000219	CP2_g47983_DN3_SP0_c.t1	CARHR266750
OG0000222	CP27_g41971_DN1_SP0_c.t1	CARHR063680, CARHR117110, CARHR113140
OG0000222	CP13_g20822_DN3_SP0_c.t1	CARHR184570, CARHR118460, CARHR125790, CARHR285080
OG0000224	CP9_g29395_DN3_SP1_c.t1	CARHR071040
OG0000225	CP7_g44968_DN2_SP0_c.t1	CARHR028850, CARHR028820, CARHR028900, CARHR028880, CARHR028810
OG0000228	CP7_g45473_DN3_SP2_c.t1	CARHR185670
OG0000228	CP7_g45471_DN3_SP0_c.t1	CARHR292540
OG0000228	CP9_g28708_DN2_SP0_c.t1	CARHR064110
OG0000229	CP5_g930_DN3_SP0_c.t1	CARHR215270, CARHR251110, CARHR237670
OG0000230	CP9_g29228_DN3_SP3_c.t1	CARHR069370
