Orthogroup	Conringia_planisiliqua	Arabidopsis_lyrata_Rawat
OG0000046	CP5_g1580_DN2_SP0_c.t1	AL7G51420
OG0000046	CP9_g28234_DN3_SP0_c.t1	AL2G25320
OG0000048	CP10_g42380_DN2_SP0_c.t1	AL3G13720
OG0000048	CP16_g54747_DN3_SP0_c.t1	AL4G10310
OG0000048	CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1	AL6G29120, AL6G29220
OG0000049	CP12_g31464_DN1_SP0_c.t1, CP1_g39918_DN2_SP0_c.t1, CP1_g39386_DN1_SP0_c.t1	AL1G48510
OG0000049	CP15_g34935_DN3_SP0_c.t1, CP34_g51571_DN3_SP0_c.t1, CP12_g31463_DN1_SP0_c.t1, CP6_g9686_DN3_SP0_c.t1	AL1G48060
OG0000049	CP2_g50310_DN2_SP0_c.t1	AL3G47420
OG0000049	CP1_g41374_DN2_SP0_c.t1, CP1_g39385_DN3_SP0_c.t1	AL6G41090
OG0000049	CP1_g39384_DN1_SP0_c.t1	AL3G47410
OG0000049	CP14_g23587_DN3_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1	AL6G37950
OG0000049	CP7_g44323_DN2_SP0_c.t1	nbis-gene-1560
OG0000050	CP18_g11588_DN2_SP0_c.t1	AL5G20430
OG0000050	CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1, CP20_g4061_DN2_SP0_c.t1, CP12_g31035_DN3_SP0_c.t1, CP36_g50953_DN2_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1	AL8G15100, AL8G40700
OG0000052	CP2_g49248_DN2_SP0_c.t1	nbis-gene-988
OG0000053	CP20_g3949_DN2_SP0_c.t1, CP1_g38971_DN3_SP0_c.t1	AL8G40920, AL2G10380, AL1G59190, AL7G34190
OG0000053	CP4_g26576_DN3_SP0_c.t1	AL5G34630
OG0000054	CP5_g2131_DN3_SP0_c.t1	AL5G18550, nbis-gene-807
OG0000055	CP2_g49066_DN2_SP0_c.t1	AL2G13840
OG0000055	CP2_g49067_DN3_SP0_c.t1	AL2G14060, AL2G14070, AL2G14080, AL2G14090
OG0000055	CP2_g49077_DN3_SP0_c.t1	AL2G13900
OG0000056	CP4_g26050_DN2_SP0_c.t1	AL8G19360
OG0000057	CP10_g42516_DN3_SP0_c.t1	AL4G21820
OG0000057	CP10_g43729_DN2_SP0_c.t1	AL3G50860, AL769U10010, AL3G38080
OG0000057	CP12_g29917_DN2_SP0_c.t1	AL5G27570, AL2G18120
OG0000057	CP12_g30730_DN2_SP0_c.t1	nbis-gene-725, AL3G41130
OG0000058	CP5_g3336_DN1_SP0_c.t1, CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1	AL4G27890
OG0000059	CP13_g20626_DN1_SP0_c.t1	AL1G51710
OG0000059	CP14_g22798_DN1_SP0_c.t1	AL1G50760
OG0000059	CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1	AL6G19270
OG0000059	CP12_g31581_DN1_SP0_c.t1	AL3G42970, AL1G54810
OG0000059	CP5_g3316_DN2_SP0_c.t1	AL7G45130, AL5G12450, AL1G66530, AL4G19380, AL9U11720, AL5G19450, AL2G14550, AL2G12980, AL6G42590
OG0000059	CP12_g31525_DN1_SP0_c.t1	AL3G44960, AL8G19180, AL27U10030
OG0000059	CP15_g36037_DN2_SP0_c.t1, CP26_g51313_DN1_SP0_c.t1	AL3G36810
OG0000061	CP1_g40914_DN2_SP0_c.t1	AL2G21910, AL8G29100, AL1G31420, AL8G26420, AL6G33330
OG0000062	CP8_g52439_DN3_SP0_c.t1, CP7_g44287_DN2_SP0_c.t1	nbis-gene-221
OG0000063	CP1_g37049_DN3_SP0_c.t1, CP3_g14842_DN3_SP0_c.t1	AL5G25220
OG0000063	CP1_g37064_DN3_SP0_c.t1	AL1G18100
OG0000064	CP5_g77_DN1_SP0_c.t1	AL7G10840
OG0000064	CP4_g25364_DN3_SP0_c.t1	AL4G29500
OG0000066	CP4_g25642_DN3_SP0_c.t1	AL6G20900
OG0000066	CP2_g49425_DN3_SP0_c.t1	AL6G20890, AL1G19680, AL5G16700
OG0000067	CP12_g31237_DN3_SP0_c.t1	AL3G20250, AL3G20240, AL3G20260
OG0000068	CP4_g26547_DN1_SP0_c.t1	AL3G39900, AL6G50990
OG0000068	CP12_g31766_DN2_SP0_c.t1, CP1_g40960_DN1_SP0_c.t1	AL3G42660, AL7G46520, AL4G33750
OG0000069	CP6_g9730_DN1_SP0_c.t1	nbis-gene-12
OG0000069	CP18_g12305_DN2_SP0_c.t1	AL1G60290, AL5G25100
OG0000073	CP13_g20691_DN1_SP0_c.t1	AL8G11840
OG0000073	CP21_g10991_DN3_SP0_c.t1	AL3G46070
OG0000074	CP7_g45419_DN3_SP0_c.t1	AL1G37350
OG0000074	CP7_g45428_DN3_SP0_c.t1	AL1G37390
OG0000074	CP7_g45420_DN3_SP0_c.t1	AL1G37400
OG0000074	CP20_g4368_DN3_SP0_c.t1	AL1G37370, AL1G37380, AL1G37360
OG0000074	CP7_g45432_DN3_SP0_c.t1	AL1G37270
OG0000074	CP7_g45433_DN3_SP0_c.t1, CP7_g45431_DN3_SP0_c.t1	AL1G37280
OG0000075	CP7_g44717_DN3_SP0_c.t1	AL1G37130, AL4G30220, AL6G20830
OG0000075	CP8_g52637_DN1_SP0_c.t1	AL6G27180, AL1G43860
OG0000076	CP13_g19766_DN3_SP0_c.t1	AL1G65610, AL5G15900
OG0000079	CP10_g42299_DN3_SP0_c.t1	AL3G12550, AL3G12540
OG0000079	CP16_g55065_DN3_SP0_c.t1	AL5G40790
OG0000081	CP7_g44768_DN1_SP0_c.t1, CP16_g55147_DN3_SP0_c.t1	nbis-gene-1089, AL3G17170
OG0000081	CP7_g45047_DN1_SP0_c.t1	nbis-gene-1537
OG0000081	CP20_g4332_DN1_SP0_c.t1	AL6G42950
OG0000084	CP16_g55159_DN2_SP0_c.t1	nbis-gene-1002
OG0000084	CP16_g55161_DN2_SP0_c.t1	AL4G15600
OG0000084	CP16_g55163_DN2_SP0_c.t1	AL4G15550
OG0000085	CP29_g22117_DN1_SP0_c.t1	AL9U10400
OG0000085	CP29_g22118_DN1_SP0_c.t1	AL7G52520
OG0000085	CP7_g44433_DN3_SP0_c.t1	AL9U11250, AL3G29600, AL1G64180
OG0000085	CP14_g22980_DN1_SP0_c.t1	AL1G47700, AL3G42270, AL2G24190, AL6G40850, AL2G32540, AL7G41350, AL3G37700
OG0000085	CP26_g51222_DN2_SP0_c.t1	AL5G12950, AL4G27640, AL4G12180, AL2G24020, AL5G19730, AL2G18440, AL3G36940
OG0000086	CP18_g12051_DN1_SP0_c.t1	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023
OG0000087	CP2_g48308_DN3_SP8_c.t1	AL6G35120
OG0000087	CP4_g25793_DN3_SP8_c.t1	AL4G24260
OG0000087	CP2_g48035_DN3_SP7_c.t1	AL8G39670
OG0000087	CP3_g14713_DN3_SP4_c.t1	AL5G25960
OG0000087	CP11_g32707_DN3_SP8_c.t1	AL6G23060
OG0000087	CP4_g25265_DN3_SP6_c.t1	AL4G30750
OG0000087	CP13_g20168_DN3_SP8_c.t1	AL8G15560
OG0000087	CP6_g6768_DN3_SP8_c.t1	AL7G33260
OG0000087	CP9_g29223_DN3_SP8_c.t1	AL2G35770
OG0000090	CP7_g45746_DN3_SP0_c.t1	AL2G24470, AL4G11370, AL1G32980
OG0000090	CP17_g5790_DN3_SP0_c.t1	AL1G20940
OG0000091	CP3_g15860_DN3_SP0_c.t1, CP3_g15889_DN3_SP0_c.t1, CP2_g49990_DN3_SP0_c.t1, CP8_g52261_DN2_SP0_c.t1, CP8_g52260_DN2_SP0_c.t1, CP8_g52279_DN3_SP0_c.t1, CP18_g11648_DN3_SP0_c.t1, CP3_g15893_DN3_SP0_c.t1, CP3_g15864_DN3_SP0_c.t1, CP1_g38916_DN3_SP0_c.t1, CP2_g49989_DN3_SP0_c.t1, CP4_g26258_DN1_SP0_c.t1, CP4_g26257_DN3_SP0_c.t1	AL2G13330, AL3G42630, AL8G16340
OG0000093	CP3_g13515_DN3_SP0_c.t1	AL5G40110
OG0000093	CP3_g14024_DN3_SP0_c.t1	AL3G42890
OG0000096	CP2_g49677_DN1_SP0_c.t1	AL8G20320, nbis-gene-2073, AL2G15700
OG0000097	CP5_g1424_DN3_SP0_c.t1	AL6G49120
OG0000098	CP1_g37532_DN1_SP0_c.t1	nbis-gene-1028
OG0000098	CP1_g37531_DN2_SP0_c.t1	AL1G23600
OG0000098	CP1_g37530_DN3_SP0_c.t1	AL1G23590
OG0000098	CP13_g20427_DN3_SP0_c.t1	AL1G23480
OG0000100	CP8_g52256_DN3_SP0_c.t1	AL8G34500, AL2G20140, AL8G14910, AL5G22850, nbis-gene-262
OG0000101	CP2_g49326_DN3_SP0_c.t1	AL2G16740
OG0000102	CP33_g3650_DN2_SP0_c.t1, CP9_g27438_DN1_SP0_c.t1, CP15_g36115_DN1_SP0_c.t1, CP4_g26224_DN1_SP0_c.t1, CP6_g9672_DN2_SP0_c.t1	AL7G22190
OG0000102	CP1_g41013_DN1_SP0_c.t1	AL5G31380
OG0000102	CP3_g15363_DN1_SP0_c.t1	AL6G34160
OG0000102	CP14_g23881_DN1_SP0_c.t1	AL8G13680
OG0000102	CP12_g31118_DN1_SP0_c.t1, CP13_g20642_DN2_SP0_c.t1	AL1G44840
OG0000102	CP3_g15487_DN2_SP0_c.t1	AL7G43200
OG0000102	CP21_g10523_DN3_SP0_c.t1, CP18_g12134_DN2_SP0_c.t1, CP14_g23880_DN1_SP0_c.t1, CP14_g23888_DN2_SP0_c.t1, CP3_g15486_DN2_SP0_c.t1, CP12_g31694_DN2_SP0_c.t1, CP13_g20643_DN1_SP0_c.t1, CP4_g26798_DN1_SP0_c.t1, CP3_g16300_DN1_SP0_c.t1, CP4_g26225_DN1_SP0_c.t1	AL2G36550
OG0000102	CP17_g5203_DN1_SP0_c.t1	AL60U10040
OG0000105	CP1_g40642_DN2_SP0_c.t1	AL5G25560
OG0000106	CP6_g7572_DN1_SP0_c.t1	AL3G31590
OG0000106	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1	nbis-gene-1973, nbis-gene-1025, AL4G22680, AL4G22640, AL3G41350, AL3G41320, AL3G41330, AL3G41340
OG0000108	CP2_g48438_DN1_SP0_c.t1	AL4G14150
OG0000108	CP17_g5784_DN1_SP0_c.t1	AL3G43980
OG0000110	CP3_g13458_DN3_SP0_c.t1	AL5G41090
OG0000113	CP12_g31635_DN1_SP0_c.t1	nbis-gene-1539
OG0000114	CP12_g31634_DN1_SP0_c.t1	AL3G14170
OG0000114	CP12_g31654_DN3_SP0_c.t1	AL1G52710
OG0000115	CP2_g49800_DN1_SP0_c.t1	AL1G16160, AL2G19110
OG0000116	CP3_g15993_DN3_SP0_c.t1, CP3_g15786_DN3_SP0_c.t1, CP3_g16109_DN3_SP0_c.t1, CP14_g22737_DN3_SP0_c.t1, CP2_g50064_DN3_SP0_c.t1, CP9_g28240_DN3_SP0_c.t1, CP14_g23591_DN3_SP0_c.t1, CP14_g22728_DN3_SP0_c.t1, CP13_g20622_DN3_SP0_c.t1, CP31_g46658_DN2_SP0_c.t1, CP4_g26901_DN3_SP0_c.t1, CP31_g46599_DN3_SP0_c.t1, CP3_g15720_DN3_SP0_c.t1, CP14_g23090_DN3_SP0_c.t1, CP20_g4127_DN3_SP0_c.t1, CP28_g33960_DN2_SP0_c.t1, CP1_g40743_DN2_SP0_c.t1, CP1_g40732_DN2_SP0_c.t1, CP21_g10505_DN2_SP0_c.t1, CP25_g55830_DN3_SP0_c.t1, CP44_g20957_DN3_SP0_c.t1, CP14_g23169_DN1_SP0_c.t1, CP6_g9453_DN3_SP0_c.t1, CP15_g35512_DN3_SP0_c.t1, CP28_g33977_DN3_SP0_c.t1	AL4G42280
OG0000117	CP14_g23890_DN3_SP0_c.t1, CP3_g15485_DN3_SP0_c.t1, CP15_g36117_DN3_SP0_c.t1, CP1_g41162_DN3_SP0_c.t1, CP3_g15353_DN1_SP0_c.t1, CP18_g12133_DN2_SP0_c.t1, CP6_g7639_DN2_SP0_c.t1, CP22_g17338_DN1_SP0_c.t1, CP12_g31607_DN1_SP0_c.t1, CP5_g3263_DN2_SP0_c.t1	AL8G20470
OG0000117	CP17_g5842_DN2_SP0_c.t1	AL6G44320
OG0000118	CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1	AL5G18800
OG0000118	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1	AL6G41700, AL6G41690, AL6G51870, AL496U10020, AL496U10010, AL6G51840, AL6G41680, AL6G41670
OG0000120	CP2_g49217_DN3_SP0_c.t1, CP2_g49209_DN1_SP0_c.t1	nbis-gene-408, AL2G15570
OG0000122	CP8_g53628_DN3_SP0_c.t1	AL8G31960
OG0000122	CP8_g53621_DN3_SP0_c.t1, CP8_g53620_DN3_SP0_c.t1	nbis-gene-2149
OG0000123	CP7_g45076_DN3_SP0_c.t1	AL1G41710, AL1G41700
OG0000123	CP19_g18011_DN3_SP0_c.t1	AL7G26670
OG0000123	CP1_g37644_DN3_SP0_c.t1	AL1G25180, AL1G25190
OG0000124	CP1_g39061_DN1_SP0_c.t1, CP13_g20361_DN1_SP0_c.t1, CP3_g16605_DN2_SP0_c.t1, CP6_g8745_DN2_SP0_c.t1, CP5_g1942_DN3_SP0_c.t1, CP6_g8614_DN2_SP0_c.t1, CP17_g4921_DN2_SP0_c.t1, CP4_g26048_DN1_SP0_c.t1, CP2_g50524_DN2_SP0_c.t1, CP13_g20268_DN3_SP0_c.t1	AL8G32360
OG0000124	CP1_g38598_DN2_SP0_c.t1, CP6_g9750_DN1_SP0_c.t1	nbis-gene-1897
OG0000124	CP8_g54204_DN2_SP0_c.t1, CP22_g17175_DN1_SP0_c.t1	AL3G31830
OG0000124	CP16_g55125_DN3_SP0_c.t1, CP1_g38747_DN1_SP0_c.t1, CP16_g55303_DN1_SP0_c.t1, CP9_g27784_DN2_SP0_c.t1	nbis-gene-1516
OG0000124	CP2_g49700_DN3_SP0_c.t1	AL3G43990
OG0000124	CP8_g54335_DN2_SP0_c.t1	nbis-gene-2162
OG0000125	CP11_g33621_DN2_SP0_c.t1	AL3G20660
OG0000125	CP8_g54114_DN3_SP0_c.t1	AL6G34020
OG0000125	CP8_g54018_DN3_SP0_c.t1	AL8G36480
OG0000125	CP3_g14833_DN3_SP0_c.t1	AL5G24750
OG0000125	CP4_g25869_DN3_SP0_c.t1	AL4G23250
OG0000126	CP13_g20755_DN2_SP0_c.t1, CP8_g52207_DN3_SP0_c.t1, CP1_g40798_DN1_SP0_c.t1, CP18_g12086_DN1_SP0_c.t1, CP12_g30973_DN2_SP0_c.t1, CP6_g8636_DN1_SP0_c.t1, CP13_g20554_DN1_SP0_c.t1, CP1_g40799_DN1_SP0_c.t1, CP2_g50773_DN2_SP0_c.t1, CP36_g50966_DN3_SP0_c.t1, CP1_g39950_DN3_SP0_c.t1, CP14_g23196_DN3_SP0_c.t1, CP5_g2510_DN1_SP0_c.t1, CP18_g12085_DN2_SP0_c.t1, CP15_g35845_DN3_SP0_c.t1, CP95_g12688_DN3_SP0_c.t1, CP18_g11788_DN2_SP0_c.t1	AL3G44880, AL4G19050
OG0000127	CP3_g14752_DN3_SP0_c.t1, CP17_g6016_DN3_SP0_c.t1	AL3G20190
OG0000127	CP6_g7448_DN3_SP0_c.t1, CP12_g30884_DN3_SP0_c.t1, CP12_g30885_DN3_SP0_c.t1	AL1G22140, AL1G22160, AL1G17320, AL638U10010
OG0000128	CP25_g55878_DN2_SP0_c.t1	AL6G51530
OG0000128	CP6_g9543_DN2_SP0_c.t1	AL7G53080
OG0000131	CP13_g20753_DN3_SP0_c.t1, CP22_g17669_DN1_SP0_c.t1, CP74_g56236_DN3_SP0_c.t1, CP95_g12691_DN3_SP0_c.t1, CP3_g14115_DN3_SP0_c.t1, CP1_g40795_DN2_SP0_c.t1, CP22_g17668_DN1_SP0_c.t1, CP8_g52209_DN3_SP0_c.t1, CP17_g6028_DN3_SP0_c.t1, CP20_g4238_DN3_SP0_c.t1, CP8_g52212_DN3_SP0_c.t1, CP7_g44474_DN2_SP0_c.t1, CP9_g27817_DN2_SP0_c.t1, CP7_g44473_DN2_SP0_c.t1, CP1_g39948_DN1_SP0_c.t1	AL3G42080, AL4G18650, AL5G18470, AL2G20370, AL8G13990, AL1G46930, AL2G19090
OG0000131	CP12_g30982_DN3_SP0_c.t1, CP18_g12092_DN3_SP0_c.t1, CP9_g27816_DN2_SP0_c.t1	AL5G18060
OG0000132	CP14_g23531_DN3_SP0_c.t1, CP27_g41691_DN3_SP0_c.t1	AL614U10020
