Orthogroup	Conringia_planisiliqua	Aethionema_saxatile
OG0000116	CP6_g9453_DN3_SP0_c.t1, CP15_g35512_DN3_SP0_c.t1, CP28_g33977_DN3_SP0_c.t1	As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410
OG0000118	CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770
OG0000122	CP8_g53628_DN3_SP0_c.t1	As002G036520
OG0000123	CP19_g18011_DN3_SP0_c.t1	As008G183750
OG0000123	CP2_g49912_DN3_SP0_c.t1, CP1_g37670_DN3_SP0_c.t1, CP10_g44063_DN3_SP0_c.t1, CP1_g37644_DN3_SP0_c.t1, CP5_g1625_DN3_SP0_c.t1	As008G183720
OG0000125	CP3_g13990_DN2_SP0_c.t1	As006G146230
OG0000125	CP4_g24986_DN3_SP0_c.t1	As012G277440
OG0000125	CP11_g33621_DN2_SP0_c.t1, CP10_g42910_DN3_SP0_c.t1	As005G107620
OG0000125	CP8_g54114_DN3_SP0_c.t1	As005G113770
OG0000125	CP8_g54018_DN3_SP0_c.t1	As005G114700, As010G224880
OG0000125	CP4_g25869_DN3_SP0_c.t1	As006G129500
OG0000127	CP6_g7448_DN3_SP0_c.t1, CP12_g30884_DN3_SP0_c.t1, CP12_g30885_DN3_SP0_c.t1	As008G186430, As008G186390, As008G185640
OG0000127	CP12_g30886_DN1_SP0_c.t1	As008G186440
OG0000133	CP23_g21574_DN1_SP0_c.t1, CP1_g38892_DN3_SP0_c.t1, CP30_g10024_DN3_SP0_c.t1, CP10_g43905_DN3_SP0_c.t1, CP18_g11530_DN3_SP0_c.t1, CP27_g41687_DN2_SP0_c.t1, CP7_g44181_DN1_SP0_c.t1, CP36_g51006_DN1_SP0_c.t1, CP31_g46836_DN3_SP0_c.t1, CP96_g34206_DN3_SP0_c.t1	As007G165020
OG0000133	CP16_g55355_DN3_SP0_c.t1, CP1_g38831_DN3_SP0_c.t1, CP1_g38743_DN3_SP0_c.t1, CP16_g55379_DN3_SP0_c.t1, CP18_g11525_DN3_SP0_c.t1, CP29_g21957_DN3_SP0_c.t1, CP1_g38828_DN3_SP0_c.t1, CP15_g34799_DN3_SP0_c.t1, CP16_g55378_DN1_SP0_c.t1, CP17_g5408_DN3_SP0_c.t1, CP6_g8172_DN3_SP0_c.t1, CP1_g38774_DN3_SP0_c.t1, CP25_g56000_DN3_SP0_c.t1, CP12_g31312_DN3_SP0_c.t1, CP31_g46783_DN3_SP0_c.t1, CP3_g16732_DN3_SP0_c.t1, CP3_g16786_DN3_SP0_c.t1, CP6_g9687_DN3_SP0_c.t1, CP1_g39364_DN3_SP0_c.t1, CP17_g6255_DN3_SP0_c.t1, CP9_g27528_DN3_SP0_c.t1, CP7_g44180_DN3_SP0_c.t1, CP15_g34601_DN3_SP0_c.t1, CP6_g8795_DN3_SP0_c.t1, CP15_g35572_DN3_SP0_c.t1, CP1_g40804_DN3_SP0_c.t1, CP17_g4997_DN3_SP0_c.t1, CP2_g50653_DN3_SP0_c.t1, CP22_g17525_DN3_SP0_c.t1, CP12_g31604_DN3_SP0_c.t1, CP15_g35987_DN3_SP0_c.t1, CP18_g11529_DN3_SP0_c.t1, CP23_g21575_DN3_SP0_c.t1, CP17_g4998_DN3_SP0_c.t1, CP31_g46845_DN3_SP0_c.t1, CP36_g50997_DN3_SP0_c.t1, CP1_g40805_DN3_SP0_c.t1, CP10_g44074_DN3_SP0_c.t1, CP21_g10968_DN3_SP0_c.t1, CP6_g8815_DN3_SP0_c.t1	As007G167120, As007G166850, As004G092840, As011G261830
OG0000135	CP3_g15628_DN2_SP0_c.t1	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440
OG0000135	CP2_g50296_DN1_SP0_c.t1, CP15_g35923_DN2_SP0_c.t1	As001G004200
OG0000135	CP17_g5860_DN2_SP0_c.t1	As001G005020
OG0000135	CP8_g52524_DN1_SP0_c.t1, CP5_g2026_DN1_SP0_c.t1, CP21_g11066_DN3_SP0_c.t1	As008G186340
OG0000136	CP9_g28199_DN3_SP0_c.t1	As001G028730
OG0000138	CP16_g55313_DN2_SP0_c.t1	As010G224060
OG0000138	CP9_g28663_DN3_SP0_c.t1, CP2_g48868_DN3_SP0_c.t1	As001G027950, As001G027940, As007G161530
OG0000139	CP15_g35652_DN2_SP0_c.t1, CP35_g52064_DN1_SP0_c.t1	As001G010560
OG0000140	CP17_g5869_DN3_SP0_c.t1	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000143	CP3_g15650_DN3_SP0_c.t1	As007G177750
OG0000147	CP10_g43624_DN3_SP8_c.t1	As011G265720
OG0000147	CP5_g984_DN3_SP8_c.t1	As001G002190
OG0000147	CP8_g53733_DN3_SP8_c.t1	As002G049060
OG0000147	CP9_g29643_DN3_SP8_c.t1	As010G243490
OG0000147	CP17_g5850_DN3_SP8_c.t1	As011G259420
OG0000149	CP3_g14788_DN3_SP0_c.t1	As010G224590
OG0000149	CP8_g53987_DN3_SP0_c.t1, CP8_g53985_DN3_SP0_c.t1	As010G224610
OG0000151	CP5_g1205_DN3_SP7_c.t1	As007G166070
OG0000151	CP10_g42832_DN3_SP8_c.t1	As006G141980, As006G133740
OG0000151	CP10_g43893_DN3_SP8_c.t1	As011G263600
OG0000151	CP8_g53599_DN3_SP8_c.t1	As002G047900
OG0000151	CP19_g17855_DN3_SP6_c.t1, CP13_g19098_DN3_SP8_c.t1	As001G030700
OG0000155	CP11_g32106_DN3_SP0_c.t1, CP11_g32105_DN1_SP0_c.t1	As003G059350
OG0000161	CP2_g48114_DN3_SP0_c.t1, CP10_g43808_DN3_SP0_c.t1, CP9_g27597_DN3_SP0_c.t1, CP9_g27593_DN3_SP0_c.t1	As001G013550, As001G029600, As001G029610
OG0000164	CP5_g1063_DN3_SP0_c.t1	As011G264140, As011G262780
OG0000165	CP13_g20570_DN1_SP0_c.t1	As011G245360
OG0000166	CP9_g28808_DN2_SP0_c.t1	As010G228020
OG0000166	CP8_g54681_DN2_SP0_c.t1	As004G081580, As001G006820, As003G064800, As010G230400, As010G226530, As002G041150, As009G205490, As001G005350, As008G194830, As002G036330, As008G185730, As010G227240, As009G213530, As001G028210, As006G147470, As012G278710, As009G209860, As012G278700, As009G212490, As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080
OG0000167	CP6_g6855_DN3_SP0_c.t1	As003G057890
OG0000168	CP15_g35379_DN3_SP0_c.t1	As008G194570
OG0000168	CP14_g23759_DN1_SP0_c.t1, CP3_g16060_DN1_SP0_c.t1, CP8_g52217_DN1_SP0_c.t1	As010G230090
OG0000171	CP4_g24004_DN3_SP6_c.t1	As005G099780
OG0000171	CP2_g49264_DN3_SP7_c.t1	As001G020870
OG0000171	CP11_g32500_DN3_SP8_c.t1	As009G200410
OG0000175	CP10_g43741_DN3_SP4_c.t1	As010G220360
OG0000175	CP7_g45756_DN3_SP8_c.t1	As007G156270
OG0000175	CP5_g509_DN3_SP8_c.t1	As011G263590
OG0000184	CP9_g27599_DN3_SP0_c.t1, CP15_g34572_DN3_SP0_c.t1, CP3_g16448_DN1_SP0_c.t1	As004G089570
OG0000187	CP1_g38275_DN3_SP0_c.t1	As001G003940
OG0000187	CP5_g831_DN3_SP0_c.t1	As001G003960
OG0000190	CP11_g31843_DN3_SP0_c.t1	As004G085680
OG0000192	CP9_g29342_DN3_SP0_c.t1	As007G157190
OG0000195	CP3_g15618_DN3_SP5_c.t1, CP8_g54208_DN3_SP5_c.t1	As005G112850
OG0000195	CP5_g1726_DN3_SP8_c.t1	As001G028840
OG0000204	CP12_g30628_DN3_SP0_c.t1	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590
OG0000206	CP29_g22119_DN2_SP0_c.t1	As003G068620, As001G006580
OG0000207	CP7_g44570_DN3_SP0_c.t1, CP10_g42561_DN3_SP0_c.t1, CP9_g29509_DN3_SP0_c.t1	As003G061070
OG0000208	CP5_g130_DN2_SP0_c.t1	As003G075230
OG0000208	CP3_g15247_DN3_SP0_c.t1, CP5_g129_DN3_SP0_c.t1	As003G075200, As003G075180, As003G075210, As003G060140
OG0000208	CP5_g1521_DN3_SP0_c.t1, CP5_g131_DN3_SP0_c.t1	As003G075160
OG0000213	CP5_g1624_DN3_SP0_c.t1, CP16_g54934_DN3_SP1_c.t1	As002G038840
OG0000215	CP18_g12127_DN2_SP0_c.t1, CP15_g35155_DN1_SP0_c.t1	As011G258310
OG0000217	CP2_g49418_DN3_SP0_c.t1, CP5_g3331_DN3_SP0_c.t1, CP2_g49421_DN3_SP0_c.t1, CP8_g52792_DN1_SP0_c.t1, CP2_g49383_DN2_SP0_c.t1, CP2_g49358_DN1_SP0_c.t1	As001G019850
OG0000217	CP2_g49375_DN3_SP0_c.t1	As001G018860
OG0000218	CP1_g37802_DN3_SP1_c.t1, CP1_g37803_DN3_SP1_c.t1, CP19_g18287_DN3_SP0_c.t1, CP19_g18288_DN3_SP2_c.t1, CP13_g19663_DN3_SP3_c.t1, CP13_g19662_DN3_SP0_c.t1, CP13_g19661_DN2_SP8_c.t1	As001G022650
OG0000219	CP2_g47984_DN2_SP0_c.t1	As003G064990
OG0000221	CP1_g40659_DN2_SP0_c.t1, CP15_g36035_DN1_SP0_c.t1, CP15_g35095_DN1_SP0_c.t1, CP20_g3834_DN1_SP0_c.t1	As002G040520
OG0000224	CP9_g29396_DN3_SP0_c.t1, CP9_g29395_DN3_SP1_c.t1	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000225	CP7_g44968_DN2_SP0_c.t1	As003G069680, As003G070050
OG0000228	CP7_g45473_DN3_SP2_c.t1	As007G159250
OG0000228	CP7_g45471_DN3_SP0_c.t1	As010G233780, As010G233750
OG0000228	CP9_g28715_DN2_SP0_c.t1, CP9_g28718_DN3_SP0_c.t1, CP9_g28716_DN2_SP0_c.t1, CP9_g28712_DN3_SP0_c.t1, CP9_g28709_DN2_SP0_c.t1, CP9_g28708_DN2_SP0_c.t1	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	CP1_g38847_DN3_SP0_c.t1, CP46_g6641_DN3_SP0_c.t1, CP100_g56185_DN3_SP0_c.t1, CP46_g6645_DN3_SP0_c.t1, CP15_g34757_DN3_SP0_c.t1, CP1_g39749_DN3_SP0_c.t1, CP1_g38772_DN3_SP0_c.t1, CP1_g39081_DN3_SP0_c.t1, CP1_g38830_DN3_SP0_c.t1, CP291_g50944_DN3_SP0_c.t1, CP100_g56192_DN3_SP0_c.t1, CP100_g56188_DN3_SP0_c.t1, CP1_g38794_DN3_SP0_c.t1, CP1_g38624_DN3_SP0_c.t1, CP1_g38813_DN3_SP0_c.t1, CP5_g1545_DN3_SP0_c.t1, CP5_g1552_DN3_SP0_c.t1, CP5_g1701_DN3_SP0_c.t1, CP46_g6643_DN1_SP0_c.t1, CP1_g38829_DN3_SP0_c.t1, CP18_g11849_DN3_SP0_c.t1, CP1_g39090_DN3_SP0_c.t1, CP1_g39092_DN3_SP0_c.t1, CP234_g41541_DN3_SP0_p.t1, CP46_g6649_DN1_SP0_c.t1, CP1_g38877_DN1_SP0_c.t1, CP100_g56191_DN1_SP0_c.t1, CP386_g3773_DN3_SP0_c.t1, CP100_g56183_DN3_SP0_c.t1, CP46_g6647_DN2_SP0_c.t1, CP100_g56189_DN2_SP0_c.t1, CP1_g38822_DN3_SP0_c.t1, CP1_g38765_DN3_SP0_c.t1, CP16_g55342_DN3_SP0_c.t1, CP5_g1548_DN3_SP0_c.t1, CP5_g1699_DN3_SP0_c.t1, CP5_g1693_DN3_SP0_c.t1, CP5_g1696_DN3_SP0_c.t1, CP5_g1550_DN3_SP0_c.t1, CP15_g34756_DN3_SP0_c.t1, CP1_g39086_DN3_SP0_c.t1, CP1_g38878_DN3_SP0_c.t1, CP234_g41533_DN3_SP0_p.t1, CP1_g38833_DN3_SP0_c.t1, CP1_g38779_DN3_SP0_c.t1, CP1_g38849_DN3_SP0_c.t1, CP1_g38796_DN3_SP0_c.t1, CP234_g41540_DN3_SP0_c.t1, CP1_g38775_DN3_SP0_c.t1, CP1_g38760_DN3_SP0_c.t1, CP1_g38808_DN3_SP0_c.t1, CP3_g15219_DN3_SP0_c.t1, CP1_g38626_DN2_SP0_c.t1, CP291_g50945_DN3_SP0_p.t1, CP1_g38628_DN3_SP0_c.t1, CP1_g39091_DN2_SP0_c.t1, CP46_g6642_DN3_SP0_c.t1, CP1_g38414_DN3_SP0_c.t1, CP1_g38812_DN3_SP0_c.t1, CP1_g38771_DN3_SP0_c.t1, CP1_g38627_DN3_SP0_c.t1, CP1_g38413_DN3_SP0_c.t1, CP5_g1691_DN3_SP0_c.t1, CP5_g1551_DN3_SP0_c.t1, CP100_g56190_DN3_SP0_c.t1, CP46_g6650_DN3_SP0_c.t1, CP100_g56184_DN3_SP0_c.t1, CP46_g6646_DN3_SP0_c.t1, CP1_g38795_DN2_SP0_c.t1, CP1_g38848_DN3_SP0_c.t1, CP1_g38827_DN3_SP0_c.t1, CP1_g38858_DN3_SP0_c.t1, CP1_g39750_DN3_SP0_c.t1, CP3_g15508_DN3_SP0_c.t1, CP1_g38797_DN3_SP0_c.t1, CP1_g38411_DN3_SP0_c.t1, CP1_g40623_DN3_SP0_c.t1, CP1_g38759_DN3_SP0_c.t1, CP1_g38807_DN3_SP0_c.t1, CP1_g39087_DN3_SP0_c.t1, CP1_g38304_DN3_SP0_c.t1	As004G077900
OG0000232	CP12_g30592_DN3_SP0_c.t1, CP19_g18537_DN1_SP0_c.t1, CP19_g18532_DN1_SP0_c.t1, CP19_g18527_DN1_SP0_c.t1, CP16_g54960_DN1_SP0_c.t1	As002G036540, As006G139020
OG0000242	CP10_g44098_DN3_SP0_c.t1, CP1_g37709_DN3_SP1_c.t1, CP1_g37710_DN2_SP0_c.t1, CP1_g37712_DN3_SP0_c.t1, CP1_g37708_DN3_SP1_c.t1	As008G183340, As008G183330
OG0000244	CP19_g18502_DN3_SP0_c.t1	As003G059930
OG0000244	CP19_g18503_DN3_SP1_c.t1	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900
OG0000244	CP11_g31874_DN3_SP3_c.t1	As004G085860, As004G085850
