Orthogroup	Conringia_planisiliqua	Eutrema_salsugineum
OG0000029	CP22_g17304_DN2_SP0_c.t1	XP_024011383.1, XP_024007307.1, XP_024015973.1, XP_024010526.1, XP_024013940.1, XP_024004951.1, XP_024008063.1, XP_024010678.1
OG0000029	CP29_g22076_DN3_SP0_c.t1	XP_024005553.1
OG0000030	CP6_g9916_DN1_SP0_c.t1	XP_024009944.1
OG0000030	CP8_g52167_DN3_SP0_c.t1	XP_024009281.1
OG0000033	CP16_g55465_DN3_SP1_c.t1	XP_006413566.2, XP_006413567.2, XP_024004626.1, XP_006413576.1
OG0000034	CP47_g21230_DN1_SP0_c.t1, CP47_g21257_DN2_SP0_c.t1, CP14_g23830_DN3_SP0_c.t1, CP1_g40470_DN3_SP0_c.t1	XP_024016360.1, XP_024014012.1, XP_024016375.1
OG0000034	CP15_g35590_DN3_SP0_c.t1	XP_024004424.1, XP_024005008.1, XP_024004803.1, XP_024016361.1
OG0000035	CP9_g29505_DN2_SP0_c.t1	XP_006407903.2
OG0000035	CP4_g25547_DN2_SP0_c.t1	XP_006410338.1
OG0000035	CP9_g28258_DN1_SP0_c.t1	XP_006391498.1
OG0000035	CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1	XP_006406533.1
OG0000035	CP3_g14428_DN3_SP0_c.t1	XP_024013597.1
OG0000036	CP13_g20701_DN3_SP0_c.t1	XP_024013600.1
OG0000036	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1	XP_024012609.1, XP_024009371.1
OG0000036	CP17_g5406_DN1_SP0_c.t1	XP_024016265.1
OG0000037	CP24_g47339_DN2_SP0_c.t1, CP3_g15633_DN2_SP0_c.t1	XP_024006537.1
OG0000038	CP7_g45289_DN3_SP0_c.t1	XP_024008946.1, XP_024008016.1
OG0000038	CP13_g20184_DN3_SP0_c.t1	XP_024011148.1, XP_006403112.2
OG0000038	CP10_g43041_DN3_SP0_c.t1	XP_024015270.1
OG0000040	CP11_g31940_DN3_SP0_c.t1	XP_024008003.1
OG0000040	CP10_g43630_DN1_SP0_c.t1	XP_024016186.1
OG0000042	CP4_g26084_DN1_SP0_c.t1, CP5_g2115_DN2_SP0_c.t1	XP_024006511.1
OG0000042	CP19_g18411_DN2_SP0_c.t1	XP_024004874.1, XP_024014479.1
OG0000042	CP15_g36146_DN1_SP0_c.t1	XP_024004988.1
OG0000042	CP13_g20255_DN1_SP0_c.t1	XP_024013326.1
OG0000043	CP29_g22024_DN2_SP0_c.t1	XP_024009417.1, XP_024010105.1, XP_024015145.1, XP_024006527.1, XP_024013117.1, XP_024009280.1, XP_024005016.1, XP_024009364.1, XP_024013594.1
OG0000044	CP30_g10197_DN3_SP0_c.t1, CP1_g41420_DN3_SP0_c.t1	XP_024013601.1, XP_024006447.1, XP_024009472.1, XP_024009471.1
OG0000044	CP8_g52809_DN3_SP0_c.t1	XP_024010419.1, XP_024009726.1
OG0000044	CP1_g39285_DN1_SP0_c.t1	XP_024006486.1, XP_006401889.2, XP_024009662.1, XP_024011380.1, XP_024013796.1, XP_024010208.1, XP_006389862.1, XP_006403918.2
OG0000044	CP15_g34716_DN3_SP0_c.t1	XP_024015030.1
OG0000045	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1	XP_024010150.1
OG0000045	CP2_g49348_DN2_SP0_c.t1	XP_024014022.1
OG0000045	CP1_g38484_DN3_SP0_c.t1	XP_024011224.1
OG0000045	CP26_g51323_DN1_SP0_c.t1	XP_024006618.1
OG0000045	CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1	XP_024013167.1, XP_024012481.1
OG0000045	CP15_g34638_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1	XP_024010455.1
OG0000045	CP6_g7550_DN1_SP0_c.t1	XP_024011373.1, XP_024015844.1, XP_024006123.1, XP_024006531.1, XP_024010635.1, XP_024009411.1
OG0000046	CP5_g1580_DN2_SP0_c.t1	XP_024014419.1
OG0000046	CP9_g28234_DN3_SP0_c.t1	XP_006391458.1
OG0000047	CP2_g50481_DN2_SP0_c.t1	XP_024014292.1
OG0000048	CP10_g42378_DN2_SP0_c.t1	XP_006408252.2
OG0000048	CP10_g42381_DN3_SP0_c.t1	XP_024014979.1
OG0000048	CP11_g32171_DN3_SP0_c.t1, CP11_g32165_DN3_SP0_c.t1	XP_006400349.1
OG0000048	CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1	XP_006400347.1, XP_006400352.1, XP_006400344.1, XP_006400348.1
OG0000048	CP11_g32164_DN3_SP0_c.t1, CP11_g32172_DN3_SP0_c.t1, CP11_g32166_DN3_SP0_c.t1, CP11_g32169_DN3_SP0_c.t1	XP_006400345.1
OG0000049	CP12_g31464_DN1_SP0_c.t1, CP1_g39918_DN2_SP0_c.t1, CP1_g39386_DN1_SP0_c.t1	XP_024004893.1
OG0000049	CP14_g23587_DN3_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1	XP_024011200.1
OG0000050	CP18_g11588_DN2_SP0_c.t1	XP_024013032.1
OG0000050	CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1, CP20_g4061_DN2_SP0_c.t1, CP12_g31035_DN3_SP0_c.t1, CP36_g50953_DN2_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010297.1, XP_024010298.1, XP_024008041.1, XP_024009617.1, XP_024010321.1, XP_024009248.1, XP_024010226.1, XP_024004127.1, XP_024010620.1, XP_024011215.1, XP_024016291.1, XP_024013963.1
OG0000050	CP1_g40825_DN2_SP0_c.t1	XP_024016230.1, XP_024010222.1
OG0000050	CP7_g44165_DN3_SP0_c.t1	XP_024009412.1
OG0000052	CP4_g24481_DN3_SP0_c.t1	XP_006411503.1
OG0000052	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1	XP_024004184.1
OG0000052	CP4_g24480_DN3_SP0_c.t1	XP_024004231.1
OG0000053	CP9_g27482_DN3_SP0_c.t1	XP_024016529.1, XP_024007942.1, XP_024010231.1, XP_024005865.1
OG0000053	CP4_g26576_DN3_SP0_c.t1	XP_024006276.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024013968.1, XP_024010380.1, XP_024013302.1, XP_024014239.1, XP_024014568.1, XP_024004842.1, XP_024004845.1, XP_024004831.1, XP_024004843.1, XP_024012732.1, XP_024006590.1, XP_024013675.1, XP_024009487.1, XP_024006533.1, XP_024010626.1
OG0000054	CP3_g15706_DN3_SP0_c.t1, CP3_g15691_DN3_SP0_c.t1	XP_006397270.2
OG0000054	CP5_g2131_DN3_SP0_c.t1	XP_024016368.1, XP_024009310.1, XP_024005013.1
OG0000055	CP2_g49071_DN3_SP0_c.t1	XP_006391935.1
OG0000055	CP2_g49031_DN3_SP0_c.t1	XP_006391863.1, XP_024016712.1, XP_006391858.2
OG0000055	CP2_g49078_DN3_SP0_c.t1	XP_006391923.1, XP_006391921.1, XP_006391945.1, XP_006390854.1, XP_006391937.1, XP_024015433.1
OG0000055	CP2_g49077_DN3_SP0_c.t1	XP_024016867.1
OG0000056	CP2_g49697_DN3_SP0_c.t1	XP_024009899.1, XP_024016377.1, XP_024014710.1, XP_024004977.1, XP_024016537.1
OG0000056	CP9_g27806_DN2_SP0_c.t1	XP_024009686.1
OG0000056	CP6_g8758_DN1_SP0_c.t1	XP_024006605.1
OG0000056	CP76_g27141_DN3_SP0_c.t1, CP23_g21854_DN3_SP0_c.t1, CP23_g21662_DN2_SP0_c.t1, CP23_g21733_DN3_SP0_c.t1, CP23_g21767_DN1_SP0_c.t1, CP22_g17221_DN2_SP0_c.t1, CP22_g17291_DN1_SP0_c.t1, CP23_g21606_DN1_SP0_c.t1, CP6_g9003_DN1_SP0_c.t1	XP_024014312.1, XP_024012933.1
OG0000057	CP10_g43729_DN2_SP0_c.t1	XP_024016535.1
OG0000057	CP12_g29917_DN2_SP0_c.t1	XP_006406926.2
OG0000057	CP12_g30730_DN2_SP0_c.t1, CP10_g42649_DN3_SP0_c.t1, CP12_g30848_DN3_SP0_c.t1	XP_024012536.1
OG0000059	CP6_g7965_DN2_SP0_c.t1	XP_024004071.1
OG0000059	CP10_g44057_DN2_SP0_c.t1	XP_024013223.1
OG0000059	CP1_g39495_DN2_SP0_c.t1	XP_024010650.1
OG0000059	CP26_g51312_DN2_SP0_c.t1	XP_024009942.1
OG0000059	CP50_g6564_DN3_SP0_c.t1	XP_024014527.1, XP_024014297.1, XP_024015880.1, XP_024004974.1
OG0000059	CP12_g31581_DN1_SP0_c.t1	XP_024014246.1
OG0000059	CP5_g3316_DN2_SP0_c.t1	XP_024014004.1
OG0000059	CP12_g31525_DN1_SP0_c.t1	XP_024005015.1
OG0000059	CP15_g36037_DN2_SP0_c.t1	XP_024010658.1
OG0000059	CP12_g31419_DN1_SP0_c.t1	XP_024004880.1
OG0000059	CP1_g38522_DN1_SP0_c.t1	XP_024011306.1
OG0000060	CP1_g40521_DN1_SP0_c.t1, CP6_g8728_DN2_SP0_c.t1, CP15_g34513_DN2_SP0_c.t1, CP26_g51317_DN2_SP0_c.t1, CP28_g33833_DN1_SP0_c.t1, CP5_g3440_DN1_SP0_c.t1, CP23_g21357_DN2_SP0_c.t1, CP18_g11519_DN1_SP0_c.t1, CP7_g44268_DN3_SP0_c.t1, CP8_g52493_DN1_SP0_c.t1, CP18_g11595_DN2_SP0_c.t1, CP6_g9762_DN2_SP0_c.t1, CP17_g6200_DN1_SP0_c.t1, CP28_g33789_DN3_SP0_c.t1, CP15_g35222_DN2_SP0_c.t1, CP4_g26566_DN2_SP0_c.t1, CP1_g39393_DN2_SP0_c.t1, CP9_g27602_DN1_SP0_c.t1, CP35_g52041_DN1_SP0_c.t1, CP3_g16147_DN1_SP0_c.t1, CP29_g22023_DN2_SP0_c.t1, CP23_g21362_DN2_SP0_c.t1, CP14_g23560_DN1_SP0_c.t1, CP1_g40045_DN1_SP0_c.t1, CP1_g39302_DN3_SP0_c.t1, CP14_g23290_DN3_SP0_c.t1, CP2_g50628_DN3_SP0_c.t1, CP1_g40977_DN1_SP0_c.t1, CP3_g15514_DN2_SP0_c.t1, CP3_g16309_DN3_SP0_c.t1, CP17_g5792_DN2_SP0_c.t1, CP18_g12096_DN1_SP0_c.t1, CP7_g44105_DN2_SP0_c.t1, CP15_g35072_DN1_SP0_c.t1, CP18_g11551_DN2_SP0_c.t1, CP6_g8880_DN3_SP0_c.t1, CP27_g41904_DN3_SP0_c.t1, CP23_g21444_DN1_SP0_c.t1, CP3_g16691_DN2_SP0_c.t1, CP2_g50559_DN2_SP0_c.t1, CP17_g4943_DN2_SP0_c.t1, CP28_g33906_DN3_SP0_c.t1, CP17_g6078_DN2_SP0_c.t1, CP33_g3690_DN2_SP0_c.t1, CP1_g38708_DN2_SP0_c.t1, CP59_g6671_DN2_SP0_c.t1, CP15_g34966_DN2_SP0_c.t1, CP24_g47456_DN2_SP0_c.t1, CP23_g21555_DN3_SP0_c.t1, CP23_g21696_DN3_SP0_c.t1, CP115_g10367_DN3_SP0_c.t1, CP23_g21502_DN2_SP0_c.t1, CP3_g16462_DN1_SP0_c.t1, CP3_g16619_DN1_SP0_c.t1, CP3_g16333_DN3_SP0_c.t1, CP6_g9846_DN2_SP0_c.t1, CP1_g40606_DN2_SP0_c.t1, CP6_g9555_DN1_SP0_c.t1, CP3_g16695_DN3_SP0_c.t1, CP4_g26744_DN1_SP0_c.t1	XP_024011528.1
OG0000061	CP1_g40914_DN2_SP0_c.t1	XP_024004223.1, XP_024014389.1, XP_024013908.1, XP_024014942.1
OG0000062	CP8_g52439_DN3_SP0_c.t1	XP_024003982.1, XP_006414525.2, XP_024014161.1
OG0000064	CP5_g77_DN1_SP0_c.t1	XP_006411683.1
OG0000064	CP4_g25364_DN3_SP0_c.t1	XP_006410525.1
OG0000064	CP20_g3903_DN2_SP0_c.t1	XP_006397052.1, XP_024010258.1, XP_024010259.1, XP_024010257.1
OG0000064	CP8_g53270_DN3_SP0_c.t1	XP_006397224.1, XP_006397217.1, XP_024010292.1, XP_006397043.1
OG0000064	CP4_g25752_DN2_SP0_c.t1	XP_024004059.1
OG0000065	CP24_g47137_DN2_SP0_c.t1, CP9_g27570_DN1_SP0_c.t1	XP_024006661.1
OG0000066	CP2_g49425_DN3_SP0_c.t1	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1
OG0000069	CP6_g9730_DN1_SP0_c.t1	XP_024016097.1
OG0000069	CP15_g34957_DN1_SP0_c.t1	XP_024015941.1, XP_024009376.1
OG0000069	CP6_g9731_DN1_SP0_c.t1	XP_024006136.1
OG0000073	CP13_g20691_DN1_SP0_c.t1	XP_006398345.1
OG0000074	CP7_g45419_DN3_SP0_c.t1	XP_024008246.1
OG0000074	CP7_g45428_DN3_SP0_c.t1	XP_024008857.1
OG0000074	CP7_g45420_DN3_SP0_c.t1	XP_024008031.1
OG0000074	CP20_g4368_DN3_SP0_c.t1	XP_024010232.1
OG0000074	CP7_g45432_DN3_SP0_c.t1	XP_024008618.1
OG0000074	CP7_g45433_DN3_SP0_c.t1, CP7_g45431_DN3_SP0_c.t1	XP_024008035.1
OG0000075	CP7_g44717_DN3_SP0_c.t1	XP_024009374.1, XP_024015726.1
OG0000075	CP8_g52637_DN1_SP0_c.t1	XP_024006207.1
OG0000075	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1	XP_006417013.1, XP_006417028.2
OG0000076	CP13_g19766_DN3_SP0_c.t1	XP_024007553.1
OG0000077	CP5_g173_DN1_SP0_c.t1	XP_024014654.1
OG0000078	CP5_g2099_DN3_SP0_c.t1	XP_024013973.1, XP_024006349.1
OG0000079	CP16_g55065_DN3_SP0_c.t1	XP_006396702.1
OG0000081	CP7_g44768_DN1_SP0_c.t1, CP16_g55147_DN3_SP0_c.t1	XP_006416297.2, XP_024006818.1, XP_006412742.1
OG0000081	CP1_g38017_DN2_SP0_c.t1	XP_006393087.2
OG0000081	CP8_g53130_DN2_SP0_c.t1	XP_024004911.1
OG0000081	CP7_g45047_DN1_SP0_c.t1	XP_006415657.1, XP_024008000.1, XP_006415686.2
OG0000081	CP20_g4332_DN1_SP0_c.t1	XP_024010362.1
OG0000082	CP29_g22172_DN2_SP0_c.t1, CP29_g22188_DN2_SP0_c.t1, CP20_g3823_DN2_SP0_c.t1, CP29_g22187_DN1_SP0_c.t1	XP_024009693.1
OG0000083	CP22_g17376_DN1_SP0_c.t1	XP_006406083.1
OG0000085	CP15_g35533_DN1_SP0_c.t1	XP_024006448.1
OG0000085	CP14_g22980_DN1_SP0_c.t1	XP_024013061.1
OG0000086	CP18_g12051_DN1_SP0_c.t1	XP_006408761.1, XP_006408760.1, XP_006408781.1, XP_006408766.1, XP_024016075.1, XP_006408779.2, XP_006408769.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408759.1, XP_006408777.1, XP_006408780.1, XP_006408778.1, XP_006408763.1, XP_006408768.1, XP_006408765.1, XP_024015891.1, XP_006408757.1, XP_006408758.1
OG0000087	CP2_g48308_DN3_SP8_c.t1	XP_006394642.1
OG0000087	CP4_g25793_DN3_SP8_c.t1	XP_006410012.1
OG0000087	CP11_g32707_DN3_SP8_c.t1	XP_006399740.1
OG0000087	CP4_g25265_DN3_SP6_c.t1	XP_006410628.1
OG0000087	CP13_g20168_DN3_SP8_c.t1	XP_006403108.1
OG0000087	CP6_g6768_DN3_SP8_c.t1	XP_006413842.1
OG0000087	CP9_g29223_DN3_SP8_c.t1	XP_006390273.1
OG0000090	CP7_g45746_DN3_SP0_c.t1	XP_006416426.1
OG0000090	CP1_g38197_DN2_SP0_c.t1, CP1_g38202_DN3_SP0_c.t1	XP_006393304.1
OG0000093	CP3_g14024_DN3_SP0_c.t1	XP_006393541.2, XP_006393537.1
OG0000093	CP5_g3286_DN3_SP0_c.t1, CP37_g11362_DN3_SP0_c.t1, CP5_g3308_DN1_SP0_c.t1, CP5_g3309_DN3_SP0_c.t1, CP37_g11347_DN2_SP0_c.t1	XP_024014512.1
OG0000096	CP13_g19516_DN3_SP0_c.t1	XP_006395720.2
OG0000096	CP13_g20085_DN3_SP0_c.t1	XP_024004738.1
OG0000096	CP13_g20034_DN3_SP0_c.t1, CP13_g20036_DN3_SP0_c.t1	XP_006398175.2
OG0000096	CP13_g20028_DN2_SP0_c.t1, CP13_g20031_DN1_SP0_c.t1	XP_024011109.1
OG0000096	CP2_g49677_DN1_SP0_c.t1	XP_006392390.2
OG0000097	CP5_g1424_DN3_SP0_c.t1	XP_006405546.1
OG0000098	CP2_g49230_DN2_SP0_c.t1	XP_006392118.1
OG0000098	CP1_g37532_DN1_SP0_c.t1	XP_006417248.1
OG0000098	CP1_g37531_DN2_SP0_c.t1	XP_024008234.1
OG0000100	CP15_g35834_DN3_SP0_c.t1	XP_024015018.1, XP_024006073.1
OG0000100	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1	XP_024013152.1
OG0000100	CP8_g52256_DN3_SP0_c.t1	XP_024009270.1
OG0000102	CP3_g15363_DN1_SP0_c.t1	XP_024009242.1
OG0000104	CP4_g25844_DN3_SP0_c.t1	XP_024003751.1, XP_006409933.2
OG0000106	CP6_g7572_DN1_SP0_c.t1	XP_024004907.1, XP_024007223.1
OG0000106	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000109	CP3_g15613_DN2_SP0_c.t1	XP_024009890.1
OG0000109	CP1_g40029_DN1_SP0_c.t1, CP12_g31050_DN2_SP0_c.t1, CP13_g20454_DN2_SP0_c.t1, CP18_g12074_DN1_SP0_c.t1, CP6_g8582_DN2_SP0_c.t1, CP3_g15710_DN2_SP0_c.t1, CP12_g31527_DN3_SP0_c.t1, CP24_g47038_DN2_SP0_c.t1, CP3_g16737_DN2_SP0_c.t1, CP3_g14975_DN3_SP0_c.t1, CP2_g50413_DN1_SP0_c.t1	XP_024004593.1
OG0000110	CP3_g13458_DN3_SP0_c.t1	XP_006402710.1
