Orthogroup	Cardamine_glauca	Cochlearia_excelsa
OG0000029	Cg007G253930	g13421, g8998, g26310, g29945, g30548, g38806, g8608, g9084, g30701, g9122, g48831, g29967, g8634, g30668, g16178, g36823, g26225, g26222, g43704, g4265, g4261, g27334, g29817, g13419
OG0000029	Cg005G177640	g1671, g52104, g17776, g26120, g17775, g52907, g95
OG0000029	Cg006G212710	g1672
OG0000030	Cg008G322770	g37182
OG0000030	Cg007G253140	g30544, g8826
OG0000030	Cg013G330360	g35927, g599, g13492, g26692, g27960, g54342, g16927
OG0000031	Cg007G247710	g40889
OG0000031	Cg004G133170	g13269
OG0000033	Cg001G017700	g23911
OG0000033	Cg001G019630	g24014
OG0000033	Cg003G079950, Cg003G094060	g40468
OG0000034	Cg005G182400	g53562, g44911, g15119
OG0000034	Cg002G066600	g15118, g44910
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	g3196
OG0000037	Cg007G247800	g11495
OG0000038	Cg002G057430	g24239
OG0000038	Cg003G103850	g1070
OG0000038	Cg001G007650	g49458
OG0000040	Cg006G217350, Cg001G030090	g38367, g38376, g38372, g38380
OG0000040	Cg006G235040, Cg002G057370	g44631
OG0000042	Cg002G059980	g26735, g12385
OG0000042	Cg008G311300, Cg008G309470	g49152, g3973, g3980
OG0000042	Cg003G113100	g18621
OG0000043	Cg003G090430	g25116, g25738, g33648, g43042
OG0000044	Cg003G096230	g36166, g25959
OG0000045	Cg003G091810	g7244, g39351, g17718, g41293
OG0000046	Cg003G097180	g46717
OG0000046	Cg001G037990	g18113
OG0000046	Cg007G266760	g18042
OG0000047	Cg006G206340	g24768, g27953, g51326, g51242, g28468, g43700, g14016, g18660, g44830, g41217, g37480, g4319, g45363, g51127, g3853, g11964, g28467, g53576
OG0000049	Cg007G255960	g43788, g43772, g13437, g45167, g147, g24813, g7666, g51916, g39805, g10790, g44228, g1493, g2502, g53420, g10267
OG0000049	Cg006G232250	g17752, g35246, g25631, g52028, g45305, g46623, g39982, g37529, g36193, g23611, g11002, g2399, g23029
OG0000049	Cg007G266650	g46641, g45389, g28412, g26640, g14427, g29232, g13756, g19458, g4881, g46776
OG0000052	Cg005G187360	g53934
OG0000054	Cg005G189800, Cg005G189790	g43613, g52587, g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130, g35345, g4371
OG0000057	Cg004G133930	g700
OG0000058	Cg006G215030, Cg003G077990	g10583
OG0000062	Cg007G260660, Cg005G180090	g32823, g13726, g11246, g41835
OG0000064	Cg008G325030	g51190, g32307
OG0000066	Cg007G276160, Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880, Cg001G001880, Cg001G001890, Cg008G291450	g5393
OG0000066	Cg008G290840	g45535, g29501, g9719
OG0000066	Cg008G290850, Cg003G113360	g156
OG0000067	Cg007G270520	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011
OG0000070	Cg002G063700	g30429, g30434, g34722, g20467, g25157, g21277
OG0000070	Cg005G186370	g20468, g34721, g33207, g34715, g30435, g4159, g25159, g15815, g15828, g15878, g3657
OG0000072	Cg001G029810, Cg001G029820, Cg008G307970	g33477, g30198
OG0000073	Cg008G315120	g54289
OG0000074	Cg006G222190	g27549, g27550
OG0000075	Cg001G033430	g5026
OG0000075	Cg008G301210	g49834, g49840, g49829
OG0000076	Cg002G057890	g44053
OG0000076	Cg002G054100	g19225
OG0000078	Cg002G071190	g46791, g24881
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	g18915
OG0000080	Cg005G177060	g50013, g23668
OG0000081	Cg008G298360	g18040
OG0000083	Cg004G140450, Cg004G140420, Cg004G140430, Cg004G140410, Cg004G140440	g46885
OG0000084	Cg005G189580	g51024
OG0000085	Cg007G270000	g23625
OG0000087	Cg008G303510	g9991
OG0000087	Cg003G110470	g9845, g2817, g339
OG0000087	Cg008G292710	g5316
OG0000087	Cg008G320640	g40485, g11055
OG0000087	Cg001G020160	g17371, g24042
OG0000087	Cg006G225960, Cg007G276340	g46232
OG0000088	Cg005G181240	g19510, g40516, g11030
OG0000088	Cg001G039390, Cg008G300920	g28933, g28934
OG0000089	Cg008G290150	g29544
OG0000089	Cg004G135460	g13323, g11989
OG0000090	Cg006G225800	g50123
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	g46242
OG0000090	Cg001G005770, Cg002G074060, Cg006G235770	g10675
OG0000093	Cg002G047960	g2360
OG0000093	Cg002G048030	g18958
OG0000096	Cg007G252880, Cg002G073910, Cg002G073940, Cg002G073930	g1538, g1535
OG0000097	Cg003G079780, Cg003G094240	g45186, g45201
OG0000097	Cg003G079730, Cg003G094300, Cg003G094290, Cg003G079740, Cg003G079760	g40477, g40479, g40476, g40480, g1561
OG0000099	Cg007G249510	g43603, g46874, g4737
OG0000100	Cg008G316000	g17260, g37826
OG0000101	Cg007G246670	g13563
OG0000102	Cg001G033570	g24835, g4478
OG0000104	Cg006G238510	g31072
OG0000104	Cg005G178080	g51118
OG0000104	Cg004G138340	g6675
OG0000104	Cg006G197920	g18497
OG0000104	Cg005G178050	g37858
OG0000104	Cg005G178070	g51119
OG0000105	Cg003G084510	g43456
OG0000106	Cg008G322480, Cg001G042030	g6393
OG0000107	Cg004G136910	g11936
OG0000109	Cg006G218300, Cg006G206180	g43843
OG0000110	Cg002G047270	g2009
OG0000110	Cg007G269260	g2010
OG0000113	Cg007G253850	g35258
OG0000114	Cg008G320920	g4924
OG0000117	Cg006G208080	g16020, g11688, g26091, g32213
OG0000118	Cg003G083280, Cg003G083300, Cg006G212340, Cg006G212330, Cg006G212350, Cg003G083440, Cg003G083420, Cg003G083410, Cg003G083390, Cg003G083400, Cg003G083370, Cg003G083380, Cg003G083350, Cg003G083310, Cg003G083460, Cg006G204540, Cg002G064450, Cg013G330430	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578
OG0000119	Cg003G096910, Cg005G178360	g52379
OG0000119	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680	g50178
OG0000120	Cg007G250010, Cg007G249930	g40996
OG0000120	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540	g6424
OG0000120	Cg008G285500	g32414, g29781
OG0000123	Cg001G014410	g25911
OG0000123	Cg001G014420	g17137
OG0000123	Cg001G029000, Cg001G029020	g25912
OG0000125	Cg002G052860	g19182
OG0000125	Cg008G302630	g41348
OG0000125	Cg003G107610, Cg002G061230, Cg002G061270	g2919, g1294, g28781
OG0000125	Cg005G178390	g39998
OG0000126	Cg001G027760, Cg001G028690, Cg002G060390	g1792, g4332, g27839, g27662, g37157, g53925
OG0000126	Cg007G271870, Cg008G305740, Cg007G255150	g35446
OG0000127	Cg008G282750	g2965
OG0000127	Cg007G262280	g49766
OG0000128	Cg001G020220	g5236, g5604, g3371, g22741
OG0000129	Cg005G172680	g1920
OG0000131	Cg002G057540	g32639, g6351, g24938, g14468, g28182, g27531, g15993
OG0000131	Cg008G315100	g50797
OG0000132	Cg008G321270	g53769, g43756, g15634
OG0000133	Cg005G185140	g19947
OG0000133	Cg007G269340	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132
OG0000135	Cg004G138210	g4028, g51256, g14066, g27772
OG0000136	Cg001G037110	g43995, g46769, g46768, g46770
OG0000136	Cg001G037100	g14687
OG0000138	Cg001G039000, Cg001G039020, Cg001G039010, Cg008G324060	g46708
OG0000138	Cg002G067580, Cg002G067290	g10340
OG0000139	Cg005G182990	g25175
OG0000140	Cg003G106800	g1248
OG0000140	Cg003G106450	g28714
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	g1252, g28702, g28701
OG0000142	Cg005G176030	g51155, g51154, g51130, g51156
OG0000144	Cg005G182040	g41746
OG0000145	Cg008G324160, Cg008G308910, Cg001G039950, Cg003G096580, Cg001G035820	g47338, g44486, g14472, g33147, g21632, g42257, g21852, g21844, g36809, g10312
OG0000146	Cg003G102630	g1010
OG0000146	Cg003G102640	g1011
OG0000147	Cg004G155250	g5985, g13932
OG0000147	Cg001G010340	g23426
OG0000147	Cg003G104960	g1105
OG0000147	Cg007G280860	g46563
OG0000147	Cg001G032760	g17885
OG0000147	Cg004G146670	g6339
OG0000147	Cg005G189880	g50994
OG0000149	Cg002G060900	g2887
OG0000149	Cg003G107300, Cg003G107310	g1676, g28755, g28754
OG0000149	Cg003G107320, Cg003G107330, Cg003G107340	g1282
OG0000149	Cg002G060920	g2888
OG0000151	Cg003G100170	g915, g28415
OG0000151	Cg001G012710	g17072
OG0000151	Cg004G124340	g7540
OG0000151	Cg004G152640	g14078
OG0000151	Cg003G103430	g28546
OG0000152	Cg002G069910, Cg006G216840, Cg002G069290, Cg005G182640, Cg004G145620, Cg002G063800, Cg003G096260, Cg001G034420, Cg007G260590, Cg004G146430, Cg002G067820, Cg005G182630, Cg007G251500, Cg003G082490, Cg008G288890, Cg007G251240, Cg006G195780	g22192, g30253, g4143
OG0000154	Cg006G229860	g27332
OG0000154	Cg004G128290	g12277
OG0000154	Cg004G125060	g7492
OG0000154	Cg008G283240	g54073, g45315, g5784
OG0000155	Cg001G013440	g23645
OG0000155	Cg001G019650	g47372
OG0000155	Cg004G127780	g7340
OG0000156	Cg005G160240	g52257
OG0000160	Cg007G264990, Cg006G202970	g18242, g43133, g51696, g50701, g4120, g45147, g41011, g27084, g7365, g52677, g14499, g43531, g43528, g43537, g17864, g49147, g47671, g45898, g31367, g7023, g36380, g52886, g25655, g34541, g2884, g45657, g49668, g44739, g25290, g35546, g43532, g38501, g6015, g7845, g16303, g13162, g13371, g14782, g46745, g36801, g27089
OG0000160	Cg003G091850	g35544, g35547, g21290, g38500, g31368, g20451, g3846, g34289, g36270, g12262, g7846, g25656, g7022, g9694, g49667
OG0000161	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820	g392, g9880
OG0000161	Cg006G215310	g24222, g24219
OG0000161	Cg007G261320	g45103, g45101
OG0000161	Cg007G257190	g45131
OG0000162	Cg005G178220	g1914
OG0000165	Cg009G325660	g24260
OG0000165	Cg001G034730, Cg004G147530	g41606, g13909
OG0000167	Cg001G021130	g24121
OG0000169	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840	g46162
OG0000171	Cg006G222370, Cg007G270890	g45857
OG0000171	Cg006G235360, Cg007G250530	g5177
OG0000171	Cg008G294880	g29297
OG0000173	Cg003G091670	g52822, g25282, g31108, g41537, g37373, g50635, g15729, g49146, g17663, g37839, g27055, g49999, g53725, g17352, g17357, g17341, g1801, g25289, g14575, g15732, g18062, g46682, g32984, g45423, g24727, g33298, g51510, g2110, g32983, g4808, g10113, g26535
OG0000174	Cg009G325780, Cg006G205480	g26585, g53787
OG0000175	Cg002G055540	g6044, g13998
OG0000175	Cg001G004130	g47947
OG0000178	Cg014G331270	g50828, g25935, g6093, g32581
OG0000178	Cg002G069730, Cg002G066500	g9695, g823, g53495, g13019, g16431, g16432, g1623, g34290, g17678, g41214, g52052, g38502, g20449, g48334, g14419, g36920, g49526, g53614, g23518, g17258, g37824, g12602, g23535, g6014, g1397, g32976, g16363, g43554, g12264, g7844, g50196, g14780, g46746, g53399, g50147, g54117, g44990
OG0000178	Cg008G316010	g3844, g12585, g50586
OG0000180	Cg001G043140	g13531
OG0000180	Cg007G269630	g34299
OG0000184	Cg006G215550	g35558, g35553, g3065, g43650, g15959, g53597, g36626, g53120, g22863, g17905, g44091, g17915, g2401, g5948, g51641, g10990, g27914, g52236, g53121, g53878, g53859, g35463, g48936, g32701, g50735, g44198, g25628, g25240, g11530, g35054, g44991
OG0000185	Cg003G098770	g35118, g49472, g24428
OG0000187	Cg001G008920, Cg001G008910	g35037
OG0000190	Cg003G080590, Cg003G080580	g40442
OG0000194	Cg007G277430	g20703, g35818
OG0000195	Cg005G182280	g40143
OG0000195	Cg001G036760, Cg007G265630	g18117
OG0000196	Cg006G240790	g40674
OG0000196	Cg006G202630	g27686
OG0000196	Cg006G240780	g40675
OG0000197	Cg001G041590	g40833, g18526, g7663, g27764, g39817
OG0000201	Cg004G139100, Cg004G139090, Cg004G139080	g6534, g11758
OG0000201	Cg004G139110	g17326, g17323, g17324, g17327, g17336, g17334, g17322, g17332
OG0000204	Cg004G138460	g36933
OG0000210	Cg005G173500	g11480, g11479
OG0000213	Cg005G191730	g38464
OG0000216	Cg001G018790, Cg001G018760	g47412
OG0000218	Cg006G230920	g31564
OG0000218	Cg006G230900, Cg006G230890	g49926
OG0000218	Cg002G075340	g25893, g10793
OG0000219	Cg007G266520, Cg007G266510	g13335, g45479, g28368
OG0000219	Cg005G177180	g46873
OG0000219	Cg003G095240, Cg003G111060	g311
OG0000221	Cg005G182530	g52806, g22946, g6183, g17356, g43665, g43500, g17351, g17354, g41390, g53962, g35050, g22945, g51855, g53388, g43499, g33429, g175, g43666, g35582, g53304, g15934, g5126, g32276, g26607, g6275, g12850, g53575, g26608, g6292, g4337, g36877, g3974, g3981
OG0000222	Cg008G315660, Cg004G151260, Cg001G038580	g2261, g45344, g10741, g44563, g51060, g5898, g28476, g32750, g41189, g41204
OG0000224	Cg007G278160	g46370
OG0000224	Cg001G008870, Cg001G017640, Cg007G247160	g40852
OG0000226	Cg004G128760, Cg006G218020	g11864
OG0000228	Cg008G307350	g32057
OG0000228	Cg007G271280	g44677
OG0000229	Cg001G010780	g47707
OG0000230	Cg008G323410	g46235
OG0000231	Cg007G260410	g18039
OG0000233	Cg005G186600	g53346, g43307, g27732, g16269, g19533, g14957, g52369, g43031, g35549, g48287, g53347, g1483, g14787, g26102, g3184, g53946, g26599, g34930, g48282, g35561, g16294, g33166, g33170, g33200, g34779, g16144, g6202, g26600, g16293, g32898, g33199, g4655, g25229
OG0000233	Cg005G186460	g53703
OG0000233	Cg006G211480	g53753, g43144, g15838
OG0000234	Cg002G051400	g19127
OG0000234	Cg002G051410	g19128
OG0000234	Cg002G051420	g2235
OG0000234	Cg005G166930	g51765
OG0000234	Cg008G293710	g29346
OG0000236	Cg001G028350, Cg004G141830	g13483
OG0000236	Cg004G139220	g6598
OG0000238	Cg002G071780	g48923, g31881
OG0000239	Cg004G149260	g39783
OG0000240	Cg007G263700	g24726
OG0000240	Cg001G033750	g11360, g13978
OG0000240	Cg003G085370, Cg001G030000	g41655
OG0000241	Cg004G145120	g43452
OG0000242	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670, Cg004G150020, Cg004G150680	g14272, g6162
OG0000242	Cg006G231900	g31494
OG0000242	Cg006G231890	g31496, g31497, g31498, g31499
OG0000244	Cg001G019150, Cg003G093660, Cg003G080320, Cg001G019160	g17320
OG0000246	Cg002G073880	g32856, g43081, g6314, g6240
OG0000248	Cg003G081360	g25664
OG0000248	Cg007G252860	g41086, g41090, g41083
OG0000249	Cg005G169790	g37185
OG0000254	Cg004G134710	g6897
OG0000254	Cg005G190180	g1607
OG0000257	Cg004G126080, Cg001G001780	g48005
OG0000258	Cg002G072310, Cg002G072330	g10576
OG0000258	Cg003G104860	g39309
OG0000258	Cg002G072320	g16641
OG0000266	Cg003G098940, Cg003G099000	g27624
OG0000267	Cg005G193150	g17092
OG0000268	Cg002G074810	g1514
OG0000268	Cg008G282710	g45297
OG0000268	Cg002G052420	g19165
OG0000269	Cg002G069710	g32698
OG0000269	Cg006G211850	g32697
OG0000270	Cg001G000740	g23060, g18216, g18323
OG0000270	Cg006G226060	g50111
OG0000271	Cg003G079870	g25541
OG0000271	Cg006G199270	g40469
OG0000272	Cg008G325020	g6807
OG0000274	Cg003G107390	g28758
OG0000274	Cg002G061020	g2936, g2910
OG0000274	Cg005G177430	g39974
OG0000277	Cg001G025730, Cg001G025680, Cg001G025710, Cg001G025690, Cg001G025720	g47115
OG0000278	Cg003G105620	g10751, g26081, g26058
OG0000281	Cg006G199670	g36419
OG0000282	Cg008G288350, Cg008G323220	g5538
OG0000282	Cg008G288380	g45483
OG0000282	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400	g29622
OG0000283	Cg008G318960, Cg008G318990, Cg008G318970	g11114, g11113, g39732
OG0000284	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380	g10112
OG0000284	Cg008G306240, Cg008G306230	g7689
OG0000287	Cg004G137930, Cg004G140040, Cg004G137940	g13375
OG0000287	Cg004G137980	g13376
OG0000290	Cg004G135310	g11997
OG0000294	Cg004G133910	g6947
OG0000294	Cg003G077590, Cg014G332020	g39522, g25429
OG0000294	Cg006G243870	g26892
OG0000295	Cg007G263400	g12173, g12193, g12167, g12172
OG0000297	Cg003G108160	g41326
OG0000299	Cg001G026230, Cg001G026550	g53411, g29745
OG0000299	Cg005G181190	g50959
OG0000299	Cg007G279160	g27806
OG0000300	Cg004G145480, Cg004G145490	g13574, g6349
OG0000308	Cg007G273340	g44591
OG0000310	Cg002G058430	g19547, g28753
OG0000311	Cg008G296830	g45737
OG0000311	Cg006G201410	g36325
OG0000311	Cg004G134370	g6918, g13293
OG0000311	Cg001G036380	g46788
OG0000311	Cg007G265360	g45009
OG0000313	Cg001G028860	g17626
OG0000314	Cg006G241650	g26947, g49462
OG0000314	Cg005G174030	g51309
OG0000314	Cg006G241640	g30904
OG0000319	Cg003G086150, Cg003G108110	g31094
OG0000319	Cg006G238150	g49601, g27017
OG0000321	Cg001G036410	g14307
OG0000321	Cg001G036490, Cg001G035900, Cg001G035950, Cg001G035910, Cg001G035940	g46809
OG0000322	Cg007G279100	g46450
OG0000322	Cg005G165820	g51878, g53520
OG0000325	Cg001G033350	g11614
OG0000325	Cg005G185560	g53445
OG0000327	Cg002G052000	g11293, g11292, g11294
OG0000330	Cg002G046560	g1956
OG0000332	Cg008G300270	g41419
OG0000332	Cg006G199650, Cg004G136440	g54159
OG0000334	Cg002G052730	g2329
OG0000334	Cg005G168750	g37230
OG0000334	Cg014G331210, Cg003G078410	g16596
OG0000336	Cg006G228370	g31719
OG0000336	Cg007G273370	g44587
OG0000338	Cg006G236460, Cg007G252750, Cg006G236370, Cg007G253150	g31209, g27091, g31190, g27095
OG0000339	Cg006G244870	g25359
OG0000339	Cg005G159770	g52289
OG0000340	Cg005G162340	g38215
OG0000340	Cg005G162320	g37505
OG0000342	Cg001G042370	g53972
OG0000344	Cg008G305710, Cg008G305700	g10089, g10092, g10980
OG0000345	Cg006G233290	g27193
OG0000347	Cg004G127590	g12309
OG0000347	Cg007G261820, Cg007G261880, Cg007G261870, Cg007G261860, Cg007G261890, Cg007G261900, Cg007G261920, Cg007G261910, Cg007G261930, Cg007G261840, Cg007G264260, Cg007G264270, Cg007G264250, Cg007G264200, Cg007G264220, Cg007G264180, Cg007G264360, Cg007G264320, Cg007G261830, Cg007G264380, Cg007G264140, Cg007G264280, Cg007G264350, Cg007G264230, Cg007G264290, Cg007G264160, Cg007G264150, Cg007G264240, Cg007G264420, Cg007G264330, Cg007G264300, Cg007G264310, Cg007G264340, Cg007G261850, Cg007G264370, Cg007G264170, Cg007G264190, Cg007G264210, Cg007G264130	g36126
OG0000348	Cg011G329030	g15621, g48271, g41887, g15633
OG0000349	Cg001G004450	g18231
OG0000352	Cg006G229000, Cg007G250610	g31677
OG0000353	Cg001G022220, Cg002G056550, Cg008G295330	g32289
OG0000355	Cg006G203840, Cg006G203800, Cg006G203790, Cg006G203810	g17931
OG0000355	Cg005G187890	g38274
OG0000356	Cg008G306390, Cg008G306550	g35508, g18523, g37782, g4812, g4800, g4814
OG0000358	Cg008G289900, Cg006G242200	g49447, g30863, g26927
OG0000358	Cg008G319440, Cg008G289890	g29557, g39719
OG0000358	Cg008G289880	g45514
OG0000359	Cg005G172180	g32419, g32420, g50521
OG0000360	Cg003G114870	g9656
OG0000361	Cg004G127210	g7378
OG0000362	Cg006G241490	g49471
OG0000364	Cg004G140890	g53150
OG0000364	Cg002G068570	g16505, g24639, g16374, g23229
OG0000364	Cg004G150900, Cg004G149760	g35057, g16424, g35445, g37807
OG0000368	Cg001G002850	g22842
OG0000368	Cg001G002860	g16342
OG0000368	Cg001G002840	g47982
OG0000368	Cg001G002830	g47983
OG0000369	Cg006G238280, Cg003G107530	g49585
OG0000369	Cg002G061220	g28769
OG0000370	Cg001G015500	g47536
OG0000371	Cg006G220780, Cg005G158480	g7650, g11474
OG0000371	Cg005G158470	g3821
OG0000372	Cg001G013540, Cg001G013550, Cg001G013560	g17100, g17096, g17097, g17099
OG0000374	Cg006G203210, Cg006G203180, Cg006G203200, Cg006G203220, Cg006G203250, Cg006G203260, Cg006G203240, Cg006G203230, Cg006G203190, Cg006G198280, Cg006G198270, Cg006G198290	g36851, g36855, g36853, g36852, g36854, g54187
OG0000377	Cg007G249720	g41000
OG0000379	Cg007G257560, Cg002G060420, Cg003G107790, Cg001G025230, Cg005G186070, Cg008G310010	g41816
OG0000382	Cg007G254420	g41120
OG0000382	Cg006G236900	g31165
OG0000383	Cg006G218010, Cg006G217980	g50490
OG0000384	Cg004G131950	g12121
OG0000386	Cg002G053290, Cg002G063780	g2365
OG0000386	Cg002G072490	g10579
OG0000387	Cg005G162800	g37493, g37492
OG0000387	Cg005G162500	g50869
OG0000388	Cg001G011290	g16088, g53768, g43755
OG0000390	Cg002G062740	g13288
OG0000391	Cg006G223580	g27516
OG0000392	Cg002G056620, Cg002G056600	g2587
OG0000392	Cg001G037860, Cg001G037810	g11310
OG0000392	Cg002G056570	g11364
OG0000396	Cg001G030810, Cg002G069030	g10425
OG0000396	Cg002G069060	g4323
OG0000398	Cg008G310730	g12228, g12223
OG0000398	Cg004G129510, Cg008G309090, Cg006G195010	g27985, g54333
