Orthogroup	Cardamine_glauca	Cardamine_amara
OG0000023	Cg003G082320	evm.model.RL_8.634, evm.model.RL_8.635, evm.model.RL_7.2085, evm.model.RL_8.636
OG0000023	Cg001G017770	evm.model.RL_2.1840
OG0000023	Cg001G017650	evm.model.RL_2.1839
OG0000023	Cg001G017750	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	Cg001G017690	evm.model.RL_2.1825.3.687c86e4
OG0000023	Cg001G017660	evm.model.RL_2.1826
OG0000025	Cg001G005300	evm.model.RL_2.3111
OG0000025	Cg003G102540	evm.model.RL_8.1529
OG0000027	Cg002G070600	evm.model.RL_5.2839
OG0000027	Cg002G048550	evm.model.RL_7.603
OG0000027	Cg002G048720	evm.model.RL_7.580
OG0000028	Cg001G041970	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115
OG0000029	Cg007G253930	evm.model.RL_8.656
OG0000030	Cg008G322770	evm.model.RL_5.2340, evm.model.RL_6.2259
OG0000033	Cg001G017780	evm.model.RL_2.1828
OG0000033	Cg003G079950, Cg003G094060	evm.model.RL_8.413
OG0000034	Cg002G066600	evm.model.RL_5.2588
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	evm.model.RL_1.2959, evm.model.RL_5.2564
OG0000036	Cg002G062800, Cg002G062790, Cg005G182230, Cg005G181070	evm.model.RL_2.742, evm.model.RL_2.665
OG0000038	Cg002G057430	evm.model.RL_7.1446
OG0000038	Cg003G103850	evm.model.RL_8.1346, evm.model.RL_8.1344
OG0000039	Cg005G180100, Cg002G062370, Cg002G062340	evm.model.RL_3.1691
OG0000040	Cg001G030090	evm.model.RL_7.2097
OG0000040	Cg002G057370	evm.model.RL_2.1272
OG0000042	Cg006G198550, Cg003G083590	evm.model.RL_3.4
OG0000042	Cg002G059980	evm.model.RL_6.1177, evm.model.RL_7.1372
OG0000042	Cg008G311300, Cg008G309470	evm.model.RL_7.1972
OG0000042	Cg003G113100, Cg008G310640, Cg008G309000	evm.model.RL_6.2221
OG0000044	Cg001G029670	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000044	Cg003G096230	evm.model.RL_2.659
OG0000045	Cg003G091810	evm.model.RL_1.2734, evm.model.RL_2.587
OG0000045	Cg002G064420	evm.model.RL_7.883, evm.model.RL_8.1002
OG0000046	Cg001G022610	evm.model.RL_2.1379
OG0000046	Cg001G037990	evm.model.RL_2.389, evm.model.RL_2.387
OG0000046	Cg007G266760	evm.model.RL_3.1072
OG0000046	Cg007G266630	evm.model.RL_3.1060
OG0000046	Cg007G266640	evm.model.RL_3.1065
OG0000047	Cg006G206340	evm.model.RL_4.1421
OG0000049	Cg007G266650	evm.model.RL_4.948
OG0000052	Cg006G242960	evm.model.RL_5.167
OG0000052	Cg005G173390, Cg013G330370	evm.model.RL_6.1412
OG0000052	Cg003G084890	evm.model.RL_8.803, evm.model.RL_8.802
OG0000052	Cg005G163540	evm.model.RL_6.2368
OG0000052	Cg003G083820	evm.model.RL_8.741
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	evm.model.RL_1.2655
OG0000054	Cg001G018970	evm.model.RL_8.912, evm.model.RL_7.2126
OG0000054	Cg005G189800, Cg005G189790	evm.model.RL_1.2395
OG0000055	Cg007G248480	evm.model.RL_3.282
OG0000055	Cg007G248390, Cg007G248550	evm.model.RL_3.286
OG0000055	Cg007G248360	evm.model.RL_3.285
OG0000055	Cg007G248570, Cg007G248420, Cg007G248560	evm.model.RL_3.288
OG0000055	Cg007G248410	evm.model.RL_3.277
OG0000056	Cg007G262570, Cg007G263580, Cg007G265440, Cg006G204190	evm.model.RL_2.634
OG0000056	Cg001G036070	evm.model.RL_8.1064, evm.model.RL_7.2479
OG0000056	Cg004G146250	evm.model.RL_5.3516
OG0000056	Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320	evm.model.RL_8.1063, evm.model.RL_7.2480
OG0000056	Cg001G029590, Cg003G086110, Cg003G090290	evm.model.RL_3.1257, evm.model.RL_3.1335
OG0000057	Cg004G139300, Cg004G139380, Cg004G139340, Cg004G139360, Cg004G139320, Cg004G139330	evm.model.RL_1.2123
OG0000058	Cg005G189250	evm.model.RL_6.762
OG0000058	Cg006G215030, Cg003G077990	evm.model.RL_2.1104, evm.model.RL_1.2538
OG0000060	Cg001G034080	evm.model.RL_3.1064, evm.model.RL_3.817, evm.model.RL_8.1029, evm.model.RL_7.1968
OG0000061	Cg003G083990, Cg008G318200	evm.model.RL_3.1126
OG0000061	Cg007G263690, Cg007G267630	evm.model.RL_8.1041
OG0000062	Cg007G260660, Cg005G180090	evm.model.RL_2.991, evm.model.RL_6.777
OG0000062	Cg010G326150	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720
OG0000063	Cg002G052800	evm.model.RL_7.1014
OG0000063	Cg005G178340	evm.model.RL_6.1828
OG0000063	Cg006G238240	evm.model.RL_7.1740
OG0000065	Cg001G020190	evm.model.RL_2.692, evm.model.RL_1.2797
OG0000066	Cg007G276160	evm.model.RL_3.1975
OG0000066	Cg001G001880	evm.model.RL_2.3331
OG0000066	Cg006G226080	evm.model.RL_5.1818
OG0000066	Cg008G290840	evm.model.RL_5.781, evm.model.RL_8.2623
OG0000066	Cg008G290850	evm.model.RL_4.2540
OG0000066	Cg003G113360	evm.model.RL_8.2622
OG0000067	Cg008G283270, Cg008G283380, Cg002G045260	evm.model.RL_4.3294.1.687c86de
OG0000067	Cg004G154470	evm.model.RL_7.2627
OG0000067	Cg008G283860	evm.model.RL_4.3219, evm.model.RL_4.3254
OG0000067	Cg008G284020	evm.model.RL_4.1919
OG0000067	Cg008G283610	evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9
OG0000067	Cg007G270520	evm.model.RL_3.1500, evm.model.RL_3.1537
OG0000070	Cg002G063700	evm.model.RL_6.606
OG0000070	Cg005G186370	evm.model.RL_6.603, evm.model.RL_1.3315, evm.model.RL_2.703, evm.model.RL_3.747, evm.model.RL_3.813, evm.model.RL_8.1022
OG0000071	Cg005G184980	evm.model.RL_1.2437
OG0000071	Cg007G264730	evm.model.RL_4.340
OG0000071	Cg008G307480	evm.model.RL_6.355
OG0000072	Cg001G029810, Cg001G029820, Cg008G307970	evm.model.RL_3.925
OG0000073	Cg003G080870	evm.model.RL_4.629
OG0000073	Cg004G150010, Cg008G302430	evm.model.RL_6.501
OG0000073	Cg008G315120	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175
OG0000074	Cg006G222340	evm.model.RL_5.3415
OG0000075	Cg006G235090, Cg006G235510, Cg006G210640, Cg006G235500	evm.model.RL_5.729
OG0000076	Cg002G057890	evm.model.RL_7.1484
OG0000077	Cg004G151030	evm.model.RL_6.2241, evm.model.RL_6.145
OG0000078	Cg002G071190	evm.model.RL_3.798
OG0000079	Cg002G047470	evm.model.RL_7.465
OG0000079	Cg001G038080	evm.model.RL_2.379
OG0000080	Cg005G158270	evm.model.RL_2.499
OG0000080	Cg004G149910	evm.model.RL_5.2173
OG0000080	Cg004G150150	evm.model.RL_5.3416
OG0000080	Cg005G177050, Cg005G176650	evm.model.RL_6.1107
OG0000082	Cg003G082510, Cg003G083500	evm.model.RL_7.1946
OG0000083	Cg004G140450, Cg004G140420	evm.model.RL_1.2207
OG0000083	Cg004G140430	evm.model.RL_1.2208
OG0000086	Cg003G107380	evm.model.RL_8.2048
OG0000087	Cg008G303510	evm.model.RL_4.1345
OG0000087	Cg005G177380	evm.model.RL_6.1057
OG0000087	Cg002G060160	evm.model.RL_7.1685
OG0000087	Cg008G292710	evm.model.RL_4.2360
OG0000087	Cg005G171830	evm.model.RL_6.1567
OG0000087	Cg008G320640	evm.model.RL_4.428
OG0000087	Cg001G020160	evm.model.RL_2.1599
OG0000087	Cg006G225960	evm.model.RL_5.1831
OG0000087	Cg007G276340	evm.model.RL_3.1990
OG0000088	Cg005G181240, Cg002G059450, Cg002G059900, Cg002G059930, Cg002G059530	evm.model.RL_7.1629
OG0000088	Cg003G090240, Cg003G095710	evm.model.RL_8.1137
OG0000089	Cg008G290150	evm.model.RL_4.2603
OG0000089	Cg004G127880	evm.model.RL_1.1121
OG0000089	Cg005G168860	evm.model.RL_6.1820
OG0000089	Cg002G060740	evm.model.RL_7.1725, evm.model.RL_8.2019
OG0000090	Cg006G225800	evm.model.RL_5.1846
OG0000090	Cg008G317760, Cg011G329140	evm.model.RL_4.706
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	evm.model.RL_3.2006
OG0000090	Cg001G005770	evm.model.RL_2.2972
OG0000090	Cg002G074060	evm.model.RL_7.2013, evm.model.RL_7.2546
OG0000090	Cg006G235770	evm.model.RL_5.885
OG0000093	Cg002G047960	evm.model.RL_7.523
OG0000093	Cg002G048080	evm.model.RL_7.532
OG0000096	Cg007G252880	evm.model.RL_3.612
OG0000096	Cg002G073910	evm.model.RL_7.2530
OG0000096	Cg002G073940	evm.model.RL_7.2533
OG0000096	Cg003G082280	evm.model.RL_8.633
OG0000096	Cg006G236390	evm.model.RL_5.825
OG0000097	Cg003G079780, Cg003G094240	evm.model.RL_8.394
OG0000097	Cg003G079750, Cg003G094280	evm.model.RL_8.392
OG0000097	Cg001G029830, Cg001G029870	evm.model.RL_2.828
OG0000097	Cg003G079730, Cg003G094300	evm.model.RL_8.388
OG0000097	Cg003G094290, Cg003G079740	evm.model.RL_8.395
OG0000099	Cg007G246280, Cg007G246260	evm.model.RL_3.84
OG0000099	Cg007G246270	evm.model.RL_3.230, evm.model.RL_3.232
OG0000099	Cg007G249510	evm.model.RL_3.85
OG0000101	Cg007G246670	evm.model.RL_3.653
OG0000104	Cg005G178080	evm.model.RL_6.1001
OG0000104	Cg005G177980, Cg005G177930	evm.model.RL_6.1005
OG0000104	Cg005G177920	evm.model.RL_6.1006
OG0000104	Cg006G200560	evm.model.RL_5.2109
OG0000104	Cg004G138340	evm.model.RL_1.2055
OG0000104	Cg006G197960, Cg006G197910	evm.model.RL_5.1892_evm.model.RL_5.1893
OG0000104	Cg005G178050	evm.model.RL_6.1000
OG0000105	Cg003G084510	evm.model.RL_6.453
OG0000106	Cg004G136130	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845
OG0000107	Cg004G136890	evm.model.RL_1.1927
OG0000107	Cg004G136920	evm.model.RL_1.1928
OG0000108	Cg008G306430	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	Cg007G245680, Cg007G245670	evm.model.RL_3.231
OG0000109	Cg008G318050	evm.model.RL_6.809
OG0000109	Cg006G211600	evm.model.RL_1.2946
OG0000109	Cg002G064440	evm.model.RL_7.2399, evm.model.RL_3.555
OG0000109	Cg004G150880, Cg006G210870, Cg005G180720	evm.model.RL_8.1066, evm.model.RL_2.562, evm.model.RL_1.2945
OG0000109	Cg006G218300, Cg006G206180	evm.model.RL_8.628, evm.model.RL_6.399, evm.model.RL_1.2214, evm.model.RL_8.997
OG0000110	Cg002G047280	evm.model.RL_7.1925
OG0000110	Cg002G047240	evm.model.RL_7.432
OG0000113	Cg007G253910	evm.model.RL_3.97, evm.model.RL_7.1875, evm.model.RL_3.665, evm.model.RL_3.98, evm.model.RL_3.159.1.687c84ba
OG0000113	Cg007G253850	evm.model.RL_2.339
OG0000114	Cg008G318090	evm.model.RL_4.605, evm.model.RL_4.611, evm.model.RL_4.609, evm.model.RL_3.630, evm.model.RL_1.339
OG0000117	Cg004G155040, Cg014G333100, Cg005G179380, Cg001G030950	evm.model.RL_8.488
OG0000117	Cg006G206330, Cg006G206270, Cg016G334370, Cg003G095540	evm.model.RL_3.358
OG0000118	Cg003G083280, Cg003G083300, Cg006G212340, Cg006G212330, Cg006G212350, Cg003G083440, Cg003G083420, Cg003G083410, Cg003G083390, Cg003G083400, Cg003G083370, Cg003G083380, Cg003G083350, Cg003G083310, Cg003G083460, Cg006G204540, Cg002G064450, Cg013G330430	evm.model.RL_8.709, evm.model.RL_8.712
OG0000119	Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640	evm.model.RL_5.2397
OG0000120	Cg007G250010, Cg007G249930	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	Cg001G027290	evm.model.RL_2.990, evm.model.RL_2.937
OG0000120	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	Cg008G285500	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000123	Cg001G014410	evm.model.RL_5.1210
OG0000123	Cg006G232300	evm.model.RL_5.1211
OG0000125	Cg002G052860	evm.model.RL_7.1020
OG0000125	Cg008G283340	evm.model.RL_4.3281
OG0000125	Cg008G302630	evm.model.RL_4.1435
OG0000125	Cg006G238270	evm.model.RL_5.630
OG0000125	Cg003G107610	evm.model.RL_8.2069
OG0000125	Cg002G061230, Cg002G061270	evm.model.RL_7.1764, evm.model.RL_7.1769
OG0000125	Cg005G178390	evm.model.RL_6.979
OG0000126	Cg001G027760, Cg001G028690, Cg002G060390, Cg007G271870, Cg008G305740, Cg007G255150	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	Cg008G282740	evm.model.RL_4.3347
OG0000127	Cg007G262300, Cg007G263860	evm.model.RL_4.3343
OG0000127	Cg004G124780	evm.model.RL_1.822
OG0000127	Cg007G262280	evm.model.RL_4.3344
OG0000128	Cg001G020220	evm.model.RL_5.2370
OG0000132	Cg001G031120, Cg001G029490	evm.model.RL_2.3365
OG0000132	Cg008G315710, Cg008G321260, Cg008G315700, Cg008G321280	evm.model.RL_4.679
OG0000132	Cg008G321270	evm.model.RL_6.1268, evm.model.RL_7.2086
OG0000135	Cg004G138210	evm.model.RL_5.2242, evm.model.RL_4.523, evm.model.RL_3.1563, evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041
OG0000136	Cg001G037100	evm.model.RL_2.429
OG0000137	Cg001G041290	evm.model.RL_2.50
OG0000139	Cg005G182990	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044
OG0000140	Cg002G060210	evm.model.RL_7.1690
OG0000140	Cg003G106800	evm.model.RL_8.2003
OG0000142	Cg005G177630	evm.model.RL_6.1033, evm.model.RL_6.1034, evm.model.RL_6.1035
OG0000142	Cg005G176030	evm.model.RL_6.789, evm.model.RL_6.1159
OG0000147	Cg004G155250	evm.model.RL_1.3091
OG0000147	Cg001G010340	evm.model.RL_2.2536
OG0000147	Cg003G104960	evm.model.RL_8.1812
OG0000147	Cg007G280860	evm.model.RL_3.2406
OG0000147	Cg001G032760	evm.model.RL_2.664
OG0000147	Cg004G146670	evm.model.RL_1.2583
OG0000147	Cg005G189880	evm.model.RL_6.348
OG0000149	Cg002G060900	evm.model.RL_7.1738
OG0000149	Cg002G060880	evm.model.RL_7.1737
OG0000149	Cg002G060920	evm.model.RL_7.1739
OG0000150	Cg002G064460, Cg001G004220, Cg002G061890, Cg002G061810	evm.model.RL_7.1807
OG0000151	Cg003G100170	evm.model.RL_8.1422
OG0000151	Cg001G012710	evm.model.RL_2.2307
OG0000151	Cg004G124340	evm.model.RL_1.777
OG0000151	Cg004G152640	evm.model.RL_1.2853
OG0000151	Cg003G103430	evm.model.RL_8.1691
OG0000151	Cg007G246070	evm.model.RL_3.61
OG0000152	Cg002G069910	evm.model.RL_7.117, evm.model.RL_2.778, evm.model.RL_2.919, evm.model.RL_5.2414
OG0000152	Cg006G216840, Cg002G069290, Cg005G182640	evm.model.RL_4.661, evm.model.RL_4.735, evm.model.RL_6.581, evm.model.RL_1.2711, evm.model.RL_2.713, evm.model.RL_2.777, evm.model.RL_6.572
OG0000152	Cg004G145620, Cg002G063800, Cg003G096260, Cg001G034420, Cg007G260590, Cg004G146430, Cg002G067820, Cg005G182630, Cg007G251500, Cg003G082490, Cg008G288890, Cg007G251240, Cg006G195780	evm.model.RL_8.1671, evm.model.RL_6.2907, evm.model.RL_4.1821, evm.model.RL_6.815, evm.model.RL_7.1603
OG0000154	Cg006G229860	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	Cg004G125060	evm.model.RL_1.853
OG0000154	Cg008G283230	evm.model.RL_2.489
OG0000155	Cg001G013440	evm.model.RL_2.2243
OG0000156	Cg005G160190	evm.model.RL_6.2693
OG0000156	Cg005G160240	evm.model.RL_4.1065
OG0000156	Cg005G160250	evm.model.RL_6.2692
OG0000158	Cg005G184100	evm.model.RL_6.58
OG0000161	Cg007G261320	evm.model.RL_3.891
OG0000161	Cg007G257190	evm.model.RL_3.897
OG0000162	Cg008G314630	evm.model.RL_4.640, evm.model.RL_2.640
OG0000162	Cg005G160860	evm.model.RL_6.2628
OG0000165	Cg009G325660	evm.model.RL_7.798
OG0000167	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000	evm.model.RL_8.1410
OG0000167	Cg003G085600, Cg003G085540	evm.model.RL_8.842
OG0000167	Cg001G021130	evm.model.RL_2.1517
OG0000167	Cg001G021150	evm.model.RL_2.1515
OG0000167	Cg001G021160	evm.model.RL_2.1514
OG0000167	Cg001G021140	evm.model.RL_2.1516
OG0000167	Cg001G036730	evm.model.RL_2.439
OG0000171	Cg002G044340, Cg005G158520	evm.model.RL_6.2869
OG0000171	Cg006G222370, Cg007G270890	evm.model.RL_3.1439
OG0000171	Cg007G250530	evm.model.RL_5.927.1.687c88b0
OG0000171	Cg008G294880	evm.model.RL_4.2162.1.687c86d7
OG0000172	Cg007G250100, Cg007G250140	evm.model.RL_3.406, evm.model.RL_3.423
OG0000172	Cg002G060680	evm.model.RL_7.1680
OG0000172	Cg002G060150	evm.model.RL_7.1683
OG0000173	Cg003G091670	evm.model.RL_5.288
OG0000174	Cg009G325780, Cg006G205480	evm.model.RL_7.2138
OG0000175	Cg002G055540	evm.model.RL_7.1254
OG0000175	Cg007G276430	evm.model.RL_3.1995
OG0000175	Cg006G225880	evm.model.RL_5.1839
OG0000175	Cg001G005230	evm.model.RL_2.3025
OG0000175	Cg004G153920	evm.model.RL_1.2964
OG0000175	Cg001G004130	evm.model.RL_2.3122
OG0000176	Cg006G213550, Cg006G213530, Cg006G213520	evm.model.RL_5.2855
OG0000176	Cg006G215620	evm.model.RL_5.2856
OG0000177	Cg007G261230	evm.model.RL_2.478
OG0000177	Cg005G182360	evm.model.RL_2.510
OG0000177	Cg007G250370, Cg006G214000	evm.model.RL_2.497, evm.model.RL_2.1097
OG0000178	Cg002G069730, Cg002G066500	evm.model.RL_8.2288
OG0000178	Cg008G316010	evm.model.RL_3.909, evm.model.RL_1.2527, evm.model.RL_6.1504
OG0000180	Cg007G269630	evm.model.RL_4.185
OG0000181	Cg005G191690	evm.model.RL_8.1686, evm.model.RL_2.403
OG0000181	Cg001G038210, Cg005G186330	evm.model.RL_6.478
OG0000184	Cg006G215550	evm.model.RL_8.999, evm.model.RL_1.2918
OG0000185	Cg003G098770	evm.model.RL_1.2420, evm.model.RL_7.527, evm.model.RL_3.588, evm.model.RL_1.1351, evm.model.RL_2.287
OG0000185	Cg006G228250	evm.model.RL_6.431
OG0000187	Cg001G008920	evm.model.RL_2.2676
OG0000187	Cg001G008910	evm.model.RL_2.2677
OG0000189	Cg004G151040	evm.model.RL_1.2758
OG0000189	Cg001G007520	evm.model.RL_6.2240, evm.model.RL_6.2193, evm.model.RL_2.3227
OG0000190	Cg003G080590	evm.model.RL_8.476
OG0000190	Cg003G080580	evm.model.RL_8.475
OG0000190	Cg006G210720	evm.model.RL_8.473
OG0000190	Cg006G210710	evm.model.RL_8.474.1.687c8557
OG0000190	Cg003G080530	evm.model.RL_8.472
OG0000190	Cg003G087120, Cg003G087200	evm.model.RL_8.916
OG0000192	Cg006G224780	evm.model.RL_5.3624
OG0000195	Cg005G182280	evm.model.RL_6.761
OG0000195	Cg005G164920	evm.model.RL_7.686, evm.model.RL_6.2234
OG0000195	Cg001G036760	evm.model.RL_2.437
OG0000195	Cg007G265630	evm.model.RL_3.1018
OG0000195	Cg008G301610	evm.model.RL_4.1537, evm.model.RL_7.1974
OG0000196	Cg006G202640	evm.model.RL_5.2252
OG0000196	Cg006G217600, Cg006G202630	evm.model.RL_1.1858
OG0000197	Cg001G041590	evm.model.RL_2.911
OG0000200	Cg006G240250	evm.model.RL_5.455
OG0000200	Cg007G272860, Cg007G265230, Cg006G240300	evm.model.RL_5.451
OG0000200	Cg003G084880, Cg004G143040, Cg004G143090	evm.model.RL_1.2415, evm.model.RL_1.2410
OG0000203	Cg004G120290	evm.model.RL_1.380
OG0000204	Cg004G142490, Cg004G140470, Cg006G200670, Cg004G138460, Cg001G010180	evm.model.RL_1.2062
OG0000209	Cg007G246040	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273
OG0000209	Cg001G042590	evm.model.RL_2.160
OG0000213	Cg005G191770	evm.model.RL_6.203
OG0000213	Cg005G191730	evm.model.RL_6.204
OG0000214	Cg003G078170	evm.model.RL_8.81, evm.model.RL_8.239
OG0000218	Cg006G230920	evm.model.RL_5.1346
OG0000218	Cg006G230900, Cg006G230890	evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	Cg002G075340	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	Cg007G266520, Cg007G266510	evm.model.RL_3.1053
OG0000219	Cg005G177170	evm.model.RL_6.1078
OG0000219	Cg005G177180	evm.model.RL_6.1077
OG0000219	Cg003G095240, Cg003G111060	evm.model.RL_8.2397
OG0000220	Cg005G192620	evm.model.RL_3.318
OG0000224	Cg007G278180	evm.model.RL_3.2157
OG0000224	Cg007G278160	evm.model.RL_3.2156
OG0000225	Cg006G217130	evm.model.RL_5.2984
OG0000226	Cg003G113210	evm.model.RL_8.2609, evm.model.RL_8.2608
OG0000226	Cg004G128760	evm.model.RL_1.1295, evm.model.RL_1.1199
OG0000228	Cg007G271320	evm.model.RL_3.1491
OG0000228	Cg008G307350	evm.model.RL_4.998
OG0000228	Cg007G271280	evm.model.RL_3.1484, evm.model.RL_3.1485
OG0000228	Cg007G271290	evm.model.RL_3.1486
OG0000229	Cg008G315850, Cg014G331310	evm.model.RL_8.305
OG0000229	Cg014G331300, Cg003G078330	evm.model.RL_8.257
OG0000229	Cg007G270440, Cg007G270650	evm.model.RL_3.1414, evm.model.RL_3.1413
OG0000229	Cg007G261570	evm.model.RL_2.330, evm.model.RL_7.1066
OG0000231	Cg007G260410	evm.model.RL_3.874
OG0000233	Cg005G186600	evm.model.RL_7.2092
OG0000234	Cg002G062460	evm.model.RL_7.1848
OG0000234	Cg002G051400	evm.model.RL_7.860
OG0000234	Cg002G051410	evm.model.RL_7.861
OG0000234	Cg002G051420	evm.model.RL_7.862
OG0000234	Cg005G166930	evm.model.RL_6.2046
OG0000234	Cg008G293710	evm.model.RL_4.2267
OG0000239	Cg001G040490	evm.model.RL_2.228
OG0000240	Cg005G180190, Cg002G062910	evm.model.RL_4.753
OG0000240	Cg003G085370, Cg001G030000	evm.model.RL_2.1026
OG0000241	Cg004G145120	evm.model.RL_1.2750
OG0000242	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670	evm.model.RL_1.2752
OG0000242	Cg004G150020, Cg004G150680	evm.model.RL_1.2751
OG0000244	Cg001G019150	evm.model.RL_2.1690
OG0000247	Cg006G202680	evm.model.RL_5.2253
OG0000248	Cg003G081340	evm.model.RL_8.548
OG0000249	Cg005G169790	evm.model.RL_6.1770
OG0000250	Cg007G270470	evm.model.RL_3.1397
OG0000252	Cg007G252790, Cg007G252760	evm.model.RL_3.611
OG0000252	Cg008G283740	evm.model.RL_4.3241, evm.model.RL_4.3240
OG0000252	Cg004G136500	evm.model.RL_1.1880
OG0000256	Cg003G080890	evm.model.RL_8.503
OG0000256	Cg005G165640	evm.model.RL_6.2167
OG0000257	Cg004G143430	evm.model.RL_6.895
OG0000258	Cg002G072340	evm.model.RL_7.2389
OG0000258	Cg002G072320	evm.model.RL_7.2388
