Orthogroup	Cardamine_glauca	Camelina_sativa
OG0000018	Cg006G204250, Cg003G087690, Cg003G087660	XP_010425747.1, XP_010424409.1, XP_019097512.1, XP_019099607.1, XP_019097391.1, XP_010425255.1, XP_010419328.1, XP_010490194.1, XP_010426045.1
OG0000018	Cg003G095110	XP_019091130.1
OG0000019	Cg008G308170	XP_010506471.1, XP_010420141.1, XP_010423040.1, XP_019095544.1, XP_010481212.1, XP_010507282.1, XP_010415695.1
OG0000021	Cg006G208570	XP_010463070.1, XP_010481219.1, XP_010456454.1, XP_010424514.1, XP_019089179.1, XP_019082748.1, XP_019096508.1, XP_019085542.1, XP_019095265.1, XP_010468638.1, XP_010446081.1, XP_010468560.1
OG0000021	Cg003G100100	XP_010424688.1, XP_010418986.1
OG0000021	Cg003G084910	XP_010471472.1, XP_019085419.1, XP_019087289.1, XP_010412606.1
OG0000021	Cg003G103950	XP_010490455.1
OG0000021	Cg006G215630	XP_010484758.1, XP_019100906.1, XP_010431231.1, XP_010513293.1
OG0000023	Cg001G017560	XP_010439188.2, XP_010433919.1
OG0000023	Cg001G017610, Cg001G017600	XP_019086460.1
OG0000023	Cg003G082320	XP_019089721.1
OG0000023	Cg001G017770	XP_019086471.1
OG0000023	Cg001G017650	XP_010442801.1
OG0000023	Cg001G017750	XP_010418084.1, XP_010439216.1
OG0000023	Cg001G017690	XP_010448752.1, XP_010439208.1, XP_010433929.1
OG0000023	Cg001G017660	XP_010445190.1, XP_010451240.1, XP_010439207.1
OG0000025	Cg003G106740	XP_019087714.1, XP_010436629.2, XP_010451562.1
OG0000025	Cg001G005300	XP_010446868.1, XP_010452778.1, XP_019084603.1, XP_019090606.1, XP_010444978.1
OG0000026	Cg005G183380	XP_010507228.1, XP_010495239.1, XP_010495240.1
OG0000027	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800	XP_010480604.1, XP_010463029.1, XP_010451514.1, XP_010478551.1, XP_010478550.1, XP_010478553.1, XP_019091556.1, XP_010476674.1, XP_019094490.1, XP_019091554.1, XP_019091095.1, XP_010480880.1
OG0000027	Cg002G070600	XP_010480824.1, XP_010500449.1
OG0000027	Cg006G215350, Cg006G215360	XP_010501685.1
OG0000028	Cg001G041970	XP_010431039.1
OG0000029	Cg007G253930	XP_019099713.1, XP_010426130.1, XP_019084377.1, XP_019083654.1, XP_010435359.1, XP_019099915.1
OG0000029	Cg005G177650	XP_010431052.1, XP_010484853.1
OG0000029	Cg005G177640	XP_010473942.1, XP_019084640.1
OG0000031	Cg007G247230, Cg007G246930	XP_010431724.1, XP_010431725.1, XP_010419467.1, XP_010418350.1, XP_010419472.1, XP_019087757.1, XP_019082755.1, XP_010430432.1
OG0000031	Cg007G247710	XP_010430336.1, XP_010418269.1, XP_010473491.1
OG0000031	Cg001G042060	XP_010447152.1, XP_010436064.1
OG0000031	Cg004G133170	XP_010504570.1, XP_010465692.1, XP_019096254.1
OG0000031	Cg007G245660	XP_010418533.1, XP_019085324.1
OG0000033	Cg001G017700	XP_010448753.1
OG0000033	Cg001G017740, Cg001G017730	XP_010418085.1, XP_010448756.1, XP_010439218.1
OG0000033	Cg001G017780	XP_010439201.1, XP_019089065.1, XP_010448744.1, XP_010492474.1, XP_010453750.1, XP_019089320.1, XP_010439192.1, XP_019086470.1, XP_010439195.1, XP_019088941.1, XP_010448766.1, XP_010473582.1, XP_010418366.1, XP_010430440.1, XP_010439226.1, XP_010439227.1, XP_010448760.1, XP_019087864.1, XP_010448759.1, XP_010433935.1
OG0000033	Cg001G019620	XP_019089519.1, XP_010434185.1
OG0000033	Cg001G019630	XP_019088150.1, XP_019089518.1
OG0000033	Cg001G017580	XP_019087860.1, XP_019086461.1, XP_019089061.1, XP_010439190.1
OG0000033	Cg001G017790	XP_010433930.1, XP_010448768.1, XP_019087874.1
OG0000033	Cg003G079950, Cg003G094060	XP_010431580.1
OG0000034	Cg005G182400	XP_010450460.1
OG0000034	Cg002G066600	XP_019094521.1, XP_019090430.1, XP_010495589.1, XP_010451640.1, XP_019082481.1
OG0000036	Cg008G323260	XP_010474229.1, XP_010456533.1, XP_010430982.1, XP_010418657.1, XP_010474465.1
OG0000036	Cg004G140700, Cg006G210150	XP_010485044.1, XP_010468544.1
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	XP_010496594.1, XP_019086887.1, XP_010493433.1, XP_019093349.1, XP_010507005.2, XP_019090153.1, XP_019086270.1, XP_019101868.1, XP_010472188.1, XP_019100846.1, XP_019101359.1, XP_010457035.1, XP_010430898.2, XP_010445492.1, XP_019093221.1, XP_019096550.1, XP_019098310.1, XP_010495718.2, XP_010412459.1, XP_019099752.1, XP_010441848.1
OG0000036	Cg005G182230, Cg005G181070	XP_010484891.1
OG0000037	Cg007G247800, Cg007G255010	XP_019087357.1, XP_019095607.1, XP_019085897.1, XP_019091034.1, XP_019096545.1
OG0000038	Cg005G159520	XP_010507624.1, XP_010512960.1, XP_010509052.1, XP_010412781.1, XP_010502501.1, XP_010427246.1
OG0000038	Cg003G103850	XP_010485079.2
OG0000038	Cg008G320600	XP_010484847.1
OG0000038	Cg001G007650	XP_019087882.1
OG0000038	Cg008G320560	XP_019097483.1, XP_019087570.1
OG0000038	Cg002G052970	XP_019082541.1
OG0000039	Cg004G126960	XP_010481168.1
OG0000039	Cg005G180100, Cg002G062370, Cg002G062340	XP_010456792.1
OG0000040	Cg006G217350	XP_010462898.1, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010462936.2, XP_010462910.2
OG0000040	Cg001G030090	XP_010506941.1, XP_010481243.1
OG0000040	Cg005G160040	XP_010451423.1
OG0000040	Cg006G235040	XP_010480422.1
OG0000040	Cg004G137150	XP_019092251.1, XP_010424523.1, XP_010487966.1, XP_010481059.1, XP_010463131.1
OG0000040	Cg004G136640	XP_010489955.2
OG0000042	Cg002G059980	XP_019085383.1
OG0000042	Cg008G311300, Cg008G309470	XP_010474284.1, XP_019089979.1, XP_019090150.1
OG0000042	Cg008G310640, Cg008G309000	XP_019094451.1
OG0000042	Cg002G072070	XP_019085329.1
OG0000044	Cg001G029670	XP_010502950.1, XP_010461751.1, XP_010518653.2, XP_019086352.1, XP_010495393.2, XP_019094411.1, XP_010412458.2, XP_010507003.1, XP_010507554.1, XP_010490459.2, XP_010412583.2, XP_010474317.1, XP_010451886.2, XP_019086303.1, XP_010435128.1, XP_019096471.1, XP_019089513.1, XP_019097866.1, XP_019087961.1, XP_010495787.1, XP_010458616.1, XP_019094579.1
OG0000045	Cg003G091810	XP_019092186.1, XP_019097493.1, XP_010421785.1, XP_019091421.1, XP_019082588.1, XP_010424185.1, XP_010444656.1
OG0000046	Cg001G022610	XP_010439880.1, XP_010412987.2, XP_010439882.2
OG0000046	Cg001G037990	XP_010450945.1, XP_010440924.1, XP_010435726.1
OG0000046	Cg007G266760	XP_019083220.1
OG0000046	Cg007G266640	XP_010511598.1, XP_010470573.1, XP_019083199.1, XP_019100931.1
OG0000047	Cg004G156550	XP_010507263.1
OG0000048	Cg004G119550	XP_010514943.1, XP_010485744.1, XP_010463847.1
OG0000048	Cg008G298370	XP_010492798.1, XP_010420543.1, XP_010454026.1
OG0000048	Cg008G298350	XP_019098087.1
OG0000049	Cg007G255960	XP_010507608.1, XP_019090114.1, XP_010424251.1, XP_010456904.1, XP_010474502.1, XP_010495533.1, XP_019097475.1
OG0000049	Cg007G266650	XP_010420068.1, XP_010496670.1, XP_010424768.1
OG0000052	Cg006G242960	XP_019098849.1, XP_010457379.1, XP_019094361.1, XP_019094954.1, XP_010475218.1
OG0000052	Cg005G163550	XP_010506074.1, XP_019101977.1, XP_010508568.1
OG0000052	Cg005G173390, Cg013G330370	XP_019099930.1, XP_019102077.1, XP_010508571.1
OG0000052	Cg003G084890	XP_019100713.1, XP_019099798.1, XP_010413016.2, XP_019101012.1, XP_019099883.1, XP_019099797.1, XP_019100714.1
OG0000052	Cg005G163540	XP_019100718.1, XP_019102056.1
OG0000052	Cg005G187360	XP_019100716.1, XP_019100715.1, XP_019099796.1, XP_019101979.1, XP_019099795.1, XP_019100717.1, XP_019101978.1
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	XP_010451388.1, XP_010451387.1, XP_010445432.1, XP_010436657.1, XP_010507491.1, XP_010485261.1, XP_010424397.1, XP_010507751.1, XP_010418870.1, XP_010419243.1, XP_010418226.1, XP_010474557.1, XP_010501675.1, XP_010480860.1, XP_010412778.1, XP_010501678.1, XP_010457038.1, XP_010424297.1, XP_010480864.1, XP_010492076.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_019082768.1, XP_010454794.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010474415.1, XP_010501879.1, XP_010513527.1, XP_010513525.1, XP_019094598.1, XP_010467664.1, XP_010495455.1, XP_010436683.1, XP_010444952.1
OG0000053	Cg003G084420	XP_010424196.1, XP_019102427.1, XP_010456828.1, XP_010424751.1, XP_010456785.1, XP_010451490.1
OG0000054	Cg001G018970	XP_010484863.1
OG0000054	Cg005G189800, Cg005G189790	XP_010445679.1, XP_010442704.1, XP_010497389.1
OG0000055	Cg007G248480	XP_010430303.1
OG0000055	Cg002G060080	XP_010515018.1, XP_010426146.1, XP_019084785.1, XP_010503309.1
OG0000055	Cg007G248550	XP_010473413.1, XP_019085277.1
OG0000055	Cg007G248360	XP_010473426.1, XP_010430251.1
OG0000055	Cg007G248410	XP_010419456.1
OG0000055	Cg007G248540, Cg007G248530	XP_010473416.1, XP_019082750.1, XP_010430231.1
OG0000057	Cg004G133930	XP_019092636.1
OG0000057	Cg004G139300, Cg004G139380, Cg004G139340, Cg004G139360, Cg004G139320, Cg004G139330, Cg004G139250	XP_010468422.1
OG0000058	Cg007G261210	XP_019097515.1, XP_010495728.1
OG0000061	Cg003G083990, Cg008G318200	XP_019091169.1, XP_019092479.1, XP_019096239.1, XP_019095788.1, XP_019091550.1, XP_019087541.1, XP_010501907.1, XP_010462790.1, XP_010480815.1, XP_019089329.1, XP_010436473.1, XP_010456870.1
OG0000062	Cg007G260660, Cg005G180090	XP_019100816.1, XP_010476531.1
OG0000062	Cg010G326150	XP_010512724.1, XP_019100739.1, XP_019085561.1, XP_019099825.1, XP_019082800.1, XP_010441029.1, XP_010455272.1, XP_019092609.1, XP_010494915.2, XP_010481169.2, XP_010494414.1, XP_019087463.1, XP_019095296.1, XP_019090335.1, XP_019091163.1, XP_010415622.1, XP_010512845.1, XP_019082564.1, XP_019093257.1
OG0000064	Cg001G000750	XP_019088762.1, XP_010446406.1, XP_019086777.1
OG0000064	Cg005G172820	XP_019093848.1, XP_010413809.1
OG0000064	Cg008G322800	XP_010441689.1, XP_019097581.1, XP_010484798.1
OG0000065	Cg001G020190	XP_019098326.1, XP_019098351.1, XP_019098390.1, XP_019099627.1, XP_019097476.1, XP_019100901.1, XP_019099563.1, XP_019094561.1, XP_019094562.1, XP_019089054.1
OG0000066	Cg007G276160	XP_010480248.1
OG0000066	Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880	XP_010488359.1, XP_010471674.1, XP_010428586.1, XP_010466628.1, XP_010447175.1
OG0000066	Cg006G226080	XP_010477215.1, XP_019091470.1
OG0000066	Cg003G113360	XP_010425488.1, XP_010484375.1, XP_010502711.1, XP_010475747.1, XP_010458200.1, XP_010463183.1, XP_010514443.1, XP_010489841.1, XP_010444536.1
OG0000067	Cg008G283860, Cg008G284100, Cg008G284110, Cg008G284020, Cg008G283610	XP_019092519.1, XP_010441868.1, XP_010463635.1, XP_010485475.1, XP_010423706.1, XP_010490829.1, XP_010423608.1, XP_010490827.1
OG0000067	Cg008G318950	XP_010491460.1, XP_019084672.1
OG0000070	Cg005G186370	XP_010495970.1, XP_019085455.1, XP_010468558.1, XP_010469984.1, XP_010513482.1, XP_010474070.1, XP_019091133.1, XP_010451811.1, XP_010507110.1, XP_019085545.1, XP_010513601.1, XP_010497062.1, XP_010463173.1, XP_019085865.1, XP_019082522.1, XP_010451699.1, XP_010430902.1, XP_019092388.1, XP_019097363.1, XP_010456761.1, XP_019092317.1, XP_019091077.1, XP_019096116.1, XP_010484717.1
OG0000071	Cg005G184980	XP_019086014.1, XP_019087671.1, XP_010426617.1, XP_010450226.1, XP_010514363.1
OG0000071	Cg006G240460	XP_010426473.1
OG0000072	Cg008G307960	XP_019092259.1, XP_019082981.1, XP_010480955.1, XP_019094608.1, XP_019099613.1, XP_019085388.1, XP_019089441.1, XP_019089444.1, XP_010445263.1, XP_019089175.1, XP_019097535.1, XP_010480982.1, XP_019089388.1, XP_019101047.1, XP_010480771.1, XP_019087491.1, XP_019092555.1, XP_010498960.2, XP_019097842.1, XP_019094512.1, XP_019098282.1, XP_010455605.1, XP_010468370.1, XP_019087456.1, XP_019085117.1
OG0000072	Cg001G029810, Cg001G029820, Cg008G307970	XP_019101294.1, XP_010513333.1, XP_010436696.1, XP_010484918.1, XP_019098356.1
OG0000073	Cg003G080870	XP_010422352.1, XP_010496161.1, XP_010422256.1
OG0000073	Cg008G315120	XP_019090872.1
OG0000074	Cg006G222170, Cg006G222270, Cg006G222260, Cg006G222250	XP_010477654.1
OG0000074	Cg006G222210	XP_019095154.1, XP_010477660.1
OG0000074	Cg006G222280	XP_019097190.1, XP_010498869.1, XP_010477651.1
OG0000074	Cg006G222290	XP_019099166.1
OG0000074	Cg006G222160	XP_010477663.1
OG0000074	Cg006G222230	XP_019095156.1
OG0000074	Cg006G222200	XP_010477657.1
OG0000074	Cg006G222220	XP_019097182.1
OG0000074	Cg006G222190	XP_019099169.1, XP_010477662.1
OG0000074	Cg006G222350	XP_019099162.1
OG0000074	Cg006G222340	XP_010460137.1, XP_010477644.1, XP_019099163.1
OG0000074	Cg006G222180	XP_010480623.1, XP_019098437.1
OG0000075	Cg003G083750, Cg005G174740	XP_019101108.1
OG0000075	Cg008G291500, Cg008G290800, Cg008G290770	XP_010495133.1, XP_010424706.2
OG0000075	Cg001G033430, Cg006G221290, Cg008G323300	XP_010495208.1, XP_019084194.1, XP_010492457.1, XP_010420351.1, XP_010495227.2, XP_019088045.1, XP_010447293.1, XP_010432619.1
OG0000075	Cg006G218700	XP_010501637.1, XP_010462958.1, XP_010480708.1, XP_010477784.1, XP_010480648.2
OG0000076	Cg002G057890	XP_010515239.1, XP_010503551.1, XP_010426408.1
OG0000076	Cg002G054100	XP_010431292.1, XP_019099853.1
OG0000076	Cg007G272900	XP_010418929.2, XP_019100897.1, XP_010418932.1
OG0000076	Cg002G071650	XP_010425425.1
OG0000078	Cg002G071190	XP_019099724.1
OG0000079	Cg004G118210	XP_010485638.1, XP_010505483.1, XP_010463747.1, XP_010417389.1, XP_010463742.1, XP_010463745.1, XP_010485636.1, XP_010463744.1
OG0000079	Cg002G047470	XP_010512114.1, XP_010512120.1, XP_010512109.1, XP_010504857.1, XP_010435737.1, XP_010512111.1
OG0000079	Cg001G038080	XP_010450921.1, XP_010436759.1
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	XP_010516541.1, XP_010469219.2
OG0000080	Cg005G158270	XP_010436712.1
OG0000080	Cg004G149910	XP_010479193.1, XP_019090915.1, XP_010479197.1, XP_010479195.1, XP_010479119.1
OG0000080	Cg004G150150	XP_019091030.1
OG0000080	Cg005G177050, Cg005G176650	XP_010510427.1, XP_010414309.1
OG0000080	Cg005G177060	XP_010480591.2, XP_019100817.1, XP_010491240.1
OG0000081	Cg008G298500	XP_010424159.1, XP_010495270.1, XP_019090399.1
OG0000082	Cg003G082510, Cg003G083500	XP_010495389.1, XP_010436367.1, XP_019087493.1, XP_010451106.1, XP_010412437.1
OG0000083	Cg005G178780	XP_010486733.1, XP_010431481.1
OG0000083	Cg004G140450, Cg004G140420	XP_010468402.2
OG0000083	Cg004G140430	XP_010490063.1
OG0000083	Cg004G140410	XP_010488341.1, XP_010421303.1, XP_010466598.1
OG0000083	Cg005G190480	XP_010429373.1
OG0000083	Cg005G190490	XP_010427974.1, XP_019084962.1, XP_019085914.1
OG0000083	Cg004G121150	XP_010464056.1, XP_010485978.1, XP_019100088.1
OG0000084	Cg005G189580	XP_010429395.1, XP_010429390.1, XP_019098401.1, XP_010417173.1, XP_010429391.1, XP_019093380.1, XP_010431589.1
OG0000084	Cg005G189500	XP_019085126.1, XP_010474446.1
OG0000085	Cg007G270000	XP_019087416.1
OG0000087	Cg008G303510	XP_010421190.1, XP_010454670.1
OG0000087	Cg005G177380	XP_010469941.1, XP_010510475.1, XP_010414372.1
OG0000087	Cg003G110470	NP_001289924.1, XP_010444122.1, XP_010515012.1
OG0000087	Cg002G060160	XP_010503303.1
OG0000087	Cg008G292710	XP_010419814.1, XP_010491982.1, XP_010453291.1
OG0000087	Cg005G171830	XP_010516638.1, XP_010504960.1, XP_010509706.1
OG0000087	Cg008G320640	XP_010494444.1
OG0000087	Cg001G020160	XP_010439552.1, XP_010449142.1, XP_010434259.1
OG0000087	Cg006G225960	XP_010498429.1, XP_010459680.1, XP_010477226.1
OG0000087	Cg007G276340	XP_010416482.1, XP_010471708.1
OG0000088	Cg002G059930	XP_010515061.1
OG0000088	Cg002G059530	XP_010515060.1, XP_019085518.1
OG0000088	Cg001G039390, Cg008G300920	XP_010493149.1, XP_010420883.1, XP_010454350.1, XP_010493153.1
OG0000088	Cg003G090240, Cg003G095710	XP_010441974.1, XP_010482344.1
OG0000089	Cg008G290150	XP_010422938.1, XP_010452982.1, XP_010491624.1
OG0000089	Cg004G127880	XP_010498525.1, XP_010486900.1, XP_010464961.1
OG0000089	Cg003G107020	XP_010483556.1, XP_010483559.1, XP_010483560.1, XP_010514974.1, XP_010503262.1, XP_010426084.1
OG0000090	Cg006G225800	XP_010448526.1, XP_010433736.1, XP_010438976.1, XP_010477249.1, XP_010459699.1
OG0000090	Cg008G317760, Cg011G329140	XP_010442189.1
OG0000090	Cg001G005770	XP_010447073.1, XP_010447075.1, XP_010432410.1, XP_010437611.1, XP_010450797.1, XP_010435879.1, XP_010441072.1, XP_010441003.1
OG0000090	Cg006G235770	XP_010458359.1, XP_010475885.1, XP_010490823.1
OG0000093	Cg002G047960	XP_010431453.2, XP_019099736.1, XP_019102066.1
OG0000093	Cg002G047970	XP_010516477.1, XP_010504788.1, XP_010427742.1
OG0000093	Cg004G145440, Cg004G145260	XP_019098882.1, XP_010490171.1, XP_010467068.1
OG0000093	Cg002G047940	XP_019085090.1, XP_019102065.1, XP_019099737.1
OG0000093	Cg002G048030	XP_010427735.1, XP_010516473.1
OG0000093	Cg002G048080	XP_010427730.1
OG0000096	Cg007G252880	XP_019101057.1
OG0000096	Cg002G073940	XP_019099908.1, XP_010514095.1
OG0000096	Cg002G073930	XP_010489646.1, XP_010512993.2, XP_010430698.1
OG0000096	Cg002G073840	XP_010518589.1, XP_010430699.1, XP_019099582.1
OG0000096	Cg003G082280	XP_010481626.1
OG0000096	Cg008G322180	XP_019097502.1
OG0000097	Cg003G079780, Cg003G094240	XP_010431383.1, XP_010422434.1
OG0000097	Cg003G079770, Cg003G094250	XP_010456938.1, XP_010424623.1, XP_010467526.1
OG0000097	Cg003G079750, Cg003G094280	XP_010422442.1, XP_010431256.1
OG0000097	Cg001G029830, Cg001G029870	XP_010430852.2
OG0000097	Cg003G079730, Cg003G094300	XP_010467516.1, XP_010424624.1
OG0000097	Cg003G094290, Cg003G079740	XP_010424620.1, XP_010455876.2, XP_010467545.2, XP_010513578.1, XP_010418996.1, XP_010474129.1, XP_010431403.1, XP_010431272.1
OG0000098	Cg007G253040, Cg007G249450	XP_010418074.1
OG0000099	Cg007G246280, Cg007G246260, Cg007G246270	XP_010419499.2, XP_010430517.1, XP_019082764.1, XP_010473429.1, XP_010430254.1
OG0000099	Cg007G249510	XP_010418440.1, XP_010430514.1, XP_010473647.1, XP_010418441.1, XP_010430515.1, XP_010418444.1, XP_019083691.1, XP_019083687.1, XP_010430518.1
OG0000100	Cg008G316000	XP_010474089.1
OG0000101	Cg007G246670	XP_019082758.1, XP_010418389.1, XP_010430467.1
OG0000102	Cg001G040220	XP_019082509.1, XP_019100825.1, XP_019089224.1
OG0000104	Cg006G238510	XP_010487696.1, XP_010475520.1
OG0000104	Cg005G178080	XP_019101460.1, XP_010470014.1, XP_019082807.1
OG0000104	Cg005G177940, Cg005G177960	XP_010513261.2
OG0000104	Cg005G177920	XP_010414453.2, XP_010473989.1, XP_010510549.1
OG0000104	Cg006G200560	XP_010500450.1, XP_010481036.2
OG0000104	Cg004G138340	XP_010466372.1, XP_019096759.1, XP_010420548.1
OG0000104	Cg006G197970	XP_010500773.1
OG0000104	Cg005G178050	XP_019093575.1, XP_019093246.1, XP_010470012.1
OG0000104	Cg005G178070	XP_010510552.1, XP_010414455.1
OG0000104	Cg005G177950, Cg005G177970	XP_010510551.2
OG0000106	Cg004G136130	XP_019096848.1, XP_010467954.2, XP_019082383.1, XP_019092874.1, XP_010468288.1, XP_010419966.1
OG0000106	Cg001G042030	XP_019092478.1
OG0000107	Cg005G182320	XP_010417843.1, XP_019093535.1, XP_019083601.1, XP_010473089.1
OG0000107	Cg004G136910	XP_019096413.1, XP_010468313.1, XP_010487979.1, XP_010508519.1, XP_010466192.1
OG0000107	Cg004G136890, Cg004G136900	XP_010468312.1
OG0000107	Cg004G136920	XP_010508486.1, XP_019096974.1, XP_010466190.2, XP_010508508.1, XP_019096971.1, XP_010466191.1
OG0000108	Cg008G306430	XP_010478092.1, XP_010497135.2, XP_010499238.1, XP_010460514.1
OG0000108	Cg007G245680, Cg007G245670	XP_010431735.1
OG0000109	Cg006G209370, Cg002G061660	XP_010413079.1, XP_010446284.1, XP_010513220.1, XP_010468649.1
OG0000109	Cg008G318050	XP_010513380.1
OG0000109	Cg003G088520, Cg003G088530	XP_019085398.1, XP_010480749.1
OG0000110	Cg002G047270	XP_010469325.1, XP_010512155.1
OG0000110	Cg002G047280	XP_019101672.1, XP_010469324.1
OG0000110	Cg002G047240	XP_010413723.1, XP_010512175.1, XP_019100976.1, XP_010473837.1
OG0000110	Cg002G047300, Cg002G047310, Cg005G186820	XP_019087631.1, XP_019101670.1, XP_010413742.1, XP_010473842.1
OG0000110	Cg007G269260	XP_019101070.1
OG0000111	Cg002G051630	XP_010412779.1, XP_010427222.1, XP_010504321.2
OG0000112	Cg008G314480, Cg008G314500, Cg008G314450, Cg008G314360, Cg008G314370, Cg008G314440, Cg008G314380, Cg008G314400, Cg008G314410, Cg008G314430, Cg008G314420, Cg008G314470, Cg008G314490, Cg008G314390, Cg008G314460	XP_019095670.1
OG0000113	Cg007G253910	XP_010414997.1
