Orthogroup	Cardamine_glauca	Brassica_rapa
OG0000136	Cg001G037110	XP_033147599.1
OG0000136	Cg001G037040	XP_009135925.1
OG0000137	Cg001G041290	XP_033145235.1
OG0000138	Cg008G324060	XP_033145245.1
OG0000138	Cg002G067580, Cg002G067290	XP_009151767.2
OG0000140	Cg003G106800	XP_033142717.1
OG0000140	Cg003G106450	XP_009126729.2, XP_033141242.1, XP_009126731.2, XP_009145270.2, XP_033141241.1, XP_033141237.1
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	XP_033142716.1, XP_009120430.1
OG0000142	Cg005G177660	XP_009123600.1
OG0000142	Cg005G177630	XP_033148630.1, XP_033145172.1
OG0000142	Cg005G176030	XP_009140985.1, XP_009140992.3
OG0000144	Cg005G182040	XP_018511598.1, XP_009144754.1, XP_009152174.1, XP_018513380.1, XP_009138607.1, XP_033134171.1, XP_033143349.1, XP_009119519.1, XP_009121335.1, XP_018512770.1, XP_033133861.1, XP_033131097.1, XP_033128536.1
OG0000146	Cg003G102630	XP_033144579.1, XP_033139637.1, XP_009127007.2
OG0000146	Cg003G102640	XP_009127005.1, XP_009111746.1
OG0000146	Cg003G102600	XP_009120051.1, XP_009132642.1
OG0000146	Cg003G102620	XP_033138715.1
OG0000146	Cg003G102610	XP_009132393.1
OG0000147	Cg004G155250	XP_009102205.2, XP_009112568.1, XP_009150710.2
OG0000147	Cg001G010340	XP_009109000.1
OG0000147	Cg003G104960	XP_033141904.1, XP_009120261.2
OG0000147	Cg007G280860	XP_009106729.2, XP_018508569.2
OG0000147	Cg004G146670	XP_018513014.1
OG0000147	Cg005G189880	XP_009117122.1
OG0000149	Cg002G060880	XP_033129346.1
OG0000149	Cg003G107300, Cg003G107310	XP_009131982.1, XP_009126681.1
OG0000149	Cg003G107320	XP_009126683.1
OG0000149	Cg002G060920	XP_009150292.1
OG0000150	Cg002G061900	XP_009140726.1
OG0000151	Cg003G100170	XP_009119874.1
OG0000151	Cg001G012710	XP_009144093.1, XP_009109116.1
OG0000151	Cg004G124340	XP_009135093.1, XP_009146989.1, XP_009123804.1
OG0000151	Cg004G152640	XP_009136334.1, XP_009121200.1
OG0000151	Cg003G103430	XP_018510771.1, XP_018512593.2
OG0000151	Cg007G246070	XP_009112816.1, XP_009112891.1
OG0000152	Cg006G206580	XP_033139410.1, XP_033139486.1, XP_033139000.1, XP_033139409.1, XP_033139228.1, XP_018511352.1
OG0000152	Cg002G069910, Cg006G216840, Cg002G069290, Cg005G182640, Cg004G145620, Cg002G063800, Cg003G096260, Cg001G034420, Cg007G260590, Cg004G146430, Cg002G067820, Cg005G182630, Cg007G251500, Cg003G082490, Cg008G288890, Cg007G251240, Cg006G195780	XP_033148198.1, XP_033147971.1, XP_033133696.1, XP_033144131.1, XP_033133396.1, XP_033147396.1, XP_033135350.1, XP_033148073.1, XP_033136129.1, XP_033148068.1, XP_033142141.1
OG0000154	Cg006G229860	XP_009110463.1, XP_009149047.1
OG0000154	Cg004G128290	XP_009120551.1
OG0000154	Cg008G283240	XP_009115390.1, XP_033143098.1, XP_033134270.1
OG0000154	Cg008G283230	XP_033137307.1, XP_009122772.2, XP_009122774.3
OG0000155	Cg001G013440	XP_009143289.2, XP_009137650.1
OG0000155	Cg001G019660	XP_009105220.1, XP_009124785.2
OG0000155	Cg001G019650	XP_009134691.2
OG0000155	Cg004G127780	XP_009135203.2
OG0000156	Cg002G045690	XP_033146706.1
OG0000156	Cg005G160240	XP_009142347.1
OG0000158	Cg005G184100	XP_033134979.1
OG0000160	Cg007G264990, Cg006G202970	XP_033134364.1
OG0000161	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820	XP_009130179.2, XP_009130183.1
OG0000161	Cg007G261690, Cg007G262070, Cg007G264010, Cg006G215310	XP_033145048.1
OG0000161	Cg007G261320	XP_009127389.1
OG0000161	Cg007G257190	XP_033146830.1, XP_033146831.1
OG0000162	Cg008G314630, Cg002G046130	XP_009138832.1, XP_033145512.1, XP_009138923.1
OG0000162	Cg005G178220	XP_033134420.1
OG0000162	Cg002G046140	XP_009104263.2
OG0000162	Cg005G160860	XP_009143082.1
OG0000165	Cg009G325660	XP_033145232.1, XP_018508434.1, XP_033134004.1, XP_018513877.1
OG0000165	Cg001G034730, Cg004G147530	XP_033137724.1, XP_018515086.1
OG0000167	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000, Cg003G085600, Cg003G085540, Cg005G187960, Cg005G187970, Cg005G188000, Cg005G188050, Cg005G187980, Cg001G021130	XP_009132947.2
OG0000167	Cg001G021160	XP_033138466.1
OG0000168	Cg001G034720	XP_033129442.1, XP_033136094.1
OG0000171	Cg006G222370, Cg007G270890	XP_009127800.1, XP_033134622.1, XP_033130273.1, XP_009103171.1
OG0000171	Cg008G294880	XP_033137829.1
OG0000172	Cg002G060680, Cg002G060150	XP_033146362.1
OG0000173	Cg003G091670	XP_033131411.1, XP_033146510.1, XP_033141924.1, XP_033144486.1, XP_033143949.1, XP_009137270.1, XP_033143950.1, XP_033148640.1, XP_033132808.1, XP_033147154.1, XP_033140197.1, XP_033132217.1, XP_033128174.1, XP_033136537.1
OG0000174	Cg009G325780, Cg006G205480	XP_033131805.1, XP_033128516.1, XP_033138985.1
OG0000175	Cg002G055540	XP_033144807.1, XP_009115809.1
OG0000175	Cg006G225880	XP_009110241.1
OG0000175	Cg001G005230	XP_009107160.1
OG0000175	Cg001G004130	XP_009112460.1, XP_009121076.1, XP_009124572.1
OG0000177	Cg007G261230	XP_033133384.1
OG0000180	Cg007G279310	XP_033144867.1, XP_033144865.1, XP_033143704.1, XP_009137441.1, XP_018512413.1, XP_009150992.2
OG0000180	Cg007G269630	XP_033144869.1
OG0000184	Cg006G215550	XP_033131052.1, XP_033143411.1, XP_018509904.2, XP_018511330.2, XP_018513830.1, XP_033145096.1, XP_033141113.1
OG0000185	Cg006G228250	XP_009114858.1
OG0000189	Cg001G007520	XP_033143325.1, XP_033133045.1, XP_018509102.1, XP_009127593.1
OG0000190	Cg006G210720	XP_009134310.1
OG0000190	Cg006G210710	XP_009134313.1
OG0000190	Cg003G087120, Cg003G087200	XP_009114566.2, XP_009144506.1, XP_009144502.1
OG0000191	Cg003G087540	XP_033135663.1
OG0000191	Cg004G134260	XP_009135546.1, XP_033144428.1, XP_033147260.1
OG0000191	Cg004G153150, Cg004G153270	XP_033136630.1
OG0000192	Cg006G224780	XP_009103301.1
OG0000192	Cg006G224800	XP_009103302.2
OG0000192	Cg006G224760	XP_009149600.1
OG0000193	Cg004G140730	XP_009108226.2, XP_033142187.1, XP_009146097.1, XP_009146095.2, XP_033131842.1
OG0000195	Cg005G182280	XP_009140755.1
OG0000195	Cg002G049520, Cg005G164920	XP_009139073.1
OG0000195	Cg001G036760, Cg007G265630	XP_009105204.1
OG0000196	Cg006G202640	XP_009109611.1
OG0000196	Cg006G217620	XP_009115266.1
OG0000196	Cg006G240790	XP_009111047.1, XP_009119146.1
OG0000196	Cg006G217600	XP_033136326.1
OG0000196	Cg006G202630	XP_009109613.1
OG0000196	Cg006G240780	XP_009119144.1, XP_009111048.2
OG0000197	Cg001G041590	XP_033142545.1, XP_033128946.1, XP_033129265.1, XP_033141548.1
OG0000200	Cg006G240250	XP_033134513.1
OG0000203	Cg004G120290	XP_033134665.1, XP_033135894.1, XP_009124984.2, XP_033137619.1, XP_033136539.1
OG0000203	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080	XP_033136263.1, XP_033135940.1
OG0000204	Cg004G142490, Cg004G140470	XP_018515099.1, XP_009122925.1, XP_018514914.1, XP_018513505.1, XP_033143227.1, XP_018513498.1
OG0000204	Cg004G138460	XP_033144214.1
OG0000205	Cg003G098990, Cg003G098960, Cg003G098910	XP_033132763.1
OG0000209	Cg007G246040	XP_009112818.1
OG0000210	Cg005G173520	XP_009143883.1
OG0000210	Cg005G173500	XP_009113251.2
OG0000213	Cg005G191730	XP_033136677.1, XP_033130301.1, XP_009133997.1
OG0000214	Cg003G078170	XP_018510493.2, XP_033136786.1, XP_033136787.1, XP_033139302.1, XP_033136790.1, XP_033139304.1, XP_033136797.1, XP_033139309.1, XP_033136798.1, XP_033139307.1, XP_009111284.2
OG0000216	Cg001G018790, Cg001G018760	XP_009135671.1
OG0000218	Cg006G230900, Cg006G230890	XP_009117861.2
OG0000218	Cg002G075340	XP_009114232.1, XP_009101339.1, XP_009129226.1
OG0000219	Cg007G266520, Cg007G266510	XP_033129569.1
OG0000219	Cg005G177180	XP_033145279.1
OG0000219	Cg003G095240, Cg003G111060	XP_009150384.1
OG0000220	Cg005G192620	XP_009143662.1, XP_033146950.1
OG0000221	Cg005G182530	XP_033130945.1, XP_033145218.1, XP_033139360.1
OG0000224	Cg007G278160	XP_009128234.1, XP_009101726.1
OG0000224	Cg001G008870, Cg001G017640	XP_009126727.1, XP_009108914.1
OG0000224	Cg007G247160	XP_009112729.1
OG0000226	Cg003G113210	XP_009129754.1
OG0000226	Cg004G128760	XP_033131216.1, XP_018508547.1
OG0000228	Cg008G307350	XP_009110123.1
OG0000228	Cg006G222750, Cg006G222760	XP_009103193.1
OG0000228	Cg002G069120	XP_009115561.1
OG0000228	Cg007G271280	XP_009105750.1
OG0000228	Cg007G271290	XP_033141574.1, XP_009127833.1
OG0000229	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330	XP_009108973.2, XP_009108976.2, XP_009102300.2, XP_009127652.1
OG0000230	Cg008G323410	XP_009106237.1
OG0000230	Cg007G276400, Cg007G276410	XP_009128139.1, XP_009104696.2
OG0000231	Cg007G260410	XP_009127540.1, XP_009105266.1
OG0000232	Cg004G149470, Cg004G149480, Cg004G150500, Cg004G149520	XP_009136266.2, XP_033138822.1
OG0000234	Cg002G062460	XP_009124228.1
OG0000234	Cg002G051400	XP_033146519.1, XP_009116212.1, XP_009103951.1
OG0000234	Cg002G051410	XP_009139199.2
OG0000234	Cg002G051420	XP_009139200.1
OG0000234	Cg005G166930	XP_033148760.1
OG0000234	Cg008G293710	XP_009121752.1
OG0000235	Cg006G213560	XP_033147857.1
OG0000236	Cg001G028350, Cg004G141830, Cg004G144380, Cg004G139210	XP_009109227.1
OG0000236	Cg004G139220	XP_033144988.1, XP_033148569.1
OG0000239	Cg005G173640	XP_009133159.1
