Orthogroup	Cardamine_glauca	Eutrema_salsugineum
OG0000023	Cg003G082320	XP_006396896.1
OG0000023	Cg003G082240	XP_006396890.1
OG0000023	Cg001G017750	XP_006413569.1
OG0000023	Cg001G017690	XP_024004623.1
OG0000025	Cg001G005300	XP_006411607.2
OG0000026	Cg005G183380	XP_024010323.1, XP_024014398.1, XP_024011260.1, XP_024004142.1, XP_024015028.1, XP_024004413.1, XP_024014390.1, XP_024013392.1, XP_024010763.1, XP_024011323.1, XP_024014480.1, XP_024015953.1, XP_024012916.1, XP_024004954.1, XP_024006403.1, XP_024014257.1, XP_024015865.1, XP_024014090.1, XP_024009163.1, XP_024010651.1, XP_024014222.1, XP_024014393.1, XP_024004761.1, XP_024010439.1, XP_024014962.1, XP_024012918.1, XP_024007297.1, XP_024015864.1, XP_024006404.1, XP_024014500.1, XP_024004987.1, XP_024010657.1
OG0000027	Cg006G213920	XP_024006555.1
OG0000027	Cg001G041530, Cg007G250820	XP_006415341.2, XP_024007951.1, XP_006415394.1
OG0000027	Cg002G048550, Cg002G048720	XP_006402766.1
OG0000028	Cg001G041970	XP_024006637.1
OG0000029	Cg003G107860, Cg007G253930	XP_024007307.1
OG0000029	Cg005G177650	XP_024015973.1
OG0000029	Cg006G212710	XP_024005553.1
OG0000030	Cg013G330360	XP_024011303.1
OG0000031	Cg007G247710	XP_006391833.2
OG0000031	Cg001G042060	XP_024014798.1
OG0000031	Cg004G133170	XP_024015415.1
OG0000033	Cg001G017700	XP_024010975.1, XP_006413571.1
OG0000033	Cg001G017780	XP_006413574.2
OG0000033	Cg001G019630	XP_024005104.1
OG0000033	Cg001G017580	XP_006413567.2
OG0000034	Cg002G066600	XP_024016360.1, XP_024014012.1, XP_024016375.1
OG0000036	Cg008G323260	XP_024009179.1, XP_024009592.1
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	XP_024013600.1
OG0000036	Cg005G182230, Cg005G181070	XP_024012609.1, XP_024009371.1
OG0000038	Cg008G285210, Cg008G285280	XP_024008946.1, XP_024008016.1
OG0000038	Cg001G007650	XP_006412465.2
OG0000038	Cg008G320560	XP_006396333.1
OG0000038	Cg006G216960	XP_024004165.1
OG0000038	Cg002G052970	XP_024014404.1
OG0000040	Cg006G217350, Cg001G030090	XP_024008003.1
OG0000040	Cg004G137150	XP_006391637.1
OG0000042	Cg002G059980	XP_024006511.1
OG0000042	Cg008G311300, Cg008G309470	XP_024006069.1
OG0000044	Cg001G029670	XP_006407857.2, XP_024006486.1, XP_006401889.2, XP_024009662.1, XP_024011380.1, XP_024013796.1, XP_024010208.1, XP_006389862.1, XP_006403918.2
OG0000044	Cg003G096230	XP_024015030.1
OG0000045	Cg003G091810	XP_024007258.1, XP_024010326.1, XP_024016215.1, XP_024016257.1, XP_024006593.1, XP_024010150.1, XP_024008086.1, XP_024015905.1, XP_024013201.1, XP_024014022.1, XP_024011224.1, XP_024006120.1, XP_024009300.1, XP_024008010.1, XP_024009588.1, XP_024010453.1, XP_024006101.1, XP_024007284.1, XP_024011171.1
OG0000045	Cg002G064420	XP_024014349.1, XP_024006862.1, XP_024008024.1, XP_024006618.1, XP_024016129.1, XP_024011268.1
OG0000046	Cg003G097180	XP_024014419.1
OG0000046	Cg001G022610	XP_024004758.1
OG0000046	Cg001G037990	XP_024014362.1
OG0000046	Cg007G266760	XP_006391458.1
OG0000048	Cg004G119540	XP_006408252.2
OG0000048	Cg004G119550	XP_024014979.1
OG0000048	Cg008G298370	XP_006400349.1
OG0000049	Cg007G255960	XP_024004893.1
OG0000049	Cg006G232250	XP_024011200.1
OG0000052	Cg006G242960	XP_024009195.1, XP_024008111.1, XP_006418389.2
OG0000052	Cg005G163540	XP_024004184.1
OG0000053	Cg003G084420	XP_024006276.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024013968.1, XP_024010380.1, XP_024013302.1, XP_024014239.1, XP_024014568.1, XP_024004842.1, XP_024004845.1, XP_024004831.1, XP_024004843.1, XP_024012732.1, XP_024006590.1, XP_024013675.1, XP_024009487.1, XP_024006533.1, XP_024010626.1
OG0000054	Cg001G018970	XP_006397270.2
OG0000054	Cg005G189800, Cg005G189790	XP_024016368.1, XP_024009310.1, XP_024005013.1
OG0000055	Cg006G223020	XP_024016818.1
OG0000056	Cg007G265440, Cg006G204190	XP_024009686.1, XP_024006605.1
OG0000056	Cg004G146250, Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320, Cg001G029590, Cg003G086110, Cg003G090290	XP_024009608.1, XP_024014631.1, XP_024004060.1, XP_024006592.1
OG0000057	Cg004G139300, Cg004G139380, Cg004G139340, Cg004G139360, Cg004G139320, Cg004G139330, Cg004G139250	XP_024012536.1
OG0000058	Cg005G189250	XP_024007981.1, XP_024015913.1
OG0000058	Cg006G215030, Cg003G077990	XP_024004962.1, XP_024006598.1
OG0000060	Cg001G034080	XP_024011528.1
OG0000061	Cg003G083990, Cg008G318200	XP_024004223.1, XP_024014389.1
OG0000062	Cg007G260660, Cg005G180090	XP_024014042.1
OG0000062	Cg010G326150	XP_024010130.1, XP_006405230.2
OG0000064	Cg001G000750	XP_006411683.1
OG0000064	Cg005G172820	XP_006410525.1
OG0000064	Cg008G325030	XP_006397052.1, XP_024010258.1, XP_024010259.1, XP_024010257.1, XP_006397224.1, XP_006397217.1, XP_024010292.1, XP_006397043.1, XP_024004093.1, XP_024004091.1, XP_006410041.1, XP_024004081.1, XP_024004092.1, XP_006410069.1, XP_006410074.2, XP_006410076.1, XP_006410126.2, XP_006410042.2, XP_006410043.2, XP_006410067.1, XP_024004059.1, XP_024004083.1, XP_024010383.1, XP_006410127.1
OG0000065	Cg001G020190	XP_024006661.1
OG0000066	Cg007G276160	XP_024005718.1
OG0000066	Cg003G113360	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1
OG0000067	Cg007G270520	XP_006406656.1
OG0000070	Cg002G063700	XP_024010588.1
OG0000072	Cg008G307960, Cg001G029810, Cg001G029820, Cg008G307970	XP_024009348.1, XP_024013914.1, XP_024006596.1, XP_024009952.1, XP_024014026.1, XP_024010244.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009380.1, XP_024009792.1, XP_024010384.1, XP_024009711.1
OG0000073	Cg008G315120	XP_024011128.1
OG0000074	Cg006G222280, Cg006G222290	XP_006416064.2
OG0000074	Cg006G222230, Cg006G222200, Cg006G222240, Cg006G222220	XP_024010232.1
OG0000074	Cg006G222350	XP_024008618.1
OG0000074	Cg006G222340	XP_024008035.1
OG0000075	Cg008G291500, Cg008G290800, Cg008G290770	XP_024015726.1
OG0000075	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300	XP_024007719.1
OG0000075	Cg001G033430, Cg006G221290, Cg008G323300	XP_024006207.1
OG0000075	Cg008G301210	XP_006417013.1, XP_006417028.2
OG0000076	Cg007G272900	XP_024007553.1
OG0000077	Cg004G148440	XP_006418924.1
OG0000077	Cg004G151030, Cg005G160440	XP_024014654.1
OG0000079	Cg002G047470	XP_024012746.1, XP_006396702.1, XP_024015302.1
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	XP_006402736.1
OG0000080	Cg003G093790	XP_024015522.1
OG0000081	Cg006G198910	XP_024004911.1
OG0000081	Cg008G298360	XP_006400346.2
OG0000081	Cg008G298500	XP_006400362.1
OG0000083	Cg004G140450, Cg004G140420, Cg004G140430, Cg004G140410, Cg004G140440	XP_006406083.1
OG0000087	Cg008G303510	XP_006394642.1
OG0000087	Cg005G177380	XP_006410012.1
OG0000087	Cg008G292710	XP_006399740.1
OG0000087	Cg005G171830	XP_006410628.1
OG0000087	Cg008G320640	XP_006403108.1
OG0000087	Cg001G020160	XP_006413842.1
OG0000087	Cg007G276340	XP_006390273.1
OG0000088	Cg005G181240	XP_006404361.1, XP_006398111.1, XP_006398110.2
OG0000088	Cg002G059450	XP_006404364.1
OG0000088	Cg002G059930, Cg002G059530	XP_024013782.1
OG0000088	Cg001G039390, Cg008G300920	XP_024011446.1
OG0000088	Cg007G258090	XP_024013720.1
OG0000089	Cg008G290150	XP_006399464.1
OG0000089	Cg004G127880	XP_006407369.1
OG0000089	Cg003G107020	XP_006418890.1
OG0000090	Cg006G225800	XP_006416426.1
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	XP_006390250.1
OG0000090	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850	XP_006393304.1
OG0000090	Cg001G005770	XP_006402629.2
OG0000090	Cg002G074060	XP_006395735.1
OG0000093	Cg004G145440, Cg004G145260	XP_024006522.1, XP_024006521.1
OG0000093	Cg002G047940	XP_006405456.2
OG0000093	Cg002G048030	XP_024012757.1
OG0000096	Cg002G073910	XP_006395720.2
OG0000096	Cg002G073940, Cg002G073930	XP_006395727.1, XP_006395717.2
OG0000096	Cg008G322180	XP_024011109.1
OG0000097	Cg003G079780, Cg003G094240	XP_006417793.2
OG0000097	Cg003G079770, Cg003G094250	XP_006396592.1
OG0000098	Cg007G253040, Cg007G249450	XP_006392038.2, XP_006392043.1, XP_006392032.1, XP_024004105.1, XP_024013492.1
OG0000099	Cg007G249510	XP_024013586.1, XP_024011074.1, XP_006405351.1, XP_006391682.2, XP_024016396.1
OG0000100	Cg006G202960, Cg007G265000	XP_024015018.1, XP_024006073.1
OG0000100	Cg008G316000	XP_024013152.1
OG0000101	Cg007G246670	XP_024014029.1
OG0000104	Cg006G200560	XP_024006051.1
OG0000104	Cg004G138340	XP_006406282.1
OG0000104	Cg005G178050	XP_024003673.1, XP_024003751.1, XP_006409933.2
OG0000105	Cg003G084510	XP_024011316.1
OG0000106	Cg004G136130	XP_024014982.1, XP_006408882.1
OG0000106	Cg008G322480, Cg001G042030	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000108	Cg008G306430	XP_006394690.1, XP_006404383.1, XP_006414046.1
OG0000109	Cg006G209370, Cg002G061660	XP_024014456.1
OG0000109	Cg008G318050	XP_024009890.1
OG0000109	Cg002G064440	XP_024014096.1
OG0000109	Cg004G150880, Cg006G210870, Cg005G180720, Cg006G218300, Cg006G206180	XP_024004593.1
OG0000110	Cg002G047270	XP_006402710.1
OG0000110	Cg002G047280	XP_006402712.2
OG0000110	Cg002G047240	XP_024009571.1
OG0000110	Cg002G047300, Cg002G047310, Cg005G186820	XP_006412145.2
OG0000110	Cg007G269260	XP_024012970.1
OG0000111	Cg002G051630	XP_006403516.1
OG0000114	Cg008G318090	XP_006399626.1
OG0000114	Cg008G320920	XP_024011055.1
OG0000118	Cg002G054790, Cg002G054780, Cg006G212290	XP_006390706.1, XP_006396340.2, XP_024009908.1, XP_024009900.1, XP_006414734.2
OG0000119	Cg003G096910, Cg005G178360	XP_024013153.1
OG0000119	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680	XP_024010311.1, XP_024010843.1, XP_024009910.1, XP_024004523.1
OG0000120	Cg007G250010, Cg007G249930	XP_006392103.1, XP_006392097.1
OG0000120	Cg008G285500	XP_006409474.2, XP_006398920.1
OG0000122	Cg003G086890	XP_006401333.2
OG0000122	Cg003G103780	XP_006401335.1
OG0000123	Cg001G014410	XP_024013225.1
OG0000123	Cg001G014420	XP_006413192.2
OG0000125	Cg002G052860	XP_006403666.1, XP_006410934.1
OG0000125	Cg008G302630	XP_006400797.1
OG0000125	Cg003G107610	XP_006400898.1
OG0000125	Cg005G178390	XP_006409905.1
OG0000126	Cg001G027760, Cg001G028690, Cg002G060390, Cg007G271870, Cg008G305740, Cg007G255150	XP_024010260.1, XP_024014515.1, XP_024006138.1
OG0000127	Cg004G124780	XP_024009346.1
OG0000129	Cg005G172680	XP_024010230.1, XP_024006563.1
OG0000132	Cg001G031120, Cg001G029490	XP_024004957.1
OG0000132	Cg008G321270	XP_024016184.1
OG0000133	Cg007G269340	XP_024007305.1
OG0000133	Cg003G084500, Cg005G185150, Cg004G141220	XP_024009779.1
OG0000135	Cg004G138210	XP_024004065.1, XP_024016223.1, XP_024004923.1, XP_024006538.1, XP_024006075.1, XP_024012099.1, XP_024006572.1
OG0000136	Cg001G037110	XP_006405815.1, XP_024014475.1
OG0000136	Cg001G037040	XP_006405877.2
OG0000136	Cg001G037100	XP_024014367.1
OG0000137	Cg001G041290	XP_024014203.1
OG0000138	Cg002G067580, Cg002G067290	XP_006395267.1
OG0000140	Cg003G106820	XP_006400988.1
OG0000140	Cg003G106800	XP_024011857.1
OG0000140	Cg003G106450	XP_024011989.1, XP_024011966.1, XP_024012425.1
OG0000140	Cg003G106440	XP_024012145.1
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	XP_006400992.1
OG0000144	Cg005G182040	XP_024011410.1, XP_024014259.1, XP_024014196.1, XP_024004159.1, XP_024015297.1, XP_024013228.1
OG0000146	Cg003G102630	XP_006401461.1
OG0000146	Cg003G102640	XP_006401460.1
OG0000146	Cg003G102600	XP_006401465.2
OG0000146	Cg003G098470, Cg003G098480	XP_006395415.1
OG0000146	Cg003G102620	XP_006401462.1
OG0000146	Cg003G102610	XP_006401463.2
OG0000147	Cg004G155250	XP_006409094.1
OG0000147	Cg001G010340	XP_024005341.1
OG0000147	Cg003G104960	XP_024012572.1
OG0000147	Cg007G280860	XP_006389820.1
OG0000147	Cg004G146670	XP_006396088.1
OG0000147	Cg005G189880	XP_006404985.2
OG0000149	Cg002G060900	XP_024009527.1
OG0000149	Cg002G060880	XP_024009508.1
OG0000149	Cg003G107320	XP_006400931.1
OG0000149	Cg002G060920	XP_024009365.1
OG0000151	Cg003G100170	XP_006401722.1
OG0000151	Cg001G012710	XP_024005195.1
OG0000151	Cg004G124340	XP_006407751.1
OG0000151	Cg004G152640	XP_006409398.1
OG0000151	Cg003G103430	XP_006401372.1
OG0000151	Cg007G246070	XP_006391653.1, XP_006405318.1
OG0000152	Cg006G206580	XP_024006631.1, XP_024007301.1, XP_024007965.1
OG0000154	Cg006G229860	XP_006416851.1
OG0000154	Cg004G128290	XP_006407319.1
OG0000154	Cg004G125060	XP_006407676.1
OG0000154	Cg008G283240	XP_006398709.1
OG0000155	Cg001G013440	XP_006413094.1
OG0000155	Cg001G019650	XP_024005112.1
OG0000155	Cg004G127780	XP_024009272.1, XP_006407382.2
OG0000156	Cg002G045690	XP_024012911.1
OG0000156	Cg005G160240	XP_024010825.1
OG0000156	Cg005G160250	XP_006410182.1
OG0000161	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820	XP_024007354.1, XP_006394457.2, XP_024006771.1
OG0000161	Cg007G261690, Cg007G262070, Cg007G264010, Cg006G215310	XP_024011911.1
OG0000161	Cg007G257190	XP_006408194.2
OG0000162	Cg005G178220	XP_006395656.2
OG0000162	Cg002G046140	XP_024012914.1
OG0000162	Cg005G160860	XP_024004704.1, XP_024010855.1
OG0000164	Cg008G307470	XP_024006417.1
OG0000165	Cg009G325660	XP_024016201.1
OG0000167	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000, Cg003G085600, Cg003G085540, Cg005G187960, Cg005G187970, Cg005G188000, Cg005G188050, Cg005G187980	XP_006401739.1
OG0000167	Cg001G021130	XP_006413956.2
OG0000167	Cg001G021160	XP_006393695.2
OG0000168	Cg001G034720	XP_024009434.1, XP_024015940.1
OG0000171	Cg006G222370, Cg007G270890	XP_024015929.1, XP_006416080.1
OG0000171	Cg008G294880	XP_024012404.1
OG0000172	Cg002G052400	XP_024015356.1, XP_006406628.2, XP_006402376.1
OG0000172	Cg007G250100, Cg007G250140	XP_006402375.2
OG0000172	Cg002G060680, Cg002G060150	XP_024016620.1
OG0000173	Cg003G091670	XP_006397382.1, XP_024004806.1, XP_024010671.1, XP_024010073.1
OG0000174	Cg009G325780, Cg006G205480	XP_024016025.1
OG0000175	Cg002G055540	XP_006409243.1
OG0000175	Cg007G276430	XP_006390262.1
OG0000175	Cg006G225880	XP_006416436.1
OG0000175	Cg001G005230	XP_006412162.1
OG0000175	Cg001G004130	XP_006412039.1
OG0000177	Cg007G253550, Cg005G182360, Cg007G250370, Cg006G214000	XP_024004140.1
OG0000180	Cg001G043140	XP_006404944.1
OG0000181	Cg004G121590, Cg005G191690, Cg001G038210, Cg005G186330	XP_024014219.1
OG0000184	Cg006G215550	XP_024013227.1, XP_024014585.1, XP_024007751.1, XP_024004883.1, XP_024013177.1, XP_024005307.1, XP_024009490.1, XP_024014410.1
OG0000185	Cg003G088110, Cg003G098770, Cg006G198800, Cg006G228250	XP_024009937.1
OG0000189	Cg001G007520	XP_006411932.1
OG0000189	Cg001G002260, Cg001G002250	XP_006409103.1
OG0000190	Cg006G210720, Cg006G210710	XP_006396683.2
OG0000190	Cg003G080530	XP_024010195.1
OG0000191	Cg004G134260	XP_024015686.1
OG0000191	Cg004G153150, Cg004G153270	XP_024012172.1
OG0000192	Cg006G224780	XP_024008190.1
OG0000192	Cg006G224800	XP_006416323.1
OG0000192	Cg006G224790, Cg006G224760	XP_006416321.2
OG0000193	Cg004G140730	XP_024014930.1, XP_024015423.1, XP_024014935.1, XP_006406082.1, XP_006406087.1, XP_006406076.1
OG0000195	Cg005G182280	XP_006408585.1
OG0000195	Cg002G049520, Cg005G164920	XP_006402949.1
OG0000195	Cg001G036760, Cg007G265630	XP_006405835.1, XP_006391396.1
OG0000196	Cg006G202640	XP_006415507.2
OG0000196	Cg006G240790	XP_006418015.2
OG0000196	Cg006G202630	XP_006415505.2
OG0000197	Cg001G041590	XP_024009776.1, XP_006391273.1, XP_024005932.1, XP_024005928.1
OG0000201	Cg004G139100, Cg004G139090, Cg004G139080	XP_006406033.1, XP_024014915.1
OG0000202	Cg004G133650	XP_006414663.1, XP_006414661.2
OG0000202	Cg004G134030	XP_006403304.1
OG0000203	Cg004G120290	XP_006408167.1
OG0000203	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080	XP_006403294.1, XP_006413270.2
OG0000204	Cg004G138460	XP_024014985.1
OG0000210	Cg004G144520	XP_024015969.1
OG0000210	Cg005G173490	XP_024004125.1
OG0000213	Cg005G191730	XP_024013862.1
OG0000216	Cg001G018790, Cg001G018760	XP_024004517.1, XP_024004516.1
OG0000218	Cg002G072370	XP_006413529.1
OG0000218	Cg002G075340	XP_006395887.1, XP_006395885.1, XP_006395886.1
OG0000219	Cg007G266520, Cg007G266510	XP_006391444.1
OG0000219	Cg005G177180	XP_006410035.1
OG0000219	Cg003G095240, Cg003G111060	XP_006394298.1
OG0000220	Cg003G103090	XP_006402068.1
OG0000221	Cg005G182530	XP_024005026.1, XP_024011236.1, XP_024010337.1, XP_024009718.1, XP_024011253.1, XP_024009445.1, XP_024009238.1, XP_024015927.1, XP_024009305.1, XP_024010096.1, XP_024014414.1
OG0000222	Cg008G315660, Cg004G151260, Cg001G038580	XP_024010605.1
OG0000222	Cg003G091290	XP_024015813.1, XP_024011097.1, XP_024006564.1, XP_024006074.1, XP_024011213.1
OG0000224	Cg007G278160	XP_006390080.1
OG0000224	Cg001G008870, Cg001G017640	XP_006412567.1
OG0000226	Cg004G128760	XP_024008728.1
OG0000228	Cg007G271280	XP_006390832.1
OG0000228	Cg007G271290	XP_024007098.1
OG0000229	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330	XP_006413298.1, XP_006412791.2
OG0000230	Cg008G323410	XP_006390972.1, XP_006405181.1
OG0000230	Cg007G276400, Cg007G276410	XP_024007004.1
OG0000231	Cg007G260410	XP_006391509.1
OG0000233	Cg005G186600	XP_024009278.1, XP_024016558.1, XP_024013534.1, XP_024004135.1, XP_024014514.1
OG0000234	Cg002G051400	XP_006403491.1
OG0000234	Cg002G051410	XP_006403492.1
OG0000234	Cg002G051420	XP_006403493.1
OG0000234	Cg005G166930	XP_006411161.1
OG0000234	Cg008G293710	XP_006399852.1
OG0000235	Cg006G213560	XP_024007938.1
OG0000236	Cg001G028350, Cg004G141830, Cg004G144380, Cg004G139210	XP_024014966.1
OG0000236	Cg003G086380	XP_024014734.1
OG0000241	Cg004G145120	XP_024013212.1, XP_024010473.1, XP_024007230.1
OG0000242	Cg006G231900	XP_006417058.1
OG0000242	Cg006G231890	XP_024008759.1
OG0000242	Cg006G231910	XP_006417061.1
OG0000244	Cg001G019150	XP_006413726.1
OG0000244	Cg003G093660, Cg003G080320	XP_006396665.1
OG0000244	Cg001G019160	XP_006413727.1
OG0000248	Cg007G252860	XP_024016821.1
OG0000248	Cg001G034790	XP_006408645.2
OG0000248	Cg001G034710	XP_024010225.1
OG0000249	Cg005G169790	XP_006410852.1
OG0000250	Cg007G270460, Cg007G270470, Cg007G270580	XP_006390930.2
OG0000254	Cg004G134710	XP_024004170.1
OG0000254	Cg005G190180	XP_024015022.1
OG0000256	Cg003G080890	XP_024009992.1
OG0000256	Cg005G165640	XP_024004174.1
OG0000257	Cg006G198470, Cg006G198480	XP_006414877.1
OG0000257	Cg001G035030	XP_006394385.1
OG0000258	Cg002G072340	XP_006395570.1
OG0000258	Cg003G104860	XP_006401223.1
OG0000258	Cg002G072320	XP_006395568.2
OG0000264	Cg003G079060, Cg003G094880	XP_006396522.2
OG0000265	Cg005G179750, Cg005G186970	XP_024011107.1
OG0000265	Cg002G064680, Cg003G102580, Cg001G029400, Cg001G041950, Cg006G213200, Cg008G309270, Cg007G252820, Cg001G002880, Cg006G204120, Cg005G180900, Cg004G141100, Cg003G086590, Cg002G049430	XP_024013466.1, XP_024006182.1
OG0000266	Cg003G098940, Cg003G099000	XP_006402522.1, XP_006405778.1
OG0000266	Cg002G044180, Cg002G044170	XP_006414422.1
OG0000267	Cg005G177130, Cg005G177100, Cg005G177110, Cg005G177030, Cg005G177010, Cg005G177140, Cg005G177090, Cg005G177120	XP_024009084.1, XP_006396044.1
OG0000267	Cg005G193150	XP_024014209.1, XP_006404623.2, XP_006393105.1, XP_024014238.1, XP_024014208.1
OG0000268	Cg002G074810	XP_006395818.1
OG0000268	Cg007G248330	XP_024016059.1
OG0000268	Cg008G282710	XP_006398647.1
OG0000268	Cg002G052420	XP_006403613.1
OG0000271	Cg003G079870	XP_006393349.1
OG0000272	Cg008G325020	XP_024006427.1
OG0000273	Cg006G201130, Cg006G201120, Cg006G201160	XP_024006296.1
OG0000273	Cg006G201170	XP_006393515.2, XP_006392846.1
OG0000274	Cg003G107390	XP_006400925.1
OG0000274	Cg002G061020, Cg002G061010	XP_006418933.1, XP_006418941.1
OG0000274	Cg005G177430	XP_024003799.1
OG0000275	Cg004G138960, Cg004G139000, Cg004G138970, Cg004G138980, Cg004G138950, Cg004G138940	XP_024014973.1, XP_024014974.1
OG0000276	Cg001G029710	XP_024004976.1
OG0000278	Cg003G105620	XP_024008930.1
OG0000281	Cg006G199670	XP_006393194.1
OG0000281	Cg006G220980	XP_006413618.1
OG0000282	Cg008G288360	XP_024012161.1
OG0000282	Cg008G288350, Cg008G323220	XP_006399236.1
OG0000282	Cg008G288380	XP_006399237.1
OG0000282	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400	XP_024012088.1, XP_006399240.2
OG0000283	Cg008G318960, Cg008G318990, Cg008G318970	XP_024013277.1, XP_006403248.1, XP_006403249.1, XP_006403251.1, XP_006403252.1, XP_006403255.1
OG0000284	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380	XP_006394900.1
OG0000285	Cg002G060650, Cg005G182020	XP_024006539.1
OG0000290	Cg004G135310	XP_006406581.1
OG0000294	Cg004G133910	XP_006406736.1
OG0000294	Cg005G169690	XP_006410860.1
OG0000294	Cg005G158570	XP_006397900.1
OG0000294	Cg003G077590, Cg014G332020	XP_006396376.1
OG0000294	Cg006G243870	XP_006418333.1
OG0000295	Cg007G263400	XP_006407057.2
OG0000296	Cg007G280920, Cg007G280630	XP_006405376.2
OG0000297	Cg001G003600	XP_006411985.1
OG0000297	Cg005G178560, Cg005G178570, Cg005G178540	XP_006405949.1, XP_006409893.2
OG0000297	Cg003G108160	XP_024013316.1, XP_024013315.1, XP_006400849.1
OG0000297	Cg004G136450	XP_006406472.1
OG0000299	Cg001G026540, Cg002G070200	XP_024003896.1
OG0000299	Cg001G026230, Cg001G026550	XP_024013752.1
OG0000299	Cg001G039310, Cg006G194360	XP_006395553.1
OG0000300	Cg004G145480, Cg004G145490	XP_024009522.1
OG0000300	Cg004G145430, Cg004G144800	XP_024009515.1, XP_006396158.1
OG0000310	Cg002G058430	XP_024012512.1, XP_024012532.1, XP_006400936.1
OG0000311	Cg008G296830	XP_006400196.1
