Orthogroup	Cardamine_glauca	Arabis_alpina
OG0000067	Cg007G270520	Aa_G84550.h1.t1, Aa_G389060.h1.t1, Aa_G484910.h1.t1, Aa_G72500.h1.t1
OG0000067	Cg008G318950	Aa_G602850.h1.t1, Aa_G602860.h1.t1, Aa_G176470.h1.t1
OG0000070	Cg005G186370	Aa_G280.h1.t1, Aa_G540.h1.t1
OG0000071	Cg006G240460	Aa_G414310.h1.t1, Aa_G616190.h1.t1, Aa_G692990.h1.t1, Aa_G268590.h1.t1
OG0000073	Cg003G080870	Aa_G313590.h1.t1
OG0000073	Cg004G150010	Aa_G33030.h1.t1
OG0000073	Cg008G315120	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1
OG0000074	Cg006G222190	Aa_G349950.h1.t1
OG0000074	Cg006G222350, Cg006G222340	Aa_G62330.h1.t1
OG0000075	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300	Aa_G542150.h1.t1
OG0000075	Cg001G033430	Aa_G732520.h1.t1
OG0000076	Cg002G057890	Aa_G712070.h1.t1
OG0000076	Cg002G054100	Aa_G521750.h1.t1
OG0000077	Cg004G151030, Cg005G160440	Aa_G374870.h1.t1
OG0000079	Cg004G118210	Aa_G111800.h1.t1, Aa_G111810.h1.t1, Aa_G46620.h1.t1, Aa_G111790.h1.t1
OG0000079	Cg002G047470	Aa_G175740.h1.t1, Aa_G175730.h1.t1, Aa_G449530.h1.t1, Aa_G175720.h1.t1, Aa_G111830.h1.t1
OG0000079	Cg007G249140	Aa_G175830.h1.t1, Aa_G175820.h1.t1, Aa_G175780.h1.t1
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	Aa_G175750.h1.t1, Aa_G175760.h1.t1
OG0000080	Cg005G158270	Aa_G235680.h1.t1
OG0000080	Cg003G093790	Aa_G532350.h1.t1
OG0000080	Cg005G177060	Aa_G488480.h1.t1, Aa_G386390.h1.t1
OG0000081	Cg006G198910, Cg008G298360, Cg008G298500	Aa_G604970.h1.t1
OG0000083	Cg007G271880, Cg008G322860	Aa_G319590.h1.t1, Aa_G319580.h1.t1
OG0000083	Cg004G140450, Cg004G140420, Cg004G140430, Cg004G140410, Cg004G140440	Aa_G729280.h1.t1, Aa_G704230.h1.t1
OG0000083	Cg005G190480, Cg005G190490, Cg004G121150	Aa_G21020.h1.t1
OG0000085	Cg007G270000	Aa_G117940.h1.t1
OG0000087	Cg008G303510	Aa_G630880.h1.t1
OG0000087	Cg005G177380	Aa_G199760.h1.t1
OG0000087	Cg008G292710	Aa_G256660.h1.t1
OG0000087	Cg005G171830	Aa_G562810.h1.t1
OG0000087	Cg008G320640	Aa_G103150.h1.t1
OG0000087	Cg001G020160	Aa_G580380.h1.t1
OG0000087	Cg007G276340	Aa_G656110.h1.t1
OG0000088	Cg001G039390, Cg008G300920	Aa_G15590.h1.t1
OG0000088	Cg003G090240, Cg003G095710	Aa_G15570.h1.t1
OG0000089	Cg008G290150	Aa_G152880.h1.t1
OG0000089	Cg004G127880	Aa_G5290.h1.t1
OG0000089	Cg005G168860	Aa_G367680.h1.t1
OG0000090	Cg006G225800	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	Aa_G410840.h1.t1
OG0000090	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850	Aa_G273720.h1.t1, Aa_G273730.h1.t1
OG0000090	Cg001G005770	Aa_G349440.h1.t1, Aa_G349450.h1.t1
OG0000090	Cg002G074060, Cg006G235770	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1
OG0000093	Cg002G047960	Aa_G526230.h1.t1
OG0000093	Cg002G048030	Aa_G526150.h1.t1, Aa_G526160.h1.t1
OG0000093	Cg002G048080	Aa_G627610.h1.t1, Aa_G627630.h1.t1, Aa_G627620.h1.t1
OG0000096	Cg002G073910, Cg002G073940, Cg002G073930	Aa_G683270.h1.t1
OG0000096	Cg008G322180	Aa_G786250.h1.t1, Aa_G786250.h2.t1, Aa_G636230.h1.t1
OG0000096	Cg006G236390	Aa_G160980.h1.t1
OG0000097	Cg003G079780, Cg003G094240	Aa_G42050.h1.t1
OG0000097	Cg003G079770, Cg003G094250	Aa_G132920.h1.t1
OG0000097	Cg003G079730, Cg003G094300	Aa_G577800.h1.t1
OG0000097	Cg003G094290, Cg003G079740	Aa_G120830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h6.t1, Aa_G405830.h4.t1, Aa_G405830.h3.t1, Aa_G405830.h1.t1, Aa_G405830.h2.t1, Aa_G405810.h1.t1
OG0000099	Cg007G246280, Cg007G246260, Cg007G246270	Aa_G647960.h1.t1
OG0000099	Cg007G249510	Aa_G384670.h1.t1
OG0000100	Cg008G316000	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000101	Cg007G246670	Aa_G65740.h1.t1, Aa_G65800.h1.t1
OG0000104	Cg006G238510	Aa_G257560.h1.t1
OG0000104	Cg005G177920	Aa_G459870.h1.t1
OG0000104	Cg006G200560	Aa_G166390.h1.t1
OG0000106	Cg004G135900, Cg004G134980, Cg004G134990, Cg004G136130	Aa_G32180.h1.t1
OG0000107	Cg004G136880	Aa_G115060.h1.t1
OG0000108	Cg008G306430	Aa_G539300.h1.t1, Aa_G70590.h1.t1
OG0000109	Cg006G209370, Cg002G061660, Cg008G318050, Cg006G211600, Cg003G088520, Cg003G088530	Aa_G84800.h1.t1, Aa_G329020.h1.t1
OG0000109	Cg002G064440	Aa_G663410.h1.t1
OG0000110	Cg002G047270	Aa_G271260.h1.t1
OG0000110	Cg002G047280	Aa_G784880.h1.t1
OG0000110	Cg002G047300, Cg002G047310, Cg005G186820	Aa_G533500.h1.t1, Aa_G544160.h1.t1, Aa_G430880.h1.t1, Aa_G741430.h1.t1, Aa_G544170.h1.t1, Aa_G430870.h1.t1, Aa_G350840.h1.t1, Aa_G773700.h1.t1
OG0000110	Cg007G269260	Aa_G271300.h1.t1
OG0000111	Cg002G051630	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000113	Cg007G253910	Aa_G106970.h1.t1, Aa_G65730.h1.t1
OG0000113	Cg007G253850, Cg007G250960	Aa_G616120.h1.t1
OG0000114	Cg008G318090	Aa_G84490.h1.t1, Aa_G17720.h1.t1, Aa_G563350.h1.t1
OG0000117	Cg006G208080	Aa_G204550.h1.t1
OG0000120	Cg008G285500	Aa_G388280.h1.t1
OG0000122	Cg003G086890	Aa_G592740.h1.t1
OG0000122	Cg003G103770	Aa_G379620.h1.t1
OG0000123	Cg006G218510, Cg006G218490, Cg001G014410, Cg006G232300, Cg001G014420, Cg001G029000, Cg001G029020	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1
OG0000125	Cg002G052860	Aa_G311330.h1.t1
OG0000125	Cg008G302630	Aa_G552180.h1.t1
OG0000125	Cg003G107610	Aa_G33880.h1.t1
OG0000125	Cg005G178390	Aa_G69270.h1.t1
OG0000126	Cg007G271870, Cg008G305740, Cg007G255150	Aa_G248300.h1.t1
OG0000127	Cg007G262300, Cg007G263860	Aa_G18590.h1.t1
OG0000127	Cg004G124780	Aa_G101380.h1.t1
OG0000127	Cg007G262280	Aa_G232630.h1.t1
OG0000128	Cg001G020220	Aa_G147990.h1.t1, Aa_G91540.h1.t1
OG0000132	Cg001G031120, Cg001G029490	Aa_G358570.h1.t1
OG0000136	Cg001G037100	Aa_G108450.h1.t1
OG0000138	Cg002G067580, Cg002G067290	Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1
OG0000139	Cg005G182990	Aa_G840.h1.t1, Aa_G475650.h1.t1
OG0000140	Cg003G106820	Aa_G297060.h1.t1
OG0000140	Cg003G106800	Aa_G701760.h1.t1
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	Aa_G650690.h2.t1, Aa_G650690.h1.t1
OG0000146	Cg003G102640	Aa_G59090.h1.t1
OG0000146	Cg003G102600	Aa_G643480.h1.t1
OG0000146	Cg003G102620	Aa_G643460.h1.t1, Aa_G732190.h1.t1
OG0000147	Cg004G155250	Aa_G190130.h1.t1
OG0000147	Cg001G010340	Aa_G620370.h1.t1
OG0000147	Cg003G104960	Aa_G307400.h1.t1
OG0000147	Cg007G280860	Aa_G21590.h1.t1
OG0000147	Cg001G032760	Aa_G241680.h1.t1
OG0000147	Cg004G146670	Aa_G194510.h1.t1
OG0000147	Cg005G189880	Aa_G41590.h1.t1
OG0000149	Cg003G107300, Cg003G107310	Aa_G482950.h1.t1
OG0000149	Cg003G107330, Cg003G107340	Aa_G550810.h1.t1, Aa_G550830.h1.t1, Aa_G550790.h1.t1, Aa_G550840.h1.t1
OG0000149	Cg003G107280	Aa_G482910.h1.t1, Aa_G28310.h1.t1
OG0000151	Cg003G100170	Aa_G134060.h1.t1
OG0000151	Cg001G012710	Aa_G2000.h1.t1
OG0000151	Cg004G124340	Aa_G24370.h1.t1
OG0000151	Cg004G152640	Aa_G70150.h1.t1
OG0000151	Cg003G103430	Aa_G580840.h1.t1
OG0000151	Cg007G246070	Aa_G688860.h1.t1, Aa_G135580.h1.t1
OG0000154	Cg006G229860, Cg004G128290	Aa_G162640.h1.t1, Aa_G280540.h1.t1
OG0000154	Cg004G125060	Aa_G403550.h1.t1
OG0000154	Cg008G283240	Aa_G85370.h1.t1
OG0000155	Cg001G013440	Aa_G438370.h1.t1
OG0000155	Cg001G019650	Aa_G58940.h1.t1
OG0000155	Cg004G127780	Aa_G5430.h1.t1
OG0000156	Cg005G160240, Cg005G160250	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1
OG0000160	Cg007G264990, Cg006G202970	Aa_G30.h1.t1
OG0000161	Cg003G109710, Cg003G109720, Cg003G109690, Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820	Aa_G61530.h1.t1, Aa_G716440.h1.t1, Aa_G61470.h1.t1, Aa_G61460.h1.t1
OG0000161	Cg006G215310	Aa_G260740.h1.t1
OG0000161	Cg007G257190	Aa_G323510.h1.t1
OG0000162	Cg008G314630	Aa_G77230.h1.t1, Aa_G208970.h1.t1, Aa_G208980.h1.t1
OG0000162	Cg005G178220	Aa_G77240.h1.t1
OG0000162	Cg005G160860	Aa_G175290.h1.t1
OG0000165	Cg009G325660	Aa_G11930.h1.t1, Aa_G83970.h1.t1, Aa_G86920.h1.t1
OG0000167	Cg001G021130	Aa_G148400.h1.t1
OG0000167	Cg001G021160	Aa_G674860.h1.t1
OG0000171	Cg006G222370, Cg007G270890	Aa_G101710.h1.t1
OG0000171	Cg007G250530	Aa_G193050.h1.t1
OG0000173	Cg003G091670	Aa_G542470.h1.t1
OG0000175	Cg002G055540	Aa_G122520.h1.t1
OG0000175	Cg007G276430	Aa_G281740.h1.t1
OG0000175	Cg001G005230	Aa_G180380.h1.t1
OG0000177	Cg007G261230	Aa_G26980.h1.t1
OG0000178	Cg002G069730, Cg002G066500	Aa_G20.h1.t1
OG0000180	Cg007G279310	Aa_G20960.h1.t1
OG0000184	Cg006G215550	Aa_G88170.h1.t1
OG0000185	Cg003G098770	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1
OG0000185	Cg006G228250	Aa_G234310.h1.t1
OG0000187	Cg001G008920	Aa_G145050.h1.t1, Aa_G145080.h1.t1
OG0000189	Cg001G007520	Aa_G187960.h1.t1, Aa_G187970.h1.t1, Aa_G139550.h1.t1
OG0000190	Cg003G080590, Cg003G080580	Aa_G320630.h1.t1
OG0000190	Cg003G080530	Aa_G320670.h1.t1
OG0000192	Cg006G224780	Aa_G507530.h1.t1
OG0000195	Cg002G049520, Cg005G164920	Aa_G88530.h1.t1, Aa_G562480.h2.t1
OG0000195	Cg001G036760, Cg007G265630	Aa_G505900.h1.t1
OG0000196	Cg006G202640	Aa_G695630.h1.t1, Aa_G37370.h1.t1
OG0000197	Cg001G041590	Aa_G30010.h1.t1, Aa_G48860.h1.t1
OG0000200	Cg007G272860, Cg007G265230, Cg006G240300, Cg001G038160, Cg001G038180, Cg003G084880, Cg004G143040, Cg004G143090	Aa_G462040.h1.t1
OG0000203	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080	Aa_G606990.h1.t1
OG0000204	Cg006G200670	Aa_G29610.h1.t1
OG0000205	Cg003G098990, Cg003G098960, Cg003G098910	Aa_G296310.h1.t1
OG0000209	Cg007G246040	Aa_G135600.h1.t1
OG0000209	Cg001G042590	Aa_G688850.h1.t1
OG0000210	Cg005G173490	Aa_G363640.h1.t1
OG0000213	Cg005G191770	Aa_G317530.h1.t1, Aa_G278650.h1.t1
OG0000214	Cg003G078170	Aa_G296350.h1.t1, Aa_G180050.h1.t1, Aa_G99550.h1.t1, Aa_G191580.h1.t1, Aa_G53200.h1.t1, Aa_G53180.h2.t1, Aa_G53180.h1.t1, Aa_G53180.h3.t1, Aa_G77280.h1.t1, Aa_G548600.h1.t1
OG0000218	Cg006G230920	Aa_G328840.h1.t1
OG0000218	Cg006G230900, Cg006G230890	Aa_G272200.h1.t1
OG0000218	Cg002G072370	Aa_G238450.h1.t1, Aa_G222140.h1.t1
OG0000218	Cg002G075340	Aa_G278170.h1.t1, Aa_G509930.h1.t1, Aa_G509920.h1.t1
OG0000219	Cg005G177180	Aa_G391920.h1.t1
OG0000221	Cg005G182530	Aa_G261700.h1.t1, Aa_G147740.h1.t1, Aa_G926270.h1.t1, Aa_G911310.h1.t1, Aa_G897220.h1.t1, Aa_G971390.h1.t1, Aa_G58530.h1.t1, Aa_G327140.h1.t1, Aa_G739800.h1.t1, Aa_G771910.h1.t1, Aa_G771910.h2.t1, Aa_G272810.h1.t1, Aa_G135900.h1.t1, Aa_G91380.h1.t1, Aa_G52990.h1.t1, Aa_G499920.h1.t1, Aa_G224780.h1.t1, Aa_G285490.h1.t1, Aa_G1009350.h1.t1, Aa_G947060.h1.t1, Aa_G407980.h1.t1, Aa_G246870.h1.t1, Aa_G467930.h1.t1, Aa_G985700.h1.t1, Aa_G580420.h1.t1, Aa_G7930.h1.t1, Aa_G980420.h1.t1, Aa_G318020.h1.t1, Aa_G682580.h1.t1, Aa_G1008030.h1.t1, Aa_G623540.h1.t1
OG0000224	Cg007G278160	Aa_G129390.h1.t1
OG0000224	Cg001G008870, Cg001G017640	Aa_G145140.h1.t1, Aa_G74580.h1.t1
OG0000224	Cg007G247160	Aa_G95380.h1.t1
OG0000226	Cg004G156690	Aa_G328640.h2.t1, Aa_G328640.h1.t1
OG0000226	Cg004G128760, Cg006G218020	Aa_G464550.h1.t1, Aa_G464540.h1.t1
OG0000228	Cg008G307350	Aa_G367290.h1.t1, Aa_G367300.h1.t1
OG0000228	Cg007G271280	Aa_G417160.h1.t1
OG0000228	Cg007G271290	Aa_G412920.h1.t1
OG0000229	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330, Cg001G010780	Aa_G284830.h1.t1, Aa_G191220.h1.t1, Aa_G123140.h1.t1
OG0000230	Cg008G323410	Aa_G465990.h1.t1
OG0000233	Cg005G186600	Aa_G584490.h1.t1, Aa_G703190.h1.t1, Aa_G427530.h1.t1, Aa_G900640.h1.t1, Aa_G556890.h1.t1, Aa_G337650.h1.t1, Aa_G455950.h1.t1, Aa_G38170.h1.t1, Aa_G297100.h1.t1, Aa_G254320.h1.t1, Aa_G734460.h1.t1, Aa_G210530.h1.t1, Aa_G528940.h1.t1, Aa_G906580.h1.t1, Aa_G155140.h1.t1, Aa_G182270.h1.t1, Aa_G400980.h1.t1, Aa_G869430.h1.t1, Aa_G17470.h1.t1, Aa_G989440.h1.t1, Aa_G473070.h1.t1, Aa_G802560.h1.t1, Aa_G818390.h1.t1, Aa_G319500.h1.t1, Aa_G265330.h1.t1, Aa_G947170.h1.t1, Aa_G2010.h1.t1, Aa_G412130.h1.t1, Aa_G630690.h1.t1, Aa_G177480.h1.t1, Aa_G502040.h1.t1, Aa_G46410.h1.t1, Aa_G106600.h1.t1, Aa_G350550.h1.t1, Aa_G634980.h1.t1, Aa_G907240.h1.t1
OG0000233	Cg006G211480	Aa_G202080.h1.t1
OG0000234	Cg002G051400	Aa_G566620.h1.t1, Aa_G329140.h1.t1
OG0000234	Cg002G051410	Aa_G729400.h1.t1
OG0000234	Cg002G051420, Cg005G166930	Aa_G351750.h1.t1, Aa_G351740.h1.t1, Aa_G351730.h1.t1, Aa_G351720.h1.t1
OG0000234	Cg008G293710	Aa_G388320.h1.t1
OG0000236	Cg004G144380, Cg004G139210	Aa_G384940.h1.t1
OG0000236	Cg007G270040	Aa_G133930.h1.t1, Aa_G826850.h1.t1, Aa_G792760.h1.t1
OG0000239	Cg005G173350	Aa_G258130.h1.t1
OG0000241	Cg004G145120	Aa_G108470.h1.t1
OG0000242	Cg006G231900	Aa_G458130.h1.t1
OG0000244	Cg001G019150	Aa_G213370.h1.t1
OG0000244	Cg001G019160	Aa_G213310.h1.t1, Aa_G213330.h1.t1, Aa_G213320.h1.t1, Aa_G213340.h1.t1, Aa_G213350.h1.t1
OG0000246	Cg002G073880	Aa_G8110.h1.t1
OG0000247	Cg008G318840	Aa_G370280.h1.t1
OG0000248	Cg003G081360	Aa_G389410.h1.t1
OG0000248	Cg007G252860	Aa_G57040.h1.t1
OG0000249	Cg005G169790	Aa_G25290.h1.t1
OG0000254	Cg004G134710	Aa_G316340.h1.t1, Aa_G494560.h1.t1, Aa_G399280.h1.t1
OG0000256	Cg005G165640	Aa_G219570.h1.t1, Aa_G728720.h1.t1
OG0000257	Cg004G143430, Cg004G143470, Cg004G143460	Aa_G292060.h1.t1, Aa_G168750.h1.t1
OG0000257	Cg001G035030	Aa_G592420.h1.t1
OG0000257	Cg001G001780	Aa_G486280.h1.t1
OG0000258	Cg002G072310, Cg002G072330	Aa_G636080.h1.t1, Aa_G276740.h1.t1
OG0000258	Cg003G104860	Aa_G69130.h1.t1
OG0000258	Cg002G072320	Aa_G276750.h1.t1
OG0000264	Cg003G079060, Cg003G094880	Aa_G189060.h1.t1
OG0000266	Cg003G098940, Cg003G099000	Aa_G394610.h1.t1, Aa_G394570.h1.t1, Aa_G77300.h1.t1, Aa_G299160.h1.t1
OG0000267	Cg005G177130, Cg005G177100, Cg005G177110, Cg005G177030, Cg005G177010, Cg005G177140, Cg005G177090, Cg005G177120	Aa_G279220.h1.t1, Aa_G773360.h1.t1, Aa_G279150.h1.t1
OG0000267	Cg005G193150	Aa_G279240.h1.t1, Aa_G279230.h1.t1
OG0000268	Cg002G074810	Aa_G186470.h1.t1
OG0000268	Cg007G248320	Aa_G222610.h1.t1
OG0000268	Cg008G282710	Aa_G443020.h1.t1
OG0000268	Cg002G052420	Aa_G348540.h1.t1
OG0000270	Cg006G226060	Aa_G64840.h1.t1
OG0000271	Cg001G032910	Aa_G221240.h1.t1
OG0000273	Cg006G201130, Cg006G201120, Cg006G201160	Aa_G184290.h1.t1, Aa_G255150.h1.t1
OG0000274	Cg003G107390	Aa_G620130.h1.t1, Aa_G550740.h1.t1, Aa_G550750.h1.t1
OG0000274	Cg002G061020, Cg002G061010	Aa_G318690.h1.t1, Aa_G318700.h1.t1
OG0000274	Cg007G251180	Aa_G651390.h1.t1
OG0000274	Cg005G177430	Aa_G199710.h1.t1
OG0000278	Cg003G105620	Aa_G541110.h1.t1, Aa_G541100.h1.t1
OG0000281	Cg006G199670	Aa_G46120.h1.t1, Aa_G656550.h1.t1, Aa_G180970.h1.t1
OG0000282	Cg008G288360	Aa_G471620.h1.t1
OG0000282	Cg008G288350, Cg008G323220	Aa_G471630.h1.t1, Aa_G471640.h1.t1
OG0000282	Cg008G288380	Aa_G471610.h1.t1
OG0000282	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400	Aa_G471600.h1.t1, Aa_G471590.h1.t1, Aa_G529880.h1.t1
OG0000283	Cg008G318960, Cg008G318990, Cg008G318970	Aa_G219520.h1.t1, Aa_G219510.h1.t1, Aa_G520320.h1.t1, Aa_G520310.h1.t1
OG0000284	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380	Aa_G40840.h1.t1
OG0000290	Cg004G135310	Aa_G104630.h1.t1
OG0000293	Cg008G293400	Aa_G72180.h1.t1, Aa_G479570.h1.t1, Aa_G354250.h1.t1
OG0000293	Cg001G035010	Aa_G206550.h1.t1, Aa_G128470.h1.t1, Aa_G533740.h1.t1, Aa_G348100.h1.t1, Aa_G706510.h1.t1
OG0000294	Cg004G133910	Aa_G53610.h1.t1
OG0000294	Cg005G169690	Aa_G159770.h1.t1
