Orthogroup	Cardamine_glauca	Raphanus_sativus
OG0000045	Cg003G091810	XP_018466108.1, XP_018478951.1, XP_018448402.1, XP_018487726.1, XP_018463620.1, XP_018443707.1, XP_018435482.1, XP_018467340.1, XP_018462035.1, XP_018464385.1, XP_018458802.1, XP_018458803.1, XP_018462082.1, XP_018474461.1, XP_018435693.1, XP_018475205.1, XP_018473845.1, XP_018487780.1, XP_018458922.1, XP_018458923.1, XP_018435841.1, XP_018467136.1, XP_018460440.1, XP_018487910.1, XP_018463491.1, XP_018448701.1, XP_018464530.1, XP_018461065.1, XP_018487892.1, XP_018459206.1, XP_018488048.1, XP_018466713.1, XP_018448460.1, XP_018487866.1, XP_018459566.1, XP_018463234.1, XP_018443765.1, XP_018479710.1, XP_018448786.1, XP_018461533.1, XP_018453567.1, XP_018474115.1, XP_018465887.1, XP_018459998.1, XP_018436087.1, XP_018479461.1, XP_018466777.1, XP_018473377.1, XP_018453832.1, XP_018453981.1
OG0000045	Cg002G064420	XP_018459816.1, XP_018466560.1, XP_018453952.1, XP_018435496.1, XP_018467329.1
OG0000046	Cg003G097180	XP_018435200.1
OG0000046	Cg001G022610	XP_018444697.1, XP_018444687.1
OG0000046	Cg007G266760	XP_018442725.1, XP_018469869.1, XP_018469866.1
OG0000046	Cg007G266630	XP_018443463.1, XP_018442726.1, XP_018444649.1
OG0000046	Cg007G266640	XP_018442727.1, XP_018444185.1
OG0000048	Cg008G298370	XP_018444414.1
OG0000049	Cg007G255960	XP_018457108.1, XP_018457107.1, XP_018489919.1, XP_018475022.1
OG0000052	Cg006G242960	XP_018493126.1
OG0000052	Cg005G173390, Cg013G330370	XP_018473990.1, XP_018465828.1
OG0000052	Cg003G083820	XP_018482777.1, XP_018482778.1, XP_018432826.1
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	XP_018438980.1
OG0000053	Cg003G084420	XP_018438946.1, XP_018469270.1, XP_018480125.1, XP_018490555.1
OG0000054	Cg001G018970	XP_018459334.1, XP_018477522.1, XP_018473923.1
OG0000054	Cg005G189800, Cg005G189790	XP_018477437.1, XP_018491477.1, XP_018444419.1, XP_018469257.1, XP_018485596.1
OG0000055	Cg002G060080	XP_018435121.1
OG0000056	Cg007G262570, Cg007G263580, Cg007G265440, Cg006G204190	XP_018460221.1, XP_018436002.1, XP_018448501.1, XP_018465335.1, XP_018458942.1, XP_018462168.1, XP_018464358.1, XP_018461103.1, XP_018461001.1, XP_018460591.1, XP_018471856.1
OG0000058	Cg005G185820	XP_018460528.1, XP_018479391.1, XP_018488217.1, XP_018479861.1
OG0000058	Cg005G189250	XP_018479867.1, XP_018448690.1, XP_018460186.1, XP_018435732.1, XP_018443346.1, XP_018467820.1, XP_018467084.1
OG0000060	Cg001G034080	XP_018444547.1, XP_018455489.1
OG0000061	Cg003G083990, Cg008G318200	XP_018436245.1
OG0000061	Cg007G263690, Cg007G267630	XP_018462409.1, XP_018463484.1, XP_018491908.1, XP_018490120.1, XP_018453862.1, XP_018446553.1, XP_018448853.1
OG0000062	Cg007G260660, Cg005G180090	XP_018458399.1, XP_018460589.1
OG0000062	Cg010G326150	XP_018435507.1, XP_018470051.1, XP_018458513.1, XP_018453872.1, XP_018465298.1, XP_018448633.1, XP_018481702.1, XP_018458820.1, XP_018453714.1, XP_018467728.1, XP_018454571.1, XP_018435964.1, XP_018453700.1, XP_018435546.1, XP_018482195.1
OG0000064	Cg001G000750	XP_018480217.1
OG0000064	Cg008G325030	XP_018473779.1, XP_018473780.1, XP_018474714.1, XP_018460208.1, XP_018472945.1, XP_018460209.1, XP_018450522.1, XP_018450539.1, XP_018463337.1, XP_018448400.1, XP_018463339.1, XP_018449650.1, XP_018474598.1, XP_018474599.1, XP_018462841.1, XP_018475048.1, XP_018443823.1, XP_018443200.1, XP_018460203.1, XP_018460207.1, XP_018473529.1, XP_018443574.1, XP_018443571.1, XP_018465975.1, XP_018466260.1, XP_018461543.1, XP_018464034.1, XP_018461537.1, XP_018468598.1, XP_018443483.1, XP_018444827.1, XP_018443480.1, XP_018444944.1, XP_018449802.1, XP_018449809.1, XP_018443481.1, XP_018444994.1, XP_018443478.1, XP_018467354.1, XP_018463265.1, XP_018482751.1, XP_018436303.1, XP_018474027.1, XP_018474028.1, XP_018469272.1, XP_018436302.1, XP_018436349.1, XP_018488002.1, XP_018435433.1, XP_018436299.1, XP_018454002.1, XP_018436283.1, XP_018436285.1, XP_018436289.1, XP_018437674.1, XP_018436286.1, XP_018464851.1, XP_018476025.1, XP_018475567.1, XP_018463206.1, XP_018474153.1, XP_018482750.1, XP_018467455.1, XP_018436301.1, XP_018472219.1
OG0000065	Cg001G020190	XP_018459982.1
OG0000066	Cg003G113360	XP_018448990.1, XP_018470662.1, XP_018433979.1, XP_018439713.1, XP_018448989.1, XP_018470661.1, XP_018456938.1, XP_018445234.1, XP_018456939.1
OG0000067	Cg004G154470	XP_018465626.1, XP_018474335.1, XP_018472777.1, XP_018446006.1, XP_018442366.1, XP_018444607.1, XP_018443375.1, XP_018442371.1, XP_018442368.1
OG0000067	Cg008G318950	XP_018474857.1, XP_018475140.1, XP_018472752.1, XP_018472753.1, XP_018487690.1, XP_018448422.1, XP_018475216.1
OG0000070	Cg005G186370	XP_018463982.1
OG0000071	Cg007G264730, Cg003G105600	XP_018453762.1
OG0000071	Cg006G240460	XP_018443565.1, XP_018474012.1
OG0000073	Cg008G302430	XP_018444272.1
OG0000074	Cg006G222190	XP_018484078.1
OG0000074	Cg006G222350	XP_018475190.1, XP_018463580.1, XP_018442248.1, XP_018474776.1, XP_018483556.1, XP_018449779.1, XP_018449780.1
OG0000075	Cg003G083750, Cg005G174740, Cg008G291500, Cg008G290800, Cg008G290770, Cg006G214290	XP_018487834.1
OG0000075	Cg004G148530	XP_018453478.1
OG0000075	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300	XP_018461296.1, XP_018457458.1
OG0000075	Cg001G033430, Cg006G221290, Cg008G323300	XP_018448172.1, XP_018442633.1, XP_018479680.1
OG0000075	Cg008G301210	XP_018478964.1, XP_018464005.1
OG0000076	Cg002G057890	XP_018493248.1
OG0000076	Cg002G054100	XP_018436949.1, XP_018440340.1, XP_018440341.1
OG0000076	Cg007G272900	XP_018454118.1
OG0000076	Cg002G071650	XP_018479392.1, XP_018481202.1, XP_018479394.1, XP_018479395.1
OG0000078	Cg002G071190	XP_018462224.1, XP_018463013.1, XP_018464185.1, XP_018438837.1, XP_018462373.1, XP_018459132.1, XP_018482546.1, XP_018459131.1, XP_018482527.1, XP_018438608.1, XP_018462371.1, XP_018459049.1, XP_018461378.1, XP_018461038.1, XP_018450716.1, XP_018466255.1, XP_018459043.1, XP_018461034.1, XP_018437386.1, XP_018446222.1, XP_018443582.1, XP_018450345.1, XP_018490507.1, XP_018487390.1, XP_018448613.1, XP_018435333.1, XP_018443586.1, XP_018479536.1, XP_018479534.1, XP_018461540.1
OG0000079	Cg004G118210	XP_018436791.1
OG0000079	Cg002G047470	XP_018440487.1, XP_018434498.1, XP_018440703.1, XP_018490673.1
OG0000079	Cg007G249140	XP_018485958.1
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	XP_018462102.1, XP_018439443.1, XP_018443618.1, XP_018442766.1, XP_018442962.1, XP_018443617.1, XP_018460416.1, XP_018442910.1, XP_018458706.1
OG0000080	Cg004G150150	XP_018482142.1
OG0000080	Cg005G177060	XP_018467401.1
OG0000083	Cg005G178780	XP_018462245.1, XP_018460689.1
OG0000083	Cg004G140440	XP_018485392.1
OG0000083	Cg005G190480	XP_018435298.1
OG0000083	Cg005G190490	XP_018440112.1
OG0000084	Cg005G189580	XP_018458817.1
OG0000087	Cg008G303510	XP_018477697.1, XP_018484582.1
OG0000087	Cg005G177380	XP_018440871.1
OG0000087	Cg003G110470	XP_018492627.1, XP_018440532.1
OG0000087	Cg008G292710	XP_018446020.1
OG0000087	Cg005G171830	XP_018434101.1
OG0000087	Cg008G320640	XP_018439894.1, XP_018457306.1, XP_018456689.1, XP_018483831.1
OG0000087	Cg001G020160	XP_018451489.1, XP_018470360.1, XP_018484782.1
OG0000087	Cg007G276340	XP_018463490.1, XP_018446239.1
OG0000088	Cg005G181240	XP_018441615.1, XP_018436160.1, XP_018443675.1, XP_018475641.1, XP_018476975.1, XP_018442302.1, XP_018442307.1, XP_018460254.1, XP_018434208.1
OG0000088	Cg002G059930	XP_018439296.1
OG0000088	Cg001G039390, Cg008G300920	XP_018474898.1, XP_018446823.1
OG0000089	Cg008G290150	XP_018476330.1, XP_018445204.1, XP_018471220.1
OG0000089	Cg002G060740, Cg003G107020	XP_018473557.1
OG0000090	Cg006G225800	XP_018435343.1
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000090	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850	XP_018485425.1
OG0000090	Cg002G074060	XP_018455246.1
OG0000090	Cg006G235770	XP_018439895.1
OG0000093	Cg002G047960	XP_018484517.1, XP_018484516.1, XP_018460880.1, XP_018444673.1
OG0000093	Cg002G047940	XP_018488418.1
OG0000093	Cg002G048030	XP_018444359.1
OG0000096	Cg007G252880	XP_018438135.1
OG0000097	Cg003G079780, Cg003G094240	XP_018451515.1, XP_018489433.1, XP_018486669.1, XP_018486652.1, XP_018474049.1
OG0000097	Cg003G079770, Cg003G094250	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1
OG0000098	Cg007G253040, Cg007G249450	XP_018459403.1, XP_018454197.1, XP_018457909.1
OG0000099	Cg007G249510	XP_018455323.1, XP_018435679.1, XP_018435243.1, XP_018454000.1, XP_018475203.1, XP_018436873.1, XP_018483317.1, XP_018454278.1, XP_018491773.1
OG0000101	Cg007G246670	XP_018453994.1
OG0000102	Cg001G040220, Cg001G033570	XP_018487874.1
OG0000104	Cg006G238510	XP_018487612.1, XP_018493580.1
OG0000104	Cg005G178080, Cg005G178040, Cg005G177940, Cg005G177960, Cg005G177980, Cg005G177930, Cg005G177920	XP_018478791.1, XP_018437245.1, XP_018462942.1
OG0000104	Cg006G200560	XP_018485742.1
OG0000104	Cg004G138340	XP_018485989.1
OG0000105	Cg003G084510	XP_018473746.1, XP_018459726.1
OG0000107	Cg005G182320	XP_018474063.1, XP_018435236.1
OG0000107	Cg004G136910	XP_018489629.1, XP_018489727.1, XP_018488234.1, XP_018486234.1
OG0000107	Cg004G136890, Cg004G136900	XP_018486571.1, XP_018467025.1
OG0000108	Cg008G306430	XP_018477065.1
OG0000108	Cg007G245680, Cg007G245670	XP_018443647.1, XP_018461538.1, XP_018467732.1
OG0000109	Cg006G218300, Cg006G206180	XP_018474003.1
OG0000110	Cg002G047270	XP_018459995.1
OG0000110	Cg002G047280	XP_018489183.1, XP_018442568.1, XP_018459990.1
OG0000110	Cg002G047240	XP_018459994.1, XP_018443615.1, XP_018459996.1, XP_018443136.1
OG0000110	Cg007G269260	XP_018444638.1
OG0000111	Cg002G051630	XP_018490205.1, XP_018490414.1, XP_018489158.1, XP_018464835.1, XP_018486610.1, XP_018465554.1, XP_018465557.1, XP_018489931.1
OG0000113	Cg007G253910	XP_018464844.1
OG0000119	Cg003G096910, Cg005G178360	XP_018435973.1, XP_018448484.1, XP_018453686.1
OG0000119	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680	XP_018435672.1
OG0000120	Cg007G250010, Cg007G249930	XP_018454192.1, XP_018454191.1, XP_018454194.1, XP_018463935.1
OG0000120	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540	XP_018448805.1, XP_018448808.1, XP_018448809.1, XP_018448806.1, XP_018448804.1, XP_018461801.1, XP_018477225.1, XP_018477643.1, XP_018488001.1, XP_018477675.1, XP_018477620.1, XP_018482159.1, XP_018488288.1, XP_018490867.1, XP_018473755.1, XP_018477202.1, XP_018466466.1, XP_018442004.1, XP_018466316.1
OG0000120	Cg008G285500	XP_018443272.1
OG0000122	Cg003G086890	XP_018468941.1
OG0000122	Cg003G103770	XP_018453563.1
OG0000122	Cg003G103780	XP_018462771.1, XP_018475283.1, XP_018472552.1, XP_018474614.1, XP_018462773.1, XP_018472550.1
OG0000122	Cg003G103810	XP_018460882.1
OG0000123	Cg006G218510, Cg006G218490	XP_018449687.1, XP_018447985.1
OG0000123	Cg001G014410	XP_018458507.1
OG0000123	Cg001G014420	XP_018465848.1, XP_018467255.1, XP_018479088.1, XP_018469074.1, XP_018468699.1
OG0000123	Cg001G029000, Cg001G029020	XP_018481885.1
OG0000124	Cg002G063920, Cg003G086460	XP_018461102.1
OG0000125	Cg002G052860	XP_018485557.1, XP_018478149.1
OG0000125	Cg008G302630	XP_018464380.1, XP_018463483.1, XP_018442304.1
OG0000125	Cg005G178390	XP_018441606.1, XP_018478084.1, XP_018472875.1
OG0000126	Cg001G027760, Cg001G028690, Cg002G060390, Cg007G271870, Cg008G305740, Cg007G255150	XP_018448675.1, XP_018459267.1, XP_018466537.1, XP_018453659.1
OG0000127	Cg008G282750	XP_018482062.1, XP_018479651.1
OG0000127	Cg008G282740	XP_018467636.1
OG0000127	Cg007G262300, Cg007G263860	XP_018444659.1
OG0000127	Cg004G124780	XP_018469432.1
OG0000127	Cg007G262280	XP_018473001.1
OG0000128	Cg001G020220, Cg008G318340	XP_018464920.1
OG0000129	Cg005G172680	XP_018473960.1
OG0000133	Cg007G269340	XP_018452405.1, XP_018477160.1, XP_018477168.1
OG0000133	Cg003G084500, Cg005G185150, Cg004G141220	XP_018450983.1, XP_018460947.1
OG0000135	Cg004G138210	XP_018459552.1, XP_018435351.1, XP_018456024.1, XP_018435721.1, XP_018479208.1, XP_018462974.1, XP_018479938.1, XP_018465059.1, XP_018443759.1, XP_018463941.1, XP_018464552.1, XP_018453538.1, XP_018461254.1, XP_018464610.1, XP_018479400.1, XP_018479921.1, XP_018466214.1, XP_018443541.1, XP_018448342.1, XP_018479779.1, XP_018473985.1, XP_018473984.1, XP_018479174.1, XP_018435427.1, XP_018465544.1, XP_018473683.1, XP_018487469.1
OG0000136	Cg001G037040	XP_018459689.1, XP_018465188.1
OG0000137	Cg001G041290	XP_018467348.1
OG0000138	Cg002G067580, Cg002G067290	XP_018482690.1
OG0000140	Cg003G106800	XP_018474233.1
OG0000140	Cg003G106450	XP_018464951.1, XP_018465933.1, XP_018469119.1
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	XP_018455338.1
OG0000142	Cg005G177630	XP_018477489.1
OG0000142	Cg005G176030	XP_018480951.1
OG0000144	Cg005G182040	XP_018452589.1, XP_018443229.1, XP_018436001.1, XP_018453631.1, XP_018453737.1, XP_018450169.1, XP_018467201.1, XP_018436024.1, XP_018448643.1
OG0000146	Cg003G102630	XP_018466390.1
OG0000146	Cg003G102640	XP_018452340.1
OG0000146	Cg003G102600	XP_018454803.1
OG0000146	Cg003G102620	XP_018469497.1, XP_018452341.1, XP_018454603.1
OG0000147	Cg004G155250	XP_018439896.1, XP_018456672.1, XP_018489076.1
OG0000147	Cg001G010340	XP_018447191.1, XP_018447677.1
OG0000147	Cg003G104960	XP_018470730.1, XP_018456230.1
OG0000147	Cg007G280860	XP_018453169.1, XP_018442966.1
OG0000147	Cg004G146670	XP_018489772.1
OG0000147	Cg005G189880	XP_018441376.1
OG0000149	Cg002G060880	XP_018436983.1, XP_018437469.1, XP_018437143.1
OG0000149	Cg003G107320	XP_018468249.1
OG0000149	Cg003G107280	XP_018461508.1
OG0000150	Cg002G061900	XP_018479792.1
OG0000151	Cg003G100170	XP_018471382.1, XP_018457991.1
OG0000151	Cg001G012710	XP_018445231.1, XP_018461966.1, XP_018447674.1
OG0000151	Cg004G124340	XP_018492109.1, XP_018440453.1, XP_018486328.1, XP_018491228.1
OG0000151	Cg004G152640	XP_018487201.1, XP_018435045.1
OG0000151	Cg003G103430	XP_018468491.1, XP_018455854.1, XP_018476067.1
OG0000151	Cg007G246070	XP_018453176.1
OG0000152	Cg006G206580	XP_018467420.1
OG0000152	Cg002G069910, Cg006G216840, Cg002G069290, Cg005G182640, Cg004G145620, Cg002G063800, Cg003G096260, Cg001G034420, Cg007G260590, Cg004G146430, Cg002G067820, Cg005G182630, Cg007G251500, Cg003G082490, Cg008G288890, Cg007G251240, Cg006G195780	XP_018469718.1, XP_018473926.1, XP_018453794.1, XP_018453647.1, XP_018443335.1, XP_018443578.1, XP_018455617.1, XP_018465560.1, XP_018473943.1, XP_018487650.1, XP_018466869.1, XP_018466667.1, XP_018479018.1, XP_018462117.1, XP_018463330.1, XP_018474053.1, XP_018487651.1, XP_018435790.1
OG0000154	Cg006G229860	XP_018451125.1, XP_018487475.1
OG0000154	Cg004G128290	XP_018439758.1
OG0000154	Cg008G283240	XP_018445474.1, XP_018492171.1, XP_018492160.1, XP_018452385.1, XP_018451023.1, XP_018465909.1, XP_018491687.1, XP_018439788.1
OG0000154	Cg008G283230	XP_018445818.1, XP_018445836.1
OG0000155	Cg001G013440	XP_018471751.1
OG0000155	Cg001G019660	XP_018443883.1, XP_018440226.1, XP_018460363.1
OG0000155	Cg001G019650	XP_018471642.1
OG0000155	Cg004G127780	XP_018491969.1
OG0000156	Cg002G045690	XP_018480183.1, XP_018480175.1
OG0000156	Cg005G160240	XP_018478569.1
OG0000158	Cg005G184100	XP_018491615.1, XP_018461518.1, XP_018432785.1
OG0000160	Cg007G264990, Cg006G202970	XP_018435759.1, XP_018474025.1, XP_018460645.1
OG0000160	Cg003G091850	XP_018465687.1
OG0000161	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820	XP_018438997.1, XP_018439597.1, XP_018435583.1, XP_018435186.1, XP_018439599.1
OG0000161	Cg007G261320	XP_018461987.1
OG0000161	Cg007G257190	XP_018491243.1, XP_018491241.1
OG0000162	Cg008G314630, Cg002G046130	XP_018437416.1
OG0000162	Cg005G178220	XP_018490254.1
OG0000162	Cg005G160860	XP_018463531.1
OG0000165	Cg009G325660	XP_018479684.1, XP_018464080.1, XP_018435740.1, XP_018436060.1, XP_018460158.1, XP_018479823.1, XP_018453527.1, XP_018487629.1, XP_018467634.1, XP_018473105.1, XP_018474024.1, XP_018474155.1, XP_018474156.1, XP_018466049.1, XP_018454104.1, XP_018479281.1, XP_018479306.1, XP_018473850.1
OG0000167	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000, Cg003G085600, Cg003G085540, Cg005G187960, Cg005G187970, Cg005G188000, Cg005G188050, Cg005G187980, Cg001G021130	XP_018456032.1, XP_018470205.1
OG0000167	Cg001G021160	XP_018487852.1
OG0000168	Cg001G034720	XP_018435547.1
OG0000169	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840	XP_018466358.1
OG0000171	Cg006G222370, Cg007G270890	XP_018486354.1, XP_018471533.1, XP_018433300.1, XP_018466301.1
OG0000171	Cg006G235360, Cg007G250530	XP_018461928.1, XP_018466967.1
OG0000171	Cg008G294880	XP_018446341.1
OG0000173	Cg003G091670	XP_018462904.1, XP_018480053.1, XP_018482031.1, XP_018460656.1, XP_018453851.1, XP_018479259.1, XP_018488020.1, XP_018488019.1, XP_018435657.1, XP_018473620.1, XP_018466778.1, XP_018463579.1, XP_018443579.1, XP_018479902.1, XP_018473956.1, XP_018455197.1
OG0000174	Cg009G325780, Cg006G205480	XP_018454079.1, XP_018453635.1, XP_018453590.1, XP_018467610.1, XP_018467617.1, XP_018467428.1, XP_018467324.1, XP_018463262.1, XP_018463244.1, XP_018458054.1, XP_018476099.1, XP_018479716.1, XP_018467224.1, XP_018464197.1, XP_018468530.1, XP_018462949.1, XP_018467321.1, XP_018453867.1, XP_018475424.1, XP_018466046.1, XP_018464818.1, XP_018465102.1, XP_018475645.1, XP_018459728.1, XP_018479576.1, XP_018466885.1
OG0000175	Cg002G055540	XP_018468233.1, XP_018439736.1, XP_018478940.1
OG0000175	Cg001G005230	XP_018464957.1
OG0000175	Cg001G004130	XP_018491974.1
OG0000176	Cg006G215540	XP_018448171.1
