Orthogroup	Cardamine_glauca	Euclidium_syriacum
OG0000018	Cg003G095700, Cg006G204250, Cg003G087690, Cg003G087660	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000019	Cg008G308170	ESY5_g2563_DN2_SP0_c0.t1, ESY6_g48254_DN3_SP0_c48.t1, ESY8_g60783_DN3_SP0_c0.t1, ESY5_g2565_DN1_SP0_c0.t1, ESY5_g2564_DN2_SP0_c0.t1
OG0000019	Cg003G084410, Cg008G317890	ESY24_g33175_DN3_SP0_c2.t1
OG0000019	Cg005G182050	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1
OG0000021	Cg006G208570	ESY9_g45027_DN2_SP0_c0.t1, ESY10_g13998_DN2_SP0_c0.t1
OG0000021	Cg003G084910	ESY7_g19226_DN2_SP0_c46.t1
OG0000021	Cg003G080250	ESY9_g43535_DN3_SP0_c0.t1
OG0000023	Cg001G017650	ESY23_g74_DN3_SP0_c34.t1
OG0000025	Cg003G102540	ESY4_g25969_DN1_SP0_c10.t1
OG0000026	Cg005G183380	ESY1_g10661_DN2_SP0_c99.t1
OG0000027	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1
OG0000028	Cg001G041970	ESY6_g48344_DN1_SP0_c0.t1
OG0000029	Cg008G311020, Cg003G107860, Cg007G253930, Cg005G177650, Cg002G070490, Cg005G177640, Cg006G212710	ESY13_g57677_DN1_SP0_c0.t1
OG0000034	Cg005G182400	ESY4_g23032_DN3_SP0_c100.t1
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	ESY15_g65727_DN2_SP0_c85.t1
OG0000037	Cg007G247800, Cg007G255010	ESY21_g55396_DN1_SP0_c0.t1
OG0000038	Cg008G285210, Cg008G285280, Cg005G159520	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1
OG0000038	Cg002G057430	ESY9_g42631_DN2_SP0_c0.t1
OG0000038	Cg001G007650	ESY2_g34741_DN3_SP0_c0.t1
OG0000040	Cg006G217350	ESY5_g3539_DN1_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1
OG0000040	Cg001G030090	ESY9_g43210_DN3_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000040	Cg002G057370	ESY5_g3801_DN1_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1
OG0000040	Cg004G136640	ESY3_g29344_DN3_SP0_c0.t1
OG0000042	Cg002G059980	ESY2_g38709_DN3_SP0_c0.t1, ESY4_g25086_DN1_SP0_c0.t1, ESY7_g16531_DN2_SP0_c0.t1, ESY7_g17207_DN1_SP0_c0.t1
OG0000042	Cg008G311300, Cg008G309470	ESY8_g60365_DN2_SP0_c0.t1, ESY21_g55833_DN2_SP0_c0.t1
OG0000045	Cg003G091810	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1, ESY10_g15212_DN1_SP0_c0.t1
OG0000046	Cg003G097180	ESY1_g11993_DN3_SP0_c13.t1
OG0000047	Cg004G156550, Cg006G206340	ESY3_g28898_DN3_SP0_c0.t1
OG0000049	Cg007G255960	ESY14_g19727_DN2_SP0_c0.t1
OG0000049	Cg007G266650	ESY8_g61336_DN1_SP0_c0.t1
OG0000052	Cg006G242960	ESY5_g5128_DN3_SP0_c0.t1
OG0000052	Cg005G163550	ESY5_g5127_DN3_SP0_c0.t1
OG0000052	Cg005G173390, Cg013G330370	ESY12_g51336_DN3_SP0_c0.t1
OG0000052	Cg003G084890	ESY12_g51338_DN3_SP0_c0.t1
OG0000052	Cg005G163540	ESY5_g2706_DN3_SP0_c11.t1
OG0000054	Cg001G018970	ESY5_g2306_DN3_SP0_c0.t1
OG0000054	Cg005G189800, Cg005G189790	ESY22_g40958_DN3_SP0_c0.t1, ESY19_g41846_DN3_SP0_c0.t1, ESY18_g63621_DN3_SP0_c0.t1
OG0000055	Cg007G248390, Cg007G248550	ESY2_g33771_DN2_SP0_c0.t1
OG0000055	Cg007G248360	ESY2_g33667_DN3_SP0_c0.t1, ESY1_g11935_DN1_SP0_c0.t1, ESY16_g61941_DN3_SP0_c0.t1, ESY2_g33673_DN3_SP0_c0.t1, ESY4_g25972_DN2_SP0_c0.t1
OG0000055	Cg006G223020	ESY2_g33665_DN2_SP0_c0.t1
OG0000055	Cg007G248540, Cg007G248530	ESY2_g33775_DN1_SP0_c0.t1
OG0000056	Cg007G265440, Cg006G204190	ESY4_g23383_DN2_SP0_c0.t1
OG0000056	Cg001G036070	ESY3_g31973_DN1_SP0_c0.t1, ESY3_g29084_DN2_SP0_c0.t1, ESY15_g64467_DN1_SP0_c0.t1
OG0000056	Cg004G146250, Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320, Cg001G029590, Cg003G086110, Cg003G090290	ESY9_g44874_DN3_SP0_c0.t1
OG0000058	Cg007G261210	ESY11_g53172_DN1_SP0_c0.t1, ESY4_g23739_DN2_SP0_c0.t1
OG0000058	Cg005G185820	ESY4_g22484_DN1_SP0_c0.t1, ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1
OG0000058	Cg006G215030, Cg003G077990	ESY5_g1710_DN1_SP0_c25.t1, ESY6_g47795_DN2_SP0_c0.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1
OG0000058	Cg005G185810	ESY4_g22483_DN2_SP0_c0.t1
OG0000061	Cg007G263690, Cg007G267630	ESY17_g40277_DN2_SP0_c0.t1
OG0000062	Cg007G260660, Cg005G180090, Cg010G326150	ESY8_g59723_DN2_SP0_c0.t1
OG0000063	Cg005G178340	ESY6_g48808_DN3_SP0_c0.t1
OG0000063	Cg005G168940	ESY7_g19007_DN3_SP0_c0.t1
OG0000063	Cg002G060930	ESY8_g58877_DN3_SP0_c0.t1
OG0000063	Cg003G107350	ESY6_g48811_DN3_SP0_c0.t1
OG0000064	Cg001G000750	ESY4_g26853_DN2_SP0_c0.t1, ESY4_g26855_DN3_SP0_c0.t1
OG0000064	Cg008G325030	ESY4_g26372_DN3_SP0_c0.t1, ESY4_g26296_DN3_SP0_c0.t1, ESY4_g26223_DN1_SP0_c0.t1, ESY1_g12221_DN1_SP0_c0.t1, ESY5_g4993_DN1_SP0_c0.t1, ESY5_g4992_DN1_SP0_c0.t1, ESY3_g31945_DN3_SP0_c0.t1, ESY2_g33366_DN2_SP0_c0.t1, ESY4_g25882_DN2_SP0_c0.t1, ESY8_g59674_DN1_SP0_c0.t1, ESY2_g33376_DN3_SP0_c13.t1, ESY2_g35407_DN2_SP0_c0.t1, ESY5_g4917_DN3_SP0_c0.t1, ESY9_g42752_DN3_SP0_c0.t1, ESY2_g34046_DN1_SP0_c0.t1, ESY4_g26532_DN1_SP0_c0.t1, ESY4_g26353_DN2_SP0_c8.t1, ESY8_g59034_DN1_SP0_c0.t1, ESY4_g25591_DN2_SP0_c0.t1, ESY2_g33369_DN2_SP0_c0.t1, ESY4_g26224_DN3_SP0_c0.t1, ESY2_g33380_DN1_SP0_c0.t1, ESY6_g50584_DN1_SP0_c0.t1, ESY8_g59836_DN2_SP0_c0.t1, ESY4_g26382_DN2_SP0_c0.t1, ESY4_g25860_DN2_SP0_c0.t1, ESY5_g4982_DN3_SP0_c0.t1, ESY5_g5006_DN2_SP0_c0.t1, ESY8_g58171_DN3_SP0_c0.t1, ESY6_g50580_DN1_SP0_c0.t1
OG0000065	Cg001G020190	ESY17_g39007_DN1_SP0_c0.t1
OG0000066	Cg007G276160	ESY2_g34934_DN2_SP0_c58.t1
OG0000066	Cg006G226080	ESY18_g62954_DN3_SP0_c77.t1
OG0000066	Cg008G290840	ESY7_g18023_DN3_SP0_c0.t1
OG0000066	Cg003G113360	ESY7_g18022_DN3_SP0_c0.t1
OG0000067	Cg004G154470	ESY10_g14570_DN3_SP0_c0.t1, ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1
OG0000067	Cg008G283860, Cg008G284100, Cg008G284110, Cg008G284020, Cg008G283610	ESY6_g50195_DN3_SP0_c0.t1
OG0000067	Cg007G270520	ESY2_g35389_DN2_SP0_c0.t1
OG0000071	Cg006G240460	ESY22_g40814_DN2_SP0_c0.t1, ESY3_g29783_DN3_SP0_c6.t1
OG0000072	Cg008G307960, Cg001G029810, Cg001G029820, Cg008G307970	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000074	Cg006G222280, Cg006G222290	ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1
OG0000074	Cg006G222190	ESY11_g54277_DN1_SP0_c0.t1
OG0000074	Cg006G222350, Cg006G222340	ESY5_g2024_DN3_SP0_c0.t1
OG0000075	Cg008G291500, Cg008G290800, Cg008G290770	ESY7_g18015_DN2_SP0_c0.t1
OG0000075	Cg004G148530	ESY1_g12309_DN1_SP0_c0.t1
OG0000075	Cg001G033430	ESY5_g3745_DN1_SP0_c33.t1, ESY5_g3568_DN2_SP0_c0.t1, ESY5_g3637_DN2_SP0_c0.t1
OG0000075	Cg006G221290	ESY5_g2795_DN2_SP0_c0.t1
OG0000075	Cg006G218700, Cg008G301210	ESY3_g31328_DN1_SP0_c0.t1
OG0000076	Cg002G054100	ESY1_g10445_DN3_SP0_c0.t1
OG0000077	Cg004G148440	ESY4_g26227_DN3_SP0_c0.t1, ESY4_g26228_DN3_SP0_c0.t1, ESY4_g26226_DN3_SP0_c0.t1
OG0000077	Cg004G151030	ESY3_g29359_DN2_SP0_c0.t1, ESY4_g26321_DN2_SP0_c0.t1, ESY11_g54274_DN2_SP0_c0.t1, ESY5_g5287_DN2_SP0_c0.t1, ESY4_g26100_DN2_SP0_c0.t1
OG0000078	Cg002G071190	ESY9_g43985_DN3_SP0_c0.t1
OG0000080	Cg005G177050, Cg005G176650	ESY10_g14355_DN2_SP0_c0.t1
OG0000081	Cg008G298360	ESY7_g17094_DN2_SP0_c0.t1
OG0000086	Cg003G107380	ESY16_g62560_DN2_SP0_c0.t1
OG0000087	Cg008G303510	ESY6_g50131_DN3_SP8_c0.t1
OG0000087	Cg005G177380	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000087	Cg008G292710	ESY7_g18326_DN3_SP8_c0.t1
OG0000087	Cg008G320640	ESY7_g16559_DN3_SP8_c0.t1
OG0000087	Cg001G020160	ESY9_g43361_DN3_SP8_c0.t1
OG0000087	Cg006G225960	ESY5_g3995_DN3_SP3_c0.t1
OG0000087	Cg007G276340	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850	ESY2_g37886_DN2_SP0_c0.t1, ESY2_g37816_DN3_SP0_c0.t1
OG0000090	Cg001G005770	ESY1_g11987_DN2_SP0_c87.t1, ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1
OG0000090	Cg002G074060	ESY3_g32095_DN2_SP0_c41.t1
OG0000090	Cg006G235770	ESY10_g14297_DN3_SP0_c35.t1
OG0000093	Cg002G047960	ESY1_g11462_DN3_SP0_c0.t1
OG0000093	Cg002G047940	ESY16_g61546_DN3_SP0_c0.t1
OG0000093	Cg002G048080	ESY1_g11516_DN3_SP0_c0.t1, ESY1_g11493_DN3_SP0_c41.t1
OG0000096	Cg002G073910	ESY7_g18827_DN2_SP0_c0.t1
OG0000097	Cg003G079780, Cg003G094240	ESY7_g16525_DN2_SP0_c0.t1
OG0000097	Cg003G079770, Cg003G094250	ESY7_g16536_DN3_SP0_c0.t1
OG0000097	Cg003G079730, Cg003G094300	ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1
OG0000098	Cg007G253040, Cg007G249450	ESY2_g33748_DN3_SP0_c0.t1, ESY1_g9661_DN1_SP0_c0.t1, ESY2_g33879_DN2_SP0_c0.t1, ESY2_g33904_DN2_SP0_c0.t1, ESY10_g14055_DN1_SP0_c0.t1, ESY2_g33433_DN1_SP0_c0.t1
OG0000099	Cg007G246280, Cg007G246260, Cg007G246270	ESY2_g33425_DN2_SP0_c0.t1, ESY10_g15600_DN1_SP0_c0.t1
OG0000099	Cg007G249510	ESY2_g33426_DN3_SP0_c0.t1, ESY2_g33422_DN3_SP0_c0.t1, ESY10_g15601_DN1_SP0_c0.t1, ESY2_g37232_DN2_SP0_c27.t1, ESY2_g33418_DN3_SP0_c0.t1
OG0000101	Cg007G253920, Cg007G246670	ESY1_g11939_DN1_SP0_c0.t1
OG0000102	Cg001G040220, Cg001G033570	ESY17_g40075_DN1_SP0_c10.t1
OG0000104	Cg005G177980, Cg005G177930	ESY8_g58838_DN3_SP0_c18.t1
OG0000104	Cg005G177920	ESY8_g58834_DN3_SP0_c19.t1
OG0000104	Cg006G200560	ESY2_g37202_DN3_SP0_c14.t1
OG0000105	Cg003G084510	ESY49_g12647_DN2_SP0_c0.t1
OG0000106	Cg004G136130	ESY6_g49250_DN3_SP0_c0.t1
OG0000107	Cg005G182320, Cg004G136880, Cg004G136910, Cg004G136890, Cg004G136900, Cg004G136920	ESY4_g23035_DN3_SP0_c29.t1
OG0000108	Cg008G306430	ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1
OG0000108	Cg004G146470	ESY6_g50064_DN2_SP0_c0.t1, ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1
OG0000109	Cg006G209370, Cg002G061660	ESY7_g18543_DN2_SP0_c0.t1, ESY6_g49736_DN3_SP0_c0.t1, ESY4_g22476_DN1_SP0_c0.t1, ESY9_g44839_DN1_SP0_c0.t1, ESY1_g10304_DN2_SP0_c0.t1, ESY1_g9252_DN1_SP0_c0.t1, ESY16_g62074_DN3_SP0_c0.t1, ESY5_g1685_DN1_SP0_c0.t1
OG0000109	Cg008G318050, Cg006G211600, Cg003G088520, Cg003G088530	ESY2_g36671_DN2_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1
OG0000109	Cg006G218300, Cg006G206180	ESY4_g22477_DN2_SP0_c0.t1, ESY15_g64509_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY4_g26657_DN1_SP0_c0.t1
OG0000112	Cg008G314480, Cg008G314500, Cg008G314450, Cg008G314360, Cg008G314370, Cg008G314440, Cg008G314380, Cg008G314400, Cg008G314410, Cg008G314430, Cg008G314420, Cg008G314470, Cg008G314490, Cg008G314390, Cg008G314460	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000113	Cg007G253910	ESY5_g2214_DN1_SP0_c94.t1
OG0000117	Cg006G208080	ESY6_g47811_DN1_SP0_c0.t1
OG0000117	Cg006G206330, Cg006G206270, Cg016G334370, Cg003G095540	ESY9_g44313_DN1_SP0_c0.t1
OG0000118	Cg002G054790, Cg002G054780, Cg006G212290	ESY8_g60792_DN2_SP0_c0.t1, ESY20_g12840_DN2_SP0_c0.t1
OG0000119	Cg003G096910, Cg005G178360, Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680	ESY11_g53584_DN1_SP0_c0.t1, ESY3_g28899_DN2_SP0_c0.t1, ESY11_g53147_DN2_SP0_c3.t1, ESY4_g24612_DN2_SP0_c73.t1, ESY2_g38528_DN2_SP0_c0.t1, ESY19_g41722_DN3_SP0_c0.t1
OG0000120	Cg007G250010, Cg007G249930	ESY2_g33927_DN3_SP0_c0.t1, ESY7_g16136_DN3_SP0_c0.t1
OG0000120	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540	ESY9_g43372_DN2_SP0_c0.t1, ESY9_g43317_DN3_SP0_c0.t1
OG0000120	Cg008G285500	ESY7_g19067_DN2_SP0_c34.t1, ESY7_g19059_DN3_SP0_c0.t1
OG0000122	Cg003G103810	ESY3_g30972_DN2_SP0_c0.t1, ESY2_g33719_DN1_SP0_c0.t1
OG0000122	Cg003G103790	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1
OG0000124	Cg002G063920, Cg003G086460	ESY23_g219_DN2_SP0_c0.t1
OG0000125	Cg002G052860	ESY1_g11076_DN3_SP0_c0.t1, ESY3_g30943_DN3_SP0_c0.t1, ESY3_g30941_DN1_SP0_c0.t1, ESY1_g11079_DN3_SP0_c0.t1
OG0000125	Cg008G302630	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1
OG0000125	Cg006G238270	ESY5_g4488_DN3_SP0_c0.t1
OG0000125	Cg003G107610	ESY6_g48851_DN3_SP0_c0.t1
OG0000125	Cg005G178390	ESY8_g58880_DN2_SP0_c0.t1
OG0000126	Cg007G271870, Cg008G305740, Cg007G255150	ESY1_g9428_DN3_SP0_c0.t1
OG0000127	Cg008G282750	ESY7_g19564_DN3_SP0_c0.t1, ESY7_g19565_DN3_SP0_c0.t1
OG0000127	Cg007G262300, Cg007G263860	ESY7_g19561_DN3_SP0_c0.t1
OG0000127	Cg004G124780	ESY3_g30856_DN3_SP0_c0.t1, ESY3_g30854_DN3_SP0_c0.t1, ESY3_g30853_DN3_SP0_c0.t1, ESY8_g58391_DN3_SP0_c0.t1
OG0000127	Cg007G262280	ESY5_g3603_DN3_SP0_c0.t1, ESY5_g3611_DN3_SP0_c0.t1, ESY5_g3610_DN3_SP0_c0.t1
OG0000132	Cg001G031120, Cg001G029490	ESY12_g51236_DN3_SP0_c0.t1
OG0000132	Cg008G321270	ESY1_g9094_DN2_SP0_c18.t1
OG0000135	Cg004G138210	ESY7_g18225_DN1_SP0_c0.t1, ESY8_g59370_DN1_SP0_c0.t1, ESY3_g30908_DN2_SP0_c0.t1
OG0000136	Cg001G037110	ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19367_DN1_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1
OG0000138	Cg001G039000	ESY6_g49113_DN1_SP0_c0.t1
OG0000138	Cg008G324060	ESY1_g12082_DN3_SP0_c0.t1
OG0000138	Cg002G067580, Cg002G067290	ESY2_g35115_DN3_SP0_c0.t1
OG0000140	Cg002G060210, Cg003G106820, Cg003G106800, Cg003G106450, Cg003G106440, Cg003G106810, Cg008G324860, Cg003G096950	ESY1_g8242_DN3_SP0_c10.t1
OG0000142	Cg005G177670, Cg005G177660, Cg005G177630, Cg005G176030	ESY18_g63267_DN3_SP0_c0.t1
OG0000144	Cg005G182040	ESY11_g53520_DN3_SP0_c81.t1, ESY1_g6775_DN3_SP0_c50.t1, ESY2_g38412_DN3_SP0_c73.t1, ESY1_g5999_DN1_SP0_c100.t1, ESY3_g27477_DN3_SP0_c97.t1, ESY9_g45243_DN3_SP0_c0.t1, ESY13_g57735_DN2_SP0_c0.t1, ESY16_g62422_DN1_SP0_c0.t1, ESY43_g13372_DN2_SP0_c91.t1, ESY6_g46861_DN2_SP0_c63.t1, ESY16_g62423_DN1_SP0_c0.t1
OG0000146	Cg003G102630	ESY1_g10590_DN2_SP0_c0.t1, ESY6_g48021_DN2_SP0_c38.t1
OG0000147	Cg004G155250	ESY11_g54431_DN3_SP8_c0.t1
OG0000147	Cg001G010340	ESY4_g24538_DN3_SP0_c0.t1
OG0000147	Cg003G104960	ESY6_g48428_DN3_SP8_c0.t1
OG0000147	Cg007G280860	ESY2_g36615_DN3_SP8_c6.t1
OG0000147	Cg001G032760	ESY17_g39881_DN3_SP8_c0.t1
OG0000147	Cg005G189880	ESY8_g59421_DN3_SP7_c0.t1
OG0000149	Cg002G060900	ESY2_g37243_DN3_SP0_c7.t1
OG0000149	Cg003G107300, Cg003G107310	ESY6_g48779_DN3_SP0_c27.t1
OG0000149	Cg003G082350	ESY6_g48804_DN1_SP0_c0.t1
OG0000149	Cg003G107280	ESY6_g48773_DN3_SP0_c16.t1, ESY6_g48790_DN3_SP0_c15.t1
OG0000151	Cg003G100170	ESY6_g47353_DN3_SP8_c0.t1
OG0000151	Cg001G012710	ESY4_g23864_DN3_SP6_c0.t1
OG0000151	Cg004G124340	ESY3_g30785_DN3_SP8_c0.t1, ESY3_g30787_DN3_SP0_c0.t1
OG0000151	Cg004G152640	ESY11_g53876_DN3_SP8_c0.t1
OG0000151	Cg003G103430	ESY6_g48165_DN3_SP8_c0.t1
OG0000151	Cg007G246070	ESY2_g33324_DN3_SP8_c0.t1, ESY8_g60049_DN3_SP6_c0.t1
OG0000155	Cg001G013440	ESY16_g62270_DN3_SP0_c0.t1
OG0000155	Cg004G127780	ESY9_g43517_DN2_SP0_c81.t1
OG0000156	Cg005G160190, Cg002G045690, Cg005G160240, Cg005G160250	ESY7_g16345_DN2_SP0_c0.t1
OG0000158	Cg001G008080	ESY8_g59062_DN2_SP0_c0.t1
OG0000161	Cg003G109710, Cg003G109720, Cg003G109690, Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820	ESY6_g49428_DN3_SP0_c0.t1
OG0000161	Cg007G261690, Cg007G262070, Cg007G264010, Cg006G215310	ESY7_g19438_DN2_SP0_c0.t1, ESY7_g19441_DN3_SP0_c0.t1
OG0000161	Cg007G257190	ESY9_g43049_DN3_SP0_c0.t1, ESY9_g43047_DN3_SP0_c0.t1, ESY7_g18677_DN3_SP0_c0.t1, ESY2_g34340_DN2_SP0_c0.t1
OG0000162	Cg005G178220	ESY1_g12088_DN2_SP0_c6.t1, ESY1_g12083_DN3_SP0_c23.t1, ESY1_g12081_DN2_SP0_c0.t1, ESY1_g12076_DN1_SP0_c0.t1
OG0000164	Cg003G115400	ESY6_g50261_DN3_SP0_c0.t1, ESY8_g58138_DN1_SP0_c0.t1, ESY4_g25215_DN3_SP0_c0.t1, ESY6_g50264_DN2_SP0_c0.t1
OG0000164	Cg008G307470	ESY4_g24479_DN2_SP0_c49.t1
OG0000165	Cg009G325660	ESY7_g16424_DN1_SP0_c0.t1, ESY7_g18223_DN2_SP0_c0.t1, ESY6_g48389_DN1_SP0_c0.t1, ESY2_g34658_DN1_SP0_c7.t1
OG0000165	Cg001G034730, Cg004G147530	ESY2_g37015_DN1_SP0_c0.t1
OG0000167	Cg001G021130	ESY9_g43020_DN3_SP0_c14.t1
OG0000167	Cg001G021160	ESY9_g43010_DN3_SP0_c0.t1
OG0000168	Cg008G324810, Cg001G034720	ESY6_g48209_DN3_SP0_c0.t1
OG0000169	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840	ESY6_g49239_DN3_SP0_c66.t1
OG0000174	Cg006G205470, Cg006G207030, Cg009G325780, Cg006G205480	ESY6_g47659_DN3_SP0_c30.t1
OG0000175	Cg002G055540	ESY11_g54143_DN3_SP3_c0.t1
OG0000175	Cg006G225880	ESY5_g3986_DN3_SP8_c0.t1
OG0000175	Cg001G005230	ESY4_g25500_DN3_SP8_c0.t1
OG0000175	Cg001G004130	ESY4_g26116_DN3_SP8_c10.t1
OG0000176	Cg006G215620	ESY9_g42903_DN1_SP0_c0.t1, ESY3_g31914_DN1_SP0_c0.t1
OG0000177	Cg007G261230	ESY7_g16167_DN1_SP0_c0.t1, ESY2_g37100_DN3_SP0_c0.t1, ESY13_g57929_DN1_SP0_c0.t1, ESY15_g64236_DN1_SP0_c10.t1, ESY21_g55511_DN2_SP0_c0.t1
OG0000177	Cg007G253550, Cg005G182360, Cg007G250370, Cg006G214000	ESY9_g44026_DN2_SP0_c0.t1
