Orthogroup	Cardamine_glauca	Arabidopsis_lyrata_NCBI
OG0000018	Cg006G204250, Cg003G087690, Cg003G087660	XP_020867207.1, XP_020876809.1, XP_020889705.1, XP_020882641.1, XP_020889912.1, XP_020876177.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1, XP_020872555.1, XP_020886835.1, XP_020871456.1, XP_020872277.1
OG0000019	Cg008G308170	XP_020876758.1, XP_020881514.1, XP_020889800.1, XP_020869090.1, XP_020878589.1
OG0000021	Cg006G208570	XP_020881895.1
OG0000021	Cg002G061370, Cg003G103950	XP_020889841.1
OG0000023	Cg003G082360	XP_020878447.1, XP_020878438.1
OG0000023	Cg001G017610, Cg001G017600	XP_020873341.1
OG0000023	Cg003G082320	XP_002872592.1
OG0000023	Cg001G017770	XP_002872597.2
OG0000023	Cg003G082240	XP_020867640.1
OG0000023	Cg001G017750	XP_020873352.1
OG0000023	Cg001G017690	XP_002867727.1
OG0000025	Cg003G106740	XP_020874778.1
OG0000025	Cg001G005300	XP_020875061.1, XP_020867892.1, XP_020867900.1, XP_020871243.1, XP_020880825.1
OG0000025	Cg003G102540	XP_020877991.1
OG0000027	Cg006G214900, Cg006G214890, Cg006G214810, Cg006G214840, Cg006G214870, Cg006G214820, Cg006G214800	XP_020866666.1, XP_020866416.1, XP_002890932.2, XP_002890929.1, XP_002890930.2, XP_002890933.2, XP_002888578.2, XP_020883506.1, XP_020883507.1, XP_020866341.1, XP_002890934.2, XP_002890931.2
OG0000027	Cg006G213920	XP_002890926.2
OG0000027	Cg002G070600	XP_002893706.2, XP_002893654.2
OG0000027	Cg006G215350, Cg006G215360	XP_020888987.1
OG0000027	Cg002G048550, Cg002G048720	XP_002875716.2
OG0000028	Cg001G041970	XP_020874317.1
OG0000029	Cg008G311020, Cg003G107860, Cg007G253930, Cg005G177650	XP_020889577.1
OG0000031	Cg007G247230, Cg007G246930	XP_020865987.1, XP_020865810.1
OG0000031	Cg007G247710	XP_002886462.1
OG0000031	Cg001G042060	XP_002868609.1
OG0000031	Cg004G133170	XP_002883021.2
OG0000031	Cg007G245660	XP_020865918.1
OG0000033	Cg001G017780	XP_020873845.1, XP_020873368.1
OG0000033	Cg001G019620	XP_020873360.1
OG0000033	Cg001G019630	XP_002867849.1
OG0000033	Cg001G017790	XP_020873366.1
OG0000033	Cg003G079950, Cg003G094060	XP_002874837.2
OG0000034	Cg005G182400	XP_020873801.1, XP_020888683.1, XP_020872992.1, XP_020868390.1
OG0000034	Cg002G066600	XP_020885105.1, XP_020886112.1, XP_020882566.1, XP_020882254.1, XP_020866182.1, XP_020889362.1, XP_020882345.1, XP_020871070.1, XP_020888104.1, XP_020879246.1, XP_020888557.1
OG0000036	Cg004G147460, Cg007G255830, Cg004G147450, Cg007G253380	XP_020883504.1
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	XP_020868066.1
OG0000038	Cg005G159520	XP_020889818.1
OG0000038	Cg002G057430	XP_020880739.1
OG0000038	Cg003G103850	XP_020871436.1, XP_020881621.1
OG0000038	Cg008G320560	XP_002863596.2
OG0000038	Cg006G216960	XP_002867613.2
OG0000038	Cg002G052970	XP_002893374.1
OG0000039	Cg004G126960, Cg005G180100, Cg002G062370, Cg002G062340	XP_020866750.1
OG0000040	Cg006G217350	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1
OG0000040	Cg006G235040	XP_020869589.1
OG0000040	Cg004G137150	XP_020871677.1, XP_020888510.1, XP_020871692.1
OG0000040	Cg004G136640	XP_002885337.1
OG0000042	Cg006G198550	XP_020890764.1, XP_020881671.1
OG0000042	Cg003G083590	XP_020891386.1
OG0000042	Cg006G216080, Cg005G157480, Cg008G309010, Cg008G310650, Cg013G330010, Cg008G311300, Cg008G309470, Cg007G265550	XP_020888726.1
OG0000044	Cg001G029670	XP_020866165.1, XP_020887727.1, XP_020874078.1, XP_020867102.1, XP_020877167.1, XP_020871406.1, XP_020876919.1, XP_002883785.1, XP_020880655.1, XP_020882740.1, XP_002893924.2, XP_020870337.1, XP_020883604.1, XP_020876127.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1
OG0000045	Cg003G091810	XP_020890956.1, XP_020882438.1
OG0000045	Cg002G064420	XP_020870253.1
OG0000046	Cg001G022610	XP_020874378.1
OG0000046	Cg001G037990	XP_020872272.1, XP_020874589.1
OG0000046	Cg007G266760	XP_020865819.1
OG0000047	Cg004G156550	XP_020876559.1
OG0000048	Cg008G298370	XP_020877811.1
OG0000048	Cg008G298400, Cg008G298350	XP_020877813.1
OG0000052	Cg006G242960	XP_020868191.1
OG0000052	Cg005G163550	XP_002881850.2
OG0000052	Cg005G173390, Cg013G330370	XP_020884766.1, XP_020885237.1
OG0000052	Cg003G084890	XP_020883311.1
OG0000052	Cg005G163540	XP_020883307.1
OG0000052	Cg005G187360	XP_020883308.1, XP_020883310.1, XP_002881853.1
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	XP_020870695.1, XP_020879890.1, XP_020878851.1, XP_020881512.1, XP_020875242.1, XP_020874679.1, XP_020866756.1, XP_020876759.1, XP_020886057.1
OG0000053	Cg003G084420	XP_020875483.1, XP_020876486.1
OG0000055	Cg007G248480	XP_002886466.1, XP_020890707.1
OG0000055	Cg002G060080	XP_020880767.1
OG0000055	Cg007G248360	XP_002886488.1
OG0000055	Cg007G248410	XP_020889965.1
OG0000055	Cg006G223020	XP_020868319.1
OG0000055	Cg007G248540, Cg007G248530	XP_002888053.1
OG0000056	Cg007G262570, Cg007G263580	XP_020891624.1
OG0000057	Cg004G133200	XP_020889167.1
OG0000057	Cg004G133930	XP_020889148.1
OG0000062	Cg007G260660, Cg005G180090	XP_020866308.1, XP_020879729.1
OG0000064	Cg001G000750	XP_020872718.1
OG0000064	Cg005G172820	XP_020884728.1
OG0000064	Cg008G322800	XP_020887308.1
OG0000064	Cg008G325030	XP_002886268.1
OG0000066	Cg007G276160	XP_020891414.1, XP_020886001.1
OG0000066	Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880	XP_020877536.1, XP_020891413.1
OG0000066	Cg006G226080	XP_020869687.1
OG0000066	Cg003G113360	XP_002877046.2, XP_002873454.1, XP_020876762.1, XP_020867896.1, XP_002894648.1
OG0000067	Cg004G154470	XP_020889441.1, XP_020889396.1
OG0000067	Cg008G283860, Cg008G284100, Cg008G284110, Cg008G284020, Cg008G283610	XP_020871868.1, XP_002864221.1, XP_020868524.1, XP_020886482.1, XP_020877300.1, XP_002871038.2, XP_002883446.1, XP_002873094.1, XP_020879355.1, XP_020881372.1
OG0000067	Cg008G318950	XP_002871317.2
OG0000071	Cg005G184980	XP_020871478.1
OG0000072	Cg001G029810, Cg001G029820, Cg008G307970	XP_020866785.1
OG0000073	Cg004G150010	XP_002863747.1
OG0000073	Cg008G302430	XP_002884747.1, XP_020890887.1
OG0000073	Cg008G315120	XP_020879725.1
OG0000074	Cg006G222210	XP_020866884.1
OG0000074	Cg006G222280	XP_002893290.1
OG0000074	Cg006G222290	XP_002893291.1
OG0000074	Cg006G222160	XP_002893302.1
OG0000074	Cg006G222230	XP_020870137.1
OG0000074	Cg006G222190	XP_020866886.1
OG0000074	Cg006G222350	XP_020870031.1
OG0000074	Cg006G222340	XP_020869256.1
OG0000074	Cg006G222180	XP_020869910.1
OG0000075	Cg003G083750, Cg005G174740	XP_020883217.1
OG0000075	Cg008G291500, Cg008G290800, Cg008G290770	XP_002871416.1
OG0000076	Cg002G057890	XP_020882208.1
OG0000076	Cg007G272900	XP_002894621.2
OG0000076	Cg002G071650	XP_020882260.1
OG0000079	Cg004G118210	XP_020888699.1, XP_020887488.1
OG0000079	Cg002G047470	XP_020880521.1, XP_020880524.1, XP_020880494.1
OG0000079	Cg005G185620	XP_020884444.1
OG0000079	Cg001G038080	XP_020875151.1
OG0000079	Cg007G249140	XP_020880533.1
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	XP_020880546.1, XP_020880539.1
OG0000080	Cg005G158270	XP_020874913.1
OG0000080	Cg004G149910	XP_020870753.1, XP_020869081.1, XP_020868711.1
OG0000080	Cg004G150150	XP_020870702.1
OG0000080	Cg005G177050, Cg005G176650	XP_020885088.1
OG0000080	Cg005G177060	XP_020870001.1, XP_020874135.1, XP_020886448.1
OG0000081	Cg006G198910	XP_020866202.1
OG0000081	Cg008G298500	XP_002871805.1, XP_002873867.1
OG0000083	Cg007G271880, Cg008G322860	XP_020889939.1
OG0000083	Cg004G140430	XP_020886764.1
OG0000083	Cg004G140440	XP_020886770.1
OG0000083	Cg005G190480	XP_020888844.1, XP_020883479.1
OG0000083	Cg004G121150	XP_020888110.1
OG0000084	Cg005G189580	XP_020885162.1
OG0000084	Cg005G189500	XP_002880755.1, XP_002880625.1
OG0000087	Cg008G303510	XP_020879374.1
OG0000087	Cg005G177380	XP_020883550.1
OG0000087	Cg003G110470	XP_020871804.1
OG0000087	Cg002G060160	XP_020880680.1
OG0000087	Cg008G292710	XP_002873559.1
OG0000087	Cg005G171830	XP_002881356.1
OG0000087	Cg008G320640	XP_002863588.1
OG0000087	Cg001G020160	XP_020872103.1
OG0000087	Cg006G225960	XP_020866480.1
OG0000087	Cg007G276340	XP_020890671.1
OG0000088	Cg005G181240	XP_002880903.1
OG0000088	Cg002G059450	XP_020880709.1, XP_020886823.1
OG0000088	Cg002G059900	XP_002877545.1
OG0000088	Cg001G039390, Cg008G300920	XP_020878730.1
OG0000088	Cg003G090240, Cg003G095710	XP_002864053.1
OG0000089	Cg008G290150	XP_020876820.1
OG0000089	Cg004G127880	XP_020888275.1
OG0000089	Cg003G107020	XP_020871933.1, XP_020882238.1
OG0000090	Cg006G225800	XP_002887052.2, XP_020885789.1, XP_002890373.1
OG0000090	Cg008G317760, Cg011G329140	XP_002863814.1
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	XP_020891141.1
OG0000090	Cg001G005770	XP_002867118.1
OG0000090	Cg006G235770	XP_020867590.1
OG0000093	Cg002G047960	XP_020880586.1
OG0000093	Cg002G047920	XP_020880589.1
OG0000093	Cg002G047970	XP_020880584.1
OG0000093	Cg004G145440, Cg004G145260	XP_020888995.1, XP_002883691.1, XP_002883689.2, XP_002883690.2
OG0000093	Cg002G047940	XP_020880616.1
OG0000093	Cg002G048030	XP_002878203.1, XP_020880570.1
OG0000093	Cg002G048080	XP_020880581.1
OG0000096	Cg007G252880	XP_020891276.1
OG0000096	Cg002G073940	XP_020881188.1, XP_020881582.1
OG0000096	Cg002G073930	XP_020880678.1
OG0000097	Cg003G079780, Cg003G094240	XP_002874842.1
OG0000097	Cg003G079770, Cg003G094250	XP_002874852.1
OG0000097	Cg003G079730, Cg003G094300	XP_020876465.1
OG0000097	Cg003G094290, Cg003G079740	XP_002874844.1, XP_020877173.1, XP_020876443.1, XP_002874669.1, XP_002862572.1
OG0000098	Cg007G253040, Cg007G249450	XP_020890037.1
OG0000099	Cg007G246280, Cg007G246260, Cg007G246270	XP_002874589.2, XP_002886370.2, XP_020891031.1, XP_020887787.1
OG0000099	Cg007G249510	XP_002872472.2, XP_002886369.2, XP_020890360.1, XP_020890361.1, XP_020890692.1, XP_020886281.1, XP_020891030.1, XP_002886371.1, XP_020891397.1
OG0000104	Cg006G238510	XP_020870885.1
OG0000104	Cg005G178080	XP_020883008.1
OG0000104	Cg005G178040	XP_020885247.1
OG0000104	Cg006G200560	XP_020866497.1
OG0000104	Cg004G138340	XP_020886058.1
OG0000104	Cg006G197970	XP_020870269.1
OG0000104	Cg005G178050	XP_020882903.1
OG0000105	Cg003G084510	XP_020866184.1
OG0000106	Cg004G135900, Cg004G134980, Cg004G134990	XP_020889406.1
OG0000106	Cg004G136130	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020886742.1, XP_002883180.1, XP_002884070.2
OG0000106	Cg001G042030	XP_002885709.2, XP_002885705.1, XP_020888916.1, XP_002885707.1, XP_020866895.1
OG0000107	Cg004G136880	XP_002883226.2
OG0000107	Cg004G136910	XP_002883228.1
OG0000107	Cg004G136920	XP_020887918.1, XP_020887923.1
OG0000108	Cg008G306430	XP_002893476.1, XP_020869068.1
OG0000108	Cg004G146470	XP_020887764.1, XP_002883751.1, XP_002883752.1
OG0000108	Cg007G245680, Cg007G245670	XP_020865728.1
OG0000110	Cg002G047270	XP_020880525.1
OG0000110	Cg002G047280	XP_020880511.1
OG0000110	Cg002G047240	XP_020879609.1
OG0000110	Cg002G047300, Cg002G047310, Cg005G186820	XP_020880541.1, XP_020880527.1, XP_020880542.1
OG0000110	Cg007G269260	XP_020879745.1
OG0000111	Cg002G051630	XP_020880888.1
OG0000112	Cg008G314480, Cg008G314500, Cg008G314450, Cg008G314360, Cg008G314370, Cg008G314440, Cg008G314380, Cg008G314400, Cg008G314410, Cg008G314430, Cg008G314420, Cg008G314470, Cg008G314490, Cg008G314390, Cg008G314460	XP_020883490.1
OG0000114	Cg008G318090	XP_020879464.1, XP_020879441.1, XP_020875295.1, XP_002863119.2, XP_020875315.1, XP_002873501.1, XP_020887020.1
OG0000114	Cg008G320920	XP_020882189.1
OG0000118	Cg003G083280, Cg003G083300	XP_002876201.1
OG0000119	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680	XP_020866195.1, XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1
OG0000120	Cg007G250010, Cg007G249930	XP_002888121.2, XP_002886576.1
OG0000120	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540	XP_020871775.1, XP_020872669.1, XP_020877424.1, XP_020890208.1, XP_020877244.1, XP_020881008.1, XP_020890264.1
OG0000120	Cg008G285500	XP_020879779.1, XP_020879307.1
OG0000122	Cg003G103780	XP_020881529.1
OG0000122	Cg003G103810	XP_020868799.1
OG0000122	Cg003G103790	XP_020866960.1
OG0000123	Cg006G218510, Cg006G218490	XP_020866672.1, XP_002890763.1
OG0000123	Cg006G232300	XP_002877382.2
OG0000123	Cg001G014420	XP_020873611.1
OG0000124	Cg008G309160	XP_020881817.1, XP_020873128.1
OG0000124	Cg002G063920, Cg003G086460	XP_002878891.2
OG0000125	Cg002G052860	XP_020885803.1
OG0000125	Cg008G283340	XP_020887259.1, XP_002873061.1
OG0000125	Cg008G302630	XP_002874101.1
OG0000125	Cg006G238270	XP_020868538.1
OG0000125	Cg003G107610	XP_002864658.2, XP_020872447.1
OG0000125	Cg002G061230, Cg002G061270	XP_002877451.1
OG0000125	Cg005G178390	XP_002879182.1
OG0000126	Cg001G027760, Cg001G028690, Cg002G060390	XP_020871150.1
OG0000127	Cg007G262300, Cg007G263860	XP_002873028.1
OG0000127	Cg004G124780	XP_020888516.1, XP_020875867.1
OG0000127	Cg007G262280	XP_020869187.1, XP_020869185.1, XP_020869194.1, XP_020870924.1, XP_002862359.2, XP_020866032.1, XP_020869948.1
OG0000128	Cg001G020220	XP_020866238.1
OG0000132	Cg008G321270	XP_020887015.1
OG0000133	Cg005G185140	XP_020877519.1
OG0000135	Cg004G138210	XP_020866176.1, XP_020874182.1
OG0000136	Cg001G037100	XP_002868825.1
OG0000137	Cg001G041290	XP_020875630.1
OG0000138	Cg002G067580, Cg002G067290	XP_020882530.1, XP_002875524.1
OG0000140	Cg002G060210	XP_002875806.1, XP_002875805.1
OG0000140	Cg003G106820	XP_002864617.1
OG0000140	Cg003G106800	XP_002863036.1, XP_020869408.1
OG0000140	Cg003G106450	XP_020879394.1, XP_020870866.1, XP_020871535.1
OG0000140	Cg003G106440	XP_020869658.1
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	XP_020874639.1, XP_002864614.1
OG0000142	Cg005G177670	XP_020885353.1
OG0000142	Cg005G177660	XP_020885363.1
OG0000142	Cg005G177630	XP_020885473.1, XP_020885474.1
OG0000142	Cg005G176030	XP_002881123.1
OG0000144	Cg005G182040	XP_020866216.1, XP_020885819.1, XP_020891498.1, XP_020875848.1
OG0000146	Cg003G102640	XP_002866093.1
OG0000146	Cg003G102600	XP_020872008.1
OG0000146	Cg003G098470, Cg003G098480	XP_020871354.1
OG0000146	Cg003G102610	XP_002866092.1
OG0000147	Cg004G155250	XP_020888881.1
OG0000147	Cg001G010340	XP_020872380.1
OG0000147	Cg003G104960	XP_020870964.1
OG0000147	Cg007G280860	XP_020890865.1
OG0000147	Cg004G146670	XP_020889051.1
OG0000147	Cg005G189880	XP_020885195.1
OG0000149	Cg002G060900	XP_002875779.1
OG0000149	Cg002G060880	XP_002875778.1
OG0000149	Cg003G107300, Cg003G107310	XP_020871263.1
OG0000149	Cg003G107320	XP_020871256.1
OG0000149	Cg003G107330, Cg003G107340	XP_020871259.1
OG0000149	Cg002G060920	XP_002877482.1
OG0000150	Cg002G064460	XP_002875622.2
OG0000150	Cg001G004220	XP_020876007.1
OG0000150	Cg002G061890	XP_020881834.1
OG0000150	Cg002G061810	XP_020881748.1
OG0000150	Cg005G186200	XP_002878927.2, XP_020885607.1, XP_002878925.2
OG0000150	Cg002G061900	XP_020881729.1, XP_002877410.2, XP_020881747.1
OG0000151	Cg003G100170	XP_002865968.1
OG0000151	Cg001G012710	XP_002867477.1
OG0000151	Cg004G124340	XP_020888570.1
OG0000151	Cg004G152640	XP_020888018.1
OG0000151	Cg003G103430	XP_020891046.1
OG0000151	Cg007G246070	XP_020874812.1, XP_002887912.1
OG0000152	Cg002G069910, Cg006G216840, Cg002G069290, Cg005G182640, Cg004G145620, Cg002G063800, Cg003G096260, Cg001G034420, Cg007G260590, Cg004G146430, Cg002G067820, Cg005G182630, Cg007G251500, Cg003G082490, Cg008G288890, Cg007G251240, Cg006G195780	XP_020891448.1
OG0000154	Cg006G229860	XP_020867554.1
OG0000154	Cg004G128290	XP_002884912.1
OG0000154	Cg004G125060	XP_002884737.1
OG0000154	Cg008G283240	XP_002873056.1
OG0000154	Cg008G283230	XP_002873055.1
OG0000155	Cg001G013440	XP_020873274.1
OG0000155	Cg001G019660	XP_002869890.1
OG0000155	Cg001G019650	XP_002867852.2
OG0000155	Cg004G127780	XP_020888268.1
OG0000156	Cg002G045690	XP_002878356.2
OG0000156	Cg005G160240	XP_002882021.1
OG0000156	Cg005G160250	XP_002882020.2
OG0000157	Cg004G141270	XP_020888654.1, XP_002885586.1
OG0000158	Cg008G283250	XP_020873567.1, XP_020873647.1, XP_002869930.1
OG0000158	Cg001G008080	XP_020873114.1, XP_002868919.2
OG0000158	Cg005G184100	XP_020883421.1
OG0000161	Cg003G109710, Cg003G109720, Cg003G109690	XP_020871006.1, XP_002864761.1, XP_020867988.1
OG0000161	Cg003G098030	XP_020889363.1
OG0000161	Cg005G179900, Cg005G180000, Cg005G179820	XP_020885823.1, XP_002879145.1
OG0000161	Cg007G261320	XP_020890883.1
OG0000161	Cg008G312840, Cg007G257200	XP_020890885.1
OG0000161	Cg007G257190	XP_020890882.1
OG0000162	Cg008G314630	XP_020884667.1
OG0000162	Cg005G160860	XP_020884580.1
OG0000162	Cg005G178250	XP_020882964.1
OG0000164	Cg008G307470	XP_002886688.1, XP_020879009.1, XP_020879174.1, XP_002872307.1
OG0000167	Cg001G021130	XP_020872090.1
OG0000167	Cg001G021150	XP_020875194.1, XP_020875186.1
OG0000167	Cg001G021160	XP_002869981.2
OG0000167	Cg001G021140	XP_020865995.1, XP_020875268.1
OG0000169	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840	XP_020865750.1
OG0000171	Cg006G222370, Cg007G270890	XP_020890687.1, XP_020870037.1
OG0000171	Cg006G235360, Cg007G250530	XP_002892585.1
OG0000171	Cg008G294880	XP_002871626.1
OG0000172	Cg002G052400	XP_020889594.1, XP_020880950.1, XP_002876243.1
OG0000172	Cg007G250100, Cg007G250140	XP_020880953.1, XP_020865702.1
OG0000172	Cg002G060680, Cg002G060150	XP_020881910.1, XP_020880545.1
OG0000173	Cg003G091670	XP_020879516.1
OG0000175	Cg002G055540	XP_002876081.1
OG0000175	Cg007G276430	XP_002887616.1
OG0000175	Cg006G225880	XP_020870471.1
OG0000175	Cg001G005230	XP_002869113.1
OG0000175	Cg004G153920	XP_020885855.1
OG0000175	Cg001G004130	XP_020873047.1
OG0000176	Cg006G215620	XP_020866682.1
OG0000176	Cg006G215540	XP_020869575.1, XP_020870755.1
OG0000178	Cg002G069730, Cg002G066500	XP_020871723.1
OG0000180	Cg007G279310	XP_020871771.1, XP_020886063.1
OG0000180	Cg001G043140	XP_020880445.1
OG0000185	Cg003G088110	XP_020890722.1
OG0000189	Cg001G002260, Cg001G002250	XP_020872385.1, XP_020874945.1
OG0000190	Cg003G080590, Cg003G080580	XP_002874799.1
OG0000190	Cg006G210720	XP_002872696.1
OG0000190	Cg006G210710	XP_020877648.1
OG0000190	Cg003G087120, Cg003G087200	XP_002893865.1
OG0000191	Cg004G134260	XP_020865892.1
OG0000191	Cg004G153150, Cg004G153270	XP_020888360.1
OG0000192	Cg006G224780	XP_020869473.1
OG0000192	Cg006G224790	XP_002890432.1
OG0000192	Cg006G224760	XP_020869472.1
OG0000193	Cg004G138060	XP_002883624.2, XP_002883620.2, XP_020887739.1
OG0000193	Cg004G140730	XP_020889511.1
OG0000195	Cg005G182280	XP_002879035.1
OG0000195	Cg002G049520, Cg005G164920	XP_002879909.1
OG0000195	Cg001G036760, Cg007G265630	XP_002870564.1, XP_002888498.1
OG0000195	Cg002G064380, Cg008G301610	XP_020880310.1
OG0000196	Cg006G202640	XP_020870365.1, XP_020870362.1
OG0000196	Cg006G240790	XP_020870343.1
OG0000196	Cg006G202630	XP_020870363.1
OG0000196	Cg006G240780	XP_020870342.1
OG0000197	Cg006G199500	XP_020873039.1
OG0000197	Cg001G041590	XP_020873116.1, XP_020880783.1, XP_020880728.1, XP_020874450.1, XP_002870649.2, XP_020887839.1, XP_020873037.1, XP_020875518.1, XP_020874171.1, XP_020873172.1, XP_020873179.1
OG0000200	Cg006G240250	XP_002889578.1
OG0000200	Cg001G038160, Cg001G038180	XP_002868770.2, XP_002868769.1
OG0000200	Cg003G084880, Cg004G143040, Cg004G143090	XP_002883538.1, XP_002883579.1, XP_020887089.1
OG0000201	Cg004G139090	XP_020886141.1
OG0000201	Cg004G139080	XP_020885996.1
OG0000202	Cg004G133650	XP_002885190.1
OG0000202	Cg004G134030	XP_002885224.2
OG0000203	Cg004G120290	XP_020888830.1
OG0000203	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080	XP_020885974.1, XP_002884435.1, XP_002873533.1, XP_020879451.1, XP_020879478.1
OG0000204	Cg006G200670	XP_020881383.1
OG0000204	Cg004G138460	XP_002885438.2
OG0000205	Cg003G098990, Cg003G098960, Cg003G098910	XP_002894039.2
OG0000207	Cg007G279410	XP_020890452.1
OG0000209	Cg007G246040	XP_020890821.1
OG0000209	Cg001G042590	XP_020874287.1
OG0000210	Cg004G144520	XP_002883663.1, XP_020887605.1
OG0000210	Cg002G073630, Cg002G073600, Cg002G073620	XP_002875217.1
OG0000210	Cg005G173490	XP_002879439.1, XP_002879438.1
OG0000210	Cg005G173520	XP_002879435.1
OG0000213	Cg005G191730	XP_002878651.1, XP_020884047.1, XP_020883070.1
OG0000216	Cg001G018760	XP_020873572.1, XP_020873565.1
OG0000216	Cg001G018780	XP_020873528.1
OG0000217	Cg007G251420	XP_020890288.1
OG0000218	Cg006G230920	XP_002892838.1, XP_020869981.1
OG0000218	Cg006G230900, Cg006G230890	XP_020869449.1
OG0000218	Cg002G072370	XP_020882067.1
OG0000218	Cg002G075340	XP_002870338.1, XP_020881007.1, XP_002875203.1, XP_002875076.1
OG0000219	Cg007G266520, Cg007G266510	XP_002888551.1, XP_002888554.1, XP_002888553.1, XP_002887077.1, XP_020891385.1
OG0000219	Cg001G014450	XP_020878798.1, XP_020879126.1, XP_020876163.1, XP_020876791.1
OG0000219	Cg005G177180	XP_002881067.1, XP_002862634.2
OG0000219	Cg003G095240, Cg003G111060	XP_020877374.1, XP_002862247.1
OG0000220	Cg005G192620	XP_020882765.1, XP_020884619.1
OG0000220	Cg003G103090	XP_020882021.1
OG0000221	Cg005G182530	XP_020866913.1
OG0000224	Cg007G278180, Cg007G278170	XP_020891652.1
OG0000224	Cg007G278160	XP_002887689.1
OG0000224	Cg007G247160	XP_002887975.1, XP_002887974.1
OG0000226	Cg004G156690	XP_002862875.1
OG0000226	Cg003G113210	XP_002876919.1, XP_020869863.1
OG0000226	Cg004G128760	XP_020871016.1, XP_020867770.1
OG0000226	Cg006G218020	XP_002890779.1
OG0000228	Cg007G271320	XP_002888800.1
OG0000228	Cg008G307350	XP_002874413.1, XP_002872296.1
OG0000228	Cg007G271290	XP_020872592.1, XP_002888798.1
OG0000229	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330	XP_020874322.1, XP_020874320.1, XP_020877798.1, XP_002871796.1, XP_020874321.1
OG0000229	Cg007G261570	XP_020868387.1, XP_002891651.2, XP_002891717.1
OG0000230	Cg008G323410	XP_002887614.1
OG0000230	Cg007G276410	XP_020891373.1
OG0000231	Cg007G260410	XP_020872464.1
OG0000232	Cg004G121460	XP_020886550.1
OG0000232	Cg004G149470, Cg004G149480, Cg004G150500, Cg004G149520	XP_020888528.1
OG0000232	Cg004G149550	XP_020890178.1
OG0000233	Cg005G186460	XP_020884701.1
OG0000234	Cg002G051400	XP_020881605.1
OG0000234	Cg002G051410	XP_002878017.1
OG0000234	Cg002G051420	XP_002878016.1
OG0000234	Cg005G166930	XP_002881649.1
OG0000234	Cg008G293710	XP_002871574.1
OG0000235	Cg006G213560	XP_020866445.1, XP_020869780.1, XP_020869845.1
