Orthogroup	Cardamine_glauca	Arabidopsis_lyrata_Rawat
OG0000038	Cg002G057430	nbis-gene-1329
OG0000038	Cg003G103850	AL8G26900
OG0000038	Cg008G320560	AL8G15660
OG0000038	Cg006G216960	AL7G27750
OG0000038	Cg002G052970	AL1G38680
OG0000039	Cg005G180100, Cg002G062370, Cg002G062340	nbis-gene-244
OG0000040	Cg006G217350	AL1G39630, AL1G35700, AL1G40160, AL1G40170, AL1G40180
OG0000040	Cg001G030090	AL3G27510
OG0000040	Cg006G235040	AL1G21870
OG0000040	Cg004G137150	AL275U10020, AL3G33690, AL3G33320, AL3G33700
OG0000040	Cg004G136640	AL3G33370
OG0000042	Cg006G198550	AL677U10010
OG0000042	Cg003G083590	AL2G11290, AL1G59470
OG0000042	Cg002G059980	AL1G40050, AL8G11480
OG0000042	Cg008G311300, Cg008G309470	AL3G43050
OG0000042	Cg008G310640, Cg008G309000	AL364U10020
OG0000044	Cg001G029670	AL1G53510, AL3G40680, AL7G41120, AL1G60090, AL6G41380, AL3G43290, AL8G21960, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL6G43460, AL1G51180, AL4G17640, AL6G40760, AL3G44690, AL4G20190
OG0000045	Cg003G091810	AL2G19770, AL6G36560, AL5G21210, AL1G41870
OG0000045	Cg002G064420	AL1G56200
OG0000046	Cg001G022610	nbis-gene-1820
OG0000046	Cg001G037990	AL7G52530, AL7G52540
OG0000046	Cg007G266760	AL2G25210
OG0000047	Cg004G156550	AL1G31430
OG0000047	Cg006G206340	AL5G32340
OG0000048	Cg008G298400, Cg008G298350	AL6G29190
OG0000049	Cg007G255960	AL1G48510
OG0000049	Cg006G232250	AL6G35400, AL3G41190, AL5G28630, AL1G24610, AL1G18250, AL6G32660, AL4G11230
OG0000052	Cg006G242960	AL1G20340
OG0000052	Cg005G163550	AL4G40940
OG0000052	Cg005G173390, Cg013G330370	AL4G40920, AL4G40910, AL4G40930
OG0000052	Cg003G084890	AL4G41020
OG0000052	Cg005G187360	AL4G41010, AL4G41000
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	AL8G40920, AL2G10380, AL1G59190, AL7G34190
OG0000053	Cg003G084420	AL5G34630
OG0000054	Cg005G189800, Cg005G189790	AL5G18550, nbis-gene-807
OG0000055	Cg007G248480	AL2G13390, AL2G13990
OG0000055	Cg002G060080	AL5G26170
OG0000055	Cg007G248550	AL2G14100
OG0000055	Cg007G248360	AL2G13770
OG0000055	Cg007G248410	AL2G13840
OG0000055	Cg006G223020	AL1G66000
OG0000055	Cg007G248540, Cg007G248530	AL2G14070
OG0000057	Cg004G133200	AL3G29670
OG0000057	Cg004G133930	AL3G30470
OG0000062	Cg007G260660, Cg005G180090	nbis-gene-221
OG0000063	Cg005G178340	AL5G25220
OG0000063	Cg002G060930	AL781U10020
OG0000063	Cg003G107350	AL1G17860, AL5G24600
OG0000064	Cg001G000750	AL7G10840
OG0000064	Cg005G172820	AL4G29500
OG0000064	Cg008G322800	AL8G13050
OG0000064	Cg008G325030	AL3G53220
OG0000066	Cg007G276160	AL2G35580, AL3G43470
OG0000066	Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880	AL2G35590
OG0000066	Cg001G001890	AL6G21580
OG0000066	Cg006G226080	AL1G32620
OG0000066	Cg006G236870, Cg008G290840	AL6G20900
OG0000066	Cg003G113360	AL5G16700
OG0000067	Cg004G154470	AL3G20250, AL3G20240, AL3G20260
OG0000067	Cg008G283860, Cg008G284100, Cg008G284110, Cg008G284020, Cg008G283610	AL8G28020, AL8G27750, AL1G48230, AL3G11550, AL1G25630, AL6G12910, AL3G38420, AL6G12880, AL6G12890, AL6G12860, AL6G12550, AL5G24850
OG0000067	Cg008G318950	AL6G18740
OG0000070	Cg002G063700	AL5G12380, AL5G12270, AL2G23610
OG0000071	Cg006G240460	AL4G15570
OG0000071	Cg008G307480, Cg003G105610	AL6G40690
OG0000073	Cg004G150010	AL8G18470
OG0000073	Cg008G302430	AL3G20910, AL2G19370
OG0000073	Cg008G315120	AL5G18720
OG0000074	Cg006G222210	AL1G37410
OG0000074	Cg006G222280	AL1G37330
OG0000074	Cg006G222290	AL1G37340
OG0000074	Cg006G222160	AL1G37440
OG0000074	Cg006G222230	AL1G37370
OG0000074	Cg006G222200	AL1G37380
OG0000074	Cg006G222240, Cg006G222220	AL1G37360
OG0000074	Cg006G222190	AL1G37420
OG0000074	Cg006G222350	AL1G37270
OG0000074	Cg006G222340	AL1G37280
OG0000074	Cg006G222180	AL1G37430
OG0000075	Cg003G083750, Cg005G174740	AL4G30220
OG0000075	Cg008G291500, Cg008G290800, Cg008G290770	AL6G20830
OG0000075	Cg001G033430	AL1G22320
OG0000075	Cg008G323300	AL5G25310
OG0000076	Cg002G057890	AL5G28950
OG0000076	Cg007G272900	AL1G65610
OG0000079	Cg004G118210	AL3G12550, AL3G12540
OG0000079	Cg002G047470	AL5G40790, AL5G40730, AL5G40740
OG0000079	Cg005G185620	AL4G18900, AL4G18910
OG0000079	Cg001G038080	AL7G52220
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	AL5G40610, AL5G40780
OG0000080	Cg005G158270	AL7G46170
OG0000080	Cg004G149910	AL1G54370, AL1G25040, AL1G25030
OG0000080	Cg004G150150	AL1G53180
OG0000080	Cg005G177060	AL1G35400, AL7G44920, AL3G24690
OG0000081	Cg006G198910	nbis-gene-277
OG0000081	Cg008G298360	AL6G29160
OG0000081	Cg008G298500	AL6G29360, AL6G29140
OG0000083	Cg005G178780	AL57U10030
OG0000083	Cg007G271880, Cg008G322860	AL2G31050
OG0000083	Cg005G190500	AL4G14280
OG0000083	Cg004G140440	AL3G37560
OG0000083	Cg005G190480	AL3G15890
OG0000083	Cg004G121150	AL3G15860
OG0000084	Cg005G189580	AL4G15550
OG0000084	Cg005G189500	AL4G18510, AL4G15660
OG0000087	Cg008G303510	AL6G35120
OG0000087	Cg005G177380	AL4G24260
OG0000087	Cg003G110470	AL8G39670
OG0000087	Cg002G060160	AL5G25960
OG0000087	Cg008G292710	AL6G23060
OG0000087	Cg005G171830	AL4G30750
OG0000087	Cg008G320640	AL8G15560
OG0000087	Cg001G020160	AL7G33260
OG0000087	Cg006G225960	AL1G32740
OG0000087	Cg007G276340	AL2G35770
OG0000088	Cg002G059450	AL5G26870, AL3G46650
OG0000088	Cg002G059900	AL5G26360
OG0000088	Cg001G039390, Cg008G300920	AL6G32010
OG0000088	Cg003G090240, Cg003G095710	AL8G24400
OG0000089	Cg008G290150	AL6G20220
OG0000089	Cg004G135460	AL3G32160, AL1G56110
OG0000089	Cg004G127880	AL3G23740
OG0000089	Cg005G168860	AL5G34730, AL4G34130, AL4G34190
OG0000089	Cg003G107020	AL5G25390
OG0000090	Cg006G225800	AL2G24470, AL4G11370, AL1G32980
OG0000090	Cg008G317760, Cg011G329140	AL8G19640
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	AL2G35960
OG0000090	Cg001G005770	AL7G16760
OG0000090	Cg006G235770	AL1G20940
OG0000093	Cg002G047960	AL5G40110
OG0000093	Cg002G047920	AL5G40140
OG0000093	Cg002G047970	AL5G40100
OG0000093	Cg004G145440, Cg004G145260	AL3G42900, AL3G42870, AL3G42880
OG0000093	Cg002G047940	AL5G40120
OG0000093	Cg002G048030	AL5G39980, AL5G40000
OG0000093	Cg002G048080	AL5G39910
OG0000096	Cg002G073940	AL5G12940, AL5G12970
OG0000096	Cg002G073930	AL5G12960
OG0000096	Cg006G236390	AL1G20220
OG0000097	Cg003G079780, Cg003G094240	AL6G49050
OG0000097	Cg003G079770, Cg003G094250	AL6G49140
OG0000097	Cg001G029830, Cg001G029870	AL9U10540
OG0000097	Cg003G079730, Cg003G094300	AL6G49150
OG0000097	Cg003G094290, Cg003G079740	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010
OG0000098	Cg007G253040, Cg007G249450	AL2G15160
OG0000099	Cg007G246280, Cg007G246260, Cg007G246270	AL6G43420, nbis-gene-368, AL3G46110, AL2G13760
OG0000099	Cg007G249510	AL2G11040, AL6G43560, nbis-gene-367, AL2G11960, AL3G46090, nbis-gene-369, AL2G11030
OG0000102	Cg001G040220	AL8G13680
OG0000104	Cg006G238510	AL1G17740
OG0000104	Cg005G177920	AL4G23570
OG0000104	Cg006G200560	AL1G55940
OG0000104	Cg006G197970	AL1G59870
OG0000104	Cg005G178070	AL4G23520
OG0000105	Cg003G084510	AL1G53250, AL1G56270
OG0000106	Cg004G135900, Cg004G134980, Cg004G134990	AL3G31580
OG0000106	Cg004G136130	AL3G31600, AL3G31620, AL3G31610, AL3G32310, AL3G32820, AL3G50560
OG0000106	Cg001G042030	AL3G41350, AL3G41320, AL3G41330, AL3G41340
OG0000107	Cg004G136880	AL3G33760
OG0000107	Cg004G136910	AL3G33780
OG0000107	Cg004G136920	AL3G33800, AL3G33790
OG0000108	Cg008G306430	AL1G41020, AL1G41010, AL1G41000, AL1G40990
OG0000108	Cg004G146470	AL3G44060, AL3G44020, AL3G44030, AL3G43980
OG0000108	Cg007G245680, Cg007G245670	AL2G26330
OG0000110	Cg002G047270	AL5G41090
OG0000110	Cg002G047280	AL5G41080
OG0000110	Cg002G047300, Cg002G047310, Cg005G186820	AL5G41040
OG0000110	Cg007G269260	AL5G41150
OG0000111	Cg002G051630	AL5G36020
OG0000114	Cg008G318090	AL8G17970, AL8G17980, AL20U10050, AL20U10060, AL20U10040, AL20U10020, AL6G21880, AL3G14170
OG0000114	Cg008G320920	AL8G15310
OG0000117	Cg006G206330, Cg006G206270, Cg016G334370, Cg003G095540	AL8G20470
OG0000118	Cg002G054790, Cg002G054780, Cg006G212290	AL6G41680, AL6G41670
OG0000118	Cg003G083280, Cg003G083300	AL5G34240, AL3G50380
OG0000119	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470
OG0000120	Cg007G250010, Cg007G249930	nbis-gene-408, AL2G15570
OG0000120	Cg008G285500	nbis-gene-1458
OG0000123	Cg006G218510, Cg006G218490	AL1G41710, AL1G41700
OG0000123	Cg001G014420	AL7G26670
OG0000124	Cg008G309160	AL3G31830, AL1G41300
OG0000124	Cg002G063920, Cg003G086460	AL3G43990
OG0000125	Cg008G283340	AL3G20660, AL6G11840
OG0000125	Cg008G302630	AL6G34020
OG0000125	Cg006G238270	AL1G18070
OG0000125	Cg003G107610	AL189U10030, AL8G36480
OG0000125	Cg002G061230, Cg002G061270	AL5G24750
OG0000125	Cg005G178390	AL4G23250
OG0000127	Cg007G262300, Cg007G263860	AL6G11080
OG0000127	Cg004G124780	AL3G20190, AL9U10500
OG0000127	Cg007G262280	AL1G22150, AL1G22140, AL1G22160, AL1G17320, AL638U10010
OG0000128	Cg001G020220	AL7G53080
OG0000132	Cg008G321270	AL8G11070
OG0000133	Cg005G185140, Cg007G269340, Cg003G084500, Cg005G185150, Cg004G141220	AL8G19570, AL25U10030
OG0000136	Cg001G037100	AL7G53090
OG0000138	Cg002G067580, Cg002G067290	AL5G19700, AL5G19780
OG0000140	Cg002G060210	AL5G25860, AL5G25850
OG0000140	Cg003G106820	AL8G35600
OG0000140	Cg003G106800	AL48U10040, AL8G35560
OG0000140	Cg003G106450	nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178
OG0000140	Cg003G106440	nbis-gene-2175
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	AL48U10010, nbis-gene-2180
OG0000142	Cg005G177670	AL4G23900
OG0000142	Cg005G177660	AL4G23890
OG0000142	Cg005G176030	AL4G25560
OG0000144	Cg005G182040	AL9U10360, AL2G23260
OG0000146	Cg003G102640	AL8G30930
OG0000146	Cg003G102600	AL8G30890
OG0000146	Cg003G102610	AL8G30900
OG0000147	Cg004G155250	AL3G52950
OG0000147	Cg001G010340	AL7G22000
OG0000147	Cg003G104960	AL8G33330
OG0000147	Cg007G280860	AL2G40780
OG0000147	Cg004G146670	AL3G44180
OG0000147	Cg005G189880	AL4G15040
OG0000149	Cg002G060900	AL5G25250
OG0000149	Cg002G060880	AL5G25240
OG0000149	Cg003G107300, Cg003G107310	AL8G36180
OG0000149	Cg003G107320	AL8G36200
OG0000149	Cg002G060920	AL5G25230
OG0000150	Cg002G064460	AL5G21720, AL5G21730
OG0000150	Cg001G004220	AL6G15230
OG0000150	Cg002G061810	AL5G24190
OG0000150	Cg005G186200	AL4G18370, AL4G18360, AL4G18340
OG0000150	Cg002G061900	AL5G24100, AL5G24030
OG0000151	Cg003G100170	AL8G28000
OG0000151	Cg001G012710	AL7G24680
OG0000151	Cg004G124340	AL3G19690
OG0000151	Cg004G152640	AL3G49460
OG0000151	Cg003G103430	AL8G31780
OG0000151	Cg007G246070	AL2G10770, AL7G47650
OG0000154	Cg006G229860	AL1G28200
OG0000154	Cg004G128290	AL3G24230
OG0000154	Cg004G125060	AL3G20620
OG0000154	Cg008G283240	AL6G11740
OG0000154	Cg008G283230	AL6G11730
OG0000155	Cg001G013440	AL7G25530
OG0000155	Cg001G019660	AL7G32730
OG0000155	Cg001G019650	AL7G32710
OG0000155	Cg004G127780	AL3G23610
OG0000156	Cg002G045690	AL5G43250
OG0000156	Cg005G160240	AL4G44740
OG0000156	Cg005G160250	AL4G44730
OG0000157	Cg004G141270	AL3G38550, AL3G38540
OG0000158	Cg008G283250	AL7G32560, AL7G30180, AL7G33450
OG0000158	Cg001G008080	AL7G14590, AL7G11730
OG0000158	Cg005G184100	AL6G25220, AL4G12250
OG0000160	Cg007G264990, Cg006G202970	AL983U10010, AL8G34940, AL7G45030, AL1G48950, AL8G31450, AL236U10040, AL9U11830, AL5G15500, AL6G45600, AL1G34760, AL8G18020, AL6G41190, AL5G13730
OG0000160	Cg003G091850	AL5G16300
OG0000161	Cg003G109710, Cg003G109720, Cg003G109690	AL8G38700, AL8G38710, AL1G60690
OG0000161	Cg003G098030	AL8G25830
OG0000161	Cg005G179900, Cg005G180000, Cg005G179820	AL4G22760, AL4G22720
OG0000161	Cg007G261320	AL2G20180
OG0000161	Cg008G312840, Cg007G257200	AL2G19840
OG0000161	Cg007G257190	AL2G19870, nbis-gene-452
OG0000162	Cg008G314630	AL4G20750
OG0000162	Cg005G160860	AL4G44040
OG0000162	Cg005G178250	AL4G23070
OG0000164	Cg008G307470	AL2G17690, AL2G17720, nbis-gene-421, AL6G40440, AL6G40430, AL6G40420
OG0000165	Cg009G325660	AL481U10020
OG0000167	Cg001G021130	AL7G34470
OG0000167	Cg001G021150	AL7G34500, AL7G34510
OG0000167	Cg001G021160	AL7G34530
OG0000167	Cg001G021140	AL7G34490
OG0000168	Cg008G324810	AL2G17030, AL4G12920
OG0000168	Cg001G034720	AL4G12860
OG0000171	Cg002G044340	AL2G23510
OG0000171	Cg005G158520	AL5G45050
OG0000171	Cg006G222370, Cg007G270890	AL1G37260
OG0000171	Cg006G235360	AL1G21480
OG0000171	Cg008G294880	AL6G25440
OG0000172	Cg002G052400	AL5G45250, AL2G23440, AL5G35200
OG0000172	Cg002G060680, Cg002G060150	AL5G40850
OG0000173	Cg003G091670	AL3G40330, AL3G43310, AL8G24810
OG0000174	Cg009G325780, Cg006G205480	AL6G41080
OG0000175	Cg002G055540	AL5G31720
OG0000175	Cg007G276430	AL2G35850
OG0000175	Cg006G225880	AL1G32900
OG0000175	Cg001G005230	AL7G16200
OG0000175	Cg004G153920	AL3G50830
OG0000175	Cg001G004130	AL7G15090
OG0000176	Cg006G215620	AL1G44860
OG0000176	Cg006G215540	AL1G44920, AL1G44890
OG0000178	Cg014G331270	AL4G22400
OG0000178	Cg002G069730, Cg002G066500	AL8G19930, AL1G50370, AL4G18980, AL2G18720, AL2G30330, AL1G50770
OG0000180	Cg007G279310	AL8G35170, AL3G40410
OG0000180	Cg001G043140	AL5G45620
OG0000181	Cg004G121590	AL3G48740
OG0000181	Cg005G191690	AL1G53480
OG0000184	Cg006G215550	AL3G43630, AL5G24090
OG0000185	Cg003G088110	AL6G10840
OG0000185	Cg003G098770	AL8G35610, AL2G32620, AL1G29430
OG0000185	Cg006G198800	AL5G19190
OG0000187	Cg001G008920, Cg001G008910	nbis-gene-1736
OG0000189	Cg001G007520	AL7G13810
OG0000189	Cg001G002260, Cg001G002250	AL7G13600, AL7G12790
OG0000190	Cg003G080590, Cg003G080580	AL6G47960
OG0000190	Cg006G210720	AL6G47980
OG0000190	Cg006G210710	AL6G47970
OG0000190	Cg003G087120, Cg003G087200	AL1G49990
OG0000191	Cg005G168430	nbis-gene-1015
OG0000191	Cg004G134260	AL2G24870
OG0000191	Cg004G153150, Cg004G153270	nbis-gene-889
OG0000192	Cg006G224780	AL1G34360
OG0000192	Cg006G224790	AL1G34310
OG0000192	Cg006G224760	AL1G34340
OG0000193	Cg004G138060	AL3G41660, AL3G41620, nbis-gene-792, AL3G41610
OG0000193	Cg004G140730	nbis-gene-789
OG0000195	Cg005G182280	AL4G20560
OG0000195	Cg002G049520, Cg005G164920	AL5G38180
OG0000195	Cg001G036760	AL7G46650
OG0000195	Cg007G265630	AL2G24200
OG0000195	Cg002G064380, Cg008G301610	AL5G21780
OG0000196	Cg006G202640	AL1G44080, AL1G44060
OG0000196	Cg006G240790	AL1G15390
OG0000196	Cg006G202630	AL1G44070
OG0000196	Cg006G240780	AL1G15400
OG0000197	Cg001G041590	AL7G46090, AL5G28350, AL5G28190, AL7G47660, AL7G48270, AL3G52780, AL7G49150, AL7G48800, AL7G19770, AL7G49950, AL7G49700, AL7G49680, AL7G49110
OG0000200	Cg006G240250	AL1G15890
OG0000200	Cg001G038160, Cg001G038180	AL7G52080, AL7G52070
OG0000200	Cg003G084880, Cg004G143040, Cg004G143090	AL3G40220, AL3G40940, AL3G40610
OG0000201	Cg004G139090	AL3G36210
OG0000201	Cg004G139080	AL3G36200
OG0000202	Cg004G133650	AL3G30180
OG0000202	Cg004G134030	AL3G30850
OG0000203	Cg004G120290	AL3G14700
OG0000203	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080	nbis-gene-688, AL3G14200, AL6G22600, AL6G22480, AL6G22490
OG0000204	Cg006G200670	AL5G33670
OG0000204	Cg004G138460	AL3G35490
OG0000205	Cg003G098990, Cg003G098960, Cg003G098910	AL1G53500
OG0000207	Cg007G279410	AL2G39130
OG0000209	Cg007G246040	AL2G10720
OG0000209	Cg001G042590	AL7G47630
OG0000210	Cg004G144520	AL3G42400, AL3G42420
OG0000210	Cg002G073630, Cg002G073600, Cg002G073620	AL5G13350
OG0000210	Cg005G173490	AL4G28810, AL4G28800
OG0000210	Cg005G173520	nbis-gene-1071
OG0000213	Cg005G191770	AL4G12610
OG0000213	Cg005G191730	AL4G12650, AL4G12640, AL4G12670
OG0000214	Cg003G078170	AL6G50960
OG0000216	Cg001G018790	nbis-gene-292
OG0000216	Cg001G018760	AL7G31500, AL7G30780, AL7G31520
OG0000216	Cg001G018780	nbis-gene-1800
OG0000217	Cg007G251420	AL2G17250
OG0000218	Cg006G230920	AL1G26980, AL1G27000
OG0000218	Cg006G230900, Cg006G230890	AL1G27010
OG0000218	Cg002G072370	AL5G15240
OG0000218	Cg002G075340	AL7G42370, AL5G10550, AL5G13150, AL5G10520
OG0000219	Cg007G266520, Cg007G266510	AL2G25070, AL2G25100
OG0000219	Cg001G014450	nbis-gene-1615
OG0000219	Cg005G177180	nbis-gene-1037, nbis-gene-362
OG0000219	Cg003G095240, Cg003G111060	AL835U10030
OG0000220	Cg003G103090	AL77U10060, AL5G15330
OG0000221	Cg005G182530	AL429U10020, AL7G52630, AL3G46320, AL299U10020
OG0000224	Cg007G278180, Cg007G278170	AL2G37740
OG0000224	Cg007G278160	AL2G37720
OG0000224	Cg001G008870, Cg001G017640	AL7G20350
OG0000224	Cg007G247160	AL2G12370, AL2G12360
OG0000226	Cg004G156690	AL108U10030
OG0000226	Cg003G113210	AL5G14060, AL8G40780
OG0000226	Cg004G128760	AL1G41350, AL1G37710, AL1G37720, AL1G37670
OG0000226	Cg006G218020	AL1G42110
OG0000228	Cg007G271320	AL2G30310
OG0000228	Cg008G307350	AL6G40330, AL6G40180
OG0000229	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330	AL7G22490, AL7G22500, AL6G29250, AL6G29230, AL7G22480
OG0000229	Cg007G261570	AL1G54760, AL1G59580, AL1G61110
OG0000230	Cg008G323410	AL2G35830
OG0000230	Cg007G276410	AL2G35840
OG0000231	Cg007G260410	AL7G43870
OG0000232	Cg004G121460	AL3G16300
OG0000233	Cg005G186460	AL8G34590
OG0000233	Cg006G211480	AL3G45630
OG0000234	Cg002G051400	AL5G36230
OG0000234	Cg002G051410	AL5G36220
OG0000234	Cg002G051420	AL5G36210
OG0000234	Cg005G166930	AL4G36690
OG0000234	Cg008G293710	AL6G24190
OG0000235	Cg006G213560	AL1G46640, AL1G46660, AL1G46620
OG0000235	Cg006G202900, Cg006G202870, Cg006G202910, Cg006G202830	AL1G53610
OG0000235	Cg004G133010	AL3G29470
OG0000236	Cg001G028350, Cg004G141830, Cg004G144380, Cg004G139210	AL2G23070
OG0000236	Cg007G270040	AL2G28820
OG0000238	Cg002G071780	AL2G18390
OG0000239	Cg013G330340, Cg036G336860	AL4G16860
OG0000240	Cg007G263700	AL5G20810, AL1G65810
OG0000240	Cg001G033750	AL4G17660, AL4G17920, AL4G17900
OG0000242	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670, Cg004G150020, Cg004G150680	AL3G47130
OG0000242	Cg006G231900	AL1G25950
OG0000242	Cg006G231890	nbis-gene-83
OG0000242	Cg006G231910	AL1G25930
OG0000244	Cg001G019150	AL7G32050
OG0000244	Cg003G093660, Cg003G080320	AL6G48290
OG0000244	Cg001G019160	AL7G32060
OG0000248	Cg003G081350	AL6G47240
OG0000248	Cg003G081360	AL6G47230
OG0000248	Cg003G081340	AL6G43900, AL6G44750
OG0000248	Cg007G252860	AL2G18850
OG0000249	Cg005G169790	AL4G32990
OG0000250	Cg007G270460	AL5G35460
OG0000250	Cg007G270470	AL2G29310
OG0000250	Cg007G270580	nbis-gene-575
OG0000254	Cg004G134710	AL4G15410, AL4G21500, AL1G67340, AL3G31320, AL3G41860
OG0000256	Cg005G165640	AL4G38290
OG0000257	Cg007G247040, Cg007G247060	AL3G46890, nbis-gene-851, AL6G36930
OG0000257	Cg006G198470, Cg006G198480	nbis-gene-282, AL1G59050, nbis-gene-269
OG0000257	Cg001G035030	nbis-gene-1899
OG0000257	Cg004G126080	AL3G21820
OG0000258	Cg002G072350	AL5G15010
OG0000258	Cg002G072340	AL5G15050, AL5G15060, AL5G15070
OG0000258	Cg003G104860	AL8G33230
OG0000258	Cg002G072320	AL5G15090
OG0000260	Cg003G083550	AL6G44610
OG0000264	Cg003G079930, Cg003G094080, Cg003G094890, Cg003G079050	AL6G48830
OG0000264	Cg003G094090, Cg003G079920, Cg003G094100, Cg003G079900, Cg003G094120, Cg003G094110, Cg003G079910, Cg003G079890	AL6G49330, AL6G48870
OG0000264	Cg003G079060, Cg003G094880	AL6G49970, AL6G49560
OG0000266	Cg003G098940, Cg003G099000	AL5G43310, AL5G43300
OG0000267	Cg005G177130, Cg005G177100, Cg005G177110, Cg005G177030, Cg005G177010, Cg005G177140, Cg005G177090, Cg005G177120	AL4G24330, AL4G24610, AL4G24350, AL4G24620, AL4G24340, AL4G24320, AL4G24590, AL4G24560
