Orthogroup	Cardamine_glauca	Erysimum_linariifolium
OG0000071	Cg008G307480	El002G123480, El003G185050
OG0000072	Cg008G307960, Cg001G029810, Cg001G029820, Cg008G307970	El005G263040, El005G262970, El004G210970, El005G264060
OG0000074	Cg006G222170, Cg006G222270, Cg006G222260, Cg006G222250	El002G108930, El002G137010, El002G108940
OG0000074	Cg006G222210	El002G109000, El002G108980
OG0000074	Cg006G222280	El002G108900
OG0000074	Cg006G222290	El002G108910
OG0000074	Cg006G222160	El002G109050
OG0000074	Cg006G222230	El002G108960
OG0000074	Cg006G222200, Cg006G222240, Cg006G222220	El002G108950
OG0000074	Cg006G222190	El002G109030
OG0000074	Cg006G222350	El002G108840
OG0000074	Cg006G222340	El002G108850
OG0000074	Cg006G222180	El002G109040
OG0000075	Cg001G033430, Cg006G221290, Cg008G323300	El001G065030, El001G025110
OG0000076	Cg002G054100	El001G023080
OG0000076	Cg002G071650	El001G041500
OG0000077	Cg004G151030	El004G229240
OG0000077	Cg005G160440	El002G122000
OG0000078	Cg002G071190	El008G368270, El008G368260
OG0000079	Cg004G118210	El005G237320, El005G272390, El005G237310
OG0000079	Cg002G047470	El004G213350, El004G213320, El004G213370, El005G273970, El004G207470
OG0000079	Cg005G185620	El007G357730
OG0000080	Cg005G177050, Cg005G176650	El007G345310
OG0000080	Cg005G177060	El001G043770, El001G041340
OG0000081	Cg008G298360	El001G062660
OG0000081	Cg008G298500	El001G062500
OG0000083	Cg005G178780	El005G265380
OG0000083	Cg004G140430	El005G263720, El005G262910
OG0000083	Cg005G190480	El006G317480, El006G317520, El006G317460, El006G317530
OG0000083	Cg005G190490	El006G317470, El006G317450
OG0000083	Cg004G121150	El005G240260
OG0000084	Cg005G189580	El006G313950
OG0000086	Cg003G107380	El007G331280
OG0000087	Cg008G303510	El001G056180
OG0000087	Cg005G177380	El006G303330
OG0000087	Cg003G110470	El007G327940
OG0000087	Cg002G060160	El001G016250
OG0000087	Cg008G292710	El001G069260
OG0000087	Cg005G171830	El006G296420
OG0000087	Cg008G320640	El007G360740
OG0000087	Cg001G020160	El003G165170
OG0000087	Cg006G225960	El002G104330
OG0000087	Cg007G276340	El004G228430
OG0000088	Cg002G059450	El001G017100, El005G272510
OG0000088	Cg002G059900	El001G016980, El001G017010
OG0000088	Cg001G039390	El001G059590
OG0000088	Cg003G090240, Cg003G095710	El001G059580
OG0000089	Cg008G290150	El001G072250
OG0000089	Cg004G135460	El002G133200
OG0000089	Cg004G127880	El005G247910
OG0000089	Cg005G168860	El001G024400
OG0000089	Cg002G060740	El007G331780
OG0000089	Cg003G107020	El001G015710
OG0000090	Cg006G225800	El002G104490, El003G181590
OG0000090	Cg008G317760, Cg011G329140	El007G355500
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	El004G228750
OG0000090	Cg001G005770	El003G147970
OG0000090	Cg006G235770	El002G093200
OG0000093	Cg004G145440, Cg004G145260	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230
OG0000093	Cg002G048030	El001G029840
OG0000093	Cg002G048080	El001G029800, El007G352040
OG0000096	Cg007G252880	El004G205300
OG0000096	Cg002G073910	El001G038300
OG0000096	Cg002G073940	El001G038380
OG0000096	Cg002G073930	El001G038370
OG0000096	Cg002G073840	El001G038400
OG0000096	Cg008G322180	El007G362830
OG0000097	Cg003G079780, Cg003G094240	El001G004470
OG0000097	Cg003G079750, Cg003G094280	El001G004390
OG0000097	Cg003G079730, Cg003G094300	El001G004380
OG0000097	Cg003G094290, Cg003G079740	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890
OG0000099	Cg007G249510	El004G194890, El004G195030, El004G194980, El004G194840, El004G194950
OG0000100	Cg008G316000	El003G172340, El006G312970
OG0000101	Cg007G246670	El004G195800
OG0000102	Cg001G040220, Cg001G033570	El006G302470
OG0000104	Cg006G238510	El002G090170
OG0000104	Cg005G177920	El006G304210
OG0000104	Cg006G197970	El002G136420
OG0000105	Cg003G084510	El027G373450
OG0000106	Cg004G136130	El005G259530
OG0000106	Cg001G042030	El005G269060, El005G269030, El005G268940
OG0000107	Cg005G182320	El006G308310
OG0000107	Cg004G136910	El005G257790, El005G257800
OG0000107	Cg004G136890, Cg004G136900	El005G257770
OG0000107	Cg004G136920	El005G257830, El005G257820
OG0000108	Cg008G306430	El007G364310, El007G323300
OG0000108	Cg004G146470	El006G309530
OG0000108	Cg007G245680, Cg007G245670	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550
OG0000109	Cg006G209370, Cg002G061660	El001G071270
OG0000109	Cg006G211600	El005G269730
OG0000109	Cg002G064440	El006G320930, El003G188420
OG0000109	Cg006G218300, Cg006G206180	El001G018880
OG0000110	Cg002G047270	El001G030790
OG0000110	Cg002G047280	El001G030780
OG0000110	Cg002G047300, Cg002G047310, Cg005G186820	El001G030740
OG0000111	Cg002G051630	El001G025790
OG0000112	Cg008G314480, Cg008G314500, Cg008G314450, Cg008G314360, Cg008G314370, Cg008G314440, Cg008G314380, Cg008G314400, Cg008G314410, Cg008G314430, Cg008G314420, Cg008G314470, Cg008G314490, Cg008G314390, Cg008G314460	El007G329910
OG0000113	Cg007G253910	El004G207200, El004G207120, El004G195320, El004G195370, El004G195590, El004G195260, El004G195240, El004G195300, El004G195220, El004G195250, El004G195400, El004G195200, El004G195310
OG0000114	Cg008G318090	El001G070430
OG0000117	Cg004G155040, Cg014G333100, Cg005G179380, Cg001G030950	El005G253090
OG0000117	Cg006G206330, Cg006G206270, Cg016G334370, Cg003G095540	El001G016830
OG0000118	Cg002G054790, Cg002G054780, Cg006G212290	El005G262010
OG0000118	Cg003G083280, Cg003G083300	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930
OG0000119	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680	El002G124220
OG0000120	Cg007G250010, Cg007G249930	El004G200260
OG0000120	Cg001G027290	El003G174940, El003G174920
OG0000120	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540	El007G345250, El007G346140, El006G307860
OG0000120	Cg008G285500	El001G077920
OG0000122	Cg003G086890	El007G335590, El007G335600
OG0000123	Cg006G218510, Cg006G218490	El002G113800
OG0000123	Cg001G029000, Cg001G029020	El003G177660
OG0000124	Cg008G309160	El005G255280
OG0000124	Cg002G063920, Cg003G086460	El001G050120, El001G069630
OG0000125	Cg002G052860	El001G024280, El006G292880
OG0000125	Cg008G283340	El005G244660, El001G080460
OG0000125	Cg008G302630	El001G057350
OG0000125	Cg003G107610	El007G331030
OG0000125	Cg002G061230, Cg002G061270	El001G015130
OG0000125	Cg005G178390	El006G304720
OG0000127	Cg004G124780, Cg007G262280	El001G001730
OG0000128	Cg008G315740	El002G130470
OG0000131	Cg002G057540	El006G311530
OG0000133	Cg005G185140	El005G265050
OG0000133	Cg007G269340	El001G044680
OG0000135	Cg004G138210	El007G346110
OG0000136	Cg001G037110	El004G209050, El004G209110
OG0000136	Cg001G037040	El003G186400, El003G186460
OG0000136	Cg001G037100	El003G186500
OG0000137	Cg001G041290	El003G191580
OG0000138	Cg001G039000	El006G314590
OG0000138	Cg002G067580, Cg002G067290	El001G045810, El001G045830
OG0000139	Cg005G182990	El007G349680, El003G179680
OG0000140	Cg002G060210	El001G016150
OG0000140	Cg003G106820	El007G331970
OG0000140	Cg003G106800	El007G332020
OG0000140	Cg003G106450	El007G332560, El007G332570, El007G332540
OG0000140	Cg003G106440	El007G332580, El007G332590
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	El007G332010, El007G332000
OG0000142	Cg005G177660	El001G049820, El006G303750
OG0000142	Cg005G177630	El006G303760, El006G303820
OG0000142	Cg005G176030	El006G301970, El006G301960
OG0000144	Cg005G182040	El006G293730, El005G252090, El007G351390, El007G362000
OG0000146	Cg003G102630	El007G336800
OG0000146	Cg003G102640	El007G336790
OG0000146	Cg003G102600	El007G336850
OG0000146	Cg003G102620	El007G336810
OG0000146	Cg003G102610	El007G336820
OG0000147	Cg004G155250	El005G277400
OG0000147	Cg001G010340	El003G152940
OG0000147	Cg003G104960	El007G334350
OG0000147	Cg007G280860	El004G233720
OG0000147	Cg004G146670	El005G271430
OG0000147	Cg005G189880	El006G316840
OG0000149	Cg002G060900	El001G015560
OG0000150	Cg002G061890	El006G312870, El001G014430
OG0000150	Cg005G186200	El006G312840, El006G312880, El006G312950, El006G312930
OG0000150	Cg002G061900	El001G014390, El001G014400
OG0000151	Cg003G100170	El007G339860
OG0000151	Cg001G012710	El003G156070
OG0000151	Cg004G124340	El005G243780
OG0000151	Cg004G152640	El005G273960
OG0000151	Cg003G103430	El007G336000
OG0000151	Cg007G246070	El004G194600, El003G193180
OG0000152	Cg006G206580	El006G310290
OG0000154	Cg004G125060	El005G244620
OG0000154	Cg008G283230	El004G209500
OG0000155	Cg001G019650	El003G164690
OG0000155	Cg004G127780	El005G247790
OG0000156	Cg002G045690	El001G032910
OG0000156	Cg005G160240	El006G282820, El007G349010
OG0000156	Cg005G160250	El006G282860
OG0000157	Cg004G141270	El005G265510, El005G265480, El005G265460, El005G265550
OG0000158	Cg005G184100	El003G176020, El005G265720, El005G267190
OG0000160	Cg007G264990, Cg006G202970	El002G123370, El007G360530, El004G209900
OG0000160	Cg003G091850	El007G347580, El004G202080, El002G123360, El007G360520
OG0000162	Cg002G046130	El001G032200
OG0000162	Cg002G046140	El005G268830
OG0000162	Cg005G160860	El006G283560, El006G283550
OG0000164	Cg008G307470	El003G186050, El001G048320
OG0000167	Cg001G021130	El003G166330
OG0000167	Cg001G021150	El003G182660, El003G182640
OG0000167	Cg001G021160	El003G166350
OG0000168	Cg001G034720	El002G109450, El006G282840
OG0000169	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840	El006G309550
OG0000171	Cg002G044340	El001G034570, El006G280730, El002G093670
OG0000171	Cg007G270890	El002G108810
OG0000171	Cg008G294880	El001G066810
OG0000172	Cg002G052400	El001G024870, El001G024880
OG0000172	Cg007G250100, Cg007G250140	El001G034730
OG0000174	Cg009G325780, Cg006G205480	El005G261670
OG0000175	Cg002G055540	El001G021550
OG0000175	Cg007G276430	El004G228610
OG0000175	Cg006G225880	El002G104420
OG0000175	Cg001G005230	El003G147420
OG0000175	Cg001G004130	El003G146230
OG0000177	Cg007G261230	El006G311500
OG0000178	Cg014G331270	El007G324860, El003G162340, El003G181530, El003G168850, El006G304410
OG0000178	Cg002G069730, Cg002G066500	El004G208000, El001G047610, El007G347590
OG0000178	Cg008G316010	El001G040000, El004G215500, El006G292960, El001G025380, El002G095060, El004G206380, El003G161220
OG0000180	Cg007G279310	El007G325980, El006G317860
OG0000180	Cg001G043140	El004G196870, El004G196830, El007G342850
OG0000184	Cg006G215550	El002G135760
OG0000185	Cg003G088110	El004G197640
OG0000185	Cg003G098770	El001G013560
OG0000187	Cg001G008920	El003G151270
OG0000189	Cg002G073510	El001G047730
OG0000189	Cg001G002260, Cg001G002250	El003G144180
OG0000190	Cg003G080590, Cg003G080580	El001G005540
OG0000190	Cg006G210720	El001G005520
OG0000190	Cg006G210710	El001G005530
OG0000190	Cg003G087120, Cg003G087200	El005G265350
OG0000191	Cg003G087540	El005G268370
OG0000191	Cg004G134260	El005G254650
OG0000191	Cg004G153150, Cg004G153270	El005G274730, El005G274430, El005G274440, El005G274460, El005G274720
OG0000192	Cg006G224780	El002G105680
OG0000192	Cg006G224800	El002G105570
OG0000192	Cg006G224790	El002G105610
OG0000192	Cg006G224760	El002G105690
OG0000193	Cg004G140730	El006G309730
OG0000195	Cg005G182280	El006G308260
OG0000195	Cg002G049520, Cg005G164920	El001G028150
OG0000195	Cg001G036760	El003G186220
OG0000195	Cg007G265630	El004G215670
OG0000195	Cg002G064380	El001G058810
OG0000195	Cg008G301610	El001G012120
OG0000196	Cg006G202630	El002G116380
OG0000197	Cg001G041590	El003G193160, El005G275730, El005G275770, El005G276170, El003G184300, El002G120020, El003G191670, El003G190970, El003G190840
OG0000200	Cg006G240250	El004G214290
OG0000200	Cg007G272860, Cg007G265230, Cg006G240300	El002G088260
OG0000200	Cg001G038160, Cg001G038180	El003G187150, El003G187490, El001G041980, El003G187480, El003G180990
OG0000201	Cg004G139100	El005G260650
OG0000201	Cg004G139090	El005G260640
OG0000201	Cg004G139110	El005G260660
OG0000202	Cg004G134030	El005G254420
OG0000203	Cg004G120290	El005G239360, El005G239320, El005G239280, El007G349670
OG0000203	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080	El003G153180, El005G238860
OG0000204	Cg004G142490, Cg004G140470	El005G243840, El005G241010, El001G005350
OG0000204	Cg004G138460	El005G259630
OG0000204	Cg001G010180	El003G152770
OG0000209	Cg007G246040	El004G207330, El004G207320, El004G207280, El004G207300, El004G207310
OG0000209	Cg001G042590	El003G193190
OG0000210	Cg004G144520	El005G269840, El005G269890
OG0000210	Cg002G073630, Cg002G073600, Cg002G073620	El001G038680, El001G038660, El002G139080
OG0000210	Cg005G173490	El006G298860
OG0000213	Cg005G191730	El006G319100, El006G319080
OG0000218	Cg006G230920	El002G099000
OG0000218	Cg006G230900, Cg006G230890	El002G099030, El002G099010
OG0000218	Cg002G072370	El001G040840, El001G040850
OG0000218	Cg002G075340	El001G036390
OG0000219	Cg007G266520, Cg007G266510	El004G216370
OG0000219	Cg003G095240, Cg003G111060	El007G327350
OG0000221	Cg005G182530	El001G033300, El008G369870, El001G033310, El004G207110
OG0000224	Cg007G278180, Cg007G278170	El004G230600
OG0000224	Cg007G278160	El004G230590
OG0000224	Cg001G008870, Cg001G017640	El005G267900
OG0000226	Cg004G156690	El002G108090
OG0000226	Cg003G113210	El001G017980, El001G017970, El007G334490, El007G334480, El007G337470
OG0000228	Cg007G271320	El004G222540, El004G222580
OG0000228	Cg008G307350	El001G048740, El001G048760
OG0000228	Cg002G069120	El002G108430
OG0000228	Cg007G271290	El004G222500
OG0000229	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330	El003G153420
OG0000229	Cg007G261570	El002G136110, El002G136100, El002G136060, El002G136090, El001G062630, El002G136050
OG0000230	Cg007G276400	El004G228550, El004G228570, El004G228580
OG0000230	Cg007G276410	El004G228600, El004G228560
OG0000234	Cg002G062460	El001G013810
OG0000234	Cg002G051400	El001G026000
OG0000234	Cg002G051410	El001G025990
OG0000234	Cg002G051420	El001G025980
OG0000234	Cg005G166930	El006G290620
OG0000234	Cg008G293710	El001G068080
OG0000235	Cg006G202900, Cg006G202870, Cg006G202910, Cg006G202830	El002G130000
OG0000236	Cg004G139220	El005G261550
OG0000237	Cg007G261810, Cg006G203590	El002G125730, El006G311120
OG0000239	Cg005G173350	El006G298680
OG0000239	Cg005G173640	El006G299430
OG0000239	Cg013G330340, Cg036G336860	El006G314580, El006G314600
OG0000240	Cg007G263700	El001G011020
OG0000241	Cg004G145120	El004G206480, El004G203420
OG0000242	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670, Cg004G150020, Cg004G150680	El005G272850
OG0000242	Cg006G231900	El002G097950
OG0000242	Cg006G231890	El002G097970
OG0000242	Cg006G231910	El002G097940
OG0000244	Cg001G019150	El003G163990
OG0000244	Cg003G093660, Cg003G080320	El001G005180
OG0000244	Cg001G019160	El003G164000
OG0000248	Cg007G252860	El004G205450
OG0000248	Cg001G034790	El003G188180
OG0000249	Cg005G169790	El001G010190, El001G010200
OG0000250	Cg007G270460	El004G221440, El004G221420, El004G221410, El004G221430
OG0000250	Cg007G270580	El004G221620, El004G221570
OG0000252	Cg007G252790, Cg007G252760	El002G140500
OG0000252	Cg005G190920	El006G314500, El002G132360, El006G289160, El008G368890
OG0000254	Cg004G134710	El004G205790, El004G205810, El004G205800, El004G205770, El005G255250
OG0000256	Cg003G080890	El001G005740
OG0000256	Cg005G165640	El006G289100
OG0000257	Cg004G143430, Cg004G143470, Cg004G143460	El005G269290
OG0000257	Cg007G247040, Cg007G247060	El004G209770
OG0000257	Cg001G035030	El003G177270, El004G233260, El003G184780
OG0000257	Cg004G126080	El003G190500
OG0000258	Cg002G072350	El001G040590, El001G040540
OG0000258	Cg002G072340	El001G040630, El001G040650
OG0000258	Cg003G104860	El007G334450
OG0000258	Cg002G072320	El001G040670
OG0000264	Cg003G094090, Cg003G079920, Cg003G094100, Cg003G079900, Cg003G094120, Cg003G094110, Cg003G079910, Cg003G079890	El001G004650, El001G004660
OG0000264	Cg003G079060, Cg003G094880	El001G003620
OG0000267	Cg005G177130, Cg005G177100, Cg005G177110, Cg005G177030, Cg005G177010, Cg005G177140, Cg005G177090, Cg005G177120	El006G303900, El006G300950, El006G300970
OG0000268	Cg002G074810	El001G037050
OG0000268	Cg007G248330	El004G198500
OG0000268	Cg007G248320	El001G037010
OG0000268	Cg008G282710	El001G081300
OG0000268	Cg002G052420	El001G024850
OG0000270	Cg001G000740	El005G273730
OG0000270	Cg001G005510	El003G142380
OG0000271	Cg001G032910	El002G111590
OG0000271	Cg003G079870	El001G004610, El001G004620
OG0000273	Cg006G201150, Cg006G201180	El003G184360
OG0000274	Cg003G107390	El007G331270
OG0000274	Cg002G061020	El001G015380
OG0000274	Cg002G061010	El002G138930, El005G270610, El001G015480, El001G015500
OG0000274	Cg007G251180	El004G201760
OG0000274	Cg006G238740	El002G089940, El002G089910
OG0000274	Cg005G177430	El006G303380, El006G303400
OG0000275	Cg004G139010	El005G260480
OG0000275	Cg004G138960	El005G260440
OG0000275	Cg004G138970	El001G046400
OG0000275	Cg004G138980	El005G260470, El005G260460, El005G260450
OG0000276	Cg001G029710	El003G177930
OG0000277	Cg001G025680, Cg001G025710	El003G172500
OG0000277	Cg001G025690, Cg001G025720	El003G172490
OG0000277	Cg001G025760	El003G172540, El003G172520
OG0000278	Cg003G105620	El007G332310, El007G332260
OG0000281	Cg006G199670	El002G134210, El002G134220
OG0000281	Cg006G220980	El004G205670, El004G205700
OG0000282	Cg008G288340	El001G074250
OG0000282	Cg008G288360	El001G074230, El001G074220
OG0000282	Cg008G288350, Cg008G323220	El001G074240
OG0000282	Cg008G288380	El001G074210
OG0000282	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400	El001G074200, El001G074190
OG0000283	Cg008G319010	El007G358960
OG0000283	Cg008G318960, Cg008G318990, Cg008G318970	El007G358950, El007G358900, El007G358940, El007G358910
OG0000284	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380	El001G051110
OG0000287	Cg007G251270	El005G258960
OG0000287	Cg004G137950	El005G259020
OG0000287	Cg004G137930, Cg004G140040	El005G258990, El005G259000
OG0000287	Cg004G137940	El005G259010
OG0000287	Cg004G137980	El005G259030
OG0000287	Cg004G137960	El005G259040
OG0000290	Cg004G135310	El005G255960
OG0000290	Cg001G040670, Cg001G040570, Cg001G040700	El003G191140, El003G191110
OG0000294	Cg004G133910	El005G254320
OG0000294	Cg005G169690	El006G293670
OG0000294	Cg005G158570	El006G280820
OG0000294	Cg003G077590, Cg014G332020	El001G002070
OG0000294	Cg006G243870	El002G084190
OG0000295	Cg007G263400	El004G213700, El004G213760
OG0000295	Cg004G130770	El005G250980
OG0000296	Cg007G280920, Cg007G280630	El004G224600, El004G224660, El006G317420, El006G317640, El006G317430
OG0000297	Cg001G003600	El003G145640
OG0000297	Cg005G178560, Cg005G178570, Cg005G178540	El006G304920
OG0000297	Cg003G108160	El007G330520
OG0000297	Cg004G136450	El005G257220
OG0000298	Cg004G131150	El004G230640
OG0000299	Cg002G070200	El001G044780, El001G044800, El001G044870
OG0000299	Cg007G279160	El004G215990
OG0000299	Cg006G194370	El002G141100
OG0000300	Cg004G145480, Cg004G145490	El005G270380
OG0000300	Cg004G145430, Cg004G144800	El005G270340
OG0000304	Cg008G321360, Cg008G321310, Cg008G321320	El006G306670, El002G124540, El007G361960
OG0000308	Cg001G040650	El003G190640
OG0000310	Cg002G058430	El002G106070
OG0000311	Cg008G296830	El001G064420
OG0000311	Cg006G201410	El002G132070
OG0000311	Cg004G134370	El005G254740
OG0000311	Cg007G265360	El004G215340
OG0000313	Cg001G028860	El003G165600
OG0000313	Cg001G020560	El003G178140
OG0000313	Cg006G201020, Cg006G200970	El002G132590
OG0000314	Cg006G241650	El002G086800
OG0000314	Cg005G174030	El006G299440
OG0000314	Cg006G241640	El002G086810
OG0000316	Cg006G210390, Cg008G298570, Cg001G041080	El006G313460, El006G313430, El006G288940
OG0000316	Cg005G165580, Cg005G165480	El006G289040, El006G288950
OG0000319	Cg003G086150, Cg003G108110, Cg006G238150	El002G090600, El002G090610, El007G330560
OG0000321	Cg001G036410	El003G185760, El003G185810
OG0000322	Cg007G279100	El004G231760
OG0000322	Cg006G228800	El002G101250
