Orthogroup	Cardamine_glauca	Brassica_napus
OG0000011	Cg005G184960	XP_013659705.2, XP_048599380.1, XP_048637426.1, XP_048624045.1, XP_048620495.1, XP_048605761.1, XP_013738651.1, XP_048620327.1, XP_013653955.2, XP_048598012.1, XP_048598119.1, XP_013665132.2, XP_048623694.1, XP_048621704.1, XP_048615584.1, XP_048622963.1, XP_022560000.2, XP_022556483.2, XP_022552299.1, XP_048622694.1, XP_022552139.2, XP_013658487.1, XP_048623617.1, XP_048635024.1, XP_048599617.1, XP_048612614.1, XP_048600528.1, XP_013690055.1, XP_048623729.1, XP_048602105.1, XP_013726425.1, XP_048622519.1, XP_022571427.1, XP_048611788.1, XP_013673712.1, XP_048613543.1, XP_013646120.2, XP_013723816.1
OG0000012	Cg003G089470, Cg006G226210	XP_048613104.1
OG0000012	Cg006G208150	XP_048623638.1
OG0000012	Cg003G096300	XP_048605550.1, XP_013729012.2
OG0000012	Cg007G277670, Cg006G218130, Cg003G093950	XP_048619941.1
OG0000013	Cg007G257070, Cg005G184830	XP_013673830.1
OG0000014	Cg007G281140	XP_022552432.1
OG0000014	Cg008G312030	XP_048611538.1
OG0000014	Cg007G266660	XP_048611805.1, XP_048615723.1, XP_013650803.1, XP_013674396.1, XP_013694070.1, XP_013658466.1, XP_013708671.1, XP_048624069.1, XP_013658227.1, XP_048599863.1, XP_048604671.1, XP_048624017.1, XP_048604978.1, XP_048613067.1, XP_013689140.2, XP_048615831.1, XP_048620011.1, XP_048613476.1, XP_048629487.1, XP_048615614.1, XP_048622743.1, XP_048623549.1, XP_048611837.1, XP_048622934.1, XP_048619919.1
OG0000015	Cg008G310160	XP_022553445.1, XP_048611374.1
OG0000015	Cg004G140320	XP_048605893.1, XP_048604728.1
OG0000015	Cg007G254560	XP_048613411.1
OG0000018	Cg003G089030, Cg003G095110	XP_048634179.1, XP_048605751.1, XP_022571151.1, XP_013673578.1, XP_048630900.1, XP_022575868.2, XP_048605747.1, XP_048605222.1, XP_048614689.1, XP_048596417.1, XP_013720098.2, XP_048601334.1, XP_048624799.1, XP_013673827.2, XP_048637603.1, XP_022550513.2, XP_048622957.1, XP_048590776.1, XP_013665022.2, XP_048611445.1, XP_048604864.1, XP_013745820.1, XP_048613131.1, XP_048606197.1, XP_022557717.1, XP_013751868.1, XP_022568346.1, XP_048611977.1, XP_013679337.1, XP_013704991.1, XP_048620421.1, XP_048604881.1, XP_013658330.1, XP_013726653.1, XP_013745661.1, XP_022552507.2, XP_013658329.1, XP_013726201.1, XP_048611537.1, XP_048599852.1, XP_048612004.1, XP_048612001.1, XP_048612006.1, XP_022569830.1, XP_013653854.1, XP_013658519.1, XP_048637099.1, XP_013674025.1, XP_048599651.1, XP_048629918.1, XP_022544100.1, XP_013657853.2, XP_013704346.2, XP_048605132.1, XP_048608829.1, XP_048615824.1, XP_048635015.1, XP_048604882.1, XP_013658447.2
OG0000019	Cg008G308170	XP_013673926.1, XP_022551193.1
OG0000019	Cg003G084410, Cg008G317890	XP_048621485.1
OG0000019	Cg004G134340	XP_022557639.1, XP_048592640.1, XP_048625519.1, XP_013658536.1, XP_048593485.1, XP_048624077.1
OG0000020	Cg001G036750	XP_013694335.2
OG0000020	Cg007G257890, Cg007G257790	XP_013713722.1
OG0000021	Cg006G208570	XP_048615773.1, XP_048620188.1, XP_022552080.1, XP_013694633.1, XP_048634143.1, XP_013700085.1, XP_048594884.1, XP_048629072.1, XP_013713218.2, XP_022553574.1
OG0000021	Cg003G100100	XP_048591559.1, XP_013690322.2
OG0000021	Cg002G061370	XP_048635125.1
OG0000021	Cg003G103950	XP_048615863.1
OG0000021	Cg006G215630	XP_013678980.1
OG0000021	Cg003G080250	XP_013727601.1, XP_048620920.1
OG0000023	Cg001G017560	XP_013697411.2, XP_013738434.2, XP_013738445.2, XP_022570725.1
OG0000023	Cg001G017610, Cg001G017600	XP_013694257.1, XP_013737657.1, XP_048612374.1
OG0000023	Cg003G082330	XP_022558747.1
OG0000023	Cg003G082320	XP_048625802.1, XP_048632003.1
OG0000023	Cg001G017770	XP_022573115.2
OG0000023	Cg003G082240	XP_013718560.2
OG0000023	Cg001G017750	XP_013690743.1
OG0000023	Cg001G017690	XP_013710801.1, XP_013717353.1
OG0000023	Cg001G017660	XP_048605876.1
OG0000025	Cg001G005300	XP_022546346.2, XP_048630650.1, XP_013674435.1, XP_048627723.1, XP_013674438.1, XP_022563912.2, XP_022563911.2, XP_048631222.1, XP_013674433.2, XP_048627722.1, XP_048627726.1, XP_013674436.2, XP_013645094.1, XP_013645334.2, XP_013651019.1, XP_022569112.2, XP_013739125.2, XP_013733752.2, XP_013645330.1, XP_013651021.2, XP_013733741.2, XP_013734914.2
OG0000027	Cg007G250820	XP_013746916.2, XP_013669867.2
OG0000027	Cg002G070600	XP_022567836.1, XP_022546469.2, XP_048595041.1
OG0000027	Cg006G215350, Cg006G215360	XP_022575972.2, XP_048609431.1, XP_048636470.1
OG0000027	Cg002G048550, Cg002G048720	XP_013663491.2, XP_013663656.1
OG0000028	Cg001G041970	XP_013665034.1
OG0000029	Cg007G253930	XP_048613515.1, XP_013745291.1, XP_013738737.2, XP_048620192.1, XP_048632518.1, XP_048621879.1, XP_048615827.1, XP_048613466.1, XP_048632854.1, XP_013655251.2, XP_013679244.2, XP_022565176.2
OG0000029	Cg005G177650	XP_048606316.1
OG0000029	Cg006G212710	XP_048593383.1
OG0000030	Cg007G253140	XP_048634976.1
OG0000030	Cg013G330360	XP_013695679.1
OG0000030	Cg005G188990	XP_013678830.1
OG0000031	Cg007G247710	XP_013733295.2, XP_013664368.1
OG0000031	Cg001G042060	XP_013731595.1, XP_013743363.2
OG0000031	Cg004G133170	XP_048602151.1, XP_048594826.1
OG0000031	Cg007G245660	XP_013716382.2
OG0000033	Cg001G017700	XP_013714969.1, XP_013737559.2, XP_022555869.1, XP_013694313.2, XP_013737653.2, XP_013694321.1
OG0000033	Cg001G017740, Cg001G017730	XP_013686564.1
OG0000033	Cg001G017780	XP_048622964.1, XP_013694292.1, XP_013694271.1, XP_013737656.2
OG0000033	Cg001G019630	XP_013717260.1, XP_013737259.1
OG0000033	Cg001G017580	XP_048597020.1, XP_013738358.2, XP_022570722.1
OG0000033	Cg003G079950, Cg003G094060	XP_048596713.1, XP_013644429.1
OG0000034	Cg002G066600	XP_048623297.1, XP_048623038.1, XP_048592734.1, XP_022574481.2, XP_048621898.1, XP_048603766.1
OG0000036	Cg008G323260	XP_013694559.1
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	XP_013657838.1, XP_048627543.1, XP_048608409.1, XP_048593331.1, XP_048628172.1, XP_048620141.1, XP_048591430.1, XP_022545052.2, XP_013654319.1, XP_048620074.1, XP_048628110.1, XP_048628260.1, XP_048609738.1, XP_013679870.3, XP_013673880.3, XP_048605547.1, XP_048630635.1, XP_048610215.1, XP_013729460.2, XP_013658994.1, XP_048604753.1, XP_013726692.1, XP_048615564.1, XP_048619319.1, XP_048604916.1, XP_048611480.1, XP_048605348.1, XP_048604985.1
OG0000036	Cg002G062800	XP_013723742.2, XP_048596196.1
OG0000037	Cg007G255010	XP_022568279.2
OG0000038	Cg008G285210, Cg008G285280	XP_022547515.1
OG0000038	Cg005G159520	XP_013674918.2
OG0000038	Cg001G007650	XP_048594240.1, XP_048622251.1, XP_048622252.1, XP_022546529.1, XP_013719588.1, XP_048621240.1
OG0000038	Cg008G320560	XP_013683826.1, XP_048620271.1, XP_048620270.1
OG0000038	Cg006G216960	XP_022557802.1, XP_013699605.1
OG0000039	Cg004G126960	XP_048637497.1, XP_013745367.1, XP_013704436.1, XP_048615849.1
OG0000040	Cg006G217350	XP_013701833.2, XP_022560216.2, XP_048591590.1
OG0000040	Cg002G057370	XP_048596338.1
OG0000040	Cg004G137150	XP_022556711.2, XP_013720692.1, XP_048609153.1, XP_013684915.2, XP_048609156.1, XP_048628652.1, XP_022574870.2
OG0000040	Cg004G136640	XP_013706039.1, XP_013675588.2, XP_013719126.2, XP_013716736.2, XP_048611111.1, XP_013747379.2
OG0000042	Cg006G198550, Cg003G083590	XP_013669693.1, XP_013728373.1, XP_048599707.1
OG0000042	Cg002G059980	XP_048596317.1
OG0000042	Cg008G311300, Cg008G309470	XP_013653696.1, XP_013673846.1, XP_048629753.1
OG0000042	Cg005G183270	XP_048626916.1, XP_013739572.2, XP_013668593.2
OG0000042	Cg008G310640, Cg008G309000	XP_048596563.1
OG0000042	Cg002G072070	XP_013694862.1
OG0000044	Cg001G029670	XP_048617149.1, XP_048606242.1, XP_022575854.1, XP_022568454.1, XP_048630632.1, XP_048619316.1, XP_048610212.1, XP_022564020.1, XP_048603735.1, XP_048596312.1, XP_013729463.1, XP_048615563.1, XP_048637468.1, XP_013735816.1, XP_048599977.1, XP_013733293.2, XP_048591383.1, XP_048592554.1, XP_048605908.1, XP_048613135.1, XP_048623805.1, XP_048631733.1, XP_048591444.1, XP_048600193.1, XP_048606399.1, XP_048605166.1, XP_022567046.1, XP_048620073.1, XP_022552709.1, XP_048609363.1, XP_048607154.1, XP_048626706.1, XP_048595608.1, XP_048604688.1, XP_048627544.1, XP_048616284.1, XP_022552197.1, XP_048628171.1, XP_048608413.1, XP_048628439.1, XP_048593377.1, XP_013724632.2, XP_013723763.2
OG0000044	Cg003G096230	XP_022547672.2, XP_013669672.2, XP_048623948.1, XP_048598164.1, XP_048613213.1, XP_048615669.1, XP_013642234.3, XP_013669592.2, XP_048608518.1, XP_013736305.1
OG0000045	Cg003G091810	XP_013653957.2, XP_048610024.1, XP_048594918.1, XP_048593338.1, XP_013650961.1, XP_013689509.1, XP_013679635.1, XP_048627518.1, XP_048625806.1, XP_048633024.1, XP_048615579.1, XP_048598081.1, XP_013745156.1, XP_013731567.1, XP_013704291.1, XP_048617105.1, XP_048598554.1, XP_013646145.1, XP_013724895.1, XP_048635016.1, XP_048604173.1, XP_013665251.1, XP_048613483.1, XP_048611695.1, XP_048611378.1, XP_013704661.1, XP_048634935.1, XP_048598061.1, XP_013745369.2, XP_048623634.1, XP_013709218.3, XP_013751199.1, XP_022566288.1, XP_013669032.1, XP_013704915.1, XP_013645539.2, XP_022562321.1, XP_013727766.1, XP_013738821.2, XP_048637545.1, XP_022553291.1, XP_048629978.1, XP_013663207.1, XP_013694738.2, XP_022569592.1, XP_048622608.1, XP_048635030.1, XP_013668766.1, XP_013650778.1, XP_048608462.1, XP_022547724.2, XP_022547879.1, XP_022559926.2, XP_022548633.1, XP_013680064.1, XP_048634024.1, XP_013719699.1, XP_048633015.1, XP_013709461.2, XP_048626938.1, XP_013717367.1, XP_048611890.1, XP_048615531.1, XP_013751229.1, XP_013745440.2, XP_013661910.2, XP_048596313.1, XP_013650670.2
OG0000045	Cg002G064420	XP_013751220.1, XP_022546552.1, XP_013694239.1, XP_048628468.1, XP_013724424.1, XP_013689123.2, XP_013713286.1, XP_013669586.1
OG0000046	Cg001G022610	XP_048638243.1, XP_013669844.2
OG0000046	Cg001G037990	XP_013724742.2
OG0000046	Cg007G266760	XP_048616752.1, XP_048610981.1, XP_048604137.1
OG0000046	Cg007G266640	XP_048591561.1
OG0000047	Cg006G206340	XP_048638490.1
OG0000048	Cg008G298370	XP_048625022.1, XP_013676074.2, XP_013683129.2, XP_048625023.1, XP_022544292.2, XP_048607995.1
OG0000049	Cg007G266650	XP_013716690.2
OG0000052	Cg006G242960	XP_048613662.1, XP_048599350.1, XP_013680648.2, XP_022549241.2, XP_048598261.1, XP_048597938.1
OG0000052	Cg005G173390, Cg013G330370	XP_048605363.1, XP_048632926.1
OG0000052	Cg005G163540	XP_022556477.2
OG0000052	Cg003G083820	XP_013691544.1, XP_013747419.2
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	XP_013740947.1, XP_013741291.2, XP_013676972.1, XP_048633337.1, XP_013647473.2, XP_013741357.2, XP_013691360.1, XP_048610556.1, XP_013713105.2
OG0000053	Cg003G084420	XP_022564363.1, XP_048623806.1, XP_013711122.2, XP_013747493.2, XP_013668598.1, XP_013660360.1, XP_048613279.1, XP_013675621.2, XP_013726592.2, XP_013708501.1, XP_022548821.1
OG0000054	Cg001G018970	XP_048623542.1
OG0000054	Cg005G189800, Cg005G189790	XP_022553428.2, XP_013737743.2, XP_048623720.1, XP_022553704.2, XP_048634735.1, XP_048610596.1, XP_048602294.1, XP_022574445.2, XP_048635553.1, XP_048618573.1, XP_048622748.1, XP_013713188.2, XP_048619894.1, XP_048611783.1, XP_048613170.1, XP_048615234.1, XP_048637818.1, XP_048637045.1, XP_048596138.1, XP_048612574.1, XP_048634954.1, XP_048609051.1, XP_022574301.2, XP_048633225.1, XP_022574506.1, XP_013704260.2, XP_022562802.1, XP_048620993.1, XP_048599089.1, XP_048592551.1, XP_048621337.1, XP_022551131.2, XP_048597720.1, XP_048606142.1, XP_048619790.1, XP_048621209.1, XP_048622552.1, XP_048629346.1, XP_048633888.1, XP_048598954.1, XP_022549978.2, XP_048605107.1, XP_013705438.2, XP_048615650.1, XP_048602917.1, XP_048628816.1, XP_048605478.1, XP_022574390.2, XP_048622671.1, XP_048599304.1, XP_048610747.1, XP_048596260.1, XP_013695048.2, XP_013654745.2, XP_048601641.1, XP_048608968.1, XP_048609577.1, XP_048592841.1, XP_048613136.1, XP_048634116.1, XP_048628169.1, XP_048592471.1, XP_013691238.2, XP_048622172.1, XP_048637571.1, XP_048605502.1, XP_013647204.3, XP_048610577.1, XP_048613967.1, XP_013687924.1, XP_048602061.1, XP_048623747.1, XP_013704261.2, XP_013751821.2, XP_013650559.3, XP_048598103.1, XP_048603738.1, XP_048604831.1, XP_048595714.1, XP_013658115.3, XP_048621182.1, XP_048617675.1, XP_048637491.1, XP_048617786.1, XP_048595653.1, XP_013710693.1, XP_048616894.1, XP_048620459.1, XP_022568362.2, XP_013668723.1, XP_048615647.1, XP_048623398.1, XP_048623607.1, XP_048618016.1, XP_048624004.1, XP_048613408.1, XP_013651174.2, XP_048604895.1, XP_013746819.2, XP_048625926.1, XP_022553477.2
OG0000055	Cg002G060080	XP_013647831.2, XP_013642588.2
OG0000055	Cg007G248410	XP_013670350.1, XP_013691180.2
OG0000056	Cg007G262570, Cg007G263580, Cg007G265440, Cg006G204190	XP_048634929.1, XP_013645844.2, XP_048593471.1, XP_013688936.2, XP_048609321.1, XP_013688795.2, XP_048635087.1, XP_013694675.1, XP_013645882.2, XP_048611631.1, XP_013694324.1, XP_013690206.1, XP_048596449.1, XP_013645336.1, XP_013689842.1, XP_048626013.1, XP_048622740.1, XP_048607413.1, XP_013709826.3, XP_013665443.2, XP_013709534.2, XP_048623820.1, XP_048611849.1, XP_048633213.1, XP_048594492.1
OG0000057	Cg004G139300, Cg004G139380, Cg004G139340, Cg004G139360, Cg004G139320, Cg004G139330, Cg004G139250	XP_022568087.1
OG0000058	Cg005G185820	XP_048605841.1
OG0000058	Cg005G189250	XP_048596463.1, XP_013645621.2, XP_048605527.1, XP_048599608.1, XP_013689814.2, XP_048617049.1, XP_022553383.1, XP_013739632.2, XP_022565235.1
OG0000060	Cg001G034080	XP_022549915.2, XP_048613385.1, XP_048613427.1, XP_048603869.1, XP_048620444.1, XP_022545663.2, XP_022548337.2, XP_048591381.1, XP_013669554.3
OG0000061	Cg003G083990, Cg008G318200	XP_048609345.1
OG0000061	Cg007G263690, Cg007G267630	XP_048637558.1, XP_048596723.1, XP_013696292.3, XP_013739780.2, XP_048623330.1, XP_048624587.1, XP_048600681.1, XP_013732657.2, XP_022554064.1, XP_013743691.1, XP_013723290.2, XP_048595762.1, XP_048592686.1, XP_048592725.1, XP_048615070.1, XP_048630784.1, XP_048608631.1, XP_048630841.1, XP_013651771.2, XP_048618601.1, XP_048603650.1, XP_048606030.1, XP_048606466.1, XP_013706470.2, XP_013729547.2, XP_013687886.1, XP_013680970.2, XP_048622924.1, XP_048615428.1, XP_048602960.1, XP_022557143.1, XP_022556335.1, XP_013691840.1, XP_013662162.2, XP_048592595.1, XP_013677735.1, XP_013738633.2, XP_013700197.1, XP_048611597.1, XP_013739555.1, XP_013739489.3, XP_022552117.1, XP_048604597.1
OG0000062	Cg007G260660, Cg005G180090	XP_048611761.1, XP_013701495.2, XP_048619707.1, XP_013703977.2, XP_022575147.1, XP_048602568.1, XP_048630018.1, XP_013741022.1, XP_022574457.1, XP_013723697.1, XP_013717352.1, XP_013745422.2, XP_013725743.2, XP_048636767.1, XP_048628779.1, XP_048602176.1, XP_048628782.1, XP_048613487.1
OG0000062	Cg010G326150	XP_048609977.1, XP_022560228.2, XP_022563564.2, XP_022558537.2, XP_048613911.1, XP_022542999.2, XP_048631743.1, XP_048627209.1, XP_013725623.2, XP_048624059.1, XP_013713563.2, XP_048634102.1, XP_022559989.2, XP_048637493.1, XP_048600389.1, XP_013668707.1, XP_048627305.1, XP_048627874.1, XP_048631742.1, XP_022575708.2, XP_048634039.1, XP_048611754.1, XP_013718395.1, XP_048634057.1, XP_048615597.1, XP_013751359.2, XP_048593277.1, XP_013680161.1, XP_048620206.1, XP_013710967.2, XP_013722855.2, XP_013729652.2, XP_013698443.2, XP_013698444.2, XP_013712635.2, XP_048628785.1, XP_022568534.2, XP_048624608.1, XP_048628426.1, XP_048623999.1, XP_048610618.1, XP_048618722.1, XP_048609744.1, XP_048601320.1, XP_022559333.2, XP_013698372.2, XP_013682639.3, XP_013671728.2, XP_013675949.3, XP_013650003.2, XP_048629236.1, XP_048636765.1, XP_048613353.1, XP_048596581.1, XP_048638474.1, XP_048599816.1, XP_048596952.1, XP_013668972.1, XP_048598101.1, XP_048597521.1, XP_013688157.2, XP_048592059.1, XP_022575236.2, XP_022555762.2, XP_048630017.1, XP_013730186.1, XP_013720015.1, XP_013729910.1, XP_013723696.2, XP_048605760.1, XP_013708686.2, XP_013703976.2, XP_048633919.1, XP_048607057.1, XP_048598073.1, XP_048634908.1, XP_013658933.1
OG0000064	Cg001G000750	XP_013644911.1, XP_013706797.1
OG0000064	Cg005G172820	XP_013679593.1
OG0000064	Cg008G325030	XP_048631953.1, XP_013732021.2, XP_048631947.1, XP_013681630.1, XP_013740745.2, XP_013732016.1, XP_013662146.1, XP_022552115.2, XP_048603029.1, XP_022563759.2, XP_013654778.1, XP_048636127.1, XP_013750684.2, XP_013750683.1, XP_013710193.1, XP_013732028.2, XP_048631950.1, XP_048595286.1, XP_048615860.1, XP_048615859.1, XP_013667305.2, XP_022568611.2, XP_048604746.1, XP_013645906.1, XP_048633817.1, XP_048608366.1, XP_013740424.2, XP_013747385.2, XP_048637086.1, XP_048630435.1, XP_048609512.1, XP_048637084.1, XP_048611466.1, XP_048610275.1, XP_013654519.1, XP_013643544.2, XP_013701408.1, XP_013647170.2, XP_013740430.2, XP_048608360.1, XP_048630391.1, XP_013647197.2
OG0000066	Cg003G113360	XP_013750874.1, XP_013686753.1, XP_013709910.2, XP_022552886.1, XP_013678750.1, XP_013657686.1, XP_013726586.1, XP_013686743.2, XP_013731494.1, XP_013698649.1, XP_013712760.1, XP_048627501.1, XP_048626247.1, XP_048627503.1, XP_048626251.1, XP_048630526.1, XP_048601368.1, XP_013738537.1, XP_013718218.1, XP_013686742.1
OG0000067	Cg004G154470	XP_013715412.1, XP_013670850.1, XP_048623178.1, XP_022548777.1, XP_048598519.1, XP_013668584.1
OG0000067	Cg008G318950	XP_022566489.1, XP_022573196.2, XP_048624900.1, XP_048626836.1, XP_013716195.1, XP_048597874.1, XP_048607790.1, XP_048607781.1, XP_048607786.1, XP_048607791.1, XP_048624661.1, XP_048624657.1, XP_048607787.1, XP_048607782.1, XP_013722477.1, XP_013722478.1, XP_048607668.1
OG0000070	Cg002G063700	XP_013723762.2, XP_048630545.1
OG0000070	Cg005G186370	XP_048627235.1, XP_048635003.1, XP_048633120.1, XP_048619942.1
OG0000071	Cg005G184980	XP_048599861.1, XP_048623054.1, XP_013699951.1
OG0000071	Cg006G240460	XP_048593443.1, XP_013739437.1, XP_013728665.1, XP_013739111.2, XP_013709837.1, XP_048623943.1, XP_013694390.2, XP_048613267.1, XP_013678912.2, XP_022553097.1, XP_013668702.2, XP_048605145.1
OG0000073	Cg003G080870	XP_013681424.3, XP_013706684.3
OG0000073	Cg008G302430	XP_022570605.2, XP_013724112.2
OG0000074	Cg006G222190	XP_013693122.1, XP_013662871.2
OG0000074	Cg006G222350	XP_048597301.1, XP_022564630.1, XP_013705955.1, XP_013658420.2, XP_013695922.2
OG0000075	Cg003G083750, Cg005G174740, Cg008G291500, Cg008G290800, Cg008G290770, Cg006G214290	XP_022547516.1, XP_048596886.1
OG0000075	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300	XP_048624103.1, XP_048599144.1, XP_013675654.2, XP_048626145.1, XP_013742958.2, XP_022570234.2, XP_013730487.2
OG0000075	Cg001G033430, Cg006G221290, Cg008G323300	XP_048620324.1
OG0000075	Cg008G301210	XP_048617869.1, XP_022543434.2, XP_013703735.2
OG0000076	Cg002G054100	XP_013659850.2, XP_022549905.1, XP_048633975.1, XP_048633972.1, XP_048633971.1, XP_013645263.2
OG0000076	Cg007G272900	XP_048595244.1, XP_048625573.1
OG0000076	Cg002G071650	XP_013644701.2, XP_022561919.2, XP_013672574.2
OG0000078	Cg002G071190	XP_013700526.1, XP_013650905.1, XP_013745380.1, XP_048637495.1, XP_013700179.1, XP_048605892.1, XP_048623590.1, XP_048611607.1, XP_013665097.1, XP_048622699.1, XP_022549656.1, XP_048609005.1, XP_048599720.1, XP_013739428.1, XP_048596368.1, XP_048623987.1, XP_048613524.1, XP_048620033.1, XP_022546375.1, XP_048628043.1, XP_048615664.1, XP_022576097.1, XP_048628042.1, XP_048603585.1, XP_048630261.1, XP_048634207.1, XP_048609229.1, XP_048591498.1, XP_048591499.1, XP_013654184.1, XP_048623523.1, XP_013681787.1, XP_048634099.1, XP_048611376.1, XP_022551141.2, XP_048617967.1, XP_048634792.1, XP_048592898.1, XP_013728224.3
OG0000079	Cg004G118210	XP_013729190.1, XP_048595764.1
OG0000079	Cg002G047470	XP_048612278.1, XP_013734091.1, XP_013683381.1, XP_048596518.1, XP_048597432.1, XP_048620983.1, XP_048612276.1
OG0000079	Cg005G185620	XP_013663684.1, XP_013686218.2
OG0000079	Cg007G249140	XP_013686220.2
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	XP_048593056.1, XP_048615760.1, XP_022573359.2, XP_013724447.1, XP_048593057.1, XP_013724445.1
OG0000080	Cg004G150150	XP_013743983.2, XP_013720433.1
OG0000082	Cg003G082510, Cg003G083500	XP_048615513.1
OG0000083	Cg005G178780	XP_013694863.1
OG0000083	Cg004G140440	XP_048595388.1
OG0000083	Cg005G190480	XP_013732405.3, XP_013732131.3
OG0000084	Cg005G189580	XP_048612342.1
OG0000084	Cg005G189500	XP_022558586.1, XP_048633679.1, XP_022574379.2
OG0000085	Cg007G270000	XP_022569788.1
OG0000087	Cg008G303510	XP_022562884.1
