Orthogroup	Cardamine_glauca	Odontarrhena_muralis
OG0000029	Cg006G212710	Om007G298330
OG0000030	Cg008G322770	Om004G152960
OG0000030	Cg007G253140	Om004G165220
OG0000030	Cg005G188990	Om005G226380
OG0000031	Cg001G042060	Om007G317990
OG0000031	Cg004G133170	Om002G063040
OG0000033	Cg001G017700	Om001G010240
OG0000033	Cg001G017740, Cg001G017730	Om001G010210
OG0000033	Cg001G017780	Om001G011550
OG0000033	Cg001G019630	Om001G007120
OG0000033	Cg001G017790	Om001G010110
OG0000034	Cg005G182400	Om010G364590, Om008G356530, Om001G014760
OG0000034	Cg002G066600	Om003G107450
OG0000036	Cg004G147460, Cg007G255830, Cg004G147450, Cg007G253380, Cg004G140700, Cg006G210150	Om005G184480
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	Om007G312960
OG0000038	Cg008G285210, Cg008G285280, Cg005G159520	Om005G196570, Om004G131590
OG0000038	Cg002G057430	Om006G262290
OG0000038	Cg001G007650	Om001G029210
OG0000039	Cg004G126960, Cg005G180100, Cg002G062370, Cg002G062340	Om008G321840
OG0000040	Cg006G217350, Cg001G030090	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	Cg004G136640	Om002G067320
OG0000042	Cg006G198550, Cg003G083590	Om007G298450
OG0000042	Cg005G183270, Cg003G113100, Cg008G310640, Cg008G309000	Om004G177160
OG0000044	Cg003G096230	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660
OG0000045	Cg003G091810	Om003G112290, Om002G088970, Om006G255110
OG0000045	Cg002G064420	Om001G031280
OG0000046	Cg003G097180	Om006G241220
OG0000046	Cg001G022610	Om001G001860
OG0000046	Cg001G037990	Om006G253990
OG0000046	Cg007G266760	Om005G206750
OG0000047	Cg006G206340	Om007G314310, Om002G071890, Om005G222620
OG0000052	Cg006G242960	Om005G179650, Om008G361390, Om005G180640
OG0000052	Cg005G163550	Om008G354070, Om008G326640
OG0000052	Cg005G173390, Cg013G330370	Om008G326650
OG0000052	Cg005G163540	Om008G326590
OG0000052	Cg005G187360	Om008G326580
OG0000054	Cg005G189800, Cg005G189790	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320, Om005G214240, Om002G057290, Om001G013850
OG0000055	Cg007G248410	Om005G224080
OG0000055	Cg006G223020	Om001G019570, Om001G031910
OG0000055	Cg007G248540, Cg007G248530	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000056	Cg007G265440, Cg006G204190	Om008G340700, Om005G220800, Om001G027140
OG0000056	Cg004G146250, Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320, Cg001G029590, Cg003G086110, Cg003G090290	Om005G209160, Om002G073230, Om001G006930, Om005G212260
OG0000058	Cg007G261210	Om006G269070, Om006G268950, Om004G151670
OG0000058	Cg005G189250	Om007G299580, Om006G274770, Om007G313880, Om002G087980, Om002G068450, Om005G190360, Om005G223220, Om005G204610, Om007G304500, Om003G125380, Om008G357860, Om004G129440, Om001G015300, Om002G087130, Om002G075560, Om002G076070, Om003G097800, Om001G033280, Om005G201820, Om002G084100, Om001G039990, Om002G084960, Om008G357700, Om003G090300, Om006G269060, Om006G268940, Om004G141540
OG0000058	Cg006G215030, Cg003G077990	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000061	Cg003G083990, Cg008G318200	Om006G238480
OG0000061	Cg007G263690, Cg007G267630	Om001G020570, Om005G225030, Om004G146510, Om001G027660
OG0000062	Cg007G260660, Cg005G180090	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320
OG0000063	Cg005G178340	Om006G254290
OG0000063	Cg006G238240	Om006G245470
OG0000063	Cg003G107650	Om006G245820
OG0000064	Cg001G000750	Om001G041080
OG0000064	Cg008G325030	Om004G157800
OG0000065	Cg001G020190	Om005G217710
OG0000066	Cg007G276160, Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880	Om004G164550
OG0000066	Cg008G290840	Om008G337830, Om006G231860
OG0000066	Cg003G113360	Om004G165570
OG0000067	Cg004G154470	Om001G023220
OG0000070	Cg002G063700	Om007G311790
OG0000070	Cg005G186370	Om008G343830, Om005G215790
OG0000071	Cg005G184980	Om001G016290, Om004G163830
OG0000071	Cg007G264730, Cg003G105600, Cg006G240460	Om008G360280, Om004G166900
OG0000071	Cg008G307480, Cg003G105610	Om001G039370
OG0000072	Cg008G307960, Cg001G029810, Cg001G029820, Cg008G307970	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000073	Cg008G302430	Om002G052330
OG0000074	Cg006G222160	Om004G144350
OG0000074	Cg006G222230, Cg006G222200, Cg006G222240, Cg006G222220	Om004G144100
OG0000074	Cg006G222190	Om004G144220, Om004G144230
OG0000074	Cg006G222350	Om004G143840
OG0000075	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300	Om005G191180
OG0000075	Cg008G323300	Om005G194550
OG0000075	Cg006G218700	Om008G342390, Om001G025890, Om001G025920
OG0000076	Cg007G272900	Om006G242520
OG0000076	Cg002G071650	Om003G090370
OG0000077	Cg004G151030	Om001G039420
OG0000077	Cg005G160440	Om005G191300
OG0000079	Cg002G047470	Om003G122890, Om003G122910, Om003G122930, Om003G122940, Om003G123020
OG0000079	Cg005G185620	Om003G122800, Om003G122790
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	Om003G122880, Om003G122870
OG0000080	Cg005G158270	Om004G135430
OG0000080	Cg004G150150, Cg005G177050, Cg005G176650, Cg005G177060	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	Cg006G198910	Om003G096460
OG0000082	Cg003G082510, Cg003G083500	Om007G305200, Om007G305330
OG0000083	Cg005G178780	Om005G206370
OG0000087	Cg008G303510	Om006G238380
OG0000087	Cg005G177380	Om007G282390
OG0000087	Cg003G110470	Om006G235110
OG0000087	Cg008G292710	Om004G162490
OG0000087	Cg005G171830	Om008G339690
OG0000087	Cg008G320640	Om008G355890
OG0000087	Cg001G020160	Om001G006430
OG0000087	Cg007G276340	Om004G137360
OG0000088	Cg005G181240, Cg002G059450, Cg002G059900, Cg002G059930, Cg002G059530	Om003G119630
OG0000088	Cg001G039390, Cg008G300920	Om006G242180
OG0000089	Cg008G290150	Om004G166350
OG0000089	Cg004G135460	Om002G065930
OG0000089	Cg004G127880	Om002G055730
OG0000089	Cg005G168860	Om006G254270, Om008G335280
OG0000090	Cg006G225800	Om005G202290, Om005G179690
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	Om004G136810
OG0000090	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850	Om003G098630, Om003G099040
OG0000090	Cg001G005770	Om002G055690, Om003G124430
OG0000090	Cg002G074060	Om006G274160
OG0000093	Cg002G047960	Om003G122050
OG0000093	Cg002G047970	Om003G122010
OG0000093	Cg002G048030	Om003G121950
OG0000093	Cg002G048080	Om003G121760
OG0000093	Cg002G048040	Om003G121730, Om003G121770, Om003G121750
OG0000096	Cg002G073910, Cg002G073940, Cg002G073930	Om007G301150, Om003G093070, Om006G274060
OG0000096	Cg003G082280	Om004G143550, Om008G360980
OG0000096	Cg006G236390	Om005G187930
OG0000097	Cg003G079780, Cg003G094240	Om008G355550, Om008G355560
OG0000097	Cg003G079770, Cg003G094250	Om008G355570
OG0000097	Cg003G079730, Cg003G094300	Om008G355700
OG0000097	Cg003G094290, Cg003G079740	Om008G355610, Om008G355650, Om008G354170, Om008G354150
OG0000099	Cg007G246280, Cg007G246260, Cg007G246270	Om005G227480
OG0000099	Cg007G249510	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970, Om005G227260, Om003G118970, Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320, Om005G227550, Om005G227510
OG0000100	Cg008G316000	Om007G304610
OG0000104	Cg006G238510	Om005G185360
OG0000104	Cg005G177940, Cg005G177960, Cg005G177980, Cg005G177930	Om007G283030
OG0000104	Cg005G177920	Om007G283020
OG0000104	Cg006G200560	Om003G095420
OG0000104	Cg004G138340	Om002G069400
OG0000104	Cg006G197960, Cg006G197910	Om003G095350
OG0000104	Cg005G178070	Om007G283060
OG0000104	Cg005G177950, Cg005G177970	Om007G283040
OG0000107	Cg005G182320	Om002G067730
OG0000108	Cg008G306430	Om003G100270, Om003G100260
OG0000108	Cg004G146470	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810
OG0000108	Cg007G245680, Cg007G245670	Om006G273840, Om006G273820
OG0000109	Cg008G318050	Om007G296220
OG0000109	Cg004G150880, Cg006G210870, Cg005G180720, Cg006G218300, Cg006G206180	Om007G303510
OG0000110	Cg002G047270	Om003G123410
OG0000110	Cg002G047280	Om003G123400
OG0000113	Cg007G253910	Om005G227040, Om005G227030
OG0000117	Cg006G208080	Om002G088690
OG0000117	Cg007G257800	Om001G014560
OG0000119	Cg003G096910, Cg005G178360	Om004G164230, Om005G214120, Om005G222850
OG0000119	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730
OG0000120	Cg007G250010, Cg007G249930	Om005G221860
OG0000120	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520
OG0000120	Cg008G285500	Om007G296760, Om007G296900, Om004G172660
OG0000123	Cg001G014410	Om005G193630
OG0000123	Cg006G232300	Om005G193640
OG0000124	Cg008G309160	Om005G227380, Om001G036630, Om003G104490, Om003G111030, Om003G110990, Om003G111110, Om003G111130
OG0000124	Cg002G063920, Cg003G086460	Om008G318760, Om007G317440
OG0000125	Cg002G052860	Om006G254380
OG0000125	Cg008G283340	Om002G052080
OG0000125	Cg008G302630	Om006G244360
OG0000125	Cg006G238270	Om005G185630
OG0000125	Cg003G107610	Om006G245540
OG0000125	Cg005G178390	Om007G283300
OG0000126	Cg007G271870, Cg008G305740, Cg007G255150	Om006G262390
OG0000127	Cg008G282750	Om004G176300, Om004G176290
OG0000127	Cg007G262300, Cg007G263860	Om004G176280
OG0000127	Cg007G262280	Om005G189950, Om005G189960
OG0000128	Cg001G020220	Om005G217280
OG0000131	Cg002G057540	Om003G106820
OG0000132	Cg008G321270	Om008G361300
OG0000133	Cg007G269340	Om008G358290, Om008G345600, Om001G024110, Om007G315880
OG0000135	Cg004G138210	Om002G054930, Om005G226530
OG0000137	Cg001G031800	Om002G072120, Om006G268330, Om006G262830
OG0000138	Cg002G067580, Cg002G067290	Om001G026370
OG0000139	Cg005G182990	Om003G107910, Om003G108000
OG0000140	Cg003G106820	Om006G246590
OG0000140	Cg003G106450	Om006G247230, Om006G247200
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	Om006G246640
OG0000142	Cg005G177630	Om007G282660
OG0000144	Cg005G182040	Om002G077770, Om003G104710, Om008G351670, Om002G077760, Om005G218980, Om001G015950, Om001G019450, Om022G374950, Om007G317180
OG0000145	Cg008G324160, Cg008G308910, Cg001G039950, Cg003G096580, Cg001G035820	Om003G116800
OG0000146	Cg003G102630	Om003G117410
OG0000146	Cg003G102600	Om003G117350
OG0000146	Cg003G098470, Cg003G098480	Om003G097230
OG0000146	Cg003G102620	Om003G117400, Om003G117360
OG0000147	Cg004G155250	Om002G086500
OG0000147	Cg001G010340	Om001G025660
OG0000147	Cg003G104960	Om007G285990, Om006G249440
OG0000147	Cg007G280860	Om004G130850
OG0000147	Cg001G032760	Om003G106450
OG0000147	Cg004G146670	Om002G078960
OG0000149	Cg003G107330, Cg003G107340	Om006G245840
OG0000149	Cg001G028530	Om007G317470
OG0000149	Cg003G082350, Cg003G107280	Om006G256850
OG0000150	Cg002G064460	Om007G296930
OG0000150	Cg002G061890	Om001G010460
OG0000151	Cg003G100170	Om003G114720
OG0000151	Cg001G012710	Om001G021860
OG0000151	Cg004G124340	Om002G051120
OG0000151	Cg004G152640	Om002G082850
OG0000151	Cg003G103430	Om003G118410
OG0000151	Cg007G246070	Om005G227900
OG0000154	Cg006G229860	Om005G196960
OG0000154	Cg004G128290	Om002G056330
OG0000154	Cg008G283240	Om004G175620
OG0000154	Cg008G283230	Om004G175630
OG0000155	Cg001G013440	Om001G020030
OG0000155	Cg001G019660	Om001G007090
OG0000155	Cg001G019650	Om001G007100
OG0000155	Cg004G127780	Om002G055620
OG0000156	Cg005G160250	Om008G321950, Om008G321940
OG0000160	Cg007G264990, Cg006G202970	Om006G260300, Om005G203330, Om001G023460, Om002G054080, Om003G092480, Om006G239520, Om003G114830, Om001G041000, Om006G275250, Om004G160260, Om003G104260, Om002G079610, Om003G110430, Om005G214710, Om002G079600
OG0000161	Cg003G109710, Cg003G109720, Cg003G109690, Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820	Om006G236100, Om006G236170
OG0000161	Cg006G215310	Om004G175180
OG0000161	Cg007G261320	Om007G278440
OG0000161	Cg008G312840, Cg007G257200, Cg007G257190	Om004G167210, Om006G249300
OG0000162	Cg008G314630	Om003G125340
OG0000162	Cg002G046130	Om003G125230, Om003G125290, Om007G315000
OG0000162	Cg005G178220	Om003G125390
OG0000162	Cg002G046140	Om003G125170
OG0000162	Cg005G160860	Om008G322780, Om008G322790
OG0000165	Cg009G325660	Om005G200180, Om007G315340
OG0000165	Cg001G034730, Cg004G147530	Om006G266420
OG0000167	Cg001G021130	Om001G004410
OG0000167	Cg001G021160	Om001G004360
OG0000168	Cg008G324810, Cg001G034720	Om001G041790
OG0000171	Cg002G044340	Om003G127920
OG0000171	Cg006G222370, Cg007G270890	Om005G207720
OG0000171	Cg006G235360, Cg007G250530	Om005G220880
OG0000171	Cg008G294880	Om007G301020
OG0000172	Cg002G060680, Cg002G060150	Om003G123000
OG0000174	Cg009G325780, Cg006G205480	Om003G109150
OG0000175	Cg002G055540	Om002G084540, Om006G257450
OG0000175	Cg007G276430	Om004G137100
OG0000175	Cg001G005230	Om002G082840
OG0000176	Cg006G215620	Om001G007740, Om001G007770, Om001G007760, Om004G147890, Om004G147900, Om004G142560, Om007G292150
OG0000176	Cg006G215540	Om007G291450
OG0000178	Cg014G331270	Om002G070900, Om008G348660
OG0000178	Cg002G069730, Cg002G066500	Om006G274730, Om001G029800, Om003G091050, Om004G155850, Om002G053360, Om005G210720, Om005G226210, Om004G134680, Om004G134670, Om003G110440, Om002G077640, Om005G199540, Om007G276140, Om004G164470, Om002G068680
OG0000178	Cg008G316010	Om001G019830, Om008G338100
OG0000180	Cg001G043140	Om006G256410, Om003G119900
OG0000184	Cg006G215550	Om006G270790
OG0000185	Cg003G088110, Cg003G098770	Om001G041450, Om008G356330, Om008G319330
OG0000187	Cg001G008920	Om001G030100, Om008G336940
OG0000187	Cg001G008910	Om001G028140
OG0000189	Cg001G007520	Om001G037310
OG0000189	Cg002G073510	Om001G037320
OG0000190	Cg003G080590, Cg003G080580	Om008G353940
OG0000190	Cg006G210710	Om008G355670
OG0000190	Cg003G080530	Om008G353960
OG0000191	Cg004G153150, Cg004G153270	Om002G064270
OG0000192	Cg006G224780	Om005G203480
OG0000192	Cg006G224800	Om005G203400
OG0000192	Cg006G224790, Cg006G224760	Om005G203410
OG0000193	Cg004G140730	Om002G071740, Om002G071690
OG0000195	Cg002G049520, Cg005G164920	Om003G119760
OG0000195	Cg001G036760, Cg007G265630, Cg002G064380, Cg008G301610	Om007G285150
OG0000196	Cg006G217620	Om007G289450
OG0000196	Cg006G217600	Om007G289440
OG0000196	Cg006G237980	Om005G183260, Om008G337540
OG0000197	Cg001G041590	Om008G330910, Om001G002150, Om004G163020
OG0000201	Cg004G139100, Cg004G139090, Cg004G139080	Om002G070200
OG0000201	Cg004G139110	Om002G070210
OG0000202	Cg004G134030	Om002G064090
OG0000203	Cg004G120290	Om003G095370, Om002G055150
OG0000203	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080	Om002G046450, Om002G046460
OG0000209	Cg007G246040	Om005G228040, Om005G227980
OG0000210	Cg002G073630, Cg002G073600, Cg002G073620	Om001G032060, Om001G032100
OG0000210	Cg005G173490	Om007G278540
OG0000213	Cg005G191770, Cg005G191730	Om001G036460, Om001G036440, Om001G036450
OG0000214	Cg003G078170	Om004G136700, Om004G136680, Om004G145470
OG0000216	Cg001G018780	Om003G116290, Om001G008720, Om006G250260
OG0000218	Cg006G230920, Cg006G230900, Cg006G230890	Om005G195550
OG0000218	Cg002G072370	Om001G010890, Om001G010900, Om001G010920
OG0000218	Cg002G075340	Om004G138180, Om006G241660
OG0000219	Cg007G266520, Cg007G266510	Om005G213260
OG0000219	Cg005G177180	Om007G282230
OG0000221	Cg005G182530	Om002G088910
OG0000224	Cg007G278180, Cg007G278170, Cg007G278160	Om004G134640, Om004G134630
OG0000224	Cg007G247160	Om005G225780
OG0000226	Cg004G128760, Cg006G218020	Om003G089750
OG0000229	Cg007G270440, Cg007G270650, Cg007G261570, Cg002G059180	Om001G026580
OG0000233	Cg005G186600	Om008G347700, Om001G013210, Om002G075710
OG0000233	Cg006G211480	Om002G075720, Om001G016050
OG0000234	Cg002G051400	Om006G252380
OG0000234	Cg002G051410	Om006G252400
OG0000234	Cg002G051420	Om006G252410
OG0000234	Cg005G166930	Om008G332130
OG0000234	Cg008G293710	Om004G161230
OG0000235	Cg004G133010	Om002G062850, Om002G062830
OG0000236	Cg004G139220	Om002G071210
OG0000240	Cg003G085370, Cg001G030000	Om008G346080
OG0000242	Cg006G231900	Om005G193910
OG0000242	Cg006G231890	Om005G194120
OG0000242	Cg006G231910	Om005G193920, Om005G193930
OG0000244	Cg001G019150	Om001G008070
OG0000244	Cg003G093660, Cg003G080320	Om008G354340
OG0000244	Cg001G019160	Om001G008060
OG0000248	Cg003G081360	Om008G353070
OG0000248	Cg007G252860	Om011G365210, Om020G374470
OG0000249	Cg005G169790	Om008G336590, Om008G336600
OG0000250	Cg007G270580	Om005G208240, Om005G208260, Om005G208250
OG0000252	Cg008G283740, Cg004G136500	Om008G334420, Om008G334430, Om003G122070, Om004G175220
OG0000254	Cg004G134710	Om002G064970
OG0000254	Cg005G190180	Om004G175010
OG0000256	Cg003G080890	Om008G329780
OG0000256	Cg005G165640	Om008G329670
OG0000257	Cg006G198470, Cg006G198480	Om001G002940
OG0000257	Cg001G035030	Om006G235420
OG0000257	Cg004G126080	Om002G053540
OG0000258	Cg002G072340	Om008G334140
OG0000258	Cg002G072320	Om006G272550
OG0000264	Cg003G079930, Cg003G094080, Cg003G094890, Cg003G079050	Om008G355250
OG0000264	Cg003G079060, Cg003G094880	Om004G160560, Om004G160570, Om004G160550
OG0000265	Cg005G179750, Cg005G186970	Om007G304710, Om007G298190
OG0000267	Cg005G177130, Cg005G177100, Cg005G177110, Cg005G177030, Cg005G177010, Cg005G177140, Cg005G177090, Cg005G177120	Om004G134370, Om005G189100, Om002G050140
OG0000268	Cg002G074810	Om006G274870
OG0000268	Cg007G248330	Om008G334210
OG0000268	Cg008G282710	Om004G176390
OG0000268	Cg002G052420	Om006G253920
OG0000269	Cg002G069710	Om007G307110
OG0000270	Cg001G000740	Om001G041100
OG0000270	Cg001G005510	Om001G033200
OG0000271	Cg003G094150	Om004G174610
OG0000271	Cg006G199270	Om008G355390
OG0000273	Cg006G201150, Cg006G201180	Om007G280490
OG0000274	Cg003G107390	Om006G245790
OG0000274	Cg002G061020, Cg002G061010	Om008G354900
OG0000274	Cg005G177430	Om007G282440
OG0000275	Cg004G139010	Om002G070170, Om002G070160
OG0000276	Cg001G029710	Om008G337850
OG0000281	Cg006G199670	Om003G097620
OG0000281	Cg006G220980	Om003G121390, Om003G121360, Om003G121670
OG0000282	Cg008G288360	Om004G168700
OG0000282	Cg008G288350, Cg008G323220	Om004G168720
OG0000282	Cg008G288380	Om004G168690
OG0000282	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400	Om004G168680
OG0000283	Cg008G319010	Om007G278090
OG0000283	Cg008G318960, Cg008G318990, Cg008G318970	Om007G278120, Om007G278110, Om007G278160, Om007G278100, Om007G278130
OG0000284	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380	Om007G294370, Om002G074370, Om003G113380
OG0000287	Cg004G137910	Om002G068970, Om002G071390
OG0000287	Cg004G137970	Om002G068950
OG0000287	Cg004G137940	Om002G069010
OG0000287	Cg004G137980, Cg004G137960	Om002G068990, Om002G068980
OG0000290	Cg004G135310	Om002G065710
OG0000294	Cg004G133910	Om002G064000
OG0000294	Cg005G169690	Om008G336510
OG0000294	Cg005G158570	Om008G319990
OG0000294	Cg003G077590, Cg014G332020	Om004G159000
OG0000294	Cg006G243870	Om005G179320
OG0000297	Cg001G003600	Om005G212040, Om001G036360, Om001G036390
OG0000297	Cg003G108160	Om006G242900, Om006G244950
OG0000297	Cg004G136450	Om002G067110
OG0000299	Cg001G026230, Cg001G026550	Om018G373800, Om004G171990, Om004G172000
OG0000299	Cg007G279160	Om001G011700
OG0000300	Cg004G145450	Om001G025280
OG0000300	Cg004G145480, Cg004G145490	Om001G025290
OG0000300	Cg004G145430, Cg004G144800	Om008G353600
OG0000311	Cg008G296830	Om007G298120
OG0000311	Cg006G201410	Om003G099520
OG0000311	Cg004G134370	Om002G064550
OG0000311	Cg007G265360	Om005G213850
OG0000313	Cg001G020530	Om001G005460
OG0000313	Cg001G028860	Om001G005740
OG0000313	Cg006G200970	Om003G099080
OG0000314	Cg006G241650	Om005G181880
OG0000314	Cg006G241640	Om005G181890
OG0000314	Cg005G173580	Om007G278660
OG0000316	Cg005G165580, Cg005G165480	Om008G335620
OG0000319	Cg003G086150, Cg003G108110, Cg006G238150	Om005G185820, Om006G245010
OG0000321	Cg001G036410	Om003G119980
OG0000321	Cg001G036490, Cg001G035900, Cg001G035950, Cg001G035910, Cg001G035940	Om008G337250, Om004G152510, Om004G166140, Om008G337290, Om008G337300, Om008G337280, Om008G337270
OG0000322	Cg007G279100	Om004G133260
OG0000322	Cg006G228800	Om005G198270
OG0000322	Cg005G165820	Om008G333060, Om008G330110, Om008G330430
OG0000323	Cg003G101320	Om003G115780
OG0000324	Cg008G317460, Cg001G031330, Cg007G263750	Om007G305950, Om006G251240, Om008G362470, Om008G360900, Om007G309040, Om002G085120, Om004G135510, Om004G156750, Om004G138360, Om005G207620, Om005G223670, Om006G262380, Om002G083090, Om008G349590, Om003G111220
OG0000327	Cg002G052000	Om006G253100, Om006G251140, Om006G251150, Om006G253090
OG0000330	Cg002G046560	Om003G124480, Om003G124500
OG0000332	Cg008G300270	Om006G241400
OG0000332	Cg004G136440	Om003G097540
OG0000334	Cg002G052730	Om006G254200
OG0000334	Cg005G168750	Om008G335090
OG0000335	Cg004G142530, Cg004G127070	Om002G054740
OG0000336	Cg007G273380, Cg007G273390	Om004G142050
OG0000336	Cg006G228370	Om005G198950
OG0000336	Cg007G273370	Om004G142080, Om004G142060
OG0000339	Cg001G017490	Om001G010480
OG0000339	Cg005G159770	Om008G321390
OG0000340	Cg005G162340	Om008G325090
OG0000341	Cg007G258870, Cg001G030730	Om003G123430
OG0000344	Cg008G305710, Cg008G305700, Cg001G025010, Cg008G308010, Cg008G312970	Om006G240680
OG0000347	Cg004G127590, Cg007G261820, Cg007G261880, Cg007G261870, Cg007G261860, Cg007G261890, Cg007G261900, Cg007G261920, Cg007G261910, Cg007G261930, Cg007G261840, Cg007G264260, Cg007G264270, Cg007G264250, Cg007G264200, Cg007G264220, Cg007G264180, Cg007G264360, Cg007G264320, Cg007G261830, Cg007G264380, Cg007G264140, Cg007G264280, Cg007G264350, Cg007G264230, Cg007G264290, Cg007G264160, Cg007G264150, Cg007G264240, Cg007G264420, Cg007G264330, Cg007G264300, Cg007G264310, Cg007G264340, Cg007G261850, Cg007G264370, Cg007G264170, Cg007G264190, Cg007G264210, Cg007G264130	Om006G248330, Om006G248350, Om002G055420
OG0000348	Cg006G244770, Cg001G023970, Cg005G168250, Cg001G030910, Cg002G068730, Cg004G146340, Cg007G271550, Cg011G329030	Om007G315920, Om004G149150
OG0000349	Cg001G004450	Om001G035120
OG0000349	Cg005G177460	Om001G035100
OG0000351	Cg003G086090	Om002G059530
OG0000351	Cg008G290210	Om002G059500
OG0000352	Cg006G229000	Om005G197930, Om008G334130
OG0000355	Cg007G280400	Om004G131070
OG0000355	Cg005G187890	Om004G138140, Om005G184710, Om004G138150
