Orthogroup	Cardamine_glauca	Brassica_oleracea
OG0000056	Cg007G262570, Cg007G263580, Cg007G265440, Cg006G204190	XP_013639732.1, XP_013626954.1, XP_013638947.1, XP_013617766.1, XP_013627136.1, XP_013632954.1, XP_013629486.1, XP_013601558.1, XP_013607606.1, XP_013607741.1, XP_013633059.1, XP_013632733.1, XP_013623893.1, XP_013617628.1, XP_013607578.1, XP_013589124.1
OG0000056	Cg004G146250, Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320, Cg001G029590, Cg003G086110, Cg003G090290	XP_013614874.1, XP_013596572.1
OG0000057	Cg004G139300, Cg004G139380, Cg004G139340, Cg004G139360, Cg004G139320, Cg004G139330, Cg004G139250	XP_013589549.1
OG0000058	Cg005G185820	XP_013617740.1
OG0000058	Cg005G189250	XP_013595062.1, XP_013614222.1, XP_013594879.1, XP_013601570.1, XP_013616885.1, XP_013624858.1, XP_013624811.1
OG0000058	Cg005G185810	XP_013607678.1
OG0000061	Cg003G083990, Cg008G318200	XP_013628529.1
OG0000061	Cg007G263690, Cg007G267630	XP_013585220.1, XP_013616683.1, XP_013635812.1
OG0000062	Cg007G260660, Cg005G180090	XP_013591442.1, XP_013594277.1, XP_013623728.1, XP_013624643.1, XP_013615594.1, XP_013624395.1, XP_013626489.1, XP_013632865.1, XP_013583449.1
OG0000062	Cg010G326150	XP_013584961.1, XP_013591028.1, XP_013583246.1, XP_013624305.1, XP_013594953.1, XP_013583409.1, XP_013639827.1, XP_013588116.1, XP_013617685.1, XP_013617194.1, XP_013617550.1, XP_013639436.1, XP_013614606.1, XP_013589590.1, XP_013594276.1, XP_013623727.1, XP_013617780.1, XP_013633220.1, XP_013607786.1, XP_013608501.1, XP_013624109.1, XP_013634828.1
OG0000064	Cg001G000750	XP_013598018.1
OG0000064	Cg008G325030	XP_013623638.1, XP_013625555.1, XP_013626117.1, XP_013625990.1, XP_013601953.1, XP_013619488.1, XP_013587128.1, XP_013587126.1, XP_013627762.1, XP_013627931.1, XP_013602531.1, XP_013632671.1, XP_013632670.1, XP_013628026.1, XP_013615674.1, XP_013632642.1, XP_013635116.1, XP_013627588.1
OG0000065	Cg001G020190	XP_013617482.1, XP_013617341.1
OG0000066	Cg003G113360	XP_013599938.1, XP_013618388.1, XP_013621521.1, XP_013606481.1, XP_013631332.1, XP_013627996.1, XP_013637372.1, XP_013609086.1
OG0000067	Cg004G154470	XP_013623793.1, XP_013626885.1, XP_013606907.1, XP_013611652.1, XP_013610551.1
OG0000067	Cg008G318950	XP_013623517.1, XP_013623813.1, XP_013627886.1, XP_013602672.1, XP_013629845.1, XP_013626915.1, XP_013623762.1
OG0000070	Cg002G063700	XP_013615472.1
OG0000070	Cg005G186370	XP_013639478.1, XP_013614061.1, XP_013601287.1, XP_013617545.1
OG0000071	Cg005G184980	XP_013601126.1, XP_013601850.1, XP_013614231.1
OG0000071	Cg007G264730, Cg003G105600	XP_013601278.1
OG0000071	Cg006G240460	XP_013639677.1, XP_013589425.1, XP_013601846.1, XP_013617814.1, XP_013608108.1, XP_013601356.1, XP_013601674.1, XP_013639850.1, XP_013623769.1
OG0000073	Cg003G080870	XP_013628000.1, XP_013620412.1
OG0000073	Cg008G302430	XP_013608422.1
OG0000074	Cg006G222190	XP_013586913.1
OG0000074	Cg006G222350	XP_013603462.1, XP_013584900.1, XP_013586910.1
OG0000075	Cg003G083750, Cg005G174740, Cg008G291500, Cg008G290800, Cg008G290770, Cg006G214290	XP_013584290.1
OG0000075	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300	XP_013611358.1, XP_013615461.1
OG0000075	Cg001G033430, Cg006G221290, Cg008G323300	XP_013594256.1
OG0000075	Cg008G301210	XP_013597375.1
OG0000076	Cg002G054100	XP_013630964.1, XP_013615703.1
OG0000076	Cg007G272900	XP_013610604.1
OG0000076	Cg002G071650	XP_013599445.1, XP_013594267.1, XP_013594927.1
OG0000078	Cg002G071190	XP_013621386.1, XP_013617746.1, XP_013632635.1, XP_013632608.1, XP_013594937.1, XP_013624880.1, XP_013591282.1, XP_013615431.1, XP_013632718.1, XP_013617720.1, XP_013629722.1, XP_013624329.1
OG0000079	Cg004G118210	XP_013632057.1
OG0000079	Cg002G047470	XP_013622466.1, XP_013604174.1, XP_013634926.1
OG0000079	Cg005G185620	XP_013604627.1
OG0000079	Cg007G249140	XP_013604629.1
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	XP_013614702.1, XP_013614700.1
OG0000080	Cg004G150150	XP_013637545.1
OG0000080	Cg005G177060	XP_013633314.1
OG0000082	Cg003G082510, Cg003G083500	XP_013618832.1
OG0000083	Cg005G178780	XP_013639459.1
OG0000083	Cg004G140440	XP_013612566.1
OG0000083	Cg005G190480	XP_013593181.1
OG0000085	Cg007G270000	XP_013615286.1
OG0000087	Cg008G303510	XP_013598457.1
OG0000087	Cg005G177380	XP_013637001.1, XP_013636732.1
OG0000087	Cg003G110470	XP_013629087.1, XP_013629292.1, XP_013629400.1
OG0000087	Cg008G292710	XP_013611442.1
OG0000087	Cg005G171830	XP_013636563.1
OG0000087	Cg008G320640	XP_013612217.1, XP_013620476.1, XP_013598244.1
OG0000087	Cg001G020160	XP_013598013.1, XP_013621920.1, XP_013598364.1
OG0000087	Cg007G276340	XP_013592047.1
OG0000088	Cg005G181240	XP_013629613.1, XP_013613460.1, XP_013612884.1, XP_013626980.1, XP_013626981.1, XP_013626984.1, XP_013610320.1, XP_013626983.1, XP_013626986.1, XP_013630073.1
OG0000088	Cg002G059930	XP_013593337.1
OG0000088	Cg002G059530	XP_013612192.1
OG0000088	Cg001G039390, Cg008G300920	XP_013627653.1, XP_013607358.1
OG0000088	Cg003G090240, Cg003G095710	XP_013631070.1
OG0000089	Cg008G290150	XP_013629368.1, XP_013611822.1, XP_013620685.1
OG0000089	Cg004G127880	XP_013587485.1
OG0000089	Cg002G060740, Cg003G107020	XP_013623319.1
OG0000090	Cg006G225800	XP_013628560.1
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000090	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850	XP_013590802.1, XP_013590715.1
OG0000090	Cg002G074060	XP_013610618.1
OG0000090	Cg006G235770	XP_013620477.1
OG0000093	Cg002G047960	XP_013632132.1, XP_013632130.1, XP_013591322.1
OG0000093	Cg002G047940	XP_013603307.1, XP_013600272.1, XP_013604009.1
OG0000093	Cg002G048030	XP_013588854.1
OG0000093	Cg002G048080, Cg002G048040	XP_013609262.1
OG0000096	Cg007G252880	XP_013630204.1
OG0000096	Cg002G073910	XP_013594901.1
OG0000097	Cg003G079780, Cg003G094240	XP_013599827.1, XP_013584794.1
OG0000098	Cg007G253040, Cg007G249450	XP_013593751.1
OG0000099	Cg007G246280, Cg007G246260, Cg007G246270	XP_013624375.1
OG0000099	Cg007G249510	XP_013610735.1
OG0000100	Cg006G202960, Cg007G265000	XP_013607800.1
OG0000102	Cg001G040220	XP_013624680.1, XP_013639776.1, XP_013612628.1, XP_013589440.1
OG0000104	Cg006G238510	XP_013605923.1
OG0000104	Cg006G200560	XP_013590329.1
OG0000104	Cg004G138340	XP_013625710.1
OG0000104	Cg005G178050	XP_013634622.1
OG0000104	Cg005G178070	XP_013634487.1
OG0000105	Cg003G084510	XP_013607815.1
OG0000106	Cg001G042030	XP_013627644.1
OG0000107	Cg004G136880	XP_013586700.1
OG0000107	Cg004G136910	XP_013635068.1, XP_013624257.1
OG0000107	Cg004G136890, Cg004G136900	XP_013623726.1
OG0000108	Cg008G306430	XP_013617934.1
OG0000108	Cg007G245680, Cg007G245670	XP_013614188.1, XP_013615334.1
OG0000110	Cg002G047270	XP_013592532.1
OG0000110	Cg002G047280	XP_013590480.1
OG0000110	Cg002G047240	XP_013591144.1, XP_013591210.1
OG0000110	Cg007G269260	XP_013589380.1
OG0000111	Cg002G051630	XP_013603252.1, XP_013605672.1, XP_013602151.1, XP_013605673.1, XP_013602872.1, XP_013603171.1, XP_013603836.1, XP_013603745.1
OG0000113	Cg007G253910	XP_013607642.1
OG0000114	Cg008G318090	XP_013612354.1
OG0000117	Cg006G208080	XP_013598962.1
OG0000117	Cg007G257800	XP_013637133.1
OG0000119	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680	XP_013612859.1
OG0000120	Cg007G250010, Cg007G249930	XP_013610889.1, XP_013607713.1
OG0000120	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540	XP_013601021.1, XP_013601023.1, XP_013588993.1, XP_013588958.1, XP_013588961.1
OG0000120	Cg008G285500	XP_013608535.1
OG0000122	Cg003G086890	XP_013620024.1
OG0000122	Cg003G103770	XP_013610314.1
OG0000123	Cg006G218510, Cg006G218490	XP_013627145.1
OG0000123	Cg001G014420	XP_013597957.1, XP_013589486.1
OG0000123	Cg001G029000, Cg001G029020	XP_013590229.1
OG0000125	Cg002G052860	XP_013605053.1, XP_013636203.1, XP_013589314.1
OG0000125	Cg008G302630	XP_013625682.1, XP_013606602.1
OG0000125	Cg003G107610	XP_013606787.1
OG0000125	Cg005G178390	XP_013631988.1, XP_013622502.1, XP_013631825.1
OG0000126	Cg001G027760, Cg001G028690, Cg002G060390, Cg007G271870, Cg008G305740, Cg007G255150	XP_013601019.1, XP_013613934.1, XP_013633096.1, XP_013617967.1
OG0000127	Cg008G282750	XP_013634983.1
OG0000127	Cg007G262300, Cg007G263860	XP_013610053.1
OG0000127	Cg004G124780	XP_013583436.1
OG0000127	Cg007G262280	XP_013595164.1, XP_013639264.1
OG0000128	Cg001G020220	XP_013632707.1
OG0000128	Cg008G318340	XP_013639126.1, XP_013624127.1, XP_013639757.1
OG0000133	Cg007G269340	XP_013626943.1
OG0000133	Cg003G084500, Cg005G185150, Cg004G141220	XP_013601903.1, XP_013639346.1, XP_013608115.1, XP_013601604.1, XP_013583259.1
OG0000135	Cg004G138210	XP_013607521.1, XP_013601177.1, XP_013617672.1, XP_013583468.1, XP_013588936.1, XP_013639841.1, XP_013616949.1, XP_013594852.1, XP_013624041.1, XP_013622487.1, XP_013613664.1, XP_013607776.1, XP_013614674.1, XP_013601395.1, XP_013624697.1, XP_013635412.1, XP_013608297.1, XP_013617980.1, XP_013589603.1, XP_013589096.1, XP_013632860.1, XP_013617212.1, XP_013622608.1, XP_013616864.1, XP_013608253.1
OG0000136	Cg001G037040	XP_013589268.1
OG0000137	Cg001G041290	XP_013633165.1
OG0000138	Cg008G324060	XP_013634787.1
OG0000138	Cg002G067580, Cg002G067290	XP_013615083.1
OG0000140	Cg003G106800	XP_013626670.1
OG0000140	Cg003G106450	XP_013620395.1, XP_013620391.1, XP_013618644.1, XP_013620392.1, XP_013620394.1
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	XP_013609630.1
OG0000142	Cg005G176030	XP_013634388.1
OG0000144	Cg005G182040	XP_013632920.1, XP_013633062.1, XP_013617587.1, XP_013597156.1, XP_013615036.1, XP_013622528.1, XP_013590672.1, XP_013612034.1, XP_013635059.1, XP_013633248.1, XP_013632628.1, XP_013589498.1
OG0000146	Cg003G102630	XP_013627427.1, XP_013619494.1
OG0000146	Cg003G102640	XP_013619272.1, XP_013606365.1
OG0000146	Cg003G102600	XP_013608191.1
OG0000146	Cg003G102620	XP_013618766.1, XP_013610172.1, XP_013610274.1
OG0000146	Cg003G102610	XP_013626781.1
OG0000147	Cg004G155250	XP_013597841.1, XP_013611416.1, XP_013623586.1
OG0000147	Cg003G104960	XP_013620594.1
OG0000147	Cg007G280860	XP_013588689.1
OG0000147	Cg004G146670	XP_013623185.1
OG0000147	Cg005G189880	XP_013605622.1
OG0000149	Cg002G060880	XP_013591815.1, XP_013624654.1
OG0000149	Cg003G107300, Cg003G107310	XP_013628381.1, XP_013620734.1
OG0000149	Cg003G107320	XP_013618276.1
OG0000149	Cg003G107280	XP_013615353.1
OG0000150	Cg002G061900	XP_013633270.1
OG0000151	Cg003G100170	XP_013613316.1
OG0000151	Cg001G012710	XP_013639325.1, XP_013600456.1
OG0000151	Cg004G124340	XP_013622635.1, XP_013617767.1, XP_013638468.1
OG0000151	Cg004G152640	XP_013625767.1, XP_013599341.1
OG0000151	Cg003G103430	XP_013621604.1, XP_013606619.1, XP_013622226.1
OG0000151	Cg007G246070	XP_013608966.1, XP_013606344.1
OG0000152	Cg006G206580	XP_013619992.1, XP_013633090.1
OG0000152	Cg002G069910, Cg006G216840, Cg002G069290, Cg005G182640, Cg004G145620, Cg002G063800, Cg003G096260, Cg001G034420, Cg007G260590, Cg004G146430, Cg002G067820, Cg005G182630, Cg007G251500, Cg003G082490, Cg008G288890, Cg007G251240, Cg006G195780	XP_013594572.1, XP_013589287.1, XP_013594961.1, XP_013632593.1, XP_013616911.1, XP_013624658.1, XP_013591103.1, XP_013634271.1, XP_013589388.1, XP_013632999.1, XP_013633457.1, XP_013626333.1, XP_013583325.1, XP_013617114.1, XP_013628023.1
OG0000154	Cg006G229860	XP_013603183.1, XP_013586550.1
OG0000154	Cg004G128290	XP_013611399.1
OG0000154	Cg004G125060	XP_013616125.1
OG0000154	Cg008G283240	XP_013586681.1, XP_013628594.1
OG0000154	Cg008G283230	XP_013610798.1, XP_013636193.1
OG0000155	Cg001G013440	XP_013604992.1, XP_013598493.1
OG0000155	Cg001G019660	XP_013595378.1
OG0000155	Cg001G019650	XP_013598049.1
OG0000155	Cg004G127780	XP_013628486.1
OG0000156	Cg002G045690	XP_013634565.1
OG0000156	Cg005G160240	XP_013635993.1
OG0000158	Cg005G184100	XP_013584343.1, XP_013603971.1
OG0000160	Cg003G091850	XP_013639450.1, XP_013593469.1
OG0000161	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820	XP_013618060.1, XP_013620235.1
OG0000161	Cg007G261320	XP_013617087.1
OG0000161	Cg007G257190	XP_013584094.1
OG0000162	Cg008G314630, Cg002G046130	XP_013636352.1
OG0000162	Cg005G178220	XP_013603186.1
OG0000162	Cg002G046140	XP_013589389.1
OG0000162	Cg005G160860	XP_013632427.1
OG0000165	Cg009G325660	XP_013607591.1, XP_013613668.1, XP_013632544.1, XP_013634863.1, XP_013632582.1, XP_013614460.1, XP_013601725.1, XP_013617614.1, XP_013615290.1, XP_013601806.1
OG0000165	Cg001G034730, Cg004G147530	XP_013624270.1, XP_013633228.1
OG0000167	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000, Cg003G085600, Cg003G085540, Cg005G187960, Cg005G187970, Cg005G188000, Cg005G188050, Cg005G187980, Cg001G021130	XP_013597471.1
OG0000167	Cg001G021160	XP_013591070.1
OG0000168	Cg001G034720	XP_013624671.1, XP_013613644.1
OG0000171	Cg006G222370, Cg007G270890	XP_013591469.1, XP_013598255.1, XP_013615623.1, XP_013638007.1
OG0000171	Cg008G294880	XP_013606531.1
OG0000172	Cg002G060680, Cg002G060150	XP_013627674.1
OG0000173	Cg003G091670	XP_013633246.1, XP_013594390.1, XP_013607846.1, XP_013632624.1, XP_013632688.1, XP_013632752.1, XP_013628198.1, XP_013601272.1, XP_013639569.1, XP_013589338.1
OG0000174	Cg009G325780, Cg006G205480	XP_013632966.1, XP_013639350.1, XP_013628317.1, XP_013613857.1, XP_013633174.1, XP_013614970.1, XP_013615628.1, XP_013594966.1, XP_013632040.1, XP_013639489.1, XP_013624703.1, XP_013632910.1, XP_013608335.1, XP_013632486.1, XP_013624014.1, XP_013633240.1, XP_013614762.1, XP_013633176.1, XP_013617509.1, XP_013628376.1, XP_013615485.1, XP_013617782.1, XP_013613471.1, XP_013617851.1
OG0000175	Cg002G055540	XP_013584461.1, XP_013594142.1, XP_013604425.1
OG0000175	Cg001G005230	XP_013611367.1
OG0000175	Cg001G004130	XP_013629002.1
OG0000177	Cg007G253550, Cg005G182360, Cg007G250370, Cg006G214000	XP_013624281.1, XP_013639360.1, XP_013632637.1
