Orthogroup	Cardamine_glauca	Aethionema_saxatile
OG0000154	Cg006G229860	As007G152520
OG0000154	Cg004G128290	As009G210670
OG0000154	Cg004G125060	As002G034300
OG0000154	Cg008G283240	As005G107550
OG0000155	Cg001G013440, Cg001G019660, Cg001G019650	As003G059350
OG0000156	Cg002G045690	As012G287040, As012G287050
OG0000156	Cg005G160250	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580
OG0000161	Cg003G109710, Cg003G109720, Cg003G109690, Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820, Cg007G261690, Cg007G262070, Cg007G264010, Cg006G215310, Cg007G261320	As001G013550, As001G029600, As001G029610
OG0000162	Cg005G178220	As012G286440
OG0000162	Cg005G160860, Cg005G178250	As005G102210
OG0000165	Cg001G034730, Cg004G147530	As001G011340, As001G010810, As001G010990, As012G282150
OG0000167	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000, Cg003G085600, Cg003G085540, Cg005G187960, Cg005G187970, Cg005G188000, Cg005G188050, Cg005G187980, Cg001G021130	As003G057890
OG0000171	Cg002G044340	As005G099780
OG0000171	Cg006G235360	As007G159620
OG0000171	Cg008G294880	As009G200410
OG0000175	Cg002G055540	As010G220360
OG0000175	Cg006G225880	As007G156270
OG0000175	Cg001G005230	As011G263590
OG0000175	Cg004G153920	As011G264780, As003G072250
OG0000184	Cg008G312020, Cg006G215550	As004G089570
OG0000187	Cg001G008920, Cg001G008910	As001G003940
OG0000189	Cg004G151040	As003G074800
OG0000190	Cg003G080590, Cg003G080580, Cg006G210720, Cg006G210710, Cg003G080530, Cg003G087120, Cg003G087200	As004G085680
OG0000195	Cg001G036760, Cg007G265630	As001G028840
OG0000195	Cg008G301610	As002G033300
OG0000203	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080	As006G136770
OG0000207	Cg007G279410	As003G061070
OG0000213	Cg005G191770, Cg005G191730	As002G038840
OG0000218	Cg006G230920, Cg006G230900, Cg006G230890, Cg002G072370, Cg002G075340	As001G022650
OG0000219	Cg007G266520, Cg007G266510	As001G028500, As001G028480
OG0000219	Cg003G095240, Cg003G111060	As003G064990
OG0000220	Cg002G057630	As010G221990, As010G221980, As010G221950, As010G221930, As010G222000, As010G222030, As010G222010, As010G222040
OG0000221	Cg005G182530	As002G040520
OG0000224	Cg007G278180, Cg007G278170, Cg007G278160	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	Cg001G008870, Cg001G017640, Cg007G247160	As001G031540
OG0000225	Cg006G217130	As003G069680, As003G070050
OG0000228	Cg008G307350	As007G159250
OG0000228	Cg002G069120	As010G233780, As010G233750
OG0000228	Cg007G271280, Cg007G271290	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	Cg007G260410	As001G028220
OG0000232	Cg004G121460, Cg004G149470, Cg004G149480, Cg004G150500, Cg004G149520, Cg004G149550	As002G036540, As006G139020
OG0000233	Cg005G186460	As005G111800
OG0000234	Cg002G051410	As012G281460
OG0000234	Cg002G051420, Cg005G166930	As006G143800
OG0000234	Cg008G293710	As009G210340
OG0000237	Cg007G261810, Cg006G203590	As011G257810
OG0000238	Cg002G071780	As008G190870
OG0000242	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670, Cg004G150020, Cg004G150680, Cg006G231900, Cg006G231890, Cg006G231910	As008G183340, As008G183330
OG0000244	Cg001G019150	As003G059930
OG0000244	Cg003G093660, Cg003G080320	As004G085820
OG0000244	Cg001G019160	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900
OG0000248	Cg007G252860	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	Cg005G169790	As006G145330, As008G193990, As006G145350, As006G145320
OG0000257	Cg004G126080, Cg001G001780	As002G035710, As012G268510
OG0000258	Cg003G104860	As002G048970
OG0000268	Cg002G074810	As001G023230
OG0000268	Cg007G248330	As001G023220, As001G023200
OG0000268	Cg007G248320	As001G023190
OG0000268	Cg008G282710	As005G106920
OG0000268	Cg002G052420	As012G278370
OG0000270	Cg001G000740	As003G075960
OG0000270	Cg001G005510	As001G014420
OG0000271	Cg003G094150	As002G034810, As005G108140
OG0000271	Cg003G079870	As004G086280
OG0000272	Cg001G026510, Cg008G325020	As003G064910
OG0000273	Cg006G201170	As012G273480
OG0000274	Cg003G107390	As005G114920
OG0000274	Cg005G177430	As006G128840, As006G128830
OG0000276	Cg001G029710	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920
OG0000277	Cg001G025730, Cg001G025680, Cg001G025710, Cg001G025690, Cg001G025720	As004G096710
OG0000282	Cg008G288380	As002G055220
OG0000283	Cg008G319010	As006G125110
OG0000283	Cg008G318960, Cg008G318990, Cg008G318970	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380	As006G139300
OG0000293	Cg008G293400, Cg001G035010	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280
OG0000294	Cg004G133910	As011G249490
OG0000294	Cg005G169690	As006G145420
OG0000294	Cg005G158570	As005G099900
OG0000294	Cg003G077590, Cg014G332020	As006G122700
OG0000294	Cg006G243870	As008G198060
OG0000295	Cg007G263400	As011G246810
OG0000297	Cg001G003600, Cg005G178560, Cg005G178570, Cg005G178540	As008G198730
OG0000297	Cg003G108160, Cg004G136450	As005G114280
OG0000299	Cg001G026230, Cg001G026550	As010G241870, As010G241880
OG0000299	Cg005G181190, Cg007G279160	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800
OG0000299	Cg006G194370	As012G267900
OG0000308	Cg007G273340, Cg001G040650, Cg007G273310	As010G240850, As010G240840, As010G240940, As010G240920
OG0000310	Cg002G058430	As005G115910, As001G004860, As001G003850, As005G113880
OG0000311	Cg008G296830	As009G202530
OG0000311	Cg006G201410	As012G273730
OG0000311	Cg004G134370	As011G249880
OG0000311	Cg001G036380	As004G077290
OG0000311	Cg007G265360	As001G029000
OG0000313	Cg001G020530	As003G058420
OG0000313	Cg001G028860	As007G163450, As007G163440
OG0000313	Cg001G020560	As003G064930
OG0000314	Cg006G241650	As008G195840
OG0000314	Cg005G174030, Cg006G241640	As006G125760
OG0000314	Cg005G173580	As006G125450
OG0000316	Cg006G210390, Cg008G298570, Cg001G041080	As008G187440, As008G187910
OG0000319	Cg003G086150, Cg003G108110, Cg006G238150	As006G129730, As005G114310, As008G191530
OG0000321	Cg001G036410, Cg001G036490, Cg001G035900, Cg001G035950, Cg001G035910, Cg001G035940	As001G010170
OG0000322	Cg007G279100	As009G214030
OG0000322	Cg005G165820	As007G153590
OG0000323	Cg003G101320	As002G045490
OG0000323	Cg001G013020	As005G112480
OG0000327	Cg006G222130, Cg006G222140, Cg006G222120	As008G195090, As008G195100, As011G263130
OG0000329	Cg005G161130, Cg004G137660	As007G180560
OG0000332	Cg007G259450	As001G030000
OG0000332	Cg008G300270	As002G033230
OG0000332	Cg006G199650	As011G251780
OG0000334	Cg002G052730	As012G277630
OG0000334	Cg005G168750, Cg008G316780, Cg003G078420, Cg014G331200, Cg014G331210, Cg003G078410	As006G146780
OG0000339	Cg001G017490	As003G061400
OG0000339	Cg014G333260, Cg003G076340	As006G121550
OG0000339	Cg005G159770, Cg002G045310	As005G101130, As012G287430
OG0000340	Cg005G162340	As005G103820
OG0000344	Cg001G025010	As005G110100
OG0000344	Cg008G308010, Cg008G312970	As009G215190, As009G215530
OG0000347	Cg007G261820	As002G037650
OG0000348	Cg004G146340, Cg007G271550	As002G041810
OG0000351	Cg003G086090	As011G246630, As009G207800, As011G246680
OG0000351	Cg008G290210	As011G246700, As011G246690
OG0000351	Cg004G130660	As007G177900
OG0000352	Cg006G229000	As007G153380
OG0000358	Cg008G289900, Cg006G242200	As006G124930, As008G196330
OG0000358	Cg008G319440, Cg008G289890, Cg008G289880	As008G196390
OG0000359	Cg005G172170	As012G275420
OG0000360	Cg003G114850, Cg003G114870, Cg003G114860	As005G119730
OG0000363	Cg004G145460	As009G209420
OG0000368	Cg001G002850, Cg001G002860	As003G073560, As003G073580
OG0000368	Cg001G002840, Cg001G002830	As003G073600, As003G073590
OG0000370	Cg006G228950, Cg001G033700, Cg001G033710, Cg001G015500	As007G153440
OG0000371	Cg006G220780, Cg005G158480, Cg006G243100, Cg005G158470	As005G099710, As005G099720
OG0000372	Cg001G013540, Cg001G013550, Cg001G013560	As006G132540, As006G132550
OG0000374	Cg006G203210, Cg006G203180, Cg006G203200, Cg006G203220, Cg006G203250, Cg006G203260, Cg006G203240, Cg006G203230, Cg006G203190, Cg006G198280, Cg006G198270, Cg006G198290	As012G273470, As012G273550
OG0000377	Cg007G249710	As001G021080, As001G021090
OG0000382	Cg006G243790	As006G122900
OG0000382	Cg006G236900	As008G188710
OG0000383	Cg006G217970	As003G069230
OG0000383	Cg006G218010, Cg006G217980	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000384	Cg006G196900	As011G247740
OG0000386	Cg002G072490, Cg002G072500	As001G025230, As001G025220, As011G256850
OG0000386	Cg002G053280	As012G276900, As012G276880
OG0000390	Cg008G303200	As001G012620
OG0000390	Cg002G062740	As011G251840
OG0000391	Cg006G223610	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360
OG0000392	Cg002G056620, Cg002G056600	As010G221170
OG0000392	Cg001G037860, Cg001G037810, Cg002G056570	As010G221200, As010G221190, As010G221180
OG0000396	Cg001G030810, Cg002G069030	As001G026970
OG0000396	Cg002G069060, Cg002G069050	As001G026990, As001G027000, As001G027010
OG0000398	Cg006G195010	As012G268810
OG0000403	Cg007G250680	As001G020780, As001G020790
OG0000404	Cg002G054180, Cg008G286930, Cg004G127240, Cg005G170410	As006G144680, As002G037330
OG0000405	Cg006G212540	As002G037730
OG0000406	Cg008G297220, Cg002G046730, Cg004G118250	As006G136090
OG0000407	Cg007G246870, Cg008G295960, Cg008G295160	As009G201130, As009G201860
OG0000410	Cg007G249030, Cg007G249100, Cg007G249090, Cg007G249110	As001G021670, As001G021680
OG0000411	Cg007G248450	As001G022090
OG0000411	Cg004G145680	As011G261620
OG0000411	Cg003G093460, Cg003G080490	As004G085710
OG0000411	Cg001G019000	As003G060010
OG0000412	Cg003G101880	As002G046400
OG0000412	Cg001G013500	As006G132500
OG0000412	Cg006G198710	As012G271680
OG0000413	Cg004G129370	As011G245460
OG0000413	Cg001G014360, Cg003G104010	As002G048240
OG0000414	Cg006G220700	As003G058750, As003G058770, As003G058760
OG0000415	Cg008G292540, Cg008G306950	As005G104640
OG0000416	Cg005G174990, Cg005G174850	As006G125710
OG0000416	Cg006G240670	As006G127220, As008G194210
OG0000417	Cg004G141850, Cg003G109700	As007G163710, As008G186410
OG0000421	Cg001G039140, Cg001G039040	As004G078160, As004G078150
OG0000422	Cg001G020210, Cg006G236580, Cg006G236570, Cg006G236560, Cg006G236590	As008G188280, As008G188290, As008G188300
OG0000423	Cg007G273210	As010G241040
OG0000423	Cg006G195220	As012G269020
OG0000429	Cg008G305090	As009G215310
OG0000429	Cg008G291690	As002G052030
OG0000429	Cg001G008100, Cg005G188170	As001G004910
OG0000430	Cg004G152450	As011G263500
OG0000430	Cg001G005380	As001G014590
OG0000430	Cg005G193810	As007G181940
OG0000431	Cg007G251970	As001G019780
OG0000431	Cg006G235970, Cg006G235980	As008G187750
OG0000432	Cg003G099400	As002G044400
OG0000432	Cg001G014130	As006G134280
OG0000432	Cg003G103300	As002G047750
OG0000433	Cg008G318270	As003G075340
OG0000435	Cg006G224010	As001G004050, As006G138290
OG0000436	Cg001G014470, Cg003G104180, Cg001G011130, Cg004G156050, Cg004G156060	As011G266430, As002G048360
OG0000437	Cg006G211940	As003G062850
OG0000438	Cg003G081140	As004G085300
OG0000439	Cg006G240180, Cg006G240170	As008G194170
OG0000439	Cg002G047030	As012G285510
OG0000439	Cg005G175260	As006G127290
OG0000440	Cg008G297760, Cg004G118560	As006G136440
OG0000441	Cg004G132880	As011G248660
OG0000441	Cg004G132870, Cg004G132860	As011G248650
OG0000446	Cg003G110320	As009G219000
OG0000446	Cg002G074360	As001G023650
OG0000446	Cg006G231520	As008G183010
OG0000447	Cg004G131200	As011G247170
OG0000447	Cg005G172640	As004G081330
OG0000447	Cg006G218040	As003G069220
OG0000448	Cg008G324500, Cg008G324490, Cg008G324510	As004G089550
OG0000449	Cg002G061250	As010G224860
OG0000449	Cg003G107590	As005G114720
OG0000449	Cg002G061240	As010G224870
OG0000449	Cg003G107580	As005G114730
OG0000454	Cg003G099450	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520
OG0000460	Cg007G250660, Cg007G250670	As005G099100
OG0000461	Cg006G245470	As008G199680
OG0000462	Cg006G210000	As009G214710
OG0000463	Cg002G060360, Cg002G060380, Cg002G060460, Cg002G060450, Cg002G060570, Cg002G060480	As010G224360, As010G224370
OG0000466	Cg005G169700, Cg005G160230, Cg008G284120	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670
OG0000468	Cg002G051880	As012G280020
OG0000468	Cg005G173840	As006G125920
OG0000468	Cg005G167330	As006G144160
OG0000471	Cg006G217740, Cg006G217720, Cg006G217730, Cg006G217690	As003G069540, As003G069550
OG0000472	Cg001G040820	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050
OG0000472	Cg001G040810, Cg001G040800	As004G097020
OG0000473	Cg002G044230	As012G288330, As005G099530
OG0000474	Cg002G057990, Cg005G190550, Cg001G009730	As009G216860, As011G261780, As010G222300
OG0000477	Cg008G287900, Cg003G105990, Cg004G153320, Cg005G168060	As004G084280, As009G211280
OG0000482	Cg007G266950, Cg001G038090	As004G077750, As001G028390
OG0000483	Cg003G102670	As002G047220
OG0000484	Cg008G322230	As009G203850
OG0000487	Cg006G241950	As006G137570
OG0000495	Cg003G101210	As001G001610, As001G001580, As001G001640, As001G001650
OG0000495	Cg005G191210	As007G179430, As007G177930
OG0000496	Cg007G248520	As011G256460, As011G256470
OG0000496	Cg004G148140	As001G012100, As004G090800
OG0000496	Cg002G063650, Cg004G148150	As002G041610
OG0000497	Cg008G309780, Cg008G311600	As009G210870, As009G211010
OG0000497	Cg006G209790	As010G233080, As007G164590, As007G163820, As007G164600
OG0000497	Cg006G209780	As002G040610
OG0000498	Cg003G100300	As002G045150
OG0000499	Cg001G022510	As003G056720
OG0000499	Cg004G130580	As011G246530
OG0000500	Cg008G321790	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480
OG0000501	Cg006G209830	As010G232220
OG0000504	Cg008G283420	As006G143860
OG0000504	Cg004G125100	As002G037010, As002G034340
OG0000505	Cg008G304760, Cg008G304720, Cg008G304710	As009G215510
OG0000506	Cg008G286990	As010G234690
OG0000510	Cg007G250480, Cg007G250500, Cg007G250460	As001G020890, As001G020900
OG0000511	Cg007G247860	As001G032060
OG0000512	Cg001G017530, Cg001G017520, Cg002G068470, Cg001G017500, Cg001G017510	As003G061390
OG0000513	Cg002G052890	As006G146210
OG0000513	Cg002G061210, Cg003G107510	As005G114770
OG0000521	Cg006G209950	As003G063570
OG0000521	Cg003G085930	As004G080410
OG0000521	Cg007G278940	As007G158420
OG0000522	Cg006G212940, Cg006G212930, Cg003G083650, Cg003G083570	As004G083810
OG0000524	Cg008G312990	As006G141600, As006G141560, As006G141590
OG0000525	Cg007G279230	As010G241940
OG0000525	Cg006G228960	As007G153430
OG0000525	Cg004G130910	As011G246900
OG0000525	Cg006G196190	As012G269710
OG0000526	Cg002G059250	As010G223400
OG0000526	Cg002G059300	As010G223440
OG0000530	Cg008G297330, Cg008G297350, Cg008G297320, Cg008G297430	As009G203010, As009G203020, As009G203100, As009G203060, As009G202740
OG0000533	Cg005G193250	As007G180830, As003G075650
OG0000533	Cg004G152110	As011G263320
OG0000534	Cg007G248240, Cg007G248260, Cg007G248310, Cg007G248250	As007G167300, As001G022180, As001G022190, As001G022170, As001G016060
OG0000535	Cg002G074700, Cg002G074680, Cg007G250270	As001G023320
OG0000537	Cg003G094580, Cg003G079430	As006G124070
OG0000537	Cg001G031430	As004G093070
OG0000537	Cg004G123580	As006G141200
OG0000538	Cg005G162220, Cg005G162250, Cg005G162230	As005G103710, As005G103700
OG0000539	Cg007G251010	As005G120910
OG0000540	Cg005G177450, Cg005G177480, Cg005G177500, Cg005G177490	As006G128870, As006G128860, As006G128850
OG0000541	Cg005G177760	As006G128960, As006G128940
OG0000542	Cg008G296420	As009G202020
OG0000542	Cg006G200890	As012G273170
OG0000543	Cg005G190410, Cg005G189960, Cg005G190420, Cg005G190000, Cg005G189950, Cg005G190430, Cg005G189990, Cg005G190400, Cg005G189970, Cg005G190020, Cg005G189980	As007G177800
OG0000544	Cg006G241110	As008G195060
OG0000544	Cg006G241100	As008G195020, As008G195030, As008G195070, As008G195140, As008G195120
OG0000545	Cg007G275530	As010G238530
OG0000546	Cg004G152970, Cg004G152950, Cg004G152920, Cg004G152930, Cg004G152960, Cg004G152940	As011G264020, As011G264080, As011G264050, As011G264010, As011G264090, As011G264000, As011G264100, As011G263960, As011G264110, As011G263990, As011G264030, As011G264060, As011G263920, As011G264120, As011G263950, As011G263980
OG0000550	Cg005G170400	As002G037320
OG0000550	Cg002G054170	As012G276110
OG0000551	Cg003G112680	As005G117770
OG0000551	Cg001G001200	As003G075520
OG0000551	Cg008G290260	As002G053470
OG0000552	Cg006G222430	As007G159560
OG0000553	Cg006G211460	As003G063070, As003G063050
OG0000555	Cg003G081530, Cg007G253720	As003G067180
OG0000556	Cg008G311260, Cg008G309430	As006G140800
OG0000557	Cg002G046330	As012G286190
OG0000559	Cg008G283670, Cg008G283680, Cg008G284340	As005G107810
OG0000560	Cg003G107170	As005G115530
OG0000560	Cg006G242130	As008G196260, As008G196230
OG0000561	Cg008G302100, Cg003G090310, Cg003G095750, Cg003G113090, Cg003G113110	As005G118160
OG0000562	Cg004G121670	As006G139230
OG0000562	Cg008G294850	As009G200380
OG0000562	Cg008G306290	As009G205610
OG0000564	Cg001G008860	As007G177230
OG0000564	Cg005G189590	As007G177180
OG0000565	Cg008G295270	As010G233050
OG0000566	Cg008G300820	As011G250840
OG0000570	Cg004G117190	As006G135060
OG0000571	Cg003G108460	As005G113940
OG0000571	Cg006G237990, Cg006G238000	As008G191230
OG0000578	Cg006G235600	As008G187240
OG0000578	Cg007G251220	As001G020350
OG0000579	Cg001G042350	As004G098040
OG0000582	Cg008G302230	As005G113410
OG0000582	Cg005G180390	As006G130460
OG0000584	Cg001G012010	As001G000400
OG0000585	Cg004G130730, Cg005G172160, Cg006G216450	As011G246780, As003G070380, As012G275350
OG0000586	Cg008G317030	As004G082960
OG0000587	Cg014G331710, Cg003G077950	As006G122410
OG0000587	Cg005G158850	As005G100170
OG0000587	Cg006G244220	As008G198370
OG0000588	Cg004G131080	As011G247080
OG0000588	Cg005G163370	As005G104750
OG0000588	Cg006G196360	As012G269820
OG0000589	Cg003G107490	As005G114800
OG0000589	Cg002G061190, Cg002G061200	As010G224800
OG0000590	Cg008G306680	As009G205980
OG0000590	Cg006G243560	As008G197660
OG0000592	Cg004G134690	As011G250170
