Orthogroup	Cardamine_glauca	Arabidopsis_arenosa
OG0000031	Cg007G247230, Cg007G246930	jg611, jg588, jg582, jg580
OG0000031	Cg007G247710	jg642
OG0000031	Cg001G042060	jg12744
OG0000031	Cg004G133170	jg25741
OG0000031	Cg007G245660	jg372
OG0000033	Cg001G017700	jg10203, jg10197
OG0000033	Cg001G017740, Cg001G017730	jg10204
OG0000033	Cg001G017780	jg10186, jg10200, jg10207
OG0000033	Cg001G019620	jg10426
OG0000033	Cg001G019630	jg10425
OG0000033	Cg001G017580	jg10175
OG0000033	Cg001G017790	jg10208
OG0000033	Cg003G079950, Cg003G094060	jg7784
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	jg16618
OG0000036	Cg005G182230, Cg005G181070	jg11852, jg13931, jg6976, jg17098, jg1485, jg16419, jg27812, jg17384
OG0000038	Cg005G159520	jg20023, jg549
OG0000038	Cg002G057430	jg14792
OG0000038	Cg003G103850	jg21941, jg22515
OG0000038	Cg008G320560	jg20757, jg20756
OG0000038	Cg002G052970	jg31052
OG0000039	Cg004G126960, Cg005G180100, Cg002G062370, Cg002G062340	jg6819
OG0000040	Cg006G217350	jg30787, jg31202, jg31203
OG0000040	Cg001G030090	jg25536
OG0000040	Cg006G235040	jg29499
OG0000040	Cg004G137150	jg26152, jg26153
OG0000042	Cg005G183270	jg17939
OG0000042	Cg005G175020, Cg003G088120	jg26952
OG0000044	Cg001G029670	jg17523, jg29315, jg14196, jg1834, jg309, jg32416, jg1035, jg17283, jg1573
OG0000044	Cg003G096230	jg12140
OG0000045	Cg003G091810	jg21124
OG0000046	Cg001G022610	jg10780
OG0000046	Cg007G266760	jg2195
OG0000047	Cg004G156550	jg6462, jg31439, jg5264
OG0000048	Cg004G119550	jg24239
OG0000048	Cg008G298370	jg5646
OG0000048	Cg008G298400, Cg008G298350	jg5639
OG0000052	Cg006G242960	jg29349
OG0000052	Cg005G163550	jg19555
OG0000052	Cg005G173390, Cg013G330370	jg19551, jg19550, jg19552, jg19554, jg18423
OG0000052	Cg003G084890	jg19564
OG0000052	Cg005G163540	jg19560
OG0000052	Cg005G187360	jg19563, jg19562, jg19561
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839
OG0000053	Cg003G084420	jg27640, jg13837
OG0000055	Cg007G248480	jg674, jg739
OG0000055	Cg002G060080	jg14491
OG0000055	Cg007G248550	jg748
OG0000055	Cg007G248360	jg721
OG0000055	Cg007G248410	jg728
OG0000055	Cg006G223020	jg1420
OG0000055	Cg007G248540, Cg007G248530	jg745
OG0000056	Cg007G262570, Cg007G263580	jg12110
OG0000056	Cg007G265440, Cg006G204190	jg25787
OG0000057	Cg004G133200	jg25759, jg25744
OG0000058	Cg007G261210	jg1166, jg14086
OG0000061	Cg003G083990, Cg008G318200	jg1125, jg28032, jg32127, jg20814
OG0000062	Cg007G260660, Cg005G180090	jg7377
OG0000063	Cg006G238240	jg17853
OG0000064	Cg001G000750	jg8362
OG0000064	Cg005G172820	jg18482
OG0000066	Cg007G276160	jg27126
OG0000066	Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880	jg3219, jg3220
OG0000066	Cg006G226080	jg30515
OG0000066	Cg008G290840	jg13471
OG0000066	Cg003G113360	jg1404
OG0000067	Cg004G154470	jg24838, jg24839
OG0000067	Cg008G283860, Cg008G284100, Cg008G284110, Cg008G284020, Cg008G283610	jg30520, jg22052, jg22034, jg32039, jg24035, jg24037, jg24042, jg4088, jg4089, jg4055, jg14204, jg14390, jg14389
OG0000067	Cg007G270520	jg12213
OG0000067	Cg008G318950	jg4679
OG0000071	Cg005G184980	jg17558
OG0000071	Cg006G240460	jg28233
OG0000072	Cg001G029810, Cg001G029820	jg13895, jg13896
OG0000072	Cg008G307970	jg17450, jg17336, jg27058
OG0000073	Cg004G150010	jg21037
OG0000073	Cg008G302430	jg1752, jg6091
OG0000073	Cg008G315120	jg13687, jg20423
OG0000074	Cg006G222210	jg30935, jg30933
OG0000074	Cg006G222290	jg30929
OG0000074	Cg006G222160	jg30938
OG0000074	Cg006G222200	jg30932
OG0000074	Cg006G222240, Cg006G222220	jg30931
OG0000074	Cg006G222190	jg30936
OG0000074	Cg006G222350	jg30922
OG0000074	Cg006G222340	jg30923, jg30924
OG0000074	Cg006G222180	jg30937
OG0000075	Cg008G291500, Cg008G290800, Cg008G290770	jg4863, jg4865
OG0000075	Cg008G323300	jg10637
OG0000076	Cg002G057890	jg14762
OG0000076	Cg002G054100	jg20913, jg15189
OG0000076	Cg007G272900	jg1458, jg1459, jg1457
OG0000076	Cg002G071650	jg13373
OG0000077	Cg004G151030	jg26791
OG0000077	Cg005G160440	jg7664
OG0000078	Cg002G071190	jg9173
OG0000079	Cg004G118210	jg24132, jg24131
OG0000079	Cg002G047470	jg15929, jg15924, jg15925
OG0000079	Cg005G185620	jg17321, jg17317, jg17322
OG0000079	Cg007G249140	jg15922
OG0000079	Cg008G310600, Cg008G310560, Cg008G308930	jg15911, jg15928
OG0000080	Cg005G158270	jg12190
OG0000080	Cg004G149910	jg32548, jg32861, jg32845, jg32993
OG0000080	Cg005G177050, Cg005G176650	jg18020, jg18016
OG0000080	Cg005G177060	jg18012, jg25262
OG0000081	Cg006G198910	jg33221
OG0000081	Cg008G298360	jg5637
OG0000081	Cg008G298500	jg5657
OG0000083	Cg005G178780	jg27544, jg27541
OG0000083	Cg008G322860	jg2771
OG0000083	Cg004G140410	jg26543
OG0000083	Cg004G140440	jg26553
OG0000083	Cg005G190480	jg24440, jg16886, jg16884
OG0000083	Cg005G190490	jg2772
OG0000084	Cg005G189580	jg16996
OG0000084	Cg005G189500	jg16995, jg17274, jg17286, jg17001, jg16991
OG0000087	Cg008G303510	jg6235
OG0000087	Cg005G177380	jg17972
OG0000087	Cg003G110470	jg23223
OG0000087	Cg008G292710	jg5068
OG0000087	Cg005G171830	jg18593
OG0000087	Cg008G320640	jg20749
OG0000087	Cg001G020160	jg10485
OG0000087	Cg006G225960	jg30528
OG0000087	Cg007G276340	jg3235
OG0000088	Cg005G181240	jg17633
OG0000088	Cg002G059450	jg14563, jg27525
OG0000088	Cg002G059900	jg14507
OG0000088	Cg001G039390, Cg008G300920	jg5910
OG0000088	Cg003G090240, Cg003G095710	jg21695
OG0000089	Cg008G290150	jg4799
OG0000089	Cg004G135460	jg26012, jg33022
OG0000089	Cg005G168860	jg18920, jg15311
OG0000089	Cg003G107020	jg22870
OG0000090	Cg006G225800	jg4483, jg30544, jg16631
OG0000090	Cg008G317760, Cg011G329140	jg21183
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	jg3251
OG0000090	Cg001G005770	jg15233, jg8905
OG0000090	Cg006G235770	jg29403
OG0000093	Cg002G047960	jg15862
OG0000093	Cg002G047920	jg15865
OG0000093	Cg002G047970	jg15861
OG0000093	Cg004G145440, Cg004G145260	jg27054, jg27053, jg27051, jg27052
OG0000093	Cg002G047940	jg15863
OG0000093	Cg002G048030	jg15851
OG0000093	Cg002G048080	jg15841
OG0000093	Cg002G048040	jg15850
OG0000096	Cg007G252880	jg1247
OG0000096	Cg002G073940	jg13128
OG0000096	Cg002G073840	jg13131
OG0000096	Cg008G322180	jg20589
OG0000096	Cg006G236390	jg29337
OG0000097	Cg003G079780, Cg003G094240	jg7810
OG0000097	Cg003G079770, Cg003G094250	jg7819
OG0000097	Cg003G079750, Cg003G094280	jg7818
OG0000097	Cg001G029830, Cg001G029870	jg11552
OG0000097	Cg003G079730, Cg003G094300	jg7820
OG0000097	Cg003G094290, Cg003G079740	jg7813, jg7812, jg7815, jg7814
OG0000098	Cg007G253040, Cg007G249450	jg849, jg850
OG0000099	Cg007G246280, Cg007G246260, Cg007G246270	jg7296, jg454, jg459, jg7310, jg27477, jg719, jg720
OG0000099	Cg007G249510	jg456, jg543, jg542, jg27475, jg7311, jg460, jg451
OG0000101	Cg007G253920	jg1405
OG0000104	Cg006G238510	jg29111
OG0000104	Cg005G178080	jg17896
OG0000104	Cg005G177920	jg17897
OG0000104	Cg006G200560	jg33004
OG0000104	Cg004G138340	jg26323
OG0000104	Cg005G178050	jg17893, jg17886, jg17879, jg17889
OG0000104	Cg005G178070	jg17885, jg17878
OG0000105	Cg003G084510	jg17571
OG0000106	Cg004G135900, Cg004G134980, Cg004G134990	jg25957
OG0000106	Cg004G136130	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891
OG0000106	Cg001G042030	jg26888, jg26886
OG0000107	Cg005G182320	jg17559, jg17556
OG0000107	Cg004G136880	jg26157
OG0000107	Cg004G136910	jg26159
OG0000108	Cg008G306430	jg17595, jg31284
OG0000108	Cg004G146470	jg27264, jg27221, jg27229, jg27223
OG0000108	Cg007G245680, Cg007G245670	jg2306
OG0000109	Cg006G218300, Cg006G206180	jg20882, jg6910, jg11931
OG0000110	Cg002G047270	jg15960
OG0000110	Cg002G047280	jg15959
OG0000110	Cg002G047240	jg15966
OG0000110	Cg002G047300, Cg002G047310, Cg005G186820	jg15957, jg15956
OG0000110	Cg007G269260	jg15969
OG0000111	Cg002G051630	jg15428
OG0000113	Cg007G253910	jg509, jg1379
OG0000114	Cg008G318090	jg20995, jg20998, jg20997, jg20999, jg20992, jg4953, jg7114, jg1323
OG0000114	Cg008G320920	jg20706
OG0000118	Cg003G083280, Cg003G083300	jg15265, jg26895, jg27877
OG0000119	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024
OG0000120	Cg007G250010, Cg007G249930	jg893, jg889
OG0000120	Cg001G027290	jg11313
OG0000120	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558
OG0000120	Cg008G285500	jg13317, jg4214
OG0000122	Cg003G086890	jg22508
OG0000122	Cg003G103770	jg22505
OG0000122	Cg003G103780	jg22507
OG0000122	Cg003G103810	jg32166
OG0000123	Cg006G218510, Cg006G218490	jg31338
OG0000123	Cg001G014410	jg29806
OG0000123	Cg006G232300	jg14270
OG0000123	Cg001G014420	jg9826
OG0000124	Cg002G063920, Cg003G086460	jg20179
OG0000125	Cg002G052860	jg15301
OG0000125	Cg008G283340	jg24874, jg3993
OG0000125	Cg008G302630	jg6123
OG0000125	Cg006G238270	jg29136
OG0000125	Cg003G107610	jg22931
OG0000125	Cg002G061230, Cg002G061270	jg14383
OG0000125	Cg005G178390	jg17851
OG0000127	Cg007G262300, Cg007G263860	jg3920
OG0000127	Cg004G124780	jg11550, jg24833
OG0000127	Cg007G262280	jg29525, jg29526, jg29071
OG0000133	Cg005G185140	jg7039
OG0000133	Cg003G084500, Cg005G185150, Cg004G141220	jg6891
OG0000136	Cg001G037110	jg12281
OG0000137	Cg001G041290	jg12674
OG0000138	Cg001G039000	jg12473, jg13824
OG0000138	Cg008G324060	jg12474
OG0000138	Cg002G067580, Cg002G067290	jg13817, jg13821
OG0000140	Cg002G060210	jg14472, jg14471
OG0000140	Cg003G106820	jg22850
OG0000140	Cg003G106800	jg22845
OG0000140	Cg003G106450	jg22800, jg21885, jg22801
OG0000140	Cg003G106440	jg22798, jg22799
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	jg22851, jg22847
OG0000142	Cg005G177670	jg17940
OG0000142	Cg005G177630	jg17936
OG0000142	Cg005G176030	jg18114, jg18115
OG0000144	Cg005G182040	jg32527, jg4342, jg1809, jg6805
OG0000145	Cg008G324160, Cg008G308910, Cg001G039950, Cg003G096580, Cg001G035820	jg27362
OG0000146	Cg003G102600	jg22363
OG0000146	Cg003G098470, Cg003G098480	jg21872
OG0000146	Cg003G102620	jg22365
OG0000146	Cg003G102610	jg22364
OG0000147	Cg004G155250	jg28078
OG0000147	Cg001G010340	jg9392
OG0000147	Cg003G104960	jg22635
OG0000147	Cg007G280860	jg3697
OG0000147	Cg004G146670	jg27288
OG0000147	Cg005G189880	jg16942
OG0000149	Cg002G060900	jg14423
OG0000149	Cg002G060880	jg14421
OG0000149	Cg003G107320	jg22904
OG0000149	Cg001G028530	jg22901
OG0000149	Cg002G060920	jg14420
OG0000150	Cg002G064460	jg14055
OG0000150	Cg001G004220	jg4290
OG0000150	Cg002G061890	jg14331
OG0000150	Cg005G186200	jg17260, jg17259, jg17257
OG0000150	Cg002G061900	jg14316, jg14315, jg14313
OG0000151	Cg003G100170	jg22050
OG0000151	Cg004G124340	jg24782
OG0000151	Cg004G152640	jg27769
OG0000151	Cg003G103430	jg22463
OG0000151	Cg007G246070	jg12793
OG0000154	Cg006G229860	jg30094
OG0000154	Cg004G128290	jg25213
OG0000154	Cg004G125060	jg24871
OG0000154	Cg008G283240	jg3985
OG0000154	Cg008G283230	jg3984
OG0000155	Cg001G013440	jg9725
OG0000155	Cg001G019660	jg10429
OG0000155	Cg001G019650	jg10428
OG0000155	Cg004G127780	jg25152
OG0000156	Cg002G045690	jg16151
OG0000156	Cg005G160240	jg19951
OG0000156	Cg005G160250	jg19948
OG0000157	Cg004G141270	jg26628, jg26631, jg26630, jg26627
OG0000158	Cg008G283250	jg10511
OG0000158	Cg001G008080	jg8688, jg8430
OG0000158	Cg005G184100	jg28264, jg5270, jg28263, jg16699
OG0000161	Cg003G109710, Cg003G109720, Cg003G109690	jg23140, jg23141, jg33435, jg33436
OG0000161	Cg003G098030	jg21823
OG0000161	Cg005G179900, Cg005G180000, Cg005G179820	jg17685, jg17683, jg17687
OG0000161	Cg007G262070, Cg007G264010	jg1832
OG0000161	Cg006G215310	jg31503
OG0000161	Cg007G261320	jg1847
OG0000161	Cg008G312840, Cg007G257200	jg1819
OG0000161	Cg007G257190	jg1820, jg1821, jg1704
OG0000162	Cg002G046130	jg16105
OG0000162	Cg005G178220	jg19860
OG0000162	Cg002G046140	jg2591
OG0000162	Cg005G160860	jg19859
OG0000164	Cg008G307470	jg1128, jg1129, jg6771, jg6767, jg6769, jg6762, jg6770, jg6761
OG0000167	Cg001G021150	jg10621, jg10622
OG0000167	Cg001G021160	jg10624
OG0000167	Cg001G021140	jg23232, jg10620
OG0000169	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840	jg21553
OG0000171	Cg008G294880	jg5289
OG0000172	Cg002G052400	jg15356
OG0000172	Cg007G250100, Cg007G250140	jg16317
OG0000172	Cg002G060680, Cg002G060150	jg15932
OG0000173	Cg003G091670	jg1461, jg26673, jg7106, jg7127, jg7132, jg17518, jg1807, jg14356, jg7184, jg21355, jg2228, jg26653, jg14013
OG0000175	Cg002G055540	jg15013
OG0000175	Cg007G276430	jg3242
OG0000175	Cg006G225880	jg30537
OG0000175	Cg001G005230	jg8854
OG0000176	Cg006G215620	jg31636, jg31639
OG0000176	Cg006G215540	jg31643
OG0000178	Cg002G069730, Cg002G066500	jg33537
OG0000180	Cg001G043140	jg16351
OG0000185	Cg003G088110	jg1441, jg14078, jg1761
OG0000185	Cg003G098770	jg12153
OG0000185	Cg006G198800	jg21116, jg13897
OG0000187	Cg001G008920, Cg001G008910	jg9234, jg9235
OG0000189	Cg001G007520	jg8629
OG0000189	Cg002G073510	jg13671
OG0000189	Cg001G002260, Cg001G002250	jg8547
OG0000190	Cg003G080590, Cg003G080580	jg7702
OG0000190	Cg006G210720	jg7704
OG0000190	Cg006G210710	jg7703
OG0000190	Cg003G087120, Cg003G087200	jg32186
OG0000191	Cg005G168430	jg18960
OG0000191	Cg004G134260	jg2134
OG0000191	Cg004G153150, Cg004G153270	jg27860, jg27859
OG0000192	Cg006G224780	jg30670
OG0000192	Cg006G224790	jg30665
OG0000192	Cg006G224760	jg30668
OG0000193	Cg004G138060	jg26901, jg26894, jg26896, jg26893
OG0000193	Cg004G140730	jg26576, jg26577
OG0000195	Cg005G182280	jg17567
OG0000195	Cg005G164920	jg15712, jg15648
OG0000195	Cg001G036760	jg2098
OG0000195	Cg007G265630	jg12245
OG0000195	Cg008G301610	jg14060
OG0000196	Cg006G202640	jg31558, jg31560
OG0000196	Cg006G240790	jg28891
OG0000196	Cg006G202630	jg31559
OG0000196	Cg006G240780	jg28892
OG0000197	Cg001G041590	jg12176, jg14708, jg14696, jg15293, jg12792, jg11871, jg11778, jg28098, jg12682, jg12608, jg12633, jg12636
OG0000200	Cg006G240250	jg28943
OG0000200	Cg001G038160, Cg001G038180	jg12382, jg12383
OG0000200	Cg003G084880, Cg004G143040, Cg004G143090	jg26794, jg26858, jg26826
OG0000201	Cg004G139100	jg26412
OG0000201	Cg004G139090	jg26411
OG0000201	Cg004G139080	jg26410
OG0000201	Cg004G139110	jg26413
OG0000202	Cg004G133650	jg25806
OG0000202	Cg004G134030	jg25880
OG0000203	Cg004G120290	jg24346, jg24347
OG0000203	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080	jg9421, jg9422, jg24303, jg5021, jg5008, jg5007, jg5020, jg5022
OG0000204	Cg006G200670	jg15213
OG0000204	Cg004G138460	jg26333
OG0000205	Cg003G098990, Cg003G098960, Cg003G098910	jg32764
OG0000209	Cg007G246040	jg416, jg418
OG0000209	Cg001G042590	jg12794, jg12796
OG0000210	Cg004G144520	jg26999, jg27000, jg27001
OG0000210	Cg002G073630, Cg002G073600, Cg002G073620	jg13160
OG0000210	Cg005G173490	jg18412, jg18409, jg18408
OG0000210	Cg005G173520	jg18404
OG0000213	Cg005G191770	jg16737
OG0000213	Cg005G191730	jg16741, jg16740
OG0000214	Cg003G078170	jg8001
OG0000216	Cg001G018790	jg33448
OG0000216	Cg001G018760	jg10319, jg10323
OG0000216	Cg001G018780	jg10315
OG0000217	Cg007G251420	jg1072
OG0000218	Cg006G230920	jg29979
OG0000218	Cg006G230900, Cg006G230890	jg29981
OG0000218	Cg002G072370	jg13337
OG0000218	Cg002G075340	jg11388, jg12942
OG0000219	Cg007G266520, Cg007G266510	jg2178, jg2182, jg2180, jg2179
OG0000219	Cg003G095240, Cg003G111060	jg23294
OG0000220	Cg005G192620	jg19245, jg19241
OG0000220	Cg003G103090	jg22415, jg22413, jg22416
OG0000221	Cg005G182530	jg23304
OG0000222	Cg008G315660, Cg004G151260, Cg001G038580	jg11713, jg23119
OG0000224	Cg007G278180, Cg007G278170	jg3422
OG0000224	Cg007G278160	jg3420
OG0000224	Cg001G008870, Cg001G017640	jg9231
OG0000224	Cg007G247160	jg571, jg570
OG0000226	Cg004G156690	jg19265
OG0000226	Cg003G113210	jg23338
OG0000226	Cg004G128760	jg30960
OG0000226	Cg006G218020	jg31379, jg31377
OG0000228	Cg007G271320	jg2702
OG0000228	Cg008G307350	jg6720, jg6718
OG0000228	Cg007G271290	jg2698
OG0000229	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330	jg9443, jg9444, jg5645, jg5642, jg9442
OG0000229	Cg007G261570	jg32894, jg33326
OG0000230	Cg008G323410	jg3241
OG0000230	Cg007G276410	jg967, jg812
OG0000231	Cg007G260410	jg11881
OG0000232	Cg004G121460	jg24479
OG0000232	Cg004G149470, Cg004G149480, Cg004G150500, Cg004G149520	jg27540
OG0000233	Cg005G186600	jg32554
OG0000233	Cg005G186460	jg32629
OG0000234	Cg002G051400	jg15449
OG0000234	Cg002G051410	jg15448
OG0000234	Cg002G051420	jg15447
OG0000234	Cg005G166930	jg19118
OG0000234	Cg008G293710	jg5170
OG0000235	Cg006G213560	jg31894, jg31896
OG0000235	Cg006G202900, Cg006G202870, Cg006G202910, Cg006G202830	jg32770
OG0000235	Cg004G133010	jg25725
OG0000236	Cg004G139220	jg26494
OG0000236	Cg003G086380	jg7280
OG0000236	Cg007G270040	jg2555
OG0000239	Cg005G173350	jg18393, jg18428
OG0000239	Cg005G173640	jg18343
OG0000239	Cg013G330340, Cg036G336860	jg17113
OG0000240	Cg001G033750	jg17464, jg1772
OG0000242	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670, Cg004G150020, Cg004G150680	jg27567
OG0000242	Cg006G231900	jg29880
OG0000242	Cg006G231890	jg29883
OG0000242	Cg006G231910	jg29879
OG0000244	Cg001G019150	jg10370
OG0000244	Cg001G019160	jg10371
OG0000248	Cg003G081350	jg7641
OG0000248	Cg003G081360	jg7640
OG0000248	Cg003G081340	jg7420, jg7421, jg7418
OG0000248	Cg007G252860	jg1267
OG0000249	Cg005G169790	jg18819
OG0000250	Cg007G270460	jg2612, jg2609, jg2608
OG0000250	Cg007G270470	jg2614
OG0000250	Cg007G270580	jg2620, jg2621, jg2622
OG0000252	Cg004G136500	jg4032
OG0000254	Cg004G134710	jg32916, jg16978, jg17665, jg1307, jg26917, jg983, jg985
OG0000254	Cg005G190180	jg16868
OG0000256	Cg005G165640	jg19308
OG0000257	Cg006G198470, Cg006G198480	jg33267
OG0000257	Cg004G126080	jg24983
OG0000257	Cg001G001780	jg8499
OG0000258	Cg002G072350	jg13315
OG0000258	Cg002G072340	jg13318, jg13319
OG0000258	Cg003G104860	jg22623
OG0000258	Cg002G072320	jg13320
OG0000260	Cg003G083550	jg7405
OG0000264	Cg003G079930, Cg003G094080, Cg003G094890, Cg003G079050	jg7787
OG0000264	Cg003G094090, Cg003G079920, Cg003G094100, Cg003G079900, Cg003G094120, Cg003G094110, Cg003G079910, Cg003G079890	jg7793
OG0000264	Cg003G079060, Cg003G094880	jg7885, jg7884, jg7892, jg7931, jg7886
OG0000265	Cg005G179750, Cg005G186970	jg5787
OG0000265	Cg005G180900, Cg004G141100, Cg003G086590, Cg002G049430	jg10834
OG0000266	Cg003G098940, Cg003G099000	jg16158, jg16157, jg15780
OG0000266	Cg002G044180, Cg002G044170	jg16268
OG0000267	Cg005G177130, Cg005G177100, Cg005G177110, Cg005G177030, Cg005G177010, Cg005G177140, Cg005G177090, Cg005G177120	jg17980, jg18002, jg17981, jg17978, jg18001, jg17979, jg17999
OG0000267	Cg006G226540	jg30474
OG0000267	Cg005G193150	jg16584
OG0000268	Cg002G074810	jg13018
OG0000268	Cg007G248330	jg716
OG0000268	Cg008G282710	jg3910
OG0000268	Cg002G052420	jg15354
OG0000269	Cg007G256050, Cg004G151220	jg27200, jg6559
OG0000269	Cg004G148220	jg11991
OG0000270	Cg001G000740	jg8879, jg27707
OG0000270	Cg001G005510	jg8360
OG0000270	Cg006G226060	jg30517
OG0000271	Cg001G032910	jg6298
OG0000271	Cg003G079870	jg7876
OG0000273	Cg006G201150, Cg006G201180	jg32950
OG0000273	Cg006G201130, Cg006G201120, Cg006G201160	jg32635, jg32647
OG0000273	Cg006G201170	jg32949
OG0000274	Cg003G107390	jg22908
OG0000274	Cg002G061010	jg33561
OG0000274	Cg007G251180	jg1015
OG0000274	Cg005G177430	jg17967
OG0000275	Cg004G139010	jg26401
OG0000275	Cg004G138960	jg26396
OG0000275	Cg004G138970	jg13712
OG0000275	Cg004G138980	jg26398, jg26400, jg26399, jg26397
OG0000275	Cg004G138950, Cg004G138940	jg26395
OG0000276	Cg001G029710	jg11537, jg11540
OG0000277	Cg001G025760	jg11136, jg11137
OG0000281	Cg006G199670	jg33130, jg33131
OG0000281	Cg006G220980	jg1290, jg1284
OG0000282	Cg008G288340	jg4604, jg4594
OG0000282	Cg008G288360	jg4597
OG0000282	Cg008G288350, Cg008G323220	jg4596
OG0000282	Cg008G288380	jg4598
OG0000282	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400	jg4599
OG0000283	Cg008G318960, Cg008G318990, Cg008G318970	jg20896, jg20889, jg20890, jg20895, jg20892, jg20894
OG0000284	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380	jg6565
OG0000284	Cg008G306240, Cg008G306230	jg1878
OG0000285	Cg002G060650, Cg005G182020	jg27336, jg12459, jg1615, jg32047, jg20828, jg32156, jg32318
OG0000287	Cg007G251270	jg26271
OG0000287	Cg004G137950	jg26276
OG0000287	Cg004G137930, Cg004G140040	jg26273, jg26272
OG0000287	Cg004G137940	jg26275
OG0000287	Cg004G140030	jg26274
OG0000287	Cg004G137980	jg26279
OG0000287	Cg004G137960	jg26277, jg26278
OG0000290	Cg004G135310	jg25996
OG0000290	Cg001G040670, Cg001G040570, Cg001G040700	jg12611, jg12549, jg12556
OG0000293	Cg008G293400, Cg001G035010	jg8476, jg7941, jg7460
OG0000294	Cg004G133910	jg25844
OG0000294	Cg006G243870	jg28558, jg8055
OG0000295	Cg004G130770	jg25482, jg25485, jg25483
OG0000296	Cg007G280920, Cg007G280630	jg28105, jg28076, jg2205
OG0000297	Cg001G003600	jg8679
OG0000297	Cg003G108160	jg22984
OG0000297	Cg004G136450	jg21254, jg21265, jg26115
OG0000298	Cg004G131150	jg3425
OG0000299	Cg001G026540	jg11189
OG0000299	Cg002G070200	jg13745
