Orthogroup	Arabidopsis_thaliana	Alyssum_gmelinii
OG0000069	AT2G11035.1	Ag002G200250
OG0000071	AT2G07760.1	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710
OG0000073	AT4G16857.2, AT4G16957.1	Ag006G576040
OG0000073	AT4G08450.1	Ag002G116850
OG0000073	AT5G46450.1	Ag002G116910
OG0000074	AT1G23690.1	Ag005G402710
OG0000074	AT1G23660.1, AT1G23640.1	Ag003G241560, Ag003G242310
OG0000074	AT2G27670.1, AT1G23610.1	Ag004G378820
OG0000074	AT1G23670.2	Ag006G514000
OG0000075	AT2G34280.1, AT4G01640.1, AT5G10340.1	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640
OG0000076	AT3G52690.1	Ag001G069290, Ag001G069280
OG0000076	AT1G55030.2, AT4G13965.1	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000076	AT3G26930.2, AT3G26920.1	Ag001G002030
OG0000077	AT4G39560.1	Ag003G286070, Ag003G286090, Ag003G286060
OG0000077	AT4G39570.1	Ag006G508210
OG0000077	AT4G39550.1	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120, Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300
OG0000077	AT1G19930.1, AT1G60570.1	Ag004G321630, Ag004G321620, Ag004G321600
OG0000078	AT3G32260.1, AT1G36510.1	Ag002G136430
OG0000079	AT5G38391.1	Ag006G550570
OG0000079	AT3G58900.4	Ag001G084480
OG0000079	AT3G58880.1	Ag001G089200
OG0000079	AT3G58820.1	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	AT1G48400.1	Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730
OG0000080	AT5G12450.1	Ag001G028300
OG0000080	AT1G21990.1	Ag007G610550, Ag007G610520
OG0000080	AT2G29930.1, AT2G29910.6	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000081	AT4G09190.1	Ag005G451860, Ag005G452050
OG0000084	AT1G64840.1	Ag002G111870, Ag004G395550, Ag002G108380, Ag004G395620
OG0000084	AT2G24250.1	Ag008G724370
OG0000086	AT5G34908.1, AT3G44115.1, AT1G57760.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1	Ag008G709530
OG0000087	AT5G23860.1	Ag008G723440
OG0000087	AT2G29550.1	Ag007G593840
OG0000087	AT5G12250.1	Ag007G609260
OG0000087	AT5G44340.1	Ag002G127940
OG0000087	AT4G20890.1	Ag006G562620
OG0000087	AT1G75780.1	Ag003G224140
OG0000088	AT3G47110.1	Ag005G450330, Ag005G450360
OG0000088	AT5G20480.1	Ag008G717820
OG0000089	AT5G09810.1	Ag007G603320
OG0000089	AT3G18780.2	Ag005G453100, Ag001G021310
OG0000089	AT2G42090.1, AT2G42170.1, AT2G42100.1	Ag002G193060
OG0000089	AT3G12110.1	Ag005G471710
OG0000089	AT2G37620.1	Ag002G172950, Ag001G073120
OG0000089	AT5G59370.1, AT3G46520.1	Ag008G712440, Ag008G708620
OG0000090	AT2G25700.1, AT1G20140.1	Ag004G333760
OG0000090	AT1G75950.1	Ag003G223190
OG0000090	AT4G34210.1	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930
OG0000091	AT3G32960.1	Ag008G666220
OG0000093	AT3G58360.1	Ag001G087540
OG0000093	AT2G05400.3	Ag001G087060, Ag020G743300
OG0000093	AT3G58350.1	Ag001G087410
OG0000093	AT3G58250.1	Ag001G087190, Ag001G087160, Ag001G087050, Ag001G087110, Ag001G087130, Ag020G743230, Ag001G087290
OG0000093	AT2G05420.1, AT2G05410.2	Ag001G087200, Ag020G743290, Ag001G087240
OG0000093	AT3G58270.1	Ag001G083700, Ag001G087310
OG0000093	AT3G58210.1	Ag001G086540, Ag001G086510
OG0000096	AT2G03030.1, AT2G03300.1	Ag001G024200, Ag001G016650, Ag005G460360
OG0000096	AT5G44900.1	Ag002G102560
OG0000096	AT1G57830.1	Ag004G380830
OG0000097	AT4G05460.1	Ag002G130220, Ag002G132530, Ag002G129480
OG0000097	AT4G03635.1	Ag002G128740
OG0000097	AT4G05470.1, AT4G05475.1	Ag002G128960
OG0000097	AT4G05497.1	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340
OG0000098	AT1G12210.1	Ag006G506280, Ag004G316800, Ag004G315620
OG0000099	AT1G64020.1	Ag004G395880
OG0000099	AT1G64030.1	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610
OG0000099	AT1G62160.1	Ag004G396600, Ag004G396870, Ag004G391030
OG0000099	AT1G64010.2	Ag004G391040
OG0000100	AT2G01050.1	Ag004G376980, Ag002G156660
OG0000101	AT1G63740.2	Ag004G394110
OG0000101	AT1G63730.1	Ag004G389140
OG0000101	AT5G35510.2	Ag004G395030
OG0000104	AT1G07560.1	Ag004G307220
OG0000104	AT2G29000.1	Ag007G594810
OG0000104	AT1G49100.1	Ag001G010320
OG0000104	AT3G21340.1	Ag005G441940
OG0000106	AT3G18905.1	Ag005G417510, Ag001G017220
OG0000106	AT5G47300.1	Ag004G383320
OG0000107	AT2G27000.1, AT2G27010.1	Ag005G481150
OG0000107	AT4G15380.1, AT3G20080.1	Ag005G446760
OG0000107	AT2G14100.1, AT3G32047.1	Ag005G444180, Ag005G442930
OG0000107	AT3G20140.1	Ag005G446720
OG0000107	AT3G20120.4	Ag005G446740
OG0000107	AT3G20110.1	Ag005G446750
OG0000107	AT5G42580.1	Ag003G213880
OG0000107	AT3G20960.2, AT3G20090.2, AT4G15360.1, AT2G05180.1	Ag005G446670
OG0000107	AT3G20130.1	Ag005G446680
OG0000107	AT3G20100.1	Ag005G446780
OG0000108	AT1G27550.1, AT1G27580.1, AT1G27540.1, AT2G24080.1	Ag005G459590, Ag008G727840
OG0000110	AT3G59210.1	Ag001G090130
OG0000110	AT3G59200.1	Ag001G090120
OG0000110	AT3G59250.1	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700
OG0000110	AT3G59170.1, AT3G59160.1	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010
OG0000110	AT4G14103.2, AT4G14096.1	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910
OG0000111	AT5G38590.2, AT5G38570.1, AT5G38565.1	Ag002G181570, Ag002G181540, Ag002G181620
OG0000111	AT5G38580.1	Ag006G502330
OG0000111	AT4G10410.1, AT4G09920.1, AT4G10420.1, AT4G10400.1	Ag008G729450
OG0000112	AT5G36657.1	Ag007G615000
OG0000113	AT4G04110.1	Ag002G138540
OG0000114	AT3G04210.1	Ag005G486540, Ag005G485930
OG0000114	AT1G69550.1	Ag006G573480
OG0000114	AT3G04220.3	Ag003G220520
OG0000119	AT1G52603.1	Ag001G026190
OG0000119	AT5G33393.1	Ag007G641820
OG0000120	AT1G60880.1, AT1G60920.1	Ag004G373700, Ag001G094910
OG0000120	AT5G49490.1, AT5G38620.1, AT5G49420.1	Ag003G277400, Ag003G279310, Ag003G275890
OG0000120	AT5G04640.1, AT1G46408.1	Ag006G498650, Ag006G498600, Ag006G498610
OG0000122	AT5G56325.1	Ag008G698530
OG0000123	AT1G28170.1	Ag007G583620
OG0000123	AT2G27570.1, AT3G45080.1, AT3G45070.2	Ag004G318570
OG0000123	AT1G13420.1, AT2G14920.1, AT1G13430.1	Ag006G564520
OG0000123	AT3G51210.1	Ag004G318080
OG0000124	AT4G03292.1	Ag005G441490
OG0000124	AT2G02650.1	Ag004G309520
OG0000124	AT5G43755.1, AT2G11205.1, AT1G27870.1, AT1G77815.1, AT1G47497.1, AT2G46460.1, AT1G04625.1, AT2G04420.1, AT1G50160.1	Ag003G242000
OG0000124	AT3G25270.1	Ag006G527550, Ag008G658090
OG0000124	AT5G26617.1, AT2G13980.1	Ag004G349780, Ag005G468220, Ag002G194630, Ag001G067330, Ag008G665260, Ag001G016150, Ag005G485900, Ag012G741220
OG0000125	AT3G09480.1, AT5G02570.1	Ag005G477020
OG0000125	AT5G22880.1	Ag008G713670
OG0000125	AT2G28720.1	Ag007G595180
OG0000127	AT3G09140.1	Ag005G477940
OG0000127	AT5G01150.1	Ag006G492190
OG0000127	AT5G01120.1	Ag006G492230
OG0000127	AT3G09120.1	Ag005G477980
OG0000127	AT1G11145.1	Ag004G313210, Ag004G313190, Ag004G313250
OG0000128	AT1G34070.1	Ag003G264610, Ag003G264920, Ag001G005890
OG0000133	AT4G03728.1	Ag004G314420, Ag001G083930, Ag005G455770, Ag008G708500, Ag004G391190, Ag003G285410, Ag001G074650
OG0000136	AT5G37870.1, AT5G37900.1, AT5G37910.1	Ag005G456830, Ag005G456800, Ag005G456810, Ag008G669100, Ag005G457140, Ag002G171850
OG0000138	AT3G29690.1	Ag005G453150
OG0000140	AT5G58830.1, AT5G58820.1, AT5G58840.1	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830
OG0000140	AT5G59090.1, AT5G59120.1	Ag001G080460, Ag008G707780
OG0000142	AT2G29330.1	Ag007G594160, Ag007G594220
OG0000142	AT2G29320.1, AT2G29300.2	Ag007G594470
OG0000142	AT2G29170.1	Ag004G307050
OG0000146	AT5G55340.1	Ag008G695350
OG0000146	AT5G55360.1	Ag008G695470, Ag008G695460
OG0000146	AT5G55350.1	Ag008G695380
OG0000147	AT2G18960.1	Ag005G408700
OG0000147	AT4G30190.2	Ag003G261030
OG0000147	AT5G57350.1	Ag008G702420
OG0000147	AT1G80660.1	Ag003G209560
OG0000149	AT3G46350.1	Ag006G570510, Ag006G570440, Ag006G570460
OG0000149	AT5G59670.1, AT5G59660.3	Ag008G709340
OG0000149	AT5G59680.1	Ag008G709420
OG0000150	AT3G45555.1	Ag007G607130
OG0000150	AT3G43750.1	Ag006G518460, Ag007G625710
OG0000150	AT3G45525.1	Ag001G092600
OG0000150	AT3G45540.1	Ag004G332580
OG0000150	AT2G22940.1	Ag008G711310, Ag008G711350
OG0000151	AT5G53300.1	Ag008G685810
OG0000151	AT4G27960.2	Ag003G253050
OG0000151	AT3G08690.1	Ag005G478640
OG0000151	AT2G16740.1	Ag005G417580
OG0000151	AT5G56150.1	Ag008G698280
OG0000154	AT1G56410.1	Ag003G268730, Ag005G477100, Ag005G477120
OG0000154	AT1G16030.1	Ag004G324480
OG0000154	AT3G12580.1	Ag005G471090
OG0000154	AT3G09440.1	Ag005G477170
OG0000154	AT5G02500.1	Ag006G493360
OG0000154	AT5G02490.1	Ag006G507750, Ag006G508580, Ag006G493020
OG0000155	AT1G65800.1, AT1G65790.1, AT4G21380.1	Ag006G564870
OG0000155	AT3G12000.1	Ag005G471860
OG0000156	AT1G33730.1	Ag002G201840
OG0000156	AT2G45560.1	Ag002G201900
OG0000156	AT1G33720.1	Ag002G201920, Ag002G201850, Ag002G201820, Ag002G201830, Ag002G201880
OG0000156	AT3G61040.1	Ag001G093780
OG0000157	AT1G65990.1, AT4G10740.1	Ag003G228360
OG0000157	AT5G41490.1, AT5G41500.1, AT5G41510.1, AT2G38590.1, AT4G33290.1	Ag004G346210, Ag003G229150, Ag004G369290
OG0000158	AT4G36840.1	Ag003G277110
OG0000161	AT5G02660.1	Ag007G588370
OG0000161	AT1G65200.1	Ag007G588360
OG0000162	AT3G60470.1	Ag001G092990, Ag001G093000, Ag001G093010, Ag001G092980, Ag001G092570
OG0000162	AT2G44930.1	Ag002G200850, Ag002G200800
OG0000164	AT4G19250.1	Ag003G293830
OG0000164	AT4G39753.1	Ag005G487250, Ag003G293940
OG0000164	AT4G39756.1	Ag003G293740, Ag003G293690, Ag003G293790
OG0000167	AT4G19590.2	Ag006G570230
OG0000167	AT5G37760.1	Ag006G570340
OG0000167	AT4G19570.1	Ag006G570320
OG0000167	AT5G37440.1, AT5G37750.1	Ag006G570400, Ag006G570410
OG0000171	AT1G70490.1, AT1G23490.1	Ag004G345150
OG0000171	AT1G10630.1	Ag004G371850
OG0000171	AT5G14670.1	Ag007G614710
OG0000172	AT3G62430.1, AT3G54160.1	Ag002G179650, Ag001G097540, Ag001G097520
OG0000172	AT3G58960.1	Ag003G233750, Ag006G550460
OG0000172	AT3G58980.1	Ag001G089420
OG0000175	AT3G51300.1	Ag001G067410
OG0000175	AT4G35020.1	Ag005G417590
OG0000186	AT3G29794.1, AT3G29638.1	Ag004G388160
OG0000190	AT4G04490.1	Ag002G140140
OG0000190	AT4G04510.2	Ag002G128880
OG0000190	AT4G04500.1	Ag002G128820
OG0000190	AT4G04570.1, AT4G04540.1	Ag002G140040, Ag002G139950
OG0000191	AT3G16590.1	Ag004G324780, Ag007G605570, Ag007G605580, Ag005G460420
OG0000191	AT2G17310.1	Ag005G457490, Ag005G457480
OG0000191	AT3G16555.1, AT3G51171.1	Ag005G461560, Ag005G461580, Ag005G461550, Ag005G461640, Ag005G460960
OG0000192	AT1G21270.1	Ag004G336350
OG0000192	AT1G21210.1	Ag004G336320
OG0000192	AT1G21230.1, AT1G21240.1, AT1G21250.1	Ag004G336340, Ag004G336360, Ag004G336330
OG0000193	AT3G21170.1, AT3G21120.1, AT3G21130.1	Ag004G342780
OG0000193	AT4G10190.1	Ag005G442650, Ag005G443800, Ag005G442630
OG0000195	AT2G41110.2	Ag001G082920
OG0000195	AT5G37780.3, AT1G66410.2	Ag007G646090
OG0000196	AT1G30160.2, AT1G05540.1	Ag004G304260, Ag004G304230
OG0000196	AT1G30170.1	Ag004G304250
OG0000196	AT1G05550.3	Ag004G304270, Ag004G304220, Ag004G304240
OG0000201	AT4G20600.1, AT4G20580.1, AT4G20620.1, AT4G20670.1, AT4G20610.1, AT4G20640.1, AT4G20590.1, AT4G20630.1, AT4G20530.1, AT4G20645.1, AT4G20560.1, AT4G20540.1, AT4G20550.1, AT4G20570.1, AT3G21990.1, AT3G21980.1	Ag005G439850
OG0000201	AT3G22020.1	Ag005G439760
OG0000201	AT3G22040.1	Ag005G439610
OG0000202	AT3G17480.1, AT1G62270.1	Ag003G215780, Ag005G457800
OG0000203	AT2G13630.1, AT3G04660.1	Ag006G519280, Ag005G485370, Ag005G485380
OG0000204	AT3G08750.1, AT3G10430.1, AT4G04690.1	Ag005G471780, Ag005G471790
OG0000204	AT1G77650.1	Ag003G216930, Ag003G216910, Ag003G216390, Ag003G216940, Ag003G216920, Ag003G216970, Ag003G216980
OG0000204	AT3G22650.2	Ag005G437650
OG0000205	AT2G16450.1, AT2G15640.1, AT2G02660.1, AT2G02890.1, AT2G16220.1, AT2G23160.1	Ag005G439370
OG0000205	AT1G47300.1	Ag001G088760
OG0000207	AT1G69630.1	Ag002G183650
OG0000207	AT1G78750.1	Ag003G219800, Ag003G215860, Ag003G215900
OG0000207	AT1G78730.1	Ag003G212790
OG0000208	AT4G39500.2, AT4G32170.1	Ag008G723930, Ag003G294620, Ag003G284900, Ag003G294610
OG0000209	AT1G64255.1	Ag005G461540
OG0000209	AT1G64253.1	Ag004G399110, Ag004G398940
OG0000209	AT1G64260.1, AT1G49920.1	Ag004G398990, Ag004G398790, Ag002G138750
OG0000210	AT2G04830.1, AT2G03610.1	Ag006G499160, Ag006G499150, Ag006G499180
OG0000210	AT5G38270.1, AT2G03560.1	Ag003G280570, Ag003G273400
OG0000210	AT2G33200.1	Ag007G588480
OG0000213	AT1G73270.1, AT5G36180.1, AT1G73300.1, AT1G73310.1, AT1G73280.1, AT1G73290.1	Ag003G236750, Ag003G236500, Ag003G236780, Ag003G236530
OG0000213	AT2G22980.4, AT2G22970.3, AT2G22920.2, AT2G23000.1, AT2G22990.3, AT2G23010.1, AT3G12203.1	Ag003G288980
OG0000214	AT1G65180.1, AT1G69150.1, AT3G43890.1	Ag007G604980
OG0000214	AT4G11547.1	Ag006G510950
OG0000214	AT4G09690.1	Ag003G222050
OG0000214	AT4G11550.1, AT4G11390.2, AT4G11540.1, AT4G02180.1, AT4G01910.1, AT4G01920.1, AT4G01740.1, AT4G01930.1	Ag006G510210
OG0000216	AT4G14165.1	Ag006G554100, Ag006G554110
OG0000216	AT4G22180.1	Ag006G554130
OG0000218	AT1G14930.1, AT1G14940.1, AT1G14950.1	Ag004G322150
OG0000218	AT1G14960.1	Ag004G322240, Ag004G322160, Ag004G322180, Ag004G322280, Ag004G322290
OG0000218	AT3G26450.1, AT3G26460.1	Ag004G318250, Ag006G542090, Ag006G547060
OG0000218	AT4G14060.1	Ag005G439660, Ag008G718790
OG0000218	AT2G01530.1	Ag002G177290
OG0000219	AT1G66870.2, AT1G66852.1, AT4G16165.1, AT1G66855.1	Ag004G357760
OG0000219	AT2G29735.1	Ag007G593670
OG0000219	AT5G63230.1, AT5G63225.1	Ag006G565670
OG0000219	AT5G53600.1, AT5G53610.1	Ag008G724120
OG0000220	AT1G61840.1	Ag002G172490
OG0000220	AT4G10370.1, AT5G46660.1, AT5G55770.1, AT1G44050.1, AT5G55780.1, AT3G26550.1, AT5G55800.1, AT1G53340.2, AT2G13895.1, AT2G13950.1, AT5G02340.1, AT2G13900.1, AT5G02350.1, AT5G02330.1, AT2G02610.1, AT2G02640.1, AT2G02620.1, AT2G02700.1, AT2G02690.1, AT2G02680.1, AT2G02630.1	Ag002G179690
OG0000224	AT1G77530.1, AT1G77520.1	Ag003G217560, Ag003G217550, Ag001G013260, Ag003G217250, Ag003G217260, Ag003G217440, Ag003G217450
OG0000224	AT5G37170.1	Ag003G270550
OG0000224	AT1G63140.4	Ag004G383650
OG0000226	AT1G02770.1	Ag004G375340, Ag002G168080, Ag002G140350
OG0000226	AT1G23950.2, AT1G23970.2, AT1G23960.1, AT1G27860.1, AT1G28500.1	Ag001G000690, Ag004G337830, Ag005G429260, Ag005G429270, Ag001G000670
OG0000228	AT5G28010.1, AT5G28000.1	Ag004G341460
OG0000228	AT1G70890.1	Ag004G344130
OG0000229	AT1G48180.1, AT1G51670.1	Ag003G260760
OG0000231	AT5G38690.1	Ag001G058920
OG0000232	AT3G11080.1, AT5G27060.2, AT3G11010.2	Ag001G011980, Ag001G025350, Ag005G473990, Ag005G474010, Ag005G474060, Ag006G511920, Ag005G474020, Ag005G473970, Ag001G083150
OG0000234	AT3G55110.1	Ag001G076970
OG0000234	AT3G55100.1	Ag001G076940
OG0000234	AT3G55090.1	Ag001G076930
OG0000234	AT5G13580.1	Ag007G612020
OG0000235	AT1G32430.1	Ag005G452990, Ag005G453010, Ag005G460460
OG0000235	AT1G47390.1	Ag004G314680
OG0000236	AT3G22080.1	Ag008G716730, Ag008G716740, Ag008G716760
OG0000239	AT2G33080.1	Ag006G498570, Ag007G589100, Ag006G546090, Ag007G589080
OG0000240	AT2G29880.1	Ag007G599880
OG0000242	AT2G15350.1, AT2G15370.1, AT2G15360.1	Ag005G419410
OG0000242	AT1G14080.1	Ag004G319220
OG0000242	AT1G14110.1	Ag004G319640
OG0000244	AT4G21860.1	Ag006G567480
OG0000244	AT4G04800.1	Ag002G138420, Ag002G137630
OG0000244	AT4G04840.1	Ag002G138400, Ag002G137710
OG0000244	AT4G21850.1	Ag006G567460, Ag006G567470
OG0000244	AT4G04830.1	Ag002G137640, Ag002G138410
OG0000248	AT4G12370.1	Ag002G142990
OG0000248	AT4G10695.1, AT4G10660.1, AT4G10700.1	Ag002G142870, Ag002G142960, Ag002G142950, Ag002G142860
OG0000248	AT1G57790.1	Ag004G367480
OG0000248	AT3G56470.1	Ag001G081600
OG0000249	AT2G36750.1	Ag002G168370
OG0000249	AT2G36790.1, AT2G36800.1	Ag002G168420, Ag002G179380
OG0000249	AT2G36760.1	Ag002G168350
OG0000249	AT2G36770.1, AT2G36780.1	Ag002G168380
OG0000249	AT3G53160.1	Ag001G071720
OG0000250	AT1G70040.1, AT3G54410.1, AT1G70120.1	Ag003G292650
OG0000250	AT3G60700.1	Ag001G093460
OG0000250	AT1G70020.1	Ag004G328080
OG0000251	AT5G28730.1	Ag001G015530, Ag009G735210
OG0000252	AT2G45406.1	Ag002G201630, Ag002G201600
OG0000252	AT5G03000.1, AT3G46050.1, AT5G02980.1, AT5G02995.1, AT5G03020.1, AT5G03010.1, AT5G02990.1	Ag006G494350, Ag006G494360, Ag006G494380, Ag006G494310, Ag006G494330, Ag006G493940, Ag006G493990, Ag002G166430, Ag006G493980, Ag006G494000, Ag003G272030, Ag006G493970, Ag006G493890, Ag006G493910, Ag006G493930, Ag006G493870, Ag006G493900, Ag002G186120, Ag002G186270, Ag002G186250, Ag002G186210, Ag002G186260, Ag002G186220, Ag002G186130, Ag002G186150, Ag002G186160, Ag002G186240
OG0000256	AT4G04090.1	Ag002G186750, Ag002G186710, Ag002G186740
OG0000256	AT5G48510.1, AT2G05330.1	Ag002G182840, Ag002G182690, Ag002G182780
OG0000256	AT2G40450.1	Ag002G187030, Ag002G187040, Ag002G187060, Ag002G187050, Ag008G691560
OG0000257	AT1G51240.1, AT1G51250.1, AT1G51230.1	Ag001G011470, Ag008G698480, Ag001G011500, Ag001G010720, Ag004G331430, Ag008G697590, Ag003G211470, Ag003G211370, Ag003G220650, Ag003G228410, Ag003G212030, Ag003G212020, Ag001G012300, Ag003G233340
OG0000257	AT3G10455.1	Ag005G475480, Ag005G476080, Ag005G425180, Ag005G475490, Ag005G476060, Ag005G476070, Ag005G475200
OG0000258	AT3G26300.1, AT3G26310.1	Ag002G175550
OG0000258	AT5G57260.1	Ag008G702170
OG0000258	AT2G02580.1	Ag002G191840, Ag001G079880
OG0000258	AT3G26330.1, AT3G26320.1	Ag004G336180
OG0000260	AT4G13130.1	Ag001G003770
OG0000260	AT1G29180.1	Ag003G219630, Ag006G495360
OG0000260	AT3G26240.1, AT3G26250.1	Ag006G496100
OG0000264	AT4G05230.1	Ag002G129660
OG0000264	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1	Ag007G599430
OG0000267	AT2G29600.1, AT2G29800.1, AT2G29810.1, AT2G29830.1, AT2G29820.1, AT2G29860.1, AT2G29780.1, AT2G29770.1	Ag004G311330
OG0000268	AT2G02040.1	Ag008G659990
OG0000268	AT1G62200.3	Ag007G590690, Ag006G555210, Ag004G378430
OG0000268	AT5G01180.1	Ag006G492050
OG0000268	AT3G54140.1	Ag001G074460
OG0000269	AT5G31412.1	Ag002G157110
