Orthogroup	Arabidopsis_thaliana	Cardamine_amara
OG0000044	AT1G37020.1, AT5G45570.1, AT4G08430.1, AT5G28810.1, AT2G10260.1, AT3G31910.1	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000046	AT5G38260.1	evm.model.RL_2.391
OG0000046	AT4G18250.1	evm.model.RL_2.1379
OG0000046	AT5G38280.2	evm.model.RL_2.389, evm.model.RL_2.387
OG0000046	AT1G66930.2	evm.model.RL_3.1072
OG0000046	AT1G67000.1	evm.model.RL_3.1077
OG0000046	AT5G38240.1	evm.model.RL_2.398
OG0000052	AT2G42455.1	evm.model.RL_8.2684
OG0000052	AT2G42480.1	evm.model.RL_6.2368
OG0000054	AT3G30739.1	evm.model.RL_8.912, evm.model.RL_7.2126
OG0000054	AT3G30730.2	evm.model.RL_1.2395
OG0000055	AT1G61960.1	evm.model.RL_3.286
OG0000055	AT1G62150.1	evm.model.RL_3.285
OG0000056	AT3G42140.1	evm.model.RL_1.2423, evm.model.RL_1.2416
OG0000057	AT3G17400.1	evm.model.RL_1.2359
OG0000062	AT2G07200.1	evm.model.RL_6.456, evm.model.RL_7.2113, evm.model.RL_2.991, evm.model.RL_6.777
OG0000062	AT2G07190.1	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720
OG0000066	AT1G75600.1	evm.model.RL_3.1975
OG0000066	AT1G19890.1	evm.model.RL_5.1818
OG0000066	AT5G65350.1, AT3G27360.1, AT1G09200.1, AT5G10390.1, AT5G10400.1, AT5G65360.1	evm.model.RL_8.2622
OG0000067	AT3G09160.1	evm.model.RL_7.2627
OG0000067	AT5G53700.1, AT5G03495.1, AT5G03480.1	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9
OG0000069	AT2G11035.1	evm.model.RL_4.1093
OG0000071	AT2G07760.1	evm.model.RL_1.2437
OG0000071	AT5G28823.1	evm.model.RL_6.950
OG0000073	AT5G46510.1, AT5G46520.2	evm.model.RL_4.146, evm.model.RL_4.158.2.687c86cd
OG0000073	AT1G31540.2, AT5G46490.2, AT5G46260.1, AT5G46270.4	evm.model.RL_4.151, evm.model.RL_4.156
OG0000073	AT5G22690.2	evm.model.RL_6.501
OG0000073	AT5G40060.1	evm.model.RL_4.150
OG0000073	AT4G08450.1	evm.model.RL_5.2720
OG0000073	AT5G46450.1	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175
OG0000074	AT1G23520.1	evm.model.RL_5.3415
OG0000076	AT2G04230.1	evm.model.RL_7.1484
OG0000077	AT5G49000.2	evm.model.RL_4.914, evm.model.RL_4.878
OG0000077	AT4G39560.1	evm.model.RL_2.3382
OG0000077	AT1G77880.1	evm.model.RL_2.1487
OG0000077	AT4G39580.1	evm.model.RL_2.3381
OG0000078	AT3G32260.1, AT1G36510.1	evm.model.RL_7.1903
OG0000079	AT3G58940.1	evm.model.RL_7.465
OG0000080	AT1G48390.1, AT1G47920.1	evm.model.RL_5.2173
OG0000080	AT1G21990.1	evm.model.RL_5.3416
OG0000080	AT2G29930.1	evm.model.RL_6.1107
OG0000081	AT1G59675.1	evm.model.RL_4.293
OG0000084	AT1G64840.1	evm.model.RL_6.376
OG0000086	AT5G34908.1, AT3G44115.1, AT1G57760.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	AT5G23860.1	evm.model.RL_4.1345
OG0000087	AT2G29550.1	evm.model.RL_6.1057
OG0000087	AT5G12250.1	evm.model.RL_4.2360
OG0000087	AT5G44340.1	evm.model.RL_4.428
OG0000087	AT4G20890.1	evm.model.RL_2.1599
OG0000087	AT1G20010.1	evm.model.RL_5.1831
OG0000087	AT1G75780.1	evm.model.RL_3.1990
OG0000088	AT3G47570.1, AT3G47090.1, AT3G47580.1	evm.model.RL_7.1629
OG0000088	AT5G39390.1	evm.model.RL_8.1137
OG0000089	AT5G09810.1	evm.model.RL_4.2603
OG0000089	AT3G18780.2	evm.model.RL_1.1790.1.687c87ee
OG0000089	AT2G42090.1, AT2G42170.1, AT2G42100.1	evm.model.RL_6.2333
OG0000089	AT3G12110.1	evm.model.RL_1.1121
OG0000089	AT2G37620.1	evm.model.RL_6.1820
OG0000089	AT5G59370.1	evm.model.RL_7.1725, evm.model.RL_8.2019
OG0000090	AT2G25700.1, AT1G20140.1	evm.model.RL_5.1846
OG0000090	AT5G42190.1	evm.model.RL_4.706
OG0000090	AT1G75950.1	evm.model.RL_3.2006
OG0000090	AT4G34210.1	evm.model.RL_2.2972
OG0000090	AT3G25650.1, AT2G03170.1, AT2G20160.1, AT2G03190.1	evm.model.RL_7.2545
OG0000090	AT1G10230.1	evm.model.RL_5.885
OG0000093	AT3G58360.1	evm.model.RL_7.523
OG0000093	AT3G58210.1	evm.model.RL_7.532
OG0000096	AT1G57850.1	evm.model.RL_3.612
OG0000096	AT2G03030.1, AT2G03300.1	evm.model.RL_7.2533
OG0000096	AT1G57670.1	evm.model.RL_3.627
OG0000096	AT5G44900.1	evm.model.RL_4.362
OG0000096	AT5G45220.1	evm.model.RL_4.323
OG0000097	AT4G05460.1	evm.model.RL_8.394
OG0000097	AT4G03635.1	evm.model.RL_8.388
OG0000097	AT4G05470.1, AT4G05475.1	evm.model.RL_8.395
OG0000098	AT1G63350.2, AT1G62630.1, AT1G63360.1	evm.model.RL_3.229
OG0000098	AT5G63020.1	evm.model.RL_8.2377
OG0000099	AT2G14540.1, AT1G64020.1, AT1G62170.2	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232
OG0000099	AT1G62160.1	evm.model.RL_3.85
OG0000101	AT5G38850.1	evm.model.RL_2.338
OG0000101	AT1G56540.1	evm.model.RL_3.664
OG0000104	AT2G29000.1	evm.model.RL_6.1005
OG0000104	AT1G49100.1	evm.model.RL_5.2109
OG0000104	AT3G21340.1	evm.model.RL_1.2055
OG0000104	AT1G51805.1	evm.model.RL_1.2425
OG0000104	AT2G28990.1	evm.model.RL_6.1000
OG0000106	AT3G18320.1, AT3G44120.1, AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G19410.1	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845
OG0000106	AT3G18905.1	evm.model.RL_1.1896
OG0000107	AT3G20120.4, AT3G20110.1	evm.model.RL_1.1928
OG0000107	AT3G20960.2	evm.model.RL_1.2019, evm.model.RL_1.2021
OG0000107	AT3G20090.2	evm.model.RL_1.1929
OG0000108	AT4G10820.1	evm.model.RL_4.1209
OG0000108	AT1G27550.1, AT1G27580.1, AT1G27540.1	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000110	AT3G59200.1	evm.model.RL_7.1925
OG0000110	AT3G59250.1	evm.model.RL_7.432
OG0000111	AT4G15075.1	evm.model.RL_8.2409
OG0000112	AT3G42565.1, AT4G09545.1, AT5G42895.1	evm.model.RL_8.2167
OG0000113	AT4G04110.1	evm.model.RL_3.996
OG0000114	AT3G04210.1	evm.model.RL_1.340
OG0000114	AT1G69550.1	evm.model.RL_3.2232, evm.model.RL_3.2202
OG0000118	AT3G53330.1	evm.model.RL_8.709, evm.model.RL_8.712
OG0000120	AT1G60880.1, AT1G60920.1	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	AT5G49490.1, AT5G38620.1, AT5G49420.1	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	AT5G04640.1	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000123	AT5G43690.1	evm.model.RL_5.1209
OG0000123	AT2G27570.1, AT3G45080.1, AT3G45070.2	evm.model.RL_5.1211
OG0000124	AT4G03292.1	evm.model.RL_3.893
OG0000124	AT1G27870.1, AT1G77815.1	evm.model.RL_4.540
OG0000125	AT3G53650.1	evm.model.RL_7.1020
OG0000125	AT3G09480.1, AT5G02570.1	evm.model.RL_4.3281
OG0000125	AT5G22880.1	evm.model.RL_4.1435
OG0000125	AT5G59910.1	evm.model.RL_8.2069
OG0000125	AT3G46030.1	evm.model.RL_7.1764, evm.model.RL_7.1769
OG0000125	AT2G28720.1	evm.model.RL_6.979
OG0000127	AT3G09140.1	evm.model.RL_1.823
OG0000127	AT5G01150.1	evm.model.RL_4.3346
OG0000127	AT5G01120.1	evm.model.RL_4.3343
OG0000127	AT3G09110.1	evm.model.RL_1.822
OG0000128	AT1G34070.1	evm.model.RL_3.654, evm.model.RL_5.2370
OG0000132	AT1G14800.1	evm.model.RL_8.1179
OG0000135	AT3G25727.1	evm.model.RL_5.2242
OG0000136	AT1G66620.1, AT1G66630.1, AT1G66610.1	evm.model.RL_3.1028
OG0000138	AT3G29720.1	evm.model.RL_7.2093
OG0000140	AT3G46850.1, AT3G46840.1	evm.model.RL_7.1690
OG0000140	AT5G59130.4	evm.model.RL_8.2003
OG0000142	AT2G29320.1, AT2G29300.2	evm.model.RL_6.1032
OG0000142	AT2G29170.1	evm.model.RL_6.1033, evm.model.RL_6.1034
OG0000146	AT5G51420.1	evm.model.RL_8.1243
OG0000147	AT4G30190.2	evm.model.RL_2.2536
OG0000147	AT5G57350.1	evm.model.RL_8.1812
OG0000147	AT1G80660.1	evm.model.RL_3.2406
OG0000147	AT2G07560.1	evm.model.RL_1.2583
OG0000147	AT2G24520.2	evm.model.RL_6.348
OG0000149	AT3G46350.1	evm.model.RL_7.1738
OG0000149	AT3G46340.1	evm.model.RL_7.1737
OG0000149	AT3G46330.1	evm.model.RL_7.1739
OG0000150	AT3G43750.1, AT2G16520.1, AT3G45525.1, AT3G45560.1, AT3G45570.1, AT3G45580.1	evm.model.RL_7.1807
OG0000150	AT3G45540.1	evm.model.RL_7.1810
OG0000151	AT5G53300.1	evm.model.RL_8.1422
OG0000151	AT4G27960.2	evm.model.RL_2.2307
OG0000151	AT3G08690.1	evm.model.RL_1.777
OG0000151	AT3G08700.1	evm.model.RL_1.778
OG0000151	AT2G16740.1	evm.model.RL_1.2853
OG0000151	AT5G56150.1	evm.model.RL_8.1691
OG0000151	AT5G41700.4, AT1G64230.4	evm.model.RL_3.61
OG0000154	AT1G16030.1	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	AT3G09440.1	evm.model.RL_1.853
OG0000154	AT5G02490.1	evm.model.RL_2.489
OG0000155	AT4G27290.2	evm.model.RL_2.2243
OG0000156	AT2G45550.1	evm.model.RL_6.2689
OG0000156	AT2G45570.1	evm.model.RL_4.1065
OG0000156	AT2G45560.1	evm.model.RL_6.2692
OG0000156	AT1G33720.1	evm.model.RL_8.1108, evm.model.RL_8.1107
OG0000157	AT1G65990.1, AT4G10740.1	evm.model.RL_5.213
OG0000158	AT4G36840.1	evm.model.RL_4.1378
OG0000161	AT1G65200.1	evm.model.RL_3.891
OG0000161	AT1G65130.1	evm.model.RL_3.896
OG0000162	AT1G67150.2	evm.model.RL_3.1091
OG0000162	AT2G44930.1	evm.model.RL_6.2628
OG0000164	AT4G19250.1	evm.model.RL_4.581, evm.model.RL_2.1488
OG0000167	AT4G19590.2	evm.model.RL_2.1517
OG0000167	AT4G19580.1	evm.model.RL_2.1515
OG0000167	AT4G19570.1	evm.model.RL_2.1514
OG0000167	AT5G62780.1	evm.model.RL_2.1516
OG0000169	AT1G74170.2	evm.model.RL_3.1834, evm.model.RL_3.1135.1.687c84bb
OG0000169	AT1G58190.2	evm.model.RL_3.574
OG0000171	AT1G70490.1, AT1G23490.1	evm.model.RL_3.1439
OG0000171	AT1G10630.1	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461
OG0000171	AT5G14670.1	evm.model.RL_4.2162.1.687c86d7
OG0000172	AT3G62440.1	evm.model.RL_3.406, evm.model.RL_3.423
OG0000173	AT2G06541.1, AT3G29763.1, AT3G29450.1, AT1G41920.1, AT3G30235.1, AT3G29765.1, AT3G31402.1, AT1G19260.1, AT4G09660.1	evm.model.RL_5.288
OG0000175	AT3G51300.1	evm.model.RL_7.1254
OG0000175	AT1G75840.1	evm.model.RL_3.1995
OG0000175	AT1G20090.1	evm.model.RL_5.1839
OG0000175	AT4G35020.1	evm.model.RL_2.3025
OG0000175	AT2G17800.1	evm.model.RL_1.2964
OG0000175	AT4G35950.1	evm.model.RL_2.3122
OG0000190	AT4G04490.1	evm.model.RL_8.476, evm.model.RL_8.475
OG0000190	AT4G04510.2	evm.model.RL_8.473
OG0000190	AT4G04500.1	evm.model.RL_8.474.1.687c8557
OG0000191	AT3G16590.1	evm.model.RL_1.1587
OG0000192	AT1G21270.1	evm.model.RL_5.3624
OG0000195	AT2G27030.3	evm.model.RL_6.761
OG0000195	AT2G41110.2	evm.model.RL_7.686, evm.model.RL_6.2234
OG0000195	AT5G37780.3, AT1G66410.2	evm.model.RL_2.437, evm.model.RL_3.1018
OG0000196	AT1G30160.2	evm.model.RL_5.2252
OG0000196	AT1G30170.1	evm.model.RL_1.1858
OG0000197	AT3G48840.1	evm.model.RL_8.487
OG0000197	AT3G48835.1, AT5G41690.1, AT3G10845.1, AT1G45100.1	evm.model.RL_2.911
OG0000200	AT1G05930.1	evm.model.RL_5.455
OG0000200	AT3G24850.1, AT5G24050.1	evm.model.RL_1.2415, evm.model.RL_1.2410
OG0000201	AT3G22050.1	evm.model.RL_1.2115
OG0000201	AT3G22053.1	evm.model.RL_1.3066
OG0000203	AT2G13630.1, AT3G04660.1	evm.model.RL_1.380
OG0000204	AT3G08750.1, AT3G10430.1, AT4G04690.1, AT1G77650.1, AT3G22650.2, AT3G21410.1	evm.model.RL_1.2062
OG0000205	AT2G16450.1, AT2G15640.1	evm.model.RL_8.836
OG0000207	AT1G78760.1, AT1G66300.1, AT1G66310.1, AT1G66290.1, AT1G66320.1, AT1G66640.1	evm.model.RL_3.2271
OG0000208	AT4G39510.1	evm.model.RL_2.3387
OG0000209	AT1G64255.1	evm.model.RL_2.469
OG0000209	AT1G64253.1	evm.model.RL_3.57
OG0000210	AT2G03610.1	evm.model.RL_7.2509
OG0000213	AT2G23000.1, AT2G22990.3, AT2G23010.1	evm.model.RL_6.204
OG0000214	AT1G69150.1, AT3G43890.1	evm.model.RL_7.215
OG0000214	AT4G02180.1, AT4G01910.1, AT4G01920.1, AT4G01740.1, AT4G01930.1	evm.model.RL_8.81, evm.model.RL_8.239
OG0000217	AT1G58390.1	evm.model.RL_7.1931
OG0000218	AT1G14930.1, AT1G14940.1	evm.model.RL_5.1346
OG0000218	AT1G14950.1	evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	AT4G14060.1, AT2G01530.1, AT2G01520.1	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	AT1G66870.2, AT1G66852.1, AT4G16165.1, AT1G66855.1	evm.model.RL_3.1053
OG0000219	AT2G29735.1	evm.model.RL_6.1077
OG0000219	AT5G63230.1	evm.model.RL_8.2397
OG0000220	AT2G40050.1	evm.model.RL_3.318
OG0000224	AT1G77530.1	evm.model.RL_3.2157
OG0000224	AT1G77520.1	evm.model.RL_3.2156
OG0000225	AT1G29510.1	evm.model.RL_5.2978, evm.model.RL_5.2982
OG0000225	AT1G29440.1, AT5G27780.1, AT1G29430.1	evm.model.RL_5.2983
OG0000225	AT1G29460.2	evm.model.RL_5.2981
OG0000225	AT1G29500.1	evm.model.RL_5.2975
OG0000228	AT5G28010.1, AT5G28000.1	evm.model.RL_4.998
OG0000228	AT1G70840.1	evm.model.RL_3.1486
OG0000229	AT4G29760.1, AT5G18065.1, AT5G18040.1, AT4G29770.2	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257
OG0000229	AT1G48180.1, AT1G51670.1	evm.model.RL_2.330, evm.model.RL_7.1066
OG0000231	AT5G38690.1	evm.model.RL_2.361
OG0000231	AT1G67270.1	evm.model.RL_3.1104
OG0000232	AT5G25910.1	evm.model.RL_5.1311
OG0000234	AT3G55110.1	evm.model.RL_7.860
OG0000234	AT3G55100.1	evm.model.RL_7.861
OG0000234	AT3G55090.1	evm.model.RL_7.862
OG0000234	AT2G39350.1	evm.model.RL_6.2046
OG0000234	AT5G13580.1	evm.model.RL_4.2267
OG0000237	AT1G42190.1	evm.model.RL_2.733, evm.model.RL_2.732, evm.model.RL_6.1682
OG0000242	AT2G15360.1	evm.model.RL_7.2542
OG0000242	AT2G15390.2	evm.model.RL_1.2752, evm.model.RL_1.2751
OG0000244	AT4G21860.1	evm.model.RL_2.1690
OG0000248	AT4G10695.1, AT4G10660.1, AT4G10700.1	evm.model.RL_8.548
OG0000248	AT3G56470.1	evm.model.RL_7.722
OG0000249	AT2G36750.1	evm.model.RL_6.1769
OG0000249	AT2G36790.1, AT2G36800.1	evm.model.RL_6.1770
OG0000251	AT3G30525.1	evm.model.RL_1.2772
OG0000252	AT2G44030.1	evm.model.RL_4.802
OG0000252	AT2G45406.1	evm.model.RL_3.611
OG0000252	AT3G46050.1	evm.model.RL_5.3777
OG0000252	AT5G02980.1	evm.model.RL_1.1879
OG0000253	AT2G12880.1	evm.model.RL_6.612, evm.model.RL_1.2600, evm.model.RL_3.948, evm.model.RL_6.613, evm.model.RL_8.1032
OG0000256	AT4G04090.1	evm.model.RL_8.503, evm.model.RL_8.501, evm.model.RL_8.502, evm.model.RL_8.500
OG0000256	AT5G48510.1, AT2G05330.1	evm.model.RL_2.275
OG0000256	AT2G40450.1	evm.model.RL_6.2167, evm.model.RL_4.439
OG0000257	AT2G04115.1	evm.model.RL_6.895
OG0000258	AT3G26300.1, AT3G26310.1	evm.model.RL_7.2389
OG0000258	AT3G26330.1, AT3G26320.1	evm.model.RL_7.2388
OG0000260	AT4G15070.1, AT5G48320.1	evm.model.RL_5.2925
OG0000260	AT5G03355.1	evm.model.RL_4.3199
OG0000264	AT4G05230.1	evm.model.RL_8.411, evm.model.RL_8.323
OG0000264	AT4G05260.1	evm.model.RL_8.410, evm.model.RL_8.409
OG0000264	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1	evm.model.RL_8.324
OG0000265	AT5G19270.1	evm.model.RL_4.1725
OG0000265	AT4G03566.1	evm.model.RL_3.1127, evm.model.RL_5.2471
OG0000266	AT3G61100.1, AT3G61090.1	evm.model.RL_7.1038
OG0000266	AT2G38365.1	evm.model.RL_3.560
OG0000268	AT2G02040.1	evm.model.RL_7.2613
OG0000268	AT1G62200.3	evm.model.RL_3.272
OG0000268	AT5G01180.1	evm.model.RL_4.3350
OG0000268	AT3G54140.1	evm.model.RL_7.967
OG0000271	AT5G37640.1, AT5G03240.1, AT1G65350.1	evm.model.RL_4.3215
OG0000271	AT4G05320.2	evm.model.RL_4.3212
OG0000273	AT5G51470.1, AT1G48660.2, AT1G48670.1	evm.model.RL_5.2635
OG0000274	AT5G59720.1	evm.model.RL_8.2049
OG0000274	AT1G59860.1	evm.model.RL_3.504
OG0000274	AT2G29500.1	evm.model.RL_6.1051
OG0000275	AT3G21900.2	evm.model.RL_3.456, evm.model.RL_1.2114
OG0000278	AT1G73490.2	evm.model.RL_3.1756
OG0000281	AT4G22430.1	evm.model.RL_2.1747
OG0000282	AT5G07510.1, AT5G07600.1, AT5G07520.1	evm.model.RL_4.2795
OG0000282	AT5G07530.1	evm.model.RL_4.226, evm.model.RL_4.2794
OG0000282	AT5G07560.1, AT5G07571.1	evm.model.RL_4.2792
OG0000284	AT5G26630.1	evm.model.RL_4.1106, evm.model.RL_4.1105
OG0000284	AT5G48670.1	evm.model.RL_4.572
OG0000287	AT3G20980.1	evm.model.RL_1.2024
OG0000288	AT2G03460.1	evm.model.RL_1.2504
OG0000290	AT3G18650.1	evm.model.RL_1.1777
OG0000290	AT4G02235.1, AT4G11250.1, AT5G65330.1	evm.model.RL_2.319, evm.model.RL_2.317, evm.model.RL_2.323, evm.model.RL_2.321, evm.model.RL_2.862
OG0000290	AT5G40070.1, AT5G40220.1, AT5G41200.1, AT5G40120.1, AT5G38740.1, AT5G37415.1, AT5G39750.1, AT5G39810.1	evm.model.RL_2.214
OG0000294	AT3G17390.1	evm.model.RL_1.1662
OG0000294	AT4G01850.1	evm.model.RL_8.188
OG0000294	AT1G02500.1	evm.model.RL_5.103
OG0000296	AT4G11700.1	evm.model.RL_3.2430, evm.model.RL_3.2412, evm.model.RL_3.2476
OG0000296	AT3G25080.1	evm.model.RL_6.1991, evm.model.RL_6.1978
OG0000297	AT4G36590.1	evm.model.RL_4.356
OG0000297	AT5G60440.1	evm.model.RL_8.2112
OG0000299	AT1G55940.2	evm.model.RL_5.3976
OG0000300	AT2G05380.3	evm.model.RL_1.2517
OG0000300	AT2G05530.1, AT2G05520.1	evm.model.RL_1.2518
OG0000301	AT5G15690.1, AT4G04775.1	evm.model.RL_1.1569
OG0000308	AT5G48770.1	evm.model.RL_6.451
OG0000308	AT1G72860.2	evm.model.RL_3.1685, evm.model.RL_3.1683
OG0000310	AT5G60180.1, AT5G60110.1	evm.model.RL_4.895, evm.model.RL_5.2036, evm.model.RL_8.2096
OG0000311	AT5G16570.1	evm.model.RL_4.1982
OG0000311	AT1G48470.1	evm.model.RL_5.2161
OG0000311	AT5G37600.1	evm.model.RL_2.463
OG0000311	AT1G66200.3	evm.model.RL_3.998
OG0000313	AT4G20200.1	evm.model.RL_2.1568
OG0000313	AT3G29110.1, AT4G20210.1	evm.model.RL_3.1012, evm.model.RL_1.2839
OG0000314	AT1G04750.1	evm.model.RL_5.327
OG0000314	AT1G04760.1	evm.model.RL_5.328
OG0000314	AT2G33120.2	evm.model.RL_6.1397
OG0000316	AT2G40560.1, AT2G40500.1	evm.model.RL_6.2182, evm.model.RL_6.2173
OG0000319	AT1G07940.1, AT1G07920.1, AT1G07930.1, AT5G60390.1	evm.model.RL_8.2110
OG0000320	AT5G39775.1	evm.model.RL_3.706, evm.model.RL_3.707, evm.model.RL_3.708
OG0000321	AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1	evm.model.RL_2.498
OG0000322	AT1G78400.1	evm.model.RL_3.2239, evm.model.RL_3.2238
OG0000323	AT5G54145.1	evm.model.RL_8.1505
OG0000323	AT4G27657.1	evm.model.RL_2.2282
OG0000323	AT4G27652.1	evm.model.RL_2.2280
OG0000325	AT1G43720.1	evm.model.RL_1.2773
OG0000328	AT5G38960.1	evm.model.RL_2.327, evm.model.RL_2.314
OG0000328	AT5G38930.1, AT5G38940.2	evm.model.RL_2.313, evm.model.RL_2.322, evm.model.RL_2.316, evm.model.RL_2.318, evm.model.RL_2.320
OG0000329	AT2G44700.1, AT2G44630.1	evm.model.RL_6.2598
OG0000329	AT4G02310.1	evm.model.RL_1.1997
OG0000330	AT3G59460.1	evm.model.RL_7.370, evm.model.RL_7.371
OG0000332	AT4G14960.2, AT1G04820.1, AT1G50010.1	evm.model.RL_1.1873, evm.model.RL_5.2031
OG0000334	AT3G53810.1	evm.model.RL_7.998
OG0000334	AT4G02420.1	evm.model.RL_4.686
OG0000334	AT4G02410.1	evm.model.RL_8.264
OG0000335	AT1G05005.1	evm.model.RL_5.357, evm.model.RL_5.356
OG0000335	AT1G43010.1	evm.model.RL_2.1239, evm.model.RL_5.2346, evm.model.RL_5.2348
OG0000335	AT3G11350.1	evm.model.RL_1.1041
OG0000335	AT1G28020.1	evm.model.RL_5.3094
OG0000336	AT1G72920.1, AT1G72930.1	evm.model.RL_3.1689_evm.model.RL_3.1692, evm.model.RL_3.1695, evm.model.RL_3.1694, evm.model.RL_3.1693, evm.model.RL_3.1696
OG0000336	AT1G17615.1	evm.model.RL_5.1597
OG0000336	AT1G72890.2	evm.model.RL_3.1688
OG0000339	AT4G23400.1	evm.model.RL_2.1855.1.687c86e4
OG0000339	AT4G00430.1	evm.model.RL_8.60
OG0000339	AT3G61430.1	evm.model.RL_7.229
OG0000342	AT5G41740.2, AT5G41750.1, AT5G41550.1	evm.model.RL_2.164, evm.model.RL_2.1788
OG0000344	AT5G26000.1	evm.model.RL_2.1757
OG0000345	AT1G12660.1	evm.model.RL_5.1126
OG0000347	AT2G15660.1, AT2G40210.1, AT2G26880.1	evm.model.RL_1.1092
OG0000349	AT4G35733.1	evm.model.RL_2.3096
OG0000349	AT2G26160.1, AT3G25750.2, AT1G44080.1	evm.model.RL_6.1047
OG0000350	AT1G29740.1	evm.model.RL_5.2955
OG0000355	AT1G80960.1	evm.model.RL_3.2369
OG0000356	AT5G27050.1, AT5G26865.1, AT5G27090.1, AT5G27944.1, AT5G27580.1, AT5G26950.1, AT5G27070.1	evm.model.RL_4.1089, evm.model.RL_4.1075, evm.model.RL_4.842
OG0000358	AT1G04270.1	evm.model.RL_4.2634, evm.model.RL_5.756, evm.model.RL_5.280
OG0000358	AT5G43640.1	evm.model.RL_4.512
OG0000358	AT5G09500.1	evm.model.RL_4.2635
OG0000358	AT5G09490.1	evm.model.RL_4.2636
OG0000359	AT1G29920.1, AT1G29910.1, AT1G29930.1	evm.model.RL_5.2921
OG0000359	AT2G34430.1	evm.model.RL_6.1531
OG0000360	AT5G66890.1	evm.model.RL_8.2767
OG0000361	AT3G11480.1	evm.model.RL_1.1054
OG0000362	AT1G69730.1	evm.model.RL_3.1363
