Orthogroup	Cochlearia_excelsa	Raphanus_sativus
OG0000002	g53784, g34980	XP_018466031.1, XP_018463267.1, XP_018462236.1, XP_018464556.1, XP_018453727.1, XP_018459427.1, XP_018453623.1, XP_018453709.1, XP_018467472.1, XP_018465756.1, XP_018487759.1, XP_018464934.1, XP_018477393.1, XP_018463388.1, XP_018471869.1, XP_018463118.1, XP_018436080.1, XP_018435898.1, XP_018479330.1, XP_018473643.1, XP_018454115.1, XP_018464980.1, XP_018462853.1, XP_018435603.1, XP_018473782.1, XP_018443656.1, XP_018488094.1, XP_018473713.1, XP_018463380.1, XP_018463383.1, XP_018462785.1, XP_018479516.1, XP_018465012.1, XP_018453728.1, XP_018458683.1, XP_018473998.1, XP_018435987.1
OG0000003	g3007	XP_018463988.1, XP_018464531.1, XP_018459047.1, XP_018459385.1, XP_018453823.1, XP_018473854.1
OG0000003	g52866	XP_018479006.1
OG0000003	g43208	XP_018454154.1, XP_018436209.1
OG0000003	g41973	XP_018460938.1
OG0000003	g35025, g49126, g50218, g43737, g3006, g16692, g54200, g19882, g28837, g12132, g39267, g40928, g44467, g1720, g6104, g22734, g24732, g26067, g6791, g34544, g15875, g33596, g14436, g4314, g43590	XP_018435851.1, XP_018435852.1
OG0000003	g21100, g15220, g22475, g21086, g11617, g8880, g21791, g21805	XP_018460462.1, XP_018463058.1
OG0000003	g15922	XP_018460312.1
OG0000003	g34539	XP_018448667.1
OG0000003	g4552	XP_018463109.1
OG0000003	g52527, g45643, g21043, g21430, g20482, g33723, g20039, g8413, g21011, g34716, g35854, g20765, g15434, g39083, g9494, g38857, g21250, g34167, g20489, g38810, g24943, g34165, g24761, g19816, g43672, g20027, g48040, g20508, g20015, g35092, g20945, g20464, g20029, g9457, g38874, g9378, g39004, g21001, g20545, g9552, g21258, g22061, g25147, g6066	XP_018461854.1
OG0000003	g15422, g52461, g39056	XP_018458647.1, XP_018479521.1
OG0000003	g26111, g21998, g43545, g26602, g9017, g29824, g43585, g24933, g25490, g51797, g8468, g21325, g21486, g23055, g43879, g15688, g34881, g52431, g30155, g15070, g48992, g42274, g54395, g53100, g9528, g43002, g21997, g34379, g25150, g49109, g53316, g20971, g49153, g48110, g21278, g20466, g33704, g36951, g8532, g9434, g41752, g35824, g19660, g4529, g49092, g38820	XP_018458503.1
OG0000003	g20092, g15474	XP_018464823.1
OG0000003	g8684	XP_018464076.1, XP_018465694.1, XP_018459974.1
OG0000003	g20618, g30193, g21406, g42425, g33817, g15177	XP_018463010.1
OG0000004	g10434, g43405, g12783, g14416, g3096	XP_018454128.1, XP_018466708.1
OG0000004	g51566	XP_018474039.1
OG0000004	g41934	XP_018473868.1, XP_018473865.1
OG0000004	g41059, g45778, g12831, g47939, g53657, g25199, g53078, g41764, g52689, g53773, g41892, g16413, g32894, g50926, g53553, g11448, g45106, g16421, g2957, g26236, g53342, g26042, g15043, g3114, g42028, g32589, g4900, g34997, g25427, g32143, g51196, g41806, g1621, g37047, g24645, g42184, g51906, g5187, g34457, g4555, g4647, g14237, g42083, g4557, g52927, g2287, g54256, g14761, g54001, g24974, g16448, g15042, g24646, g26041, g12832, g47937, g1649, g1657, g25201, g41894, g53088, g32962, g53161, g53774, g4653, g25561, g53554, g3283, g49069, g42183, g41805, g43297, g32682, g2958, g51905, g14010, g25560, g53415, g16626, g25281, g4646, g52688, g31286, g16219, g4075, g14651, g32880, g35660, g41057, g26200, g4600, g35401, g42029, g24793, g18671, g38083, g35002, g36273, g53247, g5773, g24898, g45105, g43929, g34450, g25563, g26048, g33078, g14652	XP_018464681.1
OG0000004	g32052, g40877	XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1
OG0000004	g40054	XP_018448539.1
OG0000005	g36085, g26760, g14872, g44250	XP_018479454.1
OG0000005	g44957, g41488, g4394, g4401, g11275, g53238	XP_018443533.1, XP_018481184.1, XP_018467418.1
OG0000005	g9848, g44251	XP_018448691.1, XP_018435561.1, XP_018479324.1
OG0000005	g22013	XP_018436426.1, XP_018436425.1, XP_018463676.1, XP_018474023.1, XP_018479849.1
OG0000005	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090	XP_018458816.1
OG0000005	g43359	XP_018473658.1
OG0000005	g4402	XP_018479530.1, XP_018462391.1
OG0000005	g43361	XP_018467691.1
OG0000006	g52712	XP_018468724.1
OG0000006	g4033, g47006	XP_018443248.1
OG0000006	g41913, g42739	XP_018480139.1
OG0000006	g24749, g9677	XP_018466154.1, XP_018479922.1, XP_018485455.1
OG0000006	g6208, g23854	XP_018479810.1
OG0000006	g4635	XP_018479657.1
OG0000006	g43721	XP_018487693.1, XP_018473766.1
OG0000007	g18049, g47718	XP_018443420.1
OG0000007	g32529, g4407, g31989, g13935, g14625, g51108, g47070, g1710, g16965, g1635, g23387, g43826, g49581, g17148, g14904, g12767, g557, g47735, g14365, g14626, g1711, g39880, g3316	XP_018453541.1, XP_018474641.1
OG0000007	g25323, g24433, g4497, g26082, g34709, g48927	XP_018463500.1, XP_018465308.1, XP_018459856.1, XP_018443699.1
OG0000008	g25872	XP_018462957.1
OG0000008	g52586	XP_018487412.1
OG0000008	g25873, g34273, g35255	XP_018462956.1
OG0000008	g24450, g27833, g3220, g44274	XP_018488004.1, XP_018453879.1
OG0000008	g26783	XP_018462648.1, XP_018454207.1, XP_018448605.1
OG0000008	g26784, g43729, g37068	XP_018487483.1
OG0000008	g33123	XP_018473385.1
OG0000008	g13991	XP_018460436.1, XP_018467327.1, XP_018463808.1, XP_018464542.1, XP_018459493.1, XP_018458167.1, XP_018436091.1, XP_018453646.1, XP_018466936.1, XP_018443646.1
OG0000010	g14841, g35105, g53994	XP_018476133.1
OG0000010	g48055, g21528, g3243, g30443, g48036	XP_018461000.1
OG0000010	g25117, g15788, g50988, g43743, g18001	XP_018467146.1
OG0000010	g33262	XP_018458906.1
OG0000010	g50938, g49741, g18847, g40897, g22677, g24884, g42970, g35986, g4942, g43036, g52307, g16140, g44004, g36351, g44065	XP_018487321.1
OG0000011	g24832, g50752, g1458, g52713, g37833, g16484	XP_018463968.1, XP_018477654.1
OG0000011	g26075, g4219, g9033	XP_018458558.1
OG0000012	g6328	XP_018480111.1
OG0000012	g14801, g15067	XP_018473973.1, XP_018466303.1, XP_018460255.1
OG0000012	g15121	XP_018458669.1, XP_018458672.1
OG0000012	g9298	XP_018443767.1, XP_018458912.1
OG0000012	g14800, g15066	XP_018459973.1
OG0000012	g15663, g32788	XP_018435516.1
OG0000012	g42216, g42233	XP_018459050.1
OG0000012	g15122, g44912	XP_018462951.1
OG0000013	g4139, g16474	XP_018463067.1
OG0000013	g24947, g35918, g53893, g41958	XP_018467319.1, XP_018453656.1, XP_018458136.1, XP_018458135.1, XP_018458664.1, XP_018459125.1, XP_018453657.1, XP_018458096.1, XP_018476282.1, XP_018459495.1, XP_018476229.1, XP_018464964.1, XP_018476861.1, XP_018464106.1, XP_018436081.1
OG0000014	g37854, g44201, g25623	XP_018453670.1
OG0000014	g51642, g51639, g52234	XP_018479118.1, XP_018435897.1
OG0000014	g2403	XP_018435910.1
OG0000014	g43444, g14684	XP_018473974.1, XP_018473976.1
OG0000014	g14522, g36331, g48933, g14502, g14513	XP_018460750.1
OG0000014	g43483	XP_018435497.1
OG0000014	g43482, g50927, g53476, g50930	XP_018478850.1
OG0000014	g37855, g34322, g34333, g14397, g1371, g9158, g24560, g8931, g20629, g40584	XP_018476436.1
OG0000014	g28379, g22864	XP_018463271.1
OG0000014	g35555	XP_018479581.1, XP_018477791.1
OG0000015	g24000	XP_018443665.1
OG0000015	g10054	XP_018459146.1
OG0000015	g3755, g43029, g21949, g24634, g43716, g41967, g35685, g3173	XP_018435929.1
OG0000015	g5447, g48096, g4042, g4014, g30179, g21912, g14948, g35471, g12283, g14756, g26107, g39164, g1865, g12584, g7633, g26669, g17276, g2986	XP_018475313.1
OG0000017	g14580, g11710, g15029	XP_018463453.1
OG0000017	g49587, g25192, g31804, g25430, g49408, g2974, g53154, g46949, g43284, g4232, g36899, g2975	XP_018464215.1
OG0000017	g21115, g46328, g31759, g19143, g51013, g17279, g1555, g46224, g35267, g34284, g6170, g31341, g9914, g35675, g23910, g6802, g4158, g33390, g4583, g24610, g25001, g1556, g34853, g4345, g51012, g14558, g19142, g29187, g49407, g42003, g53153	XP_018448669.1, XP_018448670.1
OG0000018	g14567, g33125, g25750	XP_018465850.1
OG0000019	g16593, g27930, g4588, g36529, g42561, g14492, g51080, g41576, g52671, g24908, g42560, g4839, g33386, g45605, g16592, g1020, g46208, g40680, g40322, g46628, g9756, g2482, g2714, g46138, g11450, g50714, g6794, g51199	XP_018475002.1
OG0000019	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706	XP_018465398.1, XP_018435783.1, XP_018436176.1
OG0000020	g49592, g25930, g51375	XP_018482431.1
OG0000020	g35282, g34309, g41784, g25262, g3253	XP_018459344.1
OG0000020	g32772, g14852, g5354, g15953	XP_018453806.1
OG0000020	g41695, g3939, g16600, g31991, g27855, g16029, g32780, g16316, g34338, g35298, g27173, g4384, g8228, g32773, g14853, g1941, g35021, g27176, g4006, g15963, g4751, g26227	XP_018461981.1
OG0000020	g34311, g35284, g3254, g4129, g26122	XP_018487698.1
OG0000021	g14063	XP_018479340.1, XP_018474062.1, XP_018473630.1, XP_018473970.1
OG0000021	g49151, g1467	XP_018458516.1
OG0000021	g45682, g1448	XP_018473840.1
OG0000021	g25134	XP_018435394.1
OG0000021	g3713	XP_018443605.1
OG0000023	g47441	XP_018483533.1, XP_018478194.1
OG0000023	g23897	XP_018483343.1
OG0000023	g25723	XP_018454315.1, XP_018476504.1, XP_018476512.1
OG0000023	g25720	XP_018454316.1
OG0000023	g40374	XP_018454312.1
OG0000023	g23907, g24643	XP_018439285.1
OG0000025	g39418, g24597	XP_018466902.1, XP_018469113.1, XP_018469254.1, XP_018469276.1, XP_018440555.1, XP_018440554.1, XP_018469209.1, XP_018466579.1, XP_018466613.1, XP_018466824.1, XP_018469469.1
OG0000026	g17281, g33392, g4347, g50791, g25246, g46637	XP_018485539.1, XP_018453000.1, XP_018457945.1
OG0000026	g14578, g6312	XP_018487713.1, XP_018488093.1, XP_018464148.1
OG0000026	g25191, g41992, g4231, g43283, g2973, g33119, g33391	XP_018463452.1, XP_018448718.1, XP_018453740.1
OG0000027	g43450	XP_018485466.1, XP_018482596.1
OG0000027	g43467, g53087, g22601, g43469	XP_018467451.1, XP_018458976.1
OG0000027	g40788	XP_018467712.1, XP_018467711.1
OG0000027	g28294	XP_018448575.1, XP_018448576.1
OG0000027	g2269	XP_018487153.1
OG0000029	g16178, g36823, g26225, g26222, g43704, g4265, g4261, g27334, g29817, g13419	XP_018476055.1
OG0000029	g35531, g12208	XP_018465075.1
OG0000029	g45349	XP_018479413.1
OG0000029	g35511, g42101, g17818, g37850, g28202, g31822, g37851	XP_018456076.1
OG0000030	g31187	XP_018453843.1
OG0000030	g31186, g33113, g50559, g3768, g14857, g13786, g40104	XP_018436037.1, XP_018436185.1, XP_018487653.1
OG0000030	g8825	XP_018467507.1, XP_018433578.1
OG0000030	g48552, g20859, g38829	XP_018459378.1
OG0000031	g40889	XP_018452507.1
OG0000031	g5030	XP_018446660.1
OG0000031	g13269	XP_018437843.1
OG0000031	g17118	XP_018467852.1
OG0000031	g40888	XP_018456914.1, XP_018456330.1
OG0000031	g40752	XP_018493478.1, XP_018487942.1
OG0000032	g3147	XP_018458501.1
OG0000032	g20823	XP_018479492.1
OG0000032	g3738, g26774, g53253, g52953, g52389, g43014, g4289, g33014, g53610, g43518, g3146, g4222, g3625, g3120, g22170, g52827, g52845	XP_018479427.1, XP_018479426.1, XP_018462781.1, XP_018454077.1, XP_018459807.1, XP_018479622.1, XP_018435405.1, XP_018467566.1, XP_018477313.1, XP_018460720.1, XP_018467233.1, XP_018458916.1, XP_018463074.1
OG0000032	g33013, g36953, g26773	XP_018453678.1
OG0000032	g53822, g44165, g4624, g6966, g53873, g32714, g13890, g46293, g39938, g26771, g32568, g29256, g19401, g44942, g3737	XP_018466684.1
OG0000033	g23911	XP_018468503.1
OG0000033	g50699, g24014	XP_018484118.1, XP_018484117.1
OG0000033	g23905	XP_018468505.1, XP_018467312.1
OG0000033	g40468	XP_018486703.1, XP_018459753.1, XP_018455051.1, XP_018454979.1
OG0000034	g15118, g44910	XP_018463355.1, XP_018475106.1, XP_018466240.1
OG0000034	g42218, g42234, g34899	XP_018458795.1
OG0000034	g15664, g3441, g9297	XP_018463392.1, XP_018475335.1, XP_018458668.1
OG0000035	g51285	XP_018436807.1
OG0000035	g39852, g39841	XP_018487960.1, XP_018467221.1, XP_018443410.1, XP_018444815.1, XP_018442224.1
OG0000035	g51286, g36519	XP_018479866.1
OG0000035	g29294, g52064, g52069, g52073	XP_018453414.1
OG0000036	g3196	XP_018487493.1
OG0000036	g49100	XP_018458662.1, XP_018464202.1, XP_018477823.1
OG0000037	g35468	XP_018487786.1
OG0000037	g19076, g53465, g53974, g1800, g24922, g25438, g41976, g18240, g17503, g24468, g52242, g18188, g53518, g36593, g41271, g18187, g32897, g36595, g17180	XP_018479887.1
OG0000037	g24763, g47054, g2374, g50425, g35466	XP_018453786.1
OG0000037	g10090	XP_018453597.1
OG0000037	g11495	XP_018461383.1
OG0000038	g24239	XP_018453605.1
OG0000038	g49458	XP_018443359.1, XP_018479044.1, XP_018477530.1
OG0000038	g41272, g41270	XP_018479936.1, XP_018479937.1
OG0000038	g52037	XP_018453967.1
OG0000038	g44982, g44984, g44985, g7414	XP_018489176.1, XP_018487468.1
OG0000040	g38367, g38376, g38372, g38380	XP_018462013.1, XP_018466469.1, XP_018479424.1
OG0000040	g44631	XP_018454017.1
OG0000040	g13193, g13194	XP_018488225.1
OG0000040	g13797, g13799	XP_018453970.1
OG0000041	g28599	XP_018487480.1
OG0000041	g36073	XP_018470316.1, XP_018467220.1, XP_018461685.1
OG0000042	g41631, g25133, g41632, g52948, g49021	XP_018467584.1, XP_018467788.1, XP_018435590.1, XP_018463761.1
OG0000042	g22786, g41711, g1466, g28310, g17388, g32821, g18621	XP_018443419.1
OG0000043	g48023, g20877, g16667, g2616, g12079, g11527, g13738, g8754, g48037, g48014, g42036	XP_018487700.1
OG0000043	g3036, g25225	XP_018448607.1
OG0000043	g30461, g4607, g22195	XP_018462240.1
OG0000043	g14337, g24011, g3506, g47231	XP_018453717.1
OG0000043	g4564, g25886, g53199, g35810	XP_018466277.1
OG0000043	g18028, g11564, g50989, g18002	XP_018464496.1
OG0000044	g11589, g26196	XP_018453757.1
OG0000044	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931, g36166, g25959	XP_018461269.1
OG0000045	g7244, g39351, g17718, g41293	XP_018487726.1, XP_018463620.1, XP_018443707.1, XP_018435482.1, XP_018467340.1, XP_018462035.1, XP_018464385.1, XP_018458802.1, XP_018458803.1, XP_018462082.1
OG0000045	g42618	XP_018453825.1
OG0000046	g46717	XP_018435200.1, XP_018462982.1, XP_018481217.1, XP_018479313.1, XP_018462609.1, XP_018464676.1, XP_018481866.1
OG0000046	g18113	XP_018445101.1
OG0000046	g44951	XP_018470308.1
OG0000046	g18042	XP_018442725.1, XP_018469869.1, XP_018469866.1
OG0000047	g14490, g12581, g40040, g11557	XP_018436236.1, XP_018436246.1
OG0000047	g51086, g3105	XP_018436147.1, XP_018480184.1, XP_018465047.1, XP_018435862.1, XP_018466955.1
OG0000047	g37253, g10849, g36778, g1473	XP_018448865.1
OG0000047	g51838	XP_018465377.1
OG0000048	g4946, g4940, g29028, g29029	XP_018474944.1
OG0000048	g4944	XP_018467998.1, XP_018437175.1, XP_018464360.1, XP_018468001.1, XP_018471676.1, XP_018468781.1, XP_018468850.1
OG0000049	g45167, g147, g24813	XP_018457108.1, XP_018457107.1
OG0000049	g7666, g51916, g39805, g10790, g44228, g1493, g2502, g53420, g10267	XP_018489919.1, XP_018475022.1
OG0000049	g19447	XP_018479945.1, XP_018479944.1
OG0000049	g6205	XP_018467257.1
OG0000049	g36235	XP_018464686.1
OG0000049	g7668, g44227, g39804, g53419	XP_018472294.1
OG0000049	g45435	XP_018448715.1
OG0000052	g37450	XP_018436441.1, XP_018436438.1, XP_018436547.1, XP_018436548.1, XP_018436545.1, XP_018436546.1
OG0000054	g9679, g35281, g34308, g35248, g9678	XP_018459334.1, XP_018477522.1, XP_018473923.1
OG0000055	g40901	XP_018456965.1
OG0000055	g40991	XP_018452239.1, XP_018452238.1, XP_018452289.1, XP_018454291.1
OG0000055	g44205	XP_018458632.1
OG0000057	g50182, g50184, g50186	XP_018489800.1, XP_018489423.1, XP_018464956.1
OG0000057	g15973, g17828	XP_018488447.1, XP_018491504.1
OG0000057	g27361, g5648	XP_018460063.1, XP_018469080.1
OG0000059	g6571	XP_018466457.1
OG0000059	g43390	XP_018462461.1
OG0000059	g14202	XP_018443265.1
OG0000059	g39389, g39352	XP_018461119.1
OG0000059	g42622	XP_018458947.1
OG0000061	g51097, g11499, g25472, g32592, g17431, g28656, g13832, g11373, g15781, g584, g45295, g49162, g11094, g32135, g50796, g25177	XP_018436245.1
OG0000061	g4665, g33350	XP_018463440.1, XP_018467536.1, XP_018436146.1, XP_018480171.1
OG0000062	g32823, g13726, g11246, g41835	XP_018458399.1, XP_018460589.1
OG0000064	g51190, g32307	XP_018443574.1, XP_018443571.1, XP_018465975.1, XP_018466260.1, XP_018461543.1, XP_018464034.1, XP_018461537.1, XP_018468598.1, XP_018443483.1, XP_018444827.1, XP_018443480.1, XP_018444944.1, XP_018449802.1, XP_018449809.1, XP_018443481.1, XP_018444994.1, XP_018443478.1, XP_018467354.1
OG0000065	g8443	XP_018479575.1, XP_018435745.1, XP_018462838.1
OG0000066	g5393	XP_018474475.1, XP_018443026.1, XP_018468121.1, XP_018450392.1, XP_018447173.1, XP_018468122.1, XP_018442730.1, XP_018474474.1
OG0000066	g156	XP_018448990.1, XP_018470662.1, XP_018433979.1, XP_018439713.1, XP_018448989.1, XP_018470661.1, XP_018456938.1, XP_018445234.1, XP_018456939.1
OG0000069	g51830	XP_018460517.1, XP_018487855.1
OG0000069	g24808, g44257, g26746	XP_018459886.1, XP_018435957.1, XP_018448859.1
OG0000069	g10624, g41852	XP_018487835.1, XP_018448680.1, XP_018479220.1, XP_018488216.1, XP_018454215.1, XP_018480096.1, XP_018448417.1
OG0000069	g4931	XP_018487997.1
OG0000069	g13794, g4275, g25547, g38079	XP_018479682.1
OG0000069	g36963	XP_018487884.1
OG0000069	g17549, g12998	XP_018467151.1
OG0000070	g33102, g43981, g14572	XP_018467500.1
OG0000070	g3658, g16018, g33103, g33082, g33075, g6383, g4182, g14664, g41983, g33049, g26414, g43980, g43401, g38750, g11415	XP_018458058.1
OG0000070	g43402	XP_018479687.1, XP_018458688.1
OG0000070	g6385, g42779, g53235	XP_018467590.1
OG0000070	g24990, g40193	XP_018463077.1
OG0000071	g36375, g47125, g4591, g36881, g27012	XP_018479267.1, XP_018491450.1, XP_018458036.1
OG0000073	g28154	XP_018446476.1
OG0000073	g10944	XP_018448890.1
OG0000074	g50301	XP_018434385.1
OG0000074	g27549, g27550	XP_018484078.1
OG0000075	g36278	XP_018487843.1
OG0000075	g5026	XP_018448172.1, XP_018442633.1, XP_018479680.1
OG0000075	g49834, g49840, g49829	XP_018478964.1, XP_018464005.1
OG0000076	g44053	XP_018493248.1
OG0000076	g2410	XP_018433197.1, XP_018454366.1, XP_018454367.1
OG0000076	g19225	XP_018436949.1, XP_018440340.1, XP_018440341.1
OG0000076	g10535	XP_018454118.1
OG0000077	g25975, g22716	XP_018459483.1, XP_018481197.1
OG0000078	g46791, g24881	XP_018462224.1, XP_018463013.1, XP_018464185.1, XP_018438837.1, XP_018462373.1, XP_018459132.1, XP_018482546.1, XP_018459131.1, XP_018482527.1, XP_018438608.1, XP_018462371.1, XP_018459049.1, XP_018461378.1, XP_018461038.1, XP_018450716.1, XP_018466255.1, XP_018459043.1, XP_018461034.1, XP_018437386.1, XP_018446222.1, XP_018443582.1, XP_018450345.1, XP_018490507.1, XP_018487390.1, XP_018448613.1, XP_018435333.1, XP_018443586.1, XP_018479536.1, XP_018479534.1, XP_018461540.1
OG0000079	g18915	XP_018462102.1, XP_018439443.1, XP_018443618.1, XP_018442766.1, XP_018442962.1, XP_018443617.1, XP_018460416.1, XP_018442910.1, XP_018458706.1
OG0000080	g41322	XP_018463514.1
OG0000080	g50013, g23668	XP_018467401.1
OG0000081	g6399	XP_018448313.1, XP_018460564.1, XP_018460562.1, XP_018474222.1, XP_018474217.1, XP_018474230.1, XP_018448315.1, XP_018448325.1, XP_018448316.1, XP_018448324.1, XP_018448317.1, XP_018450320.1, XP_018448320.1
OG0000081	g13268	XP_018475273.1, XP_018475265.1
OG0000082	g54167, g10536, g16647	XP_018479358.1
OG0000082	g52877, g26306	XP_018464493.1, XP_018462716.1
OG0000082	g36211, g54030	XP_018471786.1
OG0000082	g53006, g31724, g7128, g51169	XP_018458065.1
OG0000082	g6230, g2898	XP_018486502.1
OG0000082	g6076, g24927, g11608, g35734, g29175, g26079, g24764, g753	XP_018443682.1
OG0000082	g7127, g18239	XP_018442695.1
OG0000083	g46885	XP_018485392.1
OG0000083	g12860	XP_018445068.1, XP_018473059.1, XP_018475077.1, XP_018473072.1, XP_018444444.1, XP_018444905.1, XP_018432899.1, XP_018443181.1, XP_018479692.1
OG0000083	g7705	XP_018461554.1
OG0000084	g51024	XP_018458817.1, XP_018436175.1
OG0000085	g23926	XP_018467795.1, XP_018467793.1
OG0000085	g45986, g16819, g33053, g33047, g32349	XP_018466084.1
OG0000085	g1372, g19190, g37189	XP_018473822.1, XP_018473825.1
OG0000085	g45065	XP_018480059.1
OG0000087	g9991	XP_018477697.1, XP_018484582.1
OG0000087	g9845, g2817, g339	XP_018492627.1, XP_018440532.1
OG0000087	g5316	XP_018446020.1
OG0000087	g40485, g11055	XP_018439894.1, XP_018457306.1, XP_018456689.1, XP_018483831.1
OG0000087	g17371, g24042	XP_018451489.1, XP_018470360.1, XP_018484782.1
OG0000087	g46232	XP_018463490.1, XP_018446239.1
OG0000088	g11453	XP_018483277.1, XP_018482085.1
OG0000088	g19510	XP_018441615.1
OG0000088	g40516	XP_018436160.1, XP_018443675.1, XP_018475641.1, XP_018476975.1, XP_018442302.1, XP_018442307.1, XP_018460254.1
OG0000088	g11030	XP_018434208.1
OG0000088	g28933, g28934	XP_018474898.1, XP_018446823.1
OG0000089	g29544	XP_018476330.1
OG0000089	g13323, g11989	XP_018440679.1, XP_018492660.1, XP_018492579.1
OG0000089	g38077	XP_018476215.1, XP_018441209.1
OG0000090	g50123	XP_018435343.1
OG0000090	g46242	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000090	g10675	XP_018455246.1, XP_018439895.1
OG0000093	g2360	XP_018484517.1, XP_018484516.1, XP_018460880.1, XP_018444673.1
OG0000093	g18958	XP_018444359.1
OG0000096	g1538, g1535	XP_018438135.1, XP_018435698.1
OG0000096	g18473	XP_018455183.1
OG0000096	g44008, g44009, g44007	XP_018463016.1, XP_018443633.1
OG0000097	g45186, g45201	XP_018451515.1, XP_018489433.1, XP_018486669.1, XP_018486652.1, XP_018474049.1
OG0000097	g25521, g25536, g25522	XP_018436108.1
OG0000098	g49817	XP_018489511.1
OG0000099	g24889	XP_018464864.1, XP_018455373.1
OG0000099	g43603	XP_018455323.1, XP_018435679.1, XP_018435243.1, XP_018454000.1, XP_018475203.1
OG0000101	g13563	XP_018453994.1
OG0000101	g40795	XP_018455681.1, XP_018454018.1
OG0000102	g36431, g4524, g53004, g12636, g24835, g4478, g40702, g34414	XP_018487874.1
OG0000102	g24215	XP_018474011.1
OG0000104	g31072	XP_018487612.1, XP_018493580.1
OG0000104	g51118	XP_018478791.1, XP_018437245.1, XP_018462942.1
OG0000104	g6675	XP_018485989.1
OG0000104	g54244, g54237, g54238	XP_018456007.1, XP_018476295.1, XP_018486058.1
OG0000105	g42819	XP_018463217.1
OG0000105	g43456	XP_018473746.1, XP_018459726.1
OG0000106	g49764	XP_018467758.1
OG0000106	g6393	XP_018490105.1
OG0000107	g11936	XP_018489629.1, XP_018489727.1, XP_018488234.1, XP_018486234.1
OG0000107	g13346, g17783, g17676, g17802, g13363, g6693	XP_018437231.1
OG0000110	g2009	XP_018459995.1
OG0000110	g18900, g2008	XP_018489598.1, XP_018460829.1, XP_018460833.1, XP_018490648.1
OG0000110	g50627	XP_018487764.1, XP_018461995.1
OG0000110	g2010	XP_018444638.1
OG0000111	g35150, g34743, g51064	XP_018487999.1
OG0000111	g51066	XP_018474074.1, XP_018476777.1
OG0000112	g1342	XP_018474157.1, XP_018435960.1, XP_018435443.1, XP_018474158.1
OG0000113	g43820	XP_018454631.1, XP_018455217.1
OG0000113	g54287	XP_018437703.1
OG0000113	g17560	XP_018449080.1, XP_018466654.1
OG0000113	g11211	XP_018448388.1
OG0000114	g18420	XP_018438960.1, XP_018438956.1, XP_018438959.1
OG0000117	g19530, g53855	XP_018461657.1
OG0000117	g3736, g53309, g11486, g4476, g24837	XP_018479567.1
OG0000117	g43638, g39474	XP_018435980.1
OG0000118	g14347, g14348, g14394, g45220, g45247	XP_018470802.1
OG0000119	g52379	XP_018487536.1, XP_018461501.1, XP_018479205.1, XP_018435973.1, XP_018448484.1, XP_018453686.1
OG0000119	g50178	XP_018435672.1
OG0000120	g40996	XP_018454192.1, XP_018454191.1, XP_018454194.1, XP_018463935.1
