Orthogroup	Cochlearia_excelsa	Arabidopsis_arenosa
OG0000022	g14716, g48861, g30038, g41612, g41591, g22553, g41917, g16197, g34207, g15505, g15658, g30512, g42689, g42347, g53204, g36242, g9174, g52595, g41878, g48194, g35110, g44393, g3109, g48690, g34790, g4455, g4155, g20849, g20863, g16650, g836, g3899, g26635, g40219, g17801, g52313, g38832, g9575, g4424, g8586, g42367, g42385, g24855, g3353, g28834, g33374, g35514, g53001, g43209, g43621, g3491, g33698, g33094, g53048, g50777, g33606, g1288, g47309, g26412, g49144, g48256, g26341, g9055, g4317, g25205, g14941, g2204, g26455, g4450, g15619, g26353, g11697, g22503, g42001, g41682, g26604, g26146, g35597, g16361, g49058, g8525, g38825, g19803, g3272, g43544, g52320, g33543, g33491, g33201, g46523, g35599, g25811, g20925, g22556, g53236, g43395, g8858, g15873, g15891, g16198, g15850, g43526, g15265, g3619, g42195, g6641, g11583, g26012, g22375, g53076, g35563, g35631, g7966, g41717, g17339, g34844, g22581, g4549, g43265, g42150, g52721, g30197, g42169, g35272, g42495, g26114, g35414, g34458, g34328, g52359, g25211, g32947, g32941, g34345, g42666, g42525, g3608, g16121, g38673, g48686, g33066, g30678, g19974, g52435, g30159, g48555, g43293, g53187, g52634, g26426, g52593, g16358, g15049, g35003, g34287, g52687, g8657, g48065, g25328, g8743, g14874, g15928, g33818, g8467, g48699, g32944, g15515, g42521, g21522, g14330, g41871, g30074, g34559, g30230, g9198, g16222, g29900, g3425, g42728, g38567, g15657, g34206, g22162, g33088, g30039, g15504, g44529, g35767, g33140, g3421, g3599, g35630, g35753, g34712, g22160, g35269, g48848, g33781, g20360, g2739, g6056, g45121, g33509, g8662, g21890, g15799, g16725, g41856, g21145, g22283, g42143, g21951, g34366, g52013, g16980, g37266, g12539, g49252, g8897, g1536, g43170, g25267, g37886, g26326, g25754, g26376, g21944, g53023, g42869, g36556, g48548, g53672, g37773, g42465, g42472, g8997, g26391, g53831, g25315, g6562, g15507, g48894, g30520, g21898, g15920, g34453, g21146, g7961, g38615, g53032, g33067, g35594, g33079, g33072, g35766, g16212, g3420, g8663, g35513, g15585, g43171, g22554, g4772, g53671, g25994, g22504, g22619, g8655, g35418, g35417, g20864, g42197, g30511, g30523, g2816, g16211, g17672, g25740, g4063, g52747, g49054, g48862, g20924, g5522, g41613, g41916, g21139, g33920, g28777, g2950, g39065, g52516, g20855, g33109, g46522, g35392, g33171, g14395, g32786, g8996, g38827, g48550, g20857, g42737, g41681, g26605, g35598, g8948, g42657, g4156, g16241, g12540, g2876, g15800, g20686, g11839, g14715, g16726, g41486, g21428, g26733, g36555, g33446, g30395, g38830, g20860, g43543, g4545, g34838, g52708, g34286, g52924, g9294, g48219, g16257, g48685, g15656, g21482, g33487, g21478, g33534, g16163, g35406, g35604, g8669, g15757, g8249, g5413, g15559, g48698, g22284, g20923, g42870, g25755, g1537, g43815, g24915, g44528, g48863, g25277, g8530, g22159, g15892, g53022, g37887, g3898, g25954, g25295, g35268, g4587, g24479, g16979, g20850, g15841, g16196, g34205, g21473, g35762, g34364, g30532, g15503, g21383, g1442, g29899, g2849, g21449, g3598, g25204, g53244, g33430, g15636, g34733, g45122, g54407, g8816, g30526, g3286, g41307, g42881, g53605, g8570, g2208, g11205, g41874, g51747, g14768, g15981, g9054, g25714, g3300, g30485, g38796, g33697, g32778, g32771, g33244, g47571, g38901, g27843, g26315, g33276, g34724, g35165, g14959, g26354, g33306, g48374, g15588, g9141, g24854, g14699, g3667, g30070, g42386, g52442, g15584, g4118, g8531, g53693, g38773, g22539, g22282, g33087, g4586, g42729, g42730, g20856, g38826, g16242, g8524, g7962, g11840, g33445, g48237, g42045, g17098, g14933, g34865, g14771, g8805, g22163, g26738, g4773, g48218, g53863	jg6914
OG0000023	g47441	jg10181
OG0000023	g25717, g25713	jg7523
OG0000023	g25723	jg7521
OG0000023	g25720	jg7526
OG0000023	g40374	jg7533, jg7537, jg7530
OG0000023	g23907, g24643	jg10192
OG0000024	g45320, g32515	jg13862, jg2022
OG0000025	g39418, g24597	jg22247, jg22250
OG0000026	g14806, g32688	jg27352
OG0000027	g43469	jg17071
OG0000027	g2269	jg14278, jg15770, jg15695, jg15696, jg15771
OG0000029	g48832, g8633, g29966, g24593, g30702, g9123, g29976, g30667, g13591, g10196	jg27510
OG0000029	g46975	jg5864, jg27798, jg17174, jg18126
OG0000029	g49276, g4525, g37385, g6082	jg1946
OG0000029	g30549, g9121, g30700	jg17443
OG0000029	g1672	jg17949
OG0000030	g40103	jg32294, jg33373
OG0000030	g6175, g48553, g8527	jg6978
OG0000030	g31187	jg12236
OG0000030	g53556	jg6977
OG0000030	g37182	jg20585
OG0000030	g6340, g37181, g16111	jg17129
OG0000030	g43791, g44909	jg2222
OG0000031	g40889	jg663, jg481, jg538, jg645, jg586, jg583, jg572, jg642
OG0000031	g40881, g40949, g40859, g40857, g40951, g6403, g40794	jg618, jg613, jg617, jg616, jg643
OG0000031	g5030	jg5495
OG0000031	g13269	jg25741
OG0000031	g17118	jg9770
OG0000031	g40888	jg638
OG0000033	g23911	jg10203, jg10197, jg10193
OG0000033	g24014	jg10425
OG0000033	g23905	jg10177
OG0000033	g23912	jg10195, jg10202
OG0000033	g40468	jg7784
OG0000034	g34448	jg32357
OG0000035	g29294, g52064, g52069, g52073	jg740
OG0000036	g3196	jg16618
OG0000036	g23185, g33000	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567
OG0000036	g49100	jg21000, jg17522, jg31083
OG0000038	g24239	jg14792, jg14795, jg11019
OG0000038	g1070	jg21941, jg22515
OG0000038	g52037	jg11068
OG0000038	g44982, g44984, g44985	jg25017, jg25016, jg25015
OG0000040	g38367, g38376, g38372, g38380	jg30787, jg31202, jg31203, jg25536
OG0000040	g44631	jg29499, jg25408, jg25347, jg10900, jg11085
OG0000040	g13193, g13194	jg2112, jg25382
OG0000040	g13797, g13799	jg14799, jg17824, jg14802, jg14804, jg1537
OG0000041	g28599, g36073	jg6878
OG0000044	g33267	jg21339, jg1555
OG0000044	g11589, g26196	jg32063
OG0000044	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931	jg13501, jg20886
OG0000044	g36166, g25959	jg12140
OG0000046	g46717	jg12463, jg12464
OG0000046	g46719	jg2192, jg2152
OG0000046	g18042	jg2195, jg2209, jg2212
OG0000047	g25473, g27561, g41540, g28657, g32593, g13831, g36935, g2942, g14554, g51362	jg20815, jg24929, jg1126, jg28031, jg17679
OG0000047	g4320, g7910, g17624, g3384, g3851	jg14037
OG0000047	g49160, g47659, g43703, g25474, g28245, g53765, g45296	jg32532
OG0000047	g42772	jg14038
OG0000048	g4946, g4940, g29028, g29029	jg5634, jg5644
OG0000049	g23452	jg10344
OG0000049	g11828	jg28661
OG0000052	g37450	jg19560
OG0000052	g53934	jg19563, jg19562, jg19561
OG0000053	g43705, g16122	jg32414, jg31675
OG0000055	g44205	jg743
OG0000057	g50182, g50184, g50186	jg8147, jg17788, jg25908
OG0000057	g48153, g33319, g33329, g48170, g15766, g33340	jg28057, jg28058
OG0000057	g27361, g5648	jg25886, jg26868
OG0000058	g19665	jg13853
OG0000061	g11094, g32135, g50796, g25177	jg1799
OG0000062	g50114, g32823, g13726, g11246, g41835	jg7377
OG0000063	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647	jg15309, jg29139, jg21260, jg29120, jg22936
OG0000066	g5393	jg27126, jg7203, jg3219, jg3220
OG0000066	g45535, g29501	jg13471
OG0000066	g156	jg1404
OG0000067	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011	jg12213
OG0000069	g10672, g13435, g10819, g37685, g16623, g14359, g43051, g31936, g11177, g40367, g37837, g24092, g24404, g53393	jg13268
OG0000069	g37235, g35439	jg7434
OG0000069	g4931	jg32690
OG0000069	g41469	jg30965
OG0000072	g33477, g30198	jg1859, jg13895, jg13896, jg17450, jg17336, jg27058
OG0000073	g18482	jg20412
OG0000073	g54289	jg13687, jg20423
OG0000074	g50301	jg30930
OG0000074	g27549, g27550	jg30936
OG0000075	g36278	jg29545, jg29543
OG0000075	g2157	jg29693, jg29335
OG0000076	g3195, g1602	jg13391, jg13389
OG0000076	g44053	jg14762
OG0000076	g2410	jg15039
OG0000076	g19225	jg20913, jg15189
OG0000077	g46525	jg933
OG0000077	g25975, g22716	jg8428
OG0000078	g46791, g24881	jg9173
OG0000079	g18915	jg15911, jg15928
OG0000080	g41322	jg1961, jg32859, jg32843, jg32550, jg32855, jg32866
OG0000080	g50013	jg18012
OG0000081	g36469	jg2643
OG0000081	g6399	jg5636
OG0000081	g18040	jg5637
OG0000083	g46885	jg26539, jg26554, jg26543, jg26553
OG0000083	g7705	jg32422
OG0000084	g51024	jg16996, jg16900, jg16897, jg16899
OG0000087	g9991	jg6235
OG0000087	g9845, g2817, g339	jg23223
OG0000087	g5316	jg5068
OG0000087	g40485, g11055	jg20749
OG0000087	g17371, g24042	jg10485
OG0000087	g46232	jg30528, jg3235
OG0000088	g11453	jg14230, jg14231
OG0000088	g19510, g40516, g11030	jg17633
OG0000088	g46886	jg14545, jg14558
OG0000088	g28933, g28934	jg5910
OG0000089	g5448, g29544, g45521	jg4799
OG0000089	g13323, g11989	jg26012, jg33022
OG0000089	g52029	jg19509
OG0000089	g28730	jg25167
OG0000090	g50123	jg4483, jg30544, jg16631
OG0000090	g46242	jg3251
OG0000090	g10675	jg16054, jg15233, jg8905, jg13115, jg28225, jg28226, jg13116, jg29403
OG0000091	g3977	jg20823, jg20821, jg1412, jg2211, jg14179
OG0000093	g2360	jg15862
OG0000093	g18958	jg15851
OG0000096	g1538, g1535	jg1261, jg1247, jg13128
OG0000096	g18473	jg20644
OG0000096	g44008, g44009, g44007	jg902, jg1249
OG0000097	g45186, g45201	jg7810
OG0000097	g40477, g40479, g40476, g40480, g1561	jg7820, jg7813, jg7812, jg7815, jg7814
OG0000098	g24753	jg852
OG0000098	g49817	jg29677
OG0000099	g24889	jg455, jg458, jg453, jg457
OG0000099	g46874, g4737	jg543
OG0000101	g13564	jg1373
OG0000101	g13563	jg471, jg2046
OG0000101	g40795	jg492
OG0000102	g46693, g45401, g3397, g25742, g18404, g50268, g46262	jg32522
OG0000104	g31072	jg29111
OG0000104	g51118	jg17896
OG0000104	g6675	jg26323
OG0000104	g54236	jg33349, jg33354
OG0000104	g54244, g54237, g54238	jg33347
OG0000104	g37858	jg17893
OG0000104	g51119	jg17885, jg17878
OG0000105	g42819	jg2302, jg18124
OG0000105	g43845	jg11589
OG0000105	g43456	jg17571
OG0000106	g49764	jg6740, jg25958
OG0000106	g6393	jg17690, jg17691, jg17695, jg26888, jg26886
OG0000107	g11936	jg26159
OG0000107	g6757	jg26161
OG0000108	g11756	jg27107
OG0000108	g41770	jg27465, jg27461, jg1132, jg6405, jg11987, jg17594, jg31283, jg16874
OG0000110	g2009	jg15960
OG0000110	g50627	jg11381
OG0000110	g2010	jg15969
OG0000112	g1342	jg21770
OG0000113	g43820	jg12808, jg12802, jg12815
OG0000113	g14463, g14267	jg508
OG0000113	g11211	jg14194, jg14191
OG0000114	g17433	jg2542
OG0000114	g4924	jg20706
OG0000114	g18420	jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330, jg27021, jg27601, jg1248, jg2013, jg12353, jg12354
OG0000118	g14347, g14348, g14394, g45220, g45247	jg13696, jg13697, jg13695
OG0000118	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578	jg15265, jg26895, jg27877
OG0000119	g50178	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024
OG0000120	g40996	jg893, jg889
OG0000120	g6424	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558
OG0000120	g32414, g29781	jg13317, jg4214, jg4213, jg2215, jg14374
OG0000122	g18088	jg21685
OG0000122	g1066	jg22487, jg22488
OG0000123	g25911	jg29806
OG0000123	g17137	jg9826
OG0000123	g25904	jg647
OG0000125	g19182	jg15301
OG0000125	g41348	jg6123
OG0000125	g2919, g1294, g28781	jg14378, jg22931, jg14383
OG0000125	g39998	jg17851
OG0000126	g53241, g45978, g37471, g16077, g52267, g32913, g35883, g25977, g19802, g14393, g26747, g1643, g32916, g42286, g45979, g53240, g32663, g19828, g19824, g42291, g3278, g42811, g28336, g49079, g28773, g17732	jg21202, jg10180, jg32086, jg12955, jg6735, jg10767
OG0000126	g27841	jg13974
OG0000127	g7513	jg24836
OG0000127	g49766	jg29525
OG0000128	g26382	jg32874
OG0000129	g4526, g26706, g4684, g11032, g26785, g24533, g54350, g32853, g17644, g52103, g27870, g4667, g18265, g52232, g27388, g6863, g11123, g6327, g23862, g47169, g27185, g24485, g3423	jg14912
OG0000132	g32782, g32775, g18438, g27853	jg16608, jg16609
OG0000132	g50629	jg32193, jg27190
OG0000133	g19947, g43640, g35382, g42719, g43495	jg7039
OG0000136	g43995, g46769, g46768, g46770	jg12281
OG0000136	g25040, g25067	jg12259
OG0000138	g46708	jg12473, jg13824, jg12474
OG0000138	g10345	jg13818
OG0000138	g10340	jg13817, jg13821
OG0000139	g15900, g14666	jg27251
OG0000139	g33069, g33073, g33080, g14660, g43403	jg6848, jg7487, jg11793
OG0000139	g25175	jg6850, jg12852
OG0000140	g19536	jg14475
OG0000140	g1248	jg22845
OG0000140	g28714	jg22800, jg21885, jg22801
OG0000140	g1252, g28702, g28701	jg22851, jg22847
OG0000142	g51131	jg17932
OG0000142	g37876, g37875	jg17933
OG0000142	g51155, g51154, g51130, g51156	jg18114, jg18115
OG0000143	g3826	jg19287, jg11883
OG0000144	g32634, g26627, g450	jg21692
OG0000145	g47338, g44486, g14472, g33147, g21632, g42257, g21852, g21844, g36809, g10312	jg27362
OG0000145	g45298	jg17724
OG0000147	g5985	jg28078
OG0000147	g23426	jg9392
OG0000147	g1105	jg22635
OG0000147	g46563	jg3697
OG0000147	g11547	jg13954
OG0000147	g6339	jg27288
OG0000147	g50994	jg16942
OG0000149	g2887	jg14423
OG0000149	g36974	jg14425
OG0000149	g1282	jg22904
OG0000149	g1278	jg22900
OG0000149	g2888	jg14420
OG0000150	g11441, g11440	jg14325
OG0000151	g915, g28415	jg22050
OG0000151	g7540	jg24782
OG0000151	g14078	jg27769
OG0000151	g28546	jg22463
OG0000152	g22192, g30253, g4143	jg21089, jg13815
OG0000154	g27332	jg30094
OG0000154	g12277	jg25213
OG0000154	g7492	jg24871
OG0000154	g54073, g45315, g5784	jg3985
OG0000155	g23645	jg9725
OG0000155	g47372	jg10428
OG0000155	g7340	jg25152
OG0000156	g52257	jg19951
OG0000157	g46122, g12809	jg24305
OG0000157	g1395	jg26523, jg24182, jg2031, jg2038, jg2030, jg2028, jg7426, jg26990
OG0000161	g392, g9880	jg21823, jg17685, jg17683, jg17687
OG0000161	g24222, g24219	jg31503
OG0000161	g45103, g45101	jg1847
OG0000161	g45131	jg1820, jg1821, jg1704
OG0000162	g1914	jg19860
OG0000162	g26821	jg2036
OG0000164	g23474	jg31608
OG0000164	g14196, g38017, g38015, g38013, g38019, g32493	jg10651
OG0000164	g22735	jg1130
OG0000165	g11180, g53396, g31934, g52929, g53395, g43054, g10670, g12347	jg13270
OG0000166	g32988, g18507, g12785, g438, g473, g49225, g30202, g30203, g20814	jg10075, jg17325
OG0000167	g17408	jg12242
OG0000168	g43053	jg19451
OG0000169	g46166	jg21554
OG0000169	g46162	jg21553
OG0000170	g22573, g22570, g48659, g33158, g33387, g42569, g33161, g15842, g33616, g35581, g15846, g3497, g35939, g14834, g30174, g22565, g53212, g8538, g36925, g40028, g15494, g20894, g18471, g8347, g30377, g33294, g47597, g34830, g48265, g52453, g16046, g20639, g44883, g33192, g53162, g22322, g15579, g20568, g42486, g26279, g15738, g15472, g52327, g52413, g49242, g13929, g52872, g15613, g38592, g52628, g3592, g48263, g26399, g32830, g14944, g42491, g8470, g21124, g26495, g5035, g23262, g16429, g52466, g3534, g48816, g30214, g8477, g15745, g9162, g8325, g21617, g3516, g15222, g40873, g20697, g19972, g3520, g3531, g556, g34922, g27040, g3806, g612, g14983, g20638, g12232, g32843, g43273, g19971, g32806, g24605, g20928, g53668, g9042, g41989, g15610, g54129, g35835, g9210, g50317, g21981, g53211, g8579, g36305, g30480, g33253, g33290, g52473, g35113, g21534, g30475, g32832, g53230, g4601, g21499, g25308, g33772, g8791, g52468, g53147, g42991, g3481, g42011, g42983, g22579, g23934, g44461, g42451, g48833, g19432, g4722, g14595, g30365, g21386, g42388, g16721, g34240, g34235, g48890, g38610, g4453, g30042, g30370, g48086, g53403, g52331, g48199, g21447, g22186, g16880, g39194, g34889, g8571, g8557, g51041, g15508, g9184, g52632, g8184, g35819, g14982, g30035, g43272, g21848, g19889, g44995, g26398, g53256, g53205, g25183, g49049, g53454, g47596, g32764, g25768, g43096, g14799, g43735, g15775, g4487, g26148, g20846, g30502, g53862, g16430, g22578, g8597, g17427, g52829, g20844, g25945, g35135, g35138, g43276, g3589, g20553	jg1519
OG0000171	g37719, g50814	jg16299
OG0000171	g50297, g32098, g27548	jg30921
OG0000171	g29297	jg5289
OG0000173	g52822, g25282, g31108	jg1461
OG0000173	g41537, g37373, g50635	jg26673
OG0000173	g15729, g49146	jg1807
OG0000173	g17352, g17357, g17341, g1801, g25289, g14575, g15732, g18062, g46682, g32984	jg14356
OG0000173	g10113	jg7184, jg21355
OG0000173	g26535	jg2228, jg26653, jg14013
OG0000174	g3544	jg11812, jg11810
OG0000175	g23036	jg8854
OG0000176	g27714	jg31640
OG0000178	g16431, g16432, g1623, g34290	jg33537
OG0000180	g13531	jg16351
OG0000183	g45042	jg14745, jg7532, jg14541, jg27683, jg1699
OG0000183	g11496, g11193	jg19302
OG0000185	g35118, g49472, g24428	jg12153
OG0000186	g16332, g41273, g35916, g41907	jg17305, jg27206
OG0000186	g1666	jg17369, jg17588
OG0000186	g11646	jg1403, jg17368
OG0000186	g27940	jg27207
OG0000186	g52652, g16333, g52922	jg10477, jg10194
OG0000187	g35037	jg16968, jg9234, jg9235
OG0000188	g34416, g52896, g52964, g16064, g34537, g43011, g25804, g34406	jg33027
OG0000190	g40442	jg7702
OG0000190	g45158	jg7707
OG0000190	g45173	jg7705
OG0000191	g31359	jg29662
OG0000192	g50732, g27488	jg3362
OG0000194	g39193, g14594, g3480, g3485, g52657, g21533, g40027, g48264, g35112, g42450, g33771, g23935	jg13997
OG0000195	g40143	jg17567
OG0000195	g18117	jg2098, jg12245
OG0000196	g40674	jg28891
OG0000196	g27686	jg31559
OG0000196	g32383	jg31430
OG0000196	g40675	jg28892
OG0000197	g18526, g7663	jg28098
OG0000197	g27764, g39817	jg12633, jg12636
OG0000200	g27759, g27721	jg31833
OG0000201	g6534, g11758	jg26412, jg26411, jg26410
OG0000201	g17326, g17323, g17324, g17327, g17336, g17334, g17322, g17332	jg26413, jg26414
OG0000201	g11846	jg26423, jg26420, jg26421, jg26422, jg26418, jg26417, jg26416, jg26419
OG0000202	g27177	jg26502
OG0000204	g11805	jg26496
OG0000204	g36933	jg26333
OG0000205	g32507	jg16530
OG0000205	g53988	jg32768, jg32767, jg32765
OG0000206	g41308, g29004, g33054, g1573, g22730, g23072, g45047, g16729, g36171, g52105, g17791, g2449, g32347, g27139, g38106, g44429, g37022, g13752, g51222, g23924, g6223, g37934, g11812, g6224, g29003, g53538, g9977, g41828, g33055, g53539, g14640, g9978	jg33290
OG0000207	g4046	jg16693
OG0000208	g18133	jg12428
OG0000208	g6217, g6207	jg8417, jg9182
OG0000209	g40830	jg415
OG0000209	g40827	jg413
OG0000209	g40828	jg419
OG0000209	g32745	jg12797
OG0000213	g46059, g46056	jg2970, jg2971
OG0000213	g7432	jg24982
OG0000213	g38464	jg16741
OG0000214	g36825, g36830	jg2493
OG0000214	g1023, g25454, g25477	jg8000, jg7249
OG0000216	g53737	jg10317
OG0000216	g47412	jg33448, jg10319, jg10323
OG0000216	g53736	jg10266
OG0000217	g31539, g1718	jg1353, jg1150, jg1143, jg1140, jg1148, jg1145
OG0000217	g44052	jg7386, jg1031
OG0000218	g31564	jg29979
OG0000218	g49926	jg29981
OG0000218	g10793	jg12942
OG0000219	g28368	jg2178, jg2182, jg2180, jg2179
OG0000219	g311	jg23294, jg23293
OG0000219	g18634	jg22095, jg22096
OG0000220	g14029	jg3970
OG0000221	g22946, g6183, g17356	jg23304
OG0000222	g2261, g45344, g10741, g44563, g51060, g5898, g28476, g32750, g41189, g41204	jg11713, jg23119
OG0000224	g46370	jg3420
OG0000224	g40852	jg9231, jg571, jg570
OG0000225	g27682	jg31473, jg31478, jg31472
OG0000226	g32332, g32334, g32337	jg26094
OG0000226	g11864	jg30960, jg31379, jg31377
OG0000228	g32057	jg6720, jg6718
OG0000228	g44676	jg2708
OG0000230	g46235	jg3241
OG0000230	g18589	jg1401
OG0000231	g46733	jg12412
OG0000231	g18039	jg2322, jg11881, jg2248
OG0000233	g53346, g43307, g27732, g16269, g19533, g14957, g52369, g43031, g35549, g48287, g53347, g1483, g14787, g26102, g3184, g53946, g26599, g34930, g48282, g35561, g16294, g33166, g33170, g33200, g34779, g16144, g6202, g26600, g16293, g32898, g33199, g4655, g25229	jg32554
OG0000233	g53703	jg32629
OG0000233	g53753, g43144, g15838	jg24835, jg1346
OG0000234	g19127	jg15449
OG0000234	g19128	jg15448
OG0000234	g2235	jg15447
OG0000234	g51765	jg19118
OG0000234	g29346	jg5170
OG0000237	g33179, g33208	jg12894
OG0000237	g52606, g16443	jg1321
OG0000238	g4264, g4260, g16017, g37418, g28616, g34276, g15805	jg11559
OG0000238	g22405, g22409, g22252, g25326	jg11581
OG0000239	g39775	jg27121, jg18342
OG0000240	g26214, g10490, g22460	jg23298
OG0000240	g24726	jg32293
OG0000240	g11360, g13978	jg17464, jg1772
OG0000242	g14272, g6162	jg27567
OG0000242	g31494	jg29880
OG0000242	g31496, g31497, g31498, g31499	jg29883
OG0000244	g17320	jg10370, jg7736, jg10373, jg10374, jg10376, jg10372, jg10371, jg7734, jg7735
OG0000247	g28137	jg12066
OG0000248	g25664	jg7640
OG0000248	g41086, g41090, g41083	jg1267
OG0000249	g51603	jg18816
OG0000249	g37185	jg18819
OG0000251	g53444	jg1955
OG0000251	g53852, g33562, g32888, g26702	jg21610
OG0000251	g35942	jg32810
OG0000252	g45347	jg4035
