Orthogroup	Cochlearia_excelsa	Cardamine_amara
OG0000021	g14063	evm.model.RL_7.92, evm.model.RL_2.444, evm.model.RL_5.2428, evm.model.RL_6.438
OG0000021	g49151, g1467	evm.model.RL_6.1178, evm.model.RL_5.2234
OG0000021	g49844, g38320	evm.model.RL_4.405
OG0000021	g40050, g47160, g49473, g26165	evm.model.RL_3.586, evm.model.RL_1.1352, evm.model.RL_3.1079, evm.model.RL_2.288, evm.model.RL_1.2419
OG0000021	g3713, g24107, g3725, g24106, g46643	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	g47441	evm.model.RL_2.1843
OG0000023	g23897	evm.model.RL_2.1842
OG0000023	g48943	evm.model.RL_8.634, evm.model.RL_8.635, evm.model.RL_7.2085
OG0000023	g25723	evm.model.RL_8.636
OG0000023	g23907, g24643	evm.model.RL_2.1825.3.687c86e4
OG0000023	g25715, g48949	evm.model.RL_2.1841
OG0000024	g45320, g32515	evm.model.RL_7.2066, evm.model.RL_8.1089, evm.model.RL_5.2480
OG0000026	g17281, g33392, g4347, g50791, g25246, g46637	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710
OG0000026	g27047	evm.model.RL_5.679
OG0000026	g51053, g47798, g4344, g43478, g23597, g14579, g3360, g43692, g7899, g2954, g49586, g31803, g4274, g32656, g11709, g44075, g3058, g46225, g1554, g17019, g6169, g23909, g34283, g6803, g35674, g46329, g52008, g14035, g43351, g35266, g9915, g25002, g31760, g21114, g4157, g14556, g51014, g34854, g39311, g31342, g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312, g46948, g36898, g25431, g17280, g25191, g41992, g4231, g43283, g2973, g33119, g33391	evm.model.RL_7.315
OG0000027	g28294	evm.model.RL_5.2839
OG0000027	g2269	evm.model.RL_7.603, evm.model.RL_7.580
OG0000029	g29817	evm.model.RL_8.656
OG0000029	g46975	evm.model.RL_4.797
OG0000029	g4525, g37385, g6082	evm.model.RL_2.306
OG0000029	g31822, g37851	evm.model.RL_5.2382
OG0000030	g37182	evm.model.RL_5.2340, evm.model.RL_6.2259
OG0000030	g6340, g37181, g16111	evm.model.RL_3.1268, evm.model.RL_5.2343, evm.model.RL_6.2258
OG0000031	g40889	evm.model.RL_3.758
OG0000031	g40881, g40949, g40859, g40857, g40951, g6403, g40794	evm.model.RL_3.205
OG0000032	g26172, g9204, g7013, g46294	evm.model.RL_1.3084
OG0000033	g23911	evm.model.RL_2.1834, evm.model.RL_2.1824
OG0000033	g23905	evm.model.RL_2.1847, evm.model.RL_2.1846
OG0000033	g23912	evm.model.RL_2.1820_evm.model.RL_2.1823
OG0000033	g40468	evm.model.RL_8.413
OG0000034	g15118, g44910	evm.model.RL_5.2588
OG0000034	g42218, g42234	evm.model.RL_4.675
OG0000035	g51286, g36519	evm.model.RL_6.1297
OG0000036	g3196	evm.model.RL_5.2564
OG0000036	g23185, g33000, g49100, g41178, g43966	evm.model.RL_2.742, evm.model.RL_2.665
OG0000037	g25569	evm.model.RL_1.2680
OG0000037	g50424, g6550, g19935	evm.model.RL_5.891
OG0000037	g35466	evm.model.RL_4.2891, evm.model.RL_5.3695
OG0000037	g20917, g29939, g20308, g28559, g25198, g14254, g2520	evm.model.RL_3.518
OG0000038	g24239	evm.model.RL_7.1446
OG0000038	g1070	evm.model.RL_8.1346, evm.model.RL_8.1344
OG0000039	g4633	evm.model.RL_1.3015, evm.model.RL_3.1690
OG0000040	g38367, g38376, g38372, g38380	evm.model.RL_7.2097
OG0000040	g44631	evm.model.RL_2.1272
OG0000042	g12385	evm.model.RL_7.1372
OG0000042	g49152, g3973, g3980	evm.model.RL_7.1972
OG0000042	g18621	evm.model.RL_6.2221
OG0000043	g35108	evm.model.RL_7.2084
OG0000043	g48023, g20877, g16667, g2616	evm.model.RL_3.1062, evm.model.RL_4.636, evm.model.RL_5.2585
OG0000043	g48032, g14357, g33263, g53602, g3049, g30442, g16404, g16232, g30055, g17329, g34409, g32562, g25038, g49091, g34238	evm.model.RL_8.981, evm.model.RL_8.1077
OG0000043	g4564, g25886, g53199, g35810	evm.model.RL_6.636
OG0000044	g33267	evm.model.RL_6.541
OG0000044	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446	evm.model.RL_3.633, evm.model.RL_7.2338
OG0000044	g3382, g2931	evm.model.RL_8.226
OG0000044	g36166, g25959	evm.model.RL_2.659
OG0000045	g7244, g39351, g17718, g41293	evm.model.RL_2.587
OG0000046	g18113	evm.model.RL_2.389, evm.model.RL_2.387
OG0000046	g18042	evm.model.RL_3.1072, evm.model.RL_3.1077
OG0000047	g51242	evm.model.RL_4.1421
OG0000049	g46641, g45389, g28412, g26640, g14427, g29232, g13756, g19458, g4881, g46776	evm.model.RL_4.948
OG0000054	g43613, g52587, g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130, g35345, g4371	evm.model.RL_1.2395
OG0000057	g50182, g50184, g50186	evm.model.RL_4.2353
OG0000058	g10583	evm.model.RL_2.1104, evm.model.RL_1.2538
OG0000058	g53630, g30921, g4397	evm.model.RL_6.525, evm.model.RL_2.462, evm.model.RL_7.2216
OG0000059	g6571	evm.model.RL_2.445
OG0000059	g14202	evm.model.RL_6.844
OG0000059	g39389, g39352	evm.model.RL_4.1269
OG0000061	g45295, g49162	evm.model.RL_6.2768
OG0000062	g32823, g13726, g11246, g41835	evm.model.RL_2.991, evm.model.RL_6.777
OG0000065	g48353, g38605	evm.model.RL_6.669, evm.model.RL_8.1014, evm.model.RL_8.1010, evm.model.RL_2.690, evm.model.RL_6.632
OG0000065	g8443	evm.model.RL_2.685, evm.model.RL_5.2501
OG0000065	g20336, g21055, g39103	evm.model.RL_8.1009, evm.model.RL_3.812, evm.model.RL_3.796, evm.model.RL_3.835, evm.model.RL_2.691, evm.model.RL_8.1016, evm.model.RL_1.2631, evm.model.RL_1.2658, evm.model.RL_2.687, evm.model.RL_3.811, evm.model.RL_8.1015, evm.model.RL_6.667, evm.model.RL_3.825, evm.model.RL_6.664, evm.model.RL_6.673, evm.model.RL_4.722, evm.model.RL_6.666, evm.model.RL_8.1005, evm.model.RL_5.2500, evm.model.RL_6.703, evm.model.RL_1.2636, evm.model.RL_1.2795, evm.model.RL_1.2649, evm.model.RL_1.2645, evm.model.RL_2.699, evm.model.RL_5.2502, evm.model.RL_6.702, evm.model.RL_6.616, evm.model.RL_6.601, evm.model.RL_6.619, evm.model.RL_2.694, evm.model.RL_4.715, evm.model.RL_6.675, evm.model.RL_8.1006, evm.model.RL_1.2647
OG0000066	g5393	evm.model.RL_2.3332, evm.model.RL_4.2487, evm.model.RL_3.1975, evm.model.RL_2.3331
OG0000066	g45535, g29501, g9719	evm.model.RL_5.781, evm.model.RL_8.2623
OG0000066	g156	evm.model.RL_4.2540, evm.model.RL_8.2622
OG0000067	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011	evm.model.RL_3.1500, evm.model.RL_3.1537
OG0000069	g10624, g41852	evm.model.RL_8.289
OG0000070	g15856, g15924, g26036	evm.model.RL_2.838
OG0000070	g30429, g30434, g34722, g20467, g25157, g21277	evm.model.RL_6.606
OG0000070	g4159	evm.model.RL_1.3315
OG0000070	g3657	evm.model.RL_2.703, evm.model.RL_3.747, evm.model.RL_3.813, evm.model.RL_8.1022
OG0000070	g48491	evm.model.RL_1.2601, evm.model.RL_6.604
OG0000070	g26415	evm.model.RL_2.731
OG0000071	g27012	evm.model.RL_6.950
OG0000072	g33477, g30198	evm.model.RL_3.925
OG0000073	g10944	evm.model.RL_4.629
OG0000073	g54289	evm.model.RL_4.175
OG0000076	g44053	evm.model.RL_7.1484
OG0000076	g10535	evm.model.RL_6.1653
OG0000077	g25975, g22716	evm.model.RL_2.3381
OG0000078	g32727, g44450, g24957	evm.model.RL_7.1903
OG0000078	g46791, g24881	evm.model.RL_3.798
OG0000081	g36469	evm.model.RL_5.1972
OG0000082	g20916, g29940, g2519, g54167, g10536, g16647	evm.model.RL_7.1932
OG0000082	g2376, g41979	evm.model.RL_3.918
OG0000082	g33413, g33414, g25297, g33412, g33411	evm.model.RL_8.1557
OG0000082	g26708, g39275	evm.model.RL_7.2714
OG0000082	g6230, g2898	evm.model.RL_3.408
OG0000083	g46885	evm.model.RL_1.2207, evm.model.RL_1.2208
OG0000084	g51024	evm.model.RL_6.313
OG0000085	g28998, g41305	evm.model.RL_2.448
OG0000087	g9991	evm.model.RL_4.1345
OG0000087	g5316	evm.model.RL_4.2360
OG0000087	g40485, g11055	evm.model.RL_4.428
OG0000087	g17371, g24042	evm.model.RL_2.1599
OG0000087	g46232	evm.model.RL_5.1831, evm.model.RL_3.1990
OG0000088	g11453, g19510, g40516, g11030, g46886	evm.model.RL_7.1629
OG0000089	g29544	evm.model.RL_4.2603
OG0000089	g13323, g11989	evm.model.RL_1.1790.1.687c87ee
OG0000089	g52029	evm.model.RL_6.2333
OG0000090	g50123	evm.model.RL_5.1846
OG0000090	g46242	evm.model.RL_3.2006
OG0000090	g10675	evm.model.RL_2.2972, evm.model.RL_7.2545, evm.model.RL_7.2013, evm.model.RL_7.2546, evm.model.RL_5.885
OG0000093	g2360	evm.model.RL_7.523
OG0000096	g1538, g1535	evm.model.RL_3.612, evm.model.RL_7.2530, evm.model.RL_7.2533, evm.model.RL_4.275
OG0000096	g18473	evm.model.RL_4.362
OG0000097	g45186, g45201	evm.model.RL_8.394
OG0000097	g40477, g40479, g40476, g40480, g1561	evm.model.RL_8.388, evm.model.RL_8.395
OG0000101	g13563	evm.model.RL_3.99, evm.model.RL_3.653
OG0000101	g35259, g34277	evm.model.RL_3.113
OG0000102	g2701, g43502, g42120, g25862	evm.model.RL_2.452
OG0000104	g51118	evm.model.RL_6.1001
OG0000104	g6675	evm.model.RL_1.2055
OG0000104	g54236	evm.model.RL_8.1054
OG0000104	g54244, g54237, g54238	evm.model.RL_1.2425
OG0000104	g37858	evm.model.RL_6.1000
OG0000105	g42819, g43845	evm.model.RL_1.2669
OG0000105	g43456	evm.model.RL_6.453
OG0000108	g41770	evm.model.RL_1.3010
OG0000109	g43843	evm.model.RL_1.2214
OG0000113	g43820	evm.model.RL_4.208, evm.model.RL_2.149
OG0000113	g53975	evm.model.RL_3.600
OG0000113	g35258	evm.model.RL_2.339
OG0000113	g54287	evm.model.RL_4.149, evm.model.RL_3.996
OG0000113	g14463, g14267	evm.model.RL_4.346
OG0000114	g17433	evm.model.RL_3.2232, evm.model.RL_3.2202
OG0000117	g14426, g3736, g53309, g11486, g4476, g24837	evm.model.RL_8.488
OG0000118	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578	evm.model.RL_8.709, evm.model.RL_8.712
OG0000119	g50178	evm.model.RL_5.2397
OG0000120	g40996	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	g6424	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	g32414, g29781	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000123	g25911	evm.model.RL_5.1210
OG0000125	g19182	evm.model.RL_7.1020
OG0000125	g41348	evm.model.RL_4.1435
OG0000125	g2919, g1294, g28781	evm.model.RL_8.2069, evm.model.RL_7.1764, evm.model.RL_7.1769
OG0000125	g39998	evm.model.RL_6.979
OG0000126	g53241, g45978, g37471, g16077, g52267, g32913, g35883, g25977, g19802, g14393, g26747, g1643, g32916, g42286, g45979, g53240, g32663, g19828, g19824, g42291, g3278, g42811, g28336, g49079, g28773, g17732	evm.model.RL_1.2513
OG0000126	g16084, g27841, g1792, g4332, g27839, g27662, g37157, g53925, g35446	evm.model.RL_6.543, evm.model.RL_3.859
OG0000128	g53276	evm.model.RL_3.715
OG0000128	g31783, g53811, g31875	evm.model.RL_4.1217
OG0000128	g10185	evm.model.RL_3.654
OG0000128	g5236, g5604, g3371, g22741	evm.model.RL_5.2370
OG0000130	g26208, g43583	evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707
OG0000131	g34673, g32668, g49077, g28772	evm.model.RL_5.2318
OG0000132	g53769, g43756, g15634	evm.model.RL_6.1268, evm.model.RL_7.2086
OG0000134	g20890, g48878, g33917, g9237, g33799, g33857, g38909, g21309, g21182, g20425, g48451, g21537, g9600, g34175, g21773, g33854, g15366, g15295, g48455, g33959, g20321, g15392, g33756, g15365, g21160, g15698, g20414, g20512, g33912, g9087, g21838, g21716, g15460, g21006, g15685, g33851, g21745, g48385, g48366, g21734, g16184, g33763	evm.model.RL_6.678
OG0000134	g30122, g21288, g48544, g48547, g33919, g15373, g20612, g15369, g34105, g15377, g9364, g20457, g8301, g38908, g48372, g33821, g9574, g8330, g15490, g30645, g20140, g42391, g33933, g33732, g33953, g48378, g48469, g33757, g33607, g20123, g21879, g15489, g30608, g8917, g33778, g3564, g9498, g9306, g21340, g33845, g33618, g48875, g48382, g48478, g8589, g33730, g9406, g21400, g9522, g21161, g34584, g15314, g34179, g15194, g48351, g30600, g30337, g52757, g42502, g33944, g48350, g33735, g33915, g33764, g48870, g33842, g21622, g34257, g33939, g21223, g21764, g21661, g9119, g9592, g20540, g21172, g9499, g34059, g9500, g3896, g38843, g21178, g38836, g20405, g30491, g8450, g30144, g15539, g15285, g26513, g21569, g15469, g15446, g42552, g34139, g48384, g21900, g9056, g52496, g48184, g52613	evm.model.RL_1.2646
OG0000135	g51256, g14066, g27772	evm.model.RL_4.523, evm.model.RL_3.1563
OG0000136	g14687	evm.model.RL_2.429
OG0000139	g25175	evm.model.RL_8.982, evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044
OG0000140	g1248	evm.model.RL_8.2003
OG0000142	g37876, g37875	evm.model.RL_6.1032
OG0000142	g51155, g51154, g51130, g51156	evm.model.RL_6.789, evm.model.RL_6.1159
OG0000143	g43612, g53735, g1831	evm.model.RL_8.1036
OG0000144	g32634, g26627, g450	evm.model.RL_8.1451
OG0000147	g13932	evm.model.RL_1.3091
OG0000147	g23426	evm.model.RL_2.2536
OG0000147	g1105	evm.model.RL_8.1812
OG0000147	g46563	evm.model.RL_3.2406
OG0000147	g17885	evm.model.RL_2.664
OG0000147	g6339	evm.model.RL_1.2583
OG0000147	g50994	evm.model.RL_6.348
OG0000149	g2887	evm.model.RL_7.1738
OG0000149	g2888	evm.model.RL_7.1739
OG0000150	g11441, g11440	evm.model.RL_7.1810
OG0000151	g915, g28415	evm.model.RL_8.1422
OG0000151	g17072	evm.model.RL_2.2307
OG0000151	g7540	evm.model.RL_1.777
OG0000151	g14078	evm.model.RL_1.2853
OG0000151	g28546	evm.model.RL_8.1691
OG0000152	g22192, g30253, g4143	evm.model.RL_7.117, evm.model.RL_2.778, evm.model.RL_2.919, evm.model.RL_5.2414, evm.model.RL_4.661, evm.model.RL_4.735, evm.model.RL_6.581, evm.model.RL_1.2711, evm.model.RL_2.713, evm.model.RL_2.777, evm.model.RL_6.572, evm.model.RL_8.1671, evm.model.RL_6.2907, evm.model.RL_4.1821, evm.model.RL_6.815, evm.model.RL_7.1603
OG0000154	g27332	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	g7492	evm.model.RL_1.853
OG0000155	g23645	evm.model.RL_2.2243
OG0000156	g2802	evm.model.RL_6.2689
OG0000156	g52257	evm.model.RL_4.1065
OG0000156	g52256	evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691
OG0000157	g1395	evm.model.RL_5.213
OG0000161	g45103, g45101	evm.model.RL_3.891
OG0000161	g45131	evm.model.RL_3.897
OG0000162	g26821	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976
OG0000164	g14196, g38017, g38015, g38013, g38019, g32493	evm.model.RL_4.581, evm.model.RL_2.1488
OG0000165	g24260	evm.model.RL_7.798
OG0000165	g32056, g1088, g43890, g10671, g11814, g27290	evm.model.RL_1.2476
OG0000167	g24121	evm.model.RL_2.1517
OG0000171	g45857	evm.model.RL_3.1439
OG0000171	g5177	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461
OG0000171	g29297	evm.model.RL_4.2162.1.687c86d7
OG0000173	g52822, g25282, g31108, g41537, g37373, g50635, g15729, g49146, g17663, g37839, g27055, g49999, g53725, g17352, g17357, g17341, g1801, g25289, g14575, g15732, g18062, g46682, g32984, g45423, g24727, g33298, g51510, g2110, g32983, g4808, g10113, g26535	evm.model.RL_5.288
OG0000174	g4698	evm.model.RL_1.135
OG0000174	g26585, g53787, g43917	evm.model.RL_7.2138
OG0000175	g6044, g13998	evm.model.RL_7.1254
OG0000175	g47947	evm.model.RL_2.3122
OG0000178	g14419	evm.model.RL_8.2288
OG0000178	g3844, g12585	evm.model.RL_3.909, evm.model.RL_1.2527, evm.model.RL_6.1504
OG0000180	g34299	evm.model.RL_4.185
OG0000183	g6570	evm.model.RL_3.1014
OG0000184	g53120, g22863, g17905, g44091, g17915, g2401	evm.model.RL_8.999
OG0000184	g5948	evm.model.RL_1.2918
OG0000185	g40049, g47161, g26166	evm.model.RL_5.3641, evm.model.RL_3.292
OG0000185	g35118, g49472	evm.model.RL_3.588, evm.model.RL_1.1351
OG0000185	g24428	evm.model.RL_2.287
OG0000186	g1666	evm.model.RL_5.2354, evm.model.RL_8.2135
OG0000187	g35037	evm.model.RL_2.2676, evm.model.RL_2.2677
OG0000188	g53804, g33380, g25805, g16452	evm.model.RL_8.964
OG0000188	g35452, g53324	evm.model.RL_8.2357
OG0000188	g34416, g52896, g52964, g16064, g34537, g43011, g25804, g34406	evm.model.RL_1.2150, evm.model.RL_1.1078
OG0000190	g40442	evm.model.RL_8.476, evm.model.RL_8.475
OG0000191	g6928	evm.model.RL_1.1588
OG0000192	g50732, g27488	evm.model.RL_3.2103
OG0000192	g31972	evm.model.RL_3.2104
OG0000195	g40143	evm.model.RL_6.761
OG0000195	g18117	evm.model.RL_2.437, evm.model.RL_3.1018
OG0000196	g27686	evm.model.RL_1.1858
OG0000197	g40833, g18526, g7663, g27764, g39817	evm.model.RL_2.911
OG0000201	g11846	evm.model.RL_1.2115, evm.model.RL_1.3066
OG0000204	g11805, g36933	evm.model.RL_1.2062
OG0000205	g32507	evm.model.RL_8.836
OG0000206	g41828, g33055	evm.model.RL_8.541
OG0000209	g40830	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276
OG0000209	g40827	evm.model.RL_7.2654
OG0000209	g32745	evm.model.RL_2.161
OG0000210	g28290	evm.model.RL_7.2509
OG0000213	g38464	evm.model.RL_6.204
OG0000214	g36825, g36830	evm.model.RL_7.216, evm.model.RL_7.215
OG0000215	g5605, g51759, g41108, g39296, g10343, g47026, g28711, g45612, g46381, g44184, g27402, g29409, g50354, g44893, g26974, g2036, g10328, g1428, g53274	evm.model.RL_6.1605
OG0000217	g31539, g1718	evm.model.RL_7.1931
OG0000217	g44052	evm.model.RL_3.548
OG0000218	g31564	evm.model.RL_5.1346
OG0000218	g49926	evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	g25893, g10793	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	g13335, g45479, g28368	evm.model.RL_3.1053
OG0000219	g46873	evm.model.RL_6.1077
