Orthogroup	Cochlearia_excelsa	Alyssum_gmelinii
OG0000037	g10538	Ag007G646570
OG0000037	g5625	Ag001G053350
OG0000037	g11495	Ag002G136000
OG0000038	g49458	Ag003G279120
OG0000038	g41272	Ag001G083350
OG0000038	g44982, g44984, g44985, g7414	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090
OG0000039	g4633	Ag005G448620, Ag004G337020
OG0000040	g38367, g38376, g38372, g38380	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	g44631	Ag005G483190
OG0000040	g13193, g13194, g13797, g13799	Ag005G441920, Ag005G467750, Ag005G452660
OG0000041	g36073	Ag004G400760, Ag002G143210, Ag008G685490, Ag006G552710, Ag019G742960
OG0000044	g36166, g25959	Ag001G054960
OG0000045	g7244, g39351, g17718, g41293	Ag005G474590, Ag005G450900, Ag005G424570
OG0000045	g42618	Ag002G197550, Ag008G703200
OG0000046	g17485	Ag006G575430
OG0000046	g18113	Ag007G619200, Ag007G619210
OG0000046	g18042	Ag002G129690, Ag002G129740
OG0000047	g25473, g27561, g41540, g28657, g32593, g13831, g36935, g2942, g14554, g51362	Ag008G717960, Ag004G337790, Ag001G100560, Ag002G180790
OG0000047	g37081, g690, g27871	Ag007G643270
OG0000047	g17624, g3384, g3851	Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180
OG0000047	g28468, g43700, g14016, g18660, g44830, g41217, g37480, g4319, g45363, g51127, g3853, g11964	Ag007G585730, Ag007G603890
OG0000047	g28467	Ag006G525770
OG0000049	g43788, g43772, g13437, g45167, g147, g24813, g7666, g51916, g39805, g10790, g44228, g1493, g2502, g53420, g10267	Ag003G236810
OG0000050	g44326, g2819, g44187	Ag007G641850
OG0000052	g37450	Ag002G194410, Ag002G194400, Ag002G194390
OG0000052	g53934	Ag002G194440, Ag002G194380
OG0000053	g48001, g18941, g54246, g1179, g2712, g50347, g36530, g16902, g49418, g51200, g3380, g2153, g1735, g51079, g42562, g14493, g24166, g19260, g2184, g2480, g46139	Ag006G525960
OG0000055	g40901	Ag004G334400, Ag004G379910
OG0000055	g40991	Ag004G377140
OG0000055	g44205	Ag002G180760, Ag003G281400, Ag003G282390
OG0000057	g48153, g33319, g33329, g48170, g15766, g33340	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510
OG0000057	g23114	Ag002G195030
OG0000057	g700, g15973, g17828	Ag005G459920
OG0000057	g27361, g5648	Ag003G289060
OG0000058	g50156, g182, g51073, g5874, g10583	Ag006G516660
OG0000059	g14202	Ag004G391520
OG0000059	g24632	Ag006G516680, Ag001G020010, Ag003G215300, Ag004G373020
OG0000059	g42622	Ag002G103440, Ag002G122810
OG0000063	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647	Ag004G307350
OG0000066	g5393	Ag003G293050, Ag003G225480, Ag003G225470, Ag003G293060, Ag007G606120
OG0000066	g45535, g29501, g9719	Ag007G604700
OG0000066	g156	Ag002G125900
OG0000067	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011	Ag004G385490, Ag006G500760, Ag008G714910, Ag008G707340
OG0000069	g10672, g13435, g10819, g37685, g16623, g14359, g43051, g31936, g11177, g40367, g37837, g24092, g24404, g53393	Ag006G532130
OG0000069	g41608	Ag003G208920
OG0000069	g41469	Ag001G019730
OG0000069	g13794, g4275, g25547, g38079	Ag003G258860
OG0000070	g6384, g33081, g33074, g4181, g43402, g6385, g42779, g53235	Ag001G027030
OG0000072	g33477, g30198	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320
OG0000073	g10944	Ag002G118960, Ag002G118950
OG0000073	g10942	Ag002G138580, Ag002G137520
OG0000073	g18482	Ag002G117280
OG0000073	g54289	Ag002G116910
OG0000074	g27549, g27550	Ag006G514000
OG0000075	g36278	Ag004G313480, Ag004G313520
OG0000075	g49834, g49840, g49829	Ag002G191710, Ag002G191700, Ag002G191680
OG0000076	g36515	Ag001G069290, Ag001G069280
OG0000076	g10535	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000077	g25975, g22716	Ag002G148310
OG0000078	g32727, g44450, g24957	Ag002G136430
OG0000079	g2000	Ag001G089200
OG0000079	g18915	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	g41322	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860, Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730
OG0000080	g50013, g23668	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000081	g6399	Ag007G593730
OG0000081	g18040	Ag007G628420
OG0000081	g13268	Ag005G451860, Ag005G452050
OG0000082	g20916, g29940, g2519, g54167, g10536, g16647	Ag004G385590
OG0000082	g17872, g19303	Ag004G351970
OG0000082	g53006, g31724, g7128, g51169	Ag007G632630, Ag005G475310
OG0000082	g11611	Ag005G428520
OG0000082	g7127, g18239	Ag004G340020
OG0000084	g51024	Ag008G724370
OG0000087	g9991	Ag008G723440
OG0000087	g5316	Ag007G609260
OG0000087	g40485, g11055	Ag002G127940
OG0000087	g17371, g24042	Ag006G562620
OG0000087	g46232	Ag003G224140
OG0000088	g19510, g40516, g11030	Ag007G581970
OG0000088	g28933, g28934	Ag008G717820
OG0000089	g29544	Ag007G603320
OG0000089	g13323, g11989	Ag005G453100, Ag001G021310
OG0000089	g52029	Ag002G193060
OG0000090	g50123	Ag004G333760
OG0000090	g46242	Ag003G223190
OG0000090	g10675	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930, Ag002G185460
OG0000091	g3977	Ag008G666220
OG0000093	g2360	Ag001G087540
OG0000093	g18958	Ag001G083700, Ag001G087310
OG0000096	g1538, g1535	Ag001G024200, Ag001G016650, Ag005G460360, Ag004G329170, Ag004G329010, Ag004G329150, Ag004G329020
OG0000096	g18473	Ag002G102560
OG0000096	g44008, g44009, g44007	Ag004G380830
OG0000097	g45186, g45201	Ag002G130220, Ag002G132530, Ag002G129480
OG0000097	g45182	Ag002G130340, Ag002G130310
OG0000097	g40477, g40479, g40476, g40480, g1561	Ag002G128740, Ag002G128960
OG0000099	g24889	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750
OG0000099	g43603	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410
OG0000099	g46874, g4737	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840
OG0000100	g17260, g37826	Ag002G132470
OG0000100	g49149, g32974	Ag008G659710
OG0000101	g40795	Ag004G394110
OG0000102	g4524	Ag008G662610
OG0000102	g40702, g34414	Ag003G274160
OG0000104	g31072	Ag004G307220
OG0000104	g51118	Ag007G594880, Ag007G594830
OG0000104	g6675	Ag005G441940
OG0000104	g54236	Ag001G010240
OG0000106	g6393	Ag004G383320
OG0000107	g11936	Ag005G446760
OG0000107	g6757	Ag005G446720
OG0000107	g17783, g17676, g17802, g13363, g6693	Ag003G213880
OG0000108	g11756	Ag003G269110, Ag003G269200
OG0000108	g41770	Ag008G722170, Ag007G609500, Ag002G145390
OG0000109	g43843	Ag002G124770
OG0000110	g2009	Ag001G090130
OG0000110	g18900	Ag007G655930
OG0000110	g50627	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910
OG0000110	g2010	Ag001G090290, Ag001G090300, Ag001G090310
OG0000113	g43820	Ag003G210260
OG0000113	g54287	Ag002G118730, Ag002G116610, Ag002G116590, Ag002G138540, Ag002G119250
OG0000113	g17560	Ag006G576050
OG0000113	g14463	Ag004G394970
OG0000114	g17433	Ag006G573480
OG0000117	g16020, g11688, g26091, g32213, g25861, g45402, g46692, g6971, g3396, g51983, g16507, g4175, g24845, g25746	Ag006G549560
OG0000117	g14426	Ag003G251430
OG0000117	g3736, g53309, g11486, g4476, g24837	Ag006G517320
OG0000117	g3226	Ag002G174540
OG0000119	g52379	Ag005G466170, Ag003G240390, Ag005G436380, Ag001G069920, Ag004G325160
OG0000119	g50178	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220
OG0000120	g40996	Ag004G373700, Ag001G094910
OG0000120	g6424	Ag003G277400, Ag003G279310, Ag003G275890
OG0000120	g32414, g29781	Ag006G498650, Ag006G498600, Ag006G498610
OG0000122	g1066	Ag008G698530
OG0000123	g25911, g44233	Ag001G067540
OG0000123	g25909, g25905, g25906	Ag004G318540, Ag006G573850
OG0000123	g25904	Ag004G318080
OG0000125	g41348	Ag008G713670
OG0000125	g39998	Ag007G595180
OG0000126	g35446	Ag008G691850
OG0000127	g2965	Ag006G492220
OG0000127	g49766	Ag004G313200
OG0000128	g5236, g5604, g3371, g22741	Ag003G264610, Ag003G264920
OG0000130	g34628	Ag003G260700
OG0000131	g15992	Ag003G256190
OG0000133	g43640, g35382, g42719	Ag001G074650
OG0000133	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132	Ag004G387440
OG0000135	g51256, g14066, g27772	Ag007G610770
OG0000138	g46708	Ag005G453140, Ag008G725320
OG0000139	g15900, g14666, g15914	Ag002G105400
OG0000139	g25175	Ag002G170320
OG0000140	g28714	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830
OG0000140	g1252, g28702, g28701	Ag001G080460, Ag008G707780
OG0000140	g11417, g11414	Ag001G052690
OG0000142	g37876, g37875	Ag007G594470
OG0000144	g41746	Ag005G434100
OG0000145	g47338, g44486, g14472, g33147, g21632, g42257, g21852, g21844, g36809, g10312	Ag002G117940, Ag003G273300
OG0000145	g27099, g45420, g46953	Ag004G383900
OG0000145	g45298	Ag003G230540, Ag004G392330, Ag001G060050, Ag007G610290, Ag004G392340
OG0000147	g5985	Ag005G408700
OG0000147	g23426	Ag003G261030
OG0000147	g1105	Ag008G702420
OG0000147	g46563	Ag003G209560
OG0000147	g17885	Ag001G041550
OG0000149	g2887	Ag006G570510, Ag006G570440, Ag006G570460
OG0000149	g1676, g28755, g28754	Ag008G709340
OG0000149	g1282	Ag008G709420
OG0000150	g11441, g11440	Ag004G332580
OG0000151	g28415	Ag008G685810
OG0000151	g17072	Ag003G253050
OG0000151	g7540	Ag005G478640
OG0000151	g14078	Ag005G417580
OG0000151	g28546	Ag008G698280
OG0000154	g27332	Ag004G324480
OG0000154	g12277	Ag005G471090
OG0000154	g7492	Ag005G477170
OG0000154	g54073, g45315, g5784	Ag006G493360
OG0000155	g42046, g47372	Ag006G564870
OG0000155	g45159	Ag006G564750
OG0000155	g7340	Ag005G471860
OG0000156	g2799	Ag002G201840
OG0000156	g52256	Ag002G201920, Ag002G201850, Ag002G201820, Ag002G201830, Ag002G201880
OG0000157	g1395	Ag006G537650, Ag002G142330, Ag002G143730, Ag003G228360
OG0000157	g12640, g6146, g50762, g35294	Ag004G346210, Ag003G229150, Ag004G369290
OG0000158	g51427	Ag005G454650
OG0000160	g50701, g4120, g45147, g41011, g27084, g7365, g52677, g14499, g43531, g43528, g43537	Ag005G472280, Ag008G719090
OG0000160	g34289	Ag007G632320
OG0000160	g36270, g12262, g7846, g25656, g7022, g9694, g49667	Ag005G447810
OG0000161	g392, g9880	Ag008G725260
OG0000161	g24222, g24219	Ag007G588370
OG0000161	g45103, g45101	Ag007G588360
OG0000161	g45131	Ag007G601560, Ag007G601540, Ag007G601790
OG0000162	g1914	Ag001G092940
OG0000162	g26821	Ag008G712070
OG0000164	g14196, g38017, g38015, g38013, g38019, g32493	Ag006G571470, Ag006G571400, Ag003G293830, Ag006G571310
OG0000164	g22735	Ag003G293780, Ag004G322100, Ag003G293750, Ag003G293810
OG0000165	g24260	Ag004G356120, Ag007G623920, Ag006G522660, Ag001G100400, Ag006G498640, Ag007G624740
OG0000165	g36320	Ag005G463710
OG0000165	g41606, g13909	Ag001G093340, Ag003G208890
OG0000167	g24121	Ag006G570230
OG0000167	g24122	Ag006G570340
OG0000167	g17408	Ag006G570400, Ag006G570410
OG0000171	g45857	Ag004G345150
OG0000171	g5177	Ag004G371850
OG0000171	g29297	Ag007G614710
OG0000175	g6044, g13998	Ag005G414670
OG0000175	g18237	Ag003G287000
OG0000175	g31900	Ag004G333600
OG0000175	g44421	Ag003G223500
OG0000175	g23036	Ag005G417590
OG0000176	g27714	Ag007G580300, Ag005G449360
OG0000178	g26273	Ag008G728690, Ag002G204370
OG0000178	g54041, g13306, g2114, g43527, g43534, g43530, g38190	Ag006G510570
OG0000178	g9695, g823, g53495	Ag006G515970
OG0000178	g1397, g32976, g16363, g43554, g12264, g7844, g50196, g14780, g46746, g53399	Ag002G116410
OG0000180	g34299	Ag003G207330
OG0000180	g34297	Ag003G207360, Ag003G218350
OG0000181	g16615	Ag003G251860
OG0000184	g35558, g35553, g3065, g43650, g15959, g53597, g36626, g53120, g22863, g17905, g44091, g17915, g2401, g5948, g51641, g10990, g27914, g52236, g53121, g53878, g53859, g35463, g48936, g32701, g50735, g44198, g25628	Ag001G075930
OG0000184	g25240, g11530, g35054, g44991	Ag006G520200
OG0000185	g35118, g49472, g24428	Ag002G183070
OG0000186	g16332, g41273, g35916, g41907	Ag004G388160
OG0000187	g35037	Ag003G270350, Ag003G270310, Ag003G282640, Ag003G270250, Ag002G167770
OG0000190	g40442	Ag002G140140
OG0000190	g45169, g45158, g45173	Ag002G140040, Ag002G139950
OG0000191	g6928	Ag005G457150
OG0000192	g50732, g27488	Ag008G727670
OG0000195	g28899	Ag008G716390
OG0000195	g11258, g38152, g2056	Ag002G189340
OG0000195	g18117	Ag007G646090
OG0000196	g40674	Ag004G304260, Ag004G304230
OG0000196	g27686	Ag004G304250
OG0000196	g40675	Ag004G304270, Ag004G304220, Ag004G304240
OG0000197	g18526, g7663	Ag002G146040, Ag006G538160, Ag006G565760, Ag007G581790, Ag002G192030, Ag006G565850, Ag004G326930
OG0000200	g49523	Ag004G373550, Ag004G374020, Ag004G373600, Ag004G373590, Ag004G374070, Ag004G377440, Ag001G035370, Ag005G410100, Ag006G550880, Ag006G550560, Ag001G017960, Ag005G450770, Ag005G450790, Ag005G450780, Ag005G450760, Ag004G304970, Ag005G437560
OG0000201	g6534, g11758	Ag005G439850
OG0000201	g11846	Ag005G439680, Ag005G439760, Ag005G439610, Ag005G439690, Ag005G439740, Ag005G439700
OG0000204	g11805	Ag005G437650
OG0000205	g50750, g32507	Ag005G439370
OG0000205	g53988	Ag001G088760
OG0000208	g18133	Ag003G275160
OG0000208	g6217, g6207	Ag008G723930, Ag003G294620, Ag003G284900, Ag003G294610
OG0000209	g40827	Ag004G399460, Ag004G398960
OG0000209	g32745	Ag004G312510, Ag004G312520, Ag004G312530
OG0000209	g32744	Ag004G312540
OG0000210	g28290	Ag006G499160, Ag006G499150, Ag006G499180
OG0000213	g46059, g46056	Ag003G236750, Ag003G236500, Ag003G236780, Ag003G236530
OG0000213	g28220, g50932, g50935, g50928, g50931, g38464	Ag003G288980
OG0000214	g36825, g36830	Ag007G604980
OG0000214	g1023, g25454, g25477	Ag006G510950, Ag003G222050
OG0000216	g53736	Ag006G554100, Ag006G554110
OG0000218	g31564, g49926	Ag004G322150
OG0000218	g10793	Ag008G689600, Ag002G177290
OG0000219	g13335, g45479, g28368	Ag004G357760
OG0000219	g46873	Ag007G593670
OG0000219	g311	Ag006G565670
OG0000219	g18634	Ag008G724120
OG0000220	g14029	Ag002G179690
OG0000221	g52806, g22946, g6183, g17356, g43665, g43500, g17351, g17354, g41390, g53962, g35050, g22945, g51855, g53388, g43499, g33429, g175, g43666, g35582, g53304, g15934, g5126, g32276, g26607, g6275, g12850, g53575, g26608, g6292, g4337, g36877, g3974, g3981	Ag004G396450
OG0000224	g46370	Ag003G217560, Ag003G217550, Ag001G013260, Ag003G217250, Ag003G217260, Ag003G217440, Ag003G217450
OG0000224	g40852	Ag003G270550, Ag004G383650
OG0000226	g11864	Ag001G000690, Ag004G337830, Ag005G429260, Ag005G429270, Ag001G000670
OG0000226	g35799	Ag001G000200
OG0000228	g32057	Ag004G341460
OG0000228	g44676, g44668, g44669, g44677	Ag004G344170
OG0000230	g44430	Ag003G223650, Ag003G223730
OG0000231	g46733	Ag001G058920
OG0000234	g19127	Ag001G076970
OG0000234	g19128	Ag001G076940
OG0000234	g2235	Ag001G076930
OG0000234	g29346	Ag007G612020
OG0000235	g27763, g2101, g39564	Ag005G452990, Ag005G453010, Ag005G460460
OG0000235	g6133, g39573, g39563, g2100, g6386, g39569, g6136, g6130	Ag001G090250, Ag003G282910, Ag003G268030, Ag005G460480, Ag005G460490, Ag004G378350
OG0000238	g48923, g31881	Ag005G407390
OG0000238	g7032, g2311	Ag001G044490, Ag001G046770
OG0000239	g39775	Ag001G025650
OG0000239	g39783	Ag001G018250, Ag001G019440, Ag001G019330, Ag001G019480, Ag001G019400, Ag001G019290, Ag001G019190, Ag001G019310, Ag001G019240, Ag001G019210, Ag001G019450, Ag001G019270, Ag001G018920, Ag001G017170, Ag001G017270, Ag002G107820, Ag002G111380, Ag001G005190
OG0000240	g26214, g10490, g22460	Ag007G599880
OG0000240	g11360, g13978	Ag001G089960
OG0000242	g14258	Ag005G419410
