Orthogroup	Cochlearia_excelsa	Camelina_sativa
OG0000010	g25117, g15788, g50988, g43743, g18001	XP_019098329.1, XP_019098328.1, XP_019098389.1, XP_019096593.1
OG0000010	g53564, g44720, g33041	XP_019087584.1
OG0000010	g34294, g16618	XP_019091121.1
OG0000010	g43026	XP_019086506.1
OG0000010	g53109, g48054	XP_019086291.1
OG0000010	g4565, g44037, g41767, g15819, g45989, g19859, g27951, g17344	XP_019082635.1
OG0000010	g34324, g14220, g3040, g52357	XP_019097536.1, XP_019089193.1, XP_019090108.1
OG0000010	g14842	XP_019095899.1, XP_019096531.1
OG0000010	g30067, g3926, g53883	XP_019084314.1
OG0000010	g8253, g20317	XP_019089188.1, XP_019085515.1, XP_019089243.1, XP_019085407.1
OG0000011	g24724	XP_010420789.1
OG0000011	g6006	XP_010431695.1
OG0000012	g6328	XP_010424636.1
OG0000012	g21395	XP_010489881.1, XP_010417428.1, XP_010451510.1
OG0000012	g32787, g15662	XP_019090144.1
OG0000012	g14801, g15067	XP_010445979.1
OG0000012	g15121	XP_010495590.1
OG0000012	g9298	XP_010474959.1, XP_010424574.1
OG0000012	g14800, g15066	XP_010474311.1
OG0000012	g34876	XP_010422813.1
OG0000012	g42217	XP_010422803.1
OG0000013	g52620, g48035	XP_010490193.1, XP_010424605.1, XP_010445585.1, XP_010424415.1, XP_010430920.1, XP_010445599.2, XP_010445508.1, XP_010481077.1
OG0000013	g4139, g16474	XP_019092248.1, XP_010436763.1, XP_010412548.1, XP_010468557.1
OG0000013	g24947, g35918, g53893, g41958	XP_010501858.1, XP_010501812.1
OG0000014	g10989	XP_010513382.1
OG0000014	g15957, g36628, g15947, g35046	XP_010497102.1, XP_010480731.1
OG0000014	g34969, g44092, g17909, g17916	XP_010469242.1, XP_019095568.1
OG0000014	g14522, g36331, g48933, g14502, g14513	XP_019087687.1
OG0000014	g37855, g34322, g34333, g14397, g1371, g9158, g24560, g8931, g20629, g40584	XP_010484986.1, XP_010412760.1, XP_010474532.1, XP_010431329.1, XP_010412495.1
OG0000014	g53860	XP_010507349.1, XP_019085461.1, XP_010490433.1, XP_010412418.1
OG0000014	g35555	XP_019097678.1
OG0000014	g43420, g26664, g36987, g53052, g50570, g50733, g573, g25624, g44199, g46635, g4677, g16585, g52312, g572, g37414, g37857, g1370, g39544, g44992, g1253, g4306, g30026, g25218, g52916, g47081, g4147, g48939, g14334, g11529	XP_010430806.1
OG0000015	g42099	XP_010450099.1, XP_019091410.1, XP_019084470.1
OG0000015	g53814, g16594, g16764, g14880, g952, g32985, g12170, g24863	XP_010427798.1
OG0000015	g35813, g36776, g26230, g26256, g43592, g5557	XP_019092477.1
OG0000015	g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567	XP_010480818.1, XP_010456599.1, XP_010497195.1
OG0000015	g15603, g23354, g2748	XP_010501828.1, XP_019084456.1, XP_010418862.1, XP_019090265.1, XP_010497072.1, XP_010496259.1
OG0000015	g10054	XP_010517126.1, XP_019101582.1, XP_019089569.1
OG0000015	g26108, g43718, g42171, g26614, g12285	XP_010412816.1, XP_010470614.1
OG0000015	g3755, g43029, g21949, g24634	XP_010481162.1
OG0000015	g43716, g41967	XP_019101915.1, XP_010490066.1, XP_010462823.1, XP_019089071.1, XP_010420917.1, XP_010490468.1, XP_010472228.1, XP_010445504.1
OG0000015	g5447, g48096, g4042, g4014, g30179, g21912, g14948, g35471, g12283, g14756, g26107, g39164, g1865, g12584, g7633, g26669, g17276, g2986	XP_010412881.1, XP_010463160.1
OG0000015	g23222, g16377, g39565	XP_010507453.1
OG0000015	g23355, g634	XP_019098184.1, XP_010412474.1
OG0000015	g35814, g36777, g17194, g10206, g42100	XP_010445386.1
OG0000015	g27728, g36346, g32986, g8573	XP_010491426.2, XP_010484947.1, XP_010513588.1, XP_010497078.1, XP_010495514.1, XP_010418845.1, XP_019084362.1, XP_010470588.1, XP_010430636.1, XP_010507136.1, XP_010418799.1, XP_010424225.1
OG0000017	g5712, g5713	XP_010490144.2, XP_010419513.2, XP_019093393.1, XP_010485084.1, XP_010445327.2, XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1
OG0000017	g3669	XP_019084688.1
OG0000017	g48346, g48867	XP_019082585.1
OG0000018	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069	XP_010484820.1, XP_010496602.2, XP_010518556.1, XP_010456610.1, XP_010445717.1, XP_010431070.1, XP_019091017.1, XP_010474695.1, XP_010507197.1, XP_010456729.1, XP_010484803.1
OG0000018	g14567, g33125, g25750	XP_010445495.1, XP_010451671.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010511144.1, XP_019096477.1, XP_010439761.1, XP_019089680.1, XP_010471217.1, XP_010434877.1, XP_010482610.1, XP_019088976.1, XP_019091495.1
OG0000019	g36529, g42561, g14492, g51080, g41576	XP_010506471.1, XP_010420141.1, XP_010423040.1, XP_019095544.1, XP_010481212.1, XP_010507282.1, XP_010415695.1
OG0000019	g1178, g47379, g24167, g49419, g51762, g16903, g1734, g36528, g3381, g27830, g4724, g3830, g6933, g40849, g17697	XP_010456625.1, XP_010490157.1, XP_010501437.1, XP_010424194.1, XP_010490065.1, XP_010431263.1, XP_010445515.1, XP_010462557.1, XP_010473749.1, XP_019099759.1, XP_019084322.1, XP_010518648.2, XP_010445771.1, XP_010445496.1, XP_010424758.1, XP_019099681.1, XP_010477411.1, XP_010468134.1, XP_010462846.1, XP_010424815.1, XP_010501841.1, XP_019087442.1
OG0000019	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706	XP_010496928.1, XP_010501572.1, XP_019084218.1, XP_010496929.1, XP_010456825.1, XP_010497051.1, XP_010496981.1, XP_010480376.1, XP_010451291.1
OG0000019	g18942, g2713	XP_010412777.1, XP_010445506.1, XP_019085606.1, XP_019090007.1, XP_019101898.1, XP_010495668.1
OG0000019	g2721, g18071, g42559	XP_019090103.1, XP_019082510.1, XP_019093634.1, XP_010412776.1, XP_019084280.1, XP_010501674.1, XP_010507749.1, XP_019094504.1, XP_010474558.1, XP_010418869.1, XP_010424237.1, XP_019090188.1, XP_010419113.1, XP_010418236.1
OG0000020	g25871	XP_019082642.1, XP_019089099.1
OG0000020	g35282, g34309, g41784, g25262, g3253	XP_010419309.1
OG0000020	g29531	XP_010446026.1
OG0000020	g32772, g14852, g5354, g15953, g41695, g3939, g16600, g31991, g27855, g16029, g32780, g16316, g34338, g35298, g27173, g4384, g8228, g32773, g14853, g1941, g35021, g27176, g4006, g15963, g4751, g26227	XP_019086315.1, XP_010431521.1
OG0000020	g7451	XP_019100224.1
OG0000020	g34311, g35284, g3254, g4129	XP_010484862.1, XP_010497271.1, XP_010421223.1, XP_010436558.1, XP_010418918.1
OG0000020	g26122	XP_010425095.1, XP_010445680.1, XP_010473999.1
OG0000021	g14063	XP_010463070.1, XP_010481219.1, XP_010456454.1, XP_010424514.1, XP_019089179.1, XP_019082748.1, XP_019096508.1, XP_019085542.1, XP_019095265.1, XP_010468638.1, XP_010446081.1, XP_010468560.1
OG0000021	g49151, g1467	XP_010436564.1
OG0000021	g49844, g38320	XP_019082529.1, XP_019100691.1, XP_010490042.1, XP_010412489.1
OG0000021	g45682, g1448	XP_010490455.1
OG0000021	g6810	XP_010430863.1
OG0000021	g49020, g50933, g50080, g51436, g35680, g25137, g25135	XP_010481131.1, XP_010418651.1, XP_010462886.1, XP_010431573.1, XP_010446053.1, XP_010463260.1
OG0000021	g25134	XP_010501871.1, XP_010445560.1, XP_010445721.1, XP_010412410.1, XP_019084355.1, XP_010418577.1
OG0000021	g41636, g35681, g14225	XP_010501997.1
OG0000021	g40050, g47160, g49473, g26165	XP_010484758.1, XP_019100906.1, XP_010431231.1, XP_010513293.1
OG0000021	g3725, g24106, g46643	XP_010424837.2
OG0000022	g35767, g33140, g3421, g3599, g35630, g35753, g34712, g22160, g35269, g48848, g33781, g20360, g2739, g6056	XP_010440487.1
OG0000023	g47441	XP_019089325.1, XP_010433927.1
OG0000023	g23897	XP_019086460.1
OG0000023	g25723	XP_019089721.1
OG0000023	g23101	XP_010445185.2
OG0000023	g23907, g24643	XP_010448752.1, XP_010439208.1, XP_010433929.1
OG0000023	g25715, g48949	XP_010448754.1, XP_010439219.1
OG0000024	g45320, g32515	XP_010423552.1, XP_019101784.1, XP_010496845.1, XP_010495735.1, XP_010463425.1, XP_010478711.1, XP_010480712.1, XP_010475131.1, XP_010430731.1, XP_010512875.1, XP_010451855.2, XP_010423573.1, XP_010490387.1, XP_010423713.1, XP_010518554.1, XP_010474136.1
OG0000025	g39418, g24597	XP_010443019.1
OG0000026	g33118	XP_010468591.1, XP_019095109.1
OG0000026	g14806, g32688	XP_010424602.1, XP_010474036.1
OG0000026	g27047	XP_010445838.1
OG0000026	g51053, g47798, g4344, g43478, g23597, g14579, g3360, g43692, g7899, g2954, g49586, g31803, g4274, g32656, g11709, g44075, g3058, g46225, g1554, g17019, g6169, g23909, g34283, g6803, g35674, g46329, g52008, g14035, g43351, g35266, g9915, g25002, g31760, g21114, g4157, g14556, g51014, g34854, g39311, g31342, g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312, g46948, g36898, g25431, g17280, g25191, g41992, g4231, g43283, g2973, g33119, g33391	XP_010484799.1, XP_010507266.1, XP_019099615.1, XP_019094547.1, XP_010513491.1, XP_019085625.1, XP_010480550.1, XP_010472603.1, XP_010495810.1, XP_019096500.1, XP_019086251.1, XP_010430881.1, XP_010430821.1, XP_019100880.1, XP_010451597.1, XP_019085450.1, XP_019087697.1, XP_010425957.1, XP_010420286.1, XP_010436691.1
OG0000027	g43469	XP_010480750.1, XP_010480482.1
OG0000027	g28294	XP_010500449.1
OG0000027	g2269	XP_010515603.1, XP_010431261.1, XP_010427640.1, XP_010504689.1, XP_010431427.1, XP_010427857.1, XP_010504688.1, XP_010427639.1, XP_019100391.1, XP_010427641.1
OG0000029	g13421	XP_019099713.1
OG0000029	g8998, g26310, g29945, g30548, g38806, g8608, g9084, g30701, g9122, g48831, g29967, g8634, g30668	XP_010426130.1, XP_019084377.1
OG0000029	g16178, g36823	XP_019083654.1
OG0000029	g29817	XP_019099915.1
OG0000029	g27333	XP_010424381.1
OG0000029	g4324, g3304	XP_010513534.1
OG0000029	g35797, g48266, g6083	XP_010468539.2, XP_019100867.1, XP_019096310.1, XP_019084297.1, XP_019095473.1, XP_019092371.1, XP_019091545.1
OG0000029	g41968	XP_010507008.1
OG0000029	g35511, g42101, g17818	XP_010430917.1
OG0000029	g37850, g28202	XP_010424201.1, XP_019087592.1, XP_010425229.1
OG0000029	g31822, g37851	XP_019096514.1, XP_010484883.1, XP_010513568.1
OG0000029	g1671, g52104, g17776	XP_010473942.1
OG0000030	g6307	XP_019101232.1
OG0000030	g53556	XP_010468709.1
OG0000030	g14858	XP_019097439.1
OG0000030	g8825	XP_010460219.1
OG0000030	g44522, g52187, g7355	XP_010415464.1, XP_010456305.1
OG0000030	g6340, g37181, g16111	XP_010484797.1
OG0000030	g43791, g44909	XP_010513486.1
OG0000030	g43774, g43790, g5736	XP_010473769.1, XP_010513423.1
OG0000031	g45205, g45149, g24844	XP_019085675.1
OG0000031	g40889	XP_019093579.1, XP_010484817.1, XP_019096365.1, XP_010418422.1, XP_010430428.1, XP_010419492.2, XP_010430431.1, XP_019082760.1, XP_019082759.1, XP_019087557.1, XP_010430336.1, XP_010418269.1, XP_010473491.1
OG0000031	g40881, g40949, g40859, g40857, g40951, g6403, g40794	XP_010419482.1
OG0000031	g5030	XP_010453827.1, XP_019084725.1, XP_010492576.1
OG0000031	g13269	XP_010504570.1, XP_010465692.1, XP_019096254.1
OG0000031	g17118	XP_010448208.1, XP_010438694.1, XP_010433436.1
OG0000031	g40888	XP_010419465.1, XP_010474584.1, XP_019085228.1
OG0000031	g40752	XP_010418529.1, XP_010430597.1
OG0000032	g3147, g20823	XP_010445555.1, XP_010424066.1, XP_010424166.1, XP_010462614.1, XP_010489839.1, XP_010430681.1
OG0000032	g26172, g9204, g7013, g46294	XP_010445888.1
OG0000032	g4221, g43232, g49129, g26173, g10874, g3479, g43519, g34451, g33013, g36953, g26773, g53254, g33359, g3119, g15987, g30235, g52846, g52828, g52839, g3624, g53822, g44165, g4624, g6966, g53873, g32714, g13890, g46293, g39938, g26771, g32568, g29256, g19401, g44942, g3737	XP_010468710.1
OG0000033	g23911	XP_010448753.1, XP_010439209.1, XP_010433941.1
OG0000033	g24014	XP_019088150.1, XP_019089518.1
OG0000033	g40468	XP_010427120.1, XP_010514747.1, XP_010503062.2, XP_010431580.1
OG0000034	g53562, g44911, g15119	XP_010450460.1
OG0000034	g15118, g44910	XP_019094521.1, XP_019090430.1, XP_010495589.1, XP_010451640.1, XP_019082481.1
OG0000034	g15664, g3441, g9297	XP_019100729.1
OG0000034	g15120	XP_019094880.1
OG0000035	g51285	XP_010480341.1
OG0000035	g51286, g36519	XP_019094365.1, XP_010468111.1
OG0000035	g29294, g52064, g52069, g52073	XP_010431684.1, XP_010431683.1, XP_010419453.1, XP_019082751.1, XP_010431681.1
OG0000036	g3196	XP_010496594.1, XP_019086887.1, XP_010493433.1
OG0000036	g23185, g33000	XP_010445597.1, XP_019085657.1, XP_010513622.1
OG0000036	g49100	XP_019093348.1, XP_010507131.1, XP_019084347.1, XP_019082584.1, XP_010501541.1, XP_010495691.1, XP_010456723.1
OG0000037	g35468	XP_019099318.1, XP_019098132.1
OG0000037	g25569	XP_019095820.1, XP_019085514.1, XP_019098392.1
OG0000037	g43400, g53061, g34996, g53063	XP_019101847.1, XP_019099760.1
OG0000037	g50424, g6550, g19935	XP_019099636.1, XP_019084276.1, XP_019094441.1, XP_019092930.1
OG0000037	g10538	XP_019094592.1, XP_019087509.1, XP_019101835.1, XP_019100765.1
OG0000037	g19299, g16644, g54168	XP_019090977.1
OG0000037	g19076, g53465, g53974, g1800, g24922, g25438, g41976, g18240, g17503, g24468, g52242, g18188, g53518, g36593, g41271, g18187, g32897, g36595, g17180	XP_019090098.1, XP_019100812.1, XP_019095621.1, XP_019092331.1, XP_019091032.1, XP_019091173.1
OG0000037	g24879	XP_019089143.1
OG0000037	g28165, g5623, g29089	XP_010424622.1
OG0000037	g26707	XP_019086715.1, XP_010484995.1
OG0000037	g24763, g47054, g2374	XP_010456691.1
OG0000037	g35466	XP_010473846.1, XP_010420948.1
OG0000037	g39408	XP_019087549.1
OG0000037	g20917, g29939, g20308, g28559, g25198, g14254, g2520	XP_010484894.1, XP_010490134.1
OG0000037	g5625	XP_019096539.1
OG0000037	g11495	XP_019087357.1, XP_019095607.1, XP_019085897.1, XP_019091034.1, XP_019096545.1
OG0000038	g24239	XP_010451456.1, XP_019086710.1, XP_010412673.2
OG0000038	g1070	XP_010485079.2
OG0000038	g49458	XP_019087882.1
OG0000038	g44982, g44984, g44985	XP_019092169.1
OG0000039	g4633	XP_019096217.1
OG0000039	g53808	XP_010481178.1
OG0000040	g38367, g38376, g38372, g38380	XP_010462901.2, XP_010462898.1, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010462936.2, XP_010462910.2, XP_010506941.1, XP_010481243.1
OG0000040	g44631	XP_010480422.1, XP_010501558.2, XP_010419250.2, XP_019096260.1, XP_019096643.1
OG0000040	g13193, g13194	XP_019096352.1
OG0000040	g13797, g13799	XP_019099931.1, XP_010431180.1, XP_019099946.1
OG0000042	g26735, g12385	XP_019085383.1
OG0000042	g41631, g25133, g41632, g52948, g49021	XP_019084354.1, XP_019095172.1, XP_010473794.1, XP_019099587.1, XP_010473876.1
OG0000042	g49152	XP_010474284.1
OG0000042	g3973, g3980	XP_019089979.1, XP_019090150.1
OG0000042	g22786, g41711, g1466, g28310, g17388, g32821	XP_019082992.1
OG0000043	g48023, g20877, g16667, g2616	XP_010496446.1, XP_010473115.1
OG0000043	g8754, g48037, g48014	XP_010470900.1
OG0000043	g42036	XP_010436661.1, XP_019094513.1, XP_010418861.1
OG0000043	g14381, g14371, g53175	XP_019093255.1
OG0000043	g30461, g4607	XP_010468547.1, XP_010473939.1, XP_019085558.1, XP_019100879.1
OG0000043	g22195	XP_010451735.1, XP_010468617.1
OG0000043	g3049, g30442	XP_019086339.1
OG0000043	g34238	XP_019098254.1, XP_010496997.1
OG0000043	g35754	XP_010507119.1
OG0000043	g14337, g24011, g3506, g47231	XP_010490378.1, XP_010507049.1, XP_010506879.1
OG0000043	g4564, g25886, g53199, g35810	XP_010419011.1
OG0000043	g30257, g34533, g34524	XP_019093378.1
OG0000043	g33040	XP_010484908.1, XP_010501857.1
OG0000045	g7244, g39351, g17718, g41293	XP_019091421.1
OG0000046	g46717	XP_010435808.1, XP_010441031.1, XP_019089248.1
OG0000046	g17485	XP_019101968.1, XP_019086248.1
OG0000046	g18113	XP_010420225.1, XP_010450945.1, XP_010440924.1, XP_010435726.1
OG0000046	g18042	XP_019083220.1, XP_019100936.1
OG0000047	g25473, g27561, g41540, g28657, g32593, g13831, g36935, g2942, g14554, g51362	XP_010462847.1, XP_010501825.1
OG0000047	g37081, g690, g27871, g33349, g4664, g12900	XP_010469626.1
OG0000047	g12885, g12881	XP_010445762.1, XP_010497305.1, XP_010507063.1, XP_010418611.1
OG0000047	g4320, g7910	XP_010474442.1
OG0000047	g17624, g3384, g3851	XP_010506977.1
OG0000047	g14490, g12581, g40040, g11557	XP_010480816.1, XP_010446237.1
OG0000047	g49160, g47659, g43703, g25474, g28245, g53765, g45296	XP_010436483.1
OG0000047	g42772	XP_010468532.1, XP_019085178.1, XP_010445366.1
OG0000048	g4946, g4940, g29028, g29029	XP_019083866.1, XP_019097998.1
OG0000049	g43788, g43772	XP_010424251.1, XP_010456904.1, XP_010474502.1
OG0000049	g13437	XP_010495533.1
OG0000049	g45167, g147, g24813	XP_019097475.1
OG0000049	g6205	XP_010497180.1, XP_019087596.1, XP_019082552.1, XP_010496781.1, XP_019095576.1, XP_019087652.1, XP_010490036.1, XP_010468379.1, XP_010479820.1, XP_019100970.1
OG0000049	g4748, g12067	XP_019086300.1, XP_019087653.1
OG0000049	g36235	XP_019099719.1, XP_019099720.1
OG0000049	g19459	XP_010436786.1
OG0000049	g12227	XP_019099748.1
OG0000049	g41708, g839, g6204	XP_019093231.1, XP_010412906.1
OG0000049	g23452	XP_019096492.1
OG0000049	g46801	XP_019091092.1, XP_019100833.1, XP_019092312.1, XP_019092358.1, XP_019085432.1, XP_019092302.1, XP_019086346.1, XP_019087375.1
OG0000049	g7668, g44227, g39804, g53419	XP_019095626.1
OG0000049	g19448	XP_019084800.1
OG0000049	g46641, g45389, g28412, g26640, g14427, g29232, g13756, g19458, g4881, g46776	XP_010420068.1, XP_010496670.1, XP_010424768.1
OG0000049	g53733, g3343, g42873, g8818, g42836, g11677, g42842, g54418	XP_010451841.1, XP_019089249.1, XP_010412539.1, XP_010513128.1, XP_019096292.1, XP_010513565.1
OG0000050	g44326, g2819, g44187	XP_010445564.1, XP_019098324.1
OG0000052	g37450	XP_019100718.1, XP_019102056.1
