Orthogroup	Cochlearia_excelsa	Capsella_rubella
OG0000018	g14567, g33125, g25750	XP_023642574.1, XP_023637243.1, XP_023644454.1, XP_023641378.1, XP_023641962.1
OG0000019	g36529, g42561, g14492, g51080, g41576	XP_023641372.1
OG0000019	g48	XP_023644226.1
OG0000019	g1178, g47379, g24167, g49419, g51762, g16903, g1734, g36528, g3381, g27830, g4724, g3830, g6933, g40849, g17697	XP_023633409.1
OG0000019	g2720, g19256	XP_023638956.1
OG0000019	g2721, g18071, g42559	XP_023641370.1
OG0000020	g25930, g51375	XP_023632591.1
OG0000020	g35282, g34309, g41784, g25262, g3253, g8229, g5355, g32774, g16031, g35327, g35065, g34339, g4385, g27854, g31992, g15955, g29531, g13754, g35344, g16096	XP_023634318.1
OG0000023	g47441	XP_023634683.1
OG0000023	g23897	XP_006283253.1
OG0000023	g25717, g25713	XP_023635866.1
OG0000023	g25723	XP_006287218.1
OG0000023	g25720	XP_006287240.1
OG0000023	g25715, g48949	XP_006286185.1
OG0000024	g45320, g32515	XP_023644211.1, XP_023634363.1, XP_023638107.1
OG0000026	g17281, g33392, g4347, g50791, g25246, g46637	XP_023639056.1
OG0000026	g33118	XP_023633701.1, XP_023644236.1
OG0000026	g14806, g32688	XP_023641784.1
OG0000026	g51053, g47798, g4344, g43478, g23597, g14579, g3360, g43692, g7899, g2954, g49586, g31803, g4274, g32656, g11709, g44075, g3058, g46225, g1554, g17019, g6169, g23909, g34283, g6803, g35674, g46329, g52008, g14035, g43351, g35266, g9915, g25002, g31760, g21114, g4157, g14556, g51014, g34854, g39311, g31342, g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312, g46948, g36898, g25431, g17280, g25191, g41992, g4231, g43283, g2973, g33119, g33391	XP_023644550.1, XP_023641958.1, XP_023644451.1, XP_023634078.1, XP_023644235.1, XP_023636040.1
OG0000027	g28294	XP_023633039.1
OG0000027	g2269	XP_023633004.1, XP_023639207.1
OG0000030	g50559, g3768	XP_023634283.1
OG0000030	g6340, g37181, g16111	XP_023644481.1
OG0000031	g40889	XP_006301194.2, XP_006300860.1, XP_006302102.1
OG0000031	g40881, g40949, g40859, g40857, g40951, g6403, g40794	XP_006301297.1
OG0000031	g5030	XP_023636761.1
OG0000031	g13269	XP_006297483.1
OG0000031	g17118	XP_006283550.1
OG0000031	g40888	XP_006301814.1
OG0000031	g40752	XP_006302132.1
OG0000033	g23911	XP_006283285.1
OG0000033	g24014	XP_023634856.1
OG0000033	g40468	XP_023638280.1, XP_006287210.1
OG0000034	g15118, g44910	XP_023635220.1
OG0000034	g15120	XP_023636243.1
OG0000035	g51286, g36519	XP_023632757.1
OG0000035	g3814	XP_023641959.1
OG0000035	g29294, g52064, g52069, g52073	XP_006289868.2, XP_023636083.1, XP_023643229.1, XP_023643230.1
OG0000038	g1070	XP_023633418.1, XP_023633386.1
OG0000038	g49458	XP_023635611.1
OG0000038	g44982, g44984, g44985, g7414	XP_023642772.1
OG0000040	g38367, g38376, g38372, g38380	XP_023632886.1, XP_023632793.1, XP_006303634.1
OG0000040	g44631	XP_006305030.1, XP_006299109.2
OG0000040	g13797, g13799	XP_006293126.1
OG0000043	g53889, g53885, g42037, g14337, g24011, g3506, g47231	XP_023634647.1
OG0000043	g30257, g34533, g34524	XP_023633331.1
OG0000045	g42618	XP_023635342.1
OG0000046	g46717	XP_006286236.1
OG0000046	g18113	XP_023638604.1, XP_023638598.1, XP_006290694.2
OG0000046	g18042	XP_023643067.1
OG0000047	g12885, g12881, g4320, g7910, g17624, g3384, g3851	XP_023634337.1
OG0000047	g17625, g1600, g9048, g38613, g25950, g51908, g51086, g3105, g35778, g4908, g50533, g4057, g45362, g11965, g14017, g40648, g36233, g53480, g48919, g51839, g3386, g1262, g46383, g37253, g10849, g36778, g1473, g49160, g47659, g43703, g25474, g28245, g53765, g45296, g42772	XP_023645924.1
OG0000052	g37450	XP_023640424.1
OG0000052	g53934	XP_023639525.1
OG0000055	g44205	XP_023643438.1
OG0000057	g50182, g50184, g50186	XP_006286657.2, XP_006299604.1
OG0000057	g700	XP_023641570.1
OG0000057	g27361, g5648	XP_006300113.1, XP_006299228.1
OG0000059	g39389, g39352	XP_023637566.1, XP_023637460.1
OG0000059	g42622	XP_023638041.1
OG0000061	g11094, g32135, g50796, g25177	XP_023641960.1
OG0000066	g5393	XP_006284727.1, XP_006302978.1, XP_006284722.1, XP_006288773.2
OG0000066	g156	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000069	g37235, g35439	XP_023644313.1
OG0000069	g4931	XP_023644828.1
OG0000070	g20468, g34721, g33207, g34715, g30435, g4159, g25159, g15815, g15828, g15878, g3657	XP_023634145.1
OG0000070	g24990, g40193	XP_023639630.1
OG0000073	g18482	XP_023638542.1
OG0000074	g27549, g27550	XP_006306513.2
OG0000075	g5026	XP_006289118.1
OG0000076	g3195, g1602	XP_023638292.1
OG0000076	g44053	XP_006291102.1
OG0000076	g2410	XP_006291090.1
OG0000076	g19225	XP_006291114.1, XP_006291129.1
OG0000076	g10535	XP_023638056.1, XP_023639204.1
OG0000077	g46525	XP_006286716.1
OG0000077	g25975, g22716	XP_006283916.1, XP_023635518.1
OG0000078	g32727, g44450, g24957	XP_023642819.1, XP_023644458.1, XP_023644523.1, XP_023633346.1, XP_023633349.1, XP_023640339.1
OG0000078	g46791, g24881	XP_023634352.1
OG0000079	g2000	XP_006291126.2
OG0000079	g18915	XP_006292365.1
OG0000080	g23667	XP_023633781.1
OG0000080	g23668	XP_006286287.2
OG0000081	g36469	XP_023644303.1
OG0000081	g13268	XP_023636904.1
OG0000082	g20916, g29940, g2519	XP_023642613.1
OG0000082	g17872, g19303, g50427, g1249, g293, g13608, g19934, g6552, g27203	XP_023639594.1
OG0000083	g46885	XP_006299320.2, XP_006299852.1
OG0000084	g51024	XP_006295595.1, XP_006295861.1
OG0000087	g9991	XP_006287738.1
OG0000087	g9845, g2817, g339	XP_006292748.1, XP_006291122.1
OG0000087	g5316	XP_006289933.1
OG0000087	g40485, g11055	XP_006281513.1
OG0000087	g17371, g24042	XP_006283733.1
OG0000087	g46232	XP_006307490.1, XP_006302256.1
OG0000088	g11453	XP_023640385.1, XP_006296540.2
OG0000088	g19510, g40516, g11030	XP_023639002.1
OG0000088	g46886	XP_023637739.1
OG0000088	g28933, g28934	XP_023636467.1, XP_023635698.1
OG0000089	g29544	XP_006287952.1
OG0000089	g13323, g11989	XP_006305090.1, XP_006297920.1
OG0000089	g52029	XP_006295441.1
OG0000089	g2333	XP_006291303.1
OG0000090	g50123	XP_006304273.1
OG0000090	g46242	XP_006302938.1
OG0000090	g10675	XP_023637735.1, XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1, XP_006295429.1, XP_023638023.1, XP_006291940.1, XP_006292249.1, XP_006292823.1, XP_006292597.1, XP_006291986.1, XP_006292951.2, XP_006292400.1, XP_006290298.1, XP_006292236.1, XP_006305612.2
OG0000091	g3977	XP_023643686.1, XP_023633323.1
OG0000093	g2360	XP_006292664.2
OG0000093	g18958	XP_006292197.1
OG0000096	g1538, g1535	XP_023643297.1, XP_006292432.2, XP_006293218.1, XP_006292790.1, XP_006292755.1, XP_023638028.1, XP_006290453.2
OG0000096	g18473	XP_006281971.1
OG0000097	g45186, g45201	XP_006288252.1
OG0000097	g45182	XP_023633387.1
OG0000097	g40477, g40479, g40476, g40480, g1561	XP_006288400.1, XP_006285555.2, XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1
OG0000099	g24889	XP_023637360.1, XP_023637436.1, XP_006301961.2
OG0000100	g17260, g37826	XP_023638959.1
OG0000100	g49149, g32974	XP_023633443.1
OG0000100	g38499	XP_023636052.1
OG0000101	g13563	XP_023642309.1, XP_023639256.1
OG0000104	g31072	XP_023645280.1
OG0000104	g6675	XP_006299926.1
OG0000104	g51119	XP_006293405.1
OG0000106	g6393	XP_006289071.1, XP_006289116.1, XP_006301737.1, XP_006296370.1, XP_023640363.1, XP_006296007.1
OG0000107	g11936	XP_006300030.1, XP_006297457.1
OG0000107	g6757	XP_006299861.1
OG0000107	g6693	XP_006290930.1
OG0000108	g11756	XP_023641898.1, XP_006297881.1
OG0000110	g2009	XP_006291045.1
OG0000110	g50627	XP_006282595.1
OG0000110	g2010	XP_023639093.1
OG0000112	g1342	XP_006282356.1, XP_006289168.1
OG0000113	g43820	XP_006282489.2, XP_006285182.1, XP_006284602.1
OG0000113	g11211	XP_023639286.1
OG0000114	g17433	XP_023643586.1, XP_023644300.1, XP_023642837.1, XP_023643772.1
OG0000114	g18420	XP_023643420.1, XP_023643303.1, XP_023643595.1, XP_023641389.1, XP_023638531.1, XP_023634080.1, XP_023634084.1, XP_023634083.1
OG0000118	g14347, g14348, g14394, g45220, g45247	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000118	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578	XP_006289948.1, XP_006289239.1, XP_006289559.1, XP_023634314.1, XP_023643207.1, XP_023644251.1, XP_023638950.1, XP_006301030.1, XP_006285378.1
OG0000120	g40996	XP_006301308.1, XP_006301329.1
OG0000120	g6424	XP_006281901.1
OG0000120	g32414, g29781	XP_006296511.1, XP_023644285.1, XP_023644286.1
OG0000122	g1066	XP_006281577.2
OG0000123	g25912	XP_006285014.1, XP_023634253.1
OG0000125	g19182	XP_006292034.1
OG0000125	g41348	XP_006289049.1
OG0000125	g2919, g1294, g28781	XP_006292858.1, XP_006281264.1, XP_006292010.1
OG0000126	g53241, g45978, g37471, g16077, g52267, g32913, g35883, g25977, g19802, g14393, g26747, g1643, g32916, g42286, g45979, g53240, g32663, g19828, g19824, g42291, g3278, g42811, g28336, g49079, g28773, g17732	XP_023640331.1, XP_023640343.1, XP_023644467.1
OG0000126	g16084, g27841, g1792, g4332, g27839, g27662, g37157, g53925, g35446	XP_023640332.1
OG0000128	g31783, g53811, g31875	XP_023644425.1
OG0000129	g4526, g26706, g4684, g11032, g26785, g24533, g54350, g32853, g17644, g52103, g27870, g4667, g18265, g52232, g27388, g6863, g11123, g6327, g23862, g47169, g27185, g24485, g3423	XP_023635716.1
OG0000131	g34673, g32668, g49077, g28772	XP_006301152.1
OG0000131	g15992	XP_023640326.1
OG0000136	g14687	XP_006291706.2, XP_006285515.2
OG0000136	g25040, g25067	XP_006284296.1
OG0000138	g46708	XP_023638093.1, XP_006282515.2
OG0000138	g10345	XP_023639004.1
OG0000138	g10340	XP_006291108.1, XP_023639277.1, XP_023638690.1
OG0000139	g25175	XP_023634523.1, XP_023634332.1, XP_023633969.1
OG0000140	g1248	XP_023641991.1
OG0000140	g28714	XP_023640932.1, XP_023642636.1, XP_023640928.1
OG0000140	g1252, g28702, g28701	XP_006280067.1, XP_006280069.1
OG0000142	g40020	XP_023639909.1, XP_023640029.1, XP_023639834.1
OG0000142	g51131	XP_023639968.1, XP_023639767.1, XP_023639879.1
OG0000142	g51155, g51154, g51130, g51156	XP_006294819.1
OG0000143	g43612, g53735, g1831	XP_023644612.1
OG0000143	g3976	XP_023643347.1
OG0000144	g32634, g26627, g450	XP_023641182.1
OG0000145	g27099, g45420, g46953	XP_023634435.1
OG0000146	g1010	XP_006280761.2
OG0000146	g1011	XP_006280742.1
OG0000147	g5985	XP_006296920.1
OG0000147	g23426	XP_006282542.1
OG0000147	g1105	XP_006282289.1
OG0000147	g46563	XP_023643729.1
OG0000147	g11547	XP_006279360.1
OG0000147	g6339	XP_006279406.1
OG0000147	g50994	XP_006293643.2
OG0000149	g36974	XP_023638432.1, XP_023638483.1
OG0000149	g1676, g28755, g28754	XP_023639042.1
OG0000149	g1282	XP_023633454.1
OG0000149	g54232, g17375	XP_023638653.1
OG0000149	g1278	XP_023638620.1
OG0000149	g2888	XP_006292697.1
OG0000150	g11441, g11440	XP_023638901.1
OG0000151	g915, g28415	XP_006281266.1
OG0000151	g17072	XP_006284700.1
OG0000151	g7540	XP_006298742.1
OG0000151	g14078	XP_006298751.1
OG0000151	g28546	XP_006281239.2
OG0000152	g15848	XP_023637477.1, XP_023641896.1
OG0000154	g27332	XP_006306285.1
OG0000154	g12277	XP_006297173.1
OG0000154	g7492	XP_006297174.1
OG0000154	g54073, g45315, g5784	XP_006287234.1
OG0000155	g23645	XP_006286160.1
OG0000155	g47372	XP_023634855.1
OG0000155	g7340	XP_006300024.2
OG0000156	g2802	XP_023640163.1, XP_023640606.1
OG0000156	g52257	XP_023640714.1
OG0000156	g52256	XP_006307271.1, XP_023641004.1
OG0000157	g1395	XP_006300909.1, XP_006301359.2, XP_006290202.1
OG0000160	g16303, g13162, g13371	XP_006296651.2, XP_006301503.2, XP_006296775.2
OG0000160	g14782, g46745, g36801	XP_006304881.2
OG0000160	g7022, g9694	XP_023644208.1
OG0000161	g392, g9880	XP_023640860.1, XP_023640089.1
OG0000161	g24222, g24219	XP_023637621.1
OG0000161	g45103, g45101	XP_023644191.1
OG0000161	g45131	XP_023644190.1
OG0000162	g26821	XP_006302230.1
OG0000164	g23474	XP_006303757.2
OG0000164	g14196, g38017, g38015, g38013, g38019, g32493	XP_023633845.1
OG0000167	g24121	XP_023634123.1
OG0000167	g24122	XP_023634326.1
OG0000169	g46166	XP_023640242.1
OG0000171	g5177	XP_006305640.2
OG0000171	g44698	XP_006302886.1
OG0000171	g29297	XP_023635842.1
OG0000173	g4808	XP_023641904.1
OG0000173	g26535	XP_023633335.1
OG0000174	g26585, g53787	XP_023636043.1
OG0000174	g3544	XP_023644465.1, XP_023634282.1, XP_023636047.1, XP_023644478.1, XP_023641994.1, XP_023634071.1, XP_023644460.1, XP_023644466.1, XP_023645651.1, XP_023640333.1, XP_023634058.1, XP_023634063.1
OG0000175	g23036	XP_006282726.1
OG0000175	g47947	XP_023633909.1
OG0000176	g27714	XP_006281807.1
OG0000184	g53121, g53878, g53859	XP_023640341.1
OG0000186	g1666	XP_023640354.1
OG0000187	g35037	XP_023634987.1
OG0000188	g35585, g32834, g53191	XP_023632588.1
OG0000188	g34416, g52896, g52964, g16064, g34537, g43011, g25804, g34406	XP_023634325.1
OG0000188	g34418, g16603, g52966, g34813	XP_023638897.1
OG0000190	g40442	XP_006289433.1
OG0000190	g45158	XP_006289092.1, XP_023635846.1, XP_006289348.1, XP_006287233.1
OG0000190	g45173	XP_023635847.1, XP_006289234.1, XP_006286467.1
OG0000191	g31359	XP_006303714.1, XP_006292305.1, XP_006303731.1, XP_006303763.1
OG0000195	g40143	XP_006294957.1
OG0000195	g18117	XP_006302967.1, XP_006284698.1
OG0000196	g40674	XP_006305980.1
OG0000196	g27686	XP_006305145.1
OG0000197	g27764, g39817	XP_023634346.1
OG0000201	g6534, g11758	XP_023641351.1, XP_006299457.1, XP_023642625.1
OG0000201	g17326, g17323, g17324, g17327, g17336, g17334, g17322, g17332	XP_023642639.1, XP_006299892.1
OG0000201	g11846	XP_023641851.1, XP_006299354.1, XP_023641352.1, XP_006298376.1, XP_023641852.1, XP_006299827.1, XP_023642677.1, XP_023632990.1, XP_006299497.1
OG0000202	g27177	XP_006299501.1
OG0000202	g10880	XP_023641894.1, XP_023641893.1
OG0000204	g11805	XP_006296746.1
OG0000204	g36933	XP_006297875.1
OG0000205	g32507	XP_023642400.1
OG0000205	g53988	XP_023644508.1, XP_023644509.1
OG0000206	g1573, g22730, g23072, g45047, g16729, g36171, g52105, g17791	XP_023641361.1, XP_023644322.1
OG0000206	g2449, g32347, g27139, g38106, g44429, g37022, g13752, g51222, g23924, g6223	XP_023634705.1
OG0000206	g37934	XP_023634331.1
OG0000206	g11812, g6224	XP_023640469.1
OG0000206	g14640, g9978	XP_023640397.1
OG0000208	g24958, g18133	XP_006281509.2
OG0000208	g6217, g6207	XP_023635375.1
OG0000209	g40830	XP_023644381.1
OG0000209	g40827	XP_023642945.1
OG0000209	g32744	XP_023633339.1
OG0000210	g11480, g11479	XP_006292602.1
OG0000213	g46059, g46056	XP_006301868.2
OG0000213	g7432	XP_023642299.1, XP_023641412.1
OG0000213	g38464	XP_006296372.1, XP_023640523.1, XP_006296383.1, XP_023640521.1, XP_023640517.1, XP_006295774.1
OG0000214	g36825, g36830	XP_006301794.1
OG0000214	g1023, g25454, g25477	XP_023636923.1, XP_023636108.1
OG0000216	g53737	XP_006285624.1
OG0000216	g47412	XP_006306137.1, XP_006285218.1, XP_006286276.1
OG0000217	g31539, g1718	XP_006300342.1, XP_006300602.2, XP_006301589.1, XP_023643817.1, XP_023643476.1, XP_006300712.1
OG0000218	g31564	XP_006305966.2
OG0000218	g49926	XP_006306087.1
OG0000218	g10793	XP_006291995.1
OG0000219	g28368	XP_006300988.1, XP_006300969.1, XP_006300929.1, XP_006301393.1
OG0000219	g46873	XP_006293434.1
OG0000219	g311	XP_023633471.1
OG0000219	g18634	XP_006281906.1
OG0000222	g2261, g45344, g10741, g44563, g51060, g5898, g28476, g32750, g41189, g41204	XP_023644469.1, XP_023633734.1, XP_023637320.1, XP_023633507.1
OG0000224	g46370	XP_006302386.1
OG0000224	g40852	XP_006299068.1, XP_006291286.1, XP_006300513.1, XP_006301062.1, XP_006301004.1
OG0000225	g27682	XP_006305771.1, XP_006304293.1
OG0000226	g32332, g32334, g32337	XP_023641274.1, XP_006298152.1
OG0000226	g11864	XP_006305431.1, XP_006305370.1, XP_023645963.1
OG0000228	g32057	XP_006289231.1
OG0000229	g47707	XP_006294905.1
OG0000230	g44430	XP_006300992.1
OG0000230	g46235	XP_006301576.1
OG0000230	g19589, g44426	XP_006303073.1, XP_006300924.1, XP_006303076.1, XP_006303070.1, XP_006303074.1, XP_023643400.1
OG0000231	g46733	XP_006283372.1
OG0000231	g18039	XP_006301976.1, XP_023645946.1, XP_023643170.1, XP_023643807.1
OG0000233	g51845, g15624, g17762	XP_023639098.1
OG0000234	g19127	XP_006290668.1
OG0000234	g19128	XP_006292545.1
OG0000234	g2235	XP_006292248.1
OG0000234	g51765	XP_006295608.1
OG0000234	g29346	XP_006287124.2
OG0000236	g6598	XP_006299722.2
OG0000236	g11672	XP_023644265.1
OG0000238	g32627	XP_023644448.1
OG0000238	g22405, g22409, g22252, g25326	XP_023644090.1
OG0000238	g53046, g52809, g4078, g32889, g53047, g27354, g2143, g27482	XP_023643898.1
OG0000239	g39775	XP_006296090.2
OG0000240	g24726	XP_006304782.2, XP_006279442.1
OG0000240	g11360, g13978	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2
OG0000240	g41655	XP_006301448.1, XP_006285195.1
OG0000242	g14272, g6162	XP_006297317.1
OG0000242	g31494	XP_023645571.1
OG0000242	g31496, g31497, g31498, g31499	XP_006307291.2
OG0000244	g17320	XP_006284545.1, XP_006289916.1, XP_006289300.1, XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1, XP_006289616.1, XP_006289215.1
OG0000247	g28137	XP_006284720.1
OG0000248	g25664	XP_023637283.1
OG0000248	g41086, g41090, g41083	XP_006302421.1
OG0000249	g51603	XP_006296366.1
OG0000249	g37185	XP_006294087.1, XP_006294083.1
OG0000254	g1607	XP_023639557.1
OG0000256	g51896, g51897	XP_006281060.1, XP_023642516.1
OG0000256	g51887	XP_006295453.1, XP_006295599.1, XP_006295455.1
OG0000257	g48005	XP_023642301.1
OG0000258	g39309	XP_006282010.1
OG0000258	g16641	XP_006292275.1, XP_006290954.1, XP_006290953.1, XP_023638661.1
OG0000260	g46771	XP_023643982.1
OG0000260	g17690, g17692, g17691, g25934	XP_006285264.2
OG0000261	g53714, g14389	XP_023641349.1
OG0000264	g25493	XP_006290182.1
OG0000264	g40712	XP_006289480.2
OG0000267	g17092	XP_006296499.1
OG0000268	g1514	XP_006292510.2
OG0000268	g45297	XP_006287367.1
OG0000268	g19165	XP_006292488.1
OG0000270	g27445, g31888, g50111	XP_006302919.1, XP_023644770.1
OG0000271	g6508, g45178	XP_006287939.1
OG0000271	g25541	XP_006289516.1
OG0000274	g28758	XP_006281238.1
OG0000274	g2936, g2910	XP_006291980.1
OG0000274	g39974	XP_006295138.1
OG0000276	g17712, g53651	XP_006289633.1
OG0000276	g17631	XP_006286226.1
OG0000277	g47115	XP_006286199.1, XP_006284824.1, XP_006284826.1, XP_006284827.1, XP_006284817.1
OG0000277	g17643	XP_006284821.1
OG0000278	g3407, g30889	XP_023636079.1, XP_023636078.1
OG0000278	g10751, g26081, g26058	XP_023636104.1, XP_006288761.1, XP_006280995.1
