Orthogroup	Cochlearia_excelsa	Brassica_rapa
OG0000023	g23907, g24643	XP_009114807.1
OG0000025	g972	XP_009101849.2, XP_033129787.1, XP_033138374.1
OG0000025	g39418, g24597	XP_033140823.1, XP_009127106.1
OG0000026	g17281, g33392, g4347, g50791, g25246, g46637	XP_033135937.1, XP_033130769.1, XP_009111790.1
OG0000026	g25191, g41992, g4231, g43283, g2973, g33119, g33391	XP_009113561.2
OG0000027	g43450	XP_018512901.1
OG0000027	g28294	XP_033132209.1
OG0000027	g2269	XP_009116539.1
OG0000029	g28453	XP_018511257.1
OG0000029	g8998, g26310, g29945, g30548, g38806, g8608, g9084, g30701, g9122, g48831, g29967, g8634, g30668	XP_033129539.1
OG0000029	g46975	XP_033135931.1
OG0000029	g48266, g6083	XP_009123725.2
OG0000029	g49276, g4525, g37385, g6082	XP_033130775.1
OG0000029	g1671, g52104, g17776, g26120, g17775, g52907, g95	XP_033145454.1
OG0000030	g30544, g8826	XP_033148072.1
OG0000030	g31186, g33113, g50559, g3768, g14857, g13786, g40104	XP_033145843.1
OG0000030	g35927, g599, g13492, g26692, g27960, g54342, g16927	XP_033131887.1
OG0000030	g8825	XP_033129992.1, XP_033136099.1
OG0000030	g6340, g37181, g16111	XP_009138234.2, XP_033131226.1
OG0000031	g40889	XP_009112698.1
OG0000031	g5030	XP_009121467.1
OG0000031	g13269	XP_009114567.1
OG0000031	g17118	XP_009142868.1
OG0000031	g40888	XP_009112701.1
OG0000031	g40752	XP_009118532.1
OG0000032	g3738, g26774, g53253, g52953, g52389, g43014, g4289, g33014, g53610, g43518, g3146, g4222, g3625, g3120, g22170, g52827, g52845	XP_033131812.1, XP_009124182.2, XP_033131802.1, XP_009123813.1, XP_009123814.2, XP_033134289.1, XP_009124453.2, XP_009123343.2, XP_018511422.1, XP_033143388.1, XP_009123579.2
OG0000032	g27898, g7014	XP_033145294.1
OG0000032	g53822, g44165, g4624, g6966, g53873, g32714, g13890, g46293, g39938, g26771, g32568, g29256, g19401, g44942, g3737	XP_033134310.1
OG0000033	g23911	XP_009136929.1
OG0000033	g24014	XP_009134716.1
OG0000033	g23905	XP_033143795.1
OG0000033	g23912	XP_009137317.1
OG0000033	g40468	XP_033136442.1
OG0000034	g15118, g44910	XP_033143708.1, XP_033133157.1
OG0000034	g42218, g42234, g34899	XP_033139273.1, XP_033139162.1
OG0000034	g15664, g3441, g9297	XP_033130130.1
OG0000035	g51285	XP_009125775.1
OG0000035	g3815	XP_009123149.2
OG0000035	g39852, g39841	XP_033137775.1, XP_033137778.1
OG0000035	g3814	XP_033145289.1
OG0000036	g3196	XP_033147285.1
OG0000036	g49100	XP_033148558.1, XP_009150325.2, XP_033133377.1, XP_033131067.1, XP_033136880.1
OG0000037	g19076, g53465, g53974, g1800, g24922, g25438, g41976, g18240, g17503, g24468, g52242, g18188, g53518, g36593, g41271, g18187, g32897, g36595, g17180	XP_033131392.1
OG0000037	g20917, g29939, g20308, g28559, g25198, g14254, g2520, g10090, g6551, g27201, g54294, g38089, g14278, g52663, g1250, g13609	XP_033139739.1
OG0000037	g5625, g41705	XP_033134981.1
OG0000037	g2497	XP_018510911.1
OG0000038	g49458	XP_033133461.1, XP_033133451.1, XP_009138083.1, XP_033143334.1
OG0000038	g44982, g44984, g44985, g7414	XP_033147875.1, XP_009146809.1, XP_033148625.1, XP_033147883.1, XP_033147863.1, XP_009147163.1
OG0000040	g38367, g38376, g38372, g38380	XP_033131947.1, XP_033129474.1, XP_033128828.1
OG0000040	g44631	XP_033131797.1
OG0000040	g13193, g13194	XP_033143643.1
OG0000041	g36073	XP_033148527.1, XP_033135950.1
OG0000042	g41631, g25133, g41632, g52948, g49021	XP_009128563.1, XP_033128760.1, XP_033142288.1, XP_009112224.1
OG0000042	g49152	XP_033148631.1
OG0000042	g18621	XP_018513078.1
OG0000043	g35421, g15787, g15005	XP_033138761.1
OG0000043	g14843	XP_033138762.1
OG0000043	g18028, g11564, g50989, g18002	XP_033145298.1
OG0000044	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931, g36166, g25959	XP_033141811.1, XP_033147696.1, XP_009145895.1
OG0000045	g7244, g39351, g17718, g41293	XP_009111088.1, XP_009124343.1
OG0000045	g42618	XP_018512881.1
OG0000046	g46717	XP_009151130.2, XP_009140101.2
OG0000046	g18113	XP_033137544.1
OG0000046	g44951	XP_009127504.1
OG0000046	g18042	XP_009127512.1
OG0000047	g4320, g7910, g17624, g3384, g3851	XP_018508607.1
OG0000047	g51086, g3105	XP_033130353.1, XP_033133257.1, XP_009107034.2, XP_009124211.2
OG0000047	g49160, g47659, g43703, g25474, g28245, g53765, g45296, g42772	XP_009139668.1
OG0000047	g51838	XP_033129459.1
OG0000048	g4944	XP_009126228.2, XP_009126235.1, XP_009126238.1
OG0000049	g36235	XP_033142750.1
OG0000049	g19459, g12227	XP_033136843.1
OG0000049	g46801, g43914, g49353, g11652, g21	XP_033147559.1
OG0000049	g7668, g44227, g39804, g53419	XP_018511312.1
OG0000049	g45435	XP_018509814.1
OG0000049	g22934, g376, g47861, g44112, g6602, g36505, g12095, g19466, g919, g7174, g3137, g27324, g24163, g1087, g46399, g46729, g50524, g28511, g54100, g47181, g829, g46775, g28413, g14428, g45388, g13757, g29231, g6871, g32168, g24458, g6376, g43896, g4749, g12068, g44857, g3861, g36846, g23483, g47037, g18721, g11656, g27986, g5166, g50226, g12226, g46640, g41551, g45877, g11828, g49352, g32343	XP_009120440.2, XP_033138682.1
OG0000052	g37450	XP_033148410.1, XP_009142840.1, XP_033138797.1, XP_033138543.1
OG0000053	g2712, g50347, g36530, g16902, g49418, g51200, g3380, g2153, g1735, g51079, g42562, g14493, g24166, g19260, g2184, g2480, g46139	XP_033134217.1
OG0000055	g40901	XP_009112692.1, XP_009113075.1
OG0000055	g40991	XP_033135114.1, XP_009113108.1
OG0000055	g44205	XP_009113405.2
OG0000057	g50182, g50184, g50186	XP_009134817.1
OG0000057	g15973, g17828	XP_033143242.1
OG0000057	g27361, g5648	XP_009121596.1, XP_033131219.1
OG0000058	g19665	XP_009142124.1, XP_033141200.1
OG0000058	g11773, g19588	XP_033138839.1
OG0000059	g14202	XP_009132643.2
OG0000061	g4665, g33350	XP_033131829.1, XP_033133259.1, XP_018509212.1, XP_009149633.1
OG0000061	g1261, g46382, g48920, g25951, g1599, g17623, g48295, g35530, g34935	XP_009124209.1
OG0000064	g51190, g32307	XP_009105095.1
OG0000065	g21237, g20503, g3890	XP_009134880.2
OG0000065	g8443	XP_033134685.1
OG0000066	g5393	XP_009104699.1, XP_009131189.1, XP_009130061.1, XP_009125263.1, XP_018511751.1
OG0000066	g156	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1
OG0000069	g24808, g44257, g26746	XP_033134245.1, XP_033143252.1
OG0000069	g10624, g41852	XP_009127653.1, XP_033133929.1
OG0000069	g4931	XP_018511891.1
OG0000069	g41608	XP_033141168.1
OG0000069	g13794, g4275, g25547, g38079, g36963, g17549, g12998, g7180	XP_009130609.1
OG0000070	g30429, g30434, g34722, g20467, g25157, g21277	XP_033139530.1, XP_033129378.1, XP_033138989.1, XP_033129363.1
OG0000070	g3658, g16018, g33103, g33082, g33075, g6383, g4182, g14664, g41983, g33049, g26414, g43980, g43401, g38750, g11415	XP_033136169.1, XP_033145488.1
OG0000070	g4159	XP_033143392.1
OG0000073	g28154	XP_009122186.1
OG0000073	g10942	XP_009114345.1
OG0000073	g18482	XP_009128859.1
OG0000073	g54289	XP_033128241.1
OG0000074	g50301	XP_033130333.1
OG0000074	g27549, g27550	XP_009115511.1
OG0000075	g49834, g49840, g49829	XP_009151202.1, XP_009151204.1
OG0000076	g3195, g1602	XP_033138197.1
OG0000076	g2410	XP_009114878.1
OG0000076	g19225	XP_009115966.1, XP_033146756.1, XP_033146757.1, XP_033146252.1, XP_033145801.1
OG0000076	g10535	XP_033139477.1, XP_033135650.1
OG0000077	g25975, g22716	XP_009101862.1
OG0000078	g46791, g24881	XP_033148565.1, XP_033138831.1, XP_033140785.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_018512940.2, XP_033147279.1, XP_033143194.1, XP_033143619.1, XP_033148618.1, XP_033148616.1, XP_009119775.3
OG0000079	g18915	XP_033130624.1, XP_009104177.1
OG0000080	g50013, g23668	XP_033145280.1
OG0000081	g6399	XP_033133852.1, XP_033135481.1
OG0000081	g13268	XP_018512837.1
OG0000082	g36211, g54030	XP_009110495.1, XP_033131405.1, XP_033146528.1
OG0000082	g53006, g31724, g7128, g51169	XP_033144158.1
OG0000082	g11611	XP_018510014.1
OG0000083	g12860	XP_018515224.2
OG0000084	g51024	XP_033145265.1
OG0000085	g50685, g15804	XP_033148503.1
OG0000085	g41377, g32262, g25866	XP_033129336.1
OG0000085	g45065, g17068, g32641, g23586, g17797, g646	XP_033136961.1
OG0000087	g9991	XP_009150907.1
OG0000087	g9845, g2817, g339	XP_009151388.1, XP_009150241.1
OG0000087	g5316	XP_009121863.1
OG0000087	g40485, g11055	XP_009123590.1, XP_009113926.1, XP_009101721.2
OG0000087	g17371, g24042	XP_009134084.2, XP_009108485.1, XP_009137158.2
OG0000087	g46232	XP_009106234.1
OG0000088	g11453	XP_009140910.1, XP_009140909.1, XP_009144708.1, XP_018509698.1
OG0000088	g19510	XP_009149894.1
OG0000088	g40516	XP_009113892.3, XP_009131995.2, XP_009116363.1, XP_033142283.1
OG0000088	g46886	XP_009119422.1
OG0000088	g28933, g28934	XP_009131797.1, XP_009120802.1
OG0000089	g29544	XP_009131124.2
OG0000089	g13323, g11989	XP_009145858.2, XP_009135599.1, XP_018513774.1
OG0000089	g38077	XP_009133195.1, XP_009141678.2, XP_033147982.1
OG0000090	g50123	XP_009149503.1
OG0000090	g46242	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000090	g10675	XP_033136464.1, XP_009123589.1
OG0000093	g2360	XP_009138966.1, XP_009138965.1
OG0000093	g18958	XP_033131129.1
OG0000096	g1538, g1535	XP_033136168.1, XP_033134192.1, XP_033134075.1, XP_033139877.1, XP_033136459.1, XP_033141183.1, XP_018512146.1
OG0000097	g45186, g45201	XP_009110937.1, XP_033135887.1
OG0000097	g45182	XP_033140146.1
OG0000098	g49817	XP_033133736.1
OG0000099	g24889	XP_033135357.1
OG0000099	g43603	XP_009121822.3, XP_009132579.1
OG0000101	g40795	XP_018509586.1
OG0000102	g32907, g3224, g42270, g19812, g34381	XP_033144322.1
OG0000102	g36431, g4524, g53004, g12636, g24835, g4478, g40702, g34414, g24215, g17168, g37872, g46693, g45401, g3397, g25742, g18404, g50268, g46262, g31405	XP_033134130.1
OG0000102	g37180, g40701, g53170, g14688	XP_033131783.1
OG0000102	g2810, g52815, g32214, g49776, g16019	XP_033147108.1
OG0000102	g45814	XP_033129771.1
OG0000104	g31072	XP_009118428.1
OG0000104	g51118	XP_033145187.1, XP_033131572.1
OG0000104	g6675	XP_009135746.2
OG0000104	g54244, g54237, g54238	XP_009147730.1, XP_009144873.1
OG0000105	g43456	XP_033131858.1, XP_009150028.1
OG0000106	g6393	XP_009126084.3, XP_033130384.1, XP_033130152.1, XP_009136113.1
OG0000107	g11936	XP_009140112.1, XP_033142636.1
OG0000107	g6757	XP_018514730.2
OG0000107	g13346, g17783, g17676, g17802, g13363, g6693	XP_009107347.1, XP_009117328.1
OG0000108	g41770	XP_033141220.1
OG0000110	g2009	XP_009104193.2
OG0000110	g18900, g2008	XP_009116586.2, XP_033134414.1, XP_033134415.1
OG0000110	g2010	XP_009104190.1
OG0000112	g1342	XP_033142284.1, XP_009132628.1
OG0000113	g43820	XP_009113081.1, XP_033135475.1, XP_033135474.1
OG0000113	g35258	XP_033134179.1
OG0000114	g18420	XP_018508210.2
OG0000118	g14347, g14348, g14394, g45220, g45247	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1
OG0000119	g52379	XP_009107416.1
OG0000120	g40996	XP_033136614.1, XP_033135828.1
OG0000120	g6424	XP_033133710.1, XP_009107578.2, XP_033128024.1
OG0000120	g32414, g29781	XP_009122928.1
OG0000122	g1066	XP_033144567.1, XP_009132310.1
OG0000123	g44233	XP_033143410.1, XP_033143576.1, XP_033135368.1
OG0000123	g17137	XP_009124814.1, XP_009142142.1
OG0000123	g25909, g25905, g25906	XP_009105059.1, XP_009110577.1, XP_009105445.1
OG0000125	g41348	XP_009131894.1, XP_009120626.1
OG0000125	g2919, g1294, g28781	XP_009120513.1, XP_009126639.2
OG0000125	g39998	XP_009103710.2, XP_009140934.1
OG0000126	g52267, g32913, g35883, g25977, g19802, g14393, g26747, g1643, g32916, g42286, g45979, g53240, g32663, g19828, g19824, g42291, g3278, g42811, g28336, g49079, g28773, g17732	XP_033143377.1, XP_033146924.1, XP_033148306.1
OG0000126	g16084, g27841, g1792, g4332, g27839, g27662, g37157, g53925, g35446	XP_033148541.1, XP_009123429.1
OG0000127	g2965	XP_033145538.1
OG0000127	g7513	XP_033147889.1
OG0000128	g47021, g10344	XP_018509087.2
OG0000128	g10185, g51760, g41109, g45611, g31838, g1147, g29408	XP_009102138.1
OG0000128	g5236, g5604, g3371, g22741	XP_033143891.1
OG0000129	g1920, g47377	XP_033138784.1
OG0000129	g5087, g26476, g1494, g35945, g4368, g51751, g3127, g11722, g51320, g1921, g2256, g3374, g42741, g26737, g14405, g53475, g1918, g3336, g43831, g14282, g41855, g12267, g27070, g40923, g4461, g2523, g42052, g3187, g38048, g53529, g11392, g4362, g2129, g3232, g26465, g18537, g4327, g18139, g10593, g35776	XP_033138763.1
OG0000130	g34628	XP_033138885.1
OG0000130	g26208, g43583	XP_033139204.1, XP_033139206.1, XP_033130109.1, XP_033139257.1, XP_033139384.1, XP_033139288.1, XP_033139213.1, XP_033139243.1, XP_033139062.1, XP_033148890.1, XP_033139506.1, XP_033139372.1, XP_033139097.1, XP_033139064.1, XP_033143333.1, XP_033139363.1, XP_033138947.1, XP_033139543.1, XP_033139216.1, XP_033139341.1, XP_033139011.1, XP_033139146.1, XP_033139032.1, XP_033139381.1, XP_033138861.1, XP_033141145.1, XP_033131597.1, XP_033132016.1, XP_033139170.1, XP_033138937.1, XP_033138886.1, XP_033139214.1, XP_033141929.1, XP_033146982.1, XP_033130754.1
OG0000132	g32782, g32775, g18438	XP_018509848.2
OG0000132	g26228	XP_018512844.2
OG0000136	g43995, g46769, g46768, g46770	XP_033147599.1
OG0000138	g47540, g51162	XP_033131017.1
OG0000138	g46708	XP_033145245.1
OG0000138	g41830	XP_033129666.1
OG0000138	g10345	XP_009129283.2, XP_018515342.1
OG0000138	g10340	XP_009151767.2
OG0000139	g25175	XP_033139082.1, XP_033139319.1, XP_033139091.1, XP_033139398.1, XP_033138913.1
OG0000140	g28714	XP_009126729.2, XP_033141242.1, XP_009126731.2, XP_009145270.2, XP_033141241.1, XP_033141237.1
OG0000140	g1252	XP_033142716.1, XP_009120430.1
OG0000140	g11417, g11414	XP_009149959.1
OG0000142	g40020	XP_009140991.1, XP_009140982.1, XP_009123599.1
OG0000142	g51131	XP_009133859.1
OG0000142	g37876, g37875	XP_009140988.2, XP_009144387.2
OG0000142	g51155, g51154, g51130, g51156	XP_009140985.1, XP_009140992.3
OG0000143	g3826	XP_018514421.1
OG0000143	g43612, g53735, g1831	XP_033139202.1, XP_033144231.1, XP_033143521.1, XP_033139540.1, XP_033141445.1, XP_033137454.1, XP_033128921.1
OG0000143	g4369, g50433, g35440	XP_009102953.1
OG0000144	g41746	XP_018513380.1
OG0000145	g21338, g26301	XP_033128661.1
OG0000146	g1010	XP_033144579.1, XP_033139637.1, XP_009127007.2
OG0000146	g1011	XP_009127005.1, XP_009111746.1
OG0000147	g5985	XP_009102205.2, XP_009112568.1
OG0000147	g13932	XP_009150710.2
OG0000147	g23426	XP_009109000.1, XP_009137896.1, XP_009137895.2, XP_009128001.1
OG0000147	g1105	XP_033141904.1, XP_009120261.2
OG0000147	g46563	XP_009106729.2, XP_018508569.2
OG0000147	g11547	XP_009128205.1
OG0000147	g6339	XP_018513014.1
OG0000147	g50994	XP_009117122.1
OG0000149	g1676, g28755, g28754	XP_009131982.1, XP_009126681.1
OG0000149	g1282	XP_009126683.1
OG0000149	g2888	XP_009150292.1
OG0000150	g38299, g38298	XP_033143911.1
OG0000150	g11441, g11440	XP_033139673.1
OG0000151	g915, g28415	XP_009119874.1
OG0000151	g17072	XP_009144093.1, XP_009109116.1
OG0000151	g7540	XP_009135093.1, XP_009146989.1, XP_009123804.1
OG0000151	g14078	XP_009136334.1, XP_009121200.1
OG0000151	g28546	XP_018510771.1, XP_018512593.2
OG0000152	g22192, g30253, g4143	XP_033148198.1, XP_033147971.1, XP_033133696.1, XP_033144131.1, XP_033133396.1, XP_033147396.1, XP_033135350.1, XP_033148073.1, XP_033136129.1, XP_033148068.1, XP_033142141.1
OG0000154	g27332	XP_009110463.1, XP_009149047.1
OG0000154	g12277	XP_009120551.1, XP_009135236.2
OG0000154	g54073, g45315, g5784	XP_009115390.1, XP_033143098.1, XP_033134270.1
OG0000155	g23645	XP_009143289.2, XP_009137650.1
OG0000155	g47372	XP_009134691.2
OG0000155	g7340	XP_009135203.2
OG0000156	g37614, g37615	XP_018514178.1
OG0000156	g52257	XP_009142347.1
OG0000156	g52256	XP_018514087.1
OG0000157	g12640, g6146, g50762, g35294	XP_009113644.3, XP_009115539.2, XP_033135169.1, XP_033135170.1, XP_033135012.1, XP_009135990.1, XP_033135900.1
OG0000158	g51427	XP_009122633.2, XP_009146323.2
OG0000160	g14782, g46745, g36801	XP_033134364.1
OG0000161	g392, g9880	XP_009130179.2, XP_009130183.1
OG0000161	g24222, g24219	XP_033145048.1
OG0000161	g45103, g45101	XP_009127389.1
