Orthogroup	Cochlearia_excelsa	Odontarrhena_muralis
OG0000003	g10483, g36078, g35024, g42010, g53526, g35068, g51377, g36656, g46847, g52100, g12379, g34343, g34347, g42612, g3007, g19913, g14065, g52866, g43208, g25223, g43589, g14824, g15574, g4576, g20561, g20558, g41973, g35025, g49126, g50218, g43737, g3006, g16692, g54200, g19882, g28837, g12132, g39267, g40928, g44467, g1720, g6104, g22734, g24732, g26067, g6791, g34544, g15875, g33596, g14436, g4314, g43590	Om007G276690
OG0000003	g11617, g8880, g21791, g21805	Om004G173160
OG0000003	g34585, g38685, g33681, g53237, g30184, g21769, g48097, g15439, g38758, g38943, g35769	Om002G078910, Om007G310130
OG0000003	g15299	Om007G309640
OG0000003	g26606, g8533, g35008	Om003G107890, Om007G304830
OG0000003	g38726, g52507, g33738, g21075, g15069, g20663, g8887, g38647, g38787, g33683, g33657, g30416, g22591, g42519, g15106, g33699, g15225, g20781, g15167, g38927, g21070, g38944, g20522, g30595, g38625, g20896, g42464, g24936, g38721, g21166	Om006G262960
OG0000003	g21128, g8383, g16072	Om007G310100, Om005G217360, Om003G107880
OG0000003	g15722	Om001G015910
OG0000003	g21798, g21724, g20472, g9367, g20087, g21565, g33957, g8861, g52750, g34641, g38687, g43070, g15232, g42420, g42441, g9347, g7984, g26551, g33767, g21045, g20998, g38763, g42487, g21234, g52986	Om006G262980
OG0000003	g8364, g30181, g15105, g19836	Om005G217810
OG0000003	g34664, g34657, g34660, g9423, g9443, g48369, g39153	Om005G210700
OG0000003	g41143	Om001G017050
OG0000003	g8878	Om008G345700
OG0000003	g21330, g20421, g48386, g8588, g16442	Om005G217800, Om004G150180, Om001G017380
OG0000003	g34632, g8186, g30075, g42471, g19890, g26435, g33523, g34553, g30141	Om004G155100
OG0000003	g8684	Om005G217790
OG0000004	g16747, g41832	Om008G341980
OG0000004	g10434, g43405, g12783, g14416, g3096	Om007G317080, Om007G314040, Om006G243290, Om001G014830
OG0000004	g31287	Om003G099290
OG0000004	g43468, g53079, g36758	Om004G151610, Om003G106990
OG0000004	g41934	Om007G313270
OG0000004	g43738	Om001G019850
OG0000004	g32052, g40877, g44562, g51061, g1238, g44545, g28474, g44506, g5899, g23419, g2263, g52921, g13894, g34861, g19097, g29058, g52608, g29057, g30907	Om004G159780
OG0000004	g36335	Om008G320930
OG0000005	g36085, g26760, g14872	Om002G083130
OG0000005	g44250	Om005G219680, Om008G356930, Om004G145060
OG0000005	g36068	Om004G141520
OG0000005	g22668, g39670, g49313, g181, g25460	Om007G300990, Om008G339980
OG0000005	g44061, g30358, g31394, g54192, g43888, g3832	Om005G212800, Om006G268170, Om002G071580
OG0000005	g32288, g54233, g4, g38135, g43677, g53580, g9848, g44251	Om007G299590
OG0000005	g10943, g48006	Om006G258880
OG0000005	g23664	Om002G082890, Om008G348310
OG0000005	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090	Om007G282810
OG0000005	g43359	Om003G112530, Om008G348300
OG0000005	g4402, g11774, g4396	Om002G076060
OG0000005	g43360	Om004G151870, Om002G089170, Om004G141530
OG0000005	g14417	Om008G344510, Om006G244070, Om002G077150, Om002G081220, Om006G266940
OG0000005	g43361	Om006G261840
OG0000007	g37890, g14958	Om002G079510
OG0000007	g54172	Om007G283730
OG0000007	g18049, g47718	Om005G219310, Om006G244810, Om006G267880, Om011G365910, Om003G114390
OG0000007	g30821, g46860, g26833, g14950, g41879	Om007G299920
OG0000007	g25323, g24433, g4497, g26082, g34709, g48927	Om007G308670, Om005G224350
OG0000007	g4482, g23875	Om006G248820, Om006G248770
OG0000008	g25872	Om007G307170
OG0000008	g25873, g34273, g35255	Om009G364060
OG0000008	g26783, g43762, g4391, g33124, g29630, g27680	Om007G284450, Om008G361640, Om007G313430
OG0000008	g33467, g33453	Om007G306510
OG0000008	g36794	Om004G146620
OG0000008	g13991	Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880
OG0000008	g39484	Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230, Om004G145980, Om007G313990, Om006G260180, Om002G073680
OG0000010	g26448, g14316	Om006G235910
OG0000010	g35163, g21346, g4256, g14841, g35105, g53994, g48055, g21528, g3243, g30443, g48036, g47252, g39500, g24132, g5068, g50920	Om008G341420
OG0000010	g43026	Om003G108840
OG0000010	g25611, g42724, g21558, g24842, g4696, g16438, g14613, g21436, g43840, g44712, g16683, g42926, g35691, g30752, g14081	Om002G089070
OG0000011	g24832, g50752, g1458, g52713, g37833, g16484, g26075, g4219, g9033	Om005G184900
OG0000012	g6328, g21395	Om004G146180
OG0000012	g3443, g34444, g34449	Om005G215090
OG0000012	g15121	Om002G076390
OG0000012	g42217	Om003G106630
OG0000012	g3442	Om008G345810
OG0000013	g24947, g35918, g53893, g41958	Om002G089030
OG0000014	g51642, g51639, g52234	Om004G169570
OG0000014	g43483	Om007G309000
OG0000014	g17907, g43443, g40836, g15958, g51640, g52235	Om008G343710
OG0000014	g4147, g48939, g14334	Om005G227750
OG0000014	g11529	Om008G343700
OG0000015	g3313, g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567	Om008G350280
OG0000015	g10054	Om006G271980
OG0000015	g42171, g26614	Om003G098660
OG0000015	g47913, g43577, g47635, g16300	Om005G217510
OG0000015	g35217, g34684, g25292, g7329, g39702, g3755, g43029, g21949, g24634, g43716, g41967, g35685, g3173, g5447, g48096, g4042, g4014, g30179, g21912, g14948, g35471, g12283, g14756, g26107, g39164, g1865, g12584, g7633, g26669, g17276, g2986	Om003G105790, Om004G154560
OG0000015	g28764, g14677, g6769, g4758, g26125, g35711, g35700	Om007G305020
OG0000015	g2048, g25181, g44770, g50053, g53467, g40288, g37977, g5196	Om006G270800
OG0000015	g35814, g36777, g17194, g10206, g42100, g35247, g34265, g40661, g36021, g25817, g53143, g53815, g8558, g14879, g27728, g36346, g32986, g8573	Om002G088840
OG0000017	g5712, g5713	Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900
OG0000017	g14557, g17020, g39315	Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040
OG0000017	g41997, g33121, g3359, g6214	Om003G101880, Om004G153720
OG0000018	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069, g33471, g14567, g33125, g25750	Om008G335480, Om007G284460, Om008G361630
OG0000019	g4839	Om005G222770
OG0000019	g6080	Om004G154810
OG0000019	g43707, g18316, g27825	Om003G104700
OG0000019	g2481	Om002G077910
OG0000020	g35282, g34309, g41784, g25262, g3253	Om010G364780, Om008G361310
OG0000020	g32772, g14852, g5354, g15953, g41695, g3939, g16600, g31991, g27855, g16029, g32780, g16316, g34338, g35298, g27173, g4384, g8228, g32773, g14853, g1941, g35021, g27176, g4006, g15963, g4751, g26227	Om008G361920
OG0000020	g26122	Om007G309390
OG0000021	g14063	Om005G226540, Om001G020790
OG0000021	g45682, g1448	Om007G291430, Om002G057270
OG0000021	g3713, g24107, g3725, g24106, g46643	Om001G020780, Om001G006810, Om002G059070
OG0000023	g47441, g23897	Om001G010360, Om001G009290
OG0000023	g25723	Om008G351580
OG0000023	g40374	Om008G351620, Om008G351630
OG0000023	g23907, g24643	Om001G010250
OG0000024	g45320, g32515	Om007G304730, Om008G342080, Om001G017150, Om001G030080, Om007G305000
OG0000027	g43469	Om007G316890
OG0000027	g40788	Om005G224020
OG0000029	g29817	Om008G343780
OG0000029	g46975	Om005G216790
OG0000029	g35797	Om001G020560, Om002G078670, Om007G309080, Om007G298320
OG0000029	g49276, g4525, g37385, g6082	Om004G147450
OG0000029	g45349	Om006G262550, Om004G151510
OG0000029	g1672	Om007G298330
OG0000030	g6306, g40103, g6175, g48553, g8527, g41465, g35926	Om004G153710
OG0000030	g31187	Om020G374410, Om004G155320
OG0000030	g37182	Om004G152960
OG0000030	g14858	Om001G005680
OG0000030	g30544, g8826	Om004G165220
OG0000030	g31186	Om001G038800, Om006G253510
OG0000030	g33113	Om004G148440, Om006G271430, Om006G263330
OG0000030	g43791, g44909, g43774, g43790, g5736	Om005G226380
OG0000031	g5030	Om006G252510
OG0000031	g13269	Om002G063040
OG0000031	g17118	Om001G018890
OG0000032	g20823	Om008G348910
OG0000032	g27898, g7014	Om008G348890
OG0000033	g23911	Om001G010240
OG0000033	g24014	Om001G007120
OG0000033	g23912	Om001G010110
OG0000034	g53562, g44911, g15119	Om010G364590, Om008G356530, Om001G014760
OG0000034	g33115	Om008G348960
OG0000034	g34448	Om006G264160
OG0000034	g15118, g44910	Om003G107450
OG0000034	g42218, g42234	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190
OG0000034	g15664, g3441, g9297	Om002G079430
OG0000034	g15120	Om009G362950
OG0000035	g39852, g39841	Om007G280400, Om005G227290, Om004G176320, Om007G280390
OG0000035	g51286, g36519, g3814	Om006G273920, Om002G042810
OG0000037	g23617, g39408, g20917, g29939, g20308, g28559, g25198, g14254, g2520, g10090, g6551, g27201, g54294, g38089, g14278, g52663, g1250, g13609	Om005G188070
OG0000037	g5625	Om001G014920
OG0000038	g24239	Om006G262290
OG0000038	g49458	Om001G029210
OG0000038	g52037	Om008G322940
OG0000038	g44982, g44984, g44985, g7414	Om002G053860, Om001G005520
OG0000039	g4633, g43206, g26753, g50113, g53808	Om006G250590, Om002G057780
OG0000040	g38367, g38376, g38372, g38380	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	g13797, g13799	Om008G328570
OG0000041	g28599	Om007G301270, Om004G141670, Om009G364080, Om007G307140
OG0000041	g36073	Om002G075010, Om001G018420
OG0000042	g18621	Om004G177160
OG0000043	g14381, g14371, g53175	Om007G304750
OG0000043	g4564, g25886, g53199, g35810	Om002G089060
OG0000044	g33267	Om006G265780
OG0000044	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446	Om007G314900
OG0000044	g36166, g25959	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660
OG0000045	g7244, g39351, g17718, g41293	Om003G112290
OG0000045	g42618	Om001G031280
OG0000046	g46717	Om006G241220
OG0000046	g18113	Om006G253990
OG0000046	g18042	Om005G206750
OG0000047	g25473, g27561, g41540, g28657, g32593, g13831, g36935, g2942, g14554, g51362	Om006G238470
OG0000047	g4320, g7910	Om006G268590, Om001G028180
OG0000047	g3851	Om007G295630
OG0000047	g28468, g43700, g14016, g18660, g44830, g41217, g37480, g4319, g45363, g51127, g3853, g11964	Om007G314310, Om002G071890, Om005G222620
OG0000048	g4946, g4940, g29028, g29029	Om007G296190, Om007G296250
OG0000048	g4944	Om007G296260
OG0000049	g19447, g6205	Om002G080850
OG0000050	g44326, g2819, g44187	Om007G308990
OG0000052	g53934	Om008G326580
OG0000053	g48001, g18941, g54246, g1179, g2712, g50347, g36530, g16902, g49418, g51200, g3380, g2153, g1735, g51079, g42562, g14493, g24166, g19260, g2184, g2480, g46139	Om002G081910, Om001G013510, Om007G303670, Om001G005250, Om003G102410, Om005G223530, Om003G110840, Om001G030740, Om005G223990, Om005G212830
OG0000054	g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130	Om006G251510
OG0000054	g35345, g4371	Om005G214240
OG0000055	g40901	Om005G202820, Om005G227820, Om005G224840
OG0000055	g40991	Om008G333680
OG0000055	g44205	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000057	g48153, g33319, g33329, g48170, g15766, g33340	Om004G172320, Om008G335030, Om004G172300
OG0000058	g50156, g182, g51073, g5874, g10583	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000061	g15781, g584	Om003G100910
OG0000061	g45295, g49162, g11094, g32135, g50796, g25177	Om006G238480
OG0000061	g1261, g46382, g48920, g25951, g1599, g17623, g48295, g35530, g34935	Om006G263600
OG0000062	g32823, g13726, g11246, g41835	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320
OG0000063	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647	Om005G185660, Om007G283280
OG0000065	g48353, g38605	Om005G217720
OG0000065	g21237, g20503	Om006G268440
OG0000065	g8443	Om007G310120
OG0000065	g43174, g26242, g26207	Om004G155340, Om007G307990
OG0000065	g12628	Om010G364610
OG0000066	g5393	Om004G138400, Om001G039490, Om001G039500, Om004G164550
OG0000066	g45535, g29501	Om008G337830
OG0000066	g9719	Om006G231860
OG0000066	g156	Om004G165570
OG0000069	g10672, g13435, g10819, g37685, g16623, g14359, g43051, g31936, g11177, g40367, g37837, g24092, g24404, g53393	Om005G212060
OG0000069	g4931	Om005G223000
OG0000069	g13794, g4275, g25547, g38079	Om005G212160
OG0000070	g15856, g15924, g26036	Om005G218350, Om004G150670
OG0000070	g30429, g30434, g34722, g20467, g25157, g21277	Om007G311790
OG0000072	g33477, g30198	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000073	g18482	Om008G360660, Om008G360260
OG0000074	g50301	Om004G144080
OG0000074	g27549, g27550	Om004G144220, Om004G144230
OG0000075	g36278	Om008G356700
OG0000076	g36515	Om006G255670
OG0000076	g10535	Om006G242520
OG0000078	g14794, g15059	Om005G215800
OG0000079	g2000	Om003G122730
OG0000079	g18915	Om003G122880, Om003G122870
OG0000080	g41322	Om001G013570
OG0000080	g50013, g23668	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	g36469	Om003G096460
OG0000081	g6399	Om005G184670, Om005G184660
OG0000082	g33413, g33414, g25297, g33412, g33411	Om004G130570
OG0000082	g52877, g26306	Om003G121830, Om002G084590
OG0000087	g9991	Om006G238380
OG0000087	g9845, g2817, g339	Om006G235110
OG0000087	g5316	Om004G162490
OG0000087	g40485, g11055	Om008G355890
OG0000087	g17371, g24042	Om001G006430
OG0000087	g46232	Om004G137360
OG0000088	g11453, g19510, g40516, g11030, g46886	Om003G119630
OG0000088	g28933, g28934	Om006G242180
OG0000089	g5448	Om007G292110
OG0000089	g29544	Om004G166350
OG0000089	g13323, g11989	Om002G065930, Om003G098490
OG0000090	g50123	Om005G202290, Om005G179690
OG0000090	g46242	Om004G136810
OG0000090	g10675	Om002G055690, Om003G124430, Om006G274160
OG0000093	g2360	Om003G122050
OG0000093	g18958	Om003G121950
OG0000094	g3626, g53292, g23942, g14955, g43515, g52392, g43485, g33019, g33105, g43504, g41597, g3340, g53626, g7214, g42446, g26680, g4029, g52956, g8172, g41919, g53621, g4226, g32819, g22373, g32712, g53876, g9202, g30238, g1498, g42745, g15985, g26177, g41626, g3123, g43506, g3475, g10877, g13033	Om006G267450
OG0000096	g1538, g1535	Om007G301150, Om003G093070, Om006G274060, Om005G199550
OG0000097	g45186, g45201	Om008G355550, Om008G355560
OG0000097	g40477, g40479, g40476, g40480, g1561	Om008G355700, Om008G355610, Om008G355650, Om008G354170, Om008G354150
OG0000098	g49817	Om005G191670
OG0000099	g24889	Om005G227450
OG0000099	g43603	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970
OG0000099	g46874, g4737	Om005G227510
OG0000100	g17260, g37826	Om007G304610
OG0000100	g49149, g32974	Om004G142840
OG0000104	g31072	Om005G185360
OG0000104	g6675	Om002G069400
OG0000104	g54236	Om003G095400
OG0000104	g51117, g51119	Om007G283060
OG0000106	g6393	Om005G222030
OG0000107	g6757	Om002G067740
OG0000107	g17783, g17676, g17802, g13363, g6693	Om004G133090, Om001G020080
OG0000108	g11756	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810
OG0000109	g43843	Om007G303510
OG0000110	g2009	Om003G123410
OG0000112	g28315, g1342, g28314	Om005G189180
OG0000113	g54287	Om008G360430, Om008G360410, Om008G360750
OG0000113	g14463, g14267	Om001G037540
OG0000114	g17433	Om004G135370
OG0000117	g16020, g11688, g26091, g32213, g25861, g45402, g46692, g6971, g3396, g51983, g16507, g4175, g24845, g25746	Om002G088690
OG0000117	g19530, g53855	Om001G014560
OG0000118	g14347, g14348, g14394, g45220, g45247	Om008G333780
OG0000119	g52379	Om004G164230, Om005G214120, Om005G222850, Om002G073780, Om001G001640, Om003G112380, Om001G028670, Om001G025220, Om002G069790, Om006G272030, Om001G037640, Om001G016990, Om008G354440, Om003G114200, Om006G246110, Om008G353100, Om002G077410, Om006G263620, Om003G105760, Om001G022440, Om001G021800, Om007G276370, Om002G076490, Om008G340020, Om007G308200, Om001G017550, Om003G107360, Om002G082300, Om001G020090, Om003G128770
OG0000119	g50178	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730
OG0000120	g40996	Om005G221860
OG0000120	g6424	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520
OG0000120	g32414, g29781	Om007G296760, Om007G296900
OG0000122	g18088	Om003G118880
OG0000122	g1065	Om003G118940
OG0000122	g1066	Om003G118720
OG0000123	g25911	Om005G193630
OG0000123	g25909, g25905, g25906	Om005G193560, Om005G193450, Om005G193620, Om005G193610, Om005G193590
OG0000125	g41348	Om006G244360
OG0000125	g2919, g1294, g28781	Om006G245540
OG0000125	g39998	Om007G283300
OG0000126	g35446	Om006G262390, Om004G151250
OG0000127	g2965	Om004G176290
OG0000128	g31783, g53811, g31875	Om004G154610
OG0000128	g5236, g5604, g3371, g22741	Om005G217280
OG0000130	g34628	Om006G267480, Om004G149990, Om007G304660
OG0000131	g32639, g6351, g24938, g14468, g28182, g27531, g15993	Om003G106820
OG0000132	g53769, g43756, g15634	Om008G361300
OG0000133	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132	Om008G358290, Om008G345600, Om001G024110, Om007G315880
OG0000135	g51256, g14066, g27772	Om005G226530
OG0000138	g10340	Om001G026370
OG0000139	g25175	Om003G107910, Om003G108000
OG0000140	g28714	Om006G247230, Om006G247200
OG0000140	g1252, g28702, g28701	Om006G246640
OG0000140	g11417, g11414	Om006G266710
OG0000142	g37876, g37875	Om007G282780
OG0000143	g43612, g53735, g1831	Om003G106950
OG0000144	g41746	Om008G351670, Om002G077760, Om005G218980, Om001G015950, Om001G019450
OG0000145	g47338, g44486, g14472, g33147, g21632, g42257, g21852, g21844, g36809, g10312	Om003G116800
OG0000145	g45298	Om008G347500, Om005G215130
OG0000146	g1010	Om003G117410
OG0000147	g5985	Om002G086500
OG0000147	g23426	Om001G025660
OG0000147	g1105	Om007G285990, Om006G249440
OG0000147	g46563	Om004G130850
OG0000147	g11547	Om006G268290
OG0000147	g17885	Om003G106450
OG0000147	g6339	Om002G078960
OG0000149	g1282	Om006G245840
OG0000149	g54232, g17375	Om006G256850
OG0000150	g11441, g11440	Om005G201710
OG0000151	g28415	Om003G114720
OG0000151	g17072	Om001G021860
OG0000151	g7540	Om002G051120
OG0000151	g14078	Om002G082850
OG0000151	g28546	Om003G118410
OG0000154	g27332	Om005G196960
OG0000154	g12277	Om002G056330
OG0000154	g54073, g45315, g5784	Om004G175620
OG0000155	g23645	Om001G020030
OG0000155	g42046, g47372	Om001G007100
OG0000155	g7340	Om002G055620
OG0000156	g2802	Om008G322060
OG0000156	g52256	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020
OG0000157	g1395	Om001G032790, Om001G032520, Om008G334520, Om008G334530, Om002G083660
OG0000157	g12640, g6146, g50762, g35294	Om008G326040, Om008G355750
OG0000160	g50701, g4120, g45147, g41011, g27084, g7365, g52677, g14499, g43531, g43528, g43537	Om006G260300, Om005G203330, Om001G023460, Om002G054080, Om003G092480
OG0000160	g31367, g7023, g36380, g52886	Om006G239520
OG0000160	g34541	Om001G041000, Om006G275250, Om004G160260
OG0000160	g2884	Om003G104260, Om002G079610
OG0000160	g35546	Om003G110430
OG0000160	g43532	Om005G214710, Om002G079600
OG0000160	g26266, g4572	Om008G337340, Om005G210710, Om006G261180
OG0000161	g392, g9880	Om006G236100, Om006G236170
OG0000161	g24222, g24219	Om004G175180
OG0000161	g45103, g45101	Om007G278440
OG0000161	g45131	Om004G167210, Om006G249300
OG0000162	g1914	Om003G125390
OG0000164	g23474	Om001G024320
OG0000164	g14196, g38017, g38015, g38013, g38019, g32493	Om001G003920, Om001G003900, Om001G003990, Om001G021910, Om004G130990, Om004G130020
OG0000165	g24260	Om005G200180, Om007G315340
OG0000165	g36320	Om003G124770
OG0000165	g41606, g13909	Om006G266420
OG0000167	g24121	Om001G004410
OG0000167	g17408	Om001G004340
OG0000171	g45857	Om005G207720
OG0000171	g5177	Om005G220880
OG0000171	g29297	Om007G301020
OG0000174	g26585, g53787, g43917	Om003G109150
OG0000175	g6044, g13998	Om002G084540
OG0000175	g18237	Om001G035510
OG0000175	g31900	Om005G202200
OG0000175	g23036	Om002G082840
OG0000176	g27714	Om007G291450
OG0000178	g32581	Om002G070900, Om008G348660
OG0000178	g26273	Om004G174380, Om002G066990
OG0000178	g9695, g823, g53495	Om006G274730
OG0000178	g1397, g32976, g16363, g43554, g12264, g7844, g50196, g14780, g46746, g53399	Om004G134680, Om004G134670, Om003G110440, Om002G077640, Om005G199540, Om007G276140, Om004G164470, Om002G068680
OG0000178	g3844, g12585	Om001G019830, Om008G338100
OG0000180	g13531	Om006G256410, Om003G119900
OG0000181	g16615	Om005G212500
OG0000183	g11496, g11193	Om008G341930
OG0000184	g15959, g53597, g36626, g53120, g22863, g17905, g44091, g17915, g2401, g5948, g51641, g10990, g27914, g52236, g53121, g53878, g53859, g35463, g48936, g32701	Om006G270790
OG0000185	g35118, g49472, g24428, g49019	Om001G041450, Om008G356330, Om008G319330
OG0000186	g1666	Om007G285030
OG0000186	g16333	Om004G150540
OG0000186	g52922	Om005G218260
OG0000187	g35037	Om001G028150, Om001G030060, Om001G033230, Om001G030100, Om008G336940, Om001G028140, Om004G145860, Om004G145950
OG0000188	g53386, g35584, g43664, g43835	Om002G075380
OG0000188	g53593, g34536, g34529, g34527, g52897, g4352, g52637, g4416, g18814, g11793, g4976, g41675, g36864, g16524, g16533, g16548, g16267, g18813, g46725, g4503, g16605, g52968, g4417	Om004G132310
OG0000190	g40442	Om008G353940
OG0000191	g6928	Om005G197140
OG0000192	g50732, g27488	Om005G203440
OG0000195	g28899, g761	Om006G243060
OG0000195	g11258, g38152, g2056	Om008G328660
OG0000195	g18117	Om007G285150
OG0000197	g18526, g7663	Om008G330910, Om001G002150, Om004G163020
