Orthogroup	Cochlearia_excelsa	Conringia_planisiliqua
OG0000024	g45320, g32515	CP31_g46771_DN2_SP0_c.t1, CP25_g55808_DN2_SP0_c.t1, CP22_g17631_DN1_SP0_c.t1, CP6_g9314_DN1_SP0_c.t1, CP22_g17429_DN2_SP0_c.t1, CP6_g8243_DN1_SP0_c.t1, CP3_g16173_DN1_SP0_c.t1
OG0000024	g36076	CP12_g31107_DN1_SP0_c.t1
OG0000026	g17281, g33392, g4347, g50791, g25246, g46637	CP3_g15520_DN1_SP0_c.t1, CP12_g31501_DN2_SP0_c.t1
OG0000027	g43450	CP2_g48829_DN3_SP0_c.t1
OG0000027	g28294	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000027	g2269	CP3_g13494_DN2_SP0_c.t1
OG0000029	g30250, g22190, g28453, g13421, g8998, g26310, g29945, g30548, g38806, g8608, g9084, g30701, g9122, g48831, g29967, g8634, g30668, g16178, g36823, g26225, g26222, g43704, g4265, g4261, g27334, g29817, g13419, g27333, g46975, g4927, g46312, g4324, g3304, g41853, g35534, g53490, g11876, g35797, g48266, g6083, g35531, g12208, g41968, g49276, g4525, g37385, g6082, g45349, g35511, g42101, g17818, g37850, g28202, g31822, g37851	CP22_g17304_DN2_SP0_c.t1
OG0000029	g1672	CP29_g22076_DN3_SP0_c.t1
OG0000030	g31187	CP37_g11369_DN1_SP0_c.t1
OG0000030	g6307, g53556	CP6_g9916_DN1_SP0_c.t1
OG0000030	g14858	CP26_g51212_DN3_SP0_c.t1, CP6_g7834_DN1_SP0_c.t1
OG0000030	g30544, g8826	CP8_g52519_DN1_SP0_c.t1
OG0000030	g50559, g3768	CP15_g34874_DN3_SP0_c.t1
OG0000033	g23905, g23912, g40468	CP16_g55465_DN3_SP1_c.t1
OG0000034	g53562, g44911, g15119	CP6_g8131_DN3_SP0_c.t1
OG0000034	g15118, g44910	CP47_g21230_DN1_SP0_c.t1, CP47_g21257_DN2_SP0_c.t1, CP14_g23830_DN3_SP0_c.t1, CP1_g40470_DN3_SP0_c.t1
OG0000034	g42218, g42234, g34899, g15664, g3441, g9297, g15120	CP15_g35590_DN3_SP0_c.t1
OG0000035	g29294, g52064, g52069, g52073	CP9_g29505_DN2_SP0_c.t1
OG0000036	g23185, g33000, g49100, g41178, g43966	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1
OG0000037	g35468	CP1_g38897_DN1_SP0_c.t1, CP13_g20574_DN2_SP0_c.t1
OG0000037	g50425, g35466	CP3_g15633_DN2_SP0_c.t1
OG0000037	g5625	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1
OG0000037	g11495	CP15_g35754_DN1_SP0_c.t1
OG0000038	g1070	CP8_g53633_DN2_SP0_c.t1
OG0000038	g52037	CP10_g43042_DN1_SP0_c.t1
OG0000038	g44982, g44984, g44985, g7414	CP10_g43041_DN3_SP0_c.t1
OG0000040	g38367, g38376, g38372, g38380	CP11_g31940_DN3_SP0_c.t1
OG0000040	g44631	CP10_g43326_DN2_SP0_c.t1, CP13_g19590_DN2_SP0_c.t1
OG0000040	g13797, g13799	CP10_g43630_DN1_SP0_c.t1
OG0000041	g28599	CP17_g5856_DN1_SP0_c.t1
OG0000041	g36073	CP17_g5495_DN1_SP0_c.t1, CP9_g28010_DN1_SP0_c.t1, CP31_g46691_DN1_SP0_c.t1, CP23_g21573_DN1_SP0_c.t1, CP12_g31427_DN1_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1, CP14_g23437_DN2_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP1_g39140_DN2_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1
OG0000042	g12385	CP5_g2115_DN2_SP0_c.t1
OG0000042	g41631, g25133, g41632, g52948, g49021	CP11_g31841_DN1_SP0_c.t1, CP3_g14924_DN2_SP0_c.t1, CP5_g1518_DN1_SP0_c.t1, CP335_g34390_DN1_SP0_c.t1
OG0000042	g18621	CP13_g20255_DN1_SP0_c.t1
OG0000044	g33267	CP30_g10197_DN3_SP0_c.t1, CP1_g41420_DN3_SP0_c.t1
OG0000044	g11589, g26196	CP8_g52809_DN3_SP0_c.t1
OG0000045	g7244, g39351, g17718, g41293	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1, CP6_g7806_DN1_SP0_c.t1
OG0000045	g42618	CP6_g7550_DN1_SP0_c.t1
OG0000046	g46717	CP5_g1580_DN2_SP0_c.t1
OG0000046	g18042	CP9_g28234_DN3_SP0_c.t1
OG0000047	g4320, g7910	CP2_g50481_DN2_SP0_c.t1
OG0000047	g14490, g12581, g40040, g11557	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1
OG0000048	g4946, g4940, g29028, g29029	CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1
OG0000049	g43788, g43772, g13437, g45167, g147, g24813, g7666, g51916, g39805, g10790, g44228, g1493, g2502, g53420, g10267, g16671	CP12_g31464_DN1_SP0_c.t1, CP1_g39918_DN2_SP0_c.t1, CP1_g39386_DN1_SP0_c.t1
OG0000049	g19447	CP34_g51571_DN3_SP0_c.t1, CP12_g31463_DN1_SP0_c.t1, CP6_g9686_DN3_SP0_c.t1
OG0000049	g6205	CP2_g50310_DN2_SP0_c.t1
OG0000049	g4748, g12067	CP1_g41374_DN2_SP0_c.t1, CP1_g39385_DN3_SP0_c.t1
OG0000049	g12227	CP34_g51569_DN2_SP0_c.t1
OG0000049	g23452	CP14_g22619_DN2_SP0_c.t1
OG0000049	g46801, g43914, g49353, g11652, g21	CP1_g39384_DN1_SP0_c.t1
OG0000049	g46775, g28413, g14428, g45388, g13757, g29231, g6871, g32168, g24458, g6376, g43896, g4749, g12068, g44857, g3861, g36846, g23483, g47037, g18721, g11656, g27986, g5166, g50226, g12226, g46640, g41551, g45877	CP14_g23587_DN3_SP0_c.t1
OG0000049	g11828	CP2_g50284_DN2_SP0_c.t1
OG0000049	g49352, g32343	CP1_g39917_DN2_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1
OG0000049	g26642	CP2_g50796_DN1_SP0_c.t1
OG0000049	g19448	CP7_g44323_DN2_SP0_c.t1
OG0000049	g46641, g45389, g28412, g26640, g14427, g29232, g13756, g19458, g4881, g46776	CP3_g15154_DN3_SP0_c.t1, CP14_g23198_DN3_SP0_c.t1
OG0000050	g44326, g2819, g44187	CP18_g11588_DN2_SP0_c.t1
OG0000052	g37450	CP4_g24479_DN3_SP0_c.t1
OG0000053	g43705, g16122	CP12_g31611_DN2_SP0_c.t1
OG0000054	g9679, g35281, g34308, g35248, g9678	CP3_g15706_DN3_SP0_c.t1, CP3_g15691_DN3_SP0_c.t1
OG0000054	g43613, g52587, g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130, g35345, g4371	CP5_g2131_DN3_SP0_c.t1
OG0000055	g40901	CP2_g49031_DN3_SP0_c.t1
OG0000055	g40991	CP11_g31796_DN3_SP0_c.t1
OG0000057	g50182, g50184, g50186	CP10_g42516_DN3_SP0_c.t1
OG0000057	g27361, g5648	CP12_g30730_DN2_SP0_c.t1
OG0000058	g19665	CP5_g3337_DN1_SP0_c.t1
OG0000058	g50156, g182, g51073, g5874	CP21_g11182_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP5_g3335_DN2_SP0_c.t1
OG0000059	g6571	CP2_g50572_DN1_SP0_c.t1, CP6_g7965_DN2_SP0_c.t1, CP5_g3097_DN2_SP0_c.t1, CP20_g3928_DN2_SP0_c.t1, CP20_g4073_DN2_SP0_c.t1, CP20_g4091_DN1_SP0_c.t1
OG0000059	g43343	CP10_g44057_DN2_SP0_c.t1
OG0000059	g43390	CP18_g11921_DN3_SP0_c.t1, CP14_g22836_DN1_SP0_c.t1
OG0000059	g14202	CP50_g6564_DN3_SP0_c.t1
OG0000059	g39389, g39352	CP5_g3316_DN2_SP0_c.t1
OG0000061	g51097, g11499, g25472, g32592, g17431, g28656, g13832, g11373, g15781, g584, g45295, g49162, g11094, g32135, g50796, g25177, g4665, g33350, g1261, g46382, g48920, g25951, g1599, g17623, g48295, g35530, g34935, g4321, g1472, g41218, g50532, g36232, g45361, g6358, g6764, g3850, g7909, g53479, g3106, g35779, g24751, g11966, g51125, g10850, g14018, g41723, g36779, g31582, g40649, g43699	CP1_g40914_DN2_SP0_c.t1
OG0000063	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647	CP1_g37064_DN3_SP0_c.t1
OG0000065	g21237, g20503	CP9_g27570_DN1_SP0_c.t1
OG0000066	g45535, g29501, g9719	CP4_g25642_DN3_SP0_c.t1
OG0000066	g156	CP2_g49425_DN3_SP0_c.t1
OG0000069	g51830, g10672, g13435, g10819, g37685, g16623, g14359, g43051, g31936, g11177, g40367, g37837, g24092, g24404, g53393, g24808, g44257, g26746, g10624, g41852, g37235, g35439, g4931	CP5_g2097_DN2_SP0_c.t1
OG0000069	g41608	CP6_g8294_DN1_SP0_c.t1
OG0000069	g13794	CP8_g52571_DN1_SP0_c.t1
OG0000069	g4275, g25547, g38079	CP9_g29611_DN2_SP0_c.t1, CP8_g53134_DN1_SP0_c.t1
OG0000069	g36963	CP8_g53133_DN1_SP0_c.t1, CP4_g26011_DN1_SP0_c.t1, CP18_g11666_DN2_SP0_c.t1, CP29_g22116_DN2_SP0_c.t1
OG0000069	g17549, g12998	CP8_g52621_DN2_SP0_c.t1
OG0000070	g15856, g15924, g26036	CP9_g27907_DN2_SP0_c.t1
OG0000070	g42778	CP24_g47422_DN2_SP0_c.t1
OG0000073	g18482	CP13_g20691_DN1_SP0_c.t1
OG0000074	g50301	CP7_g45419_DN3_SP0_c.t1
OG0000075	g49834, g49840, g49829	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1
OG0000076	g36515	CP7_g44259_DN3_SP0_c.t1
OG0000076	g19225	CP3_g14092_DN3_SP0_c.t1
OG0000076	g10535	CP13_g19766_DN3_SP0_c.t1
OG0000078	g32727, g44450, g24957	CP5_g2099_DN3_SP0_c.t1
OG0000081	g36469	CP8_g53130_DN2_SP0_c.t1
OG0000081	g6399	CP7_g45047_DN1_SP0_c.t1
OG0000081	g13268	CP20_g4332_DN1_SP0_c.t1
OG0000082	g20916, g29940, g2519	CP18_g12600_DN2_SP0_c.t1
OG0000082	g17872, g19303	CP4_g26212_DN3_SP0_c.t1
OG0000082	g52877, g26306	CP29_g22172_DN2_SP0_c.t1, CP29_g22188_DN2_SP0_c.t1, CP20_g3823_DN2_SP0_c.t1, CP29_g22187_DN1_SP0_c.t1
OG0000082	g36211, g54030	CP14_g22602_DN1_SP0_c.t1
OG0000082	g6230, g2898	CP24_g47338_DN2_SP0_c.t1
OG0000082	g7127, g18239	CP20_g3822_DN2_SP0_c.t1, CP5_g1772_DN1_SP0_c.t1, CP8_g52192_DN2_SP0_c.t1
OG0000083	g46885	CP22_g17376_DN1_SP0_c.t1
OG0000084	g51024	CP16_g55163_DN2_SP0_c.t1
OG0000085	g6225, g11811	CP29_g22117_DN1_SP0_c.t1
OG0000085	g22798, g27140, g51223, g23925, g9976, g44428, g45095	CP29_g22118_DN1_SP0_c.t1
OG0000085	g45986, g16819, g33053, g33047, g32349	CP7_g44433_DN3_SP0_c.t1
OG0000085	g45065	CP14_g22980_DN1_SP0_c.t1
OG0000085	g35064, g2142, g24601, g4079, g52808, g53049, g32660, g2312, g7031, g28845, g47102, g28846	CP26_g51222_DN2_SP0_c.t1
OG0000087	g9991	CP2_g48308_DN3_SP8_c.t1
OG0000087	g9845, g2817, g339	CP2_g48035_DN3_SP7_c.t1
OG0000087	g5316	CP11_g32707_DN3_SP8_c.t1
OG0000087	g40485, g11055	CP13_g20168_DN3_SP8_c.t1
OG0000087	g17371, g24042	CP6_g6768_DN3_SP8_c.t1
OG0000087	g46232	CP9_g29223_DN3_SP8_c.t1
OG0000090	g50123	CP7_g45746_DN3_SP0_c.t1
OG0000090	g10675	CP17_g5790_DN3_SP0_c.t1
OG0000093	g2360	CP3_g13515_DN3_SP0_c.t1
OG0000096	g1538, g1535	CP2_g49683_DN2_SP0_c.t1, CP13_g19516_DN3_SP0_c.t1
OG0000096	g18473	CP13_g20085_DN3_SP0_c.t1
OG0000096	g44008, g44009, g44007	CP2_g49677_DN1_SP0_c.t1
OG0000098	g49817	CP1_g37532_DN1_SP0_c.t1
OG0000100	g17260, g37826	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1
OG0000100	g49149, g32974, g38499	CP8_g52256_DN3_SP0_c.t1
OG0000102	g2701, g43502, g42120, g25862	CP33_g3650_DN2_SP0_c.t1, CP9_g27438_DN1_SP0_c.t1, CP15_g36115_DN1_SP0_c.t1, CP4_g26224_DN1_SP0_c.t1, CP6_g9672_DN2_SP0_c.t1
OG0000102	g19531, g12637	CP3_g16301_DN3_SP0_c.t1
OG0000102	g42271	CP1_g41013_DN1_SP0_c.t1
OG0000102	g19357	CP3_g15363_DN1_SP0_c.t1
OG0000102	g4524	CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1
OG0000102	g53004, g12636	CP15_g34932_DN2_SP0_c.t1
OG0000102	g24835, g4478	CP3_g16302_DN1_SP0_c.t1
OG0000102	g40702, g34414	CP12_g31118_DN1_SP0_c.t1, CP13_g20642_DN2_SP0_c.t1
OG0000102	g17168, g37872	CP6_g8261_DN3_SP0_c.t1, CP14_g23887_DN2_SP0_c.t1
OG0000102	g31405	CP3_g15487_DN2_SP0_c.t1
OG0000102	g37180, g40701	CP4_g26203_DN2_SP0_c.t1
OG0000102	g53170, g14688	CP4_g26799_DN1_SP0_c.t1
OG0000102	g51982	CP14_g23888_DN2_SP0_c.t1
OG0000102	g14689, g53169	CP12_g31694_DN2_SP0_c.t1, CP13_g20643_DN1_SP0_c.t1, CP4_g26798_DN1_SP0_c.t1, CP3_g16300_DN1_SP0_c.t1, CP4_g26225_DN1_SP0_c.t1
OG0000104	g51118	CP4_g25846_DN3_SP0_c.t1
OG0000105	g42819	CP1_g40642_DN2_SP0_c.t1
OG0000106	g49764	CP6_g7572_DN1_SP0_c.t1
OG0000106	g6393	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1
OG0000109	g43843	CP18_g12074_DN1_SP0_c.t1
OG0000110	g2009	CP3_g13458_DN3_SP0_c.t1
OG0000110	g18900	CP6_g7942_DN3_SP0_c.t1
OG0000113	g54287	CP20_g4043_DN3_SP0_c.t1, CP2_g50540_DN2_SP0_c.t1, CP2_g49355_DN1_SP0_c.t1
OG0000113	g14463	CP20_g4448_DN2_SP0_c.t1
OG0000113	g11211	CP12_g31635_DN1_SP0_c.t1
OG0000114	g18420	CP12_g31654_DN3_SP0_c.t1
OG0000115	g39955, g27065, g42081	CP2_g49800_DN1_SP0_c.t1
OG0000117	g16020, g11688, g26091, g32213	CP23_g21369_DN1_SP0_c.t1
OG0000117	g14426	CP94_g6387_DN3_SP0_c.t1
OG0000117	g3736	CP1_g40571_DN3_SP0_c.t1
OG0000117	g53309	CP22_g17718_DN3_SP0_c.t1
OG0000117	g11486, g4476, g24837	CP14_g23878_DN3_SP0_c.t1, CP13_g20759_DN2_SP0_c.t1
OG0000117	g46165, g23756	CP14_g23890_DN3_SP0_c.t1
OG0000117	g3226	CP3_g15485_DN3_SP0_c.t1, CP15_g36117_DN3_SP0_c.t1
OG0000117	g42576	CP6_g7639_DN2_SP0_c.t1
OG0000117	g39474	CP22_g17338_DN1_SP0_c.t1, CP12_g31607_DN1_SP0_c.t1
OG0000117	g34382, g32908	CP17_g5842_DN2_SP0_c.t1
