Orthogroup	Cochlearia_excelsa	Erysimum_linariifolium
OG0000015	g53814, g16594, g16764, g14880, g952, g32985, g12170, g24863	El001G070750
OG0000015	g35813, g36776, g26230, g26256, g43592, g5557	El003G167160
OG0000015	g3313, g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567, g15603, g23354, g2748, g31975	El060G376140, El053G375740
OG0000015	g10054	El001G079510
OG0000015	g28764, g14677, g6769, g4758, g26125, g35711, g35700	El001G047930
OG0000017	g3669, g48346, g48867	El007G356670
OG0000017	g14557, g17020, g39315	El004G210020
OG0000018	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069	El003G154150, El006G318220, El001G007900, El001G053230
OG0000018	g14567, g33125, g25750	El001G045850, El001G048290
OG0000019	g41576	El002G122780
OG0000019	g4839	El006G281410
OG0000019	g16592, g1020, g46208, g40680, g40322, g46628, g9756	El004G213790
OG0000019	g2481	El007G351400
OG0000020	g49592	El003G191190
OG0000020	g25930, g51375	El002G120700, El006G296260
OG0000020	g35282, g34309, g41784	El005G264160
OG0000020	g7451	El001G045330, El001G045300, El001G045270
OG0000021	g6810	El006G317330
OG0000021	g49020, g50933, g50080, g51436, g35680, g25137, g25135	El001G064400
OG0000021	g25134, g41636, g35681, g14225	El001G063330, El006G289540
OG0000021	g40050, g47160, g49473, g26165	El002G141120
OG0000021	g3713, g24107	El005G277430, El007G325630
OG0000021	g3725, g24106, g46643	El001G045050
OG0000023	g47441	El007G357800
OG0000023	g23907, g24643	El003G162130
OG0000024	g45320, g32515	El006G293740, El007G351440, El002G140900
OG0000026	g17281, g33392, g4347, g50791, g25246, g46637	El003G164110, El005G264370, El003G183480
OG0000027	g43469	El002G120570, El001G054130, El006G316890, El006G314010
OG0000027	g28294	El002G117730
OG0000027	g2269	El001G029050, El001G025570
OG0000029	g13421, g8998, g26310, g29945, g30548, g38806, g8608, g9084, g30701, g9122, g48831, g29967, g8634, g30668	El001G031910
OG0000029	g29817	El006G302870, El002G125750, El008G368530
OG0000029	g41853	El008G371400, El008G371420, El008G371370, El008G371360
OG0000029	g48266, g6083	El001G044810
OG0000029	g4525, g37385, g6082	El001G046730
OG0000029	g17776	El007G356090
OG0000029	g26120, g17775, g52907	El003G165930, El002G089750
OG0000029	g1672	El006G307470
OG0000030	g40103	El007G358700
OG0000030	g6175, g48553, g8527, g41465, g35926	El008G371380, El007G349640
OG0000030	g31187	El003G181950
OG0000030	g37182, g14858	El002G130810
OG0000030	g30544, g8826	El003G181970
OG0000030	g8825, g44522, g52187, g7355	El003G181960
OG0000030	g43791, g44909	El004G207450
OG0000031	g40889	El004G197790, El004G197660
OG0000031	g40881, g40949, g40859, g40857, g40951, g6403, g40794	El007G349520
OG0000031	g13269	El005G253470
OG0000031	g17118	El003G157520
OG0000033	g23911	El003G162140, El003G162150
OG0000033	g40468	El001G012200, El001G004730
OG0000034	g53562	El004G208110
OG0000034	g44911, g15119	El007G350680
OG0000034	g15118, g44910	El001G041330
OG0000034	g15664, g3441, g9297	El003G149900, El001G048010
OG0000034	g15120	El006G311550
OG0000036	g23185, g33000	El006G309110
OG0000037	g2521	El005G262630
OG0000037	g10538	El005G272610
OG0000037	g2899, g31725	El006G315350
OG0000037	g24763, g47054, g2374	El001G053830
OG0000037	g5625	El004G202640
OG0000038	g24239	El001G019410
OG0000038	g1070	El007G341120
OG0000039	g53808	El004G212610
OG0000040	g38367, g38376, g38372, g38380	El003G181190, El002G112730, El002G112290, El006G296490, El006G297130, El007G346320
OG0000040	g44631	El005G250150
OG0000041	g36073	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060
OG0000042	g26735, g12385	El003G192700
OG0000042	g41631, g25133, g41632, g52948, g49021	El006G318460
OG0000042	g3973, g3980	El002G113220
OG0000043	g46983, g27937	El006G310090
OG0000043	g53889, g53885, g42037, g14337, g24011, g3506, g47231, g4564, g25886, g53199, g35810, g14843, g18028, g11564, g50989, g18002, g30257, g34533, g34524, g33040	El007G350700
OG0000044	g33267	El002G124130
OG0000044	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931	El007G360870
OG0000045	g7244, g39351, g17718, g41293	El005G249570, El003G188840, El005G264730
OG0000045	g42618	El006G320830
OG0000046	g46717	El003G188710
OG0000046	g18113	El003G187000, El003G186990
OG0000046	g46719	El004G216620
OG0000046	g44951	El004G216790
OG0000046	g18042	El004G216850, El004G216660
OG0000047	g3851	El002G123400
OG0000047	g51242	El005G264350
OG0000049	g4748, g12067	El003G185390
OG0000049	g46801, g43914, g49353, g11652, g21	El001G020690
OG0000049	g23029	El007G333450
OG0000052	g37450	El006G286580
OG0000057	g50182, g50184, g50186	El001G001400, El003G174270, El003G172630, El003G172690, El005G254800
OG0000057	g48153, g33319, g33329, g48170, g15766, g33340	El005G276600, El005G276550
OG0000058	g19665	El001G046460
OG0000061	g11094, g32135, g50796, g25177	El006G308960, El006G308930, El002G121930
OG0000062	g32823, g13726, g11246, g41835	El003G186180, El004G203440, El004G203430
OG0000063	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647	El001G024380
OG0000065	g8443	El003G166430, El007G349160
OG0000066	g5393	El003G143700, El001G070920, El003G143690, El004G228220, El004G228230, El002G122920
OG0000066	g45535, g29501, g9719	El001G071590, El001G071600
OG0000066	g156	El007G324780
OG0000069	g51830	El004G215380, El003G183250
OG0000069	g10672, g13435, g10819, g37685, g16623, g14359, g43051, g31936, g11177, g40367, g37837, g24092, g24404, g53393	El001G064640
OG0000070	g15856, g15924, g26036	El002G125720
OG0000070	g30429, g30434, g34722, g20467, g25157, g21277	El007G351510
OG0000071	g36375, g47125, g4591, g36881	El003G161900, El007G348480
OG0000071	g27012	El004G223960, El004G222550
OG0000072	g33477, g30198	El005G263040, El005G262970, El004G210970, El005G264060
OG0000073	g10944	El007G355990
OG0000074	g50301	El002G108920
OG0000074	g27549, g27550	El002G109030
OG0000075	g5026	El001G065030, El001G025110
OG0000076	g19225	El001G023080
OG0000077	g25975, g22716	El003G143090
OG0000078	g46791, g24881	El008G368270, El008G368260
OG0000080	g41322	El002G131320, El002G131270
OG0000080	g23667	El003G157200
OG0000080	g50013, g23668	El001G043770, El001G041340
OG0000081	g18040	El001G062660
OG0000082	g17872, g19303	El005G264460
OG0000082	g26708, g39275, g52877, g26306, g36211, g54030, g53006, g31724, g7128, g51169, g6230, g2898, g11611, g1797, g53973, g6076, g24927, g11608, g35734, g29175, g26079, g24764, g753	El004G212430
OG0000083	g46885	El005G262880, El005G263710, El005G263680, El005G263720, El005G262910
OG0000083	g7705	El005G271260, El005G271250, El005G271160, El005G265390
OG0000084	g51024	El006G313950
OG0000085	g45065	El005G263080
OG0000085	g17068, g32641, g23586, g17797, g646	El005G261930
OG0000087	g9991	El001G018640, El001G056180
OG0000087	g9845, g2817, g339	El007G327940
OG0000087	g5316	El001G069260
OG0000087	g40485, g11055	El007G360740
OG0000087	g17371, g24042	El003G165170
OG0000087	g46232	El002G104330, El004G228430
OG0000088	g11453	El007G357210
OG0000088	g46886	El001G016960
OG0000088	g28933, g28934	El001G059590
OG0000089	g29544	El001G072250
OG0000089	g13323, g11989	El005G256100, El002G133200
OG0000089	g52029	El006G287060
OG0000089	g2333	El006G292700
OG0000090	g50123	El002G104490, El003G181590
OG0000090	g46242	El004G228750
OG0000090	g10675	El001G031660, El003G147970, El001G038160, El001G038170, El001G049400, El001G038180, El002G093200
OG0000091	g3977	El004G215550
OG0000093	g18958	El001G029840
OG0000096	g1538, g1535	El004G205300, El001G038300, El001G038380, El001G038370
OG0000096	g18473	El007G361830
OG0000097	g45186, g45201	El001G004470
OG0000097	g40477, g40479, g40476, g40480, g1561	El001G004380, El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890
OG0000099	g24889	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930
OG0000100	g17260, g37826	El006G312970
OG0000100	g49149, g32974	El001G030500
OG0000101	g13563	El004G195800
OG0000102	g36431, g4524, g53004, g12636, g24835, g4478, g40702, g34414	El006G302470
OG0000102	g37180, g40701, g53170, g14688	El007G357340
OG0000104	g31072	El002G090170
OG0000104	g54244, g54237, g54238	El002G136360
OG0000105	g43456	El027G373450
OG0000106	g6393	El006G306450, El005G269060, El005G269030, El005G268940
OG0000107	g11936	El005G257790, El005G257800
OG0000107	g6757	El005G257840
OG0000107	g13346	El007G362890
OG0000109	g43843	El001G018880
OG0000110	g2009	El001G030790
OG0000112	g1342	El007G342990
OG0000113	g54287	El007G357330, El050G375440, El007G365010, El007G356050
OG0000113	g17560	El003G170190
OG0000113	g11211	El002G128690
OG0000114	g17433	El004G213600
OG0000114	g18420	El004G206200, El004G206180, El004G205940, El004G206220, El002G128610, El003G187140
OG0000115	g42081	El001G079740, El006G310420
OG0000117	g53168	El002G130220
OG0000117	g14426	El005G253090
OG0000117	g46165, g23756, g3226, g42576, g43638, g39474	El001G016830
OG0000118	g37032, g50081	El003G186910, El001G022390, El006G313980, El006G314430, El001G000890, El004G214040
OG0000118	g14347, g14348, g14394, g45220, g45247	El001G001700, El001G001530
OG0000118	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930
OG0000119	g50178	El002G124220
OG0000120	g40996	El004G200260
OG0000120	g6424	El007G345250, El007G346140, El006G307860
OG0000120	g32414, g29781	El001G077920
OG0000123	g25904	El001G013920
OG0000123	g25912	El003G177660
OG0000125	g19182	El001G024280
OG0000125	g41348	El001G057350
OG0000125	g2919, g1294, g28781	El001G015040, El007G331030, El001G015130
OG0000125	g39998	El006G304720
OG0000127	g7513, g49766	El001G001730
OG0000128	g26382	El003G178890
OG0000129	g4526, g26706, g4684, g11032, g26785, g24533, g54350, g32853, g17644, g52103, g27870, g4667, g18265, g52232, g27388, g6863, g11123, g6327, g23862, g47169, g27185, g24485, g3423	El001G046120
OG0000130	g34628	El002G120060
OG0000131	g32639, g6351, g24938, g14468, g28182, g27531, g15993	El006G311530
OG0000132	g26228	El005G264210
OG0000133	g19947, g43640, g35382, g42719, g43495	El005G265050
OG0000133	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132	El001G044680
OG0000133	g35623, g52434	El003G179450
OG0000135	g4028, g51256, g14066, g27772	El007G346110
OG0000136	g43995, g46769, g46768, g46770	El004G209050, El004G209110
OG0000136	g14687	El003G186490, El003G186500
OG0000136	g25040, g25067	El007G355150, El007G356600
OG0000138	g47540, g51162	El004G229780
OG0000138	g46708	El006G314590
OG0000138	g10345	El001G045840
OG0000138	g10340	El001G045810, El001G045830
OG0000139	g25175	El007G349680, El003G179680
OG0000140	g19536	El001G016160
OG0000140	g1248	El007G332020
OG0000140	g28714	El007G332560, El007G332570, El007G332540
OG0000140	g1252, g28702, g28701	El007G332010, El007G332000
OG0000142	g37876, g37875	El006G303780
OG0000142	g51155, g51154, g51130, g51156	El006G301970, El006G301960
OG0000144	g32634, g26627, g450	El007G344160
OG0000144	g41746	El006G293730
OG0000145	g45298	El001G032500
OG0000146	g1010	El007G336800
OG0000146	g1011	El007G336790
OG0000146	g1009	El002G123110
OG0000147	g5985	El005G277400
OG0000147	g23426	El003G152940
OG0000147	g1105	El007G334350
OG0000147	g46563	El004G233720
OG0000147	g11547	El001G047010
OG0000147	g6339	El005G271430
OG0000147	g50994	El006G316840
OG0000149	g2887	El001G015560
OG0000149	g17375	El006G308870
OG0000150	g11441, g11440	El001G011280
OG0000151	g915, g28415	El007G339860
OG0000151	g17072	El003G156070
OG0000151	g7540	El005G243780
OG0000151	g14078	El005G273960
OG0000151	g28546	El007G336000
OG0000152	g22192, g30253, g4143	El003G177030
OG0000154	g7492	El005G244620
OG0000155	g47372	El003G164690
OG0000155	g7340	El005G247790
OG0000156	g2799	El006G282870
OG0000156	g52257	El006G282820, El007G349010
OG0000156	g52256	El002G121590, El006G282830
OG0000160	g49147, g47671, g45898, g31367, g7023, g36380, g52886, g25655, g34541, g2884	El002G123370, El007G360530
OG0000160	g38501, g6015, g7845	El004G209900
OG0000160	g11388	El007G331560
OG0000160	g26266, g4572	El005G275910, El001G047250
OG0000160	g48335	El002G105420
OG0000160	g36270, g12262, g7846	El007G347580
OG0000160	g49667	El004G202080
OG0000162	g26821	El007G330500
OG0000164	g14196, g38017, g38015, g38013, g38019, g32493	El003G166760, El003G166780
OG0000164	g22735	El001G048350
OG0000167	g24121	El003G166330
OG0000167	g24122	El003G186190
OG0000167	g17408	El003G186120
OG0000168	g32875, g13785, g54170, g21470	El004G196900
OG0000168	g52812, g14239, g2655, g12346, g13436, g43389	El007G366060, El007G366100
OG0000168	g25582, g6463	El006G293350, El004G205010
OG0000169	g46162	El006G309550
OG0000171	g45857	El004G222060, El002G108810
OG0000171	g5177	El004G201030
OG0000171	g29297	El001G066810
OG0000174	g26585, g53787, g43917, g3544	El005G261670
OG0000175	g18237	El005G275350
OG0000175	g47947	El003G146230
OG0000176	g27714	El002G117480
OG0000178	g50828, g25935, g6093, g32581	El007G324860, El003G162340, El003G181530, El003G168850, El006G304410
OG0000178	g54041, g13306, g2114, g43527, g43534, g43530, g38190	El001G013310
OG0000178	g9695, g823, g53495	El004G208000
OG0000178	g36920, g49526, g53614, g23518, g17258, g37824	El001G047610
OG0000178	g12602, g23535, g6014	El007G347590
OG0000178	g41487, g54206	El007G330330
OG0000178	g3844, g12585, g50586	El001G040000, El004G215500, El006G292960, El001G025380, El002G095060, El004G206380, El003G161220
OG0000178	g31229, g24493	El006G320140, El002G119260, El006G311520, El001G039840
OG0000178	g36271, g17574	El001G011070, El003G153080
OG0000180	g13531	El004G196870, El004G196830, El007G342850
OG0000183	g45042	El002G109930, El002G097230, El003G174400, El002G139010, El002G135320
OG0000183	g6570	El004G227200
OG0000183	g11496, g11193	El006G283640
OG0000185	g40049, g47161, g26166	El004G210290
OG0000185	g35118, g49472, g24428	El001G013560
OG0000185	g49019	El001G037380, El004G194470
OG0000187	g35037	El003G151270
OG0000188	g52805	El006G315250, El001G033320
OG0000188	g14562, g41865, g26137, g4502, g22182, g30244, g28957, g53428, g53804, g33380, g25805, g16452, g35452, g53324	El003G153830
OG0000188	g35585, g32834, g53191	El008G369860
OG0000190	g40442	El001G005540
OG0000190	g45169	El001G005460
OG0000190	g45158	El001G005500
OG0000190	g45173	El001G005510
OG0000192	g50732, g27488	El002G105660
OG0000192	g50736	El002G105580
OG0000195	g40143	El006G308260
OG0000195	g18117	El003G186220, El004G215670
OG0000196	g27686	El002G116380
OG0000196	g32383	El002G115030
OG0000197	g18526, g7663	El005G275730, El005G275770, El005G276170
OG0000197	g27764, g39817	El003G190970, El003G190840
OG0000200	g27759, g27721	El002G119250
OG0000201	g6534, g11758	El005G260650, El005G260640
OG0000201	g17326, g17323, g17324, g17327, g17336, g17334, g17322, g17332	El005G260660, El005G260680, El005G260670
OG0000201	g11846	El005G260820, El005G260710
OG0000202	g27177	El005G261620, El005G261760
OG0000202	g10880	El005G261630
OG0000204	g11805	El005G261570
OG0000204	g36933	El005G259630
OG0000205	g32507	El005G273080
OG0000205	g53988	El002G129620, El002G129730, El002G129760, El002G129780, El002G129740, El002G129710, El002G129660, El002G129670, El002G129810, El002G129530, El002G129560, El002G129650, El002G129890, El002G129930, El002G129520, El002G129550, El002G129510
OG0000208	g24958	El002G130450
OG0000208	g18133	El001G042580
OG0000208	g6217, g6207	El006G317590, El003G150670
OG0000209	g40830	El004G194580
OG0000210	g28290	El005G269850
OG0000213	g46059, g46056	El004G225470, El004G225480
OG0000213	g7432	El005G245790
OG0000213	g28220	El006G319110
OG0000213	g38464	El006G319100
OG0000214	g36825, g36830	El001G033600
OG0000215	g24969	El003G178880
OG0000215	g50354, g44893, g26974, g2036, g10328, g1428, g53274	El002G117130
OG0000216	g53737	El003G163460, El003G163490
OG0000217	g31539, g1718	El004G203150, El004G202950, El004G203070
OG0000218	g31564	El002G099000
OG0000218	g49926	El002G099030, El002G099010
OG0000218	g10793	El001G036390
OG0000219	g13335, g45479, g28368	El004G216370
OG0000219	g311	El007G327350
OG0000219	g18634	El007G339360
OG0000221	g26609	El007G343790
OG0000221	g52806	El008G369870
OG0000221	g22946, g6183, g17356	El001G033310
OG0000224	g46370	El004G230590
OG0000224	g40852	El005G267900, El004G196560, El004G196620, El004G196600
OG0000225	g27682	El002G115470, El002G115510
OG0000226	g32332, g32334, g32337	El005G257020
OG0000226	g11864	El003G167740, El003G167670, El003G167790
OG0000226	g35799	El002G110920
OG0000228	g32057	El001G048740, El001G048760
OG0000231	g46733	El003G188200
OG0000234	g19127	El001G026000
OG0000234	g19128	El001G025990
OG0000234	g2235	El001G025980
OG0000234	g51765	El006G290620
OG0000234	g29346	El001G068080
OG0000237	g33179, g33208	El005G266480, El003G180350
OG0000238	g32890, g4077, g7032, g2311	El006G319450
OG0000240	g24726	El001G011020
OG0000242	g14272, g6162	El005G272850
OG0000242	g31494	El002G097950
OG0000242	g31496, g31497, g31498, g31499	El002G097970
OG0000244	g17320	El003G163990, El001G005180, El003G164310, El003G164000, El003G164280, El001G005170, El001G005160
OG0000246	g51552, g10029, g41167, g13593, g1277, g16239, g50071, g24810, g1215, g23574, g46331, g45078, g2997, g51381, g53918, g10469, g10577, g35186, g10139, g6497, g7916, g28232, g45392, g2408, g135, g53919, g41344, g11012, g23429, g47392, g22813, g23046, g46254, g37671, g39420, g31426, g46534, g2078, g43908, g41124, g41775, g43926, g25863, g3770, g17422, g3843, g52261, g11937, g26779, g26027, g6323, g35239, g42930, g26018, g25834, g52571, g17747, g6324, g42932, g25833, g6325	El007G366210
OG0000248	g41086, g41090, g41083	El004G205450
OG0000249	g43114	El001G008040
OG0000249	g37185	El001G010190, El001G010200
OG0000253	g30425, g30424, g30421, g30418, g21279, g20461	El005G262180
OG0000253	g33206	El007G351460
OG0000254	g1607	El002G133750, El002G133740, El002G133770, El002G133780, El006G290360, El006G289630, El001G046370, El004G220180, El001G033560, El004G219930, El006G289430
OG0000256	g51896, g51897	El002G127370, El007G348390, El007G354980, El007G348590, El007G348510, El007G348440, El007G348630, El007G348410, El007G348460
OG0000256	g51887	El006G315200, El006G315100, El006G315180, El006G315190, El006G315090, El006G315110, El006G315230
OG0000257	g48005	El003G190500
OG0000258	g39309	El007G334450
OG0000258	g16641	El001G040670
OG0000261	g53714, g14389	El003G172830, El007G338290, El003G149370, El007G343030, El003G186040
OG0000264	g25493	El001G003610
OG0000264	g40712	El001G003650
OG0000266	g11014, g40790	El001G005860, El002G136470, El004G205750
OG0000268	g1514	El001G037050
OG0000268	g45297	El001G081300
OG0000268	g19165	El001G024850
OG0000270	g23060, g18216, g18323	El005G273730
OG0000271	g25541	El001G004610, El001G004620
OG0000272	g52239	El003G153700
OG0000274	g28758	El007G331270
OG0000274	g2936, g2910	El001G015380
OG0000274	g39974	El006G303380, El006G303400
OG0000276	g17631	El003G165590
OG0000277	g47115	El003G172500, El003G172490
OG0000277	g17643	El003G172510
OG0000278	g10751, g26081, g26058	El007G332310, El007G332260
OG0000279	g35399, g45089, g11046, g53522	El006G309180
OG0000280	g38418, g13780, g13779, g35954, g40910, g27822, g34932, g28520, g28738, g45012, g1417, g27784, g24540, g18154, g25731, g10437, g23746, g45214, g51852, g17061, g13198, g54330, g26144, g32501, g40907, g3101, g14275	El002G123550
OG0000280	g6911, g3091, g34941, g53473, g49339, g12351, g14062, g11985	El006G320040
OG0000281	g36419	El001G040170, El002G134210, El002G134220
OG0000282	g5538	El001G074240
OG0000282	g45483	El001G074210
OG0000282	g29622	El001G074200, El001G074190
OG0000283	g11114, g11113, g39732	El007G358950, El007G358900, El007G358940, El007G358910
OG0000284	g10112	El001G051110
OG0000284	g12521	El001G010020, El005G240890, El007G347650
OG0000287	g13375	El005G258990, El005G259000, El005G259010
OG0000287	g13376	El005G259030
OG0000290	g11997	El005G255960
OG0000290	g16860	El007G324830
OG0000294	g6947	El005G254320
OG0000294	g39522, g25429	El001G002070
OG0000294	g26892	El002G084190
OG0000295	g12173, g12193, g12167, g12172	El005G250990, El004G213700, El004G213760
OG0000297	g41326	El007G330520
OG0000298	g34492	El005G279100, El005G276710
OG0000299	g27806	El004G215990
OG0000300	g13574, g6349	El005G270370, El005G270380
OG0000300	g51227	El002G126770, El005G270360, El001G016940
OG0000300	g53214, g52576, g53200, g11641	El005G270320, El006G312490
OG0000303	g14940	El004G204690, El001G012020
OG0000303	g20406, g21339	El002G128090
OG0000304	g40529, g40528, g40527	El001G037860, El002G117260
OG0000305	g35570, g48269	El007G348050
OG0000305	g11714, g36309, g41674, g35033, g35914, g24891, g36256, g22612, g8723, g35179, g4978, g8221, g53432, g14261, g11489, g26043, g43325, g681, g24382, g53856, g36863, g35310, g35180, g1725, g14866, g15565, g46617, g36308, g26275, g3099, g14634, g4432, g26044, g35034, g43324, g14621, g14865, g15566, g26276, g11794, g35998, g35872, g28956, g46616, g14635, g36310, g680, g34704, g8722, g8220, g34355, g4410, g35178, g8232, g8732, g43057, g22613, g35913, g53431, g35035, g14620, g14864, g15567, g36255, g53430, g51818, g16345, g51819, g28955, g682, g24587, g4423, g34703, g4409, g28251, g37815	El003G176400
OG0000310	g19547, g28753	El002G106070, El007G331450
OG0000310	g41320, g28797, g28774, g28802, g859	El005G269120, El005G267120
OG0000311	g45737	El001G064420
OG0000311	g36325	El002G132070
OG0000311	g6918, g13293	El005G254740
OG0000311	g45009	El004G215340
OG0000313	g17626	El003G165600
OG0000314	g26947, g49462	El002G086800
OG0000314	g51309	El006G299440
OG0000314	g30904	El002G086810
OG0000314	g51329	El006G298930
OG0000319	g28817, g849, g41323, g31094, g49601, g27017	El002G090600, El002G090610, El007G330560
OG0000321	g14307	El003G185760, El003G185810
OG0000321	g46827, g46812	El003G185430, El003G181320
OG0000322	g46450	El004G231760
OG0000322	g50458	El002G129460
OG0000322	g51878, g53520	El006G289270, El006G309790, El006G309860, El002G125390
OG0000324	g32873, g54300, g26198, g3280, g32999, g23186, g49511, g22605, g3645, g4167, g24937, g14390	El007G355120
OG0000325	g11614	El004G205680, El005G236050
OG0000327	g11293, g11292, g11294	El001G043800, El001G043810, El001G039020, El001G025360, El001G025350, El001G025370
OG0000328	g24521, g24516, g24520	El003G174750
OG0000328	g46723	El003G188550
OG0000330	g1956	El001G031830, El001G031690, El001G031810, El001G031820, El006G283270, El001G031680
OG0000331	g33150	El004G210400
OG0000332	g41419	El001G060380, El001G060390
OG0000332	g54159	El002G134240
