Orthogroup	Cochlearia_excelsa	Arabidopsis_lyrata_Rawat
OG0000004	g42097, g41297, g24112, g31979, g17136, g25958, g25963, g36901, g52887, g2537, g48210, g53103, g41102, g52585, g51512, g35331, g17773, g42634, g39612, g1968, g10247, g52913, g10640, g36272, g53835, g11809, g16248, g25088, g34228, g25325, g35012, g43391, g51567, g39820, g53930, g25678, g32406, g30140, g42743, g43491, g46292, g5096, g22548, g39581, g13962, g36499, g42759, g10639, g27558, g45059, g29019, g28838, g26174, g47720, g23412, g53102, g25957, g25962, g53418, g4285, g41471, g53645, g14079, g48508, g20088, g38441, g18608, g25306, g42226, g42241, g42207, g37556, g16487, g3215, g24517, g26840, g25601, g54046, g36858, g4615, g36408, g23455, g43652, g3086, g24113, g70	AL1G48610, AL8G30500
OG0000005	g9848, g44251	AL8G14160, AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360, AL6G10570
OG0000005	g10943, g48006	AL2G12600
OG0000005	g22013	AL4G10690
OG0000005	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090	AL251U10020, AL3G32130
OG0000005	g35969	AL3G41770, AL8G42570
OG0000005	g10582	AL4G10500, AL6G49130
OG0000005	g4402	AL7G37950
OG0000006	g4033, g47006	AL5G15300
OG0000006	g4635	AL8G17620, AL8G24640
OG0000006	g40547	AL4G24120
OG0000007	g26700	AL5G18640
OG0000007	g37890	AL1G43930
OG0000007	g32529, g4407, g31989, g13935, g14625, g51108, g47070, g1710, g16965, g1635, g23387, g43826, g49581, g17148, g14904, g12767, g557, g47735, g14365, g14626, g1711, g39880, g3316	AL2G19310
OG0000007	g25323, g24433, g4497, g26082, g34709, g48927	AL4G39790
OG0000007	g4482, g23875	AL7G44730
OG0000008	g25873	AL6G44830
OG0000008	g34273, g35255	AL877U10020, AL8G22780
OG0000008	g43762, g4391, g33124, g29630, g27680	AL8G21520, AL5G24310, AL3G40710, AL1G45690, AL5G20410, AL4G18090, AL2G19610, AL6G46960, AL3G44870, AL2G22310, AL4G13380, AL3G52160
OG0000010	g26675, g32792	AL4G20510
OG0000010	g45670, g48960	AL8G23060
OG0000010	g4530	AL2G20440
OG0000010	g42980, g43765, g53952, g52317, g42680, g43944, g4140, g14831, g34423, g35491, g35669, g35087, g35755, g18651, g26611, g4943, g52427, g52674, g21529, g41485, g33235, g36341, g8788, g16258, g52347, g35846, g35744, g30444, g14379, g42953, g14356, g14384, g52404, g17805, g25898, g25814, g30464, g35692, g16617, g9281, g32574, g26347, g32793, g35940, g14826, g7994, g49794, g8736, g4606, g33305, g14815, g34293, g14527, g14496, g14517, g14547, g14537, g11187, g16004, g53096, g14905, g53882, g22487, g35355, g4138, g42653, g16383, g53565, g43940, g30053, g4300, g16405, g16306, g25793, g26674, g48962, g8176, g30713, g21148, g21439, g22288, g16078, g52575, g42688, g53174, g49808, g18274, g39499, g12078, g35616, g50919, g24841, g33516, g27931, g19968, g46898, g24737, g1435, g4281, g11525, g30755, g47267, g13624, g15004, g21561, g16231, g25610, g53953, g24133, g5069, g6129, g43741, g18000, g35457, g1379, g18846, g35661, g42731, g26143, g18595, g43148, g35809, g16137, g34943, g43958, g3907, g43037, g19791, g52909, g16014, g4016, g43535, g4183, g33671, g41787, g41846, g43093, g53227, g43201, g4531, g16664, g33603, g14840, g43003, g4520, g52875, g24630, g26742, g52545, g53459, g3878, g21347, g41826, g18386, g3729, g13559, g3050, g16142, g44064, g25878, g20318, g15860, g36237, g50939, g25736, g30068, g18103, g14080, g41336, g27919, g3037, g33261, g25224, g28146, g53461, g17330, g43038, g43841, g24783, g17957, g10083, g33273, g44036, g3444, g6177, g25144, g15533, g22676, g52662, g49032, g19839, g12644, g27320, g24782, g24931, g1434, g4257, g2095, g35984, g45228, g14612, g42927, g25054, g53995, g45988, g42723, g37170, g13740, g50987, g44719, g14315, g44935, g40898, g35162, g46753, g17634, g44711, g42947, g14694, g30462, g52428	AL8G19810
OG0000010	g34324, g14220, g3040, g52357	AL9U11460
OG0000011	g42924	AL5G19610, AL971U10010, AL5G20450, AL8G16700
OG0000012	g21395	AL5G18610, AL1G66070
OG0000012	g3443, g34444, g34449	AL2G19210
OG0000012	g15121, g53561	AL7G44260
OG0000012	g22633, g29934, g15083, g22215, g22629, g22646, g15076, g22641, g29927, g22634, g29918, g22636, g22650, g22626, g22643, g29930, g22625, g34876	AL4G14230, AL5G19240
OG0000012	g42217, g52731	AL2G18620
OG0000012	g42216, g42233, g26587	AL8G19630, AL7G45280
OG0000013	g52620, g48035, g4139, g16474	AL3G54050
OG0000014	g15957, g36628, g15947	AL8G11830
OG0000014	g43483	AL1G56800
OG0000014	g1489	AL5G21970
OG0000014	g17907, g43443, g40836, g15958	AL3G43620
OG0000014	g51640, g52235	AL527U10010
OG0000014	g43420	AL177U10010, AL5G19160
OG0000014	g53052	AL5G16500
OG0000014	g50570	AL6G32700, AL279U10030
OG0000014	g50733, g573, g25624, g44199	AL6G46360, AL1G66640
OG0000014	g46635, g4677, g16585, g52312, g572, g37414	AL1G65830
OG0000014	g37857, g1370, g39544, g44992	AL2G22110
OG0000014	g30026, g25218, g52916, g47081	AL5G15080
OG0000014	g4147, g48939	AL7G43490
OG0000014	g11529	AL5G12070, AL7G43390
OG0000014	g23244, g43142, g48937	AL6G44920
OG0000015	g42099	AL1G15850, AL3G42230
OG0000015	g53814, g16594, g16764, g14880, g952, g32985, g12170, g24863	AL1G20970, AL792U10020, AL429U10010, AL8G27740, AL4G24660, AL3G28900, AL4G16120, AL8G24680
OG0000015	g5447, g48096, g4042, g4014, g30179, g21912, g14948, g35471, g12283, g14756, g26107, g39164, g1865, g12584, g7633, g26669, g17276, g2986	AL25U10010, AL6G22310, AL7G26200
OG0000015	g25009, g16301, g35858, g47480, g12631	AL6G27260, AL1G29330
OG0000015	g8683, g38798, g6105	AL2G24310
OG0000015	g35247, g34265, g40661, g36021, g25817, g53143, g53815, g8558, g14879	AL1G65620
OG0000015	g27728, g36346, g32986, g8573	AL7G47990, AL2G21990, AL5G11720, AL615U10010, AL1G54160
OG0000015	g35684	AL3G46050
OG0000017	g44074, g47797, g33120, g7898, g14750, g3057, g43352, g14036, g15607, g52007, g51052, g52970, g32655, g4343, g43479, g2953, g50650, g41998, g23595, g2979	AL1G18490, AL6G44340, AL6G44350, AL4G18270, AL5G11530, AL4G19490, AL5G20700, AL6G46630
OG0000018	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170, AL3G52170, AL5G41490, AL4G18100, AL8G33160, AL8G23170, AL4G13400, AL2G40700
OG0000018	g33471, g14567, g33125, g25750	AL7G47350, AL7G51150
OG0000019	g16592, g1020, g46208, g40680, g40322, g46628, g9756	AL8G22980
OG0000019	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706	AL1G50520, AL5G34620, AL5G17780, AL7G52850
OG0000019	g2720, g19256	AL2G22330
OG0000019	g2721, g18071, g42559	AL2G13960
OG0000020	g7451, g34311, g35284, g3254, g4129, g26122	AL4G17980
OG0000021	g49844, g38320, g45682, g1448	AL5G16490, AL5G19200
OG0000021	g6810	AL6G17120
OG0000021	g34726	AL3G42620
OG0000021	g3713, g24107	AL5G10040, AL5G25470
OG0000021	g3725, g24106, g46643	AL96U10010
OG0000023	g47441	AL7G30160
OG0000023	g23897	AL7G30170
OG0000023	g25717, g25713	AL6G46000
OG0000023	g25723	AL6G45970
OG0000023	g40374	AL1G66280
OG0000023	g23907, g24643	AL7G30280
OG0000024	g45320, g32515	AL128U10010
OG0000025	g39418, g24597	AL8G29780
OG0000026	g27047	AL460U10010
OG0000026	g51053, g47798, g4344, g43478, g23597, g14579, g3360, g43692, g7899, g2954, g49586, g31803, g4274, g32656, g11709, g44075, g3058, g46225, g1554, g17019, g6169, g23909, g34283, g6803, g35674, g46329, g52008, g14035, g43351, g35266, g9915, g25002, g31760, g21114, g4157, g14556, g51014, g34854, g39311, g31342, g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312, g46948, g36898, g25431, g17280, g25191, g41992, g4231, g43283, g2973, g33119, g33391	AL1G18480, AL4G42270, AL5G11540
OG0000027	g43469	AL4G16470
OG0000027	g28294	AL1G45210
OG0000027	g2269	AL5G23680, AL5G39160, AL5G38280, AL5G39170
OG0000029	g48832, g8633, g29966, g24593, g30702, g9123, g29976, g30667, g13591, g10196	AL1G60890
OG0000029	g16178, g36823	AL3G41030
OG0000029	g13419	AL6G10700
OG0000029	g46975	AL4G17400
OG0000030	g31170, g6306, g40103, g6175, g48553, g8527, g41465, g35926, g31187	AL1G54660
OG0000030	g14858	AL172U10010, AL4G17860
OG0000030	g43791, g44909	AL8G23430, AL4G17850
OG0000030	g43774, g43790, g5736	AL2G38670, AL9U11580, AL3G44120
OG0000031	g40889	AL2G13280, AL2G11830, AL2G12470, AL2G13120
OG0000031	g40881, g40949, g40859, g40857, g40951, g6403, g40794	AL2G13170, AL2G12830, AL2G12810, AL2G13140, AL2G12820, AL2G18840
OG0000031	g5030	AL6G27650
OG0000031	g13269	AL3G29640
OG0000031	g40888	AL2G13070
OG0000031	g40752	AL2G10200
OG0000033	g23911	AL7G30290
OG0000033	g24014	AL7G32670
OG0000033	g23912	AL7G30310
OG0000033	g40468	AL6G48800
OG0000034	g15118, g44910	AL8G16120
OG0000034	g15664, g3441, g9297	AL8G18300, AL7G23790, AL4G30020, AL5G40150, AL8G20130, AL210U10020, AL1G51890, AL5G17770
OG0000035	g3814	nbis-gene-779
OG0000035	g29294, g52064, g52069, g52073	AL2G14000, AL2G14020
OG0000036	g3196	AL5G26550, AL920U10010
OG0000036	g23185, g33000	AL4G17610, AL6G45120
OG0000036	g49100	AL1G60100, AL3G30200
OG0000037	g25569, g43400, g53061, g34996, g53063	AL7G49500, AL1G54600, AL2G19430
OG0000037	g19076, g53465, g53974, g1800, g24922, g25438, g41976, g18240, g17503, g24468, g52242, g18188, g53518, g36593, g41271, g18187, g32897, g36595, g17180	AL5G26070
OG0000037	g28165, g5623, g29089	AL3G43320
OG0000037	g50425, g35466	AL5G11300
OG0000037	g39408	AL53U10030
OG0000037	g20917, g29939, g20308, g28559, g25198, g14254, g2520	AL6G28120, AL3G49490, AL1G47310, AL3G45700
OG0000037	g10090	AL5G15730, AL1G55420
OG0000037	g6551, g27201, g54294, g38089, g14278, g52663	AL1G56420
OG0000037	g5625	AL3G27890
OG0000038	g24239	nbis-gene-1329
OG0000038	g1070	AL8G26900
OG0000038	g44982, g44984, g44985	AL3G22250, AL3G22230
OG0000040	g38367, g38376, g38372, g38380	AL1G39630, AL1G35700, AL1G40160, AL1G40170, AL1G40180, AL3G27510
OG0000040	g44631	AL1G21870
OG0000040	g13193, g13194	AL2G23050
OG0000040	g13797, g13799	AL5G29320, AL5G29310, AL5G29340
OG0000042	g26735	AL1G40050
OG0000042	g12385	AL8G11480
OG0000042	g49152	AL3G43050
OG0000042	g22786, g41711, g1466, g28310, g17388, g32821	AL5G30010
OG0000043	g48032	AL5G21640
OG0000043	g33263, g53602	AL2G17290
OG0000043	g3049, g30442	AL5G20230
OG0000043	g49166, g4254, g35754, g3543, g19674, g47268	AL6G40400
OG0000044	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931	AL5G16920, AL7G43910, AL3G42580
OG0000045	g7244, g39351, g17718, g41293	AL2G19770
OG0000046	g46717	AL7G51420
OG0000046	g18113	AL7G52530, AL7G52540
OG0000046	g18042	AL2G25210, AL2G25320
OG0000047	g42772	AL3G45170
OG0000047	g24768, g27953, g51326, g51242, g28468, g43700, g14016, g18660, g44830, g41217, g37480, g4319, g45363, g51127, g3853, g11964, g28467, g53576	AL5G32340
OG0000048	g4946, g4940, g29028, g29029	AL6G29120, AL6G29220
OG0000049	g43788, g43772, g13437, g45167, g147, g24813, g7666, g51916, g39805, g10790, g44228, g1493, g2502, g53420, g10267	AL1G48510
OG0000049	g19447	AL1G48060
OG0000049	g6205	AL3G47420
OG0000049	g4748, g12067	AL6G41090
OG0000049	g43914, g49353, g11652	AL3G47410
OG0000049	g37529, g36193, g23611, g11002, g2399	AL5G28630, AL1G24610, AL1G18250
OG0000049	g23029	AL6G32660, AL4G11230
OG0000049	g22934, g376, g47861, g44112, g6602, g36505, g12095, g19466, g919, g7174, g3137, g27324, g24163, g1087, g46399, g46729, g50524, g28511, g54100, g47181, g829	AL2G16540, AL6G28140
OG0000049	g46775, g28413, g14428, g45388, g13757, g29231, g6871, g32168, g24458, g6376, g43896, g4749, g12068, g44857, g3861, g36846, g23483, g47037, g18721, g11656, g27986, g5166, g50226, g12226, g46640, g41551, g45877, g11828, g49352, g32343	AL6G37950
OG0000049	g19448	nbis-gene-1560
OG0000050	g44326, g2819, g44187	AL5G20430
OG0000052	g53934	AL4G41010, AL4G41000
OG0000054	g52587	AL5G18550
OG0000054	g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130	nbis-gene-807
OG0000055	g44205	AL2G14050
OG0000057	g50182, g50184, g50186	AL6G52510, AL4G21820
OG0000057	g48153, g33319, g33329, g48170, g15766, g33340	AL3G53160, AL3G53140
OG0000057	g700	AL3G30470
OG0000057	g15973, g17828	AL3G30730
OG0000057	g27361, g5648	nbis-gene-725, AL3G41130
OG0000058	g19665	AL4G27890
OG0000059	g14202	AL6G19270
OG0000059	g39389, g39352	AL7G45130, AL5G12450, AL1G66530, AL4G19380, AL9U11720, AL5G19450, AL2G14550, AL2G12980, AL6G42590
OG0000059	g42622	AL3G36810
OG0000062	g50114, g32823, g13726, g11246, g41835	nbis-gene-221
OG0000063	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647	AL1G18100
OG0000065	g3890	AL667U10010
OG0000065	g30656, g20961	AL1G62000
OG0000065	g8443	AL7G38070
OG0000065	g12628	AL1G57190, AL4G15800
OG0000066	g5393	AL7G12340, AL7G12350, AL2G35580, AL3G43470, AL6G41640, AL2G35590, AL6G21580
OG0000066	g45536, g49660, g31166, g45535, g29501, g9719, g5416	AL6G20900
OG0000066	g156	AL1G19680, AL5G16700
OG0000070	g30429, g30434, g34722, g20467, g25157, g21277	AL5G12380, AL5G12270, AL2G23610
OG0000071	g36375, g47125, g4591, g36881, g27012	AL6G40690
OG0000073	g10944	AL8G18480
OG0000073	g18482	AL8G11840
OG0000073	g54289	AL5G18720
OG0000074	g50301	AL1G37350
OG0000074	g27549, g27550	AL1G37420
OG0000075	g36278	AL1G22300
OG0000075	g2157	AL1G20200
OG0000075	g5026	AL1G22320
OG0000076	g3195, g1602	AL5G15910
OG0000076	g44053	AL5G28950
OG0000076	g2410	AL5G31970
OG0000077	g25975, g22716	nbis-gene-1691
OG0000079	g18915	AL5G40610, AL5G40780
OG0000080	g41322	AL1G54400
OG0000080	g23667	AL7G25770
OG0000080	g23668	AL7G44920
OG0000081	g6399	nbis-gene-1537
OG0000081	g18040	AL6G29160
OG0000081	g13268	AL6G42950
OG0000083	g46885	AL57U10020, AL3G37440, AL3G37430, AL3G37570, AL3G37560
OG0000083	g7705	AL1G47960
OG0000084	g51024	AL4G15550, AL4G18570, AL4G14530, AL4G14510, AL4G14520
OG0000085	g6225, g11811	AL9U10400
OG0000085	g2447	AL3G51220, AL6G30230
OG0000085	g28998, g41305	AL7G34140, AL7G50840, AL5G16610, AL8G26890, AL8G33470, AL6G34380
OG0000085	g22798, g27140, g51223, g23925, g9976, g44428, g45095	AL7G52520
OG0000085	g41306	AL3G48900
OG0000085	g45986, g16819, g33053, g33047, g32349	AL9U11250, AL3G29600, AL1G64180
OG0000085	g50685, g15804	AL7G52690
OG0000085	g45065	AL1G47700, AL3G42270, AL2G24190, AL6G40850, AL2G32540, AL7G41350, AL3G37700
OG0000085	g17068, g32641, g23586, g17797, g646	AL4G43300, AL6G35520, AL6G51820, AL1G48000
OG0000085	g39882, g12326, g32434, g40957, g11412, g53404, g14573	AL2G20150
OG0000085	g25696, g16012, g23626, g25615, g24420, g4774, g41376	AL3G17400
OG0000085	g6725, g47748, g6734, g41005, g28612, g45253, g40136, g37419, g6446	AL1G38790
OG0000085	g35064, g2142, g24601, g4079, g52808, g53049	AL5G12950
OG0000085	g32660, g2312, g7031, g28845	AL4G27640
OG0000085	g47102, g28846	AL4G12180, AL2G24020, AL5G19730, AL2G18440
OG0000087	g9991	AL6G35120
OG0000087	g9845, g2817, g339	AL8G39670
OG0000087	g5316	AL6G23060
OG0000087	g40485, g11055	AL8G15560
OG0000087	g17371, g24042	AL7G33260
OG0000087	g46232	AL1G32740, AL2G35770
OG0000088	g11453	AL5G23250
OG0000088	g46886	AL5G26810
OG0000088	g28933, g28934	AL6G32010
OG0000089	g5448, g29544, g45521	AL6G20220
OG0000089	g13323, g11989	AL3G32160, AL1G56110
OG0000089	g52029	AL4G40470
OG0000090	g50123	AL2G24470, AL4G11370, AL1G32980
OG0000090	g46242	AL2G35960
OG0000090	g10675	AL5G42190, AL7G16760, AL5G12830, AL3G47920, AL5G12840, AL1G20940
OG0000091	g3977	AL8G16330, nbis-gene-1790, nbis-gene-1053, AL7G47240, nbis-gene-2125
OG0000093	g2360	AL5G40110
OG0000093	g18958	AL5G39980, AL5G40000
OG0000096	g1538, g1535	AL2G18750, AL5G12940, AL5G12970, AL5G12960
OG0000096	g44008, g44009, g44007	AL8G20320, nbis-gene-2073, AL2G15700
OG0000097	g45186, g45201	AL6G49050
OG0000097	g45182	AL9U10550
OG0000097	g40477, g40479, g40476, g40480, g1561	AL6G49150, AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010
OG0000098	g49817	nbis-gene-1028
OG0000099	g24889	AL2G11060
OG0000099	g43603	AL2G11040
OG0000099	g46874, g4737	AL2G11960
OG0000100	g32974	AL2G20140, AL8G14910, AL5G22850, nbis-gene-262
OG0000101	g13563	AL2G11200, AL2G23700
OG0000101	g40795	AL2G11380
OG0000102	g2701, g43502, g42120, g25862	AL7G22190
OG0000102	g42271	AL5G31380
OG0000102	g19357	AL6G34160
OG0000102	g40702, g34414	AL1G44840
OG0000102	g46693, g45401, g3397, g25742, g18404, g50268, g46262	AL7G44340
OG0000102	g31405	AL7G43200
OG0000102	g14670, g14674, g3225, g25089, g23755, g37179	AL6G44310
OG0000102	g16420	AL236U10030
OG0000102	g2810, g52815, g32214, g49776, g16019, g45814	AL3G53440
OG0000102	g44457, g26056, g51982, g14689, g53169, g45038, g7327, g52993, g53005, g39776, g17169, g30940, g42556, g42170, g42155	AL2G36550
OG0000102	g3107, g48300	AL6G43960
OG0000104	g31072	AL1G17740
OG0000104	g54244, g54237, g54238	AL1G59850
OG0000104	g51117	nbis-gene-14
OG0000104	g51119	AL4G23520
OG0000105	g42819, g43845	AL5G25560
OG0000105	g43456	AL1G53250, AL1G56270
OG0000106	g49764	AL3G31590
OG0000106	g6393	nbis-gene-1973, nbis-gene-1025, AL4G22680, AL4G22640, AL3G41350, AL3G41320, AL3G41330, AL3G41340
OG0000107	g11936	AL3G33780
OG0000107	g6757	AL3G33810
OG0000108	g11756	nbis-gene-805
OG0000110	g2009	AL5G41090
OG0000110	g50627	AL7G42310
OG0000112	g1342	AL8G25360
OG0000114	g4924	AL8G15310
OG0000114	g18420	AL1G67230, AL1G67210, AL1G67280, AL3G42680, AL1G52710, AL5G19550, AL2G23230, AL686U10020, AL7G52290, AL7G52440, AL7G52360, AL7G52380, AL7G52310, AL7G52410
OG0000117	g45402, g46692, g6971, g3396, g51983, g16507	AL3G40390
OG0000117	g46165, g23756, g3226, g42576, g43638, g39474	AL8G20470
OG0000117	g34382, g32908	AL6G44320
OG0000118	g37032, g50081	AL5G32600
OG0000118	g14347, g14348, g14394, g45220, g45247	AL5G18800
OG0000118	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578	AL5G34240, AL3G50380
OG0000119	g50178	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470
OG0000120	g40996	nbis-gene-408, AL2G15570
OG0000120	g32414, g29781	nbis-gene-1458
OG0000122	g1066	nbis-gene-2149
OG0000123	g17137	AL7G26670
OG0000123	g25904	AL2G13220
OG0000125	g41348	AL6G34020
OG0000125	g2919, g1294, g28781	AL5G24690, AL189U10030, AL8G36480, AL5G24750
OG0000125	g39998	AL4G23250
OG0000126	g53241, g45978, g37471, g16077, g52267, g32913, g35883, g25977, g19802, g14393, g26747, g1643, g32916, g42286, g45979, g53240, g32663, g19828, g19824, g42291, g3278, g42811, g28336, g49079, g28773, g17732	AL3G44880, AL4G19050
OG0000127	g49766	AL1G22150
OG0000128	g53276	AL6G51530
OG0000128	g5236, g5604, g3371, g22741	AL7G53080
OG0000129	g5087, g26476, g1494, g35945, g4368, g51751, g3127, g11722, g51320, g1921, g2256, g3374, g42741, g26737, g14405, g53475, g1918, g3336, g43831, g14282, g41855, g12267, g27070, g40923, g4461, g2523, g42052, g3187, g38048, g53529, g11392, g4362, g2129, g3232, g26465, g18537, g4327, g18139, g10593, g35776	AL4G12500
OG0000130	g34628	AL4G15810, AL4G25960
OG0000130	g26208, g43583	AL667U10020
OG0000131	g32639, g6351, g24938, g14468, g28182, g27531, g15993	AL5G18060
OG0000131	g15992	AL6G40550
OG0000132	g53769, g43756, g15634	AL8G11070
OG0000132	g26228	AL614U10020
OG0000132	g50629	AL6G43140
OG0000133	g19947, g43640, g35382, g42719, g43495, g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132, g35623, g52434	AL8G19570, AL25U10030
OG0000136	g14687	AL7G53090
OG0000136	g25040, g25067	nbis-gene-1912
OG0000138	g10340	AL5G19700, AL5G19780
OG0000139	g25175	AL7G47150
OG0000140	g1248	AL48U10040, AL8G35560
OG0000140	g28714	nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178
OG0000140	g1252, g28702, g28701	AL48U10010, nbis-gene-2180
OG0000142	g51131	AL4G23860
OG0000142	g51155, g51154, g51130, g51156	AL4G25560
OG0000144	g32634, g26627, g450	AL8G24370
OG0000146	g1011	AL8G30930
OG0000146	g1009	AL8G30910
OG0000147	g5985	AL3G52950
OG0000147	g23426	AL7G22000
OG0000147	g1105	AL8G33330
OG0000147	g46563	AL2G40780
OG0000147	g11547	AL5G20850
OG0000147	g6339	AL3G44180
OG0000147	g50994	AL4G15040
OG0000149	g2887	AL5G25250
OG0000149	g1676, g28755, g28754	AL8G36180
OG0000149	g1282	AL8G36200
OG0000149	g1278	AL8G36170, AL8G36160
OG0000149	g2888	AL5G25230
OG0000151	g915, g28415	AL8G28000
OG0000151	g17072	AL7G24680
OG0000151	g7540	AL3G19690
OG0000151	g14078	AL3G49460
OG0000151	g28546	AL8G31780
OG0000152	g15848	nbis-gene-2041
OG0000152	g22192, g30253, g4143	nbis-gene-137
OG0000154	g27332	AL1G28200
OG0000154	g12277	AL3G24230
OG0000154	g7492	AL3G20620
OG0000154	g54073, g45315, g5784	AL6G11740
OG0000155	g23645	AL7G25530
OG0000155	g47372	AL7G32710
OG0000155	g7340	AL3G23610
OG0000156	g52257	AL4G44740
OG0000157	g46122, g12809	nbis-gene-652, AL685U10010
OG0000157	g1395	nbis-gene-757, AL3G37210, AL2G23540, AL2G23590, AL2G23600, AL6G44790
OG0000160	g49147, g47671	AL8G34940
OG0000160	g31367, g7023, g36380, g52886	AL1G48950
OG0000160	g34541, g2884	AL8G31450, AL236U10040
OG0000160	g16303, g13162	AL5G15500
OG0000160	g13371	AL6G45600
OG0000160	g14782, g46745, g36801	AL5G13730
OG0000160	g11388, g12603, g16325, g37825, g17259, g36921, g36623, g2882, g23517, g32580, g12586, g54203, g53496, g824, g16433, g41215, g26266, g4572, g48335, g32975, g1398, g52680, g50195, g34809, g53258, g35544, g35547, g21290, g38500, g31368, g20451, g3846, g34289, g36270, g12262, g7846, g25656, g7022, g9694, g49667, g16434	AL5G16300
OG0000161	g392, g9880	AL8G25830, AL4G22760, AL4G22720
OG0000161	g45103, g45101	AL2G20180
OG0000161	g45131	AL2G19870, nbis-gene-452
OG0000162	g26821	AL2G23580
OG0000164	g14196, g38017, g38015, g38013, g38019, g32493	AL7G34820
OG0000165	g24260	AL481U10020
OG0000167	g24121	AL7G34470
OG0000168	g26213, g52072, g4056	AL668U10010, AL2G31940, AL481U10010
OG0000171	g45857	AL1G37260
OG0000171	g5177	AL1G21480
