Orthogroup	Cochlearia_excelsa	Cardamine_hirsuta
OG0000100	g17260, g37826	CARHR100990
OG0000101	g13563	CARHR047100, CARHR047710, CARHR047510, CARHR047730
OG0000101	g35259, g34277	CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047470, CARHR047430
OG0000104	g31072	CARHR007350
OG0000104	g51118	CARHR122140
OG0000104	g6675	CARHR097260
OG0000104	g54236	CARHR258870
OG0000104	g18497	CARHR041970
OG0000104	g37858	CARHR122150, CARHR122160
OG0000106	g6393	CARHR248580, CARHR120300, CARHR120290, CARHR266870, CARHR084920
OG0000107	g11936	CARHR095650
OG0000107	g6757	CARHR095660
OG0000108	g41770	CARHR000040, CARHR188170
OG0000108	g25316, g5925, g50857, g50863, g5924	CARHR103960
OG0000110	g2009	CARHR169600
OG0000110	g2010	CARHR061850
OG0000113	g43820	CARHR256490, CARHR256450, CARHR175630, CARHR288500
OG0000113	g53975	CARHR108280, CARHR054220
OG0000113	g35258	CARHR047220
OG0000113	g54287	CARHR175310, CARHR289490, CARHR175790, CARHR175830, CARHR174830, CARHR175110, CARHR175150, CARHR175080, CARHR178690, CARHR116320, CARHR292210
OG0000113	g17560	CARHR222460
OG0000113	g14463	CARHR047550
OG0000113	g14267	CARHR175270
OG0000113	g11211	CARHR104310
OG0000114	g17433	CARHR071840, CARHR251920, CARHR071800
OG0000114	g18420	CARHR054550, CARHR054640, CARHR054580, CARHR106050
OG0000118	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578	CARHR148290
OG0000119	g50178	CARHR292260, CARHR102990
OG0000120	g40996	CARHR285170
OG0000120	g6424	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430
OG0000120	g32414, g29781	CARHR208650
OG0000123	g25911	CARHR014050
OG0000123	g17137	CARHR233830
OG0000123	g25912	CARHR009210
OG0000125	g19182	CARHR163570
OG0000125	g41348	CARHR190650
OG0000125	g2919, g1294, g28781	CARHR273520, CARHR154390, CARHR154340
OG0000125	g39998	CARHR121850
OG0000127	g7513	CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100
OG0000128	g31783	CARHR155450
OG0000131	g50797	CARHR258830
OG0000131	g15992	CARHR118270
OG0000132	g50629	CARHR101930
OG0000136	g43995, g46769, g46768, g46770	CARHR214760, CARHR214790
OG0000136	g14687	CARHR214810
OG0000136	g25040, g25067	CARHR272990
OG0000138	g46708	CARHR263270, CARHR263340, CARHR263290, CARHR113950, CARHR263310, CARHR263300, CARHR263260, CARHR263320, CARHR174950
OG0000138	g10345	CARHR153120
OG0000138	g10340	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980
OG0000140	g1248	CARHR285410
OG0000140	g28714	CARHR272760, CARHR272770, CARHR053670
OG0000140	g1252, g28702, g28701	CARHR285460, CARHR285480
OG0000142	g51131	CARHR122560
OG0000142	g37876, g37875	CARHR122540
OG0000142	g51155, g51154, g51130, g51156	CARHR119630, CARHR119600, CARHR124170, CARHR124160, CARHR124140
OG0000146	g1010	CARHR268710
OG0000146	g1011	CARHR268720
OG0000147	g13932	CARHR109500
OG0000147	g23426	CARHR238090
OG0000147	g1105	CARHR271150
OG0000147	g46563	CARHR073860
OG0000147	g11547	CARHR153650
OG0000147	g6339	CARHR104060
OG0000147	g50994	CARHR117520
OG0000149	g2887	CARHR154790, CARHR154820
OG0000149	g1676, g28755, g28754	CARHR273170, CARHR273200, CARHR273210, CARHR273220
OG0000149	g1282	CARHR273240, CARHR273230, CARHR273250
OG0000149	g17375	CARHR122210
OG0000149	g1278	CARHR273130
OG0000149	g2888	CARHR154780
OG0000150	g38299, g38298	CARHR114850
OG0000150	g11441, g11440	CARHR059580, CARHR150110
OG0000151	g915, g28415	CARHR266340
OG0000151	g17072	CARHR235660
OG0000151	g7540	CARHR082990
OG0000151	g14078	CARHR107000
OG0000151	g28546	CARHR269520
OG0000154	g27332	CARHR016540
OG0000154	g12277	CARHR087080
OG0000154	g7492	CARHR083850
OG0000154	g54073, g45315, g5784	CARHR210880
OG0000155	g23645	CARHR234950
OG0000155	g47372	CARHR227980
OG0000155	g7340	CARHR086560
OG0000156	g2802	CARHR140730
OG0000156	g52257	CARHR140760, CARHR186310
OG0000156	g52256	CARHR140750
OG0000157	g1395	CARHR102680
OG0000160	g38501, g6015, g7845	CARHR288090
OG0000161	g392, g9880	CARHR275730, CARHR120610, CARHR120240, CARHR120250
OG0000161	g45103, g45101	CARHR056690
OG0000161	g45131	CARHR056630, CARHR038520, CARHR038560
OG0000162	g1914	CARHR069160, CARHR059610
OG0000162	g26821	CARHR057970
OG0000164	g14196, g38017, g38015, g38013, g38019, g32493	CARHR246960, CARHR224720
OG0000164	g22735	CARHR185060, CARHR185040
OG0000167	g24121	CARHR226380
OG0000169	g46166	CARHR067380
OG0000169	g46162	CARHR067370, CARHR115410, CARHR183960
OG0000171	g45857	CARHR023910
OG0000171	g5177	CARHR010800, CARHR052550
OG0000171	g29297	CARHR198650
OG0000173	g15729, g49146	CARHR036310, CARHR180960, CARHR225740
OG0000173	g17352, g17357, g17341, g1801, g25289, g14575, g15732	CARHR261170, CARHR292670, CARHR286110
OG0000173	g18062	CARHR216170
OG0000173	g46682, g32984	CARHR055060, CARHR225730, CARHR036300
OG0000173	g32983	CARHR216160
OG0000173	g26535	CARHR293270
OG0000174	g26585, g53787	CARHR286250
OG0000175	g6044, g13998	CARHR160880
OG0000175	g47947	CARHR244350
OG0000178	g50828	CARHR104870
OG0000178	g13019	CARHR118730
OG0000178	g17678, g41214	CARHR216370
OG0000178	g52052, g38502, g20449	CARHR054120, CARHR111550, CARHR213150
OG0000178	g48334	CARHR121910
OG0000178	g14419	CARHR035340, CARHR105380
OG0000178	g36920, g49526, g53614, g23518, g17258, g37824	CARHR145030
OG0000178	g1397, g32976	CARHR124520
OG0000178	g16363, g43554, g12264, g7844	CARHR098760
OG0000180	g34299	CARHR264470
OG0000181	g16615	CARHR110940
OG0000185	g24428	CARHR116590
OG0000186	g16331	CARHR184750, CARHR217440
OG0000186	g41273, g35916, g41907	CARHR184740, CARHR217430
OG0000186	g1666	CARHR103200
OG0000186	g11646	CARHR098000, CARHR034340, CARHR128520, CARHR257270, CARHR116070, CARHR178380, CARHR252010, CARHR256860
OG0000186	g14623	CARHR117440
OG0000186	g27940	CARHR257160, CARHR048790
OG0000186	g53532	CARHR149350, CARHR289900, CARHR290850
OG0000186	g30546, g24771	CARHR034350, CARHR144860
OG0000187	g35037	CARHR117260, CARHR037460, CARHR239530, CARHR239540, CARHR239520
OG0000190	g40442	CARHR253020
OG0000190	g45158	CARHR263930
OG0000190	g45173	CARHR252960
OG0000191	g6928	CARHR107430, CARHR293570, CARHR148120, CARHR091830
OG0000191	g3758, g36029, g12040	CARHR106550
OG0000192	g50732, g27488	CARHR181970
OG0000192	g31972	CARHR054130
OG0000192	g36879	CARHR287770
OG0000195	g40143	CARHR119300
OG0000195	g18117	CARHR058380, CARHR215030
OG0000196	g27686	CARHR037140
OG0000197	g40833	CARHR123890, CARHR037380
OG0000201	g11846	CARHR097900, CARHR097910, CARHR097890, CARHR097880
OG0000202	g27177	CARHR024770
OG0000204	g11805	CARHR098530
OG0000204	g36933	CARHR097380
OG0000205	g32507	CARHR149530, CARHR042890, CARHR042510
OG0000205	g53988	CARHR219990
OG0000207	g4045	CARHR141370
OG0000208	g24958, g18133	CARHR181000
OG0000208	g1632	CARHR149040
OG0000210	g28290	CARHR102790, CARHR102800, CARHR102820, CARHR145920
OG0000210	g11480, g11479	CARHR162850
OG0000213	g46059, g46056	CARHR066320, CARHR066310, CARHR066300, CARHR066340, CARHR066330, CARHR066290, CARHR066360
OG0000213	g7432	CARHR084950
OG0000213	g38464	CARHR292760, CARHR285920
OG0000214	g1023, g25454, g25477	CARHR101750
OG0000216	g53737	CARHR229000
OG0000216	g47412	CARHR229020, CARHR229730
OG0000216	g53736	CARHR283650, CARHR229570
OG0000217	g31539, g1718	CARHR284020, CARHR284130, CARHR283760, CARHR283910, CARHR284060, CARHR284070, CARHR058170, CARHR123300
OG0000217	g44052	CARHR053500, CARHR284010, CARHR284050, CARHR283900
OG0000218	g31564	CARHR015470
OG0000218	g49926	CARHR015480
OG0000218	g10793	CARHR144080
OG0000219	g13335, g45479, g28368	CARHR058980
OG0000219	g46873	CARHR123060
OG0000219	g311	CARHR277080
OG0000219	g18634	CARHR266750
OG0000220	g14029	CARHR211050
OG0000222	g2261, g45344, g10741, g44563, g51060, g5898, g28476, g32750, g41189, g41204	CARHR063680, CARHR117110, CARHR113140
OG0000224	g46370	CARHR071040
OG0000224	g40852	CARHR230420, CARHR048360, CARHR048350, CARHR048370
OG0000225	g27682	CARHR028830
OG0000226	g11864	CARHR087530, CARHR087540, CARHR160050, CARHR160040, CARHR028040
OG0000228	g32057	CARHR185670
OG0000228	g44677	CARHR064090, CARHR064100
OG0000229	g47707	CARHR237670
OG0000230	g44430	CARHR069290, CARHR069250
OG0000230	g46235	CARHR069270
OG0000230	g19589	CARHR216400, CARHR216420
OG0000230	g46236, g44422	CARHR069320
OG0000231	g13807, g46733	CARHR056350, CARHR213950, CARHR041780, CARHR214130, CARHR214120, CARHR262590
OG0000231	g18039	CARHR056340, CARHR220460, CARHR059750
OG0000234	g19127	CARHR165130
OG0000234	g19128	CARHR165120
OG0000234	g2235	CARHR165110
OG0000234	g51765	CARHR134140
OG0000234	g29346	CARHR199860
OG0000235	g27763	CARHR031310, CARHR091810
OG0000236	g13483	CARHR000080, CARHR100230
OG0000236	g6598	CARHR097950
OG0000236	g11672	CARHR062590, CARHR062610, CARHR102640
OG0000239	g39775	CARHR116010, CARHR127060, CARHR127040
OG0000240	g11360, g13978	CARHR062190
OG0000242	g14272, g6162	CARHR105760, CARHR105770, CARHR105730
OG0000242	g31494	CARHR014460
OG0000242	g31496, g31497, g31498, g31499	CARHR014490
OG0000244	g17320	CARHR228610, CARHR252730, CARHR107520
OG0000247	g28137	CARHR180370, CARHR180470
OG0000248	g25664	CARHR253870
OG0000248	g41086, g41090, g41083	CARHR054340
OG0000248	g41087	CARHR054360
OG0000249	g51603	CARHR131110
OG0000249	g37185	CARHR131180, CARHR131170
OG0000252	g45347	CARHR100570, CARHR100650
OG0000253	g30425, g30424, g30421, g30418, g21279, g20461	CARHR115150
OG0000254	g6897	CARHR093470, CARHR093450
OG0000254	g1607	CARHR135220, CARHR117790
OG0000258	g10576	CARHR147310
OG0000258	g39309	CARHR271060
OG0000258	g16641	CARHR147340, CARHR147330
OG0000260	g46771	CARHR118070, CARHR209970
OG0000260	g25934	CARHR058450
OG0000264	g25493	CARHR251320
OG0000266	g27624	CARHR265190
OG0000266	g11014, g40790	CARHR119130
OG0000267	g17092	CARHR112680, CARHR112670
OG0000268	g1514	CARHR144670
OG0000268	g45297	CARHR211500
OG0000268	g19165	CARHR164050
OG0000269	g26678	CARHR014080
OG0000269	g32697	CARHR033120
OG0000270	g18216	CARHR106740
OG0000270	g50111	CARHR020400
OG0000272	g6807	CARHR186370
OG0000272	g36034, g26748	CARHR253210
OG0000273	g31035, g53570, g54095	CARHR038710, CARHR038690, CARHR038330
OG0000274	g28758	CARHR273300
OG0000274	g39974	CARHR122830
OG0000277	g47115	CARHR290100, CARHR290090
OG0000277	g47117	CARHR290080
OG0000278	g3407, g30889	CARHR259720
OG0000281	g36419	CARHR229330, CARHR290760, CARHR040090
OG0000282	g5538	CARHR205620
OG0000282	g45483	CARHR205610
OG0000282	g29622	CARHR205590, CARHR205580, CARHR205600
OG0000283	g11114, g11113, g39732	CARHR180280
OG0000284	g12521	CARHR183240, CARHR119540, CARHR119080, CARHR102130, CARHR101660, CARHR102230, CARHR102520, CARHR264270, CARHR180810
OG0000284	g7689	CARHR175670
OG0000290	g11997	CARHR157630, CARHR283740, CARHR094030, CARHR112470
OG0000290	g16860	CARHR279290, CARHR058360
OG0000294	g6947	CARHR092710
OG0000294	g39522, g25429	CARHR249810
OG0000294	g26892	CARHR001810
OG0000295	g12173, g12193, g12167, g12172	CARHR057270
OG0000297	g41326	CARHR274100
OG0000299	g50959	CARHR119900
OG0000299	g27806	CARHR071990
OG0000299	g53412	CARHR152230
OG0000300	g13574, g6349	CARHR103220
OG0000301	g14672, g43509, g3110, g32825, g11542, g25301, g30948, g40323	CARHR263710, CARHR257150, CARHR113850, CARHR159730
OG0000303	g14940	CARHR286360
OG0000304	g40529, g40528, g40527	CARHR094510
OG0000310	g19547, g28753	CARHR157270
OG0000310	g41320, g28797, g28774, g28802, g859	CARHR036840, CARHR183820, CARHR273750, CARHR273860, CARHR118680, CARHR285940
OG0000311	g45737	CARHR196640
OG0000311	g36325	CARHR038100
OG0000311	g6918, g13293	CARHR093170
OG0000311	g46788	CARHR215260
OG0000311	g45009	CARHR292180
OG0000314	g26947, g49462	CARHR004130
OG0000314	g30904	CARHR004140
OG0000314	g51329	CARHR127110
OG0000319	g28817	CARHR204750, CARHR007730
OG0000321	g32189	CARHR215670
OG0000321	g14307	CARHR215220
OG0000321	g46809	CARHR215200, CARHR215650, CARHR215620, CARHR215640, CARHR215560, CARHR215610, CARHR215570
OG0000322	g46450	CARHR071920
OG0000322	g32324	CARHR036870
OG0000322	g51878, g53520	CARHR260510, CARHR135390
OG0000324	g32873, g54300, g26198, g3280, g32999, g23186, g49511, g22605, g3645, g4167, g24937, g14390	CARHR116560
OG0000325	g53445	CARHR034450, CARHR145800
OG0000327	g11293, g11292, g11294	CARHR164480, CARHR164490
OG0000328	g24521, g24516, g24520	CARHR220880
OG0000328	g46723	CARHR263560, CARHR263570
OG0000330	g41256	CARHR152730
OG0000330	g1956	CARHR170350
OG0000331	g33150	CARHR057780
OG0000332	g41419	CARHR193130, CARHR193110
OG0000332	g54159	CARHR095140, CARHR040120
OG0000334	g2329	CARHR163740
OG0000334	g37230	CARHR131810
OG0000334	g16596	CARHR250610
OG0000334	g44023	CARHR250660
OG0000335	g27709	CARHR027470
OG0000336	g44587	CARHR065880
OG0000338	g31209, g27091, g31190, g27095	CARHR054520, CARHR009660, CARHR009570, CARHR054330, CARHR183900
OG0000339	g25359	CARHR000730
OG0000339	g52289	CARHR141230
OG0000340	g38215	CARHR138610
OG0000340	g37505	CARHR138630
OG0000342	g53972	CARHR213880, CARHR291940, CARHR288130
OG0000342	g2891	CARHR272920
OG0000342	g53971	CARHR291930
OG0000342	g43797, g43782	CARHR291950
OG0000342	g43783	CARHR262340
OG0000344	g10089, g10092, g10980	CARHR187250, CARHR187260
OG0000345	g49843	CARHR012960, CARHR035980
OG0000345	g27193	CARHR012970
OG0000345	g51206	CARHR035990, CARHR012950, CARHR182820
OG0000347	g12309	CARHR086360
OG0000349	g18231	CARHR244070
OG0000349	g13748, g13750	CARHR107940, CARHR291770, CARHR107950
OG0000350	g32411	CARHR029110
OG0000351	g45239	CARHR275230
OG0000351	g45238	CARHR033150
OG0000352	g31677	CARHR017440, CARHR052660, CARHR053720, CARHR073990, CARHR251910
OG0000356	g35508, g18523, g37782, g4812, g4800, g4814	CARHR186490, CARHR186690
OG0000358	g49447, g30863, g26927	CARHR203870, CARHR003600
OG0000358	g29557, g39719	CARHR006290, CARHR203880
OG0000358	g45514	CARHR203890
OG0000360	g9656	CARHR289020
OG0000361	g7378	CARHR086030
OG0000362	g49471	CARHR004290
OG0000362	g43847	CARHR057010, CARHR016600
OG0000368	g22842	CARHR245730
OG0000368	g16342	CARHR245720
OG0000368	g47982	CARHR058590, CARHR058530, CARHR058550, CARHR245740
OG0000368	g47983	CARHR245750
OG0000369	g1291, g2920	CARHR154410, CARHR123820
OG0000369	g49585	CARHR273440, CARHR007590
OG0000370	g23768	CARHR017540
OG0000370	g47536	CARHR232710
OG0000371	g7650, g11474	CARHR025430, CARHR142610
OG0000371	g36060	CARHR002600, CARHR005940
OG0000371	g3821	CARHR142620
OG0000372	g17100, g17096, g17097, g17099	CARHR058020, CARHR234800, CARHR234790, CARHR289410, CARHR289420
OG0000374	g11643	CARHR041640
OG0000374	g36851, g36855, g36853, g36852, g36854, g54187	CARHR041650, CARHR259760
OG0000377	g41000	CARHR051700
OG0000379	g34488	CARHR286290
OG0000379	g41816	CARHR292240
OG0000380	g41044	CARHR012890, CARHR052820, CARHR051010, CARHR051040, CARHR047520, CARHR046830, CARHR048520, CARHR048430
OG0000380	g40880	CARHR055240, CARHR048490
OG0000382	g31165	CARHR009120
OG0000383	g27666	CARHR028100
OG0000383	g50490	CARHR028050, CARHR028080
OG0000384	g12121	CARHR090630
OG0000386	g2365	CARHR163180
OG0000386	g10579	CARHR147230
OG0000387	g37493, g37492	CARHR138330, CARHR224500
OG0000387	g50869, g6609	CARHR138350
OG0000388	g22154	CARHR101890
OG0000389	g1977	CARHR168810
