Orthogroup	Cochlearia_excelsa	Aethionema_saxatile
OG0000054	g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130	As007G163400
OG0000059	g6571	As001G005030
OG0000059	g43343	As006G146480
OG0000065	g43174, g26242, g26207	As012G279710, As011G259230, As001G009860, As007G166350, As007G166440, As012G279700, As012G279680, As012G279690, As012G279630, As012G279670, As006G149040, As012G279650, As012G279560
OG0000066	g5393	As010G237910, As002G052230, As003G074640, As003G074650
OG0000066	g45536, g49660, g31166, g45535, g29501, g9719, g5416	As002G052910
OG0000066	g156	As005G118450
OG0000067	g25385, g25390, g25381, g27956, g9895, g5011	As011G256020
OG0000070	g33102, g43981, g14572	As011G259870
OG0000070	g15856, g15924, g26036	As004G090970, As006G149230, As011G259300
OG0000070	g3657	As010G229730
OG0000070	g26415	As004G090980, As011G257970
OG0000078	g46791, g24881	As004G095030
OG0000079	g2000, g18915	As012G285110
OG0000082	g54167, g10536, g16647	As012G278670
OG0000082	g17872, g19303	As011G260840
OG0000083	g46885, g12860, g7705	As006G138550
OG0000085	g50685, g15804	As001G000080
OG0000087	g9991	As010G222260
OG0000087	g5316	As002G051000
OG0000087	g40485, g11055	As004G086530
OG0000087	g17371, g24042	As003G058850
OG0000087	g46232	As010G237710
OG0000088	g11453, g19510, g40516, g11030, g46886	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920
OG0000089	g5448, g29544	As002G053510
OG0000089	g13323, g11989	As011G250900
OG0000090	g46242, g44417	As003G065330
OG0000090	g10675	As012G273080
OG0000093	g2360	As012G284680, As012G284700, As012G284660
OG0000096	g1538, g1535	As002G036580, As001G019400, As001G019410, As001G019450
OG0000096	g18473	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360
OG0000097	g45186, g45201	As004G086430, As004G086420, As004G086450, As004G086440
OG0000098	g49817	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330
OG0000102	g2701, g43502, g42120, g25862	As010G228120
OG0000102	g36431, g4524, g53004, g12636, g24835, g4478, g40702, g34414	As002G042100
OG0000104	g54236	As012G271240, As012G271230
OG0000104	g18497, g54244, g54237, g54238	As012G271190, As012G271200
OG0000104	g37858, g51117, g51119	As006G129190
OG0000107	g6757	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220
OG0000107	g13346, g17783, g17676, g17802, g13363, g6693	As011G252340
OG0000108	g11756, g41770, g25316, g5925, g50857, g50863, g5924	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000114	g17433, g4924, g18420	As006G137050, As006G137080
OG0000117	g4175, g24845	As002G041560
OG0000118	g14347, g14348, g14394, g45220, g45247	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770
OG0000123	g17137	As008G183750
OG0000123	g25909, g25905, g25906, g25904, g25912	As008G183720
OG0000125	g41348	As005G113770
OG0000125	g2919, g1294, g28781	As005G114700, As010G224880, As010G224830
OG0000125	g39998	As006G129500
OG0000127	g49766	As008G186430, As008G186390, As008G185640
OG0000130	g34628	As005G110830
OG0000130	g26208, g43583	As002G040800
OG0000133	g19947	As004G090110
OG0000133	g43640, g35382, g42719	As010G227760, As002G038290
OG0000133	g43495	As007G165020
OG0000133	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132, g35623, g52434	As007G167120, As007G166850, As004G092840, As011G261830
OG0000136	g43995, g46769, g46768, g46770	As005G116580, As005G116570
OG0000138	g47540, g51162	As004G077560, As004G078140
OG0000138	g46708	As004G084820, As010G224060
OG0000138	g10340	As001G027950, As001G027940, As007G161530
OG0000139	g15900, g14666, g15914	As001G010560
OG0000140	g1248, g28714, g1225, g1252, g28702, g28701	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000143	g43612, g53735, g1831	As007G177750
OG0000145	g27099, g45420, g46953	As004G091580
OG0000145	g1501	As004G089820
OG0000145	g45298	As003G069750
OG0000147	g5985, g13932	As011G265720
OG0000147	g23426	As001G002190
OG0000147	g1105	As002G049060
OG0000147	g46563	As010G243490
OG0000147	g11547	As010G227330
OG0000147	g17885, g6339	As011G259420
OG0000149	g2887	As010G224590
OG0000149	g1676, g28755, g28754, g1282, g54232, g17375, g1278, g2888	As010G224610
OG0000150	g11441, g11440	As010G225180, As010G225220, As010G225210
OG0000151	g17072	As007G166070
OG0000151	g7540	As006G141980
OG0000151	g14078	As011G263600
OG0000151	g28546	As002G047900
OG0000154	g27332	As007G152520
OG0000154	g12277	As009G210670
OG0000154	g7492	As002G034300
OG0000154	g54073, g45315, g5784	As005G107550
OG0000155	g23645, g17338, g42046, g47372, g45159	As003G059350
OG0000161	g392, g9880, g24551, g24552, g24222, g24219, g45103, g45101	As001G013550, As001G029600, As001G029610
OG0000162	g1914	As012G286440
OG0000164	g23474	As011G264140, As011G262780
OG0000165	g11180, g53396, g31934, g52929, g53395, g43054, g10670, g12347	As011G245360
OG0000165	g43341, g44494, g3418, g37113, g36035, g37408, g41606, g13909	As001G011340, As001G010810, As001G010990, As012G282150
OG0000166	g32988, g18507, g12785, g438, g473, g49225, g30202, g30203, g20814	As010G228020
OG0000167	g17407, g24121	As003G057890
OG0000168	g43389	As008G194570
OG0000168	g43053, g25582, g6463	As010G230090
OG0000171	g5177	As007G159620, As001G020870
OG0000171	g50297, g32098, g27548	As004G097180
OG0000171	g44698	As003G073770
OG0000171	g29297	As009G200410
OG0000178	g54041, g13306, g2114, g43527, g43534, g43530, g38190	As001G013240
OG0000184	g35558, g35553, g3065, g43650, g15959, g53597, g36626, g53120, g22863, g17905, g44091, g17915, g2401, g5948, g51641, g10990, g27914, g52236, g53121, g53878, g53859, g35463, g48936, g32701, g50735, g44198, g25628, g25240, g11530, g35054, g44991	As004G089570
OG0000187	g35037	As001G003940
OG0000190	g40442, g45169, g45158, g45173	As004G085680
OG0000192	g50732, g27488	As007G157190
OG0000195	g28899, g761	As005G112850
OG0000195	g18117	As001G028840
OG0000204	g11805	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590
OG0000206	g27139, g38106, g44429	As003G068620
OG0000206	g37022	As001G006580
OG0000207	g4045, g4046	As003G061070
OG0000208	g19610	As003G075200, As003G075180, As003G075210, As003G060140
OG0000208	g1632	As003G075160
OG0000213	g28220, g50932, g50935, g50928, g50931, g38464	As002G038840
OG0000215	g16651, g46380, g31873, g44183, g31839	As011G258310
OG0000217	g31539, g1718, g44052	As001G019850
OG0000218	g31564, g49926, g25893, g10793	As001G022650
OG0000219	g13335, g45479, g28368	As001G028500, As001G028480
OG0000219	g311	As003G064990
OG0000221	g52806	As002G040520
OG0000224	g46370	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	g40852	As001G031540
OG0000225	g27682	As003G069680, As003G070050
OG0000228	g32057	As007G159250
OG0000228	g44676, g44668, g44669, g44677	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	g46733	As004G077900
OG0000231	g18039	As001G028220
OG0000233	g53703	As005G111800
OG0000233	g53710	As005G111810
OG0000234	g19128	As012G281460
OG0000234	g2235, g51765	As006G143800
OG0000234	g29346	As009G210340
OG0000237	g33179, g33208	As010G229740
OG0000237	g26037	As008G190240, As008G190220, As008G190230, As003G067900, As006G149240
OG0000237	g52606, g16443	As011G257810
OG0000238	g48923, g31881	As008G190870
OG0000242	g14258, g14272, g6162, g31494, g27257, g49902, g31496, g31497, g31498, g31499	As008G183340, As008G183330
OG0000244	g17320	As003G059930, As004G085820, As004G085870, As003G059920, As003G059880, As003G059910, As003G059890, As003G059900, As004G085860, As004G085850
OG0000246	g6324	As012G280010
OG0000248	g41086, g41090, g41083	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	g43114	As012G276740
OG0000249	g51603	As006G145310
OG0000249	g37185, g43113, g43105, g51605	As006G145330, As008G193990, As006G145350, As006G145320
OG0000253	g15865, g14571, g24991, g33178	As003G066460
OG0000256	g50554	As006G142420
OG0000256	g50556	As006G142430
OG0000257	g22762, g48005	As002G035710, As012G268510
OG0000258	g39309	As002G048970
OG0000264	g25493	As004G086270, As010G229170
OG0000268	g1514	As001G023230
OG0000268	g45297	As005G106920
OG0000268	g19165	As012G278370
OG0000270	g23060, g18216, g18323	As003G075960
OG0000271	g25541	As004G086280
OG0000272	g6807	As003G064910
OG0000272	g54012, g11179	As006G146450
OG0000274	g28758	As005G114920
OG0000274	g39974	As006G128840, As006G128830
OG0000276	g17712, g53651	As011G256110
OG0000276	g17631	As007G163350, As007G163430
OG0000277	g47115	As004G096710
OG0000277	g47117	As004G096720
OG0000279	g53522	As001G004840, As010G237280
OG0000279	g53521	As007G165600
OG0000279	g52217, g11045, g757, g47019, g545, g29414, g50555, g22903, g26848, g30825, g17765, g50710	As007G178830
OG0000280	g35653, g17706, g14479, g49085	As004G093300
OG0000280	g6911, g3091, g34941, g53473, g49339, g12351, g14062, g11985	As002G035770
OG0000282	g45483	As002G055220
OG0000283	g11114, g11113, g39732	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	g10112	As006G139300
OG0000284	g12521	As006G139290
OG0000291	g34805, g52646, g35477, g52325, g16568, g3759, g25120, g34564, g54048, g7965, g35842, g42625, g43848, g39202, g11597, g52455, g53119, g43960, g15668, g42588, g45080, g15851, g48989, g21527, g25305, g52933, g22068, g42482, g3695, g21935, g49081, g35278, g6425, g43604, g16043, g43632, g43447, g15497, g42794, g22549, g43019, g33226, g42496, g49090, g34886, g25980, g20769, g22618, g34538, g8938, g48008, g43302, g26502, g30154, g48997, g8012, g33661, g9169, g26368, g25961, g48062, g33098, g43399, g42918, g16754, g44245	As008G188960
OG0000294	g6947	As011G249490
OG0000294	g39522, g25429	As006G122700
OG0000294	g26892	As008G198060
OG0000295	g12173, g12193, g12167, g12172	As011G246810
OG0000297	g41326	As005G114280
OG0000299	g53411, g29745	As010G241870, As010G241880
OG0000299	g6206, g50959, g27806	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800
OG0000299	g29744, g53412	As010G241860, As009G207860
OG0000300	g13574, g6349	As008G194750
OG0000303	g14940, g20406, g21339, g26299	As003G069740
OG0000307	g21465, g35885, g35379, g15458	As010G227530
OG0000308	g44591	As010G240850, As010G240840, As010G240940, As010G240920
OG0000310	g19547, g28753	As005G115910, As001G004860, As001G003850, As005G113880
OG0000311	g45737	As009G202530
OG0000311	g36325	As012G273730
OG0000311	g6918, g13293	As011G249880
OG0000311	g46788	As004G077290
OG0000311	g45009	As001G029000
OG0000312	g11348, g13763, g25651, g13342, g5819, g24623, g26314, g5671, g53558, g42177, g3059, g53788, g6280, g11346, g26744, g3332, g4910, g27925, g10009, g53557, g13693, g36821, g40534, g641, g43795, g43779, g1912, g52173, g18350, g4001, g3947, g42789, g46412, g19088, g12441, g11349, g5820, g46271, g13762, g25589, g1910, g24624, g17498, g39373, g16274, g53559, g43778, g42139, g25650, g40665, g640, g18533, g16422, g27342, g28654, g3060, g32480, g40533, g18532, g1911, g25641, g13692, g36424, g10008, g16770, g5672, g27926, g26743, g39996, g13341, g19089, g12440, g46445, g22876, g10749, g27038, g53377, g35855, g10616, g10691, g16713, g27037, g27216, g46411, g44013, g3944, g35900, g7197, g23887, g24954, g24755, g17641, g46410, g41520, g42751, g16209, g47924, g39870, g12807, g10854, g23886, g41519, g23232, g27041, g49023, g6474, g1096, g17860, g23869, g47922, g46907, g14374, g51767, g36589, g17158, g17876, g6303, g25718, g51864, g17580, g36426, g5673, g27343, g26782, g16777, g42750, g25027, g44222, g39654, g18519, g38119, g6343, g24708, g53450, g17211, g35898	As002G039610
OG0000313	g24067	As003G058420
OG0000313	g17626	As007G163450, As007G163440
OG0000314	g26947, g49462	As008G195840
OG0000314	g51309, g30904	As006G125760
OG0000315	g16098	As006G137990, As006G137760
OG0000316	g37360, g37362, g37913, g17870	As008G187440, As008G187910
OG0000319	g28817, g849, g41323, g31094, g49601, g27017	As006G129730, As005G114310, As008G191530
OG0000321	g32189, g14307, g38273, g38276, g46827, g46812, g46809	As001G010170
OG0000322	g46450	As009G214030
OG0000322	g32324	As001G014750
OG0000322	g50458, g51878, g53520	As007G153590
OG0000328	g24521, g24516, g24520	As001G029880
OG0000328	g53328, g37787, g37784, g53311, g53348, g53326, g53330, g46723	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070
OG0000332	g28972, g41419, g666	As002G033230
OG0000332	g54159	As011G251780, As012G272450
OG0000334	g2329	As012G277630
OG0000334	g37230, g16596, g44023	As006G146780
OG0000338	g31209, g27091, g31190, g27095	As008G188190, As008G188080, As001G019490, As001G019290
OG0000339	g52289	As005G101130, As012G287430
OG0000340	g38215	As005G103820
OG0000347	g36126	As002G037650
OG0000348	g18434, g24671, g43329, g4284, g43830, g53724	As002G040050
OG0000350	g32411	As003G070220, As003G070200
OG0000351	g45239	As011G246600
OG0000351	g45238	As009G207810, As011G246650
OG0000352	g31677	As007G153380
OG0000358	g49447, g30863, g26927	As006G124930, As008G196330
OG0000358	g29557, g39719, g45514	As008G196390
OG0000360	g9657, g9656, g9658	As005G119730
OG0000362	g43847	As009G205230
OG0000362	g27336	As007G152630
OG0000368	g22842, g16342	As003G073560, As003G073580
OG0000368	g47982, g47983	As003G073600, As003G073590
OG0000370	g23768, g47536	As007G153440
OG0000371	g7650, g11474, g36060, g3821	As005G099710, As005G099720
OG0000374	g36851, g36855, g36853, g36852, g36854, g54187	As012G273470, As012G273550
OG0000378	g35564, g48279, g42661, g26000, g26728, g3460, g53194, g14340, g35740, g25090, g26814, g49158, g24703, g25124, g34269, g53637, g42660, g42669, g24668, g35251, g4719, g26729, g25031, g48278, g22260, g42670, g42662, g24704, g25123, g34270, g11473, g26727, g19614, g22259, g4718, g35252, g25030, g24614, g4053	As003G067400
OG0000382	g25452, g39537, g49381	As006G122900
OG0000382	g31165	As008G188710
OG0000383	g32362, g32361, g27666	As003G069230
OG0000383	g50490	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000386	g10579	As001G025230, As001G025220, As011G256850
OG0000389	g1975	As001G003830
OG0000390	g6787, g13288	As011G251840
OG0000392	g2587	As010G221170
OG0000392	g11310, g11364	As010G221200, As010G221190, As010G221180
OG0000396	g10425	As001G026970
OG0000396	g4323	As001G026990, As001G027000, As001G027010
OG0000397	g20590, g34124, g21030, g9234, g19833, g34190, g21321, g33688, g50770, g21973, g9391, g19874, g39138, g20712, g30574, g26401, g38577, g42624, g20281, g30127, g42694, g26524, g10758, g20952, g22037, g25154, g34098, g38601, g39198, g42403, g34049, g20710, g34058, g33922, g34076, g37456, g5164, g34189, g38912, g8298, g49265, g33592, g8006, g52667, g2229, g47146, g9390, g20268, g16006, g21974, g8836, g20779, g8409, g8534, g30564, g5163, g42428, g21936, g20641, g38849, g20778, g20547, g8327, g38740, g22060, g21946, g9188, g34016, g8291, g34026, g34151, g34055, g22122, g20764, g34089, g20744, g20624, g49007, g20736, g30077, g21031, g39207, g21728, g33972, g21886, g33869, g21932, g22071, g38882, g34075, g37455, g27384, g34048	As003G066740
OG0000398	g27985, g54333	As012G268810
OG0000402	g478, g43406, g12782, g14418	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350
OG0000402	g477	As010G227030, As011G257290
OG0000403	g44123	As001G020780, As001G020790
OG0000404	g51571	As012G276100
OG0000405	g46887, g32218, g47022, g36151, g40695, g39186, g52351, g46888	As002G037720
OG0000405	g13499	As004G089460
OG0000405	g7156, g4021	As004G093310, As004G097610
OG0000406	g5012, g5008, g12661	As006G136090
OG0000409	g23783	As001G002920
OG0000410	g1733, g24568, g44176	As001G021670, As001G021680
OG0000411	g13575	As011G261620
OG0000411	g23976, g17311	As003G060010
OG0000412	g28489	As002G046400
OG0000412	g47623	As006G132500
OG0000412	g36484	As012G271680
OG0000413	g12238	As002G048240
OG0000414	g27592, g50367, g24049, g47348	As003G058750, As003G058770, As003G058760
OG0000415	g4813, g4802	As005G104640
OG0000416	g37911	As006G125710
OG0000416	g49506, g50636	As006G127220, As008G194210
OG0000417	g6467	As007G163710, As008G186410
OG0000420	g23784	As010G222670
OG0000420	g13846	As001G015280
OG0000421	g46706, g53730, g46707	As004G078160, As004G078150
OG0000422	g49629, g49628, g27082, g27081	As008G188280, As008G188290, As008G188300
OG0000423	g12212	As010G241040
OG0000423	g27989, g54339	As012G269020, As011G245910
OG0000429	g598	As009G215310
OG0000429	g45564, g29450	As002G052030
OG0000429	g23276, g47815	As001G004910
OG0000430	g6127	As011G263500
OG0000431	g41054, g44045	As001G019780
OG0000431	g27100, g31232	As008G187750
OG0000432	g39358	As002G044400
OG0000432	g47588, g17129, g23688	As006G134280
OG0000433	g16614	As003G075340
OG0000433	g44024, g44018	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400
OG0000435	g46992, g26157, g46989	As001G004050, As006G138290
OG0000436	g39339, g1080, g28563	As011G266430, As002G048360
OG0000437	g32687	As003G062850
OG0000438	g40411	As004G085300
OG0000439	g49529	As008G194170
OG0000439	g2023	As012G285510
OG0000439	g51246	As006G127290
OG0000440	g12773	As006G136440
OG0000441	g12084, g12086, g12087, g12083	As011G248660
OG0000446	g353, g9852	As009G219000
OG0000446	g27266	As008G183010
OG0000447	g12153, g7121, g13231	As011G247170
OG0000447	g50489, g32357	As003G069220
OG0000448	g10910, g40670, g10911	As004G089550
OG0000449	g19571	As010G224860
OG0000449	g1293, g28780, g41309	As005G114720
OG0000449	g19572	As010G224870
OG0000449	g41304	As005G114730
OG0000452	g47740	As001G002300, As001G002310
OG0000453	g54231, g33385	As002G033360
OG0000454	g890	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520
OG0000457	g28417, g28418	As008G198890, As008G198870, As008G198860
OG0000459	g24037, g24036, g47359	As003G058960
OG0000461	g30720, g1438	As008G199680
OG0000462	g36218, g36226, g36221, g6231	As009G214710
OG0000463	g11422, g2833, g11421	As010G224360, As010G224370
OG0000466	g12390	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670
OG0000468	g19139, g11288	As012G280020
OG0000468	g37303	As006G144160
OG0000471	g27672, g50496, g32378	As003G069540, As003G069550
OG0000472	g46683, g46681	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050
OG0000472	g18100	As004G097020
OG0000481	g40945	As001G021880
OG0000483	g39375	As002G047220
OG0000484	g29022	As009G203850
OG0000487	g12606, g30872, g12810, g7774, g7765	As006G137570, As008G196100, As006G129680, As006G125350
OG0000497	g11659, g23500	As009G210870, As009G211010
OG0000497	g35860, g43698	As010G233080, As007G164590, As007G163820, As007G164600
OG0000497	g53738	As002G040610
OG0000498	g28420, g918	As002G045150
OG0000499	g24192	As003G056720
OG0000499	g13215, g12179	As011G246530
OG0000501	g27874, g32899	As010G232220
OG0000504	g37317	As006G143860
OG0000504	g13045, g12397, g7487	As002G037010, As002G034340
OG0000505	g10041, g580, g10042	As009G215510
OG0000506	g29695, g13576	As010G234690
OG0000509	g24334, g24335	As001G017890
OG0000510	g44132, g41019, g41018, g44133	As001G020890, As001G020900
OG0000511	g40900	As001G032060
OG0000512	g17267, g23904, g24586, g23899, g23901, g23902	As003G061390
OG0000513	g19186	As006G146210
OG0000513	g2921	As005G114770
OG0000514	g6742	As011G252640, As011G252630
OG0000515	g54384	As012G267810
OG0000520	g52272	As002G050660, As002G050220, As012G287100
OG0000521	g32883, g27873	As003G063570
OG0000521	g40242	As004G080410
OG0000521	g46440	As010G235150
OG0000522	g50671, g32646, g50679, g40318	As004G083810
OG0000523	g1820, g1822	As012G287730
OG0000524	g12430	As006G141600, As006G141560, As006G141590
OG0000525	g46461	As010G241940
OG0000525	g27359	As007G153430
OG0000525	g36635	As012G269710
OG0000526	g2744	As010G223400
OG0000526	g19502	As010G223440
OG0000530	g29147, g29150, g29148	As009G203010, As009G203020, As009G203100, As009G203060, As009G202740
OG0000535	g40981	As001G023320
OG0000535	g1517	As001G023310
OG0000536	g3462	As010G228630, As004G090520
OG0000537	g45190	As006G124070
OG0000537	g26286, g46950	As004G093070
OG0000537	g7589, g12972	As006G141200
OG0000538	g37511, g52123, g51516	As005G103710, As005G103700
OG0000539	g8	As005G120910
