Orthogroup	Cochlearia_excelsa	Eutrema_salsugineum
OG0000003	g20618, g30193, g21406, g42425, g33817, g15177	XP_024013060.1
OG0000004	g10434, g43405, g12783, g14416, g3096	XP_024013148.1
OG0000004	g36856, g41934, g15642	XP_024014264.1
OG0000004	g43738	XP_024004139.1
OG0000004	g32052, g40877	XP_024008027.1
OG0000004	g44562, g51061, g1238, g44545, g28474, g44506, g5899, g23419, g2263, g52921, g13894, g34861, g19097, g29058	XP_024004414.1
OG0000005	g36085, g26760, g14872	XP_024014484.1, XP_024013044.1, XP_024009292.1
OG0000005	g44061, g30358, g31394, g54192, g43888, g3832	XP_024013918.1, XP_024007904.1
OG0000005	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090, g9847, g53582	XP_006404467.1
OG0000005	g35969	XP_024009307.1
OG0000005	g10582	XP_024004939.1
OG0000005	g4402	XP_024016213.1
OG0000005	g43360	XP_024014912.1
OG0000005	g43361	XP_024006395.1
OG0000006	g16483	XP_024012910.1
OG0000006	g51769, g50470, g45886	XP_024013935.1
OG0000006	g4033, g47006	XP_024004051.1
OG0000006	g41913, g42739	XP_024006790.1, XP_024014672.1
OG0000006	g24749, g9677	XP_024007990.1, XP_024006104.1, XP_024004744.1, XP_024013221.1, XP_024016233.1, XP_024015025.1, XP_024013606.1
OG0000006	g9032, g4218	XP_024004172.1
OG0000006	g35394, g34804	XP_024004241.1
OG0000006	g23854	XP_024009670.1
OG0000006	g4635	XP_024011309.1
OG0000006	g14489	XP_024006428.1
OG0000006	g25855	XP_024006841.1, XP_024006492.1
OG0000006	g40547	XP_024013856.1, XP_024014636.1
OG0000006	g43721	XP_024010848.1, XP_024004788.1
OG0000006	g5266	XP_024012279.1, XP_024004851.1, XP_024009378.1, XP_024009383.1
OG0000007	g32529, g4407, g31989, g13935, g14625, g51108, g47070, g1710, g16965, g1635, g23387, g43826, g49581, g17148, g14904, g12767, g557, g47735, g14365, g14626, g1711, g39880, g3316	XP_024004899.1
OG0000008	g27813	XP_024011354.1, XP_024004796.1, XP_024014490.1, XP_024015964.1
OG0000008	g52586	XP_024004048.1
OG0000008	g35285	XP_024015912.1
OG0000008	g26783	XP_024013171.1, XP_024010288.1, XP_024007970.1
OG0000008	g27995	XP_024007971.1
OG0000008	g36794	XP_024006483.1
OG0000008	g39484	XP_024010377.1, XP_024010217.1
OG0000008	g49591	XP_024009261.1
OG0000010	g48055, g21528, g3243, g30443, g48036	XP_024014048.1
OG0000010	g47252, g39500, g24132, g5068, g50920	XP_006408809.2
OG0000010	g44720, g33041	XP_024016379.1
OG0000010	g28227	XP_024010715.1
OG0000010	g52910	XP_024015164.1, XP_024011409.1
OG0000010	g43026	XP_024005930.1, XP_024013196.1
OG0000010	g4530	XP_024014412.1
OG0000010	g30462, g52428	XP_024011402.1, XP_024006535.1
OG0000010	g25611, g42724, g21558, g24842, g4696, g16438, g14613, g21436, g43840, g44712, g16683, g42926, g35691, g30752, g14081	XP_024006470.1
OG0000010	g41484, g8779	XP_024013115.1, XP_024005000.1
OG0000010	g11190	XP_024014009.1, XP_024005602.1
OG0000010	g17572, g53675, g54116, g54113, g54241, g6234, g53260, g44812, g24010, g44192, g3068, g39175, g28023, g4887, g47228, g8005, g26725, g35833, g35518, g53673, g3069, g17573, g3504, g9319, g53408, g28022, g39176, g53409, g26698, g35837, g41542, g11588, g8003, g9317	XP_024015893.1, XP_024010463.1, XP_024007899.1
OG0000010	g30067, g3926, g53883	XP_024013164.1
OG0000011	g24724	XP_024013517.1
OG0000011	g42924	XP_024009191.1, XP_024007975.1, XP_024004037.1, XP_024013982.1, XP_024016238.1, XP_024014463.1, XP_024004034.1, XP_024014215.1
OG0000011	g1630	XP_024009752.1
OG0000011	g3436	XP_024013555.1, XP_024014250.1, XP_024004056.1, XP_024015282.1, XP_024005228.1, XP_024013668.1, XP_024011270.1, XP_024011250.1, XP_024016577.1, XP_024006682.1, XP_024010432.1, XP_024013382.1, XP_024016101.1, XP_024008037.1, XP_024016298.1, XP_024004043.1, XP_024006510.1, XP_024013925.1
OG0000011	g26075, g4219, g9033	XP_024010196.1
OG0000012	g6328	XP_024016167.1
OG0000012	g3443, g34444, g34449	XP_024013199.1
OG0000012	g22633, g29934, g15083, g22215, g22629, g22646, g15076, g22641, g29927, g22634, g29918, g22636, g22650, g22626, g22643, g29930, g22625, g34876	XP_024005031.1
OG0000012	g42217, g52731	XP_024004033.1
OG0000012	g42216, g42233	XP_024010406.1
OG0000013	g52620	XP_024010488.1, XP_024009587.1, XP_024014718.1, XP_024014871.1, XP_024010269.1, XP_024010603.1, XP_024010602.1, XP_024015954.1, XP_024009244.1, XP_024009423.1, XP_024007245.1, XP_024009582.1, XP_024009448.1, XP_024007269.1, XP_024014984.1, XP_024006558.1, XP_024011363.1, XP_024013386.1, XP_024010675.1, XP_024010915.1, XP_024005024.1, XP_024013120.1, XP_024013068.1
OG0000013	g48035	XP_024011336.1, XP_024007272.1
OG0000013	g52356	XP_024004869.1, XP_024013112.1
OG0000013	g24947, g35918, g53893, g41958	XP_024009217.1, XP_024010471.1, XP_024016668.1, XP_024004795.1, XP_024015926.1, XP_024006469.1, XP_024007909.1, XP_024006481.1, XP_024010423.1, XP_024016274.1
OG0000014	g37854, g44201, g25623	XP_024016530.1
OG0000014	g51642, g51639, g52234	XP_024006432.1, XP_024013961.1
OG0000014	g35462, g22865, g25239, g2403, g43444, g14684, g51667, g10636, g1971, g16696, g10635, g10250, g28380, g40837, g27277, g11042, g6703, g5857, g12182, g17733, g4522, g4817, g28381, g10251, g5946, g32004, g44051, g39722, g1567, g16864	XP_024006397.1
OG0000014	g34969, g44092, g17909, g17916	XP_024004022.1, XP_024009402.1
OG0000014	g43483	XP_024004866.1
OG0000014	g37855, g34322, g34333, g14397, g1371, g9158, g24560, g8931, g20629, g40584, g25627	XP_024009964.1
OG0000014	g14333, g48940, g28379, g22864, g14683, g17906, g30722, g53391, g16697, g10634, g1970, g40835, g10249, g44050, g4521, g17734, g32003, g4816, g28378, g1568, g51668, g10565, g27276, g40834, g40838, g10566, g53860, g35555	XP_024013371.1, XP_024016228.1
OG0000014	g51640, g52235	XP_024013181.1, XP_024016301.1, XP_024004089.1
OG0000015	g53814, g16594, g16764, g14880, g952, g32985, g12170, g24863	XP_024012449.1
OG0000015	g3313, g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567	XP_024006904.1
OG0000015	g35685, g3173	XP_024014590.1
OG0000015	g28764, g14677, g6769, g4758, g26125, g35711, g35700	XP_024006143.1
OG0000017	g5712, g5713	XP_024010923.1, XP_024015878.1, XP_024016723.1, XP_024004986.1, XP_024014812.1, XP_024016106.1, XP_024006565.1, XP_024011333.1, XP_024013063.1, XP_024010757.1, XP_024015902.1, XP_024006617.1, XP_024007259.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024006547.1, XP_024014443.1, XP_024010319.1, XP_024013043.1, XP_024013948.1, XP_024010782.1, XP_024013965.1, XP_006405034.2, XP_024013964.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013056.1, XP_024014425.1, XP_024009794.1, XP_024013930.1
OG0000017	g4190, g3679, g33003	XP_024005003.1
OG0000017	g34543	XP_024014745.1
OG0000017	g3669, g48346, g48867	XP_024016132.1
OG0000017	g8266	XP_024014258.1
OG0000017	g41997, g33121, g3359, g6214	XP_024010776.1, XP_024011342.1, XP_024013985.1, XP_024014689.1, XP_024014221.1
OG0000018	g14567, g33125, g25750	XP_024008232.1
OG0000019	g16593, g27930, g4588, g36529, g42561, g14492, g51080, g41576, g52671, g24908, g42560, g4839, g33386, g45605, g16592, g1020, g46208, g40680, g40322, g46628, g9756, g2482, g2714, g46138, g11450, g50714, g6794, g51199	XP_024003642.1
OG0000019	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706	XP_024010115.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024014025.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1, XP_024016207.1, XP_024004800.1, XP_024016569.1
OG0000019	g18942, g2713	XP_024016750.1
OG0000019	g2720, g19256	XP_024004844.1, XP_024004832.1, XP_024012731.1, XP_024006275.1
OG0000020	g35282, g34309, g41784, g25262, g3253, g8229, g5355, g32774, g16031, g35327, g35065, g34339, g4385, g27854, g31992, g15955, g29531, g13754, g35344, g16096	XP_024005014.1
OG0000020	g35283, g34310	XP_024009309.1
OG0000020	g7451	XP_024007954.1
OG0000020	g34311, g35284, g3254, g4129, g26122	XP_024004841.1
OG0000021	g14063	XP_024006573.1, XP_024005010.1, XP_024015179.1, XP_024016553.1
OG0000021	g49844, g38320	XP_024009427.1
OG0000021	g45682, g1448	XP_024004072.1
OG0000021	g18622, g34726	XP_024006452.1
OG0000021	g41636, g35681, g14225	XP_024010290.1
OG0000021	g40050, g47160, g49473, g26165	XP_024004813.1, XP_024004020.1
OG0000023	g23897	XP_006413557.1
OG0000023	g25717, g25713	XP_024010236.1
OG0000023	g48946, g43193	XP_006396897.2
OG0000023	g25723	XP_006396896.1
OG0000023	g25720	XP_006396908.2
OG0000023	g40374	XP_006396890.1
OG0000023	g23907, g24643	XP_024004623.1
OG0000024	g50024	XP_024015890.1, XP_024015948.1, XP_024009340.1, XP_024009360.1, XP_024016194.1, XP_024010576.1, XP_024016381.1
OG0000024	g36077	XP_024010607.1, XP_024010395.1, XP_024010031.1, XP_024014629.1, XP_024013325.1, XP_024009252.1, XP_024005030.1, XP_024010538.1, XP_024013236.1, XP_024009358.1, XP_024006512.1, XP_024010470.1, XP_024015875.1, XP_024007256.1, XP_024014509.1, XP_024014381.1, XP_024013956.1, XP_024015961.1, XP_024014533.1, XP_024010352.1, XP_024014232.1, XP_024016364.1, XP_024013986.1, XP_024016315.1, XP_024010240.1, XP_024015868.1, XP_024009903.1, XP_024009316.1, XP_024013380.1, XP_024010351.1, XP_024014578.1, XP_024004921.1, XP_024004997.1, XP_024016561.1, XP_024015840.1, XP_024015053.1, XP_024011325.1, XP_024010433.1, XP_024010388.1, XP_024007293.1, XP_024004023.1, XP_024010308.1, XP_024014886.1, XP_024013048.1, XP_024014471.1, XP_024014504.1, XP_024013395.1, XP_024005028.1, XP_024007270.1, XP_024014523.1, XP_024009257.1, XP_024015873.1, XP_024006660.1, XP_024016277.1, XP_024015857.1, XP_024013208.1, XP_024009483.1, XP_024004978.1, XP_024009413.1, XP_024010416.1, XP_024006477.1, XP_024004833.1, XP_024013110.1, XP_024014290.1, XP_024011257.1, XP_024015161.1, XP_024010460.1, XP_024010296.1, XP_024015036.1, XP_024013216.1, XP_024010356.1, XP_024010434.1, XP_024016114.1, XP_024010345.1, XP_024014548.1, XP_024004944.1
OG0000026	g17281, g33392, g4347, g50791, g25246, g46637	XP_024014744.1
OG0000026	g27047	XP_024009325.1, XP_024006530.1, XP_024013992.1, XP_024011284.1
OG0000027	g43450	XP_006393240.1, XP_006393242.1, XP_006393293.1, XP_006393290.1, XP_006393291.1, XP_006393292.2, XP_006393224.2
OG0000027	g40788	XP_006415341.2, XP_024007951.1, XP_006415394.1
OG0000027	g2269	XP_006402766.1
OG0000029	g13421, g8998, g26310, g29945, g30548, g38806, g8608, g9084, g30701, g9122, g48831, g29967, g8634, g30668, g16178, g36823, g26225, g26222, g43704, g4265, g4261, g27334, g29817, g13419	XP_024007307.1
OG0000029	g27333	XP_024010526.1
OG0000029	g35531, g12208	XP_024013940.1
OG0000029	g1672	XP_024005553.1
OG0000030	g41465, g35926	XP_024009659.1
OG0000030	g6307, g53556	XP_024009944.1
OG0000030	g35927, g599, g13492, g26692, g27960, g54342, g16927	XP_024011303.1
OG0000030	g43602, g51339	XP_024016200.1
OG0000030	g8825, g44522, g52187, g7355, g48552, g20859, g38829, g47921, g53555, g6340, g37181, g16111	XP_024009281.1
OG0000031	g40889	XP_006391833.2
OG0000031	g40881, g40949, g40859, g40857, g40951, g6403, g40794	XP_006391783.1, XP_006391806.1, XP_006391807.1, XP_006391822.1, XP_006391862.1, XP_006391821.1, XP_006391819.1, XP_024003783.1, XP_006391808.1, XP_006391749.1
OG0000031	g5030	XP_006400202.2
OG0000031	g13269	XP_024015415.1
OG0000031	g17118	XP_006413138.1
OG0000031	g40752	XP_006391605.2
OG0000032	g3147, g20823	XP_024014421.1
OG0000032	g53822, g44165, g4624, g6966, g53873, g32714, g13890, g46293, g39938, g26771, g32568, g29256, g19401, g44942, g3737	XP_024011365.1
OG0000033	g23911	XP_024010975.1
OG0000033	g24014	XP_024005104.1
OG0000033	g23912	XP_006413576.1
OG0000034	g15118, g44910	XP_024016360.1, XP_024014012.1, XP_024016375.1
OG0000034	g42218, g42234	XP_024004803.1
OG0000034	g15664, g3441, g9297	XP_024016361.1
OG0000035	g51285	XP_024005913.1
OG0000035	g29294, g52064, g52069, g52073	XP_006407903.2
OG0000036	g3196	XP_024013600.1
OG0000036	g23185, g33000, g49100, g41178, g43966	XP_024012609.1, XP_024009371.1
OG0000037	g24879, g28165, g5623, g29089, g26707, g24763, g47054, g2374, g50425, g35466	XP_024006537.1
OG0000037	g10090	XP_024009363.1
OG0000038	g24239	XP_024013595.1
OG0000038	g49458	XP_006412465.2
OG0000038	g44982, g44984, g44985, g7414	XP_024015270.1
OG0000040	g38367, g38376, g38372, g38380	XP_024008003.1
OG0000040	g13193, g13194	XP_024015244.1, XP_024010547.1, XP_024009293.1
OG0000040	g13797, g13799	XP_024016186.1
OG0000042	g26735, g12385	XP_024006511.1
OG0000042	g41631, g25133, g41632, g52948, g49021	XP_024009299.1
OG0000042	g49152	XP_024006069.1
OG0000042	g22786, g41711, g1466, g28310, g17388, g32821	XP_024009938.1
OG0000043	g48023, g20877, g16667, g2616	XP_024010437.1, XP_024007262.1, XP_024009578.1, XP_024013932.1, XP_024010157.1, XP_024006559.1
OG0000043	g11527, g13738	XP_024006543.1
OG0000043	g32961	XP_024006482.1
OG0000043	g22195	XP_024009399.1
OG0000043	g48032	XP_024007316.1, XP_024007298.1
OG0000043	g34238	XP_024009765.1, XP_024010410.1, XP_024016309.1
OG0000043	g35754	XP_024010349.1
OG0000043	g3543, g19674, g47268	XP_024009470.1, XP_024013312.1, XP_024013525.1, XP_024015866.1, XP_024016521.1
OG0000043	g53889, g53885, g42037	XP_024013069.1
OG0000043	g14337, g24011, g3506, g47231	XP_024009580.1
OG0000043	g4564, g25886, g53199, g35810, g14843	XP_024014519.1
OG0000043	g33040	XP_024013224.1, XP_024009176.1, XP_024010625.1, XP_024009457.1, XP_024016866.1, XP_024009118.1, XP_024015906.1
OG0000044	g11589, g26196	XP_024010419.1, XP_024009726.1
OG0000044	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931, g36166, g25959	XP_024015030.1
OG0000045	g7244, g39351, g17718, g41293	XP_024010150.1, XP_024008086.1, XP_024015905.1, XP_024013201.1
OG0000045	g42618	XP_024011373.1, XP_024015844.1, XP_024006123.1, XP_024006531.1, XP_024010635.1, XP_024009411.1
OG0000046	g46717	XP_024014419.1
OG0000046	g18113	XP_024014362.1
OG0000046	g18042	XP_006391458.1
OG0000047	g12885, g12881, g4320, g7910, g17624, g3384, g3851	XP_024014292.1
OG0000047	g17625, g1600, g9048, g38613, g25950, g51908, g51086, g3105, g35778, g4908, g50533, g4057, g45362, g11965, g14017, g40648, g36233, g53480, g48919, g51839, g3386, g1262, g46383, g37253, g10849, g36778, g1473, g49160, g47659, g43703, g25474, g28245, g53765, g45296, g42772	XP_024013907.1
OG0000047	g51126, g3852	XP_024011136.1
OG0000048	g29028, g29029	XP_006400352.1, XP_006400344.1
OG0000048	g4944	XP_006400345.1
OG0000049	g43788, g43772, g13437, g45167, g147, g24813, g7666, g51916, g39805, g10790, g44228, g1493, g2502, g53420, g10267, g16671	XP_024004893.1
OG0000049	g7668, g44227, g39804, g53419	XP_024004768.1
OG0000049	g45435	XP_024011348.1
OG0000049	g17752, g35246, g25631, g52028, g45305, g46623, g39982, g37529, g36193, g23611, g11002, g2399, g23029, g22934, g376, g47861, g44112, g6602, g36505, g12095, g19466, g919, g7174, g3137, g27324, g24163, g1087, g46399, g46729, g50524, g28511, g54100, g47181, g829, g46775, g28413, g14428, g45388, g13757, g29231, g6871, g32168, g24458, g6376, g43896, g4749, g12068, g44857, g3861, g36846, g23483, g47037, g18721, g11656, g27986, g5166, g50226, g12226, g46640, g41551, g45877, g11828, g49352, g32343	XP_024011200.1
OG0000050	g44326, g2819, g44187	XP_024013032.1
OG0000052	g37450	XP_024004184.1
OG0000054	g9679, g35281, g34308, g35248, g9678	XP_006397270.2
OG0000055	g44206	XP_006405761.2
OG0000055	g40901	XP_006391863.1, XP_024016712.1, XP_006391858.2
OG0000057	g23114	XP_006417574.1, XP_006406803.2
OG0000057	g15973, g17828	XP_006398121.1, XP_006406735.1
OG0000057	g27361, g5648	XP_024012536.1
OG0000058	g10583	XP_024004962.1, XP_024006598.1
OG0000059	g6571	XP_024004071.1
OG0000059	g43343	XP_024013223.1
OG0000059	g42621	XP_024011850.1, XP_024004984.1
OG0000059	g14202	XP_024014297.1
OG0000059	g24632	XP_024013471.1, XP_024011406.1, XP_024015967.1, XP_024013050.1, XP_024006528.1, XP_024010162.1, XP_024013151.1
OG0000059	g39389, g39352	XP_024014004.1
OG0000059	g42622	XP_024009246.1
OG0000061	g51097, g11499, g25472, g32592, g17431, g28656, g13832, g11373, g15781, g584, g45295, g49162, g11094, g32135, g50796, g25177	XP_024004223.1, XP_024014389.1
OG0000062	g32823, g13726, g11246, g41835	XP_024014042.1
OG0000065	g20963, g34002, g9410, g20566, g34601, g15147, g49183, g9097, g9330, g21102, g48353, g38605, g21237, g20503, g3890, g30656, g20961, g8443, g43174, g26242, g26207, g20336, g21055, g39103, g12628	XP_024006661.1
OG0000066	g5393	XP_024005720.1, XP_006399597.1, XP_006390289.1, XP_024005718.1
OG0000066	g156	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1
OG0000067	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011	XP_006406656.1
OG0000070	g30429, g30434, g34722, g20467, g25157, g21277	XP_024010588.1
OG0000070	g3658, g16018, g33103, g33082, g33075, g6383, g4182, g14664, g41983, g33049, g26414, g43980, g43401, g38750, g11415	XP_024013310.1
OG0000070	g6384, g33081, g33074, g4181, g43402, g6385, g42779, g53235	XP_024016295.1
OG0000070	g24990, g40193	XP_024010546.1
OG0000071	g36375, g47125, g4591, g36881, g27012	XP_024010849.1, XP_024009972.1
OG0000072	g33477, g30198	XP_024009348.1, XP_024013914.1, XP_024006596.1, XP_024009952.1, XP_024014026.1, XP_024010244.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009380.1, XP_024009792.1, XP_024010384.1, XP_024009711.1
OG0000073	g10944	XP_024009991.1
OG0000073	g18482	XP_006398345.1
OG0000073	g54289	XP_024011128.1
OG0000075	g5026	XP_024006207.1
OG0000075	g49834, g49840, g49829	XP_006417013.1, XP_006417028.2
OG0000076	g2410	XP_024008507.1
OG0000076	g10535	XP_024007553.1
OG0000077	g46525	XP_024014654.1
OG0000078	g32727, g44450, g24957	XP_024013973.1, XP_024006349.1, XP_024011414.1, XP_024009421.1, XP_024004909.1
OG0000079	g2000	XP_024012921.1
OG0000079	g18915	XP_006402736.1
OG0000080	g23667	XP_006413201.2, XP_006413190.1
OG0000081	g36469	XP_024004911.1
OG0000081	g6399	XP_006415657.1, XP_024008000.1, XP_006415686.2
OG0000081	g18040	XP_006400346.2
OG0000081	g13268	XP_024010362.1
OG0000082	g33413, g33414, g25297, g33412, g33411	XP_024013185.1
OG0000082	g52877, g26306	XP_024009693.1
OG0000083	g46885	XP_006406083.1
OG0000083	g7705	XP_024009012.1
OG0000085	g23926	XP_024011196.1
OG0000085	g45065	XP_024013061.1
OG0000087	g9991	XP_006404194.1, XP_006394642.1
OG0000087	g5316	XP_006399740.1
OG0000087	g40485, g11055	XP_006403108.1
OG0000087	g17371, g24042	XP_006413842.1
OG0000087	g46232	XP_006390273.1
OG0000088	g19510	XP_006404361.1
OG0000088	g40516	XP_006398111.1, XP_006398110.2
OG0000088	g46886	XP_024011698.1
OG0000088	g28933, g28934	XP_024011446.1
OG0000089	g29544	XP_006399464.1
OG0000089	g13323, g11989	XP_006406564.1
OG0000089	g2333	XP_006410952.1
OG0000090	g50123	XP_006416426.1
OG0000090	g46242	XP_006390250.1
OG0000090	g10675	XP_006402629.2, XP_006395735.1
OG0000093	g18958	XP_024012757.1
OG0000096	g1538, g1535	XP_006395720.2, XP_006395727.1, XP_006395717.2
OG0000096	g18473	XP_024004738.1
OG0000096	g44008, g44009, g44007	XP_006392390.2
OG0000097	g45186, g45201	XP_006417793.2
OG0000097	g25521, g25536, g25522	XP_006403998.2
OG0000098	g24753	XP_024013484.1
OG0000099	g43603	XP_006405351.1
OG0000100	g17260, g37826	XP_024013152.1
OG0000101	g13563	XP_024014029.1
OG0000102	g19357	XP_024009242.1
OG0000104	g6675	XP_006406282.1
OG0000104	g54236	XP_024006009.1
OG0000104	g54244, g54237, g54238	XP_006392988.1, XP_024006272.1, XP_006392987.1
OG0000104	g37858	XP_024003673.1
OG0000105	g43456	XP_024011316.1
OG0000106	g49764	XP_024004907.1, XP_024007223.1
OG0000106	g6393	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000107	g6757	XP_024015177.1
OG0000108	g11756	XP_006403292.2, XP_024009712.1
OG0000109	g43843	XP_024004593.1
OG0000110	g2009	XP_006402710.1
OG0000110	g18900, g2008	XP_006402714.1
OG0000110	g50627	XP_006402715.1
OG0000110	g2010	XP_024012970.1
OG0000111	g51066	XP_024014706.1, XP_024014454.1, XP_024014448.1, XP_006405758.2, XP_024014449.1
