Orthogroup	Cochlearia_excelsa	Noccaea_praecox
OG0000004	g36335	Np005G308780, Np001G054660
OG0000004	g40054	Np006G322460, Np007G418310
OG0000005	g44250	Np002G080500
OG0000005	g1512, g23979, g28647, g29131	Np001G041490, Np001G029140, Np001G037430, Np003G173650, Np002G091710
OG0000005	g36068	Np001G027520
OG0000005	g22668, g39670, g49313, g181, g25460	Np006G359670, Np001G029160, Np001G037420
OG0000005	g50155, g5748, g1727	Np001G041480, Np003G174230, Np001G015150, Np001G036410
OG0000005	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090	Np004G203550, Np005G265280
OG0000005	g43359	Np006G352060, Np002G098830
OG0000005	g4402	Np001G012890, Np001G012870
OG0000005	g43360	Np008G427710
OG0000005	g14949, g4309	Np003G175080, Np002G106360
OG0000005	g14417	Np006G355750, Np002G110360
OG0000006	g16483	Np003G145740
OG0000006	g49751, g24749, g9677, g9032, g4218, g35394, g34804, g11663, g32442, g47000, g6208, g23854, g4635, g14489, g35540, g24723, g1457, g1504, g5172, g24823, g23855, g25855, g40547, g43721, g48115, g32111, g42023, g40353, g47960, g40914, g52350, g5266	Np005G313160
OG0000007	g26700, g13385, g6388, g1660	Np007G402890
OG0000007	g11781, g52096, g4660, g33143, g43301, g11618, g54172	Np003G126450
OG0000008	g7452, g29339	Np004G226760
OG0000008	g27995	Np002G096480
OG0000008	g11343, g33123, g13991, g39484, g4392	Np001G053530
OG0000010	g26448, g14316	Np001G027540, Np002G098260
OG0000010	g53601, g53295	Np006G346340, Np001G030570, Np005G296780, Np005G297010, Np006G346440, Np006G348980, Np001G036300, Np006G354450
OG0000010	g19854, g30542, g53110, g14367, g35072, g17508, g3784, g26651, g14586, g43558, g52673, g8735, g30404, g35742, g25236, g32573, g50962, g52621, g52328, g8823, g14370, g19840, g8785	Np009G430520
OG0000010	g25611, g42724, g21558, g24842, g4696, g16438, g14613, g21436, g43840, g44712, g16683, g42926, g35691, g30752, g14081	Np004G221660
OG0000011	g42924	Np001G009230, Np006G351190
OG0000011	g3436	Np003G127440, Np003G182970
OG0000011	g595, g39387, g50471, g45887, g31002, g3488, g4325, g42740, g27504, g48116, g37572, g5173, g42024, g1503, g32112	Np001G018210
OG0000012	g6328	Np006G343630, Np002G100520
OG0000012	g21395	Np003G169510, Np006G350820, Np007G404020, Np004G218280
OG0000012	g32787, g15662	Np006G341490
OG0000012	g15122, g44912	Np010G434900, Np004G239110
OG0000013	g43620, g32917, g24858, g11577, g16510	Np002G102610, Np001G031780, Np003G168300, Np003G170610, Np003G170420
OG0000013	g4139, g16474	Np004G228920
OG0000014	g53053, g15956, g36000, g14332, g10989, g37854, g44201, g25623, g51642, g51639, g52234, g35462, g22865, g25239, g2403, g43444, g14684, g51667, g10636, g1971, g16696, g10635, g10250, g28380, g40837, g27277, g11042, g6703, g5857, g12182, g17733, g4522, g4817, g28381, g10251, g5946, g32004, g44051, g39722, g1567, g16864	Np001G042570, Np002G073300
OG0000014	g28379, g22864	Np004G227310
OG0000014	g50733, g573, g25624, g44199	Np003G187370
OG0000014	g46635, g4677, g16585, g52312, g572, g37414	Np011G435870
OG0000014	g30026, g25218, g52916, g47081	Np002G097020
OG0000015	g53567	Np005G274380
OG0000015	g15603, g23354, g2748	Np007G402630
OG0000015	g3315, g8709, g8210, g24633	Np007G409210
OG0000015	g3775, g53218, g3753, g42134	Np007G416110
OG0000015	g35685, g3173	Np007G416100
OG0000015	g5447, g48096, g4042, g4014, g30179, g21912, g14948, g35471, g12283, g14756, g26107, g39164, g1865, g12584, g7633, g26669, g17276, g2986	Np001G036120
OG0000015	g28764, g14677, g6769, g4758, g26125, g35711, g35700	Np001G029500
OG0000017	g5712, g5713	Np003G166290
OG0000017	g41997, g33121, g3359, g6214	Np003G171300
OG0000018	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010
OG0000019	g16592, g1020, g46208, g40680, g40322, g46628, g9756	Np003G156030, Np004G211950
OG0000019	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706	Np003G166760, Np002G106220
OG0000019	g6080, g43707, g18316, g27825, g2481, g24975	Np001G027620
OG0000019	g28265, g50725, g16517, g46209, g52302, g45606, g36844, g286, g17795, g27603	Np001G031440, Np004G225560
OG0000019	g18942, g2713	Np004G239770
OG0000019	g2720, g19256	Np007G405080, Np001G027610
OG0000020	g49592	Np002G102400
OG0000020	g25930, g51375	Np005G303330, Np004G208430
OG0000020	g29531	Np008G428370
OG0000021	g14063	Np005G303890
OG0000021	g49151, g1467, g49844, g38320, g45682, g1448, g6810, g18622, g34726, g49020, g50933, g50080, g51436, g35680, g25137, g25135, g25134, g41636, g35681, g14225, g40050, g47160, g49473, g26165	Np004G199140
OG0000021	g3725, g24106, g46643	Np002G109960, Np003G148260
OG0000023	g23897	Np005G283730
OG0000023	g48946, g43193	Np003G180640
OG0000023	g25715, g48949	Np005G284010
OG0000024	g45320, g32515	Np002G092500, Np002G100170, Np001G029650, Np002G091590, Np007G393480
OG0000024	g36076	Np005G297260, Np002G098230, Np004G229310, Np002G098240, Np006G346770
OG0000025	g39418, g24597	Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400
OG0000026	g17281, g33392, g4347, g50791, g25246, g46637	Np002G101380, Np004G216210
OG0000026	g51053, g47798, g4344, g43478, g23597, g14579, g3360, g43692, g7899, g2954, g49586, g31803, g4274, g32656, g11709, g44075, g3058, g46225, g1554, g17019, g6169, g23909, g34283, g6803, g35674, g46329, g52008, g14035, g43351, g35266, g9915, g25002, g31760, g21114, g4157, g14556, g51014, g34854, g39311, g31342, g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312, g46948, g36898, g25431, g17280, g25191, g41992, g4231, g43283, g2973, g33119, g33391	Np003G171320
OG0000027	g43450	Np004G198060, Np004G198040
OG0000027	g28294	Np004G214870, Np005G271730, Np004G214850
OG0000027	g2269	Np001G057950, Np001G057940
OG0000029	g16178, g36823, g26225, g26222, g43704, g4265, g4261, g27334, g29817, g13419	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900
OG0000029	g27333	Np002G090000
OG0000029	g4324, g3304	Np001G030650
OG0000029	g41853	Np001G034960, Np004G225420
OG0000029	g41968	Np001G003630, Np001G034950
OG0000029	g49276, g4525, g37385, g6082	Np003G172500
OG0000029	g45349	Np002G113330, Np005G304980
OG0000029	g1671, g52104, g17776	Np004G242790, Np003G126680
OG0000029	g95	Np003G167270
OG0000029	g1672	Np003G172510
OG0000030	g41465, g35926	Np004G229860
OG0000030	g6307, g53556	Np003G173700
OG0000030	g31186	Np006G347830
OG0000030	g35927, g599, g13492, g26692, g27960, g54342, g16927, g43602, g51339	Np002G096310
OG0000030	g43791, g44909, g43774, g43790, g5736	Np006G330890
OG0000033	g23911	Np005G284050
OG0000033	g23912	Np005G284160
OG0000034	g15118, g44910	Np007G396340
OG0000034	g15664, g3441, g9297	Np002G102640, Np002G107950, Np002G118070, Np005G284230, Np002G100100, Np007G396350, Np004G239130, Np006G359400, Np005G318530, Np006G341510
OG0000035	g3814	Np002G092640, Np006G364470
OG0000036	g3196	Np006G342180, Np004G233440, Np005G260660
OG0000036	g23185, g33000	Np006G350450
OG0000036	g49100, g41178, g43966	Np006G342170, Np003G136960, Np002G107350, Np007G403810
OG0000037	g24879, g28165, g5623, g29089, g26707, g24763, g47054, g2374, g50425, g35466	Np001G045190
OG0000037	g23617	Np005G278320
OG0000037	g39408	Np002G088180
OG0000037	g20917, g29939, g20308, g28559, g25198, g14254, g2520, g10090, g6551, g27201, g54294, g38089, g14278, g52663, g1250, g13609	Np002G110300, Np005G302190
OG0000038	g1070	Np003G157800
OG0000039	g4633	Np002G106970
OG0000039	g43206, g26753, g50113, g53808	Np002G100620, Np005G297660, Np009G432470
OG0000040	g38367, g38376, g38372, g38380	Np001G009070
OG0000040	g44631	Np004G224970, Np004G224940
OG0000041	g28599	Np003G171490, Np002G100930
OG0000041	g36073	Np006G346660, Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530
OG0000042	g12385	Np007G420820
OG0000042	g17325, g27760, g45782, g45600, g35119, g54029, g40051, g49152, g3973, g3980	Np001G027800
OG0000042	g18621	Np004G191660
OG0000043	g3049, g30442	Np005G296770
OG0000043	g16404, g16232, g30055, g17329, g34409, g32562, g25038	Np005G292440
OG0000043	g53889, g53885, g42037, g14337, g24011, g3506, g47231	Np008G426930
OG0000044	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931, g36166, g25959	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	g7244, g39351, g17718, g41293	Np006G334530
OG0000045	g42618	Np007G389140
OG0000046	g46717	Np005G314650
OG0000046	g18113	Np005G313330
OG0000047	g42772	Np005G282680
OG0000048	g4944	Np003G145490, Np003G145410
OG0000049	g4748, g12067	Np004G254290
OG0000049	g46775, g28413, g14428, g45388, g13757, g29231, g6871, g32168, g24458, g6376, g43896, g4749, g12068, g44857, g3861, g36846, g23483, g47037, g18721, g11656, g27986, g5166, g50226, g12226, g46640, g41551, g45877, g11828, g49352, g32343	Np002G120530
OG0000050	g44326, g2819, g44187	Np002G095340
OG0000052	g37450	Np003G173020
OG0000053	g2712, g50347, g36530, g16902, g49418, g51200, g3380, g2153, g1735, g51079, g42562, g14493, g24166, g19260, g2184, g2480, g46139	Np001G040210, Np005G311290, Np006G327430
OG0000054	g9679, g35281, g34308, g35248, g9678	Np007G389250
OG0000054	g52587	Np005G282410
OG0000055	g44206	Np005G313590
OG0000055	g40991	Np002G119230
OG0000055	g44205	Np002G119520, Np002G119220, Np002G119170
OG0000057	g50182, g50184, g50186	Np007G419120, Np007G419160, Np005G285180
OG0000057	g15973, g17828	Np007G392240, Np007G392300
OG0000057	g27361, g5648	Np006G333600, Np006G333860, Np003G187520
OG0000058	g50156, g182, g51073, g5874	Np006G359730, Np001G037410
OG0000059	g43343	Np008G426920, Np008G426800
OG0000059	g42621, g14202	Np001G044380
OG0000059	g24632	Np006G352350
OG0000059	g39389, g39352	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750
OG0000061	g45295	Np004G218870, Np004G219580, Np004G218830
OG0000061	g49162	Np007G398820
OG0000061	g4665, g33350	Np005G260230
OG0000062	g11497, g4632	Np004G215190, Np007G396290
OG0000062	g32823, g13726, g11246, g41835	Np003G173970, Np003G170000
OG0000063	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647	Np005G306870, Np003G152310
OG0000065	g30656, g20961	Np007G400220, Np006G346550, Np009G430200, Np011G436850, Np011G436620, Np001G030910, Np008G425970, Np008G426420, Np011G436540, Np006G346420, Np005G295220, Np006G346530
OG0000065	g8443	Np008G428560, Np008G428010
OG0000066	g5393	Np003G137390, Np007G377150, Np005G262320, Np002G077780
OG0000066	g45535, g29501, g9719	Np003G136700
OG0000066	g156	Np004G250000, Np004G250510, Np003G136710
OG0000067	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140
OG0000069	g13794, g4275, g25547, g38079, g36963, g17549, g12998, g7180	Np003G152400
OG0000070	g15856, g15924, g26036	Np004G218430, Np002G100330, Np002G101580
OG0000070	g30429, g30434, g34722, g20467, g25157, g21277	Np002G097070, Np006G358640, Np002G099070
OG0000070	g3658, g16018, g33103, g33082, g33075, g6383, g4182, g14664, g41983, g33049, g26414, g43980, g43401, g38750, g11415	Np002G099020, Np002G110630
OG0000070	g6385, g42779, g53235	Np006G350030
OG0000070	g24990, g40193	Np007G399950
OG0000070	g26415	Np002G099060
OG0000071	g27012	Np006G355640
OG0000072	g33477, g30198	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000074	g50301	Np004G229920
OG0000075	g36278	Np007G378600
OG0000075	g49834, g49840, g49829	Np004G233640
OG0000076	g3195, g1602	Np002G083960
OG0000076	g10535	Np007G423950
OG0000077	g46525	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	g25975, g22716	Np005G261720
OG0000078	g46791, g24881	Np002G086990, Np002G097240, Np002G092810
OG0000080	g41322	Np004G250430
OG0000080	g23667	Np005G278660
OG0000080	g23668	Np006G328080
OG0000081	g13268	Np003G176780, Np003G176800, Np003G176750
OG0000082	g17872, g19303	Np005G302180
OG0000082	g52877, g26306	Np005G274330
OG0000082	g36211, g54030	Np001G045200
OG0000084	g51024	Np006G364960, Np006G365020
OG0000085	g23926, g6225, g11811, g2447, g28998, g41305, g22798, g27140, g51223, g23925, g9976, g44428, g45095, g41306, g45986, g16819, g33053, g33047, g32349, g22731, g13751, g27674, g36174, g17792, g23490, g16728, g23073, g5927, g53641, g37024	Np007G397830
OG0000087	g9991	Np001G049810, Np001G010980
OG0000087	g9845, g2817, g339	Np005G287050
OG0000087	g5316	Np003G139100
OG0000087	g40485, g11055	Np001G039930
OG0000087	g17371, g24042	Np005G287110
OG0000087	g46232	Np002G077440
OG0000088	g40516	Np001G038910, Np001G038970
OG0000088	g28933, g28934	Np003G148700, Np003G148740
OG0000089	g29544	Np003G136030
OG0000089	g13323, g11989	Np007G395030
OG0000090	g50123	Np004G235330
OG0000090	g46242	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	g10675	Np007G385680, Np001G065320, Np001G065030, Np007G389920
OG0000093	g2360	Np001G063230
OG0000096	g1538, g1535	Np002G112160, Np001G024770
OG0000096	g18473	Np001G038620
OG0000096	g18408	Np002G088760
OG0000096	g44008, g44009, g44007	Np002G112600
OG0000097	g45186, g45201	Np003G184970, Np003G184990
OG0000097	g40477, g40479, g40476, g40480, g1561	Np003G171600, Np003G185030
OG0000099	g43603	Np002G113890, Np002G123650, Np007G403740
OG0000099	g46874, g4737	Np004G228310, Np002G123620, Np002G123600, Np002G119820, Np002G123590, Np002G123610, Np002G112400
OG0000100	g17260, g37826	Np004G233090, Np003G158140
OG0000100	g49149, g32974	Np006G360420, Np005G260470
OG0000101	g13563	Np002G122780, Np002G122800
OG0000102	g2701, g43502, g42120, g25862	Np006G343540
OG0000102	g4524	Np006G343550
OG0000102	g17168, g37872	Np002G095410
OG0000102	g14670, g14674, g3225, g25089, g23755, g37179, g16420, g2810, g52815, g32214, g49776, g16019, g45814, g44457, g26056, g51982, g14689, g53169, g45038, g7327, g52993, g53005, g39776, g17169, g30940, g42556, g42170, g42155	Np001G022480
OG0000104	g31072	Np004G251930
OG0000104	g51118	Np006G360060
OG0000104	g6675	Np007G381330
OG0000104	g54244, g54237, g54238	Np004G195150, Np004G195140
OG0000104	g51117, g51119	Np006G360080
OG0000107	g11936	Np007G398420
OG0000107	g6693	Np007G380680
OG0000108	g41770	Np005G305310, Np001G011560
OG0000110	g2009	Np001G064490
OG0000110	g50627	Np001G064450
OG0000110	g2010	Np001G064540
OG0000111	g51066	Np006G327310, Np005G313700, Np005G313670, Np005G313690
OG0000112	g28315, g1342, g28314	Np003G184320
OG0000113	g43820	Np007G416190
OG0000113	g35258	Np002G123190
OG0000113	g54287	Np002G089300, Np002G089320
OG0000117	g14426	Np007G391540
OG0000117	g43638	Np004G191700
OG0000118	g14347, g14348, g14394, g45220, g45247	Np005G315460
OG0000118	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578	Np001G044480, Np005G313880
OG0000119	g52379	Np004G207330, Np002G099820, Np005G299250, Np003G165980, Np004G231120, Np005G282950, Np004G230600, Np003G169670, Np003G176970
OG0000119	g50178	Np002G102980
OG0000120	g40996	Np002G117060, Np002G116940
OG0000120	g6424	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280
OG0000120	g32414, g29781	Np003G129250
OG0000122	g18088	Np001G056320
OG0000122	g1066	Np003G158000
OG0000123	g25911	Np004G243230
OG0000123	g17137	Np005G279480
OG0000123	g25904	Np003G131130
OG0000125	g19182	Np001G056500
OG0000125	g41348	Np003G151060
OG0000125	g2919, g1294, g28781	Np003G152340, Np001G045730
OG0000125	g39998	Np006G359820
OG0000126	g53241, g45978, g37471, g16077, g52267, g32913, g35883, g25977, g19802, g14393, g26747, g1643, g32916, g42286, g45979, g53240, g32663, g19828, g19824, g42291, g3278, g42811, g28336, g49079, g28773, g17732	Np003G176980, Np005G260240
OG0000126	g35446	Np002G094910
OG0000131	g32639, g6351, g24938, g14468, g28182, g27531, g15993, g50797, g15992	Np003G174400
OG0000132	g50629	Np007G378350, Np004G192110, Np001G023710
OG0000133	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132	Np002G099680, Np008G425630
OG0000134	g20890, g48878, g33917, g9237, g33799, g33857, g38909, g21309, g21182, g20425, g48451, g21537, g9600, g34175, g21773, g33854, g15366, g15295, g48455, g33959, g20321, g15392, g33756, g15365, g21160, g15698, g20414, g20512, g33912, g9087, g21838, g21716, g15460, g21006, g15685, g33851, g21745, g48385, g48366, g21734, g16184, g33763, g30122, g21288, g48544, g48547, g33919, g15373, g20612, g15369, g34105, g15377, g9364, g20457, g8301, g38908, g48372, g33821, g9574, g8330, g15490, g30645, g20140, g42391, g33933, g33732, g33953, g48378, g48469, g33757, g33607, g20123, g21879, g15489, g30608, g8917, g33778, g3564, g9498, g9306, g21340, g33845, g33618, g48875, g48382, g48478, g8589, g33730, g9406, g21400, g9522, g21161, g34584, g15314, g34179, g15194, g48351, g30600, g30337, g52757, g42502, g33944, g48350, g33735, g33915, g33764, g48870, g33842, g21622, g34257, g33939, g21223, g21764, g21661, g9119, g9592, g20540, g21172, g9499, g34059, g9500, g3896, g38843, g21178, g38836, g20405, g30491, g8450, g30144, g15539, g15285, g26513, g21569, g15469, g15446, g42552, g34139, g48384, g21900, g9056, g52496, g48184, g52613, g9438, g9422, g34560, g21635, g34174, g34172, g26390, g48137, g30495, g9418, g21737, g9148, g49256, g48187, g34199, g21157, g20342, g33896, g20446, g33859, g39050, g33787, g8587, g42377, g8977, g21194, g20338, g38965, g33783, g38724, g48349, g33952, g30634, g8973, g15374, g9568, g20351, g48394, g15316, g9380, g42426, g52761, g49266, g20533, g20379, g48423, g49262, g16183, g21583, g33741, g8287, g49208, g21308, g42358, g26432, g9348, g9461, g9351, g9346, g15470, g20432, g15491, g42539, g15139, g52785, g38953, g9324, g34063, g21911, g52795, g33597, g15022, g52334, g14901, g34110, g33714, g15185, g48281, g30554, g49134, g34256, g26344	Np002G101880
OG0000135	g4028, g51256, g14066, g27772	Np003G164400, Np004G199120, Np004G190020, Np006G371220
OG0000136	g43995, g46769, g46768, g46770	Np005G312700
OG0000136	g14687	Np005G312640
OG0000136	g25040, g25067	Np002G095000
OG0000138	g46708	Np002G085260, Np006G368140
OG0000138	g10345	Np001G018700
OG0000138	g10340	Np002G085240, Np002G085270, Np002G085250
OG0000139	g15900	Np003G170780
OG0000139	g14666	Np004G225070
OG0000139	g15914	Np002G105790
OG0000139	g25175	Np001G043360, Np005G294120, Np004G258210, Np002G101620, Np001G031610, Np001G031620, Np002G101150, Np004G223980, Np001G031630, Np002G101140, Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840
OG0000140	g1248	Np003G153440
OG0000140	g28714	Np003G153920
OG0000140	g1225	Np006G362070
OG0000140	g1252, g28702, g28701	Np003G153430, Np007G424390, Np003G153390
OG0000140	g11417, g11414	Np001G046630
OG0000143	g4369, g50433, g35440	Np004G210550
OG0000145	g21338, g26301	Np004G215180
OG0000145	g45298	Np005G299660
OG0000146	g1010	Np003G160050
OG0000146	g1011	Np003G160040
OG0000146	g1009	Np003G160220
OG0000147	g5985	Np007G373950
OG0000147	g23426	Np005G273990
OG0000147	g1105	Np003G156060
OG0000147	g46563	Np002G071170
OG0000147	g11547	Np001G043050
OG0000147	g6339	Np007G389960
OG0000149	g2887	Np001G046040
OG0000149	g1676, g28755, g28754	Np003G152730
OG0000149	g1282	Np003G152700, Np003G152680
OG0000149	g2888	Np001G046030
OG0000151	g915, g28415	Np003G164170
OG0000151	g17072	Np005G277020
OG0000151	g14078	Np007G376880
OG0000151	g28546	Np003G158280
OG0000154	g27332	Np004G240190
OG0000154	g12277	Np007G408850
OG0000154	g7492	Np007G413420
OG0000154	g54073, g45315, g5784	Np003G126710
OG0000155	g23645	Np004G218540
OG0000155	g47372	Np005G287960
OG0000155	g7340	Np007G409550
OG0000156	g2802	Np006G324150
OG0000156	g52256	Np006G324140
OG0000157	g1395	Np006G338300, Np004G199240, Np002G078620
OG0000158	g51427	Np002G087830
OG0000160	g50701, g4120, g45147, g41011, g27084, g7365, g52677, g14499, g43531, g43528, g43537	Np006G327850
OG0000160	g49147, g47671	Np003G172190
OG0000160	g45898, g31367, g7023, g36380, g52886, g25655, g34541, g2884	Np002G094170
OG0000160	g36270, g12262, g7846, g25656, g7022, g9694, g49667	Np002G095190
OG0000161	g392, g9880	Np001G008600
OG0000161	g45103, g45101	Np005G311810
OG0000161	g45131	Np002G086610
OG0000162	g26821	Np002G116280
OG0000164	g23474	Np005G275210
OG0000165	g24260	Np007G398000, Np003G163020, Np003G177100, Np003G180650, Np003G184270, Np003G134920, Np002G098680
OG0000166	g32988, g18507	Np005G320040, Np003G142830
OG0000167	g24121	Np005G289610
OG0000167	g24122	Np004G243920, Np002G111260
OG0000167	g17408	Np005G289670, Np005G289680
OG0000168	g32875, g13785, g54170, g21470	Np003G173770
OG0000168	g25582, g6463	Np007G402480
OG0000171	g5177	Np002G116080, Np004G248080
OG0000171	g29297	Np003G141590
OG0000174	g26585, g53787, g43917	Np004G217810
OG0000175	g6044, g13998	Np007G375370, Np001G053050
OG0000175	g47947	Np005G267520
OG0000178	g9695, g823, g53495	Np002G123320, Np001G009130
OG0000178	g16431, g16432, g1623, g34290	Np006G367500
OG0000178	g17678, g41214	Np002G124800
OG0000178	g41487, g54206	Np004G243400, Np001G020660
OG0000180	g13531	Np006G370740, Np006G370680
OG0000180	g34299	Np005G291320
OG0000180	g34297	Np006G370410, Np006G369740
OG0000183	g45042	Np004G227120
OG0000183	g910	Np004G204160
OG0000184	g53121	Np006G360300
OG0000184	g25628	Np011G435860
OG0000184	g25240, g11530, g35054, g44991	Np005G276430
OG0000186	g16331	Np004G215560, Np002G108280
OG0000186	g16332, g41273, g35916, g41907	Np030G439830, Np030G439990, Np006G348040
OG0000186	g1666	Np006G361310
OG0000186	g11646	Np005G292910, Np001G026290
OG0000186	g16059, g53532, g30546, g24771	Np002G117100
OG0000186	g16333	Np004G219150
OG0000187	g35037	Np005G271570, Np005G271520
OG0000188	g53386, g35584, g43664, g43835	Np007G412320
OG0000190	g40442	Np003G183360
OG0000190	g45169	Np003G183520
OG0000190	g45173	Np003G183410, Np003G183480
OG0000191	g31359	Np007G388820, Np003G178870
OG0000191	g3758, g36029, g12040	Np007G392820
OG0000192	g50732, g27488	Np002G086820, Np007G389770, Np002G076020
OG0000195	g40143	Np006G361540
OG0000195	g28899, g761	Np001G043630
OG0000195	g11258, g38152, g2056	Np006G330650, Np003G149770
OG0000195	g18117	Np005G312480
OG0000196	g40674	Np004G254380
OG0000196	g27686	Np003G165460
OG0000196	g32383	Np004G211990
OG0000196	g40675	Np004G254390
OG0000197	g40833	Np001G016100
OG0000197	g18526, g7663	Np002G087170
OG0000200	g27759, g27721	Np004G217530
OG0000200	g49523	Np004G253810, Np003G178590, Np003G177800, Np003G177780, Np003G180100, Np003G179170, Np003G178080
