Orthogroup	Cochlearia_excelsa	Arabis_alpina
OG0000024	g36077	Aa_G1029040.h1.t1, Aa_G1084040.h1.t1, Aa_G1015730.h1.t1, Aa_G717720.h1.t1, Aa_G310360.h1.t1, Aa_G209290.h1.t1, Aa_G355270.h1.t1, Aa_G852800.h1.t1, Aa_G702600.h1.t1, Aa_G707250.h1.t1, Aa_G125690.h1.t1, Aa_G790400.h1.t1, Aa_G655520.h1.t1, Aa_G254490.h1.t1, Aa_G827620.h1.t1, Aa_G166100.h1.t1, Aa_G24870.h1.t1, Aa_G117090.h1.t1, Aa_G328120.h1.t1, Aa_G143020.h1.t1, Aa_G82790.h1.t1, Aa_G77080.h1.t1, Aa_G369590.h1.t1, Aa_G214670.h1.t1, Aa_G398820.h1.t1, Aa_G315750.h1.t1, Aa_G171760.h1.t1, Aa_G415950.h1.t1, Aa_G547320.h1.t1, Aa_G762360.h1.t1, Aa_G28910.h1.t1, Aa_G62470.h1.t1, Aa_G618600.h1.t1, Aa_G251930.h1.t1, Aa_G490730.h1.t1, Aa_G355240.h1.t1, Aa_G321520.h1.t1
OG0000024	g36076	Aa_G1071170.h1.t1, Aa_G1070950.h1.t1, Aa_G504310.h1.t1, Aa_G1065450.h1.t1, Aa_G1065450.h2.t1, Aa_G1036850.h1.t1, Aa_G1060830.h1.t1, Aa_G1060830.h2.t1, Aa_G1022550.h1.t1, Aa_G592290.h1.t1, Aa_G1027940.h1.t1, Aa_G1057970.h1.t1, Aa_G1057970.h2.t1, Aa_G382890.h1.t1, Aa_G568240.h1.t1, Aa_G946730.h1.t1, Aa_G1031130.h1.t1, Aa_G989550.h1.t1, Aa_G354530.h1.t1, Aa_G1075240.h1.t1, Aa_G1090860.h1.t1, Aa_G907570.h1.t1, Aa_G639840.h1.t1, Aa_G1073480.h1.t1, Aa_G60160.h1.t1, Aa_G1059840.h1.t1, Aa_G128260.h1.t1, Aa_G200670.h1.t1, Aa_G60020.h1.t1, Aa_G689840.h1.t1, Aa_G178780.h1.t1, Aa_G489570.h1.t1, Aa_G6130.h1.t1, Aa_G415170.h1.t1, Aa_G655510.h1.t1, Aa_G440380.h1.t1, Aa_G530180.h1.t1, Aa_G398060.h1.t1, Aa_G319930.h1.t1, Aa_G218430.h1.t1, Aa_G705330.h1.t1, Aa_G600110.h1.t1, Aa_G3420.h1.t1, Aa_G3750.h1.t1, Aa_G305740.h1.t1, Aa_G362770.h1.t1, Aa_G70710.h1.t1, Aa_G91930.h1.t1, Aa_G592300.h1.t1, Aa_G707390.h1.t1
OG0000025	g972, g39418, g24597	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1
OG0000026	g14806, g32688, g27047, g51053, g47798, g4344, g43478, g23597, g14579, g3360, g43692, g7899, g2954, g49586, g31803, g4274, g32656, g11709, g44075, g3058, g46225, g1554, g17019, g6169, g23909, g34283, g6803, g35674, g46329, g52008, g14035, g43351, g35266, g9915, g25002, g31760, g21114, g4157, g14556, g51014, g34854, g39311, g31342, g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312, g46948, g36898, g25431, g17280, g25191, g41992, g4231, g43283, g2973, g33119, g33391	Aa_G387540.h1.t1
OG0000027	g22601	Aa_G381220.h1.t1, Aa_G565560.h1.t1
OG0000027	g28294	Aa_G230140.h1.t1
OG0000027	g2269	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000029	g46975	Aa_G1055220.h1.t1, Aa_G1055220.h2.t1, Aa_G205300.h1.t1
OG0000029	g4927, g46312, g4324, g3304, g41853, g35534, g53490, g11876, g35797, g48266, g6083, g35531, g12208, g41968	Aa_G154360.h1.t1
OG0000029	g49276, g4525, g37385, g6082	Aa_G302660.h1.t1
OG0000029	g45349	Aa_G342490.h1.t1
OG0000029	g37850, g28202	Aa_G160180.h1.t1
OG0000030	g31170	Aa_G316320.h1.t1
OG0000030	g6306, g40103, g6175, g48553, g8527, g41465, g35926	Aa_G67230.h1.t1
OG0000030	g14858	Aa_G76670.h1.t1
OG0000030	g47921	Aa_G834810.h1.t1
OG0000030	g6340, g37181, g16111	Aa_G392560.h1.t1
OG0000030	g43791, g44909, g43774, g43790, g5736	Aa_G500830.h1.t1
OG0000031	g40881, g40949, g40859, g40857, g40951, g6403, g40794	Aa_G830960.h1.t1, Aa_G357190.h1.t1, Aa_G22660.h1.t1
OG0000031	g5030	Aa_G447870.h1.t1
OG0000031	g13269	Aa_G97120.h1.t1
OG0000032	g26169	Aa_G432170.h1.t1
OG0000032	g27898, g7014	Aa_G586180.h1.t1, Aa_G177110.h1.t1, Aa_G288650.h1.t1, Aa_G240420.h1.t1, Aa_G153590.h1.t1, Aa_G492670.h1.t1
OG0000033	g23911	Aa_G619140.h1.t1, Aa_G782810.h1.t1
OG0000033	g24014	Aa_G58920.h1.t1
OG0000033	g23905	Aa_G92800.h1.t1
OG0000033	g23912	Aa_G191690.h1.t1
OG0000034	g53562, g44911, g15119	Aa_G997690.h1.t1
OG0000035	g3815	Aa_G20510.h1.t1
OG0000035	g39852, g39841	Aa_G584300.h1.t1
OG0000035	g3814	Aa_G43710.h1.t1
OG0000036	g3196	Aa_G444220.h1.t1
OG0000038	g49458	Aa_G652770.h1.t1
OG0000038	g41270	Aa_G340620.h1.t1
OG0000038	g44982, g44984, g44985, g7414	Aa_G136990.h1.t1
OG0000040	g44631	Aa_G243430.h1.t1
OG0000040	g13797, g13799	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000046	g46717	Aa_G120780.h1.t1, Aa_G120790.h1.t1
OG0000046	g18113	Aa_G439600.h1.t1, Aa_G408550.h1.t1
OG0000046	g44951, g18042	Aa_G190950.h1.t1, Aa_G756440.h1.t1
OG0000047	g24768, g27953, g51326, g51242, g28468, g43700, g14016, g18660, g44830, g41217, g37480, g4319, g45363, g51127, g3853, g11964, g28467, g53576	Aa_G159200.h1.t1
OG0000048	g4946, g4940	Aa_G85810.h1.t1
OG0000048	g29028, g29029	Aa_G253680.h1.t1
OG0000048	g4945	Aa_G253690.h1.t1
OG0000049	g4748, g12067	Aa_G135690.h1.t1
OG0000054	g9679, g35281, g34308, g35248, g9678	Aa_G319750.h1.t1, Aa_G362310.h1.t1
OG0000054	g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130	Aa_G158060.h1.t1
OG0000055	g40901	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G594100.h1.t1, Aa_G643830.h1.t1
OG0000057	g50182, g50184, g50186	Aa_G5070.h1.t1, Aa_G432690.h1.t1
OG0000057	g48153, g33319, g33329, g48170, g15766, g33340	Aa_G253800.h1.t1
OG0000057	g700, g15973, g17828	Aa_G659190.h1.t1
OG0000058	g19665	Aa_G559960.h1.t1, Aa_G560070.h1.t1, Aa_G637230.h1.t1
OG0000058	g50156, g182, g51073, g5874	Aa_G634370.h1.t1, Aa_G7430.h1.t1, Aa_G263310.h1.t1
OG0000062	g32823, g13726, g11246, g41835	Aa_G297760.h1.t1, Aa_G255800.h1.t1
OG0000063	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647	Aa_G197130.h6.t1, Aa_G197130.h3.t1, Aa_G375890.h3.t1
OG0000065	g3890	Aa_G349930.h1.t1, Aa_G260460.h1.t1, Aa_G12340.h1.t1, Aa_G657530.h1.t1, Aa_G525020.h1.t1, Aa_G460610.h1.t1
OG0000066	g5393	Aa_G503390.h2.t1, Aa_G64790.h4.t1, Aa_G503380.h1.t1, Aa_G64790.h1.t1, Aa_G503380.h3.t1, Aa_G64790.h3.t1, Aa_G64790.h2.t1, Aa_G503390.h3.t1, Aa_G432280.h2.t1, Aa_G432280.h4.t1, Aa_G432280.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G503390.h4.t1, Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1, Aa_G486090.h1.t1
OG0000066	g156	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1
OG0000067	g27232, g27237, g27241, g27135, g46783	Aa_G389060.h1.t1
OG0000067	g25385, g25390, g25381, g27956, g9895, g5011	Aa_G484910.h1.t1, Aa_G72500.h1.t1
OG0000069	g13794, g4275, g25547, g38079	Aa_G108990.h1.t1
OG0000070	g3657	Aa_G280.h1.t1, Aa_G540.h1.t1
OG0000070	g42778	Aa_G1030250.h1.t1
OG0000071	g36375, g47125, g4591, g36881, g27012	Aa_G616180.h1.t1
OG0000073	g10944	Aa_G208060.h1.t1
OG0000073	g10942, g18482, g54289	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1
OG0000074	g27549, g27550	Aa_G349950.h1.t1
OG0000075	g36278	Aa_G535390.h1.t1
OG0000075	g5026	Aa_G732520.h1.t1
OG0000076	g3195, g1602	Aa_G247970.h1.t1
OG0000076	g44053	Aa_G712070.h1.t1
OG0000076	g2410	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1
OG0000076	g36515	Aa_G521780.h1.t1
OG0000076	g19225	Aa_G521750.h1.t1
OG0000076	g10535	Aa_G4800.h1.t1
OG0000077	g46525	Aa_G374870.h1.t1
OG0000078	g32727, g44450, g24957	Aa_G578120.h1.t1
OG0000079	g18915	Aa_G175750.h1.t1, Aa_G175760.h1.t1
OG0000080	g23668	Aa_G488480.h1.t1, Aa_G386390.h1.t1
OG0000081	g36469, g6399, g18040, g13268	Aa_G604970.h1.t1
OG0000082	g20916, g29940, g2519, g54167, g10536, g16647, g17872, g19303, g50427, g1249, g293, g13608, g19934, g6552, g27203	Aa_G566090.h1.t1
OG0000082	g7127, g18239	Aa_G14330.h1.t1
OG0000083	g46885, g12860	Aa_G729280.h1.t1, Aa_G704230.h1.t1
OG0000083	g7705	Aa_G74650.h1.t1
OG0000085	g23625	Aa_G117940.h1.t1
OG0000087	g9991	Aa_G630880.h1.t1
OG0000087	g5316	Aa_G256660.h1.t1
OG0000087	g40485, g11055	Aa_G103150.h1.t1
OG0000087	g17371, g24042	Aa_G580380.h1.t1
OG0000087	g46232	Aa_G656110.h1.t1
OG0000088	g46886	Aa_G363940.h1.t1
OG0000088	g28933, g28934	Aa_G15590.h1.t1
OG0000089	g29544	Aa_G152880.h1.t1
OG0000089	g13323, g11989	Aa_G429520.h1.t1
OG0000089	g2333	Aa_G576740.h1.t1
OG0000090	g50123	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000090	g46242	Aa_G410840.h1.t1
OG0000090	g10675	Aa_G349440.h1.t1, Aa_G349450.h1.t1, Aa_G614230.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1
OG0000091	g3977	Aa_G445870.h1.t1
OG0000093	g2360	Aa_G526230.h1.t1
OG0000093	g18958	Aa_G526150.h1.t1, Aa_G526160.h1.t1
OG0000096	g1538, g1535	Aa_G683270.h1.t1
OG0000096	g18473	Aa_G122040.h1.t1, Aa_G362960.h1.t1
OG0000097	g45186, g45201	Aa_G42050.h1.t1
OG0000097	g40477, g40479, g40476, g40480, g1561	Aa_G577800.h1.t1, Aa_G42060.h1.t1, Aa_G405840.h1.t1, Aa_G25760.h1.t1, Aa_G120830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h6.t1, Aa_G405830.h4.t1, Aa_G405830.h3.t1, Aa_G405830.h1.t1, Aa_G405830.h2.t1, Aa_G405810.h1.t1
OG0000100	g17260, g37826	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000101	g13563	Aa_G65740.h1.t1, Aa_G65800.h1.t1
OG0000101	g40795	Aa_G65760.h1.t1
OG0000101	g35259, g34277	Aa_G65770.h1.t1
OG0000102	g2701, g43502, g42120, g25862	Aa_G998790.h1.t1
OG0000102	g32907, g3224, g42270, g19812, g34381	Aa_G263500.h1.t1
OG0000102	g46693, g45401, g3397, g25742, g18404, g50268, g46262	Aa_G186650.h1.t1
OG0000102	g31405	Aa_G40790.h1.t1
OG0000102	g14670, g14674, g3225, g25089, g23755, g37179	Aa_G397260.h1.t1
OG0000102	g16420	Aa_G367140.h1.t1
OG0000104	g31072	Aa_G257560.h1.t1
OG0000107	g17783, g17676, g17802, g13363	Aa_G641990.h1.t1, Aa_G247880.h1.t1
OG0000108	g41770	Aa_G539290.h1.t1
OG0000110	g2009	Aa_G271260.h1.t1
OG0000110	g18900, g2008	Aa_G319030.h1.t1
OG0000110	g50627	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000110	g2010	Aa_G271300.h1.t1
OG0000111	g35150, g34743, g51064	Aa_G462110.h1.t1
OG0000111	g51066	Aa_G267550.h1.t1
OG0000113	g43820	Aa_G229780.h1.t1, Aa_G302450.h1.t1, Aa_G440640.h1.t1, Aa_G771350.h1.t1, Aa_G201150.h1.t1, Aa_G302440.h1.t1, Aa_G229770.h1.t1, Aa_G165270.h1.t1, Aa_G276580.h1.t1, Aa_G165210.h1.t1
OG0000113	g35258	Aa_G616120.h1.t1
OG0000113	g54287	Aa_G710830.h1.t1
OG0000113	g17560	Aa_G792870.h1.t1
OG0000113	g14267	Aa_G217250.h1.t1, Aa_G224170.h1.t1
OG0000113	g11211	Aa_G339760.h1.t1, Aa_G217260.h1.t1, Aa_G84880.h1.t1
OG0000114	g18420	Aa_G339770.h1.t1, Aa_G339800.h1.t1, Aa_G339780.h1.t1, Aa_G217290.h1.t1, Aa_G146330.h1.t1, Aa_G146320.h1.t1
OG0000115	g39955, g27065, g42081	Aa_G172360.h1.t1
OG0000117	g16020, g11688, g26091, g32213	Aa_G204550.h1.t1
OG0000117	g25861, g45402, g46692, g6971, g3396, g51983, g16507, g4175, g24845, g25746	Aa_G896890.h1.t1
OG0000117	g19530, g53855	Aa_G572590.h1.t1
OG0000117	g41781	Aa_G680690.h1.t1, Aa_G315740.h1.t1
OG0000117	g53168	Aa_G370540.h1.t1
OG0000117	g34382, g32908	Aa_G1050160.h1.t1, Aa_G1050160.h2.t1, Aa_G460730.h1.t1, Aa_G263490.h1.t1
OG0000119	g52379	Aa_G311760.h6.t1, Aa_G311760.h5.t1, Aa_G311760.h1.t1, Aa_G311760.h2.t1, Aa_G311760.h7.t1, Aa_G311760.h4.t1, Aa_G311760.h3.t1
OG0000120	g32414, g29781	Aa_G388280.h1.t1
OG0000122	g1065	Aa_G625760.h1.t1
OG0000123	g25911, g44233, g17137, g25909, g25905, g25906, g25904, g25912	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1
OG0000125	g41348	Aa_G552180.h1.t1
OG0000125	g41311	Aa_G318840.h1.t1, Aa_G318820.h1.t1
OG0000125	g2919, g1294, g28781	Aa_G33880.h1.t1
OG0000126	g27841	Aa_G170950.h1.t1
OG0000126	g35446	Aa_G248300.h1.t1
OG0000128	g53276, g31783, g53811, g31875	Aa_G830510.h2.t1, Aa_G830510.h1.t1, Aa_G415050.h1.t1
OG0000128	g5236, g5604, g3371, g22741	Aa_G147990.h1.t1, Aa_G91540.h1.t1
OG0000130	g34628, g26208, g43583	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1
OG0000132	g32782, g32775, g18438, g27853	Aa_G31310.h1.t1
OG0000132	g18609	Aa_G619400.h1.t1
OG0000132	g11702, g41656, g3660	Aa_G687410.h1.t1, Aa_G687410.h2.t1
OG0000132	g26228, g37724, g4750, g5356	Aa_G65480.h1.t1
OG0000132	g50629	Aa_G322800.h1.t1, Aa_G342720.h1.t1
OG0000136	g14687	Aa_G108450.h1.t1
OG0000138	g10340	Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1
OG0000139	g15900, g14666, g15914	Aa_G803880.h1.t1
OG0000139	g25175	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1, Aa_G840.h1.t1, Aa_G475650.h1.t1
OG0000140	g1248	Aa_G701760.h1.t1
OG0000140	g1252	Aa_G650690.h2.t1, Aa_G650690.h1.t1
OG0000140	g11417, g11414	Aa_G715860.h1.t1
OG0000142	g40020	Aa_G358520.h1.t1
OG0000142	g37876, g37875	Aa_G428890.h1.t1, Aa_G428910.h1.t1, Aa_G35530.h1.t1
OG0000145	g27099, g45420, g46953, g1501, g45298	Aa_G11550.h1.t1
OG0000146	g1011	Aa_G59090.h1.t1
OG0000146	g1009	Aa_G925390.h1.t1
OG0000147	g5985	Aa_G190130.h1.t1
OG0000147	g23426	Aa_G620370.h1.t1
OG0000147	g1105	Aa_G307400.h1.t1
OG0000147	g46563	Aa_G21590.h1.t1
OG0000147	g11547	Aa_G490420.h1.t1
OG0000147	g17885	Aa_G241680.h1.t1
OG0000147	g6339	Aa_G194510.h1.t1
OG0000147	g50994	Aa_G41590.h1.t1
OG0000149	g1676, g28755, g28754	Aa_G482950.h1.t1
OG0000149	g1282	Aa_G550810.h1.t1, Aa_G550830.h1.t1, Aa_G550790.h1.t1, Aa_G550840.h1.t1
OG0000150	g11441, g11440	Aa_G251660.h1.t1
OG0000151	g915, g28415	Aa_G134060.h1.t1
OG0000151	g17072	Aa_G2000.h1.t1
OG0000151	g7540	Aa_G24370.h1.t1
OG0000151	g14078	Aa_G70150.h1.t1
OG0000151	g28546	Aa_G580840.h1.t1
OG0000154	g27332, g12277	Aa_G162640.h1.t1, Aa_G280540.h1.t1
OG0000154	g7492	Aa_G403550.h1.t1
OG0000154	g54073, g45315, g5784	Aa_G85370.h1.t1
OG0000155	g23645	Aa_G438370.h1.t1
OG0000155	g42046, g47372	Aa_G58940.h1.t1
OG0000155	g45159	Aa_G321560.h1.t1, Aa_G301510.h1.t1
OG0000155	g7340	Aa_G5430.h1.t1
OG0000156	g2799	Aa_G16100.h1.t1
OG0000156	g2802	Aa_G16110.h1.t1
OG0000156	g52257, g52256	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1
OG0000160	g14782, g46745, g36801	Aa_G30.h1.t1
OG0000161	g392, g9880	Aa_G61530.h1.t1, Aa_G716440.h1.t1, Aa_G61470.h1.t1, Aa_G61460.h1.t1
OG0000161	g24222, g24219	Aa_G260740.h1.t1
OG0000161	g45131	Aa_G323510.h1.t1
OG0000162	g1914	Aa_G77240.h1.t1
OG0000165	g24260, g36320	Aa_G11930.h1.t1, Aa_G83970.h1.t1, Aa_G86920.h1.t1
OG0000165	g11180, g53396, g31934, g52929, g53395, g43054, g10670, g12347	Aa_G50920.h1.t1
OG0000167	g24121	Aa_G148400.h1.t1
OG0000167	g17408	Aa_G403160.h1.t1
OG0000169	g46166	Aa_G792200.h1.t1
OG0000169	g46162	Aa_G706020.h1.t1, Aa_G98920.h1.t1
OG0000171	g45857	Aa_G101710.h1.t1
OG0000171	g5177	Aa_G193050.h1.t1
OG0000171	g50297, g32098, g27548	Aa_G473510.h2.t1, Aa_G473510.h1.t1
OG0000173	g15729, g49146	Aa_G542470.h1.t1
OG0000175	g6044, g13998	Aa_G122520.h1.t1
OG0000175	g18237	Aa_G459730.h1.t1, Aa_G514660.h1.t1
OG0000175	g31900	Aa_G266390.h1.t1
OG0000175	g23036	Aa_G70160.h1.t1
OG0000178	g9695, g823, g53495, g13019, g16431, g16432, g1623, g34290, g17678, g41214, g52052, g38502, g20449, g48334, g14419, g36920, g49526, g53614, g23518, g17258, g37824, g12602, g23535, g6014, g1397, g32976, g16363, g43554, g12264, g7844, g50196, g14780, g46746, g53399, g50147, g54117, g44990	Aa_G20.h1.t1
OG0000180	g34297	Aa_G24420.h1.t1
OG0000181	g16615	Aa_G193030.h1.t1
OG0000184	g50735, g44198	Aa_G88170.h1.t1
OG0000185	g40049	Aa_G394930.h1.t1
OG0000185	g47161	Aa_G89750.h1.t1
OG0000185	g35118, g49472	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1
