Orthogroup	Cochlearia_excelsa	Brassica_napus
OG0000002	g53784, g34980	XP_048611649.1, XP_048611648.1, XP_013651109.1, XP_013658793.1, XP_013709438.1, XP_013751657.3, XP_013709613.1, XP_013700185.1, XP_048630704.1, XP_022559924.1, XP_048622095.1, XP_013655273.1, XP_022549820.1, XP_013689535.2, XP_048619845.1, XP_013715871.1, XP_048604645.1, XP_048621889.1, XP_048596410.1, XP_048599727.1, XP_048626784.1, XP_013732945.1, XP_048633138.1, XP_048596393.1, XP_048599369.1, XP_013668866.2, XP_048605779.1, XP_048611520.1, XP_048627900.1, XP_048628323.1, XP_048608335.1, XP_013654120.1, XP_048627325.1, XP_013673471.3, XP_048615611.1, XP_048619891.1, XP_013665252.2, XP_013658186.1, XP_048629974.1, XP_022552341.1, XP_013739277.2, XP_048613130.1, XP_048615541.1, XP_048623567.1, XP_013720337.1, XP_013673462.1, XP_048613404.1, XP_048611643.1, XP_048623756.1, XP_048615560.1, XP_048605535.1, XP_013674344.2, XP_048608675.1, XP_048605721.1, XP_048613199.1, XP_013721281.1, XP_048605601.1, XP_048599856.1, XP_048605621.1, XP_048623642.1, XP_013731515.1, XP_048604101.1, XP_048614819.1, XP_048613396.1, XP_013738897.2, XP_013669035.2, XP_048622678.1, XP_048623931.1, XP_048607224.1, XP_048605163.1, XP_048600552.1, XP_013650953.2, XP_013673725.1, XP_048622679.1, XP_013689350.1, XP_048590889.1, XP_022575799.1, XP_048605884.1, XP_048611767.1, XP_048637575.1, XP_048596375.1, XP_013745502.1, XP_048611628.1, XP_013700006.2, XP_048622610.1, XP_013699873.2, XP_013668901.1, XP_013733765.2, XP_048613381.1
OG0000003	g10483	XP_013694964.1
OG0000003	g36078, g35024, g42010, g53526, g35068	XP_048630494.1
OG0000003	g36656	XP_022551562.1, XP_013650516.2, XP_048611467.1, XP_048622667.1
OG0000003	g46847, g52100, g12379	XP_013679209.2, XP_048613575.1, XP_013704463.1, XP_022549222.1, XP_048615663.1, XP_048596497.1, XP_013650417.1
OG0000003	g3007	XP_048612037.1, XP_048604599.1, XP_013700336.2, XP_013709251.1, XP_013713350.1, XP_013729530.2, XP_022560082.1, XP_013729306.2, XP_022567565.1
OG0000003	g19913	XP_048621360.1
OG0000003	g14065	XP_048605811.1, XP_013751647.1
OG0000003	g43208	XP_048605472.1
OG0000003	g25223	XP_022575815.1, XP_048599772.1
OG0000003	g41973	XP_022573072.1
OG0000003	g49126	XP_013745520.2
OG0000003	g21100, g15220, g22475, g21086, g11617, g8880, g21791, g21805	XP_048628762.1, XP_048628164.1, XP_048630693.1
OG0000003	g15722, g16106, g21595	XP_048611587.1
OG0000003	g41972	XP_022552131.1
OG0000003	g4552	XP_013658381.1, XP_013751798.1
OG0000003	g41143	XP_048620084.1
OG0000003	g34716, g35854, g20765, g15434, g39083, g9494, g38857, g21250, g34167, g20489, g38810, g24943, g34165, g24761, g19816, g43672, g20027	XP_048619938.1
OG0000003	g21658, g15405, g9357, g42284, g8878	XP_048627963.1
OG0000003	g15422, g52461, g39056	XP_048628244.1, XP_048628243.1, XP_048628350.1, XP_048630864.1, XP_048628796.1, XP_048627881.1, XP_048628805.1, XP_048590783.1
OG0000003	g21259, g39189	XP_048620014.1
OG0000003	g24932, g6068, g34187	XP_048629521.1, XP_048629519.1, XP_048620066.1
OG0000003	g48110, g21278, g20466	XP_048593358.1, XP_048627912.1, XP_048629520.1, XP_048596408.1
OG0000003	g33704, g36951, g8532, g9434, g41752, g35824, g19660	XP_048611562.1
OG0000003	g4529, g49092, g38820	XP_048630520.1, XP_022557580.1
OG0000003	g36810	XP_048627743.1
OG0000003	g4528, g49093, g24940, g9435, g35826, g38821	XP_048613357.1
OG0000003	g8684	XP_048630645.1, XP_013669098.1, XP_048611542.1
OG0000003	g20618, g30193, g21406, g42425, g33817, g15177	XP_048628351.1
OG0000004	g10434, g43405, g12783, g14416, g3096	XP_013720023.2, XP_048605758.1, XP_048613516.1
OG0000004	g31287	XP_048591457.1
OG0000004	g36856	XP_048634043.1
OG0000004	g41059, g45778, g12831, g47939, g53657, g25199, g53078, g41764, g52689, g53773, g41892, g16413, g32894, g50926, g53553, g11448, g45106, g16421, g2957, g26236, g53342, g26042, g15043, g3114, g42028, g32589, g4900, g34997, g25427, g32143, g51196, g41806, g1621, g37047, g24645, g42184, g51906, g5187, g34457, g4555, g4647, g14237, g42083, g4557, g52927, g2287, g54256, g14761, g54001, g24974, g16448, g15042, g24646, g26041, g12832, g47937, g1649, g1657, g25201, g41894, g53088, g32962, g53161, g53774, g4653, g25561, g53554, g3283, g49069, g42183, g41805, g43297, g32682, g2958, g51905, g14010, g25560, g53415, g16626, g25281, g4646, g52688, g31286, g16219, g4075, g14651, g32880, g35660, g41057, g26200, g4600, g35401, g42029, g24793, g18671, g38083, g35002, g36273, g53247, g5773, g24898, g45105, g43929, g34450, g25563, g26048, g33078, g14652	XP_048631415.1, XP_048628884.1, XP_013751163.2
OG0000004	g32052, g40877	XP_013694423.1, XP_048624048.1, XP_013739852.2
OG0000004	g40054	XP_048606736.1, XP_048638523.1, XP_048613061.1, XP_048609142.1, XP_048624264.1, XP_048609510.1, XP_048604054.1, XP_048637040.1
OG0000005	g36085, g26760, g14872	XP_048591448.1
OG0000005	g44957, g41488, g4394, g4401, g11275, g53238	XP_048634185.1, XP_013650490.2, XP_013668599.2, XP_013669340.1, XP_013658945.2, XP_048611304.1, XP_048622965.1, XP_048596320.1, XP_048602704.1, XP_013720458.1, XP_048626877.1, XP_048594904.1, XP_013739148.2, XP_013713578.1
OG0000005	g22668, g39670, g49313, g181, g25460	XP_048591512.1
OG0000005	g9848, g44251	XP_048622755.1, XP_048631394.1, XP_013650434.2
OG0000005	g50155, g5748, g1727	XP_048630058.1
OG0000005	g22013	XP_048637311.1, XP_048621840.1, XP_048630649.1, XP_048613426.1, XP_048591270.1, XP_048633020.1, XP_048606173.1, XP_048620322.1, XP_022553759.1, XP_013739997.1, XP_013722776.3, XP_048593504.1, XP_013728385.1, XP_048596130.1, XP_048626384.1, XP_022559081.2
OG0000005	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090	XP_048608242.1
OG0000005	g10582	XP_048613553.1
OG0000005	g43359	XP_048599804.1, XP_022564309.1, XP_048627733.1
OG0000005	g4402	XP_048599654.1, XP_013713504.1, XP_013658645.2
OG0000005	g11774, g4396	XP_022569213.1, XP_048605927.1
OG0000005	g43360	XP_022557495.1, XP_048623614.1
OG0000006	g4033, g47006	XP_048606681.1
OG0000006	g42739	XP_048611470.1
OG0000006	g24749, g9677	XP_048606830.1, XP_048614443.1, XP_048618668.1
OG0000006	g9032, g4218	XP_048620440.1, XP_048609298.1, XP_048599813.1, XP_013750505.1, XP_048602265.1
OG0000006	g35394	XP_048595700.1, XP_048635061.1
OG0000006	g34804	XP_048623828.1
OG0000006	g11663, g32442	XP_048610917.1
OG0000006	g4635	XP_048601765.1, XP_048618116.1, XP_048617042.1, XP_048616274.1
OG0000006	g35540, g24723, g1457, g1504, g5172	XP_048613014.1
OG0000006	g40547	XP_048600215.1
OG0000006	g48115, g32111, g42023	XP_048633966.1
OG0000007	g13385	XP_013658605.2
OG0000007	g37890	XP_013713348.1, XP_013713792.1
OG0000007	g45448	XP_048603717.1
OG0000007	g18049, g47718	XP_048609270.1
OG0000007	g32529, g4407, g31989, g13935, g14625, g51108, g47070, g1710, g16965, g1635, g23387, g43826, g49581, g17148, g14904, g12767, g557, g47735, g14365, g14626, g1711, g39880, g3316	XP_048624140.1
OG0000007	g25323, g24433, g4497, g26082, g34709, g48927	XP_048637520.1, XP_048628012.1, XP_048635094.1, XP_022565607.2
OG0000008	g25872	XP_013709535.2
OG0000008	g27813	XP_048605305.1
OG0000008	g27856, g27175, g5353, g35020	XP_022547630.2
OG0000008	g35285	XP_013679543.2
OG0000008	g34273, g35255	XP_013705001.2, XP_048620224.1
OG0000008	g24450, g27833, g3220, g44274	XP_048628475.1, XP_048590797.1
OG0000008	g26783	XP_048602098.1, XP_013729777.3, XP_048614654.1, XP_048613386.1, XP_013726652.1, XP_048634180.1
OG0000008	g26784, g43729, g37068	XP_022560005.2, XP_048596270.1, XP_048614935.1, XP_048613237.1
OG0000008	g49593	XP_022557626.1
OG0000008	g25554, g12608, g36094, g19408	XP_048605325.1
OG0000008	g36794	XP_048615501.1
OG0000008	g4483	XP_048619150.1, XP_048619082.1, XP_022565564.1
OG0000008	g11343	XP_048634097.1, XP_048613323.1, XP_048608334.1, XP_048606350.1, XP_048601609.1, XP_048622948.1
OG0000008	g33123	XP_048605748.1, XP_048594969.1, XP_048622433.1, XP_048616725.1, XP_048606607.1
OG0000008	g13991	XP_048606670.1, XP_048614737.1, XP_048612049.1, XP_048620060.1, XP_013751877.2, XP_048603863.1, XP_048623691.1, XP_048626080.1, XP_048604782.1, XP_048622536.1, XP_048631227.1, XP_048602312.1, XP_048615107.1, XP_048625201.1, XP_048628471.1, XP_048637540.1, XP_022567851.2
OG0000008	g39484	XP_048615493.1, XP_048619151.1, XP_022565888.1, XP_048619083.1
OG0000008	g4392	XP_048627537.1
OG0000010	g35163, g21346, g4256, g14841, g35105, g53994, g48055, g21528, g3243, g30443, g48036, g47252, g39500, g24132, g5068, g50920	XP_022560075.1
OG0000010	g25117, g15788, g50988, g43743, g18001	XP_048622787.1, XP_048617027.1
OG0000010	g43027, g35985	XP_048602259.1
OG0000010	g18104, g51018, g13739, g18387, g3879, g33646, g3728, g41337, g35458, g52306, g43939	XP_013689750.1
OG0000010	g34294, g16618	XP_048604663.1
OG0000010	g33262	XP_048602901.1
OG0000010	g43026	XP_048605091.1
OG0000010	g50938, g49741, g18847, g40897, g22677, g24884	XP_048601526.1, XP_048619900.1, XP_048624648.1, XP_048618294.1, XP_048602548.1, XP_048606091.1, XP_048606319.1, XP_048607341.1, XP_048608467.1, XP_048608572.1, XP_048610672.1, XP_022568469.2, XP_048615557.1, XP_048611670.1, XP_048601152.1, XP_048605792.1, XP_048631636.1, XP_048601441.1, XP_048606987.1, XP_048625241.1, XP_048612064.1, XP_048615530.1, XP_048622882.1, XP_048602322.1
OG0000010	g42970, g35986, g4942, g43036, g52307, g16140, g44004, g36351, g44065	XP_048600541.1, XP_048600549.1, XP_048606235.1, XP_048611418.1, XP_048609705.1, XP_048622751.1
OG0000010	g19854, g30542, g53110, g14367, g35072, g17508, g3784, g26651, g14586, g43558, g52673, g8735, g30404, g35742, g25236, g32573, g50962, g52621, g52328, g8823, g14370, g19840, g8785	XP_048621486.1
OG0000011	g42924	XP_048623044.1, XP_048620286.1, XP_048590890.1, XP_048599992.1, XP_048620029.1, XP_048611560.1, XP_048615750.1
OG0000011	g1630	XP_022557390.1
OG0000011	g24832, g50752, g1458, g52713, g37833, g16484	XP_013728374.1, XP_013645682.2, XP_013694418.1, XP_013709710.2, XP_048598099.1, XP_048603651.1, XP_013679783.1, XP_022553787.2, XP_048612325.1, XP_048623773.1, XP_013704328.1
OG0000011	g26075, g4219, g9033	XP_048611431.1, XP_013674395.2
OG0000012	g6328	XP_048613104.1
OG0000012	g14801, g15067	XP_022569878.1, XP_048606561.1, XP_022546024.2, XP_013713433.2, XP_013709291.2, XP_048599723.1
OG0000012	g15121	XP_013695049.2, XP_048623277.1
OG0000012	g9298	XP_048596428.1, XP_048633208.1, XP_048604748.1, XP_048623272.1, XP_022557755.2, XP_048605645.1, XP_048596310.1, XP_013694784.2, XP_048623788.1, XP_048612802.1, XP_048593497.1
OG0000012	g15663, g32788	XP_048599722.1, XP_048624651.1, XP_048627970.1, XP_048611568.1
OG0000012	g34876	XP_048630875.1, XP_048604176.1
OG0000012	g52731	XP_048605550.1, XP_013729012.2
OG0000012	g42216, g42233	XP_048622736.1, XP_013708269.2, XP_048621865.1, XP_048599599.1, XP_048605626.1, XP_048623965.1, XP_013689439.2, XP_013694857.2, XP_048623929.1, XP_048599867.1, XP_048605149.1, XP_048623958.1, XP_013688786.1, XP_048611444.1, XP_048613196.1, XP_048599881.1, XP_048622618.1, XP_022569359.2, XP_013658500.2
OG0000012	g26587	XP_048629229.1
OG0000012	g15122, g44912	XP_022551324.2, XP_048611834.1
OG0000013	g48035	XP_048605032.1
OG0000013	g4139, g16474	XP_048605139.1, XP_048605122.1, XP_048617118.1
OG0000013	g24947, g35918, g53893, g41958	XP_048605773.1, XP_013669126.1, XP_013657861.1, XP_013680128.1, XP_048623792.1, XP_048627540.1, XP_048627019.1, XP_013654293.1, XP_013719470.1, XP_048628567.1, XP_013673938.1, XP_048599702.1, XP_048623790.1, XP_013657845.1, XP_013674358.1, XP_048611696.1, XP_013731674.1, XP_048620209.1, XP_048622591.1, XP_048613189.1, XP_013680096.1, XP_048599805.1, XP_048590782.1, XP_013695068.1, XP_048611913.1, XP_013709233.2, XP_013700181.2, XP_013715874.2, XP_048623780.1, XP_048622700.1, XP_048611935.1, XP_048604998.1, XP_048604852.1, XP_048611575.1, XP_048626950.1, XP_013745730.1, XP_013689885.1, XP_013709546.1, XP_048623897.1, XP_013658724.1, XP_048599858.1, XP_048626494.1, XP_048637553.1, XP_048613190.1, XP_048595147.1, XP_048611591.1, XP_013695057.1, XP_048622786.1, XP_048605855.1, XP_048596261.1, XP_048619839.1, XP_048599844.1, XP_048605676.1, XP_013705952.3, XP_048599685.1, XP_048605016.1, XP_048613311.1, XP_048605019.1, XP_048608870.1, XP_013689149.2, XP_048604885.1, XP_048599929.1, XP_048613405.1, XP_013721758.1, XP_048611835.1, XP_013689890.1, XP_048627565.1, XP_048598108.1, XP_013720996.1, XP_013654288.1, XP_013688904.1, XP_048611534.1, XP_048599780.1, XP_013700321.1
OG0000014	g10989	XP_022552432.1
OG0000014	g37854, g44201, g25623	XP_048611538.1
OG0000014	g2403	XP_048611726.1, XP_013704117.1, XP_022562283.2, XP_013658625.2, XP_013650466.1
OG0000014	g15957, g36628, g15947	XP_013709049.2
OG0000014	g35046	XP_013728258.2
OG0000014	g34969, g44092, g17909, g17916	XP_048626508.1
OG0000014	g14522, g36331, g48933, g14502, g14513	XP_048623583.1, XP_013645651.2, XP_013659049.1, XP_048605480.1, XP_048615803.1, XP_013709311.1, XP_013694537.1
OG0000014	g43483	XP_048611805.1, XP_048615723.1, XP_013650803.1
OG0000014	g43482, g50927, g53476, g50930	XP_013674396.1, XP_013694070.1, XP_013658466.1
OG0000014	g37855, g34322, g34333, g14397, g1371, g9158, g24560, g8931, g20629, g40584	XP_013708671.1, XP_048624069.1, XP_013658227.1, XP_048599863.1, XP_048604671.1, XP_048624017.1, XP_048604978.1, XP_048613067.1, XP_013689140.2, XP_048615831.1, XP_048620011.1, XP_048613476.1
OG0000014	g25627	XP_048629487.1, XP_048615614.1, XP_048622743.1, XP_048623549.1, XP_048611837.1, XP_048622934.1, XP_048619919.1
OG0000014	g14333	XP_013739829.1
OG0000014	g48940, g28379, g22864, g14683, g17906, g30722, g53391, g16697, g10634, g1970, g40835, g10249, g44050, g4521, g17734, g32003, g4816, g28378, g1568, g51668, g10565, g27276, g40834, g40838, g10566, g53860, g35555	XP_013654467.2
OG0000014	g49755, g24341, g35559, g35554, g48283, g33044, g24625, g3064, g43651	XP_048625675.1
OG0000014	g50733, g573, g25624, g44199	XP_013658577.1, XP_048602505.1
OG0000014	g4147, g48939	XP_022558682.2
OG0000014	g14334	XP_048625121.1
OG0000014	g23244, g43142, g48937	XP_022570911.2
OG0000015	g42099	XP_048614634.1
OG0000015	g53814, g16594, g16764, g14880, g952, g32985, g12170, g24863	XP_048622603.1
OG0000015	g1783, g40287, g27896, g24000	XP_022553445.1
OG0000015	g42908	XP_048595751.1
OG0000015	g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966	XP_048607541.1
OG0000015	g15603, g23354, g2748	XP_048613565.1, XP_048634846.1, XP_048611773.1, XP_048616950.1, XP_048602698.1, XP_048622170.1
OG0000015	g26108, g43718, g42171, g26614, g12285	XP_048604728.1
OG0000015	g3315, g8709, g8210, g24633	XP_048595749.1
OG0000015	g3755, g43029, g21949, g24634	XP_048613411.1
OG0000015	g43716, g41967	XP_048616944.1
OG0000015	g35685, g3173	XP_048599610.1
OG0000015	g28764, g14677, g6769, g4758, g26125, g35711, g35700	XP_048595752.1, XP_048605580.1
OG0000015	g23222, g16377, g39565	XP_013739573.2
OG0000015	g23355, g634	XP_013741841.2
OG0000015	g24538, g24405, g36461, g34946, g6782, g14951, g15726	XP_048627868.1
OG0000017	g3669, g48346, g48867	XP_048592801.1, XP_048620235.1, XP_048599118.1, XP_048594622.1, XP_022546269.2, XP_013715010.1
OG0000017	g41997, g33121	XP_048615612.1
OG0000017	g3359, g6214	XP_048610757.1, XP_022559532.2
OG0000017	g49587, g25192, g31804, g25430, g49408, g2974, g53154, g46949, g43284, g4232, g36899, g2975	XP_048613364.1, XP_048637487.1, XP_048604833.1, XP_048623309.1, XP_048616263.1, XP_048622348.1, XP_022556500.2, XP_048605067.1
OG0000017	g21115, g46328, g31759, g19143, g51013, g17279, g1555, g46224, g35267, g34284, g6170, g31341, g9914, g35675, g23910, g6802, g4158, g33390, g4583, g24610, g25001, g1556, g34853, g4345, g51012, g14558, g19142, g29187, g49407, g42003, g53153	XP_013673983.1, XP_048611629.1
OG0000019	g16592, g1020, g46208, g40680, g40322, g46628, g9756	XP_022551193.1
OG0000019	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706	XP_022564361.1, XP_048596600.1, XP_013745161.1, XP_048620186.1, XP_048604827.1, XP_022571038.1, XP_022562585.2, XP_048593373.1, XP_013658360.2, XP_013674258.2, XP_048596246.1
OG0000019	g18942, g2713	XP_013704389.3, XP_013717169.2, XP_022547619.1, XP_022547620.1
OG0000019	g16516	XP_022552294.1
OG0000019	g2721, g18071, g42559	XP_048633186.1
OG0000020	g35299	XP_048630843.1, XP_048624068.1, XP_022567211.2
OG0000020	g49592	XP_013694335.2
OG0000020	g35282, g34309, g41784, g25262, g3253	XP_048615648.1
OG0000020	g8229, g5355, g32774, g16031, g35327, g35065, g34339, g4385, g27854, g31992, g15955	XP_048605650.1
OG0000020	g35283, g34310	XP_013713722.1
OG0000020	g32772, g14852, g5354, g15953	XP_048616652.1
OG0000020	g41695, g3939, g16600, g31991, g27855, g16029, g32780, g16316, g34338, g35298, g27173, g4384, g8228, g32773, g14853, g1941, g35021, g27176, g4006, g15963, g4751, g26227	XP_048634160.1
OG0000021	g14063	XP_048615773.1, XP_048620188.1, XP_022552080.1, XP_013694633.1, XP_048634143.1, XP_013700085.1, XP_048594884.1, XP_048629072.1, XP_013713218.2, XP_022553574.1
OG0000021	g49151, g1467	XP_013709779.2, XP_013713803.1
OG0000021	g45682, g1448	XP_048635125.1, XP_048615863.1
OG0000021	g18622, g34726	XP_048622704.1
OG0000021	g49020, g50933, g50080, g51436	XP_048598150.1, XP_048633049.1, XP_048630963.1, XP_013679738.1, XP_013658178.1, XP_048626986.1, XP_048626984.1, XP_048612021.1, XP_048611796.1, XP_048622942.1
OG0000021	g35680	XP_048604910.1, XP_048620249.1
OG0000021	g25137, g25135	XP_013669673.1
OG0000021	g25134	XP_048604911.1, XP_048605373.1
OG0000021	g41636, g35681, g14225	XP_048593340.1
OG0000021	g40050, g47160, g49473, g26165	XP_013678980.1, XP_013651351.1, XP_013727244.2
OG0000021	g24107	XP_013727601.1, XP_048620920.1
OG0000023	g47441	XP_048633858.1
OG0000023	g23897	XP_013694257.1, XP_013737657.1
OG0000023	g25717, g25713	XP_048605400.1
OG0000023	g48946, g43193	XP_022558747.1
OG0000023	g25723	XP_048625802.1, XP_048632003.1
OG0000023	g40374	XP_013718560.2
OG0000023	g23907, g24643	XP_013710801.1, XP_013717353.1
OG0000023	g25715, g48949	XP_048605876.1
OG0000025	g972	XP_048637460.1, XP_048596622.1, XP_048637461.1, XP_022561441.2, XP_013705737.2, XP_048594642.1, XP_013713555.1, XP_013665745.2
OG0000025	g39418, g24597	XP_013717234.2, XP_048627191.1, XP_022569752.1, XP_048607491.1, XP_013712755.1, XP_013686788.2, XP_013674736.2, XP_048604076.1, XP_048604483.1, XP_022560149.2, XP_048630233.1, XP_013726076.2
OG0000026	g17281, g33392, g4347, g50791, g25246, g46637	XP_013660801.2, XP_013693183.2
OG0000026	g14578, g6312	XP_048604834.1
OG0000026	g25191, g41992, g4231, g43283, g2973, g33119, g33391	XP_022565688.2, XP_013704163.2, XP_048633191.1, XP_048596374.1
OG0000027	g43450	XP_048618819.1
OG0000027	g40788	XP_013746916.2, XP_013669867.2
OG0000027	g28294	XP_022567836.1, XP_022546469.2
OG0000027	g2269	XP_013663491.2, XP_013663656.1
OG0000029	g28453	XP_022573237.1
OG0000029	g8998, g26310, g29945, g30548, g38806, g8608, g9084, g30701, g9122, g48831, g29967, g8634, g30668	XP_048613515.1
OG0000029	g29817	XP_013655251.2, XP_013679244.2
OG0000029	g27333	XP_048596000.1
OG0000029	g46975	XP_048605707.1
OG0000029	g41853	XP_048624916.1, XP_048604271.1
OG0000029	g48266, g6083	XP_048630615.1
OG0000029	g45349	XP_048611551.1
OG0000029	g35511, g42101, g17818, g37850, g28202, g31822, g37851	XP_048613259.1, XP_048627705.1, XP_048634162.1, XP_048637574.1, XP_048591545.1, XP_013689748.1, XP_013719196.1
OG0000029	g1672	XP_048593383.1
OG0000030	g31170, g6306, g40103, g6175, g48553, g8527, g41465, g35926, g31187, g6307, g53556	XP_013673703.1
OG0000030	g30544, g8826	XP_048634976.1
OG0000030	g35927, g599, g13492, g26692, g27960, g54342, g16927	XP_013695679.1
OG0000030	g8825	XP_048630454.1
OG0000030	g6340, g37181, g16111	XP_013654433.1, XP_048605211.1, XP_048622936.1, XP_013658434.2, XP_048626196.1
OG0000031	g40889	XP_013733295.2, XP_013664368.1
OG0000031	g5030	XP_013728454.1, XP_013667568.2
OG0000031	g13269	XP_048602151.1, XP_048594826.1
OG0000031	g17118	XP_013742432.1, XP_013741893.2
OG0000031	g40888	XP_013664370.2, XP_048595644.1
OG0000031	g40752	XP_013716382.2
OG0000032	g3147	XP_013673963.2
OG0000032	g20823	XP_048604886.1, XP_048623808.1, XP_048605001.1, XP_048605635.1, XP_048605059.1, XP_013658348.1
OG0000032	g3738, g26774, g53253, g52953, g52389, g43014, g4289, g33014, g53610, g43518, g3146, g4222, g3625, g3120, g22170, g52827, g52845	XP_013689883.2, XP_048611576.1, XP_013659958.1, XP_013679015.2, XP_048619995.1, XP_048619996.1, XP_048605078.1, XP_048605690.1, XP_013669046.1, XP_013738775.1, XP_013727502.2, XP_048604963.1, XP_013654241.2, XP_013690096.1, XP_048598071.1, XP_013727509.2, XP_013673638.2, XP_013713362.2, XP_048611594.1, XP_048605714.1, XP_022557518.2, XP_048623908.1, XP_022567665.2, XP_013673844.2, XP_013717718.2, XP_013665240.2, XP_013751474.2, XP_013654495.2, XP_013662945.2, XP_048622756.1, XP_022558240.2, XP_048623903.1, XP_048605618.1, XP_048613309.1, XP_048613371.1, XP_013665241.2, XP_013690150.1, XP_013673343.2, XP_013673339.2, XP_013673341.1, XP_048613422.1, XP_048604975.1, XP_048611622.1, XP_013665277.1, XP_013663883.1, XP_022565137.1, XP_048635026.1, XP_048605667.1, XP_048605614.1, XP_013669028.2, XP_013668976.1, XP_048599799.1, XP_048623918.1, XP_013654493.2, XP_048623901.1, XP_013645657.1, XP_013708987.2, XP_013665268.2, XP_048626829.1, XP_048630590.1, XP_048630611.1, XP_013726205.2, XP_013708892.1, XP_048599785.1, XP_048623905.1, XP_048605651.1, XP_048622669.1, XP_013689091.1, XP_013651086.2, XP_013651083.1, XP_048605642.1
OG0000032	g27898, g7014	XP_048630802.1, XP_048605656.1, XP_048599756.1, XP_013751673.1, XP_022552264.1, XP_013673342.2, XP_022557382.2
OG0000032	g4221, g43232, g49129, g26173, g10874, g3479, g43519, g34451	XP_048604937.1, XP_013651082.2, XP_013651085.1
OG0000032	g33013, g36953, g26773	XP_013651090.2, XP_048615619.1
OG0000032	g53254, g33359, g3119, g15987, g30235, g52846, g52828, g52839, g3624	XP_013733146.1, XP_048619837.1, XP_048619836.1, XP_013733145.1
