Orthogroup	Brassica_rapa	Cardamine_glauca
OG0000036	XP_033131068.1, XP_033132741.1, XP_033146849.1, XP_009114424.1, XP_033147285.1	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690
OG0000036	XP_033131792.1, XP_033138465.1	Cg002G062800
OG0000036	XP_033139240.1	Cg005G182230, Cg005G181070
OG0000038	XP_009115414.1	Cg008G285210, Cg008G285280
OG0000038	XP_033133461.1, XP_033133451.1, XP_009138083.1, XP_033143334.1	Cg001G007650
OG0000038	XP_009137794.1	Cg008G320560
OG0000040	XP_033131947.1	Cg006G217350
OG0000040	XP_033144643.1, XP_033142641.1, XP_009145735.1	Cg004G137150
OG0000040	XP_033138328.1, XP_033137984.1, XP_009141814.1	Cg004G136640
OG0000042	XP_033148631.1	Cg008G311300, Cg008G309470
OG0000042	XP_018513078.1	Cg005G183270, Cg003G113100, Cg008G310640, Cg008G309000, Cg005G175020, Cg003G088120
OG0000044	XP_033147280.1, XP_033143224.1, XP_009114167.2, XP_033148557.1, XP_018512849.2, XP_033129976.1, XP_009129598.2, XP_033148784.1, XP_033131827.1, XP_033139854.1, XP_033131463.1, XP_033140741.1, XP_033146209.1, XP_033136827.1, XP_033147039.1, XP_033132745.1, XP_033146848.1, XP_033141133.1	Cg001G029670
OG0000044	XP_033141811.1, XP_033147696.1, XP_009145895.1	Cg003G096230
OG0000045	XP_009111088.1, XP_009124343.1, XP_033143302.1, XP_009148796.1, XP_009126345.2, XP_033131133.1, XP_009124322.1, XP_009123947.1, XP_009144965.1, XP_009112384.1, XP_009145102.2, XP_033138741.1, XP_009138594.2, XP_009150108.2, XP_009120275.1, XP_009118918.2, XP_033139364.1, XP_033139558.1, XP_009124884.2, XP_033128785.1, XP_033131640.1, XP_033134480.1, XP_009103830.2, XP_033141110.1, XP_009114691.2, XP_009151526.1, XP_009128527.1, XP_009128535.1, XP_009150829.1	Cg003G091810
OG0000045	XP_033148599.1	Cg002G064420
OG0000046	XP_033142550.1	Cg001G022610
OG0000046	XP_009127512.1	Cg007G266760
OG0000046	XP_009105243.1	Cg007G266640
OG0000047	XP_009127952.2	Cg004G156550
OG0000048	XP_009121030.1, XP_009121023.1, XP_009131631.1	Cg008G298370
OG0000052	XP_009119376.1, XP_009121616.2, XP_009118690.1	Cg006G242960
OG0000052	XP_018513039.2	Cg005G173390, Cg013G330370
OG0000052	XP_009142068.2	Cg003G083820
OG0000053	XP_033139374.1, XP_033132002.1, XP_033134279.1, XP_033139086.1	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350
OG0000053	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1	Cg003G084420
OG0000054	XP_033142357.1, XP_018510166.2, XP_033133480.1, XP_033147005.1, XP_033139689.1, XP_033136013.1, XP_033134954.1, XP_033139139.1, XP_033133474.1, XP_033146466.1, XP_009142118.2, XP_033146227.1, XP_033142442.1, XP_033147250.1, XP_009146086.3, XP_033133008.1, XP_033145348.1, XP_033133733.1, XP_009116216.2, XP_033134663.1, XP_033142529.1, XP_033131432.1, XP_009113835.2, XP_033144022.1, XP_033129213.1, XP_033128634.1, XP_033135782.1, XP_009130102.2, XP_033129833.1, XP_033136281.1, XP_018514499.2, XP_033135651.1, XP_033144006.1, XP_033145716.1, XP_033142399.1, XP_033140420.1, XP_009137187.2, XP_033131840.1, XP_009151508.2, XP_018509023.2, XP_033138604.1, XP_009117323.1, XP_033134470.1, XP_033147165.1, XP_033131882.1, XP_033142575.1, XP_033136842.1, XP_033144573.1, XP_033132171.1, XP_033130307.1, XP_033147946.1	Cg005G189800, Cg005G189790
OG0000055	XP_009149950.1	Cg002G060080
OG0000056	XP_033148496.1, XP_033129519.1, XP_033128162.1, XP_033146737.1, XP_009145557.2, XP_033134361.1, XP_033128616.1, XP_009122875.1, XP_009115922.2, XP_033141779.1	Cg007G262570, Cg007G263580, Cg007G265440, Cg006G204190
OG0000058	XP_033128725.1	Cg005G185820
OG0000058	XP_009138599.2, XP_033145680.1	Cg005G189250
OG0000060	XP_033141193.1, XP_033133785.1, XP_033130752.1, XP_033140199.1, XP_033147116.1, XP_033132497.1, XP_033146481.1, XP_033142010.1, XP_033139569.1, XP_033138489.1, XP_033143386.1, XP_033143075.1, XP_033134221.1, XP_033136411.1, XP_033134991.1, XP_033137009.1, XP_033139491.1, XP_033141273.1, XP_033132844.1	Cg001G034080
OG0000061	XP_009107884.2, XP_033132815.1, XP_033129160.1, XP_033139711.1, XP_033142712.1, XP_009107885.2, XP_009136781.1	Cg007G263690, Cg007G267630
OG0000062	XP_033129913.1, XP_033129645.1, XP_033132767.1, XP_033145242.1, XP_033131468.1, XP_033133429.1, XP_033128838.1, XP_033128695.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033146434.1, XP_033139661.1, XP_033130432.1, XP_033133874.1, XP_033148881.1, XP_033129127.1, XP_033129128.1, XP_033136406.1, XP_033147269.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1	Cg010G326150
OG0000064	XP_009101919.1	Cg001G000750
OG0000064	XP_009134129.2, XP_009134122.2, XP_009134123.2, XP_033134012.1, XP_009126890.1, XP_018514362.2, XP_033147785.1, XP_009134127.2, XP_009105095.1, XP_009141039.2, XP_009141423.1, XP_009141424.2, XP_009132724.1, XP_033146437.1, XP_009141118.1, XP_009132713.2, XP_009132712.2, XP_009141037.3	Cg008G325030
OG0000066	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1	Cg003G113360
OG0000067	XP_033144949.1, XP_033144954.1, XP_009122279.3, XP_033137765.1	Cg004G154470
OG0000067	XP_033144956.1, XP_009131006.1, XP_033144664.1, XP_033136756.1, XP_009130959.2, XP_009130957.1	Cg008G318950
OG0000070	XP_033139530.1, XP_033129378.1, XP_033138989.1, XP_033129363.1	Cg002G063700
OG0000070	XP_033143392.1	Cg005G186370
OG0000073	XP_009123255.2	Cg008G302430
OG0000073	XP_033128241.1	Cg008G315120
OG0000074	XP_009115511.1	Cg006G222190
OG0000074	XP_033135734.1, XP_009115048.1, XP_009115516.1	Cg006G222350
OG0000075	XP_018509924.1, XP_033135419.1	Cg003G083750, Cg005G174740, Cg008G291500, Cg008G290800, Cg008G290770, Cg006G214290
OG0000075	XP_009121040.1, XP_009131723.1	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300
OG0000075	XP_009151202.1, XP_009151204.1	Cg008G301210
OG0000076	XP_009115966.1, XP_033146756.1, XP_033146757.1, XP_033146252.1, XP_033145801.1	Cg002G054100
OG0000076	XP_033139477.1, XP_033135650.1	Cg007G272900
OG0000076	XP_009152006.1	Cg002G071650
OG0000078	XP_033148565.1, XP_033138831.1, XP_033140785.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_018512940.2, XP_033147279.1, XP_033143194.1, XP_033143619.1, XP_033148618.1, XP_033148616.1, XP_009119775.3	Cg002G071190
OG0000079	XP_018510392.1	Cg004G118210
OG0000079	XP_009132838.1, XP_009117247.1	Cg002G047470
OG0000079	XP_009116567.1	Cg005G185620
OG0000079	XP_009116566.1	Cg007G249140
OG0000079	XP_033130624.1, XP_009104177.1	Cg008G310600, Cg008G310560, Cg008G308930
OG0000080	XP_009140814.1, XP_033145824.1	Cg004G150150
OG0000080	XP_033145280.1	Cg005G177060
OG0000083	XP_009124082.1	Cg005G190480
OG0000084	XP_033145265.1	Cg005G189580
OG0000084	XP_033145730.1, XP_033145267.1	Cg005G189500
OG0000087	XP_009150907.1	Cg008G303510
OG0000087	XP_009141007.2, XP_009144365.1	Cg005G177380
OG0000087	XP_009151388.1, XP_009150241.1	Cg003G110470
OG0000087	XP_009149954.2, XP_009150568.2	Cg002G060160
OG0000087	XP_009121863.1	Cg008G292710
OG0000087	XP_018514901.1	Cg005G171830
OG0000087	XP_009123590.1, XP_009113926.1, XP_009101721.2	Cg008G320640
OG0000087	XP_009134084.2, XP_009108485.1, XP_009137158.2	Cg001G020160
OG0000087	XP_009106234.1	Cg007G276340
OG0000088	XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_009116363.1, XP_033142283.1	Cg005G181240
OG0000088	XP_009131797.1, XP_009120802.1	Cg001G039390, Cg008G300920
OG0000088	XP_033147614.1, XP_009143939.1	Cg003G090240, Cg003G095710
OG0000089	XP_009131124.2, XP_033138402.1, XP_009125344.2	Cg008G290150
OG0000089	XP_009146646.1	Cg004G127880
OG0000090	XP_009149503.1	Cg006G225800
OG0000090	XP_009104691.1, XP_009106248.2, XP_009128146.1	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	XP_009147939.1, XP_033128831.1	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850
OG0000090	XP_033136464.1	Cg002G074060
OG0000090	XP_009123589.1	Cg006G235770
OG0000093	XP_009138966.1, XP_009138965.1	Cg002G047960
OG0000093	XP_033136042.1, XP_009116516.1, XP_033136014.1	Cg002G047940
OG0000093	XP_033131129.1	Cg002G048030
OG0000096	XP_033134075.1	Cg007G252880
OG0000097	XP_009110937.1, XP_033135887.1	Cg003G079780, Cg003G094240
OG0000097	XP_009121666.1	Cg003G079770, Cg003G094250
OG0000098	XP_009138198.1	Cg007G253040, Cg007G249450
OG0000099	XP_009121822.3, XP_009132579.1, XP_009124806.1, XP_033134181.1, XP_009112903.1, XP_033129523.1, XP_009112794.2, XP_033135394.1	Cg007G249510
OG0000102	XP_033134130.1	Cg001G040220, Cg001G033570
OG0000104	XP_009118428.1	Cg006G238510
OG0000104	XP_033145187.1, XP_033131572.1	Cg005G178080, Cg005G178040, Cg005G177940, Cg005G177960, Cg005G177980, Cg005G177930, Cg005G177920
OG0000104	XP_033146903.1	Cg006G200560
OG0000104	XP_009135746.2	Cg004G138340
OG0000104	XP_009140956.1	Cg005G178050
OG0000105	XP_033131858.1, XP_009150028.1	Cg003G084510
OG0000106	XP_009136113.1	Cg001G042030
OG0000107	XP_033131954.1, XP_009113964.1	Cg005G182320
OG0000107	XP_033147102.1	Cg004G136880
OG0000107	XP_009140112.1, XP_033142636.1	Cg004G136910
OG0000108	XP_009150964.1	Cg008G306430
OG0000108	XP_033144223.1, XP_009137095.2, XP_033143042.1	Cg007G245680, Cg007G245670
OG0000109	XP_033136189.1, XP_033128016.1	Cg006G211600
OG0000109	XP_033147238.1	Cg006G218300, Cg006G206180
OG0000110	XP_009104193.2	Cg002G047270
OG0000110	XP_009116587.1, XP_018508692.1	Cg002G047280
OG0000110	XP_033130960.1	Cg002G047240
OG0000110	XP_009104190.1	Cg007G269260
OG0000111	XP_009116244.2, XP_009116184.2, XP_009116245.1, XP_033137144.1, XP_018510613.1	Cg002G051630
OG0000113	XP_033134179.1	Cg007G253850, Cg007G250960
OG0000114	XP_033142504.1, XP_033142547.1, XP_033142785.1, XP_009113973.2	Cg008G318090
OG0000120	XP_033136614.1, XP_033135828.1	Cg007G250010, Cg007G249930
OG0000120	XP_033133710.1, XP_009107578.2, XP_033128024.1	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540
OG0000120	XP_009122928.1	Cg008G285500
OG0000122	XP_033139821.1	Cg003G086890
OG0000122	XP_033137394.1	Cg003G103770
OG0000123	XP_009109753.1	Cg006G218510, Cg006G218490
OG0000123	XP_009124814.1, XP_009142142.1	Cg001G014420
OG0000125	XP_009139383.1, XP_009116061.1, XP_009103877.2	Cg002G052860
OG0000125	XP_009131894.1, XP_009120626.1	Cg008G302630
OG0000125	XP_009120513.1	Cg003G107610
OG0000125	XP_009133865.1, XP_009103710.2, XP_009140934.1	Cg005G178390
OG0000126	XP_033148541.1, XP_009123429.1	Cg001G027760, Cg001G028690, Cg002G060390, Cg007G271870, Cg008G305740, Cg007G255150
OG0000127	XP_033145538.1	Cg008G282750
OG0000127	XP_009122823.2	Cg007G262300, Cg007G263860
OG0000127	XP_033147907.1	Cg004G124780
OG0000128	XP_033143891.1	Cg001G020220
OG0000128	XP_009124323.2, XP_033139400.1, XP_009137698.1	Cg008G318340
OG0000129	XP_033138784.1	Cg005G172680
OG0000133	XP_033139533.1, XP_033130755.1, XP_033128569.1, XP_033147093.1, XP_009115089.3, XP_033137203.1	Cg003G084500, Cg005G185150, Cg004G141220
OG0000135	XP_009128617.1, XP_033133940.1, XP_009124649.1, XP_033134200.1, XP_009102172.2, XP_033129239.1, XP_009144118.2, XP_033148633.1, XP_033146244.1, XP_009140415.1, XP_018513882.1	Cg004G138210
OG0000136	XP_033147599.1	Cg001G037110
OG0000136	XP_009135925.1	Cg001G037040
OG0000137	XP_033145235.1	Cg001G041290
OG0000138	XP_033145245.1	Cg008G324060
OG0000138	XP_009151767.2	Cg002G067580, Cg002G067290
OG0000140	XP_033142717.1	Cg003G106800
OG0000140	XP_009126729.2, XP_033141242.1, XP_009126731.2, XP_009145270.2, XP_033141241.1, XP_033141237.1	Cg003G106450
OG0000140	XP_033142716.1, XP_009120430.1	Cg003G106810, Cg008G324860, Cg003G096950
OG0000142	XP_009123600.1	Cg005G177660
OG0000142	XP_033148630.1, XP_033145172.1	Cg005G177630
OG0000142	XP_009140985.1, XP_009140992.3	Cg005G176030
OG0000144	XP_018511598.1, XP_009144754.1, XP_009152174.1, XP_018513380.1, XP_009138607.1, XP_033134171.1, XP_033143349.1, XP_009119519.1, XP_009121335.1, XP_018512770.1, XP_033133861.1, XP_033131097.1, XP_033128536.1	Cg005G182040
OG0000146	XP_033144579.1, XP_033139637.1, XP_009127007.2	Cg003G102630
OG0000146	XP_009127005.1, XP_009111746.1	Cg003G102640
OG0000146	XP_009120051.1, XP_009132642.1	Cg003G102600
OG0000146	XP_033138715.1	Cg003G102620
OG0000146	XP_009132393.1	Cg003G102610
OG0000147	XP_009102205.2, XP_009112568.1, XP_009150710.2	Cg004G155250
OG0000147	XP_009109000.1	Cg001G010340
OG0000147	XP_033141904.1, XP_009120261.2	Cg003G104960
OG0000147	XP_009106729.2, XP_018508569.2	Cg007G280860
OG0000147	XP_018513014.1	Cg004G146670
OG0000147	XP_009117122.1	Cg005G189880
OG0000149	XP_033129346.1	Cg002G060880
OG0000149	XP_009131982.1, XP_009126681.1	Cg003G107300, Cg003G107310
OG0000149	XP_009126683.1	Cg003G107320
OG0000149	XP_009150292.1	Cg002G060920
OG0000150	XP_009140726.1	Cg002G061900
OG0000151	XP_009119874.1	Cg003G100170
OG0000151	XP_009144093.1, XP_009109116.1	Cg001G012710
OG0000151	XP_009135093.1, XP_009146989.1, XP_009123804.1	Cg004G124340
OG0000151	XP_009136334.1, XP_009121200.1	Cg004G152640
OG0000151	XP_018510771.1, XP_018512593.2	Cg003G103430
OG0000151	XP_009112816.1, XP_009112891.1	Cg007G246070
OG0000152	XP_033139410.1, XP_033139486.1, XP_033139000.1, XP_033139409.1, XP_033139228.1, XP_018511352.1	Cg006G206580
OG0000152	XP_033148198.1, XP_033147971.1, XP_033133696.1, XP_033144131.1, XP_033133396.1, XP_033147396.1, XP_033135350.1, XP_033148073.1, XP_033136129.1, XP_033148068.1, XP_033142141.1	Cg002G069910, Cg006G216840, Cg002G069290, Cg005G182640, Cg004G145620, Cg002G063800, Cg003G096260, Cg001G034420, Cg007G260590, Cg004G146430, Cg002G067820, Cg005G182630, Cg007G251500, Cg003G082490, Cg008G288890, Cg007G251240, Cg006G195780
OG0000154	XP_009110463.1, XP_009149047.1	Cg006G229860
OG0000154	XP_009120551.1	Cg004G128290
OG0000154	XP_009115390.1, XP_033143098.1, XP_033134270.1	Cg008G283240
OG0000154	XP_033137307.1, XP_009122772.2, XP_009122774.3	Cg008G283230
OG0000155	XP_009143289.2, XP_009137650.1	Cg001G013440
OG0000155	XP_009105220.1, XP_009124785.2	Cg001G019660
OG0000155	XP_009134691.2	Cg001G019650
OG0000155	XP_009135203.2	Cg004G127780
OG0000156	XP_033146706.1	Cg002G045690
OG0000156	XP_009142347.1	Cg005G160240
OG0000158	XP_033134979.1	Cg005G184100
OG0000160	XP_033134364.1	Cg007G264990, Cg006G202970
OG0000161	XP_009130179.2, XP_009130183.1	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820
OG0000161	XP_033145048.1	Cg007G261690, Cg007G262070, Cg007G264010, Cg006G215310
OG0000161	XP_009127389.1	Cg007G261320
OG0000161	XP_033146830.1, XP_033146831.1	Cg007G257190
OG0000162	XP_009138832.1, XP_033145512.1, XP_009138923.1	Cg008G314630, Cg002G046130
OG0000162	XP_033134420.1	Cg005G178220
OG0000162	XP_009104263.2	Cg002G046140
OG0000162	XP_009143082.1	Cg005G160860
OG0000165	XP_033145232.1, XP_018508434.1, XP_033134004.1, XP_018513877.1	Cg009G325660
OG0000165	XP_033137724.1, XP_018515086.1	Cg001G034730, Cg004G147530
OG0000167	XP_009132947.2	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000, Cg003G085600, Cg003G085540, Cg005G187960, Cg005G187970, Cg005G188000, Cg005G188050, Cg005G187980, Cg001G021130
OG0000167	XP_033138466.1	Cg001G021160
OG0000168	XP_033129442.1, XP_033136094.1	Cg001G034720
OG0000171	XP_009127800.1, XP_033134622.1, XP_033130273.1, XP_009103171.1	Cg006G222370, Cg007G270890
OG0000171	XP_033137829.1	Cg008G294880
OG0000172	XP_033146362.1	Cg002G060680, Cg002G060150
OG0000173	XP_033131411.1, XP_033146510.1, XP_033141924.1, XP_033144486.1, XP_033143949.1, XP_009137270.1, XP_033143950.1, XP_033148640.1, XP_033132808.1, XP_033147154.1, XP_033140197.1, XP_033132217.1, XP_033128174.1, XP_033136537.1	Cg003G091670
OG0000174	XP_033131805.1, XP_033128516.1, XP_033138985.1	Cg009G325780, Cg006G205480
OG0000175	XP_033144807.1, XP_009115809.1	Cg002G055540
OG0000175	XP_009110241.1	Cg006G225880
OG0000175	XP_009107160.1	Cg001G005230
OG0000175	XP_009112460.1, XP_009121076.1, XP_009124572.1	Cg001G004130
OG0000177	XP_033133384.1	Cg007G261230
OG0000180	XP_033144867.1, XP_033144865.1, XP_033143704.1, XP_009137441.1, XP_018512413.1, XP_009150992.2	Cg007G279310
OG0000180	XP_033144869.1	Cg007G269630
OG0000184	XP_033131052.1, XP_033143411.1, XP_018509904.2, XP_018511330.2, XP_018513830.1, XP_033145096.1, XP_033141113.1	Cg006G215550
OG0000185	XP_009114858.1	Cg006G228250
OG0000189	XP_033143325.1, XP_033133045.1, XP_018509102.1, XP_009127593.1	Cg001G007520
OG0000190	XP_009134310.1	Cg006G210720
OG0000190	XP_009134313.1	Cg006G210710
OG0000190	XP_009114566.2, XP_009144506.1, XP_009144502.1	Cg003G087120, Cg003G087200
OG0000191	XP_033135663.1	Cg003G087540
OG0000191	XP_009135546.1, XP_033144428.1, XP_033147260.1	Cg004G134260
OG0000191	XP_033136630.1	Cg004G153150, Cg004G153270
OG0000192	XP_009103301.1	Cg006G224780
OG0000192	XP_009103302.2	Cg006G224800
OG0000192	XP_009149600.1	Cg006G224760
OG0000193	XP_009108226.2, XP_033142187.1, XP_009146097.1, XP_009146095.2, XP_033131842.1	Cg004G140730
OG0000195	XP_009140755.1	Cg005G182280
OG0000195	XP_009139073.1	Cg002G049520, Cg005G164920
OG0000195	XP_009105204.1	Cg001G036760, Cg007G265630
OG0000196	XP_009109611.1	Cg006G202640
OG0000196	XP_009115266.1	Cg006G217620
OG0000196	XP_009111047.1, XP_009119146.1	Cg006G240790
OG0000196	XP_033136326.1	Cg006G217600
OG0000196	XP_009109613.1	Cg006G202630
OG0000196	XP_009119144.1, XP_009111048.2	Cg006G240780
OG0000197	XP_033142545.1, XP_033128946.1, XP_033129265.1, XP_033141548.1	Cg001G041590
OG0000200	XP_033134513.1	Cg006G240250
OG0000203	XP_033134665.1, XP_033135894.1, XP_009124984.2, XP_033137619.1, XP_033136539.1	Cg004G120290
OG0000203	XP_033136263.1, XP_033135940.1	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080
OG0000204	XP_018515099.1, XP_009122925.1, XP_018514914.1, XP_018513505.1, XP_033143227.1, XP_018513498.1	Cg004G142490, Cg004G140470
OG0000204	XP_033144214.1	Cg004G138460
OG0000205	XP_033132763.1	Cg003G098990, Cg003G098960, Cg003G098910
OG0000209	XP_009112818.1	Cg007G246040
OG0000210	XP_009143883.1	Cg005G173520
OG0000210	XP_009113251.2	Cg005G173500
OG0000213	XP_033136677.1, XP_033130301.1, XP_009133997.1	Cg005G191730
OG0000214	XP_018510493.2, XP_033136786.1, XP_033136787.1, XP_033139302.1, XP_033136790.1, XP_033139304.1, XP_033136797.1, XP_033139309.1, XP_033136798.1, XP_033139307.1, XP_009111284.2	Cg003G078170
OG0000216	XP_009135671.1	Cg001G018790, Cg001G018760
OG0000218	XP_009117861.2	Cg006G230900, Cg006G230890
OG0000218	XP_009114232.1, XP_009101339.1, XP_009129226.1	Cg002G075340
OG0000219	XP_033129569.1	Cg007G266520, Cg007G266510
OG0000219	XP_033145279.1	Cg005G177180
OG0000219	XP_009150384.1	Cg003G095240, Cg003G111060
OG0000220	XP_009143662.1, XP_033146950.1	Cg005G192620
OG0000221	XP_033130945.1, XP_033145218.1, XP_033139360.1	Cg005G182530
OG0000224	XP_009128234.1, XP_009101726.1	Cg007G278160
OG0000224	XP_009126727.1, XP_009108914.1	Cg001G008870, Cg001G017640
OG0000224	XP_009112729.1	Cg007G247160
OG0000226	XP_009129754.1	Cg003G113210
OG0000226	XP_033131216.1, XP_018508547.1	Cg004G128760
OG0000228	XP_009110123.1	Cg008G307350
OG0000228	XP_009103193.1	Cg006G222750, Cg006G222760
OG0000228	XP_009115561.1	Cg002G069120
OG0000228	XP_009105750.1	Cg007G271280
OG0000228	XP_033141574.1, XP_009127833.1	Cg007G271290
OG0000229	XP_009108973.2, XP_009108976.2, XP_009102300.2, XP_009127652.1	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330
OG0000230	XP_009106237.1	Cg008G323410
OG0000230	XP_009128139.1, XP_009104696.2	Cg007G276400, Cg007G276410
OG0000231	XP_009127540.1, XP_009105266.1	Cg007G260410
OG0000232	XP_009136266.2, XP_033138822.1	Cg004G149470, Cg004G149480, Cg004G150500, Cg004G149520
OG0000234	XP_009124228.1	Cg002G062460
OG0000234	XP_033146519.1, XP_009116212.1, XP_009103951.1	Cg002G051400
OG0000234	XP_009139199.2	Cg002G051410
OG0000234	XP_009139200.1	Cg002G051420
OG0000234	XP_033148760.1	Cg005G166930
OG0000234	XP_009121752.1	Cg008G293710
OG0000235	XP_033147857.1	Cg006G213560
OG0000236	XP_009109227.1	Cg001G028350, Cg004G141830, Cg004G144380, Cg004G139210
OG0000236	XP_033144988.1, XP_033148569.1	Cg004G139220
OG0000239	XP_009133159.1	Cg005G173640
