Orthogroup	Brassica_rapa	Odontarrhena_muralis
OG0000012	XP_033134299.1	Om002G076390
OG0000012	XP_009139567.2	Om004G153330, Om018G374000
OG0000012	XP_033139271.1, XP_033139160.1	Om007G307770
OG0000013	XP_033138760.1, XP_009124167.1, XP_033134220.1, XP_033148484.1, XP_033131813.1, XP_009123338.2, XP_033131808.1, XP_033133991.1, XP_033131108.1, XP_033129945.1, XP_033143385.1, XP_033139571.1, XP_033143261.1, XP_033139051.1, XP_033134223.1, XP_033146993.1, XP_033147620.1, XP_009123559.2, XP_033129441.1	Om002G089030
OG0000015	XP_033136397.1, XP_033137014.1, XP_033138269.1, XP_009113103.2	Om008G350280
OG0000015	XP_018509062.1, XP_009118914.1	Om003G098660
OG0000015	XP_033130405.1	Om003G105790, Om004G154560
OG0000015	XP_009107707.1	Om006G270800
OG0000015	XP_033148829.1, XP_033148475.1	Om002G088840
OG0000018	XP_033143299.1, XP_009113298.1, XP_033129326.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033135948.1, XP_033145970.1, XP_033141768.1, XP_033139918.1, XP_033128905.1, XP_033131029.1, XP_033129353.1, XP_033148520.1, XP_033129522.1, XP_033141116.1, XP_033129361.1, XP_009119482.2, XP_018513563.2, XP_033131843.1, XP_033141097.1, XP_009123464.1, XP_033133955.1, XP_033145227.1, XP_033136601.1, XP_033136202.1, XP_033146808.1, XP_009124449.2	Om008G335480, Om007G284460, Om008G361630
OG0000020	XP_033134048.1	Om007G308530, Om007G308500
OG0000020	XP_033134461.1	Om010G364780, Om008G361310
OG0000020	XP_033142724.1, XP_033143202.1	Om008G361920
OG0000021	XP_033145314.1, XP_033133938.1, XP_009145336.1	Om005G226540, Om001G020790
OG0000021	XP_009106506.2	Om001G038730
OG0000021	XP_009119509.1, XP_009113517.1, XP_033146211.1, XP_033131873.1, XP_033142170.1, XP_033143214.1, XP_033146253.1	Om001G020780, Om001G006810, Om002G059070
OG0000023	XP_009136778.1, XP_009136797.2	Om001G010400
OG0000023	XP_033132923.1, XP_009139620.1, XP_009137326.1, XP_009137327.1, XP_009108600.1	Om001G010360, Om001G009290
OG0000023	XP_033142038.1	Om008G351580
OG0000023	XP_009108162.1	Om008G351620, Om008G351630
OG0000023	XP_009108168.1	Om008G351640, Om008G351650
OG0000023	XP_009137325.1	Om001G010350
OG0000023	XP_009108593.2, XP_033132924.1, XP_033143803.1, XP_009136374.2, XP_009114807.1, XP_009137330.1	Om001G010250
OG0000028	XP_009119478.1	Om001G022770, Om007G314890
OG0000028	XP_009105534.2, XP_033129358.1, XP_009106480.1, XP_009102786.1, XP_009111952.1, XP_009118510.1	Om003G104120
OG0000028	XP_033138230.1, XP_033138123.1, XP_033128758.1	Om007G318240
OG0000029	XP_033135931.1	Om005G216790
OG0000029	XP_033130775.1	Om004G147450
OG0000030	XP_033148072.1	Om011G364950, Om004G165220
OG0000030	XP_033145843.1	Om001G038800, Om006G253510, Om004G148440, Om006G271430, Om006G263330
OG0000030	XP_009120611.1	Om004G165210
OG0000030	XP_009108258.2	Om005G226380
OG0000031	XP_033134453.1	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850
OG0000031	XP_009121467.1	Om006G252510
OG0000031	XP_009140073.1	Om007G317990
OG0000031	XP_009114567.1	Om002G063040
OG0000031	XP_009142868.1	Om001G018890
OG0000032	XP_033145294.1	Om008G348890
OG0000033	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1	Om001G010240
OG0000033	XP_033135404.1, XP_009137324.1	Om001G011550
OG0000033	XP_009137188.1, XP_009134716.1	Om001G007120
OG0000033	XP_009137317.1, XP_009108599.1	Om001G010110
OG0000034	XP_033143708.1, XP_033133157.1	Om003G107450
OG0000034	XP_009145453.2, XP_033138396.1	Om008G350440, Om004G148920
OG0000034	XP_033139273.1, XP_033139162.1	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190
OG0000034	XP_033130130.1	Om002G079430
OG0000034	XP_033146625.1, XP_033146692.1, XP_033139028.1	Om002G074540, Om005G222580, Om009G363250, Om008G344620
OG0000035	XP_033137775.1, XP_033137778.1, XP_033146467.1, XP_033145502.1, XP_033147829.1, XP_033146958.1	Om007G280400, Om005G227290, Om004G176320, Om007G280390
OG0000035	XP_033145355.1, XP_018513876.1, XP_009146516.2, XP_018513390.1, XP_033145288.1, XP_009141229.2, XP_033145293.1, XP_009141452.3, XP_009141227.2, XP_033145356.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_009141011.2, XP_033145289.1	Om006G273920, Om002G042810
OG0000035	XP_033145357.1, XP_009141214.1	Om007G280220, Om007G279280, Om006G269650, Om008G331040
OG0000035	XP_033139568.1, XP_009127532.1	Om004G132400, Om008G334460, Om007G279790
OG0000036	XP_033131068.1, XP_033132741.1, XP_033146849.1, XP_009114424.1	Om007G312960
OG0000037	XP_033139739.1	Om005G188070
OG0000037	XP_033134981.1	Om001G014920, Om002G074010
OG0000038	XP_009115414.1	Om005G196570, Om004G131590
OG0000038	XP_033137120.1, XP_033145125.1	Om006G262290
OG0000038	XP_033133461.1, XP_033133451.1, XP_009138083.1, XP_033143334.1	Om001G029210
OG0000038	XP_033147875.1, XP_009146809.1, XP_033148625.1, XP_033147883.1, XP_033147863.1, XP_009147163.1	Om002G053860, Om001G005520
OG0000039	XP_033134434.1, XP_033143259.1, XP_033147921.1, XP_033136279.1, XP_009149640.2, XP_033134251.1, XP_033141067.1, XP_033129821.1, XP_033134386.1, XP_033131890.1, XP_033132033.1, XP_033129443.1, XP_033133926.1, XP_009139899.2, XP_033131041.1, XP_033139325.1, XP_033139098.1, XP_033139100.1, XP_033131183.1, XP_033147840.1, XP_033147273.1, XP_033148882.1, XP_033133876.1, XP_033136388.1, XP_033130433.1, XP_033136494.1, XP_009103023.3, XP_033143341.1, XP_033134335.1, XP_033136291.1, XP_018509861.2, XP_009150329.2, XP_033143233.1, XP_033134320.1, XP_018514427.2, XP_033134265.1, XP_009108248.2, XP_033145641.1, XP_033130157.1, XP_009102487.2, XP_033145284.1, XP_033133427.1, XP_033131941.1, XP_009151077.1, XP_009150004.1, XP_009148191.1, XP_009106504.1, XP_033129334.1, XP_033129458.1	Om006G250590, Om002G057780
OG0000040	XP_033131947.1, XP_033129474.1, XP_033128828.1	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	XP_033138328.1, XP_033137984.1, XP_009141814.1	Om002G067320, Om008G332860
OG0000041	XP_033135950.1	Om002G075010, Om001G018420
OG0000042	XP_018513078.1	Om004G177160
OG0000044	XP_033141811.1, XP_033147696.1, XP_009145895.1	Om007G314900, Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660
OG0000045	XP_033148599.1, XP_033141109.1, XP_009111364.2, XP_009114439.1, XP_009109995.2, XP_033129467.1, XP_018512881.1	Om001G031280
OG0000046	XP_009151130.2, XP_009140101.2	Om006G241220
OG0000046	XP_009136917.1, XP_033142550.1	Om001G001860
OG0000046	XP_009127512.1	Om005G206750
OG0000046	XP_018512198.1	Om005G213160
OG0000047	XP_018508607.1	Om006G268590, Om001G028180, Om007G295630
OG0000047	XP_033143282.1	Om002G077780
OG0000047	XP_033143570.1	Om005G225040, Om001G020530
OG0000047	XP_009113960.2, XP_018508435.1, XP_033131178.1, XP_033131134.1, XP_033131135.1	Om007G295670, Om002G084660, Om008G332290, Om006G263590
OG0000048	XP_009121020.1, XP_009121024.1, XP_009121026.2, XP_009121021.2	Om007G296190, Om007G296250
OG0000048	XP_009131628.1, XP_009126232.1, XP_009126237.2, XP_009126228.2, XP_009126235.1, XP_009126238.1	Om007G296260
OG0000050	XP_009123413.1, XP_009123715.1, XP_009151569.2, XP_033128716.1, XP_033128718.1, XP_033138653.1, XP_009144180.2, XP_009123328.1	Om008G323460, Om006G268120
OG0000052	XP_009119376.1, XP_009121616.2, XP_009118690.1	Om005G179650, Om008G361390, Om005G180640
OG0000052	XP_018513039.2	Om008G326650
OG0000052	XP_033148423.1, XP_033147570.1, XP_033148413.1	Om008G326540
OG0000053	XP_033134217.1	Om002G081910, Om001G013510, Om007G303670, Om001G005250, Om003G102410, Om005G223530, Om003G110840, Om001G030740, Om005G223990, Om005G212830
OG0000054	XP_033142357.1, XP_018510166.2, XP_033133480.1, XP_033147005.1, XP_033139689.1, XP_033136013.1, XP_033134954.1, XP_033139139.1, XP_033133474.1, XP_033146466.1, XP_009142118.2, XP_033146227.1, XP_033142442.1, XP_033147250.1, XP_009146086.3, XP_033133008.1, XP_033145348.1, XP_033133733.1, XP_009116216.2, XP_033134663.1, XP_033142529.1, XP_033131432.1, XP_009113835.2, XP_033144022.1, XP_033129213.1, XP_033128634.1	Om002G043200, Om007G279110, Om006G263890
OG0000054	XP_033135782.1, XP_009130102.2	Om008G354720, Om007G277220, Om003G128320
OG0000055	XP_009112692.1, XP_009113075.1	Om005G202820, Om005G227820, Om005G224840
OG0000055	XP_033135114.1, XP_009113108.1	Om008G333680
OG0000055	XP_009113405.2, XP_009105844.1	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000056	XP_033138069.1, XP_009111623.2, XP_009119460.3	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970
OG0000056	XP_033148496.1, XP_033129519.1, XP_033128162.1, XP_033146737.1, XP_009145557.2, XP_033134361.1, XP_033128616.1, XP_009122875.1, XP_009115922.2, XP_033141779.1	Om008G340700, Om005G220800, Om001G027140
OG0000056	XP_009115740.1, XP_009140527.1, XP_009102269.1, XP_033133398.1	Om003G107750, Om001G017780
OG0000058	XP_009138599.2, XP_033145680.1	Om007G299580, Om006G274770, Om007G313880, Om002G087980, Om002G068450, Om005G190360, Om005G223220, Om005G204610, Om007G304500, Om003G125380, Om008G357860, Om004G129440, Om001G015300, Om002G087130, Om002G075560, Om002G076070, Om003G097800, Om001G033280, Om005G201820, Om002G084100, Om001G039990, Om002G084960, Om008G357700, Om003G090300, Om006G269060, Om006G268940, Om004G141540
OG0000058	XP_009105612.1, XP_033148671.1, XP_009125369.1, XP_009133671.1, XP_018509860.1, XP_009138627.1, XP_033136840.1	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000059	XP_009119170.2, XP_009107616.2, XP_009138649.2, XP_033148502.1	Om003G092270, Om002G088980
OG0000061	XP_009124209.1	Om006G263600
OG0000061	XP_009107884.2, XP_033132815.1, XP_033129160.1, XP_033139711.1, XP_033142712.1, XP_009107885.2, XP_009136781.1	Om005G223660, Om006G249810, Om002G076700, Om003G106600, Om008G345470, Om008G347220, Om006G268200, Om007G301100, Om002G047100, Om002G043890, Om005G177780, Om008G328920, Om003G114550, Om005G191460, Om007G312950, Om003G111810, Om008G353280, Om006G242410, Om001G020570, Om005G225030, Om004G146510, Om001G027660
OG0000062	XP_033138187.1, XP_033145404.1, XP_033140709.1, XP_033132651.1, XP_033140705.1	Om003G109490
OG0000064	XP_009101919.1	Om001G041080
OG0000065	XP_009134880.2	Om006G268440, Om005G217730
OG0000065	XP_033134685.1	Om007G310120
OG0000066	XP_009104699.1, XP_009131189.1, XP_009130061.1, XP_009125263.1, XP_018511751.1	Om004G164550
OG0000066	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1	Om004G165570
OG0000067	XP_033144949.1, XP_033144954.1, XP_009122279.3, XP_033137765.1	Om001G023220, Om004G137760
OG0000068	XP_009116357.1, XP_033134429.1, XP_018508195.2	Om003G109360, Om001G015230, Om008G350760, Om006G263810, Om008G342030, Om002G073940
OG0000068	XP_009120701.1, XP_033145214.1, XP_033138808.1, XP_009111034.2, XP_033133919.1, XP_009108652.2, XP_033138807.1, XP_033133960.1, XP_033145213.1, XP_009144181.2, XP_033142140.1, XP_033131299.1, XP_033138421.1, XP_009130015.1, XP_009107908.2, XP_033138747.1, XP_033131849.1, XP_009123716.1	Om006G266160
OG0000069	XP_018511891.1	Om005G223000
OG0000069	XP_009130609.1	Om005G212160
OG0000070	XP_033139447.1	Om008G344650
OG0000070	XP_033139530.1, XP_033129378.1, XP_033138989.1, XP_033129363.1	Om007G311790
OG0000071	XP_009129265.1	Om008G360280, Om004G166900
OG0000071	XP_033134634.1, XP_009138559.1, XP_009119936.1, XP_033141352.1, XP_033135598.1, XP_033135708.1, XP_033132990.1, XP_033134365.1, XP_033136535.1, XP_033138832.1	Om005G207500, Om005G187680, Om002G068810, Om002G068800, Om003G110690
OG0000072	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1, XP_018511390.2, XP_033134038.1	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000072	XP_033129946.1, XP_033140615.1	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200
OG0000073	XP_009123255.2	Om002G052330
OG0000073	XP_009128859.1	Om008G360260
OG0000074	XP_033130333.1	Om004G144080, Om004G144240, Om004G144070, Om004G144330, Om004G144320
OG0000074	XP_033132540.1, XP_009110093.1, XP_033132544.1, XP_033132543.1, XP_009112003.1	Om004G144020, Om001G027970, Om004G144050, Om004G171550
OG0000074	XP_009103161.1, XP_009103162.1, XP_033130331.1	Om004G144100
OG0000074	XP_009115511.1	Om004G144220
OG0000074	XP_033135734.1, XP_009115048.1, XP_009115516.1	Om004G143840
OG0000075	XP_009121040.1, XP_009131723.1	Om005G191180
OG0000075	XP_009129136.1, XP_033142692.1	Om004G132620, Om001G003590, Om001G003700
OG0000076	XP_033145323.1	Om002G087760
OG0000076	XP_033139477.1, XP_033135650.1	Om006G242520
OG0000076	XP_009152006.1	Om003G090370
OG0000077	XP_033141207.1, XP_009124954.2, XP_009101861.1	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490
OG0000078	XP_033147814.1	Om007G305480, Om008G337420
OG0000078	XP_033129379.1, XP_033142705.1, XP_009135134.2, XP_009151027.2	Om008G342420, Om007G305860
OG0000079	XP_009132838.1, XP_009117247.1	Om003G122890, Om003G122910, Om003G122930, Om003G122940
OG0000079	XP_009116567.1	Om003G122800, Om003G122790
OG0000079	XP_033130624.1, XP_009104177.1	Om003G122880, Om003G122870
OG0000080	XP_009120970.2	Om001G013570
OG0000080	XP_009141021.1, XP_009133838.1, XP_009144344.2, XP_009140814.1, XP_033145824.1, XP_033145280.1	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	XP_033133852.1, XP_033135481.1	Om005G184670, Om005G184660
OG0000083	XP_009107240.1	Om008G340620, Om002G046520
OG0000084	XP_009134223.1, XP_009140586.1	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580
OG0000086	XP_033135741.1, XP_033136271.1, XP_033135743.1, XP_009124087.2, XP_009124650.2, XP_033135477.1, XP_033135744.1, XP_033135687.1, XP_033136269.1, XP_009124058.2, XP_033135742.1, XP_033136268.1, XP_033136272.1, XP_033135685.1, XP_033135749.1, XP_033135747.1, XP_033135746.1, XP_033136270.1, XP_033135748.1, XP_033134284.1, XP_033134283.1, XP_033135684.1, XP_033135688.1, XP_033135686.1, XP_033134282.1	Om004G163220
OG0000087	XP_009150907.1	Om006G238380
OG0000087	XP_009141007.2, XP_009144365.1	Om007G282390
OG0000087	XP_009151388.1, XP_009150241.1	Om006G235110
OG0000087	XP_009121863.1	Om004G162490
OG0000087	XP_018514901.1	Om008G339690
OG0000087	XP_009123590.1, XP_009113926.1, XP_009101721.2	Om008G355890
OG0000087	XP_009134084.2, XP_009108485.1, XP_009137158.2	Om001G006430
OG0000087	XP_009106234.1	Om004G137360
OG0000088	XP_009140910.1, XP_009140909.1, XP_009144708.1, XP_018509698.1, XP_033132378.1, XP_009145790.1, XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_009116363.1, XP_033142283.1, XP_009119422.1	Om003G119630
OG0000088	XP_009131797.1, XP_009120802.1	Om006G242180
OG0000089	XP_009131124.2, XP_033138402.1, XP_009125344.2	Om004G166350
OG0000089	XP_009135599.1	Om003G098490
OG0000089	XP_009146646.1	Om002G055730
OG0000090	XP_009149503.1	Om005G202290, Om005G179690
OG0000090	XP_009104691.1, XP_009106248.2, XP_009128146.1	Om004G136810
OG0000090	XP_009147939.1, XP_033128831.1	Om003G098630, Om003G099040
OG0000090	XP_033136464.1	Om006G274160
OG0000091	XP_033142439.1, XP_033134834.1, XP_033139200.1, XP_033147182.1, XP_033137728.1, XP_033131051.1, XP_033129377.1, XP_033140597.1, XP_033128916.1, XP_033138753.1, XP_033148509.1, XP_033143363.1	Om006G264850
OG0000093	XP_009138966.1, XP_009138965.1	Om003G122050
OG0000093	XP_009104131.1	Om003G122020
OG0000093	XP_033131129.1	Om003G121950
OG0000096	XP_033136459.1, XP_033141183.1	Om005G199550
OG0000096	XP_033139970.1	Om004G143550, Om008G360980
OG0000097	XP_009110937.1, XP_033135887.1	Om008G355560
OG0000097	XP_009121666.1	Om008G355570
OG0000097	XP_009140229.1	Om008G355680, Om008G355600, Om004G133820
OG0000098	XP_033133736.1, XP_009148793.2	Om005G191670
OG0000098	XP_009118104.3	Om005G191560
OG0000098	XP_033134902.1, XP_009118092.2	Om005G191920, Om005G192380
OG0000099	XP_033135357.1	Om005G227450
OG0000099	XP_009121822.3, XP_009132579.1	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970
OG0000099	XP_009112903.1	Om003G118970
OG0000099	XP_033129523.1	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320
OG0000099	XP_009112794.2	Om005G227550
OG0000101	XP_033135321.1	Om005G227120
OG0000104	XP_009118428.1	Om005G185360
OG0000104	XP_033145187.1, XP_033131572.1	Om007G283050, Om007G283070, Om007G283030, Om007G283020
OG0000104	XP_033146903.1	Om003G095420
OG0000104	XP_009135746.2	Om002G069400
OG0000106	XP_033130152.1	Om005G222030
OG0000107	XP_033142150.1, XP_018513496.2	Om002G051530, Om002G051540, Om004G133060
OG0000107	XP_033131954.1, XP_009113964.1	Om002G067730
OG0000107	XP_018514730.2	Om002G067740
OG0000107	XP_009107347.1, XP_009117328.1	Om004G133090, Om001G020080
OG0000107	XP_009111243.1, XP_009145675.1, XP_009136238.1	Om002G067770
OG0000107	XP_009145683.1	Om002G067720, Om007G309010
OG0000108	XP_009150964.1	Om003G100270, Om003G100260
OG0000108	XP_033144223.1, XP_009137095.2, XP_033143042.1	Om006G273840, Om006G273820
OG0000108	XP_009120753.1	Om006G273810
OG0000109	XP_033147238.1	Om007G303510
OG0000110	XP_009104193.2	Om003G123410
OG0000110	XP_009116587.1, XP_018508692.1	Om003G123400
OG0000111	XP_033136550.1	Om006G259270
OG0000112	XP_033142284.1, XP_009132628.1	Om005G189180
OG0000118	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1	Om008G333780
OG0000119	XP_009139373.1, XP_009111365.1, XP_009123003.1	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890, Om002G078050, Om003G114030, Om001G022840, Om005G223060, Om007G309980
OG0000119	XP_009130013.1	Om007G284090
OG0000119	XP_009107416.1	Om004G164230, Om005G214120, Om005G222850
OG0000120	XP_033136614.1, XP_033135828.1	Om005G221860
OG0000120	XP_033133710.1, XP_009107578.2, XP_033128024.1	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520
OG0000120	XP_009122928.1	Om007G296760, Om007G296900
OG0000122	XP_018512820.2, XP_033142009.1	Om004G163000
OG0000122	XP_033142107.1	Om003G118900, Om003G118890
OG0000122	XP_033144567.1, XP_009132310.1	Om003G118720
OG0000123	XP_009105059.1, XP_009110577.1, XP_009105445.1	Om005G193560, Om005G193450, Om005G193620, Om005G193610, Om005G193590
OG0000124	XP_033147807.1	Om005G206120
OG0000125	XP_009139383.1, XP_009116061.1	Om006G254380
OG0000125	XP_009131894.1, XP_009120626.1	Om006G244360
OG0000125	XP_009120513.1	Om006G245540
OG0000125	XP_009133865.1, XP_009103710.2, XP_009140934.1	Om007G283300
OG0000126	XP_033148541.1, XP_009123429.1	Om006G262390, Om004G151250
OG0000127	XP_033145538.1	Om004G176290
OG0000127	XP_033137562.1	Om004G176360
OG0000127	XP_009122823.2	Om004G176280
OG0000128	XP_009102138.1	Om004G150710
OG0000128	XP_033143891.1	Om005G217280
OG0000130	XP_033138885.1	Om006G267480, Om004G149990, Om007G304660
OG0000136	XP_033130821.1	Om002G045120
OG0000138	XP_033145374.1	Om006G251190, Om006G251180
OG0000138	XP_009104951.1, XP_009105716.1, XP_009105715.2, XP_009105714.1	Om005G207670, Om005G207700
OG0000138	XP_009151767.2	Om001G026370
OG0000140	XP_033141238.1	Om006G258900, Om006G244250, Om001G032190, Om006G246600
OG0000140	XP_009126729.2, XP_033141242.1, XP_009126731.2, XP_009145270.2, XP_033141241.1, XP_033141237.1	Om006G247230, Om006G247200
OG0000140	XP_033142716.1, XP_009120430.1	Om006G246640
OG0000140	XP_009149959.1	Om006G266710
OG0000142	XP_009144376.2	Om007G282770
OG0000142	XP_033148630.1	Om007G282660
OG0000143	XP_033139202.1, XP_033144231.1, XP_033143521.1, XP_033139540.1, XP_033141445.1, XP_033137454.1, XP_033128921.1	Om003G106950
OG0000143	XP_033134178.1	Om004G160650, Om005G207900
OG0000144	XP_018511928.1	Om006G263840, Om005G217250, Om007G314120
OG0000144	XP_009152174.1	Om002G077770, Om003G104710
OG0000144	XP_018513380.1	Om008G351670, Om002G077760, Om005G218980, Om001G015950, Om001G019450
OG0000144	XP_018512770.1	Om007G317180
OG0000145	XP_033140698.1	Om004G162350
OG0000146	XP_033144579.1, XP_033139637.1, XP_009127007.2	Om003G117410
OG0000146	XP_009120051.1, XP_009132642.1	Om003G117350
OG0000146	XP_033138715.1	Om003G117400, Om003G117360
OG0000146	XP_009132394.1	Om003G117320
OG0000147	XP_009102205.2, XP_009112568.1	Om002G086500
OG0000147	XP_009109000.1	Om001G025660
OG0000147	XP_033141904.1, XP_009120261.2	Om007G285990, Om006G249440
OG0000147	XP_009106729.2, XP_018508569.2	Om004G130850
OG0000147	XP_009128205.1	Om006G268290
OG0000147	XP_018513014.1	Om002G078960
OG0000149	XP_009126677.2	Om006G245860
OG0000149	XP_033140133.1	Om006G245850
OG0000150	XP_009126896.3, XP_018511917.2	Om008G323560
OG0000150	XP_033139673.1	Om005G201710
OG0000151	XP_009119874.1	Om003G114720
OG0000151	XP_009144093.1, XP_009109116.1	Om001G021860
OG0000151	XP_009135093.1, XP_009146989.1, XP_009123804.1	Om002G051120
OG0000151	XP_009136334.1, XP_009121200.1	Om002G082850
OG0000151	XP_018510771.1, XP_018512593.2	Om003G118410
OG0000151	XP_009112816.1	Om005G227900
OG0000154	XP_009110463.1, XP_009149047.1	Om005G196960
OG0000154	XP_009120551.1	Om002G056330
OG0000154	XP_009123001.2, XP_009136338.1	Om004G147280
OG0000154	XP_009115390.1, XP_033143098.1, XP_033134270.1	Om004G175620
OG0000154	XP_033137307.1, XP_009122772.2, XP_009122774.3	Om004G175630
OG0000155	XP_009143289.2, XP_009137650.1	Om001G020030
OG0000155	XP_009105220.1, XP_009124785.2	Om001G007090
OG0000155	XP_009133539.2, XP_018508817.2, XP_033130819.1, XP_033130815.1, XP_033137245.1, XP_009134691.2	Om001G007100
OG0000155	XP_009135203.2	Om002G055620
OG0000156	XP_009102613.2	Om008G322060
OG0000156	XP_018514087.1	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020
OG0000157	XP_009113644.3, XP_009115539.2, XP_033135169.1, XP_033135170.1, XP_033135012.1, XP_009135990.1, XP_033135900.1	Om008G326040, Om008G355750
OG0000158	XP_009104904.1	Om004G142800, Om001G036830, Om001G012390, Om001G033100, Om001G033130
OG0000161	XP_009130179.2, XP_009130183.1	Om006G236100, Om006G236170
OG0000161	XP_033145048.1	Om004G175180
OG0000161	XP_009127389.1	Om007G278440
OG0000161	XP_033146830.1, XP_033146831.1	Om004G167210, Om006G249300
